ID,SectorBranchesSIC2008,Periods,Employee_1,EmployedPerson_2,Employee_3,EmployedPerson_4,Total_5,Total_6,RetailTradeTurnover_7,OtherTurnover_8,OtherRevenues_9,Total_10,PurchaseValueOfSales_11,Total_12,GrossWagesAndSalaries_13,Total_14,EmployerPaidSocialInsurancePremiums_15,PensionAndEarlyRetirementPremiums_16,OtherSocialInsuranceCosts_17,OtherPersonnelCosts_18,Total_19,CostsOfEnergyUse_20,HousingCosts_21,EquipmentAndInventoryCosts_22,TransportCosts_23,SalesCosts_24,CommunicationCosts_25,CostsOfOtherServices_26,OtherLiabilities_27,DepreciationFixedAssets_28,OperatingResults_29,NetFinancialIncome_30,BalanceOfProvisions_31,NetExtraordinaryIncome_32,PreTaxResults_33
112,379700,2011JJ00,26.9,28.0,17.4,18.2,5059.0,5028.0,4787.0,242.0,31.0,4849.0,3492.0,849.0,642.0,144.0,84.0,60.0,8.0,55.0,359.0,14.0,87.0,15.0,15.0,32.0,11.0,72.0,114.0,149.0,210.0,-47.0,1.0,-3.0,160.0
113,379700,2012JJ00,28.0,29.1,17.6,18.5,5006.0,4979.0,4612.0,367.0,28.0,4775.0,3371.0,866.0,642.0,159.0,90.0,69.0,7.0,58.0,386.0,14.0,97.0,22.0,13.0,32.0,11.0,66.0,131.0,152.0,231.0,-25.0,0.0,8.0,214.0
114,379700,2013JJ00,29.4,30.5,19.0,19.8,4885.0,4859.0,4538.0,321.0,26.0,4657.0,3173.0,935.0,685.0,171.0,98.0,73.0,9.0,69.0,401.0,15.0,104.0,16.0,17.0,32.0,14.0,77.0,126.0,149.0,228.0,-24.0,0.0,6.0,210.0
115,379800,2009JJ00,27.6,29.5,15.8,17.4,3470.0,3454.0,3089.0,365.0,16.0,3226.0,2177.0,537.0,411.0,86.0,59.0,26.0,4.0,37.0,438.0,27.0,191.0,8.0,13.0,70.0,13.0,36.0,81.0,74.0,244.0,9.0,-4.0,1.0,251.0
116,379800,2010JJ00,28.0,29.9,14.7,16.3,3461.0,3401.0,3215.0,187.0,60.0,3170.0,2148.0,519.0,403.0,80.0,56.0,24.0,4.0,33.0,434.0,21.0,190.0,5.0,9.0,106.0,11.0,23.0,69.0,69.0,291.0,16.0,-2.0,0.0,304.0
117,379800,2011JJ00,28.4,30.2,14.5,16.0,3530.0,3474.0,3234.0,240.0,57.0,3237.0,2167.0,549.0,435.0,84.0,62.0,22.0,1.0,30.0,449.0,22.0,201.0,7.0,10.0,109.0,10.0,23.0,69.0,72.0,293.0,-3.0,2.0,-2.0,290.0
118,379800,2012JJ00,30.0,31.8,14.7,16.2,3691.0,3617.0,3415.0,202.0,74.0,3408.0,2293.0,573.0,452.0,89.0,66.0,23.0,1.0,31.0,484.0,22.0,216.0,9.0,15.0,120.0,13.0,27.0,64.0,58.0,283.0,2.0,1.0,-3.0,283.0
119,379800,2013JJ00,30.0,31.5,14.3,15.7,3553.0,3467.0,3273.0,194.0,86.0,3297.0,2200.0,562.0,439.0,92.0,67.0,25.0,2.0,29.0,476.0,22.0,219.0,8.0,13.0,118.0,13.0,25.0,59.0,60.0,255.0,-4.0,0.0,-1.0,251.0
120,380100,2009JJ00,4.7,5.0,2.8,3.0,524.0,522.0,517.0,5.0,2.0,489.0,290.0,97.0,74.0,15.0,11.0,4.0,0.0,8.0,86.0,5.0,48.0,2.0,1.0,5.0,3.0,10.0,13.0,17.0,36.0,-1.0,0.0,-1.0,34.0
121,380100,2010JJ00,4.7,5.2,3.0,3.4,619.0,617.0,603.0,14.0,2.0,567.0,305.0,101.0,78.0,15.0,11.0,4.0,0.0,8.0,145.0,4.0,91.0,2.0,1.0,21.0,2.0,11.0,12.0,17.0,51.0,0.0,0.0,0.0,51.0
