ID,Perioden,Overheidsinkomsten_1,Overheidsuitgaven_2,Overheidssaldo_3,OverheidsschuldEMU_4,CollectieveLasten_5,Overheidsconsumptie_6,OverheidsinkomstenSeizoengecorrigeerd_7,OverheidsuitgavenSeizoengecorrigeerd_8,OverheidssaldoSeizoengecorrigeerd_9,NettoBesparingen_10,SaldoNettoBespEnKapitaaloverdr_11,Aardgasbaten_12,Overheidsinkomsten_13,Overheidsuitgaven_14,Overheidssaldo_15,OverheidsschuldEMU_16,CollectieveLasten_17,Overheidsconsumptie_18,OverheidsinkomstenSeizoengecorrigeerd_19,OverheidsuitgavenSeizoengecorrigeerd_20,OverheidssaldoSeizoengecorrigeerd_21,NettoBesparingen_22,SaldoNettoBespEnKapitaaloverdr_23,Aardgasbaten_24,WerkzamePersonen_25,Arbeidsjaren_26,GewerkteUren_27,MaterieleOverheidsconsumptieIMOC_28
10,2000KW02,51489.0,50090.0,1399.0,246684.0,43164.0,24367.0,49463.0,47470.0,1993.0,2344.0,1962.0,,43.6,42.9,0.7,56.6,36.6,20.6,44.2,42.4,1.8,1.7,1.3,,,,,
11,2000KW03,46315.0,45209.0,1106.0,246788.0,38460.0,21970.0,49178.0,47915.0,1263.0,2051.0,1667.0,,43.4,42.5,0.8,55.6,36.3,20.5,43.1,42.0,1.1,1.8,1.4,,,,,
12,2000KW04,53652.0,50360.0,3292.0,235879.0,45426.0,24627.0,50855.0,49115.0,1740.0,5236.0,4914.0,,43.6,42.4,1.2,52.2,36.5,20.6,43.7,42.2,1.5,2.2,1.8,,,,,
13,2000JJ00,196896.0,191530.0,5366.0,235879.0,164768.0,92910.0,,,,9887.0,8336.0,,43.6,42.4,1.2,52.2,36.5,20.6,,,,2.2,1.8,,1063.0,960.0,1512.0,4.0
14,2001KW01,48810.0,49479.0,-669.0,237495.0,40421.0,23913.0,50644.0,50715.0,-71.0,712.0,-35.0,,43.4,42.3,1.1,51.5,36.3,20.6,42.5,42.6,-0.1,2.2,1.8,,,,,
15,2001KW02,53392.0,54160.0,-768.0,246803.0,43190.0,26491.0,51315.0,51365.0,-50.0,897.0,112.0,,43.1,42.4,0.6,52.6,35.7,20.7,42.8,42.8,0.0,1.9,1.4,,,,,
16,2001KW03,48970.0,49580.0,-610.0,243570.0,40431.0,23971.0,52087.0,52446.0,-359.0,1092.0,395.0,,43.0,42.8,0.3,51.2,35.6,20.8,43.1,43.4,-0.3,1.7,1.1,,,,,
17,2001KW04,54357.0,54421.0,-64.0,238681.0,45505.0,26785.0,51613.0,53039.0,-1426.0,2263.0,1852.0,,42.7,43.1,-0.4,49.5,35.2,21.0,42.3,43.4,-1.2,1.0,0.5,,,,,
18,2001JJ00,205529.0,207640.0,-2111.0,238681.0,169547.0,101160.0,,,,4964.0,2324.0,6350.0,42.7,43.1,-0.4,49.5,35.2,21.0,,,,1.0,0.5,1.3,1088.0,982.0,1548.0,3.9
19,2002KW01,50700.0,52246.0,-1546.0,243268.0,42415.0,26233.0,52340.0,53677.0,-1337.0,-60.0,-486.0,,42.7,43.3,-0.6,50.0,35.3,21.3,42.4,43.4,-1.1,0.9,0.4,,,,,
20,2002KW02,54117.0,57587.0,-3470.0,246526.0,44869.0,28965.0,52106.0,54652.0,-2546.0,-1751.0,-2010.0,,42.4,43.5,-1.2,50.2,35.3,21.6,41.7,43.8,-2.0,0.3,-0.1,,,,,
21,2002KW03,48718.0,51927.0,-3209.0,245719.0,40628.0,26284.0,51972.0,54807.0,-2835.0,-1491.0,-1809.0,,41.9,43.5,-1.7,49.5,34.9,21.8,41.2,43.4,-2.2,-0.2,-0.5,,,,,
22,2002KW04,55198.0,57121.0,-1923.0,244916.0,46273.0,29385.0,52310.0,55594.0,-3284.0,695.0,411.0,,41.7,43.7,-2.0,48.9,34.8,22.1,41.3,43.9,-2.6,-0.5,-0.8,,,,,
23,2002JJ00,208733.0,218881.0,-10148.0,244916.0,174185.0,110867.0,,,,-2607.0,-3894.0,5282.0,41.7,43.7,-2.0,48.9,34.8,22.1,,,,-0.5,-0.8,1.1,1114.0,1003.0,1592.0,3.3
24,2003KW01,52126.0,54830.0,-2704.0,252292.0,43509.0,27779.0,53599.0,56444.0,-2845.0,-1235.0,-1609.0,,41.6,43.9,-2.2,50.0,34.7,22.3,42.0,44.3,-2.2,-0.7,-1.0,,,,,
25,2003KW02,55265.0,60032.0,-4767.0,251106.0,45577.0,30611.0,53537.0,57102.0,-3565.0,-2994.0,-3320.0,,41.6,44.1,-2.5,49.5,34.7,22.5,42.0,44.8,-2.8,-1.0,-1.2,,,,,
26,2003KW03,48907.0,55113.0,-6206.0,257011.0,40605.0,27894.0,52159.0,58039.0,-5880.0,-4092.0,-4434.0,,41.5,44.6,-3.1,50.4,34.5,22.7,40.6,45.2,-4.6,-1.5,-1.8,,,,,
27,2003KW04,57065.0,59233.0,-2168.0,256483.0,47413.0,31154.0,53827.0,57532.0,-3705.0,491.0,196.0,,41.6,44.7,-3.1,50.0,34.5,22.9,41.5,44.4,-2.9,-1.5,-1.8,,,,,
28,2003JJ00,213363.0,229208.0,-15845.0,256483.0,177104.0,117438.0,,,,-7830.0,-9167.0,5980.0,41.6,44.7,-3.1,50.0,34.5,22.9,,,,-1.5,-1.8,1.2,1140.0,1022.0,1635.0,2.6
29,2004KW01,52543.0,55508.0,-2965.0,263050.0,43417.0,28161.0,53994.0,57200.0,-3206.0,-2185.0,-2437.0,,41.4,44.6,-3.1,51.0,34.3,22.8,41.4,43.9,-2.5,-1.7,-1.9,,,,,
30,2004KW02,56699.0,60342.0,-3643.0,266951.0,46018.0,31050.0,55280.0,57519.0,-2239.0,-2797.0,-2981.0,,41.4,44.2,-2.9,51.3,34.1,22.7,41.9,43.6,-1.7,-1.6,-1.9,,,,,
31,2004KW03,52566.0,55015.0,-2449.0,271348.0,42851.0,28324.0,56065.0,57934.0,-1869.0,-1536.0,-1760.0,,41.7,43.9,-2.1,51.7,34.3,22.6,42.2,43.6,-1.4,-1.1,-1.3,,,,,
32,2004KW04,59772.0,60172.0,-400.0,266332.0,50154.0,31594.0,56052.0,58333.0,-2281.0,1134.0,1074.0,,41.9,43.7,-1.8,50.3,34.5,22.5,41.9,43.6,-1.7,-1.0,-1.2,,,,,
33,2004JJ00,221580.0,231037.0,-9457.0,266332.0,182440.0,119129.0,,,,-5384.0,-6104.0,6681.0,41.9,43.7,-1.8,50.3,34.5,22.5,,,,-1.0,-1.2,1.3,1136.0,1004.0,1606.0,1.7
34,2005KW01,54563.0,55155.0,-592.0,267583.0,45386.0,29020.0,55926.0,56764.0,-838.0,-1185.0,-1379.0,,41.9,43.2,-1.3,50.2,34.6,22.5,41.5,42.1,-0.6,-0.8,-0.9,,,,,
35,2005KW02,57926.0,60851.0,-2925.0,282197.0,47707.0,31946.0,56919.0,58129.0,-1210.0,-2653.0,-2772.0,,41.7,42.9,-1.2,52.4,34.5,22.4,41.7,42.6,-0.9,-0.8,-0.9,,,,,
36,2005KW03,55122.0,55800.0,-678.0,275991.0,45333.0,29238.0,58929.0,58834.0,95.0,-401.0,-244.0,,41.8,42.6,-0.8,50.7,34.6,22.4,42.5,42.4,0.1,-0.6,-0.6,,,,,
37,2005KW04,64385.0,62787.0,1598.0,274277.0,52775.0,32531.0,60119.0,60800.0,-681.0,4561.0,3937.0,,42.1,42.6,-0.5,49.8,34.7,22.3,42.8,43.3,-0.5,0.1,-0.1,,,,,
38,2005JJ00,231996.0,234593.0,-2597.0,274277.0,191201.0,122735.0,,,,322.0,-458.0,7579.0,42.1,42.6,-0.5,49.8,34.7,22.3,,,,0.1,-0.1,1.4,1122.0,985.0,1571.0,2.2
39,2006KW01,59990.0,60506.0,-516.0,275100.0,49755.0,32055.0,61010.0,62151.0,-1141.0,394.0,54.0,,42.4,42.9,-0.5,49.2,34.9,22.5,42.6,43.4,-0.8,0.3,0.2,,,,,
40,2006KW02,63693.0,65766.0,-2073.0,275719.0,51523.0,35111.0,63000.0,62898.0,102.0,-1372.0,-1456.0,,42.8,43.1,-0.3,48.5,35.1,22.7,43.4,43.3,0.1,0.6,0.4,,,,,
41,2006KW03,60015.0,60653.0,-638.0,273093.0,49385.0,32428.0,64674.0,63979.0,695.0,391.0,181.0,,43.1,43.4,-0.3,47.4,35.3,22.9,44.0,43.5,0.5,0.7,0.5,,,,,
42,2006KW04,69740.0,66704.0,3036.0,264157.0,58184.0,35957.0,64958.0,64647.0,311.0,4285.0,4274.0,,43.4,43.4,0.0,45.2,35.7,23.2,43.5,43.3,0.2,0.6,0.5,,,,,
43,2006JJ00,253438.0,253629.0,-191.0,264157.0,208847.0,135551.0,,,,3698.0,3053.0,10610.0,43.4,43.4,0.0,45.2,35.7,23.2,,,,0.6,0.5,1.8,1115.0,979.0,1555.0,1.9
44,2007KW01,64470.0,63425.0,1045.0,269287.0,52802.0,34146.0,64649.0,65071.0,-422.0,2072.0,1751.0,,43.4,43.2,0.2,45.4,35.7,23.2,42.4,42.7,-0.3,0.9,0.8,,,,,
45,2007KW02,65230.0,68655.0,-3425.0,274447.0,54501.0,37329.0,65003.0,65648.0,-645.0,-2516.0,-2504.0,,43.1,43.1,0.0,45.6,35.7,23.2,42.4,42.8,-0.4,0.7,0.6,,,,,
46,2007KW03,59186.0,62921.0,-3735.0,271917.0,49604.0,34316.0,64421.0,66325.0,-1904.0,-2718.0,-2969.0,,42.4,42.9,-0.5,44.5,35.2,23.2,41.4,42.7,-1.2,0.2,0.1,,,,,
47,2007KW04,74049.0,69370.0,4679.0,266221.0,61140.0,38070.0,68878.0,67341.0,1537.0,6108.0,6182.0,,42.5,42.7,-0.2,43.0,35.2,23.2,43.6,42.6,1.0,0.5,0.4,,,,,
48,2007JJ00,262935.0,264371.0,-1436.0,266221.0,218047.0,143861.0,,,,2946.0,2460.0,9762.0,42.5,42.7,-0.2,43.0,35.2,23.2,,,,0.5,0.4,1.6,1124.0,982.0,1560.0,2.5
49,2008KW01,70681.0,68085.0,2596.0,275163.0,56798.0,36048.0,69940.0,69870.0,70.0,4502.0,4098.0,,42.9,42.9,0.0,43.9,35.4,23.2,43.5,43.5,0.0,0.9,0.8,,,,,
50,2008KW02,70079.0,72944.0,-2865.0,278215.0,58079.0,39398.0,70180.0,69714.0,466.0,-1124.0,-1043.0,,43.1,43.0,0.1,43.8,35.5,23.3,43.5,43.2,0.3,1.1,1.0,,,,,
51,2008KW03,63956.0,66084.0,-2128.0,283797.0,53465.0,36280.0,70195.0,69501.0,694.0,-1349.0,-1473.0,,43.3,43.0,0.4,44.1,35.7,23.3,43.1,42.7,0.4,1.3,1.2,,,,,
52,2008KW04,77368.0,74164.0,3204.0,354036.0,61993.0,40325.0,71968.0,72072.0,-104.0,5129.0,4793.0,,43.6,43.5,0.1,54.7,35.6,23.5,44.4,44.5,-0.1,1.1,1.0,,,,,
53,2008JJ00,282084.0,281277.0,807.0,354036.0,230335.0,152051.0,,,,7158.0,6375.0,15071.0,43.6,43.5,0.1,54.7,35.6,23.5,,,,1.1,1.0,2.3,1138.0,999.0,1592.0,3.2
54,2009KW01,68712.0,72518.0,-3806.0,370304.0,55951.0,38482.0,67315.0,74601.0,-7286.0,-1479.0,-1903.0,,43.5,44.4,-0.9,57.5,35.6,24.0,42.7,47.3,-4.6,0.2,0.1,,,,,
55,2009KW02,65767.0,75319.0,-9552.0,360860.0,53954.0,42124.0,66178.0,71952.0,-5774.0,-7032.0,-7556.0,,43.3,45.2,-1.9,56.6,35.4,24.7,42.7,46.5,-3.7,-0.7,-1.0,,,,,
56,2009KW03,60777.0,72703.0,-11926.0,360394.0,50453.0,38777.0,66718.0,76219.0,-9501.0,-8565.0,-9633.0,,43.2,46.8,-3.5,57.2,35.3,25.3,42.8,48.9,-6.1,-1.9,-2.3,,,,,
57,2009KW04,71407.0,78719.0,-7312.0,354763.0,57354.0,43061.0,66758.0,76512.0,-9754.0,-3913.0,-5886.0,,42.7,47.9,-5.2,56.8,34.8,26.0,42.7,48.9,-6.2,-3.4,-4.0,,,,,
58,2009JJ00,266663.0,299259.0,-32596.0,354763.0,217712.0,162444.0,,,,-20989.0,-24978.0,10398.0,42.7,47.9,-5.2,56.8,34.8,26.0,,,,-3.4,-4.0,1.7,1155.0,1013.0,1620.0,0.1
59,2010KW01,68411.0,74265.0,-5854.0,359295.0,55360.0,39735.0,66656.0,76665.0,-10009.0,-3647.0,-4580.0,,42.7,48.2,-5.6,57.6,34.8,26.2,42.4,48.7,-6.4,-3.7,-4.4,,,,,
60,2010KW02,69627.0,80512.0,-10885.0,372370.0,58329.0,43492.0,69922.0,76897.0,-6975.0,-8189.0,-8988.0,,43.0,48.7,-5.7,59.2,35.2,26.2,43.8,48.2,-4.4,-3.9,-4.6,,,,,
61,2010KW03,60485.0,73688.0,-13203.0,374159.0,50564.0,40060.0,66440.0,76981.0,-10541.0,-11154.0,-11661.0,,42.6,48.5,-5.9,59.0,35.0,26.3,41.4,48.0,-6.6,-4.2,-4.9,,,,,
62,2010KW04,75225.0,79413.0,-4188.0,378762.0,60847.0,44457.0,70877.0,77234.0,-6357.0,-1203.0,-3041.0,,42.8,48.2,-5.3,59.3,35.2,26.2,43.9,47.9,-3.9,-3.8,-4.4,,,,,
63,2010JJ00,273748.0,307878.0,-34130.0,378762.0,225100.0,167744.0,,,,-24193.0,-28270.0,10670.0,42.8,48.2,-5.3,59.3,35.2,26.2,,,,-3.8,-4.4,1.7,1172.0,1026.0,1633.0,1.5
64,2011KW01,72399.0,74063.0,-1664.0,382802.0,58049.0,39837.0,70106.0,76673.0,-6567.0,342.0,-281.0,,43.1,47.8,-4.6,59.4,35.4,26.1,43.2,47.3,-4.0,-3.1,-3.7,,,,,
65,2011KW02,68757.0,80195.0,-11438.0,390899.0,57206.0,43454.0,68874.0,76545.0,-7671.0,-10051.0,-10252.0,,42.8,47.5,-4.7,60.4,35.0,25.9,42.5,47.2,-4.7,-3.4,-3.9,,,,,
66,2011KW03,64347.0,73789.0,-9442.0,396622.0,53766.0,40121.0,70519.0,76842.0,-6323.0,-7372.0,-7818.0,,43.2,47.3,-4.1,61.1,35.4,25.8,43.3,47.1,-3.9,-2.8,-3.3,,,,,
67,2011KW04,72238.0,78584.0,-6346.0,401303.0,59441.0,44294.0,68897.0,76636.0,-7739.0,-5092.0,-6032.0,,42.7,47.1,-4.4,61.7,35.1,25.8,42.3,47.1,-4.8,-3.4,-3.7,,,,,
68,2011JJ00,277741.0,306631.0,-28890.0,401303.0,228462.0,167706.0,,,,-22173.0,-24383.0,11941.0,42.7,47.1,-4.4,61.7,35.1,25.8,,,,-3.4,-3.7,1.8,1151.0,1001.0,1593.0,1.6
69,2012KW01,72894.0,73638.0,-744.0,407001.0,57937.0,40333.0,70185.0,76283.0,-6098.0,214.0,-203.0,,42.7,47.0,-4.3,62.5,35.1,25.8,43.1,46.9,-3.7,-3.4,-3.7,,,,,
70,2012KW02,70928.0,80532.0,-9604.0,417095.0,58841.0,44049.0,70492.0,76693.0,-6201.0,-8352.0,-8738.0,,43.0,47.0,-4.0,64.0,35.3,25.9,43.2,47.0,-3.8,-3.2,-3.5,,,,,
71,2012KW03,62908.0,73995.0,-11087.0,423104.0,52508.0,40551.0,69207.0,77032.0,-7825.0,-9211.0,-9712.0,,42.8,47.1,-4.3,64.9,35.1,26.0,42.5,47.3,-4.8,-3.4,-3.8,,,,,
72,2012KW04,74640.0,78878.0,-4238.0,432462.0,60954.0,45012.0,71763.0,77206.0,-5443.0,-3491.0,-3875.0,,43.1,47.0,-3.9,66.2,35.3,26.0,43.8,47.1,-3.3,-3.2,-3.5,,,,,
73,2012JJ00,281370.0,307043.0,-25673.0,432462.0,230240.0,169945.0,,,,-20840.0,-22528.0,14586.0,43.1,47.0,-3.9,66.2,35.3,26.0,,,,-3.2,-3.5,2.2,1134.0,984.0,1560.0,1.2
74,2013KW01,76123.0,75052.0,1071.0,435500.0,59647.0,41149.0,72929.0,77568.0,-4639.0,2796.0,1256.0,,43.6,47.2,-3.7,66.6,35.5,26.1,44.4,47.3,-2.8,-2.8,-3.2,,,,,
75,2013KW02,73414.0,80761.0,-7347.0,447276.0,60932.0,44178.0,72701.0,76761.0,-4060.0,-6520.0,-6736.0,,43.8,47.1,-3.3,68.3,35.7,26.1,44.1,46.5,-2.5,-2.5,-2.9,,,,,
76,2013KW03,66293.0,74960.0,-8667.0,446503.0,55631.0,40740.0,72847.0,78130.0,-5283.0,-7722.0,-7865.0,,44.1,47.0,-2.9,67.8,36.0,26.0,44.0,47.2,-3.2,-2.3,-2.6,,,,,
77,2013KW04,74010.0,78595.0,-4585.0,447082.0,60091.0,44259.0,71710.0,77195.0,-5485.0,-4017.0,-4501.0,,43.9,46.8,-3.0,67.7,35.8,25.8,43.2,46.5,-3.3,-2.3,-2.7,,,,,
78,2013JJ00,289840.0,309368.0,-19528.0,447082.0,236301.0,170326.0,,,,-15463.0,-17846.0,15372.0,43.9,46.8,-3.0,67.7,35.8,25.8,,,,-2.3,-2.7,2.3,1120.0,972.0,1541.0,0.8
79,2014KW01,75509.0,74959.0,550.0,445442.0,61823.0,41518.0,72212.0,77240.0,-5028.0,1154.0,646.0,,43.6,46.6,-3.0,67.1,35.9,25.7,43.1,46.1,-3.0,-2.6,-2.8,,,,,
80,2014KW02,74805.0,81783.0,-6978.0,456088.0,63290.0,44590.0,73729.0,77582.0,-3853.0,-6247.0,-6722.0,,43.7,46.6,-3.0,68.6,36.2,25.7,44.2,46.5,-2.3,-2.5,-2.8,,,,,
81,2014KW03,67296.0,73831.0,-6535.0,454543.0,57201.0,41399.0,73937.0,77126.0,-3189.0,-5923.0,-6402.0,,43.7,46.3,-2.6,68.1,36.3,25.7,44.1,46.0,-1.9,-2.3,-2.5,,,,,
82,2014KW04,76743.0,78916.0,-2173.0,455886.0,63990.0,44958.0,74770.0,77671.0,-2901.0,-2321.0,-2555.0,,43.8,46.1,-2.3,67.9,36.7,25.7,44.1,45.8,-1.7,-2.0,-2.2,,,,,
83,2014JJ00,294353.0,309489.0,-15136.0,455886.0,246304.0,172465.0,,,,-13337.0,-15033.0,10387.0,43.8,46.1,-2.3,67.9,36.7,25.7,,,,-2.0,-2.2,1.5,1107.0,966.0,1540.0,0.1
84,2015KW01,77534.0,75690.0,1844.0,464487.0,64762.0,41364.0,73936.0,77790.0,-3854.0,2423.0,2188.0,,44.0,46.0,-2.1,68.9,37.0,25.6,43.5,45.8,-2.3,-1.8,-2.0,,,,,
85,2015KW02,74372.0,81418.0,-7046.0,453358.0,63234.0,44407.0,73300.0,77219.0,-3919.0,-6565.0,-6962.0,,43.6,45.6,-2.0,66.7,36.7,25.3,42.5,44.8,-2.3,-1.8,-2.0,,,,,
86,2015KW03,67348.0,73880.0,-6532.0,451556.0,57719.0,41669.0,73655.0,77162.0,-3507.0,-6008.0,-6224.0,,43.2,45.2,-2.0,65.8,36.4,25.1,42.3,44.3,-2.0,-1.8,-2.0,,,,,
87,2015KW04,76800.0,78477.0,-1677.0,446144.0,66091.0,44914.0,75446.0,77398.0,-1952.0,-1438.0,-1839.0,,42.9,44.8,-1.9,64.7,36.5,25.0,43.4,44.6,-1.1,-1.7,-1.9,,,,,
88,2015JJ00,296054.0,309465.0,-13411.0,446144.0,251806.0,172354.0,,,,-11588.0,-12837.0,5262.0,42.9,44.8,-1.9,64.7,36.5,25.0,,,,-1.7,-1.9,0.8,1100.0,959.0,1516.0,0.1
89,2016KW01,79203.0,75620.0,3583.0,446681.0,68699.0,41641.0,75203.0,77639.0,-2436.0,4220.0,3856.0,,42.8,44.5,-1.7,64.3,36.8,24.8,43.0,44.4,-1.4,-1.4,-1.6,,,,,
90,2016KW02,79605.0,81786.0,-2181.0,442349.0,69004.0,45187.0,78458.0,77548.0,910.0,-2127.0,-2185.0,,43.3,44.3,-1.0,63.3,37.4,24.8,44.6,44.1,0.5,-0.8,-0.9,,,,,
91,2016KW03,72305.0,74920.0,-2615.0,433565.0,63033.0,42259.0,78791.0,78202.0,589.0,-2588.0,-2325.0,,43.8,44.2,-0.4,61.7,38.0,24.8,44.3,44.0,0.3,-0.3,-0.4,,,,,
92,2016KW04,78953.0,76841.0,2112.0,438532.0,68205.0,45755.0,78165.0,75848.0,2317.0,3090.0,1830.0,,43.8,43.6,0.1,61.9,38.0,24.7,43.5,42.2,1.3,0.4,0.2,,,,,
93,2016JJ00,310066.0,309167.0,899.0,438532.0,268941.0,174842.0,,,,2595.0,1176.0,2698.0,43.8,43.6,0.1,61.9,38.0,24.7,,,,0.4,0.2,0.4,1096.0,956.0,1518.0,-0.1
94,2017KW01,84255.0,75356.0,8899.0,427145.0,74004.0,42667.0,79538.0,77315.0,2223.0,9116.0,8934.0,,44.1,43.2,0.9,59.7,38.3,24.6,43.9,42.7,1.2,1.0,0.9,,,,,
95,2017KW02,81189.0,82470.0,-1281.0,426379.0,70750.0,46321.0,80214.0,78317.0,1897.0,-2025.0,-1680.0,,43.8,42.8,1.0,59.0,38.2,24.5,43.6,42.5,1.0,1.0,0.9,,,,,
96,2017KW03,74982.0,75767.0,-785.0,417906.0,65570.0,43286.0,81425.0,78979.0,2446.0,-957.0,-489.0,,43.7,42.5,1.2,57.2,38.1,24.4,43.9,42.5,1.3,1.3,1.2,,,,,
97,2017KW04,83105.0,79817.0,3288.0,420440.0,72138.0,47217.0,82681.0,78732.0,3949.0,3031.0,3209.0,,43.8,42.5,1.4,57.0,38.3,24.3,44.0,41.9,2.1,1.2,1.4,,,,,
98,2017JJ00,323531.0,313410.0,10121.0,420440.0,282462.0,179491.0,,,,9165.0,9974.0,3248.0,43.8,42.5,1.4,57.0,38.3,24.3,,,,1.2,1.4,0.4,1099.0,955.0,1514.0,1.3
99,2018KW01,89736.0,78000.0,11736.0,413056.0,79343.0,45188.0,84454.0,79974.0,4480.0,11523.0,11634.0,,44.0,42.3,1.7,55.2,38.5,24.3,44.2,41.8,2.3,1.5,1.7,,,,,
100,2018KW02,85430.0,85338.0,92.0,409286.0,74137.0,47956.0,84547.0,81292.0,3255.0,304.0,-219.0,,44.0,42.1,1.9,54.1,38.5,24.3,44.0,42.3,1.7,1.8,1.9,,,,,
101,2018KW03,79245.0,78733.0,512.0,406003.0,68994.0,45702.0,85828.0,82135.0,3693.0,314.0,734.0,,44.1,42.1,2.0,53.0,38.5,24.3,44.1,42.2,1.9,2.0,2.0,,,,,
102,2018KW04,84456.0,85168.0,-712.0,405899.0,74462.0,49765.0,84106.0,83584.0,522.0,-185.0,-691.0,,43.8,42.3,1.5,52.4,38.4,24.4,42.8,42.6,0.3,1.5,1.5,,,,,
103,2018JJ00,338867.0,327239.0,11628.0,405899.0,296936.0,188611.0,,,,11956.0,11458.0,2541.0,43.8,42.3,1.5,52.4,38.4,24.4,,,,1.5,1.5,0.3,1103.0,957.0,1526.0,2.3
104,2019KW01,95921.0,82712.0,13209.0,398407.0,85146.0,48017.0,90369.0,84779.0,5590.0,13715.0,13509.0,,44.0,42.4,1.7,50.9,38.6,24.4,44.9,42.1,2.8,1.8,1.7,,,,,
105,2019KW02,89234.0,88932.0,302.0,403901.0,78384.0,51143.0,88359.0,85189.0,3170.0,556.0,576.0,,43.9,42.3,1.7,50.9,38.7,24.5,43.8,42.2,1.6,1.8,1.8,,,,,
106,2019KW03,82171.0,83397.0,-1226.0,395209.0,72501.0,48596.0,88912.0,87063.0,1849.0,-593.0,-825.0,,43.8,42.3,1.4,49.2,38.6,24.6,43.7,42.8,0.9,1.7,1.6,,,,,
107,2019KW04,89795.0,87452.0,2343.0,394825.0,79622.0,52378.0,89016.0,85136.0,3880.0,2615.0,2185.0,,43.9,42.1,1.8,48.6,38.8,24.6,43.3,41.4,1.9,2.0,1.9,,,,,
108,2019JJ00,357121.0,342493.0,14628.0,394825.0,315653.0,200134.0,,,,16293.0,15445.0,1045.0,43.9,42.1,1.8,48.6,38.8,24.6,,,,2.0,1.9,0.1,1125.0,975.0,1564.0,2.4
109,2020KW01,95840.0,85657.0,10183.0,403482.0,85945.0,49977.0,90974.0,88023.0,2951.0,10447.0,10334.0,,43.7,42.3,1.4,49.4,38.8,24.8,44.5,43.0,1.4,1.6,1.5,,,,,
110,2020KW02,82350.0,102736.0,-20386.0,441955.0,73574.0,51597.0,81267.0,98934.0,-17667.0,-20150.0,-20018.0,,43.7,44.9,-1.1,55.2,38.9,25.3,43.4,52.8,-9.4,-1.0,-1.0,,,,,
111,2020KW03,81668.0,90730.0,-9062.0,441617.0,72604.0,50999.0,88460.0,94779.0,-6319.0,-8235.0,-8348.0,,43.8,45.9,-2.1,55.3,39.1,25.7,44.0,47.2,-3.1,-1.9,-2.0,,,,,
