ID,Toepassingsgroepen,TeeltsectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikPerJaar_3,GebruikPerHectare_4,Januari_5,Februari_6,Maart_7,April_8,Mei_9,Juni_10,Juli_11,Augustus_12,September_13,Oktober_14,November_15,December_16
2400,GRONT ,GLA,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401,GRONT ,GLA,1998JJ00,,,,,,,,,,,,,,,,
2402,GRONT ,GLA,2000JJ00,,,,,,,,,,,,,,,,
2403,GRONT ,GLA,2004JJ00,7.0,146.0,390.0,0.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,GRONT ,GLA,2008JJ00,31.0,277.0,1137.0,1.0,0.0,0.0,0.0,96.9,2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
2405,GRONT ,GLA,2012JJ00,47.0,483.0,3363.0,3.0,1.4,0.0,0.0,93.4,4.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0
2406,GRONT ,HYA,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,GRONT ,HYA,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,GRONT ,HYA,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,GRONT ,HYA,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,GRONT ,HYA,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2411,GRONT ,HYA,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,GRONT ,IRI,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2413,GRONT ,IRI,1998JJ00,10.0,16.0,6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,GRONT ,IRI,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,GRONT ,IRI,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,GRONT ,IRI,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417,GRONT ,IRI,2012JJ00,6.0,25.0,40.0,0.1,6.9,0.0,0.0,0.0,38.5,0.0,54.5,0.0,0.0,0.0,0.0,0.0
2418,GRONT ,LEB,1995JJ00,267.0,1206.0,1849.0,0.6,46.0,0.0,0.0,9.0,7.2,3.6,14.2,14.5,5.5,0.0,0.0,0.0
2419,GRONT ,LEB,1998JJ00,199.0,1548.0,6239.0,1.6,37.9,0.0,0.0,55.4,4.3,2.3,0.0,0.1,0.1,0.0,0.0,0.0
2420,GRONT ,LEB,2000JJ00,131.0,2090.0,7034.0,1.4,98.4,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,GRONT ,LEB,2004JJ00,219.0,2749.0,10694.0,2.4,4.1,0.0,0.0,94.7,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2422,GRONT ,LEB,2008JJ00,180.0,2490.0,4470.0,0.9,0.0,0.0,0.0,90.3,7.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0
2423,GRONT ,LEB,2012JJ00,88.0,994.0,1958.0,0.4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2424,GRONT ,NAR,1995JJ00,62.0,138.0,171.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2425,GRONT ,NAR,1998JJ00,10.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2426,GRONT ,NAR,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,GRONT ,NAR,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2428,GRONT ,NAR,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,GRONT ,NAR,2012JJ00,7.0,133.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2430,GRONT ,TUL,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,GRONT ,TUL,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,GRONT ,TUL,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,GRONT ,TUL,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434,GRONT ,TUL,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,GRONT ,TUL,2012JJ00,16.0,206.0,34.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,GRONT ,GRG,1995JJ00,,30.0,187.0,0.1,0.0,0.0,22.8,10.1,40.5,10.1,10.1,6.3,0.0,0.0,0.0,0.0
2437,GRONT ,GRG,1998JJ00,,42.0,21.0,0.0,0.0,28.6,38.1,0.0,0.0,0.0,0.0,19.0,14.3,0.0,0.0,0.0
2438,GRONT ,GRG,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2439,GRONT ,GRG,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,GRONT ,GRG,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,GRONT ,GRG,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2442,GRONT ,AAG,1995JJ00,,,,,,,,,,,,,,,,
2443,GRONT ,AAG,1998JJ00,,,,,,,,,,,,,,,,
2444,GRONT ,AAG,2000JJ00,,,,,,,,,,,,,,,,
2445,GRONT ,AAG,2004JJ00,,,,,,,,,,,,,,,,
2446,GRONT ,AAG,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447,GRONT ,AAG,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2448,GRONT ,KOM,1995JJ00,29.0,28.0,169.0,0.2,0.0,0.0,11.6,11.6,46.4,11.6,11.6,7.2,0.0,0.0,0.0,0.0
2449,GRONT ,KOM,1998JJ00,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2450,GRONT ,KOM,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2451,GRONT ,KOM,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2452,GRONT ,KOM,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2453,GRONT ,KOM,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
