ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
33,T001081,2000JJ00,6493.0,5692.0,1531.0,213.0,527.0,628.0,0.0,163.0,,,4143.0,1969.0,1620.0,554.0,18.0,801.0,268.0,36.0,34.0,130.0,333.0
34,T001081,2001JJ00,6673.0,5826.0,1622.0,182.0,523.0,747.0,0.0,170.0,,,4193.0,1895.0,1756.0,542.0,11.0,847.0,285.0,43.0,40.0,140.0,339.0
35,T001081,2002JJ00,6297.0,5409.0,1257.0,173.0,424.0,487.0,0.0,173.0,,,4144.0,2060.0,1538.0,546.0,8.0,888.0,285.0,38.0,59.0,149.0,357.0
36,T001081,2003JJ00,6519.0,5628.0,1273.0,114.0,434.0,527.0,0.0,198.0,,,4353.0,2123.0,1652.0,578.0,2.0,891.0,296.0,37.0,33.0,161.0,364.0
37,T001081,2004JJ00,6992.0,6097.0,1421.0,83.0,54.0,1085.0,0.0,199.0,,,4680.0,2224.0,1829.0,627.0,-4.0,895.0,307.0,33.0,34.0,153.0,368.0
38,T001081,2005JJ00,8021.0,7100.0,2223.0,116.0,10.0,1898.0,0.0,199.0,,,4876.0,2253.0,1947.0,676.0,1.0,921.0,317.0,48.0,36.0,155.0,365.0
39,T001081,2006JJ00,9038.0,8046.0,2660.0,183.0,-5.0,2272.0,0.0,210.0,,,5384.0,2478.0,2171.0,735.0,2.0,992.0,321.0,54.0,35.0,204.0,378.0
40,T001081,2007JJ00,8734.0,7730.0,1993.0,152.0,0.0,1632.0,0.0,209.0,,,5741.0,2604.0,2377.0,760.0,-4.0,1004.0,338.0,55.0,35.0,211.0,365.0
41,T001081,2008JJ00,9423.0,8428.0,2683.0,107.0,14.0,2162.0,0.0,204.0,161.0,35.0,5743.0,2797.0,2102.0,844.0,2.0,995.0,342.0,56.0,20.0,211.0,366.0
42,T001081,2009JJ00,8613.0,7671.0,2590.0,42.0,0.0,2047.0,0.0,193.0,275.0,33.0,5079.0,2805.0,1356.0,918.0,2.0,942.0,345.0,49.0,17.0,222.0,309.0
