ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
38,300025,2006JJ00,2861.0,25.0,33.0,8.0,11.0,4.0,,,2.0,60.0,150.0,24.0,178.0,97.0,253.0,51.0,167.0,8.0,16.0,164.0,568.0,6.0,329.0,215.0,11.0,482.0
39,300025,2007JJ00,2946.0,30.0,37.0,8.0,11.0,7.0,,103.0,,64.0,219.0,24.0,180.0,98.0,258.0,59.0,183.0,6.0,14.0,46.0,526.0,7.0,337.0,227.0,13.0,487.0
40,300025,2008JJ00,2896.0,24.0,36.0,8.0,12.0,8.0,,109.0,0.0,68.0,168.0,25.0,180.0,104.0,256.0,62.0,165.0,7.0,14.0,50.0,513.0,7.0,340.0,240.0,15.0,487.0
41,300025,2009JJ00,2803.0,18.0,31.0,6.0,9.0,4.0,,100.0,,66.0,190.0,26.0,169.0,89.0,238.0,54.0,163.0,6.0,11.0,48.0,512.0,7.0,321.0,218.0,17.0,501.0
42,300025,2010JJ00,2963.0,19.0,35.0,7.0,10.0,7.0,,101.0,8.0,64.0,220.0,26.0,171.0,80.0,238.0,56.0,166.0,6.0,9.0,55.0,594.0,5.0,330.0,230.0,16.0,511.0
43,300025,2011JJ00,2815.0,24.0,37.0,7.0,10.0,7.0,,104.0,10.0,73.0,162.0,26.0,180.0,87.0,241.0,49.0,162.0,6.0,9.0,53.0,515.0,5.0,336.0,226.0,16.0,471.0
44,301000,1990JJ00,167.0,,,,,,,,,2.0,,0.0,0.0,24.0,2.0,1.0,,0.0,,,118.0,,13.0,8.0,,
45,301000,1991JJ00,189.0,,,,,,,,,2.0,,0.0,0.0,25.0,2.0,1.0,,0.0,,,134.0,,14.0,9.0,,2.0
46,301000,1992JJ00,186.0,,,,,,,,,2.0,,0.0,0.0,24.0,2.0,1.0,,0.0,,,130.0,,14.0,10.0,,2.0
47,301000,1993JJ00,196.0,,,,,,,,,2.0,,0.0,0.0,25.0,2.0,1.0,,0.0,,,138.0,,14.0,11.0,,2.0
48,301000,1994JJ00,187.0,,,,,,,,,2.0,,0.0,0.0,25.0,1.0,1.0,,0.0,,,128.0,0.0,15.0,12.0,,2.0
49,301000,1995JJ00,190.0,,,,,,,,,3.0,,0.0,0.0,26.0,1.0,1.0,,0.0,,,129.0,0.0,14.0,14.0,,2.0
50,301000,1996JJ00,208.0,,,,,,,,,3.0,,0.0,0.0,24.0,2.0,1.0,,0.0,,,144.0,0.0,15.0,17.0,,2.0
51,301000,1997JJ00,187.0,,,,,,,,,2.0,,0.0,0.0,24.0,1.0,1.0,,0.0,,,120.0,0.0,15.0,20.0,,2.0
52,301000,1998JJ00,188.0,,,,,,,,,3.0,,0.0,0.0,24.0,2.0,1.0,,0.0,,,118.0,0.0,15.0,22.0,,2.0
53,301000,1999JJ00,184.0,,,,,,,,,3.0,,0.0,0.0,25.0,2.0,2.0,,0.0,,,110.0,0.0,17.0,22.0,,3.0
54,301000,2000JJ00,188.0,,,,,,,,,4.0,,0.0,0.0,25.0,2.0,2.0,,0.0,,,114.0,0.0,17.0,22.0,,3.0
55,301000,2001JJ00,183.0,,,,,,,,,3.0,,0.0,0.0,24.0,2.0,2.0,,0.0,,,110.0,0.0,18.0,21.0,,3.0
56,301000,2002JJ00,176.0,,,,,,,,,4.0,,0.0,0.0,24.0,2.0,2.0,,0.0,,,103.0,0.0,19.0,20.0,,3.0
57,301000,2003JJ00,173.0,,,,,,,,,3.0,,0.0,0.0,23.0,2.0,2.0,,0.0,,,100.0,0.0,19.0,20.0,,3.0
58,301000,2004JJ00,174.0,,,,,,,,,3.0,,0.0,0.0,22.0,2.0,2.0,,0.0,,,100.0,0.0,21.0,20.0,,4.0
59,301000,2005JJ00,171.0,,,,,,,,,3.0,,0.0,0.0,22.0,2.0,2.0,,0.0,,,97.0,0.0,20.0,22.0,,4.0
60,301000,2006JJ00,154.0,,,,,,,,,4.0,,0.0,0.0,21.0,2.0,1.0,,0.0,,,75.0,0.0,18.0,27.0,,5.0
61,301000,2007JJ00,154.0,,,,,,,,,2.0,,0.0,0.0,21.0,2.0,2.0,,0.0,,,48.0,1.0,25.0,40.0,,14.0
62,301000,2008JJ00,153.0,,,,,,,,,2.0,,0.0,0.0,20.0,2.0,2.0,,0.0,,,27.0,1.0,27.0,54.0,,18.0
63,301000,2009JJ00,158.0,,,,,,,,,4.0,,0.0,0.0,19.0,2.0,2.0,,0.0,,,23.0,1.0,33.0,55.0,,19.0
64,301000,2010JJ00,172.0,,,,,,,,,4.0,,0.0,0.0,19.0,2.0,2.0,,0.0,,,35.0,1.0,30.0,57.0,,21.0
65,301000,2011JJ00,152.0,,,,,,,,,4.0,,0.0,0.0,19.0,2.0,2.0,,0.0,,,16.0,1.0,29.0,58.0,,20.0
66,300002,1990JJ00,1574.0,33.0,38.0,10.0,8.0,,,,,84.0,93.0,3.0,1.0,10.0,14.0,28.0,149.0,2.0,,69.0,336.0,3.0,142.0,156.0,4.0,394.0
67,300002,1991JJ00,1577.0,28.0,35.0,10.0,6.0,,,,,82.0,81.0,3.0,0.0,9.0,14.0,31.0,136.0,3.0,,71.0,350.0,4.0,144.0,158.0,4.0,408.0
68,300002,1992JJ00,1590.0,25.0,31.0,10.0,8.0,,,,,75.0,115.0,3.0,0.0,6.0,15.0,30.0,125.0,3.0,,59.0,342.0,4.0,145.0,166.0,4.0,423.0
69,300002,1993JJ00,1566.0,28.0,33.0,11.0,10.0,,,,,63.0,88.0,3.0,0.0,3.0,16.0,30.0,136.0,3.0,,70.0,342.0,4.0,145.0,160.0,4.0,419.0
