ID,Zorgfuncties,Zorgfinanciering,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
321,T001104,A019162,2019JJ00,2038.0
322,T001104,A019162,2020JJ00,2096.0
323,T001104,A019162,2021JJ00,2298.0
324,T001104,A019162,2022JJ00,2382.0
325,T001104,A019163,1998JJ00,4245.0
326,T001104,A019163,1999JJ00,4586.0
327,T001104,A019163,2000JJ00,4838.0
328,T001104,A019163,2001JJ00,5105.0
329,T001104,A019163,2002JJ00,5361.0
330,T001104,A019163,2003JJ00,5701.0
331,T001104,A019163,2004JJ00,6215.0
332,T001104,A019163,2005JJ00,6317.0
333,T001104,A019163,2006JJ00,5708.0
334,T001104,A019163,2007JJ00,5955.0
335,T001104,A019163,2008JJ00,7411.0
336,T001104,A019163,2009JJ00,7285.0
337,T001104,A019163,2010JJ00,7730.0
338,T001104,A019163,2011JJ00,8449.0
339,T001104,A019163,2012JJ00,9415.0
340,T001104,A019163,2013JJ00,10640.0
341,T001104,A019163,2014JJ00,10568.0
342,T001104,A019163,2015JJ00,10488.0
343,T001104,A019163,2016JJ00,10639.0
344,T001104,A019163,2017JJ00,10632.0
345,T001104,A019163,2018JJ00,10853.0
346,T001104,A019163,2019JJ00,11191.0
347,T001104,A019163,2020JJ00,10681.0
348,T001104,A019163,2021JJ00,11613.0
349,T001104,A019163,2022JJ00,12879.0
350,T001104,A019164,1998JJ00,2637.0
351,T001104,A019164,1999JJ00,2912.0
352,T001104,A019164,2000JJ00,3153.0
353,T001104,A019164,2001JJ00,3391.0
354,T001104,A019164,2002JJ00,3585.0
355,T001104,A019164,2003JJ00,3915.0
356,T001104,A019164,2004JJ00,4265.0
357,T001104,A019164,2005JJ00,4313.0
358,T001104,A019164,2006JJ00,3798.0
359,T001104,A019164,2007JJ00,4095.0
360,T001104,A019164,2008JJ00,4175.0
361,T001104,A019164,2009JJ00,3886.0
362,T001104,A019164,2010JJ00,4208.0
363,T001104,A019164,2011JJ00,4696.0
364,T001104,A019164,2012JJ00,5237.0
365,T001104,A019164,2013JJ00,5329.0
366,T001104,A019164,2014JJ00,5109.0
367,T001104,A019164,2015JJ00,5247.0
368,T001104,A019164,2016JJ00,5329.0
369,T001104,A019164,2017JJ00,5388.0
370,T001104,A019164,2018JJ00,5626.0
371,T001104,A019164,2019JJ00,5948.0
372,T001104,A019164,2020JJ00,5496.0
373,T001104,A019164,2021JJ00,6249.0
374,T001104,A019164,2022JJ00,7285.0
375,T001104,A019165,1998JJ00,1608.0
376,T001104,A019165,1999JJ00,1674.0
377,T001104,A019165,2000JJ00,1685.0
378,T001104,A019165,2001JJ00,1714.0
379,T001104,A019165,2002JJ00,1776.0
380,T001104,A019165,2003JJ00,1786.0
381,T001104,A019165,2004JJ00,1950.0
382,T001104,A019165,2005JJ00,2004.0
383,T001104,A019165,2006JJ00,1911.0
384,T001104,A019165,2007JJ00,1860.0
385,T001104,A019165,2008JJ00,3237.0
386,T001104,A019165,2009JJ00,3398.0
387,T001104,A019165,2010JJ00,3523.0
388,T001104,A019165,2011JJ00,3752.0
389,T001104,A019165,2012JJ00,4178.0
390,T001104,A019165,2013JJ00,5311.0
391,T001104,A019165,2014JJ00,5459.0
392,T001104,A019165,2015JJ00,5241.0
393,T001104,A019165,2016JJ00,5310.0
394,T001104,A019165,2017JJ00,5244.0
395,T001104,A019165,2018JJ00,5228.0
396,T001104,A019165,2019JJ00,5243.0
397,T001104,A019165,2020JJ00,5184.0
398,T001104,A019165,2021JJ00,5364.0
399,T001104,A019165,2022JJ00,5595.0
400,T001104,A019166,1998JJ00,122.0
401,T001104,A019166,1999JJ00,125.0
402,T001104,A019166,2000JJ00,129.0
403,T001104,A019166,2001JJ00,136.0
404,T001104,A019166,2002JJ00,164.0
405,T001104,A019166,2003JJ00,158.0
406,T001104,A019166,2004JJ00,162.0
407,T001104,A019166,2005JJ00,171.0
408,T001104,A019166,2006JJ00,164.0
409,T001104,A019166,2007JJ00,165.0
410,T001104,A019166,2008JJ00,166.0
411,T001104,A019166,2009JJ00,183.0
412,T001104,A019166,2010JJ00,191.0
413,T001104,A019166,2011JJ00,204.0
414,T001104,A019166,2012JJ00,213.0
415,T001104,A019166,2013JJ00,206.0
416,T001104,A019166,2014JJ00,196.0
417,T001104,A019166,2015JJ00,207.0
418,T001104,A019166,2016JJ00,208.0
419,T001104,A019166,2017JJ00,211.0
420,T001104,A019166,2018JJ00,219.0
421,T001104,A019166,2019JJ00,229.0
422,T001104,A019166,2020JJ00,224.0
423,T001104,A019166,2021JJ00,222.0
424,T001104,A019166,2022JJ00,253.0
425,A052130,T001103,1998JJ00,4400.0
426,A052130,T001103,1999JJ00,5022.0
427,A052130,T001103,2000JJ00,5604.0
428,A052130,T001103,2001JJ00,6361.0
429,A052130,T001103,2002JJ00,6958.0
430,A052130,T001103,2003JJ00,7502.0
431,A052130,T001103,2004JJ00,7412.0
432,A052130,T001103,2005JJ00,7474.0
433,A052130,T001103,2006JJ00,6960.0
434,A052130,T001103,2007JJ00,7738.0
435,A052130,T001103,2008JJ00,8729.0
