ID,TypeInstelling,Perioden,TotaalWerkzamePersonen_1,TotaalWerknemers_2,AlgemeneEnAdministratieveFuncties_3,Hotelfuncties_4,ClientgebondenFuncties_5,LeerlingPersoneel_6,TerreinEnGebouwgebondenFuncties_7,OverigeWerkzamePersonen_8,TotaalAantalArbeidsjaren_9,TotaalWerknemers_10,AlgemeneEnAdministratieveFuncties_11,Hotelfuncties_12,ClientgebondenFuncties_13,LeerlingPersoneel_14,TerreinEnGebouwgebondenFuncties_15,OverigeWerkzamePersonen_16,AantalInstellingen_17,AantalPlaatsenVerblijfWonenDagbest_18,AantalVerpleegEnWoondagen_19,AantalDagbestedingsdagen_20,TotaalAantalClientenPer31Dec_21,VerstandelijkGehandicapten_22,LichamelijkGehandicapten_23,ZintuiglijkGehandicapten_24,MeervoudigGehandicapten_25,TotaalBedrijfsopbrengsten_26,TotaalNettoOmzet_27,OpbrengstenTerDekkingWettelijkBudget_28,OverigeNettoOmzet_29,TotaalOverigeBedrijfsopbrengsten_30,SubsidiesEnBijdragen_31,OverigeBedrijfsopbrengstenNEG_32,TotaalBedrijfslasten_33,InkoopwaardeOmzet_34,TotaalArbeidskosten_35,LonenEnSalarissen_36,Pensioenlasten_37,SocialeLasten_38,AfschrijvingenOpVasteActiva_39,TotaalOverigeBedrijfslasten_40,TotaalAnderePersoneelskosten_41,KostenUitzendkrachtenEnOverigeInleen_42,OverigePersoneelskosten_43,TotaalOverigeBedrijfslastenNEG_44,VoedingEnHotelmatigeKosten_45,AlgemeneKosten_46,ClientBewonersGebondenKosten_47,OnderhoudEnEnergiekosten_48,HuurOperationeleLeasingKapGoederen_49,AndereBedrijfslasten_50,Bedrijfsresultaat_51,FinancieleBaten_52,FinancieleLasten_53,FinancieelResultaat_54,OnttrekkingAanVoorzieningen_55,ToevoegingenAanVoorzieningen_56,SaldoVoorzieningen_57,BuitengewoneBaten_58,BuitengewoneLasten_59,BuitengewoonResultaat_60,ResultaatVoorBelastingen_61,WettelijkBudgetAanvaardbareKosten_62,OpbrengstenTerDekkingWettelijkBudget_63,FinancieringsverschilBoekjaar_64
10,30,2001JJ00,6962.0,6411.0,565.0,504.0,5084.0,139.0,119.0,551.0,4848.0,4674.0,507.0,340.0,3538.0,166.0,122.0,175.0,24,4282.0,1136.0,531.0,,,,,,226,,219,,,,,218,,140,,,,12,66,14,10,4,52,19,11,5,10,,7,9,0,10,-10,,,,,,0,-1,220,219,1
11,30,2002JJ00,4741.0,4391.0,409.0,392.0,3441.0,86.0,63.0,350.0,2841.0,2749.0,285.0,220.0,2132.0,67.0,46.0,92.0,17,3388.0,825.0,389.0,5541.0,,,,,157,,152,,,,,148,,94,,,,7,48,8,5,3,40,16,8,2,8,,6,10,0,5,-5,,,,,,0,5,153,152,1
12,30,2003JJ00,3704.0,3367.0,320.0,257.0,2669.0,66.0,55.0,337.0,2174.0,2098.0,223.0,146.0,1644.0,44.0,40.0,76.0,15,2370.0,507.0,305.0,4872.0,0.0,4650.0,122.0,100.0,131,,127,,,,,126,,76,,,,6,42,8,4,4,34,12,8,2,6,,6,5,0,4,-3,,,,,,0,2,132,127,5
13,30,2004JJ00,10130.0,8585.0,751.0,670.0,6896.0,198.0,70.0,1545.0,5693.0,5233.0,481.0,362.0,4187.0,146.0,57.0,460.0,21,4731.0,1117.0,779.0,10620.0,486.0,10134.0,0.0,0.0,303,298.0,294,4.0,5.0,4.0,1.0,297,,181,147.0,10.0,24.0,11,105,18,10,7,87,33,16,4,15,14.0,5,6,1,6,-5,,,,,,-4,-3,301,294,7
14,30,2005JJ00,,,,,,,,,,,,,,,,,20,,,,,,,,,332,326.0,319,7.0,6.0,4.0,2.0,311,,193,155.0,12.0,25.0,11,107,17,10,7,90,31,20,6,17,13.0,4,20,1,7,-7,,,,,,0,14,323,319,5
15,40,2001JJ00,2446.0,2218.0,280.0,190.0,1696.0,0.0,52.0,228.0,1591.0,1518.0,211.0,113.0,1149.0,0.0,46.0,72.0,10,1188.0,314.0,19.0,,,,,,85,,78,,,,,80,,49,,,,6,25,7,4,3,18,5,5,2,4,,2,7,1,4,-4,,,,,,0,3,80,78,2
16,40,2002JJ00,3313.0,2959.0,349.0,248.0,2309.0,21.0,33.0,355.0,2088.0,1995.0,256.0,154.0,1536.0,19.0,29.0,93.0,8,1665.0,433.0,58.0,6500.0,,,,,131,,122,,,,,124,,78,,,,7,40,9,5,4,31,7,16,2,6,,0,7,1,4,-3,,,,,,0,4,123,122,1
17,40,2003JJ00,2216.0,2003.0,425.0,106.0,1350.0,23.0,99.0,212.0,1420.0,1372.0,282.0,41.0,979.0,20.0,51.0,48.0,6,986.0,216.0,47.0,4016.0,0.0,0.0,4016.0,0.0,75,,71,,,,,75,,47,,,,4,23,5,3,2,18,3,6,1,2,,6,0,0,2,-1,,,,,,0,-1,76,71,6
18,40,2004JJ00,3446.0,3250.0,470.0,267.0,2368.0,76.0,69.0,196.0,2318.0,2281.0,338.0,158.0,1680.0,60.0,45.0,37.0,9,1099.0,316.0,29.0,6870.0,0.0,0.0,6870.0,0.0,131,129.0,121,7.0,2.0,1.0,1.0,136,,87,70.0,5.0,12.0,6,44,9,5,4,35,8,8,2,6,3.0,7,-5,0,3,-2,,,,,,0,-8,130,121,9
19,40,2005JJ00,,,,,,,,,,,,,,,,,9,,,,,,,,,141,139.0,129,9.0,2.0,2.0,1.0,145,,90,73.0,5.0,12.0,6,49,9,6,3,40,9,10,2,6,4.0,9,-5,1,2,-1,,,,,,0,-6,137,129,7
20,50,2001JJ00,4693.0,4440.0,509.0,186.0,3471.0,42.0,231.0,253.0,3075.0,2994.0,376.0,116.0,2349.0,33.0,120.0,80.0,4,1724.0,489.0,43.0,,,,,,119,,112,,,,,121,,75,,,,7,40,9,5,4,31,7,11,2,6,,5,-2,0,4,-4,,,,,,0,-6,117,112,5
21,50,2002JJ00,13356.0,12655.0,1026.0,964.0,10200.0,282.0,182.0,701.0,8265.0,8081.0,765.0,529.0,6369.0,260.0,158.0,185.0,15,8749.0,1926.0,225.0,9104.0,,,,,458,,420,,,,,457,,308,,,,25,125,25,11,14,100,33,26,11,19,,11,1,1,18,-18,,,,,,5,-12,441,420,21
22,50,2003JJ00,10106.0,9377.0,934.0,692.0,7498.0,129.0,125.0,729.0,5951.0,5787.0,659.0,393.0,4526.0,106.0,104.0,165.0,13,14765.0,3855.0,63.0,6890.0,1344.0,416.0,1.0,5129.0,331,,296,,,,,316,,216,,,,15,85,20,10,10,65,24,18,5,11,,7,15,1,7,-7,,,,,,0,8,298,296,3
23,50,2004JJ00,14198.0,12926.0,1085.0,910.0,10427.0,330.0,174.0,1272.0,7982.0,7785.0,745.0,499.0,6097.0,300.0,144.0,197.0,14,5574.0,1861.0,700.0,11876.0,7018.0,1385.0,0.0,3473.0,425,418.0,374,44.0,7.0,8.0,-1.0,401,,270,211.0,15.0,44.0,22,109,19,9,10,90,29,28,8,16,8.0,2,25,0,14,-14,,,,,,-5,6,378,374,3
24,50,2005JJ00,,,,,,,,,,,,,,,,,13,,,,,,,,,460,455.0,410,45.0,5.0,5.0,0.0,432,,292,231.0,18.0,44.0,23,116,19,8,11,97,32,28,10,18,10.0,0,28,0,12,-12,,,,,,1,17,413,410,3
