ID,HerkomstBestemming,Perioden,NettoEnergieverbruik_1,GebruikVanLeidingwater_2,Afval_3,ZwareMetalenNaarWater_4,NutrientenNaarWater_5,KlimaatveranderingBroeikasgassen_6,VerzuringVerzurendeStoffen_7,Ozonlaagaantasting_8,FijnStof_9,OpbrengstMilieubelastingenHeffingen_10,Milieukosten_11,MilieuInvesteringen_12,ArbeidsvolumeWerkzamePersonen_13,BrutoToegevoegdeWaardeBasisprijzen_14,ArbeidsvolumeWerkzamePersonen_15,ProductieBasisprijzen_16,BrutoToegevoegdeWaardeBasisprijzen_17,InvesteringenInVasteActivaBruto_18
67,301000,2008JJ00,157.0,44.3,4764.0,11.0,8219.0,27811.0,7.9,0.0,6.7,422.0,,,3.0,415.0,185.0,23955.0,9285.0,4519.0
68,301000,2009JJ00,162.0,47.2,4258.0,12.0,6405.0,28091.0,7.8,0.0,6.7,422.0,,,4.0,398.0,183.0,24352.0,9700.0,4168.0
69,301000,2010JJ00,173.0,43.8,4319.0,15.0,8977.0,29339.0,7.6,0.0,6.8,415.0,,,4.0,577.0,180.0,24563.0,9641.0,4667.0
70,301000,2011JJ00,164.0,42.7,,,,28144.0,7.3,0.0,7.2,397.0,,,4.0,547.0,178.0,24426.0,9784.0,5084.0
71,301000,2012JJ00,165.0,,,,,27835.0,7.0,0.0,7.0,344.0,,,,,174.0,24468.0,9811.0,4207.0
72,300002,1995JJ00,1614.0,,,57.0,14589.0,122436.0,7.1,484.9,22.4,1151.0,,,,,971.0,238650.0,70957.0,12332.0
73,300002,1996JJ00,1610.0,,,51.0,13843.0,125274.0,6.9,364.5,17.6,1259.0,,,,,960.0,246792.0,72743.0,13383.0
74,300002,1997JJ00,1632.0,,,49.0,13250.0,126182.0,6.3,272.0,15.0,1229.0,,,,,969.0,254884.0,72610.0,14679.0
75,300002,1998JJ00,1652.0,,,47.0,13415.0,128898.0,5.8,177.6,14.1,1277.0,,,,,977.0,263060.0,73690.0,13402.0
76,300002,1999JJ00,1652.0,,,44.0,12561.0,119426.0,5.3,164.4,13.2,1431.0,,,,,973.0,269116.0,75953.0,12673.0
77,300002,2000JJ00,1703.0,,,38.0,10447.0,119326.0,4.7,161.0,13.6,1505.0,,,,,970.0,280063.0,80232.0,12365.0
78,300002,2001JJ00,1744.0,,,38.0,9462.0,119850.0,4.7,156.9,12.8,1393.0,,,,,969.0,280045.0,81151.0,11916.0
79,300002,2002JJ00,1758.0,,22037.0,36.0,9090.0,121979.0,4.5,137.2,13.1,1377.0,,,,,950.0,276408.0,82079.0,12247.0
80,300002,2003JJ00,1817.0,173.4,21794.0,33.0,8539.0,121800.0,4.4,107.6,12.0,1418.0,,,,,919.0,274034.0,81180.0,12078.0
81,300002,2004JJ00,1873.0,167.4,21460.0,30.0,8327.0,124252.0,4.4,106.0,11.3,1295.0,,,,,891.0,282113.0,84552.0,11088.0
82,300002,2005JJ00,1913.0,162.0,20180.0,26.0,8159.0,122644.0,4.2,105.2,10.7,1392.0,,,,,870.0,284760.0,84813.0,11901.0
83,300002,2006JJ00,1813.0,163.5,18871.0,22.0,7387.0,117587.0,4.1,106.2,10.5,1648.0,,,,,863.0,291996.0,86504.0,13494.0
84,300002,2007JJ00,1966.0,163.4,19047.0,27.0,8018.0,118945.0,3.8,101.9,10.1,1528.0,,,,,868.0,302478.0,89899.0,14203.0
85,300002,2008JJ00,1885.0,167.7,19068.0,21.0,7677.0,115343.0,3.4,99.4,9.5,1901.0,1461.0,765.0,,,874.0,302793.0,90570.0,15324.0
86,300002,2009JJ00,1835.0,164.2,16179.0,19.0,6607.0,112393.0,2.9,93.3,8.5,1947.0,1413.0,493.0,,,853.0,283973.0,84246.0,14433.0
