ID,Periods,Beer_1,Bread_2,Butter_3,Cheese_4,Coffee_5,Eggs_6,Margarine_7,Milk_8,PorkSteak_9,Potatoes_10,Rice_11,StewingSteak_12,Sugar_13,Tea_14
77,1877JJ00,0.02,0.07,0.16,0.19,0.24,0.02,,0.03,0.0,0.02,0.07,0.38,0.24,0.05
78,1878JJ00,0.02,0.06,0.15,0.17,0.22,0.02,,0.03,0.29,0.02,0.07,0.39,0.24,0.05
79,1879JJ00,0.02,0.06,0.14,0.15,0.2,0.02,,0.03,0.28,0.03,0.07,0.36,0.21,0.0
80,1880JJ00,0.02,0.06,0.16,0.18,0.19,0.02,0.23,0.03,0.34,0.02,0.07,0.36,0.22,0.05
81,1881JJ00,0.02,0.06,0.15,0.17,0.16,0.02,0.2,0.03,0.34,0.02,0.07,0.38,0.23,0.05
82,1882JJ00,0.02,0.06,0.15,0.17,0.13,0.02,0.21,0.03,0.35,0.02,0.06,0.4,0.23,0.04
83,1883JJ00,0.02,0.05,0.15,0.19,0.14,0.02,0.19,0.03,0.36,0.02,0.06,0.41,0.23,0.04
84,1884JJ00,0.02,0.05,0.14,0.18,0.14,0.02,0.18,0.03,0.29,0.01,0.06,0.4,0.2,0.04
85,1885JJ00,0.02,0.05,0.13,0.15,0.12,0.02,0.15,0.03,0.27,0.01,0.05,0.34,0.2,0.05
86,1886JJ00,0.02,0.05,0.13,0.16,0.15,0.01,0.13,0.03,0.25,0.01,0.05,0.32,0.18,0.05
87,1887JJ00,0.02,0.05,0.12,0.16,0.23,0.01,0.14,0.03,0.25,0.02,0.05,0.3,0.17,0.05
88,1888JJ00,0.02,0.05,0.13,0.17,0.19,0.01,0.13,0.03,0.0,0.02,0.05,0.4,0.18,0.04
89,1889JJ00,0.02,0.05,0.13,0.15,0.23,0.01,0.13,0.03,0.25,0.02,0.05,0.41,0.19,0.04
90,1890JJ00,0.02,0.05,0.13,0.19,0.25,0.01,0.13,0.03,0.31,0.02,0.06,0.3,0.19,0.04
91,1891JJ00,0.02,0.05,0.13,0.18,0.26,0.01,0.15,0.03,0.29,0.02,0.06,0.29,0.18,0.04
92,1892JJ00,0.02,0.05,0.14,0.16,0.25,0.01,0.14,0.03,0.28,0.01,0.05,0.29,0.18,0.03
93,1893JJ00,0.02,0.04,0.14,0.17,0.24,0.02,0.15,0.03,0.31,0.01,0.05,0.26,0.19,0.04
94,1894JJ00,0.02,0.04,0.12,0.16,0.24,0.01,0.13,0.03,0.3,0.02,0.05,0.28,0.18,0.03
95,1895JJ00,0.02,0.04,0.12,0.16,0.25,0.01,0.11,0.03,0.27,0.01,0.05,0.26,0.17,0.03
96,1896JJ00,0.02,0.04,0.12,0.16,0.23,0.01,0.08,0.03,0.27,0.01,0.05,0.25,0.16,0.03
97,1897JJ00,0.02,0.05,0.12,0.17,0.21,0.01,0.09,0.03,0.24,0.01,0.05,0.26,0.16,0.03
98,1898JJ00,0.02,0.05,0.12,0.18,0.16,0.01,0.09,0.03,0.27,0.02,0.06,0.24,0.15,0.03
99,1899JJ00,0.02,0.04,0.13,0.19,0.13,0.01,0.11,0.03,0.26,0.01,0.05,0.25,0.16,0.04
100,1900JJ00,0.02,0.05,0.14,0.21,0.16,0.01,0.11,0.03,0.25,0.01,0.05,0.26,0.16,0.04
101,1901JJ00,0.02,0.05,0.14,0.2,0.15,0.01,0.11,0.03,0.25,0.01,0.05,0.27,0.16,0.03
102,1902JJ00,0.02,0.05,0.13,0.21,0.16,0.01,0.15,0.03,0.3,0.01,0.05,0.29,0.15,0.04
103,1903JJ00,0.02,0.05,0.14,0.2,0.13,0.01,0.11,0.03,0.29,0.02,0.05,0.31,0.15,0.04
104,1904JJ00,0.02,0.05,0.14,0.22,0.14,0.02,0.11,0.03,0.27,0.02,0.05,0.29,0.15,0.04
105,1905JJ00,0.02,0.05,0.14,0.21,0.14,0.02,0.13,0.03,0.28,0.02,0.05,0.29,0.19,0.03
106,1906JJ00,0.02,0.05,0.15,0.22,0.15,0.02,0.13,0.03,0.31,0.02,0.05,0.3,0.17,0.04
107,1907JJ00,0.02,0.05,0.14,0.21,0.15,0.02,0.13,0.03,0.34,0.02,0.05,0.31,0.16,0.04
108,1908JJ00,0.02,0.05,0.15,0.23,0.16,0.02,0.16,0.03,0.33,0.02,0.06,0.31,0.17,0.04
109,1909JJ00,0.02,0.06,0.15,0.25,0.18,0.02,0.17,0.03,0.35,0.02,0.06,0.32,0.17,0.04
110,1910JJ00,0.02,0.06,0.15,0.26,0.2,0.02,0.15,0.03,0.38,0.02,0.06,0.34,0.17,0.04
111,1911JJ00,0.02,0.05,0.16,0.29,0.22,0.02,0.13,0.04,0.36,0.02,0.06,0.35,0.18,0.04
112,1912JJ00,0.02,0.05,0.16,0.28,0.24,0.02,0.17,0.04,0.35,0.02,0.07,0.37,0.19,0.04
113,1913JJ00,0.02,0.06,0.16,0.28,0.21,0.02,0.15,0.04,0.37,0.02,0.07,0.37,0.19,0.04
114,1914JJ00,,,,0.48,0.3,,0.23,,,,0.14,,0.24,0.08
