ID,EnergyCommodities,Periods,Amount_1,ChangeYearOnYear_2,PriceIndex_3,ChangeYearOnYear_4
1031,c,2009KW03,316.0,-3.7,79.4,-34.0
1032,c,2009MM10,108.0,0.5,84.8,-3.1
1033,c,2009MM11,102.0,10.0,86.2,28.8
1034,c,2009MM12,105.0,11.9,84.7,74.4
1035,c,2009KW04,314.0,7.2,85.2,25.9
1036,c,2009JJ00,1244.0,-2.4,72.9,-29.0
1037,c,2010MM01,104.0,6.1,91.1,73.1
1038,c,2010MM02,98.0,-0.9,90.5,66.6
1039,c,2010MM03,114.0,5.5,97.9,64.8
1040,c,2010KW01,316.0,3.6,93.2,68.0
1041,c,2010MM04,116.0,14.4,105.4,68.5
1042,c,2010MM05,111.0,3.8,101.8,44.3
1043,c,2010MM06,110.0,10.4,100.7,23.5
1044,c,2010KW02,337.0,9.4,102.6,43.5
1045,c,2010MM07,108.0,3.1,99.3,30.5
1046,c,2010MM08,105.0,4.5,99.2,18.2
1047,c,2010MM09,108.0,-2.5,98.7,26.1
1048,c,2010KW03,321.0,1.6,99.1,24.7
1049,c,2010MM10,113.0,4.8,97.7,15.2
1050,c,2010MM11,112.0,10.4,103.4,19.9
1051,c,2010MM12,105.0,0.2,114.3,35.0
1052,c,2010KW04,330.0,5.1,105.1,23.4
1053,c,2010JJ00,1305.0,4.9,100.0,37.1
1054,c,2011MM01,103.0,-1.0,119.8,31.4
1055,c,2011MM02,99.0,0.6,126.1,39.4
1056,c,2011MM03,105.0,-7.5,136.6,39.5
1057,c,2011KW01,307.0,-2.8,127.5,36.8
1058,c,2011MM04,97.0,-15.9,143.3,35.9
1059,c,2011MM05,104.0,-6.2,131.4,29.2
1060,c,2011MM06,106.0,-3.3,128.9,28.0
1061,c,2011KW02,308.0,-8.6,134.5,31.1
1062,c,2011MM07,105.0,-2.7,130.9,31.8
1063,c,2011MM08,107.0,1.8,127.5,28.5
1064,c,2011MM09,108.0,0.0,130.0,31.8
1065,c,2011KW03,320.0,-0.3,129.5,30.7
1066,c,2011MM10,105.0,-6.8,132.3,35.4
1067,c,2011MM11,102.0,-9.3,132.6,28.2
1068,c,2011MM12,99.0,-5.7,135.9,18.9
1069,c,2011KW04,306.0,-7.3,133.6,27.1
1070,c,2011JJ00,1241.0,-4.9,131.3,31.3
1071,c,2012MM01,106.0,2.4,143.2,19.6
1072,c,2012MM02,106.0,7.6,146.1,15.9
1073,c,2012MM03,108.0,2.9,154.7,13.3
1074,c,2012KW01,320.0,4.2,148.0,16.1
1075,c,2012MM04,104.0,7.2,148.2,3.4
1076,c,2012MM05,109.0,4.2,138.0,5.0
1077,c,2012MM06,101.0,-5.1,127.0,-1.4
1078,c,2012KW02,314.0,1.9,137.8,2.4
1079,c,2012MM07,106.0,0.5,136.0,3.9
1080,c,2012MM08,105.0,-2.0,147.8,16.0
1081,c,2012MM09,102.0,-5.0,145.2,11.6
1082,c,2012KW03,313.0,-2.2,143.0,10.4
1083,c,2012MM10,107.0,1.7,141.9,7.3
1084,c,2012MM11,102.0,-0.1,137.7,3.8
1085,c,2012MM12,102.0,3.4,136.5,0.5
1086,c,2012KW04,311.0,1.6,138.7,3.8
1087,c,2012JJ00,1258.0,1.4,141.9,8.1
1088,c,2013MM01,104.0,-1.5,138.3,-3.4
1089,c,2013MM02,92.0,-13.0,142.0,-2.8
1090,c,2013MM03,99.0,-8.8,135.9,-12.2
1091,c,2013KW01,295.0,-7.8,138.7,-6.3
1092,c,2013MM04,98.0,-6.2,129.9,-12.3
1093,c,2013MM05,108.0,-1.1,129.1,-6.5
1094,c,2013MM06,107.0,5.6,129.0,1.6
1095,c,2013KW02,312.0,-0.6,129.3,-6.1
1096,c,2013MM07,107.0,1.3,136.7,0.5
1097,c,2013MM08,107.0,2.1,140.6,-4.9
1098,c,2013MM09,104.0,1.4,139.1,-4.2
1099,c,2013KW03,318.0,1.6,138.8,-2.9
1100,c,2013MM10,104.0,-2.3,132.7,-6.5
1101,c,2013MM11,103.0,0.7,133.2,-3.3
1102,c,2013MM12,100.0,-2.2,133.2,-2.4
1103,c,2013KW04,307.0,-1.3,133.0,-4.1
1104,c,2013JJ00,1233.0,-2.0,135.0,-4.9
1105,c,2014MM01,102.0,-2.0,129.8,-6.2
1106,c,2014MM02,97.0,4.5,131.9,-7.1
1107,c,2014MM03,103.0,4.0,127.6,-6.1
1108,c,2014KW01,301.0,2.0,129.8,-6.5
1109,c,2014MM04,104.0,6.4,128.5,-1.1
1110,c,2014MM05,110.0,1.8,131.1,1.5
1111,c,2014MM06,101.0,-4.9,134.5,4.3
1112,c,2014KW02,315.0,1.0,131.3,1.5
1113,c,2014MM07,105.0,-2.4,128.4,-6.0
1114,c,2014MM08,101.0,-5.5,124.9,-11.1
1115,c,2014MM09,103.0,-0.5,121.7,-12.5
1116,c,2014KW03,309.0,-2.8,125.0,-9.9
1117,c,2014MM10,87.0,-16.5,112.2,-15.5
1118,c,2014MM11,86.0,-16.2,102.3,-23.2
1119,c,2014MM12,91.0,-9.2,80.2,-39.8
1120,c,2014KW04,264.0,-14.0,98.2,-26.2
1121,c,2014JJ00,1189.0,-3.6,121.1,-10.3
1122,c,2015MM01,95.0,-7.1,69.7,-46.3
1123,c,2015MM02,83.0,-14.2,84.1,-36.3
1124,c,2015MM03,92.0,-10.8,84.5,-33.8
1125,c,2015KW01,269.0,-10.6,79.4,-38.8
1126,c,2015MM04,85.0,-18.7,90.4,-29.6
1127,c,2015MM05,90.0,-18.0,89.5,-31.7
1128,c,2015MM06,89.0,-12.7,88.8,-34.0
1129,c,2015KW02,263.0,-16.5,89.6,-31.8
1130,c,2015MM07,106.0,1.4,80.7,-37.1
1131,c,2015MM08,102.0,1.2,70.0,-44.0
1132,c,2015MM09,107.0,4.1,71.8,-41.0
1133,c,2015KW03,316.0,2.3,74.2,-40.7
1134,c,2015MM10,112.0,28.5,69.9,-37.7
1135,c,2015MM11,98.0,14.4,68.3,-33.2
1136,c,2015MM12,107.0,17.4,64.0,-20.2
1137,c,2015KW04,317.0,20.1,67.4,-31.4
1138,c,2015JJ00,1166.0,-1.9,77.6,-35.9
1139,c,2016MM01,96.0,1.5,44.1,-36.7
1140,c,2016MM02,96.0,15.7,45.4,-46.0
1141,c,2016MM03,99.0,8.3,55.7,-34.0
1142,c,2016KW01,291.0,8.2,48.4,-39.0
1143,c,2016MM04,100.0,17.6,59.2,-34.5
1144,c,2016MM05,100.0,11.7,68.8,-23.1
1145,c,2016MM06,101.0,14.3,71.6,-19.3
1146,c,2016KW02,301.0,14.4,66.5,-25.7
1147,c,2016MM07,100.0,-5.8,65.8,-18.5
1148,c,2016MM08,101.0,-1.4,66.0,-5.7
1149,c,2016MM09,105.0,-2.3,66.7,-7.0
1150,c,2016KW03,306.0,-3.2,66.2,-10.8
1151,c,2016MM10,106.0,-5.5,72.6,3.9
1152,c,2016MM11,103.0,4.6,68.5,0.2
1153,c,2016MM12,103.0,-3.2,82.4,28.8
1154,c,2016KW04,312.0,-1.6,74.5,10.5
1155,c,2016JJ00,1208.0,3.6,63.9,-17.7
1156,c,2017MM01,108.0,12.2,84.7,91.8
1157,c,2017MM02,101.0,5.6,85.6,88.5
1158,c,2017MM03,107.0,8.2,81.9,47.0
1159,c,2017KW01,,,84.1,73.6
1160,c,2017MM04,102.0,2.5,80.4,35.9
1161,c,2017MM05,99.0,-1.1,75.8,10.2
1162,c,2017MM06,104.0,3.2,68.6,-4.3
1163,c,2017KW02,,,74.9,12.6
1164,c,2017MM07,103.0,2.8,68.7,4.4
1165,c,2017MM08,93.0,-8.3,73.8,11.8
1166,c,2017MM09,98.0,-6.7,79.7,19.4
1167,c,2017KW03,,,74.1,11.9
1168,c,2017MM10,100.0,-5.7,78.1,7.6
1169,c,2017MM11,99.0,-4.2,90.3,31.8
1170,c,2017MM12,98.0,-4.9,73.4,-10.9
1171,c,2017KW04,,,80.6,8.2
1172,c,2017JJ00,1212.0,0.3,78.4,22.7
