ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
0,NL01  ,11228340,3574370,7924690,2604770,1868130,224580,106810,101530,107540,111360,120240,114320,121930,124460,7771700,24400,2503100,26200,3277800,427000,392000,8973,1442,16,1919370,484553,245790,26060,25930,25490,15310,156040
1,GM1680,15310,4750,11150,3560,2510,210,80,70,80,80,90,90,100,90,11300,25600,3500,26800,4600,400,400,13,2,14,2540,453,470,20,30,20,10,150
2,GM0358,20180,7440,13090,5460,4000,390,60,60,60,70,80,80,90,90,12900,28400,5200,30800,7000,400,400,17,3,19,2130,273,270,30,10,30,10,270
3,GM0197,16750,5650,11400,4090,2830,260,70,70,70,80,90,80,90,90,11600,23400,4000,24500,5500,400,400,13,3,19,2300,370,400,20,30,20,20,180
4,GM0059,17460,6470,11720,4500,3250,320,160,150,150,170,180,160,170,190,11800,21300,4500,22100,6200,700,800,15,4,26,3240,792,500,30,30,30,30,450
5,GM0482,12230,4950,8170,3220,2350,250,100,100,110,110,110,110,110,110,8100,24900,3200,26100,4600,300,400,10,2,19,1890,398,200,20,30,20,30,270
6,GM0613,16370,5900,10180,4420,3240,340,90,80,90,90,100,90,110,100,10600,28900,4300,30400,5600,400,400,13,2,13,2320,393,280,60,30,60,10,200
7,GM0361,70700,21870,51650,16590,11950,1490,620,620,630,620,680,670,680,680,50900,24300,15900,25400,20200,2500,2200,58,8,14,11580,2763,1890,260,160,260,140,1000
8,GM0141,46930,15580,32680,11480,8200,1040,690,660,700,710,790,730,810,830,32300,22000,11200,22500,14800,2600,2400,36,6,18,10070,3330,1730,180,260,180,90,860
9,GM0034,145400,50440,87390,38110,27250,4610,1980,1800,2020,2120,2070,1930,2090,2200,82300,24400,35400,24400,44600,7300,6600,111,18,16,23650,6530,2380,270,290,270,190,1940
10,GM0484,71690,24110,48240,17410,12550,1340,400,380,410,420,510,480,530,530,46900,26200,16800,27300,22400,2100,1900,60,9,15,9930,1948,1450,150,170,140,60,1230
11,GM1723,6350,2030,4170,1530,1020,90,20,20,20,20,30,30,30,30,4000,27500,1500,29400,1800,200,200,6,1,17,810,107,80,0,0,0,0,60
12,GM1959,34800,12800,22010,8830,6180,460,140,120,140,150,170,170,180,180,21400,26100,8500,27300,11900,700,700,29,7,24,4950,609,490,60,90,60,30,620
13,GM0060,2260,720,1710,510,350,20,0,0,0,0,0,0,0,0,1600,22400,500,23500,800,100,100,1,0,24,270,8,20,0,0,0,0,30
14,GM0307,104390,37200,68520,25400,19370,2100,920,890,920,940,1040,1020,1050,1030,67500,26100,24500,27800,35100,3700,3400,84,10,12,14730,4064,1950,160,190,160,110,1810
15,GM0362,57530,19700,43330,14360,10840,1200,290,290,280,280,330,330,340,330,41800,28000,13200,32500,16700,1500,1300,46,4,9,10030,1268,690,100,60,100,30,580
16,GM0363,629380,156750,470220,114190,84630,15420,10240,9830,10320,10580,10500,10090,10600,10820,443500,23700,106300,25600,138200,34000,30500,481,45,9,129590,46127,8690,1130,1580,1110,690,6030
17,GM0200,103190,33690,72890,24240,17590,1960,890,870,910,900,990,950,1020,990,72600,24600,23200,25800,30700,3500,3200,81,13,16,17720,4287,3150,270,260,270,90,1490
18,GM0003,7110,2310,5530,1710,1220,200,130,120,120,130,140,130,150,150,5800,21700,1700,22400,2200,400,400,5,1,22,1660,504,320,20,40,20,20,90
19,GM0202,109950,32390,80150,22770,17400,2340,1790,1700,1800,1860,1940,1850,1970,2020,77300,21800,21500,23900,28400,5500,4800,82,11,13,24390,9004,4110,530,550,530,100,1690
20,GM0106,43350,14820,31030,10260,7700,970,480,460,480,490,550,520,550,570,31400,23000,10100,23700,14200,1900,1800,34,5,14,8360,2456,1630,140,160,140,70,790
21,GM0743,10500,3400,7130,2530,1690,150,40,40,40,40,60,60,60,60,7100,25200,2500,27700,3300,300,300,8,2,23,1440,247,170,10,30,0,10,90
22,GM0744,4090,1220,3070,990,650,70,10,10,20,10,20,20,30,30,3000,24400,900,27800,1000,100,100,4,1,28,650,104,60,10,10,10,0,60
23,GM0308,15060,5120,11080,3610,2670,290,80,80,80,90,90,90,90,90,11800,27800,3400,31200,4600,400,400,12,2,16,2620,449,780,20,10,20,10,250
24,GM0489,31390,11900,19260,8620,6250,640,150,140,150,150,190,190,190,190,18900,29000,8400,29800,11200,800,800,26,3,12,3980,678,420,40,20,40,20,430
25,GM0203,36060,15860,21880,9160,6900,470,140,130,140,140,180,170,190,180,20800,25300,8500,26200,13900,900,1000,29,6,21,4980,650,650,60,20,60,60,590
26,GM0888,9940,2640,7340,2340,1470,180,60,50,60,70,80,60,80,90,7400,25300,2400,27100,2700,300,300,8,1,15,1520,305,180,20,0,20,10,110
27,GM1954,21900,6150,16100,5340,3430,340,110,110,110,130,140,140,150,150,16300,25200,5400,26700,5900,600,500,19,4,19,3490,583,430,50,20,40,10,290
28,GM0370,6160,2100,3950,1600,1100,90,20,20,20,20,30,30,30,30,3800,28500,1400,32100,1700,100,100,5,1,13,810,90,200,10,10,10,0,70
29,GM0889,8480,2600,5890,2100,1400,150,60,50,60,70,60,50,60,70,5800,23800,2100,24900,2500,200,200,8,1,19,1300,222,180,10,20,10,20,100
30,GM1945,21660,6380,15700,5110,3430,340,170,160,170,170,190,190,190,190,15800,24200,5000,26200,6100,500,500,18,4,20,3760,881,710,40,50,40,40,260
31,GM1724,11720,3660,7780,2840,1870,190,30,30,30,30,40,30,40,40,7600,26400,2800,27800,3600,300,300,9,2,20,1500,145,170,10,40,10,30,140
32,GM0893,8320,2380,5620,2000,1240,110,50,40,50,50,60,50,60,60,5600,23800,2000,25000,2400,200,200,8,2,21,1240,212,180,20,40,20,10,90
33,GM0373,16790,5140,13850,4140,2680,360,60,50,60,60,80,80,90,70,14300,29100,4000,30800,4900,400,400,14,2,11,2990,371,450,30,10,30,10,150
34,GM0748,42580,13130,29990,10000,7040,850,450,430,440,480,530,510,530,550,30600,24400,9700,25700,12100,1900,1700,33,6,20,8200,2165,990,110,120,100,40,660
35,GM1859,26710,8700,18810,6520,4430,400,150,140,160,150,160,150,180,170,19000,24100,6500,25400,8600,700,600,24,5,21,3810,686,630,60,50,60,60,280
36,GM1721,19570,6640,12350,4960,3370,300,70,60,70,70,100,90,100,90,11900,26300,4700,28100,6400,500,400,17,3,19,2360,351,320,30,80,30,50,230
37,GM0753,19510,6350,12650,4930,3410,350,110,110,110,120,120,120,130,130,12000,27400,4700,28700,6000,400,400,14,2,13,2680,486,230,30,50,20,30,260
38,GM0209,17020,5280,11090,4240,2900,290,100,100,100,100,120,110,120,120,10700,26000,4200,27400,5000,500,400,14,2,15,2270,445,250,30,40,30,10,260
39,GM0375,27140,8450,18920,6590,4680,620,260,250,260,260,290,280,300,290,18700,23800,6300,24700,7900,1100,1000,22,4,21,4300,1021,610,60,70,60,20,410
40,GM0310,25420,9500,19190,6510,4810,490,160,140,170,160,200,180,210,190,19500,30900,6100,34000,8600,800,700,20,2,11,3690,722,420,40,10,40,20,400
41,GM1728,12760,4130,8500,3070,2080,190,30,30,40,40,50,40,50,50,8400,25600,3000,27200,3900,300,300,11,3,22,1560,172,220,10,70,10,20,170
42,GM0376,6380,2570,4850,1780,1370,140,20,20,30,30,40,30,40,40,4200,38600,1300,42500,1800,200,200,5,1,15,1010,132,40,0,0,0,10,90
43,GM0377,13070,5550,9720,3600,2710,220,30,30,30,30,40,40,50,40,9900,40200,3300,46100,4800,300,300,11,1,7,2140,219,170,20,10,20,0,150
44,GM1901,21510,7980,14160,5450,3920,350,70,60,60,70,110,110,110,110,13500,29000,5200,29400,7300,600,600,18,3,18,2700,362,300,30,20,30,20,300
45,GM0755,6870,2340,4060,1700,1150,90,20,20,20,20,30,20,30,30,4100,24400,1600,26400,2200,200,200,7,2,24,810,124,160,10,30,10,20,60
46,GM1681,15640,4740,11120,3640,2480,200,100,100,100,100,130,130,140,140,11100,23700,3600,24600,4700,500,500,12,2,18,2750,608,400,50,50,50,30,170
47,GM0147,14160,5210,9660,3700,2710,240,70,60,70,80,100,90,110,110,9300,25800,3500,26800,4600,400,300,12,2,13,1960,393,350,20,30,20,30,160
48,GM0654,14320,5110,9510,3450,2480,210,50,50,50,50,70,60,70,70,9500,25400,3400,26400,5000,400,400,13,3,20,1920,252,260,20,30,10,20,220
49,GM0756,18400,5580,12360,4280,2810,300,70,60,70,70,90,80,90,100,12100,25700,4300,27300,5400,400,400,17,3,18,2550,383,370,30,100,30,60,200
50,GM0757,19280,6410,13560,4580,3260,350,110,120,110,110,130,130,130,130,13500,25000,4500,26300,5900,700,600,16,3,16,2990,506,380,60,180,50,90,280
51,GM0758,121630,37280,88250,26610,19630,2400,1120,1070,1140,1170,1300,1230,1350,1320,87400,24700,25500,27900,33900,4300,4000,100,14,14,20140,5456,2230,230,320,220,100,1640
52,GM0501,10960,3230,7740,2630,1800,200,60,50,60,60,60,60,60,60,7500,27800,2500,28900,2900,300,300,8,1,16,1640,253,180,10,10,10,10,120
53,GM1876,22090,6950,15530,5310,3530,280,70,60,80,80,110,100,120,120,15700,25500,5400,26400,7000,500,500,19,3,17,2980,413,430,40,50,40,40,250
54,GM0213,12700,3830,9030,3040,2040,200,80,80,80,90,90,90,90,90,9300,25400,3100,26200,3900,300,300,10,2,22,1890,413,300,30,30,30,20,190
55,GM0899,17700,4780,13630,4090,2710,360,230,210,220,260,240,220,230,260,13900,21800,4200,22600,4600,900,800,15,3,19,3780,926,630,60,50,60,0,270
56,GM0312,9090,3530,6450,2410,1770,130,20,20,20,20,30,30,30,30,6300,30000,2200,31800,3100,100,100,9,1,8,1010,158,120,10,0,10,10,120
57,GM0313,13870,5360,8220,3680,2650,190,40,40,40,40,50,50,50,50,7900,25800,3500,27400,4900,300,300,11,3,25,1520,214,210,20,0,20,20,220
58,GM0214,17090,5570,10910,4240,2900,280,60,50,50,70,80,70,80,90,10600,27200,4100,28100,5400,400,400,14,3,22,2340,275,190,30,30,30,20,190
59,GM0502,42550,13980,30990,10840,7530,1430,770,720,780,820,770,720,770,830,30900,25000,10600,25500,12400,2300,2100,34,6,16,8090,2319,860,120,40,120,40,560
60,GM0383,21770,7060,15680,5480,3720,370,60,70,70,60,90,90,100,90,15400,28900,5100,30600,6500,400,400,18,2,13,2730,419,390,50,10,50,10,240
61,GM0109,21800,7110,15440,5230,3650,360,200,180,200,210,250,230,260,260,15600,23700,5200,24200,6800,900,900,18,4,21,4000,948,470,60,40,60,30,280
62,GM1706,12640,3870,8830,3060,2020,210,60,60,70,60,90,90,100,90,8800,25500,3100,26900,3700,400,300,11,2,20,1900,335,170,10,40,10,10,150
63,GM1684,15910,5000,10860,3860,2650,290,110,110,120,110,130,120,140,130,10700,24200,3800,25200,4900,500,400,13,2,18,2330,479,330,40,90,40,40,240
64,GM0216,18600,6400,12320,4650,3350,330,120,110,120,140,170,150,170,180,11900,25400,4500,26600,6000,600,600,15,3,18,2750,647,320,40,60,40,20,310
65,GM0148,17730,6550,11440,4510,3200,220,50,40,50,60,80,80,80,80,11200,25200,4300,26300,6100,400,400,16,3,16,2060,320,310,30,20,30,20,230
66,GM1891,11660,4150,7760,2950,2020,150,110,100,100,110,110,100,120,120,8000,21700,3000,22800,4000,500,500,9,2,24,2430,579,360,20,20,20,50,190
67,GM0503,74280,16650,58740,12320,8790,1330,870,830,880,890,870,820,890,900,53200,20700,11700,26000,14400,2600,2300,54,6,11,13870,3544,1300,200,200,190,40,820
68,GM0010,15030,4600,11570,3530,2400,360,270,270,280,270,290,280,290,280,11900,22100,3600,22500,4300,800,800,13,3,22,3580,1052,440,60,60,50,40,200
69,GM0762,20570,6540,13690,4890,3230,330,90,90,100,90,110,110,110,120,13600,24300,4800,25800,6000,600,500,17,4,22,2980,494,540,30,90,30,50,190
70,GM0150,65710,21390,46070,15280,11400,1310,750,710,750,790,800,740,810,850,44900,23300,14900,24600,20100,2700,2400,52,8,16,11600,3299,2000,240,370,220,100,1180
71,GM0384,20210,5610,14660,4410,3100,470,140,120,140,150,150,140,150,160,13200,23300,3800,27100,4500,700,600,15,1,9,3110,568,250,40,30,40,10,160
72,GM1774,16630,5610,10250,4210,2730,230,40,40,40,40,60,60,60,70,10200,25600,4100,27800,5500,300,300,13,2,16,1800,275,310,20,10,20,30,150
73,GM0221,6910,2000,5240,1680,1120,160,80,70,80,80,80,70,90,80,5200,23100,1700,23200,2100,400,300,6,1,22,1410,323,220,20,20,20,10,140
74,GM0222,36700,11910,25650,8700,6260,690,290,270,300,300,350,320,350,360,25700,23700,8500,24700,11000,1200,1100,28,5,17,6440,1420,1480,100,120,100,100,570
75,GM0766,16620,5270,11060,4140,2860,270,70,70,70,60,80,80,80,80,11000,25200,3900,26700,5000,400,400,14,3,21,2100,378,260,10,30,10,20,260
76,GM0505,77500,24340,54650,18350,12910,1810,1110,1080,1120,1120,1140,1110,1150,1170,55600,23600,18000,24600,22500,3600,3200,62,9,15,15310,4548,1680,320,250,310,270,1410
77,GM0498,12260,4240,8120,3070,2160,220,40,50,40,40,60,70,60,50,8100,26100,2900,27600,4000,300,300,12,3,21,1550,205,270,30,0,30,20,140
78,GM1719,17270,5160,11530,4140,2760,250,40,50,30,40,60,60,50,60,11500,26200,4000,27900,5000,300,300,14,3,20,2280,239,390,10,30,10,20,210
79,GM0303,26700,9240,17340,6280,4570,500,170,150,170,180,200,190,200,220,17000,24200,6100,25300,8700,1000,1000,21,3,15,4130,824,570,20,40,20,40,390
80,GM0225,12290,3990,7770,3020,2110,210,80,70,90,80,80,80,90,80,7800,24300,2900,26500,3800,400,400,9,2,18,1880,344,450,20,30,20,20,190
81,GM0226,16890,5300,10700,4260,2910,270,110,100,100,110,120,120,120,130,10600,25400,4400,26100,5500,500,400,14,2,12,2290,531,340,40,30,40,20,240
82,GM1711,19770,5230,14200,4630,2890,310,100,100,100,100,120,120,120,120,14700,24300,4600,26200,5000,600,500,16,3,17,3520,578,620,30,50,30,10,230
83,GM0385,22810,7790,14800,5980,4040,340,70,60,70,80,100,100,100,100,14600,27700,5800,30300,7500,400,400,18,4,23,2660,369,270,30,20,30,20,230
84,GM0228,73900,27170,48770,17310,12770,1060,400,390,390,430,550,530,550,570,47700,24500,16200,26100,24300,2400,2300,60,10,16,11600,2133,1930,250,120,240,100,1230
85,GM0317,5790,2030,3860,1530,1090,110,20,20,20,30,30,30,30,30,3700,28700,1500,29000,1900,200,200,5,1,13,710,102,100,10,0,10,0,80
86,GM0770,12030,3740,8000,2820,1870,160,20,20,20,30,50,50,50,40,7900,27400,2700,29300,3400,300,300,9,2,19,1730,164,430,10,40,10,20,140
87,GM1903,15800,4760,11000,3920,2550,180,30,30,30,30,60,60,60,50,10700,26900,3800,28800,4400,300,300,13,2,13,2100,284,230,50,30,50,10,180
88,GM0772,160000,42520,119550,31470,23120,3030,1750,1660,1760,1830,1860,1760,1890,1940,112900,23000,29600,25300,38200,6300,5600,121,16,13,28450,7838,2970,230,700,210,330,2010
89,GM0230,14290,5590,9070,3660,2660,220,70,70,60,70,90,80,90,80,9200,24000,3600,24400,5300,400,400,12,3,24,2180,294,360,30,50,30,20,290
90,GM0114,67230,21070,48430,16120,11160,1440,940,900,950,960,990,930,990,1040,48800,22000,16100,22800,20200,3300,3000,51,12,24,14160,4101,2090,220,170,220,150,1020
91,GM0388,11590,3770,8560,2760,2000,260,110,110,110,110,120,120,120,130,8500,23700,2700,24500,3500,400,400,11,2,18,1900,373,420,50,10,50,10,160
92,GM0153,107110,31340,78630,22490,16510,2300,1650,1560,1690,1710,1900,1760,1940,2000,77000,20400,22200,22600,28900,5900,5200,81,13,16,23890,7757,3830,360,230,360,240,1410
93,GM0232,20010,6580,14130,4900,3360,290,110,110,110,110,130,130,140,130,14100,25600,4700,26100,6000,600,500,16,3,20,3180,557,480,50,30,50,30,290
94,GM0233,16510,5580,11200,3820,2590,230,60,60,60,60,80,90,80,80,11800,25400,3600,27500,4900,400,400,11,2,19,2950,430,820,50,40,40,30,250
95,GM0777,27610,9410,18750,6990,5040,560,180,180,180,200,230,220,230,240,18400,25400,6700,26700,8600,900,800,23,4,18,4150,853,510,50,60,50,40,450
96,GM1940,31460,11010,22170,7670,5490,520,220,180,220,260,260,230,270,280,22100,24300,7600,25200,10800,1000,900,27,4,16,4830,1001,580,40,20,40,30,400
97,GM0779,13590,4450,9330,3450,2440,240,80,70,80,80,80,70,90,90,9500,25000,3400,26200,4300,400,300,13,3,20,1890,383,210,20,60,20,20,230
98,GM1771,24830,8150,17680,6170,4340,490,200,210,190,200,230,230,230,230,17300,25600,6000,26600,7600,900,900,20,3,16,3810,859,400,30,100,30,60,390
99,GM1652,19660,6390,12850,4860,3260,320,80,80,80,90,110,110,120,110,12500,24600,4600,26200,5900,500,500,19,4,20,2710,463,390,20,90,20,40,240
100,GM0907,10600,3380,7220,2530,1730,180,60,60,60,70,70,70,70,80,7900,23400,2500,24900,3300,300,300,8,1,14,1880,309,600,20,60,20,0,140
101,GM0784,16790,5510,11190,4080,2830,330,130,130,130,120,150,150,150,140,11100,25000,4000,26300,5100,600,500,14,3,19,2470,531,230,10,30,10,20,220
102,GM1924,30960,10490,20940,7270,5250,420,110,110,120,110,160,160,170,150,20900,25600,7100,27100,9900,700,700,25,5,21,4770,621,680,50,50,50,30,570
103,GM0664,23370,7280,17500,5320,3820,440,150,140,150,160,160,160,160,170,17800,24600,5100,26500,6700,700,600,19,3,18,3960,839,700,50,80,50,50,340
104,GM0785,14370,5150,10090,3740,2670,250,80,70,80,80,80,80,80,80,10000,26600,3500,27400,4600,400,400,12,2,14,1860,338,230,30,40,20,30,220
105,GM1942,34600,14010,25830,9150,7070,730,160,140,170,160,200,190,210,200,25800,32200,8600,37600,12900,1000,1000,28,3,11,5200,997,440,40,20,30,20,500
106,GM0512,24010,7840,16490,5720,4110,460,220,210,230,220,260,260,270,240,16100,24500,5400,26100,7200,1000,900,18,3,18,4020,994,520,70,110,60,30,420
107,GM0513,47190,15800,33290,10990,8040,880,450,420,460,480,540,510,550,570,32400,24700,10700,25900,14800,1900,1800,37,6,16,7950,2022,1080,160,240,160,50,670
108,GM0786,7860,2470,5300,1830,1260,120,40,40,40,40,50,50,50,40,5400,24600,1800,25700,2400,200,200,6,1,20,1240,173,200,10,40,10,20,120
109,GM0518,367280,116210,263370,82190,61600,9610,6590,6310,6670,6810,7040,6730,7120,7290,251300,23400,75300,24700,98700,22500,20800,266,38,14,87270,28579,6310,1070,350,1060,1300,5170
110,GM0014,169130,38090,135080,25720,19950,2790,2200,2140,2220,2260,2340,2240,2360,2400,128100,19400,24900,24700,33400,6100,5200,124,10,8,33590,12065,4520,550,270,550,220,1570
111,GM1729,8720,2140,6530,1980,1190,100,30,30,20,30,40,40,40,40,6700,25100,2000,27200,2100,200,200,7,2,22,1350,213,190,10,10,10,10,90
112,GM0158,14820,5000,10180,3730,2590,230,70,60,70,70,90,90,100,80,10200,24400,3700,26400,4900,400,400,13,2,15,2050,415,310,20,30,20,30,140
113,GM0788,9010,2730,5860,2110,1370,140,20,20,20,20,20,30,20,20,5800,27800,2000,30200,2600,200,200,8,1,19,1270,119,350,10,10,10,20,80
114,GM0392,106560,33900,77810,24590,18460,2130,820,780,840,850,960,930,980,980,77000,25300,22800,28000,30200,3800,3500,88,11,12,15890,4203,1970,300,160,290,40,1540
115,GM0394,101830,35180,64810,26970,19100,2210,590,560,610,610,700,680,740,690,63100,27500,25600,29000,32900,2700,2400,85,13,15,12550,2376,1360,170,70,170,50,1310
116,GM1655,18850,5740,13170,4520,3040,330,120,120,120,130,140,130,140,150,12900,25400,4400,26700,5300,600,500,15,3,19,3060,508,280,40,50,40,20,220
117,GM0160,38760,14160,24120,9570,6820,540,180,160,180,200,240,220,240,240,23900,23200,9300,24200,13400,1100,1100,32,7,21,5830,1041,1190,90,90,90,70,580
118,GM0243,30410,11040,20180,7550,5560,600,220,210,210,230,270,260,260,280,19600,24600,7200,25000,10100,1100,1000,24,4,15,4720,1051,710,50,90,50,50,600
119,GM0523,11200,4480,7020,2870,2040,120,30,40,30,30,60,60,60,50,7000,25500,2800,27000,4200,200,200,9,2,18,1530,183,170,20,20,20,20,180
120,GM0072,9460,3270,7430,2250,1640,220,130,120,130,130,130,120,140,130,7500,21700,2200,22200,2900,500,400,8,2,19,1960,597,200,20,20,20,20,180
121,GM0244,7350,2800,5050,1870,1360,120,20,20,30,20,30,30,40,40,5000,26200,1800,26900,2500,200,200,6,1,15,990,146,130,10,10,10,10,120
122,GM0396,24710,7760,17280,6210,4160,600,250,240,240,260,280,280,270,290,17700,25500,6000,26800,7300,900,800,22,4,19,3710,954,540,60,50,50,10,310
123,GM0397,15190,6160,12020,4210,3120,280,50,50,50,50,60,60,60,50,12300,34100,3900,39000,5600,300,300,14,1,8,2310,298,380,30,20,20,10,190
124,GM0246,11220,3950,7590,2790,1960,170,40,40,40,40,60,60,60,60,7800,25300,2700,26000,3700,300,300,10,2,20,1650,222,220,30,20,30,20,160
125,GM0074,31370,10760,22620,7640,5580,630,310,290,310,320,330,320,340,340,22900,23600,7400,24900,10200,1100,1000,26,5,20,5390,1531,900,50,30,50,60,450
126,GM0398,36460,13480,23390,9390,6960,800,240,220,250,240,270,260,290,270,22700,24500,8700,24900,12000,1200,1100,29,5,16,5570,902,1200,150,50,150,80,600
127,GM0917,55970,14610,45080,11980,8200,1370,1050,1000,1070,1090,1120,1040,1160,1160,45800,21300,12100,22000,13200,3500,3000,40,9,23,13890,4654,2170,270,190,270,80,960
128,GM1658,9880,3050,6690,2380,1530,140,20,20,30,30,30,30,30,30,6700,28300,2300,30100,2900,200,200,8,1,15,1330,159,250,10,10,10,10,110
129,GM0399,13710,4790,10570,3480,2480,240,40,40,40,40,60,60,60,60,10300,28700,3300,30800,4400,300,200,11,1,11,1800,302,310,40,30,40,0,160
130,GM0400,35050,10440,26770,8070,5680,870,490,460,500,520,480,440,490,510,27600,22600,8200,23100,9800,1800,1600,28,5,20,7530,1788,1580,240,70,240,30,450
131,GM0163,22140,7780,14640,5600,3960,330,100,90,100,120,130,130,130,130,14800,23800,5400,25000,7400,600,600,19,3,18,2970,553,510,40,30,40,40,330
132,GM0530,25490,7980,17960,6350,4400,580,240,230,250,260,260,250,270,280,18000,26300,6300,26600,7500,900,800,20,4,18,4490,932,460,60,20,60,20,420
133,GM0794,60540,20090,40530,14900,10750,1290,640,610,640,670,770,730,780,790,39500,23400,14500,24300,19200,3000,2800,45,10,22,10790,3070,1160,80,450,70,210,970
134,GM0531,19400,7960,12150,5350,4030,320,110,110,110,100,140,130,150,130,11700,27100,4900,27600,7000,500,400,15,3,18,2400,415,220,30,20,30,20,350
135,GM0164,52180,16570,37690,12150,8770,1000,500,440,530,540,600,540,620,640,37400,23200,12200,24200,16200,2300,2100,42,6,14,9190,2716,1650,130,160,130,110,650
136,GM0796,102770,30740,72650,22760,16420,1940,880,820,880,950,960,860,980,1040,71300,25300,22300,27400,28800,3700,3400,83,11,13,16220,4057,2310,290,730,270,400,1560
137,GM0252,10160,3350,7100,2550,1750,160,50,50,50,60,60,60,60,70,7100,27900,2600,29400,3400,300,200,8,1,11,1410,286,230,20,20,20,10,140
138,GM0797,28260,9030,18700,7010,4800,470,130,120,120,140,160,140,160,170,18300,25900,6900,27600,8600,800,700,23,5,22,3870,605,450,30,80,30,60,380
139,GM0534,13970,4500,9740,3380,2420,260,50,50,50,60,80,70,80,80,9600,25700,3200,27600,4100,400,300,10,1,14,1790,310,250,20,40,20,10,210
140,GM0798,9620,3100,6400,2350,1580,120,20,20,20,30,40,40,40,50,6300,27200,2300,28900,3000,200,200,9,1,15,1050,138,160,10,10,10,10,100
141,GM0402,57830,19520,42520,13870,10520,1140,450,440,450,450,510,500,520,510,42300,26600,12700,30000,17000,2000,1900,45,6,13,9620,2482,1030,70,90,70,60,790
142,GM1963,53820,18080,36830,13400,9410,820,170,160,180,170,240,230,250,230,36300,27500,13100,28600,16900,1100,1100,48,9,19,7400,1010,820,100,30,100,50,840
143,GM1735,21070,7000,14850,5260,3540,300,90,80,90,90,130,130,130,130,14800,25700,5100,26900,6900,500,500,18,3,17,2630,536,410,30,20,30,30,240
144,GM1966,29440,10070,21390,7080,5090,580,270,240,280,290,290,270,300,310,21800,22800,7200,23700,9800,1200,1100,25,5,18,5440,1254,1010,100,100,100,50,460
145,GM1911,30470,10150,20460,7400,5200,490,160,140,160,160,190,180,200,190,20300,24800,7300,26100,9800,900,900,26,5,20,4160,603,540,70,40,70,20,350
146,GM0118,34500,12190,24230,8430,6150,700,330,330,330,330,370,360,370,380,24300,22200,8300,22500,11400,1500,1400,28,7,25,6560,1534,1130,70,150,70,60,530
147,GM0405,47010,15810,32990,11850,8550,1190,440,420,440,460,490,450,500,510,32700,24500,11500,25100,14900,2100,1800,39,6,16,7520,1793,1500,240,100,240,80,780
148,GM1507,27210,8330,17870,6430,4250,350,80,80,70,80,120,120,120,120,17500,25300,6500,27000,8200,600,600,24,4,16,3070,423,430,40,30,40,30,270
149,GM0321,33000,12640,20150,8700,6510,620,160,150,160,170,210,200,210,210,19600,29200,8500,30400,11900,700,600,29,3,12,3740,679,520,60,20,60,20,550
150,GM0406,25390,8580,18390,6410,4520,550,190,170,190,200,230,210,230,240,18600,27800,6400,29100,8100,800,700,22,3,15,4080,903,460,30,40,30,30,340
151,GM0677,17070,4850,12590,3860,2650,250,50,50,50,60,70,80,70,70,12700,24800,3800,27000,4300,400,300,14,3,18,3530,373,510,20,70,20,10,160
152,GM0353,22330,7990,14360,5880,4260,540,150,140,150,160,190,180,190,200,14300,27400,5800,28400,7800,800,700,20,3,14,2760,614,350,50,40,50,20,370
153,GM1884,17170,5540,11430,4270,2920,290,50,50,60,60,80,80,90,80,10800,27800,4100,29200,5200,400,400,16,3,16,2000,304,210,20,20,20,10,220
154,GM0166,34240,13560,21890,8540,6510,530,190,190,190,190,240,230,240,240,21200,22800,8000,23800,12300,1100,1100,27,5,18,5070,1035,1040,80,40,80,50,560
155,GM0678,7860,3010,5240,2020,1520,140,30,20,30,30,30,30,30,40,5200,26200,2000,26700,2800,200,200,8,1,14,960,105,100,10,20,10,10,130
156,GM0537,41600,15610,26250,10640,7650,680,250,240,250,260,290,280,280,290,25800,25200,10300,26800,14200,1100,1000,34,7,22,6070,1027,760,70,80,70,30,690
157,GM0928,28480,7250,22800,6300,4170,590,420,390,410,460,440,410,430,480,23400,21100,6500,22000,6500,1600,1400,23,5,21,7410,1903,1160,120,90,120,40,400
158,GM1598,14430,5060,9250,3640,2510,240,40,30,40,50,70,60,70,70,9300,26000,3500,27800,4900,400,300,12,2,15,1550,235,260,30,20,30,20,120
159,GM0542,17280,6660,12350,4600,3250,410,170,170,180,170,180,170,180,180,12300,26400,4400,27300,5900,500,500,15,2,16,2850,603,270,40,20,40,20,290
