ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
220,GM1773,11420,3750,7510,2770,1920,160,50,40,40,50,60,60,60,70,7600,24700,2700,26500,3600,300,300,9,1,15,1540,241,380,20,20,20,10,170
221,GM0175,10950,3920,7410,2630,1830,160,40,40,40,50,60,60,60,60,7300,24800,2500,25200,3500,300,300,8,2,18,1720,276,320,30,20,30,30,130
222,GM1586,18780,6230,12380,4460,3050,230,70,70,70,70,100,90,100,100,12700,24400,4400,26000,6000,400,400,16,3,19,2250,378,380,30,30,30,20,190
223,GM0826,34840,11190,24890,8530,6040,700,260,240,250,280,320,300,320,330,24000,25600,8100,26500,10200,1300,1100,28,5,17,5560,1144,540,60,160,50,60,610
224,GM0085,15700,5020,11230,3740,2560,330,130,120,130,140,150,130,150,160,11600,22400,3700,23600,4900,600,500,12,2,19,2970,622,620,40,20,40,30,200
225,GM0431,6250,2060,4090,1700,1170,130,30,30,30,30,40,40,40,30,3900,27900,1500,29800,1800,100,100,6,1,15,720,129,70,10,0,10,0,80
226,GM0432,7490,2480,4950,1860,1260,120,30,20,30,30,30,30,30,40,4700,25600,1800,27400,2400,200,100,6,1,22,850,101,120,20,10,20,20,70
227,GM0086,18650,6420,12530,4530,3170,300,140,120,140,160,170,150,170,180,12900,23600,4500,24600,6300,600,600,15,2,15,3160,672,620,50,20,40,20,260
228,GM0828,59450,18610,40080,14490,9900,1100,400,390,410,420,490,460,490,510,39200,24800,13900,26000,17700,2200,1900,48,10,22,9490,1882,1380,180,580,150,320,960
229,GM1509,24560,7850,17030,5950,4040,410,150,140,150,170,200,190,200,200,17300,23100,5900,24500,7700,800,800,20,4,21,3630,792,550,40,90,40,40,330
