ID,Persoonskenmerken,TotaalAantalKinderenVan0TM12Jaar_1,TotaalKinderopvangAantal_2,TotaalKinderopvang_3,PeuterspeelzaalAantal_4,Peuterspeelzaal_5,KinderdagverblijfAantal_6,Kinderdagverblijf_7,GastouderAantal_8,Gastouder_9,BuitenschoolseOpvangAantal_10,BuitenschoolseOpvang_11,OverbijvenAantal_12,Overbijven_13,OppasEldersAantal_14,OppasElders_15,OppasThuisAantal_16,OppasThuis_17,GeenOpvang_18,EenSoort_19,TweeSoorten_20,DrieOfMeerSoorten_21,k_1Dag_22,k_2Dagen_23,k_3OfMeerDagen_24,k_1Dag_25,k_2Dagen_26,k_3OfMeerDagen_27,k_1Dag_28,k_2Dagen_29,k_3OfMeerDagen_30,k_1Dag_31,k_2Dagen_32,k_3OfMeerDagen_33,k_1Dag_34,k_2Dagen_35,k_3OfMeerDagen_36,k_1Dag_37,k_2Dagen_38,k_3OfMeerDagen_39,k_1Dag_40,k_2Dagen_41,k_3OfMeerDagen_42,k_18Uren_43,k_916Uren_44,k_17OfMeerUren_45,k_18Uren_46,k_9OfMeerUren_47,k_18Uren_48,k_916Uren_49,k_17OfMeerUren_50,k_18Uren_51,k_9OfMeerUren_52,k_18Uren_53,k_9OfMeerUren_54,k_18Uren_55,k_9OfMeerUren_56,k_18Uren_57,k_916Uren_58,k_17OfMeerUren_59,k_18Uren_60,k_9OfMeerUren_61,Werk_62,Studie_63,OverigeActiviteitenOuders_64,OntwikkelingKind_65,AndereReden_66,Werk_67,Studie_68,OverigeActiviteitenOuders_69,OntwikkelingKind_70,AndereReden_71,Werk_72,Studie_73,OverigeActiviteitenOuders_74,OntwikkelingKind_75,AndereReden_76,Werk_77,Studie_78,OverigeActiviteitenOuders_79,OntwikkelingKind_80,AndereReden_81,Werk_82,Studie_83,OverigeActiviteitenOuders_84,OntwikkelingKind_85,AndereReden_86,Werk_87,Studie_88,OverigeActiviteitenOuders_89,OntwikkelingKind_90,AndereReden_91,Werk_92,Studie_93,OverigeActiviteitenOuders_94,OntwikkelingKind_95,AndereReden_96,Werk_97,Studie_98,OverigeActiviteitenOuders_99,OntwikkelingKind_100,AndereReden_101,GeenBehoefte_102,JaZeker_103,Enigszins_104,NietMatigTevreden_105,Tevreden_106,ZeerTevreden_107,NietMatigTevreden_108,Tevreden_109,ZeerTevreden_110,NietMatigTevreden_111,Tevreden_112,ZeerTevreden_113,NietMatigTevreden_114,Tevreden_115,ZeerTevreden_116,NietMatigTevreden_117,ZeerTevreden_118,Tevreden_119,NietMatigTevreden_120,Tevreden_121,ZeerTevreden_122,NietMatigTevreden_123,Tevreden_124,ZeerTevreden_125,TotaalKinderopvang_126,Peuterspeelzaal_127,Kinderdagverblijf_128,Gastouder_129,BuitenschoolseOpvang_130,Overblijven_131,OppasElders_132,OppasThuis_133
10,20,899,408,45,50.0,6.0,19.0,2.0,21,2,27.0,3.0,205.0,23.0,103,11,158,18,55,30,13,3,9.0,77.0,14.0,18.0,37.0,46.0,41.0,38.0,21.0,26.0,26.0,49.0,25.0,22.0,53.0,57,27,16,52,26,21,69,17,15,88.0,12.0,23.0,23.0,54.0,67.0,33.0,64.0,36.0,99.0,1.0,85,8,7,74,26,64,6,14,16,17,39.0,4.0,16.0,55.0,8.0,88.0,0.0,21.0,36.0,6.0,91.0,9.0,4.0,0.0,0.0,80.0,10.0,17.0,13.0,3.0,59.0,5.0,11.0,11.0,25.0,82.0,8.0,16.0,14.0,6.0,74,10,25,14,6,871,12,16,3.0,75.0,22.0,,,,,,,,,,14.0,73.0,13.0,2.0,53.0,45.0,3.0,48.0,49.0,78.0,33.0,228.0,122.0,82.0,10.0,27.0,51.0
11,21,565,246,44,47.0,8.0,24.0,4.0,4,1,21.0,4.0,102.0,18.0,86,15,66,12,56,29,12,3,16.0,67.0,17.0,23.0,28.0,49.0,,,,,,,17.0,17.0,66.0,56,23,21,51,25,24,59,18,23,82.0,18.0,28.0,24.0,49.0,,,,,100.0,0.0,61,23,16,70,30,47,11,14,24,20,22.0,9.0,17.0,65.0,7.0,71.0,18.0,11.0,29.0,13.0,,,,,,,,,,,43.0,12.0,10.0,14.0,30.0,64.0,11.0,18.0,19.0,12.0,66,9,18,13,8,526,20,21,10.0,65.0,25.0,,,,,,,,,,14.0,71.0,15.0,5.0,43.0,53.0,1.0,42.0,57.0,70.0,27.0,159.0,112.0,59.0,9.0,22.0,28.0
12,22,589,296,50,50.0,8.0,23.0,4.0,12,2,16.0,3.0,98.0,17.0,125,21,77,13,50,34,15,1,13.0,75.0,12.0,17.0,44.0,40.0,,,,,,,27.0,20.0,54.0,46,32,22,60,32,8,60,21,19,90.0,10.0,20.0,39.0,40.0,,,,,100.0,0.0,63,21,16,79,21,68,2,12,18,14,43.0,1.0,10.0,53.0,6.0,90.0,1.0,8.0,26.0,3.0,,,,,,,,,,,59.0,2.0,10.0,11.0,28.0,83.0,2.0,14.0,10.0,4.0,73,3,20,10,9,563,12,15,2.0,73.0,26.0,8.0,69.0,22.0,,,,,,,15.0,73.0,12.0,1.0,37.0,63.0,1.0,32.0,67.0,76.0,31.0,198.0,152.0,93.0,10.0,25.0,26.0
13,23,589,383,65,54.0,9.0,48.0,8.0,20,3,23.0,4.0,131.0,22.0,170,29,125,21,35,39,21,5,7.0,81.0,12.0,11.0,61.0,29.0,40.0,37.0,23.0,32.0,53.0,15.0,35.0,20.0,46.0,49,33,18,57,28,15,52,23,24,88.0,12.0,10.0,42.0,48.0,42.0,58.0,87.0,13.0,98.0,2.0,67,21,12,66,34,82,2,11,15,8,60.0,1.0,15.0,44.0,4.0,98.0,2.0,9.0,23.0,1.0,98.0,6.0,5.0,13.0,1.0,98.0,2.0,3.0,17.0,0.0,78.0,3.0,7.0,9.0,15.0,89.0,3.0,12.0,12.0,5.0,88,3,16,12,4,565,13,14,7.0,72.0,22.0,2.0,76.0,21.0,,,,,,,12.0,77.0,10.0,2.0,37.0,61.0,0.0,40.0,60.0,102.0,35.0,227.0,135.0,62.0,10.0,27.0,38.0
14,24,591,423,72,40.0,7.0,86.0,15.0,30,5,52.0,9.0,163.0,28.0,153,26,154,26,29,37,28,7,15.0,67.0,19.0,9.0,43.0,48.0,25.0,43.0,31.0,21.0,52.0,27.0,23.0,32.0,45.0,48,34,18,58,25,17,44,25,31,87.0,13.0,6.0,32.0,62.0,37.0,63.0,82.0,18.0,99.0,1.0,71,21,9,71,29,89,3,10,14,4,80.0,5.0,11.0,34.0,2.0,99.0,2.0,9.0,24.0,0.0,98.0,0.0,4.0,13.0,0.0,98.0,3.0,1.0,8.0,2.0,87.0,2.0,8.0,7.0,7.0,94.0,5.0,11.0,13.0,2.0,90,6,15,11,4,557,22,15,2.0,77.0,21.0,5.0,77.0,19.0,,,,6.0,76.0,18.0,19.0,73.0,9.0,1.0,37.0,62.0,3.0,42.0,55.0,167.0,38.0,312.0,163.0,113.0,11.0,39.0,62.0
15,25,2356,1387,59,193.0,8.0,186.0,8.0,72,3,109.0,5.0,514.0,22.0,548,23,435,19,41,35,19,4,12.0,75.0,13.0,12.0,47.0,40.0,32.0,36.0,31.0,22.0,45.0,33.0,27.0,23.0,50.0,49,31,20,58,27,16,53,22,24,89.0,11.0,12.0,36.0,53.0,41.0,59.0,76.0,24.0,99.0,1.0,68,21,12,71,29,77,3,11,16,10,52.0,3.0,13.0,50.0,4.0,96.0,3.0,9.0,24.0,2.0,95.0,5.0,5.0,11.0,1.0,96.0,3.0,4.0,11.0,4.0,74.0,3.0,8.0,9.0,17.0,87.0,3.0,13.0,13.0,5.0,84,4,18,11,5,2237,58,60,4.0,72.0,24.0,5.0,74.0,21.0,6.0,51.0,43.0,6.0,77.0,16.0,16.0,72.0,12.0,1.0,38.0,61.0,2.0,39.0,59.0,113.0,33.0,256.0,145.0,100.0,10.0,29.0,42.0
16,26,357,156,44,23.0,6.0,16.0,4.0,3,1,14.0,4.0,65.0,18.0,54,15,49,14,56,28,12,3,16.0,51.0,33.0,,,,,,,,,,14.0,18.0,69.0,56,27,17,58,27,16,56,18,25,70.0,30.0,,,,,,,,100.0,1.0,54,26,20,76,15,44,14,14,22,22,32.0,10.0,14.0,56.0,9.0,64.0,,,,,,,,,,,,,,,29.0,12.0,15.0,16.0,37.0,,,,,,60,13,21,18,11,326,16,14,10.0,67.0,23.0,,,,,,,,,,14.0,73.0,13.0,6.0,38.0,57.0,0.0,52.0,49.0,70.0,26.0,147.0,142.0,37.0,9.0,22.0,36.0
17,27,418,269,64,28.0,7.0,51.0,12.0,7,2,31.0,7.0,122.0,29.0,92,22,84,20,36,37,20,7,10.0,48.0,42.0,8.0,40.0,52.0,,,,9.0,40.0,51.0,15.0,15.0,70.0,58,22,19,67,20,13,45,25,30,54.0,46.0,11.0,28.0,62.0,,,63.0,37.0,100.0,0.0,61,26,13,69,31,67,7,11,18,12,45.0,8.0,11.0,51.0,3.0,86.0,9.0,12.0,22.0,4.0,,,,,,84.0,7.0,10.0,13.0,9.0,65.0,4.0,10.0,13.0,17.0,75.0,8.0,11.0,18.0,8.0,76,2,19,17,7,376,24,17,16.0,54.0,30.0,4.0,75.0,21.0,,,,8.0,83.0,9.0,25.0,66.0,9.0,6.0,44.0,50.0,3.0,42.0,55.0,126.0,32.0,246.0,93.0,93.0,11.0,30.0,45.0
18,28,713,402,56,53.0,7.0,63.0,9.0,18,3,32.0,4.0,158.0,22.0,152,21,119,17,44,33,19,4,8.0,71.0,21.0,18.0,41.0,41.0,,,,25.0,40.0,36.0,27.0,25.0,48.0,50,34,16,53,32,15,53,22,25,84.0,16.0,13.0,37.0,50.0,,,66.0,34.0,99.0,1.0,66,24,10,70,30,77,4,13,18,10,57.0,5.0,18.0,51.0,5.0,96.0,4.0,11.0,24.0,3.0,,,,,,86.0,6.0,5.0,12.0,7.0,71.0,3.0,11.0,9.0,19.0,87.0,5.0,11.0,16.0,5.0,85,8,19,15,5,676,19,19,4.0,64.0,32.0,5.0,74.0,22.0,,,,6.0,76.0,18.0,12.0,77.0,11.0,2.0,31.0,67.0,1.0,35.0,64.0,117.0,38.0,251.0,127.0,112.0,10.0,24.0,47.0
19,29,567,322,57,48.0,8.0,35.0,6.0,19,3,29.0,5.0,125.0,22.0,118,21,95,17,43,35,18,4,18.0,71.0,11.0,9.0,58.0,33.0,,,,29.0,47.0,23.0,29.0,23.0,49.0,46,35,20,57,30,13,56,21,23,93.0,7.0,9.0,34.0,57.0,,,80.0,20.0,98.0,2.0,67,20,13,72,28,76,3,10,17,11,49.0,2.0,13.0,49.0,4.0,96.0,3.0,7.0,29.0,3.0,,,,,,98.0,3.0,7.0,8.0,2.0,70.0,3.0,6.0,10.0,21.0,89.0,4.0,13.0,12.0,5.0,88,3,15,8,5,537,13,17,2.0,78.0,20.0,4.0,81.0,15.0,,,,6.0,68.0,27.0,16.0,72.0,12.0,1.0,43.0,56.0,1.0,42.0,58.0,112.0,32.0,266.0,164.0,89.0,10.0,34.0,44.0
