ID,HerkomstBestemming,Perioden,CO2_1,N2O_2,CH4_3,BroeikasgasEquivalent_4,NOx_5,SO2_6,NH3_7,ZuurEquivalent_8,CFK12Equivalent_9,PM10_10,FijnStofEquivalent_11,CO_12,NMVOS_13
1232,62,2002JJ00,,,,,351.9,47.0,71.1,13.3,,,,,
1233,62,2003JJ00,,,,,351.9,47.0,71.1,13.3,,,,,
1234,62,2004JJ00,,,,,314.9,41.7,77.1,12.7,,,,,
1235,62,2005JJ00,,,,,314.9,41.7,77.1,12.7,,,,,
1236,62,2006JJ00,,,,,314.9,41.7,77.1,12.7,,,,,
1237,62,2007JJ00,,,,,314.9,41.7,77.1,12.7,,,,,
1238,62,2008JJ00,,,,,314.9,41.7,77.1,12.7,,,,,
1239,62,2009JJ00,,,,,314.9,41.7,77.1,12.7,,,,,
1240,63,1990JJ00,176899.0,65.6,1216.4,229702.0,,,,,,,,,
1241,63,1991JJ00,182803.0,66.7,1229.9,235326.0,,,,,,,,,
1242,63,1992JJ00,182035.0,69.9,1204.9,235683.0,,,,,,,,,
1243,63,1993JJ00,187118.0,71.2,1193.7,241509.0,,,,,,,,,
1244,63,1994JJ00,188388.0,69.5,1176.9,243195.0,,,,,,,,,
1245,63,1995JJ00,193231.0,70.0,1150.6,247344.0,,,,,,,,,
1246,63,1996JJ00,201293.0,69.4,1118.6,256293.0,,,,,,,,,
1247,63,1997JJ00,196887.0,68.7,1070.3,251456.0,,,,,,,,,
1248,63,1998JJ00,199764.0,67.4,1034.4,253812.0,,,,,,,,,
1249,63,1999JJ00,196468.0,65.3,985.6,244078.0,,,,,,,,,
1250,63,2000JJ00,198443.0,62.9,942.6,243526.0,,,,,,,,,
1251,63,2001JJ00,203633.0,59.1,920.4,244644.0,,,,,,,,,
1252,63,2002JJ00,203740.0,56.4,878.5,243793.0,,,,,,,,,
1253,63,2003JJ00,207287.0,55.3,851.7,244694.0,,,,,,,,,
1254,63,2004JJ00,209699.0,56.9,838.8,247166.0,,,,,,,,,
1255,63,2005JJ00,206417.0,56.5,821.3,243070.0,,,,,,,,,
1256,63,2006JJ00,202050.0,56.0,802.3,238449.0,,,,,,,,,
1257,63,2007JJ00,204281.0,50.5,802.9,239177.0,,,,,,,,,
1258,63,2008JJ00,207436.0,38.6,813.8,238896.0,,,,,,,,,
1259,63,2009JJ00,202925.0,38.6,804.2,234189.0,,,,,,,,,
1260,64,1990JJ00,,,,,,,,,5878.0,,,,
