ID,Voertuigtype,Perioden,KooldioxideCO2_1,DistikstofoxideN2O_2,MethaanCH4_3,KoolmonoxideCO_4,NMVOS_5,StikstofoxidenNOx_6,RoetElementalCarbon_7,PM10TotaalFijnStof_8,PM10VerbrandingFijnStof_9,PM10SlijtageFijnStof_10,PM25TotaalFijnStof_11,PM25VerbrandingFijnStof_12,PM25SlijtageFijnStof_13,AmmoniakNH3_14,ZwaveldioxideSO2_15,KooldioxideCO2_16,DistikstofoxideN2O_17,MethaanCH4_18,KoolmonoxideCO_19,NMVOS_20,StikstofoxidenNOx_21,RoetElementalCarbon_22,PM10TotaalFijnStof_23,PM10VerbrandingFijnStof_24,PM10SlijtageFijnStof_25,PM25TotaalFijnStof_26,PM25VerbrandingFijnStof_27,PM25SlijtageFijnStof_28,AmmoniakNH3_29,ZwaveldioxideSO2_30
182,A051770,1997JJ00,5776.0,0.07,0.25,16.27,5.9,68.27,1.69,3.49,2.98,0.5,3.07,2.98,0.09,0.02,1.86,,,,,,,,,,,,,,,
183,A051770,1998JJ00,5797.0,0.07,0.23,15.02,5.41,66.35,1.54,3.17,2.66,0.51,2.75,2.66,0.09,0.02,1.87,,,,,,,,,,,,,,,
184,A051770,1999JJ00,6137.0,0.08,0.22,14.8,5.23,68.73,1.48,3.05,2.51,0.54,2.61,2.51,0.09,0.02,1.98,,,,,,,,,,,,,,,
185,A051770,2000JJ00,5983.0,0.08,0.2,13.72,4.78,66.2,1.32,2.74,2.21,0.53,2.3,2.21,0.09,0.02,1.12,,,,,,,,,,,,,,,
186,A051770,2001JJ00,5830.0,0.07,0.19,13.12,4.5,64.31,1.21,2.53,2.02,0.51,2.1,2.02,0.09,0.02,0.16,,,,,,,,,,,,,,,
187,A051770,2002JJ00,5800.0,0.07,0.17,12.6,4.13,62.82,1.09,2.28,1.76,0.51,1.85,1.76,0.09,0.02,0.13,,,,,,,,,,,,,,,
188,A051770,2003JJ00,5769.0,0.07,0.16,12.44,3.92,62.2,1.01,2.12,1.61,0.51,1.7,1.61,0.09,0.02,0.12,,,,,,,,,,,,,,,
189,A051770,2004JJ00,5791.0,0.07,0.16,12.54,3.8,62.55,0.96,2.04,1.52,0.52,1.61,1.52,0.09,0.02,0.13,857.0,0.01,0.024,1.86,0.56,9.25,0.142,0.301,0.225,0.077,0.238,0.225,0.013,0.003,0.019
190,A051770,2005JJ00,5772.0,0.1,0.14,12.82,3.43,59.34,0.84,1.85,1.33,0.51,1.42,1.33,0.09,0.03,0.03,839.0,0.015,0.021,1.86,0.5,8.62,0.122,0.269,0.194,0.075,0.206,0.194,0.013,0.005,0.004
191,A051770,2006JJ00,5962.0,0.14,0.14,13.58,3.21,57.21,0.74,1.7,1.17,0.53,1.26,1.17,0.09,0.04,0.04,846.0,0.02,0.019,1.93,0.46,8.12,0.105,0.241,0.166,0.075,0.179,0.166,0.013,0.006,0.006
192,A051770,2007JJ00,6180.0,0.18,0.12,14.37,2.95,55.09,0.62,1.54,0.99,0.55,1.09,0.99,0.09,0.06,0.04,853.0,0.025,0.017,1.98,0.41,7.6,0.086,0.213,0.137,0.076,0.15,0.137,0.013,0.008,0.006
193,A051770,2008JJ00,6389.0,0.22,0.11,15.19,2.68,52.58,0.5,1.36,0.8,0.56,0.9,0.8,0.1,0.07,0.04,861.0,0.03,0.015,2.05,0.36,7.08,0.067,0.184,0.108,0.076,0.121,0.108,0.013,0.009,0.006
194,A051770,2009JJ00,6363.0,0.26,0.1,15.46,2.3,48.02,0.35,1.13,0.57,0.56,0.67,0.57,0.1,0.08,0.04,867.0,0.035,0.013,2.11,0.31,6.54,0.048,0.154,0.078,0.077,0.091,0.078,0.013,0.011,0.006
195,A051770,2010JJ00,6341.0,0.28,0.11,14.39,2.56,44.93,0.31,1.07,0.51,0.56,0.6,0.51,0.09,0.09,0.04,868.0,0.038,0.015,1.97,0.35,6.15,0.043,0.146,0.07,0.076,0.083,0.07,0.013,0.012,0.006
196,A051770,2011JJ00,6307.0,0.3,0.12,13.49,2.81,42.01,0.27,1.01,0.45,0.56,0.55,0.45,0.09,0.09,0.04,870.0,0.041,0.017,1.86,0.39,5.8,0.037,0.139,0.062,0.077,0.075,0.062,0.013,0.013,0.006
197,A051770,2012JJ00,6226.0,0.31,0.13,12.63,3.05,39.34,0.24,0.95,0.41,0.55,0.5,0.41,0.09,0.1,0.04,873.0,0.044,0.018,1.77,0.43,5.51,0.033,0.134,0.057,0.077,0.07,0.057,0.013,0.014,0.006
198,A051770,2013JJ00,5886.0,0.3,0.14,11.18,3.26,34.46,0.21,0.88,0.36,0.52,0.45,0.36,0.09,0.15,0.04,874.0,0.045,0.021,1.66,0.48,5.11,0.031,0.13,0.054,0.077,0.067,0.054,0.013,0.022,0.006
199,A051770,2014JJ00,5860.0,0.31,0.15,10.12,3.42,31.65,0.19,0.85,0.34,0.52,0.43,0.34,0.09,0.21,0.04,871.0,0.045,0.022,1.5,0.51,4.71,0.028,0.127,0.05,0.077,0.063,0.05,0.013,0.031,0.006
200,A051770,2015JJ00,6095.0,0.32,0.16,9.35,3.65,30.4,0.18,0.86,0.33,0.54,0.42,0.33,0.09,0.28,0.04,868.0,0.046,0.023,1.33,0.52,4.33,0.026,0.123,0.046,0.077,0.059,0.046,0.013,0.04,0.006
201,A051770,2016JJ00,6443.0,0.35,0.17,8.92,3.93,29.94,0.17,0.89,0.32,0.57,0.42,0.32,0.1,0.35,0.04,867.0,0.047,0.023,1.2,0.53,4.03,0.023,0.12,0.043,0.077,0.056,0.043,0.013,0.047,0.006
202,A051770,2017JJ00,6542.0,0.35,0.18,8.41,4.05,28.93,0.17,0.9,0.31,0.58,0.41,0.31,0.1,0.4,0.04,866.0,0.047,0.023,1.11,0.54,3.83,0.022,0.119,0.042,0.077,0.055,0.042,0.013,0.052,0.006
203,A051770,2018JJ00,6584.0,0.36,0.18,8.11,4.12,29.16,0.17,0.9,0.32,0.58,0.41,0.32,0.1,0.42,0.04,870.0,0.047,0.024,1.07,0.54,3.85,0.022,0.118,0.042,0.077,0.055,0.042,0.013,0.055,0.006
204,A051770,2019JJ00,6639.0,0.36,0.19,7.12,4.27,27.35,0.16,0.88,0.3,0.59,0.4,0.3,0.1,0.48,0.04,870.0,0.047,0.024,0.93,0.56,3.58,0.02,0.116,0.039,0.077,0.052,0.039,0.013,0.062,0.006
