ID,Studierichting,LeeftijdEnHerkomst,Geslacht,Perioden,TotaalVoltijdIngeschrevenen_1,IngeschrevenenZonderBijbaan_2,IngeschrevenenMetBijbaanTotaal_3,TotaalWerknemers_4,k_0105ABLandbouwEnVisserij_5,k_1045CFNijverheid_6,k_5052GHandel_7,k_55HHoreca_8,k_6064IVervoerEnCommunicatie_9,k_6567JFinancieleInstellingen_10,k_7074K1ZakDienstExclUitzendbranch_11,k_745K2Uitzendbranche_12,k_75LOpenbaarBestuur_13,k_80KOnderwijs_14,k_85NGezondheidsEnWelzijnszorg_15,k_90OCultuurEnOvDienstenIncl99_16,k_95PParticuliereHuishoudens_17,BedrijfstakSBIOnbekend_18,TotaalZelfstandigen_19,k_0105ABLandbouwEnVisserij_20,k_1045CFNijverheid_21,k_5052GHandel_22,k_55HHoreca_23,k_6064IVervoerEnCommunicatie_24,k_6567JFinancieleInstellingen_25,k_7074K1ZakDienstExclUitzendbranch_26,k_745K2Uitzendbranche_27,k_75LOpenbaarBestuur_28,k_80KOnderwijs_29,k_85NGezondheidsEnWelzijnszorg_30,k_90OCultuurEnOvDienstenIncl99_31,k_95PParticuliereHuishoudens_32,BedrijfstakSBIOnbekend_33
15,000,17,V,1998SJ00,6410.0,3620.0,2790.0,2790.0,130.0,110.0,1550.0,350.0,30.0,20.0,140.0,250.0,0.0,0.0,130.0,80.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,000,17,V,1999SJ00,7110.0,3420.0,3690.0,3690.0,150.0,150.0,1860.0,520.0,70.0,30.0,280.0,320.0,0.0,10.0,180.0,90.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,000,17,V,2000SJ00,8290.0,3660.0,4630.0,4630.0,170.0,200.0,2390.0,600.0,70.0,40.0,390.0,300.0,0.0,10.0,290.0,130.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,000,18,0,1998SJ00,35540.0,21560.0,13980.0,13950.0,780.0,580.0,6490.0,1740.0,440.0,130.0,940.0,1670.0,20.0,50.0,730.0,380.0,0.0,,30.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,000,18,0,1999SJ00,37940.0,19300.0,18650.0,18620.0,820.0,910.0,8220.0,2280.0,680.0,260.0,1490.0,2340.0,30.0,70.0,800.0,570.0,0.0,170.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,000,18,0,2000SJ00,38150.0,18480.0,19660.0,19630.0,800.0,900.0,8610.0,2550.0,730.0,270.0,2030.0,1890.0,40.0,70.0,990.0,530.0,0.0,210.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
21,000,18,M,1998SJ00,15670.0,9960.0,5710.0,5690.0,490.0,270.0,2360.0,590.0,270.0,60.0,400.0,860.0,10.0,30.0,190.0,160.0,0.0,,20.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,000,18,M,1999SJ00,16870.0,8890.0,7980.0,7960.0,510.0,460.0,3160.0,860.0,440.0,100.0,700.0,1190.0,20.0,30.0,170.0,240.0,0.0,90.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,000,18,M,2000SJ00,16960.0,8610.0,8350.0,8310.0,510.0,490.0,3380.0,910.0,470.0,120.0,870.0,960.0,20.0,30.0,230.0,220.0,0.0,110.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
24,000,18,V,1998SJ00,19870.0,11600.0,8270.0,8270.0,290.0,310.0,4130.0,1150.0,170.0,80.0,550.0,800.0,20.0,20.0,540.0,220.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,000,18,V,1999SJ00,21070.0,10400.0,10660.0,10660.0,310.0,440.0,5060.0,1430.0,240.0,160.0,790.0,1160.0,10.0,30.0,630.0,330.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,000,18,V,2000SJ00,21190.0,9870.0,11320.0,11320.0,290.0,410.0,5230.0,1650.0,250.0,150.0,1160.0,930.0,20.0,40.0,760.0,320.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,000,19,0,1998SJ00,49890.0,29320.0,20570.0,20520.0,900.0,870.0,8350.0,2460.0,890.0,180.0,1840.0,2860.0,80.0,150.0,1350.0,600.0,0.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
28,000,19,0,1999SJ00,52480.0,25890.0,26590.0,26520.0,890.0,1230.0,10150.0,3380.0,1270.0,410.0,2570.0,3700.0,90.0,150.0,1570.0,860.0,0.0,270.0,70.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
29,000,19,0,2000SJ00,52400.0,24280.0,28120.0,28030.0,770.0,1240.0,10630.0,3480.0,1380.0,510.0,3380.0,3240.0,100.0,230.0,1800.0,1000.0,0.0,290.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
30,000,19,M,1998SJ00,22190.0,13570.0,8630.0,8590.0,560.0,450.0,3160.0,870.0,600.0,80.0,840.0,1380.0,40.0,70.0,320.0,220.0,0.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,000,19,M,1999SJ00,23390.0,11890.0,11500.0,11440.0,520.0,670.0,4020.0,1280.0,850.0,160.0,1190.0,1810.0,50.0,70.0,350.0,340.0,0.0,130.0,60.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
32,000,19,M,2000SJ00,22980.0,11150.0,11830.0,11750.0,490.0,690.0,4160.0,1300.0,900.0,210.0,1460.0,1490.0,50.0,100.0,360.0,410.0,0.0,140.0,80.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
33,000,19,V,1998SJ00,27700.0,15760.0,11940.0,11940.0,350.0,430.0,5190.0,1580.0,290.0,100.0,1000.0,1480.0,40.0,80.0,1030.0,380.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,000,19,V,1999SJ00,29090.0,14000.0,15090.0,15070.0,360.0,560.0,6130.0,2100.0,420.0,250.0,1380.0,1890.0,40.0,80.0,1220.0,510.0,0.0,130.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,000,19,V,2000SJ00,29430.0,13130.0,16300.0,16290.0,280.0,560.0,6470.0,2180.0,480.0,300.0,1920.0,1760.0,50.0,130.0,1430.0,590.0,0.0,150.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
36,000,20,0,1998SJ00,57470.0,32380.0,25090.0,24980.0,790.0,1210.0,8830.0,2870.0,1330.0,220.0,2650.0,3590.0,170.0,500.0,1960.0,860.0,0.0,,110.0,10.0,0.0,20.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
37,000,20,0,1999SJ00,57050.0,27330.0,29710.0,29600.0,810.0,1450.0,9670.0,3630.0,1750.0,530.0,3240.0,4370.0,130.0,530.0,2090.0,1070.0,0.0,340.0,120.0,10.0,0.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
38,000,20,0,2000SJ00,58870.0,26950.0,31920.0,31750.0,760.0,1600.0,10330.0,3630.0,1950.0,590.0,4230.0,3950.0,140.0,490.0,2540.0,1200.0,0.0,340.0,170.0,10.0,10.0,20.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,10.0,0.0,50.0
39,000,20,M,1998SJ00,26890.0,15570.0,11320.0,11230.0,500.0,750.0,3610.0,1110.0,960.0,120.0,1300.0,1760.0,80.0,260.0,450.0,340.0,0.0,,90.0,10.0,0.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
40,000,20,M,1999SJ00,26220.0,12680.0,13540.0,13450.0,520.0,870.0,4080.0,1410.0,1210.0,250.0,1550.0,2170.0,60.0,260.0,460.0,420.0,0.0,180.0,100.0,10.0,0.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
41,000,20,M,2000SJ00,27100.0,12690.0,14410.0,14260.0,500.0,1030.0,4360.0,1450.0,1330.0,280.0,1970.0,1900.0,80.0,220.0,500.0,480.0,0.0,170.0,150.0,10.0,10.0,10.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0
42,000,20,V,1998SJ00,30570.0,16810.0,13770.0,13750.0,290.0,460.0,5220.0,1760.0,370.0,100.0,1360.0,1820.0,90.0,250.0,1510.0,520.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,000,20,V,1999SJ00,30830.0,14660.0,16170.0,16150.0,290.0,580.0,5600.0,2220.0,540.0,280.0,1680.0,2200.0,70.0,260.0,1630.0,650.0,0.0,160.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,000,20,V,2000SJ00,31770.0,14260.0,17510.0,17490.0,260.0,570.0,5970.0,2180.0,620.0,320.0,2260.0,2050.0,70.0,280.0,2040.0,720.0,0.0,170.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
45,000,21,0,1998SJ00,56050.0,31130.0,24920.0,24740.0,670.0,1240.0,7480.0,2640.0,1430.0,310.0,2890.0,3780.0,200.0,970.0,2160.0,970.0,0.0,,180.0,10.0,10.0,30.0,10.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
46,000,21,0,1999SJ00,57720.0,27590.0,30130.0,29940.0,620.0,1540.0,8410.0,3360.0,1900.0,510.0,3700.0,4770.0,210.0,970.0,2400.0,1210.0,0.0,340.0,190.0,10.0,10.0,30.0,10.0,10.0,0.0,80.0,0.0,0.0,10.0,0.0,10.0,0.0,30.0
47,000,21,0,2000SJ00,56420.0,25500.0,30910.0,30660.0,620.0,1510.0,8490.0,3270.0,2010.0,620.0,4520.0,4100.0,260.0,940.0,2700.0,1310.0,0.0,320.0,250.0,20.0,10.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,0.0,70.0
48,000,21,M,1998SJ00,27570.0,15450.0,12120.0,11970.0,470.0,820.0,3440.0,1160.0,1030.0,160.0,1390.0,1950.0,110.0,470.0,560.0,410.0,0.0,,150.0,10.0,10.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
49,000,21,M,1999SJ00,28020.0,13430.0,14590.0,14420.0,420.0,980.0,3900.0,1390.0,1370.0,260.0,1940.0,2390.0,100.0,450.0,520.0,530.0,0.0,170.0,170.0,10.0,10.0,20.0,10.0,10.0,0.0,80.0,0.0,0.0,10.0,0.0,10.0,0.0,20.0
50,000,21,M,2000SJ00,26950.0,12310.0,14640.0,14420.0,420.0,980.0,3880.0,1370.0,1410.0,320.0,2260.0,1960.0,120.0,410.0,560.0,550.0,0.0,180.0,220.0,20.0,10.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0
51,000,21,V,1998SJ00,28480.0,15680.0,12800.0,12770.0,200.0,410.0,4050.0,1480.0,400.0,150.0,1500.0,1830.0,90.0,500.0,1600.0,550.0,0.0,,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
52,000,21,V,1999SJ00,29700.0,14170.0,15540.0,15510.0,190.0,560.0,4520.0,1970.0,530.0,250.0,1760.0,2380.0,120.0,510.0,1880.0,680.0,0.0,170.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
53,000,21,V,2000SJ00,29470.0,13200.0,16270.0,16240.0,200.0,520.0,4610.0,1900.0,600.0,300.0,2250.0,2140.0,140.0,530.0,2140.0,770.0,0.0,150.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
54,000,22,0,1998SJ00,50150.0,27960.0,22190.0,21950.0,430.0,1070.0,5750.0,2250.0,1300.0,320.0,3030.0,3620.0,250.0,1120.0,1930.0,890.0,0.0,,230.0,20.0,20.0,30.0,10.0,10.0,0.0,110.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
55,000,22,0,1999SJ00,49680.0,23910.0,25780.0,25490.0,390.0,1320.0,6170.0,2750.0,1630.0,520.0,3600.0,4310.0,260.0,1150.0,2060.0,1070.0,0.0,270.0,280.0,10.0,20.0,50.0,10.0,10.0,0.0,120.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0
56,000,22,0,2000SJ00,49760.0,22920.0,26840.0,26580.0,400.0,1370.0,6260.0,2690.0,1750.0,550.0,4430.0,3690.0,300.0,1150.0,2460.0,1220.0,0.0,300.0,260.0,10.0,10.0,30.0,10.0,0.0,0.0,100.0,0.0,0.0,10.0,0.0,20.0,0.0,70.0
57,000,22,M,1998SJ00,26320.0,14690.0,11630.0,11430.0,310.0,760.0,2910.0,1040.0,980.0,180.0,1670.0,1960.0,130.0,560.0,540.0,400.0,0.0,,200.0,20.0,20.0,20.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
58,000,22,M,1999SJ00,25760.0,12290.0,13470.0,13230.0,300.0,900.0,3180.0,1260.0,1210.0,300.0,1940.0,2260.0,130.0,550.0,550.0,500.0,0.0,150.0,240.0,10.0,10.0,40.0,0.0,10.0,0.0,120.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0
59,000,22,M,2000SJ00,25650.0,11930.0,13720.0,13480.0,290.0,930.0,3220.0,1210.0,1310.0,310.0,2430.0,1880.0,120.0,510.0,570.0,550.0,0.0,160.0,230.0,10.0,10.0,30.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0
60,000,22,V,1998SJ00,23830.0,13270.0,10560.0,10520.0,120.0,320.0,2840.0,1210.0,320.0,140.0,1360.0,1660.0,120.0,560.0,1390.0,490.0,0.0,,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
61,000,22,V,1999SJ00,23920.0,11620.0,12310.0,12260.0,90.0,420.0,2990.0,1490.0,420.0,220.0,1660.0,2050.0,130.0,600.0,1510.0,570.0,0.0,120.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
62,000,22,V,2000SJ00,24120.0,10990.0,13130.0,13100.0,110.0,440.0,3030.0,1480.0,450.0,240.0,2000.0,1810.0,180.0,640.0,1890.0,680.0,0.0,140.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
63,000,23,0,1998SJ00,39180.0,21600.0,17580.0,17310.0,270.0,980.0,3880.0,1670.0,960.0,300.0,2760.0,3040.0,270.0,960.0,1480.0,730.0,0.0,,270.0,20.0,10.0,40.0,10.0,10.0,0.0,110.0,0.0,0.0,10.0,0.0,40.0,0.0,20.0
64,000,23,0,1999SJ00,38680.0,18900.0,19770.0,19480.0,210.0,1060.0,4140.0,1960.0,1260.0,480.0,3110.0,3380.0,250.0,1040.0,1500.0,880.0,0.0,230.0,300.0,10.0,20.0,30.0,10.0,10.0,0.0,150.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0
65,000,23,0,2000SJ00,37690.0,17500.0,20190.0,19870.0,230.0,1080.0,4090.0,1920.0,1310.0,480.0,3730.0,2800.0,290.0,960.0,1780.0,990.0,0.0,230.0,320.0,10.0,10.0,40.0,10.0,10.0,0.0,130.0,0.0,0.0,0.0,0.0,30.0,0.0,80.0
66,000,23,M,1998SJ00,21920.0,12060.0,9860.0,9640.0,220.0,730.0,2160.0,830.0,740.0,200.0,1620.0,1640.0,160.0,490.0,490.0,360.0,0.0,,220.0,20.0,10.0,40.0,10.0,0.0,0.0,100.0,0.0,0.0,10.0,0.0,30.0,0.0,10.0
67,000,23,M,1999SJ00,21390.0,10270.0,11120.0,10860.0,160.0,750.0,2320.0,950.0,970.0,260.0,1870.0,1890.0,120.0,530.0,450.0,450.0,0.0,140.0,260.0,10.0,10.0,30.0,10.0,10.0,0.0,140.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
68,000,23,M,2000SJ00,20890.0,9640.0,11250.0,10960.0,180.0,780.0,2290.0,960.0,1000.0,280.0,2190.0,1500.0,130.0,460.0,540.0,490.0,0.0,150.0,290.0,10.0,10.0,30.0,0.0,10.0,0.0,120.0,0.0,0.0,0.0,0.0,30.0,0.0,70.0
69,000,23,V,1998SJ00,17260.0,9530.0,7720.0,7680.0,60.0,260.0,1730.0,830.0,230.0,110.0,1140.0,1400.0,120.0,470.0,980.0,360.0,0.0,,50.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
70,000,23,V,1999SJ00,17290.0,8630.0,8660.0,8620.0,50.0,310.0,1820.0,1010.0,290.0,220.0,1240.0,1490.0,130.0,510.0,1050.0,430.0,0.0,80.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
71,000,23,V,2000SJ00,16810.0,7860.0,8950.0,8910.0,50.0,300.0,1800.0,960.0,310.0,200.0,1540.0,1300.0,160.0,490.0,1240.0,500.0,0.0,80.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
72,000,24,0,1998SJ00,26450.0,14600.0,11850.0,11610.0,150.0,680.0,2220.0,1070.0,650.0,240.0,2030.0,2110.0,210.0,680.0,1020.0,560.0,0.0,,240.0,10.0,10.0,50.0,10.0,10.0,0.0,100.0,0.0,0.0,10.0,0.0,30.0,0.0,20.0
73,000,24,0,1999SJ00,26800.0,12930.0,13870.0,13590.0,120.0,720.0,2560.0,1310.0,830.0,370.0,2370.0,2470.0,220.0,770.0,1000.0,710.0,0.0,160.0,280.0,10.0,20.0,50.0,10.0,0.0,0.0,130.0,0.0,0.0,10.0,0.0,40.0,0.0,30.0
74,000,24,0,2000SJ00,26630.0,12590.0,14040.0,13770.0,120.0,740.0,2550.0,1250.0,910.0,370.0,2630.0,2100.0,250.0,780.0,1200.0,710.0,0.0,170.0,270.0,10.0,20.0,30.0,10.0,10.0,0.0,110.0,0.0,0.0,0.0,0.0,30.0,0.0,60.0
75,000,24,M,1998SJ00,15640.0,8580.0,7060.0,6860.0,110.0,500.0,1340.0,600.0,510.0,160.0,1280.0,1200.0,120.0,330.0,390.0,300.0,0.0,,200.0,0.0,10.0,50.0,10.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0
76,000,24,M,1999SJ00,15640.0,7370.0,8260.0,8020.0,90.0,550.0,1550.0,700.0,640.0,250.0,1500.0,1430.0,110.0,380.0,350.0,370.0,0.0,90.0,250.0,10.0,20.0,40.0,10.0,0.0,0.0,110.0,0.0,0.0,10.0,0.0,30.0,0.0,20.0
77,000,24,M,2000SJ00,15390.0,7080.0,8310.0,8070.0,90.0,540.0,1530.0,660.0,710.0,230.0,1670.0,1230.0,130.0,410.0,390.0,370.0,0.0,110.0,230.0,10.0,10.0,20.0,10.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,0.0,50.0
78,000,24,V,1998SJ00,10810.0,6020.0,4790.0,4750.0,30.0,180.0,880.0,470.0,140.0,90.0,750.0,900.0,90.0,340.0,630.0,260.0,0.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
79,000,24,V,1999SJ00,11160.0,5560.0,5610.0,5570.0,30.0,160.0,1010.0,610.0,190.0,120.0,870.0,1040.0,110.0,390.0,650.0,340.0,0.0,60.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
80,000,24,V,2000SJ00,11240.0,5510.0,5730.0,5690.0,30.0,190.0,1020.0,590.0,210.0,140.0,950.0,870.0,120.0,370.0,810.0,330.0,0.0,60.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
81,000,25,0,1998SJ00,16690.0,9110.0,7580.0,7420.0,70.0,430.0,1230.0,650.0,420.0,170.0,1440.0,1350.0,170.0,440.0,670.0,370.0,0.0,,160.0,0.0,10.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
