ID,Perioden,InkomstenTotaal_1,Belastingen_2,WettelijkeSocialeVerzekeringspremies_3,VerkopenVanGoederenEnDiensten_4,Overig_5,UitgavenTotaal_6,BeloningVanWerknemers_7,AankopenGoederenEnDiensten_8,Uitkeringen_9,BrutoInvesteringenInVasteActiva_10,Overig_11,Overheidssaldo_12,OverheidsschuldEMU_13,Overheidsconsumptie_14,Inkomsten_15,Uitgaven_16,Overheidssaldo_17,InkomstenTotaal_18,Belastingen_19,WettelijkeSocialeVerzekeringspremies_20,VerkopenVanGoederenEnDiensten_21,Overig_22,UitgavenTotaal_23,BeloningVanWerknemers_24,AankopenGoederenEnDiensten_25,Uitkeringen_26,BrutoInvesteringenInVasteActiva_27,Overig_28,Overheidssaldo_29,OverheidsschuldEMU_30,Overheidsconsumptie_31,BelastingEnPremiedruk_32,Inkomsten_33,Uitgaven_34,Overheidssaldo_35,VolumegroeiOverheidsconsumptie_36,Arbeidsvolume_37
52,2008KW04,77490.0,40203.0,22759.0,4590.0,9938.0,72895.0,15129.0,11231.0,28600.0,6435.0,11500.0,4595.0,349913.0,40297.0,71520.0,71242.0,278.0,43.8,22.6,13.5,2.7,5.1,43.6,8.7,6.5,18.2,4.0,6.2,0.2,54.7,23.9,36.1,44.7,44.5,0.2,3.3,
53,2008JJ00,279849.0,144346.0,86124.0,16961.0,32418.0,278419.0,55456.0,41314.0,116391.0,25446.0,39812.0,1430.0,349913.0,152650.0,,,,43.8,22.6,13.5,2.7,5.1,43.6,8.7,6.5,18.2,4.0,6.2,0.2,54.7,23.9,36.1,,,,3.3,1042.8
54,2009KW01,67333.0,33058.0,22079.0,4204.0,7992.0,73151.0,13137.0,10657.0,30206.0,6568.0,12583.0,-5818.0,366025.0,38867.0,66477.0,74194.0,-7717.0,43.7,22.7,13.4,2.7,5.0,44.6,8.8,6.6,18.6,4.0,6.5,-0.9,57.6,24.4,36.1,42.7,47.6,-5.0,4.3,
55,2009KW02,64808.0,35666.0,17572.0,4123.0,7447.0,74825.0,16285.0,10843.0,33385.0,6796.0,7516.0,-10017.0,356597.0,42519.0,65142.0,71545.0,-6403.0,43.4,22.7,13.0,2.7,5.0,45.5,9.1,6.8,19.1,4.1,6.4,-2.1,56.7,25.1,35.7,42.5,46.7,-4.2,4.9,
56,2009KW03,60155.0,30770.0,19215.0,4036.0,6134.0,71877.0,13175.0,10710.0,30476.0,6512.0,11004.0,-11722.0,356201.0,38907.0,66121.0,75937.0,-9816.0,43.3,22.4,13.1,2.7,5.1,47.0,9.3,7.0,19.7,4.2,6.8,-3.7,57.2,25.8,35.5,42.9,49.2,-6.4,5.5,
57,2009KW04,71646.0,38160.0,19973.0,4544.0,8969.0,77627.0,15982.0,12018.0,30965.0,6702.0,11960.0,-5981.0,350735.0,43062.0,66376.0,75895.0,-9519.0,42.7,22.3,12.8,2.7,4.9,48.2,9.5,7.2,20.2,4.3,7.0,-5.4,56.8,26.5,35.1,43.0,49.1,-6.2,4.0,
58,2009JJ00,263942.0,137654.0,78839.0,16907.0,30542.0,297480.0,58579.0,44228.0,125032.0,26578.0,43063.0,-33538.0,350735.0,163355.0,,,,42.7,22.3,12.8,2.7,4.9,48.2,9.5,7.2,20.2,4.3,7.0,-5.4,56.8,26.5,35.1,,,,4.7,1060.0
59,2010KW01,67461.0,33681.0,21451.0,4231.0,8098.0,74203.0,13472.0,10560.0,31551.0,6299.0,12321.0,-6742.0,355227.0,39752.0,66321.0,75468.0,-9147.0,42.8,22.4,12.7,2.7,5.0,48.4,9.6,7.2,20.5,4.3,6.9,-5.6,57.6,26.6,35.1,42.8,48.7,-5.9,1.5,
60,2010KW02,69162.0,37493.0,20641.0,4252.0,6776.0,79460.0,16725.0,10780.0,35203.0,6882.0,9870.0,-10298.0,368239.0,43543.0,69561.0,75950.0,-6389.0,43.2,22.6,13.1,2.7,4.8,48.8,9.6,7.1,20.6,4.2,7.3,-5.6,59.3,26.6,35.6,44.1,48.2,-4.1,1.4,
61,2010KW03,60150.0,31249.0,19257.0,4188.0,5456.0,72451.0,13511.0,10648.0,31715.0,6291.0,10286.0,-12301.0,369988.0,39847.0,65980.0,76298.0,-10318.0,42.9,22.5,13.0,2.8,4.7,48.5,9.5,7.0,20.7,4.2,7.1,-5.6,59.1,26.6,35.5,41.5,48.0,-6.5,0.8,
62,2010KW04,75812.0,40789.0,21383.0,4675.0,8965.0,77993.0,16408.0,11920.0,32081.0,6735.0,10849.0,-2181.0,374336.0,44090.0,70716.0,76374.0,-5658.0,43.2,22.7,13.1,2.7,4.6,48.2,9.5,7.0,20.7,4.1,6.9,-5.0,59.3,26.5,35.8,44.3,47.8,-3.5,0.4,
63,2010JJ00,272585.0,143212.0,82732.0,17346.0,29295.0,304107.0,60116.0,43908.0,130550.0,26207.0,43326.0,-31522.0,374336.0,167232.0,,,,43.2,22.7,13.1,2.7,4.6,48.2,9.5,7.0,20.7,4.1,6.9,-5.0,59.3,26.5,35.8,,,,1.0,1078.2
64,2011KW01,70611.0,34481.0,23019.0,4246.0,8865.0,73938.0,13489.0,10120.0,32701.0,6633.0,10995.0,-3327.0,378082.0,39874.0,69061.0,75300.0,-6239.0,43.3,22.6,13.2,2.7,4.7,47.7,9.4,6.8,20.7,4.2,6.6,-4.4,59.4,26.3,35.9,43.1,47.0,-3.9,0.0,
65,2011KW02,67657.0,37564.0,19119.0,4265.0,6709.0,78905.0,16588.0,10556.0,36200.0,6644.0,8917.0,-11248.0,385890.0,43529.0,67963.0,75375.0,-7412.0,42.9,22.5,12.9,2.7,4.7,47.4,9.4,6.8,20.7,4.1,6.4,-4.5,60.3,26.2,35.5,42.4,47.0,-4.6,0.4,
66,2011KW03,63725.0,32582.0,20904.0,4242.0,5997.0,72066.0,13384.0,10370.0,32475.0,6234.0,9603.0,-8341.0,391329.0,39860.0,69749.0,75682.0,-5933.0,43.3,22.6,13.1,2.7,4.8,47.2,9.3,6.7,20.8,4.1,6.3,-3.9,61.0,26.1,35.8,43.2,46.9,-3.7,-0.5,
67,2011KW04,72445.0,35225.0,25428.0,4782.0,7010.0,77101.0,16257.0,11758.0,32646.0,6203.0,10237.0,-4656.0,395731.0,43895.0,68179.0,75794.0,-7615.0,42.7,21.8,13.8,2.7,4.4,47.0,9.3,6.7,20.8,4.0,6.2,-4.3,61.6,26.0,35.5,42.4,47.1,-4.7,-0.9,
68,2011JJ00,274438.0,139852.0,88470.0,17535.0,28581.0,302010.0,59718.0,42804.0,134022.0,25714.0,39752.0,-27572.0,395731.0,167158.0,,,,42.7,21.8,13.8,2.7,4.4,47.0,9.3,6.7,20.8,4.0,6.2,-4.3,61.6,26.0,35.5,,,,-0.2,1049.5
69,2012KW01,71400.0,33836.0,23557.0,4197.0,9810.0,74480.0,13423.0,10305.0,33480.0,5741.0,11531.0,-3080.0,401677.0,40487.0,69543.0,75753.0,-6210.0,42.8,21.6,13.8,2.7,4.6,47.0,9.3,6.7,20.9,3.9,6.3,-4.2,62.4,26.1,35.5,43.2,47.1,-3.9,-1.0,
