ID,EffectVanDeSamenwerkingOp,GrootteVanHetEffect,BedrijfstakkenBranchesSBI93,Perioden,AantSamenwerkendeBedrijven250Wp_1,PercSamenwerkendeBedrijven250Wp_2
346, 10,  1,       4,2007JJ00  ,29,29
347, 10,  1,       4,2008JJ00  ,27,35
348, 10,  1,       5,2006JJ00  ,20,33
349, 10,  1,       5,2007JJ00  ,16,30
350, 10,  1,       5,2008JJ00  ,18,39
351, 10,  1,       6,2006JJ00  ,51,18
352, 10,  1,       6,2007JJ00  ,62,26
353, 10,  1,       6,2008JJ00  ,61,27
354, 10,  1,       7,2006JJ00  ,56,10
355, 10,  1,       7,2007JJ00  ,76,14
356, 10,  1,       7,2008JJ00  ,60,12
357, 10,  2,       1,2006JJ00  ,369,23
358, 10,  2,       1,2007JJ00  ,305,21
359, 10,  2,       1,2008JJ00  ,335,24
360, 10,  2,       2,2006JJ00  ,111,27
361, 10,  2,       2,2007JJ00  ,77,20
362, 10,  2,       2,2008JJ00  ,86,23
363, 10,  2,       3,2006JJ00  ,28,14
364, 10,  2,       3,2007JJ00  ,25,14
365, 10,  2,       3,2008JJ00  ,46,25
366, 10,  2,       4,2006JJ00  ,4,4
367, 10,  2,       4,2007JJ00  ,25,25
368, 10,  2,       4,2008JJ00  ,23,29
369, 10,  2,       5,2006JJ00  ,11,18
370, 10,  2,       5,2007JJ00  ,14,26
371, 10,  2,       5,2008JJ00  ,19,41
372, 10,  2,       6,2006JJ00  ,90,31
373, 10,  2,       6,2007JJ00  ,69,29
374, 10,  2,       6,2008JJ00  ,65,29
375, 10,  2,       7,2006JJ00  ,125,21
376, 10,  2,       7,2007JJ00  ,96,18
377, 10,  2,       7,2008JJ00  ,98,20
378, 10,  3,       1,2006JJ00  ,750,46
379, 10,  3,       1,2007JJ00  ,638,43
380, 10,  3,       1,2008JJ00  ,551,39
381, 10,  3,       2,2006JJ00  ,203,50
382, 10,  3,       2,2007JJ00  ,188,50
383, 10,  3,       2,2008JJ00  ,184,49
384, 10,  3,       3,2006JJ00  ,103,51
385, 10,  3,       3,2007JJ00  ,76,43
386, 10,  3,       3,2008JJ00  ,68,36
387, 10,  3,       4,2006JJ00  ,23,25
388, 10,  3,       4,2007JJ00  ,38,38
389, 10,  3,       4,2008JJ00  ,15,19
390, 10,  3,       5,2006JJ00  ,16,27
391, 10,  3,       5,2007JJ00  ,16,30
392, 10,  3,       5,2008JJ00  ,5,11
393, 10,  3,       6,2006JJ00  ,118,41
394, 10,  3,       6,2007JJ00  ,81,35
395, 10,  3,       6,2008JJ00  ,73,33
396, 10,  3,       7,2006JJ00  ,286,49
397, 10,  3,       7,2007JJ00  ,240,46
398, 10,  3,       7,2008JJ00  ,204,42
399, 10,  4,       1,2006JJ00  ,268,16
400, 10,  4,       1,2007JJ00  ,259,18
401, 10,  4,       1,2008JJ00  ,267,19
402, 10,  4,       2,2006JJ00  ,37,9
403, 10,  4,       2,2007JJ00  ,61,16
404, 10,  4,       2,2008JJ00  ,59,16
405, 10,  4,       3,2006JJ00  ,41,20
406, 10,  4,       3,2007JJ00  ,45,25
407, 10,  4,       3,2008JJ00  ,41,22
408, 10,  4,       4,2006JJ00  ,29,32
409, 10,  4,       4,2007JJ00  ,8,8
410, 10,  4,       4,2008JJ00  ,13,17
411, 10,  4,       5,2006JJ00  ,13,22
412, 10,  4,       5,2007JJ00  ,8,15
413, 10,  4,       5,2008JJ00  ,4,9
414, 10,  4,       6,2006JJ00  ,32,11
415, 10,  4,       6,2007JJ00  ,22,9
416, 10,  4,       6,2008JJ00  ,25,11
417, 10,  4,       7,2006JJ00  ,118,20
418, 10,  4,       7,2007JJ00  ,113,22
419, 10,  4,       7,2008JJ00  ,123,25
420, 11,  0,       1,2006JJ00  ,1633,100
421, 11,  0,       1,2007JJ00  ,1470,100
422, 11,  0,       1,2008JJ00  ,1398,100
423, 11,  0,       2,2006JJ00  ,406,100
424, 11,  0,       2,2007JJ00  ,379,100
425, 11,  0,       2,2008JJ00  ,377,100
426, 11,  0,       3,2006JJ00  ,201,100
427, 11,  0,       3,2007JJ00  ,178,100
428, 11,  0,       3,2008JJ00  ,187,100
429, 11,  0,       4,2006JJ00  ,91,100
430, 11,  0,       4,2007JJ00  ,100,100
431, 11,  0,       4,2008JJ00  ,78,100
432, 11,  0,       5,2006JJ00  ,60,100
433, 11,  0,       5,2007JJ00  ,54,100
434, 11,  0,       5,2008JJ00  ,46,100
435, 11,  0,       6,2006JJ00  ,291,100
436, 11,  0,       6,2007JJ00  ,234,100
437, 11,  0,       6,2008JJ00  ,224,100
438, 11,  0,       7,2006JJ00  ,585,100
439, 11,  0,       7,2007JJ00  ,525,100
440, 11,  0,       7,2008JJ00  ,485,100
441, 11,  1,       1,2006JJ00  ,140,9
442, 11,  1,       1,2007JJ00  ,141,10
443, 11,  1,       1,2008JJ00  ,144,10
444, 11,  1,       2,2006JJ00  ,28,7
445, 11,  1,       2,2007JJ00  ,34,9
446, 11,  1,       2,2008JJ00  ,30,8
447, 11,  1,       3,2006JJ00  ,12,6
448, 11,  1,       3,2007JJ00  ,10,6
449, 11,  1,       3,2008JJ00  ,19,10
450, 11,  1,       4,2006JJ00  ,18,20
451, 11,  1,       4,2007JJ00  ,16,16
452, 11,  1,       4,2008JJ00  ,13,17
453, 11,  1,       5,2006JJ00  ,4,7
454, 11,  1,       5,2007JJ00  ,11,20
455, 11,  1,       5,2008JJ00  ,12,26
456, 11,  1,       6,2006JJ00  ,48,16
457, 11,  1,       6,2007JJ00  ,29,12
458, 11,  1,       6,2008JJ00  ,27,12
459, 11,  1,       7,2006JJ00  ,31,5
460, 11,  1,       7,2007JJ00  ,40,8
461, 11,  1,       7,2008JJ00  ,43,9
462, 11,  2,       1,2006JJ00  ,206,13
463, 11,  2,       1,2007JJ00  ,166,11
464, 11,  2,       1,2008JJ00  ,183,13
465, 11,  2,       2,2006JJ00  ,79,19
466, 11,  2,       2,2007JJ00  ,49,13
467, 11,  2,       2,2008JJ00  ,55,15
468, 11,  2,       3,2006JJ00  ,20,10
469, 11,  2,       3,2007JJ00  ,16,9
470, 11,  2,       3,2008JJ00  ,10,5
471, 11,  2,       4,2006JJ00  ,2,2
472, 11,  2,       4,2007JJ00  ,16,16
473, 11,  2,       4,2008JJ00  ,29,37
474, 11,  2,       5,2006JJ00  ,14,23
475, 11,  2,       5,2007JJ00  ,0,0
476, 11,  2,       5,2008JJ00  ,0,0
477, 11,  2,       6,2006JJ00  ,29,10
478, 11,  2,       6,2007JJ00  ,33,14
479, 11,  2,       6,2008JJ00  ,36,16
480, 11,  2,       7,2006JJ00  ,62,11
481, 11,  2,       7,2007JJ00  ,52,10
482, 11,  2,       7,2008JJ00  ,53,11
483, 11,  3,       1,2006JJ00  ,415,25
484, 11,  3,       1,2007JJ00  ,354,24
485, 11,  3,       1,2008JJ00  ,320,23
486, 11,  3,       2,2006JJ00  ,137,34
487, 11,  3,       2,2007JJ00  ,120,32
488, 11,  3,       2,2008JJ00  ,102,27
489, 11,  3,       3,2006JJ00  ,39,19
490, 11,  3,       3,2007JJ00  ,26,15
491, 11,  3,       3,2008JJ00  ,29,16
492, 11,  3,       4,2006JJ00  ,16,18
493, 11,  3,       4,2007JJ00  ,17,17
494, 11,  3,       4,2008JJ00  ,6,8
495, 11,  3,       5,2006JJ00  ,6,10
496, 11,  3,       5,2007JJ00  ,7,13
497, 11,  3,       5,2008JJ00  ,10,22
498, 11,  3,       6,2006JJ00  ,66,23
499, 11,  3,       6,2007JJ00  ,55,24
500, 11,  3,       6,2008JJ00  ,55,25
501, 11,  3,       7,2006JJ00  ,152,26
502, 11,  3,       7,2007JJ00  ,129,25
503, 11,  3,       7,2008JJ00  ,118,24
504, 11,  4,       1,2006JJ00  ,872,53
505, 11,  4,       1,2007JJ00  ,809,55
506, 11,  4,       1,2008JJ00  ,751,54
507, 11,  4,       2,2006JJ00  ,162,40
508, 11,  4,       2,2007JJ00  ,176,46
509, 11,  4,       2,2008JJ00  ,190,50
510, 11,  4,       3,2006JJ00  ,130,65
511, 11,  4,       3,2007JJ00  ,126,71
512, 11,  4,       3,2008JJ00  ,129,69
513, 11,  4,       4,2006JJ00  ,55,60
514, 11,  4,       4,2007JJ00  ,51,51
515, 11,  4,       4,2008JJ00  ,30,38
516, 11,  4,       5,2006JJ00  ,36,60
517, 11,  4,       5,2007JJ00  ,36,67
518, 11,  4,       5,2008JJ00  ,24,52
519, 11,  4,       6,2006JJ00  ,148,51
520, 11,  4,       6,2007JJ00  ,117,50
521, 11,  4,       6,2008JJ00  ,106,47
522, 11,  4,       7,2006JJ00  ,340,58
523, 11,  4,       7,2007JJ00  ,304,58
524, 11,  4,       7,2008JJ00  ,271,56
