ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
353,A050124  ,T001372  ,1993JJ00,41.9
354,A050124  ,T001372  ,1994JJ00,45.7
355,A050124  ,T001372  ,1995JJ00,47.8
356,A050124  ,T001372  ,1996JJ00,48.3
357,A050124  ,T001372  ,1997JJ00,48.5
358,A050124  ,T001372  ,1998JJ00,50.2
359,A050124  ,T001372  ,1999JJ00,47.2
360,A050124  ,T001372  ,2000JJ00,48.4
361,A050124  ,T001372  ,2001JJ00,51.9
362,A050124  ,T001372  ,2002JJ00,53.0
363,A050124  ,T001372  ,2003JJ00,53.7
364,A050124  ,T001372  ,2004JJ00,54.9
365,A050124  ,T001372  ,2005JJ00,52.1
366,A050124  ,T001372  ,2006JJ00,47.8
367,A050124  ,T001372  ,2007JJ00,50.6
368,A050124  ,T001372  ,2008JJ00,50.0
369,A050124  ,T001372  ,2009JJ00,49.9
370,A050124  ,T001372  ,2010JJ00,52.0
371,A050124  ,T001372  ,2011JJ00,47.8
372,A050124  ,T001372  ,2012JJ00,44.8
373,A050124  ,T001372  ,2013JJ00,44.9
374,A050124  ,T001372  ,2014JJ00,48.6
375,A050124  ,T001372  ,2015JJ00,53.1
376,A050124  ,T001372  ,2016JJ00,52.0
377,A050124  ,T001372  ,2017JJ00,48.3
378,A050124  ,T001372  ,2018JJ00,44.6
379,A050124  ,T001372  ,2019JJ00,41.5
380,A050124  ,T001372  ,2020JJ00,32.5
381,A050124  ,T001372  ,2021JJ00,32.4
382,A050124  ,T001372  ,2022JJ00,30.5
383,A050124  ,T001372  ,2023JJ00,23.6
384,A050124  ,T001372  ,2024JJ00,23.0
385,A050124  ,A044109  ,1990JJ00,39.5
386,A050124  ,A044109  ,1991JJ00,39.9
387,A050124  ,A044109  ,1992JJ00,40.5
388,A050124  ,A044109  ,1993JJ00,41.7
389,A050124  ,A044109  ,1994JJ00,45.6
390,A050124  ,A044109  ,1995JJ00,47.6
391,A050124  ,A044109  ,1996JJ00,48.1
392,A050124  ,A044109  ,1997JJ00,48.3
393,A050124  ,A044109  ,1998JJ00,50.1
394,A050124  ,A044109  ,1999JJ00,47.0
395,A050124  ,A044109  ,2000JJ00,48.2
396,A050124  ,A044109  ,2001JJ00,51.7
397,A050124  ,A044109  ,2002JJ00,52.7
398,A050124  ,A044109  ,2003JJ00,53.5
399,A050124  ,A044109  ,2004JJ00,54.7
400,A050124  ,A044109  ,2005JJ00,51.9
401,A050124  ,A044109  ,2006JJ00,47.6
402,A050124  ,A044109  ,2007JJ00,50.4
403,A050124  ,A044109  ,2008JJ00,49.8
404,A050124  ,A044109  ,2009JJ00,49.7
405,A050124  ,A044109  ,2010JJ00,51.8
406,A050124  ,A044109  ,2011JJ00,47.6
407,A050124  ,A044109  ,2012JJ00,44.6
408,A050124  ,A044109  ,2013JJ00,44.7
409,A050124  ,A044109  ,2014JJ00,48.4
410,A050124  ,A044109  ,2015JJ00,52.9
411,A050124  ,A044109  ,2016JJ00,51.7
412,A050124  ,A044109  ,2017JJ00,48.1
413,A050124  ,A044109  ,2018JJ00,44.4
414,A050124  ,A044109  ,2019JJ00,41.3
415,A050124  ,A044109  ,2020JJ00,32.3
416,A050124  ,A044109  ,2021JJ00,32.2
417,A050124  ,A044109  ,2022JJ00,30.3
418,A050124  ,A044109  ,2023JJ00,23.4
419,A050124  ,A044109  ,2024JJ00,22.8
420,A050124  ,A044110  ,1990JJ00,0.1
421,A050124  ,A044110  ,1991JJ00,0.1
422,A050124  ,A044110  ,1992JJ00,0.1
423,A050124  ,A044110  ,1993JJ00,0.1
424,A050124  ,A044110  ,1994JJ00,0.1
425,A050124  ,A044110  ,1995JJ00,0.1
426,A050124  ,A044110  ,1996JJ00,0.1
427,A050124  ,A044110  ,1997JJ00,0.1
428,A050124  ,A044110  ,1998JJ00,0.1
