ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
127,PV22,2012JJ00,,,3.0,,,9.0,,,3.0,,,,,
128,PV22,2013JJ00,,,3.0,,,9.0,,,3.0,,,,,
129,PV22,2014JJ00,3.0,,6.0,19.0,,28.0,6.0,,9.0,,,,,
130,PV22,2015JJ00,4.0,1.0,9.0,25.0,0.0,53.0,13.0,0.0,22.0,,,,,
131,PV22,2016JJ00,,,9.0,,,53.0,,,22.0,,,,,
132,PV22,2017JJ00,,,9.0,,,53.0,,,22.0,,,,,
133,PV22,2018JJ00,,0.0,9.0,,0.0,53.0,,0.0,22.0,,,,,
134,PV22,2019JJ00,0.0,0.0,9.0,0.0,0.0,53.0,0.0,0.0,22.0,,,,,
135,PV22,2020JJ00,8.0,0.0,17.0,84.0,0.0,137.0,28.0,0.0,50.0,,,,,
136,PV22,2021JJ00,44.0,0.0,61.0,593.0,0.0,730.0,172.0,1.0,221.0,216.0,207.0,16.9,460.0,1482.0
137,PV22,2022JJ00,7.0,0.0,68.0,94.0,0.0,824.0,25.0,0.0,246.0,620.0,643.0,32.9,870.0,2882.0
138,PV22,2023JJ00,7.0,0.0,75.0,94.0,0.0,919.0,25.0,0.0,271.0,692.0,786.0,33.0,854.0,2895.0
139,PV22,2024JJ00,0.0,0.0,75.0,0.0,0.0,919.0,0.0,0.0,271.0,732.0,767.0,32.2,834.0,2827.0
140,PV23,1990JJ00,,,,,,,,,,,,,,
141,PV23,1991JJ00,,,,,,,,,,,,,,
142,PV23,1992JJ00,,,,,,,,,,,,,,
143,PV23,1993JJ00,,,,,,,,,,,,,,
