ID,CoalAndCoalProducts,Periods,TotalEnergySupply_1,Production_2,RecoveredProducts_3,ImportsTotal_4,OfWhichFromOutsideEU_5,Exports_6,StocksBeginningOfPeriod_7,StocksEndOfPeriod_8,StockChange_9,StatisticalDifferences_10,TotalConsumption_11,TotalEnergyCompanies_12,CokeOvenPlants_13,IndustryTotal_14,OfWhichIronAndSteel_15,TotalOtherConsumers_16
357,E006461,2010MM08,908.0,,,1085.0,1085.0,535.0,,,358.0,,908.0,555.0,257.0,,88.0,8.0
358,E006461,2010MM09,1025.0,,,1714.0,1714.0,116.0,,,-573.0,,1025.0,666.0,236.0,,113.0,10.0
359,E006461,2010KW03,2825.0,,,4298.0,4298.0,718.0,,,-755.0,,2825.0,1760.0,757.0,,283.0,25.0
360,E006461,2010MM10,1108.0,,,2206.0,2206.0,457.0,,,-641.0,,1108.0,757.0,248.0,,96.0,7.0
361,E006461,2010MM11,1097.0,,,1732.0,1732.0,592.0,,,-43.0,,1097.0,781.0,237.0,,73.0,6.0
362,E006461,2010MM12,1074.0,,,2133.0,2133.0,1045.0,,,-14.0,,1074.0,748.0,237.0,,82.0,7.0
363,E006461,2010KW04,3279.0,,,6071.0,6071.0,2094.0,,,-698.0,,3279.0,2286.0,722.0,,251.0,20.0
364,E006461,2011MM01,981.0,,,2153.0,2153.0,1651.0,,,479.0,,981.0,633.0,252.0,,92.0,4.0
365,E006461,2011MM02,920.0,,,1318.0,1318.0,1125.0,,,727.0,,920.0,619.0,231.0,,67.0,3.0
366,E006461,2011MM03,1065.0,,,1645.0,1645.0,1097.0,,,517.0,,1065.0,712.0,271.0,,80.0,2.0
367,E006461,2011KW01,2966.0,,,5116.0,5116.0,3873.0,,,1723.0,,2966.0,1964.0,754.0,,239.0,9.0
368,E006461,2011MM04,994.0,,,2097.0,2097.0,398.0,,,-705.0,,994.0,627.0,290.0,,75.0,2.0
369,E006461,2011MM05,1021.0,,,2216.0,2216.0,1077.0,,,-118.0,,1021.0,622.0,258.0,,136.0,5.0
370,E006461,2011MM06,864.0,,,2306.0,2306.0,1209.0,,,-233.0,,864.0,510.0,244.0,,104.0,6.0
371,E006461,2011KW02,2879.0,,,6619.0,6619.0,2684.0,,,-1056.0,,2879.0,1759.0,792.0,,315.0,13.0
372,E006461,2011MM07,864.0,,,1915.0,1915.0,936.0,,,-115.0,,864.0,494.0,246.0,,118.0,6.0
373,E006461,2011MM08,837.0,,,2687.0,2687.0,1056.0,,,-794.0,,837.0,459.0,259.0,,112.0,7.0
374,E006461,2011MM09,920.0,,,2177.0,2177.0,672.0,,,-585.0,,920.0,574.0,222.0,,116.0,8.0
375,E006461,2011KW03,2621.0,,,6779.0,6779.0,2664.0,,,-1494.0,,2621.0,1527.0,727.0,,346.0,21.0
376,E006461,2011MM10,1085.0,,,2351.0,2351.0,1486.0,,,220.0,,1085.0,703.0,242.0,,133.0,7.0
377,E006461,2011MM11,1048.0,,,1870.0,1870.0,547.0,,,-275.0,,1048.0,695.0,225.0,,120.0,8.0
378,E006461,2011MM12,1112.0,,,1746.0,1746.0,1357.0,,,723.0,,1112.0,750.0,219.0,,133.0,10.0
379,E006461,2011KW04,3245.0,,,5967.0,5967.0,3390.0,,,668.0,,3245.0,2148.0,686.0,,386.0,25.0
380,E006461,2012MM01,1080.0,,,2432.0,2432.0,1517.0,,,165.0,,1080.0,713.0,228.0,,132.0,7.0
381,E006461,2012MM02,1140.0,,,2194.0,2194.0,1194.0,,,140.0,,1140.0,809.0,213.0,,110.0,8.0
382,E006461,2012MM03,1159.0,,,2146.0,2146.0,1330.0,,,343.0,,1159.0,793.0,240.0,,120.0,6.0
383,E006461,2012KW01,3379.0,,,6772.0,6772.0,4041.0,,,648.0,,3379.0,2315.0,681.0,,362.0,21.0
384,E006461,2012MM04,1044.0,,,2752.0,2752.0,1756.0,,,48.0,,1044.0,702.0,223.0,,114.0,5.0
385,E006461,2012MM05,871.0,,,1855.0,1855.0,1455.0,,,471.0,,871.0,525.0,233.0,,109.0,4.0
386,E006461,2012MM06,807.0,,,2679.0,2679.0,1984.0,,,112.0,,807.0,458.0,224.0,,121.0,4.0
387,E006461,2012KW02,2722.0,,,7286.0,7286.0,5195.0,,,631.0,,2722.0,1685.0,680.0,,344.0,13.0
388,E006461,2012MM07,1110.0,,,1519.0,1519.0,1354.0,,,945.0,,1110.0,730.0,238.0,,137.0,5.0
389,E006461,2012MM08,1078.0,,,2949.0,2949.0,576.0,,,-1295.0,,1078.0,726.0,228.0,,119.0,5.0
390,E006461,2012MM09,1079.0,,,1980.0,1980.0,1642.0,,,741.0,,1079.0,737.0,223.0,,112.0,7.0
391,E006461,2012KW03,3267.0,,,6448.0,6448.0,3572.0,,,391.0,,3267.0,2193.0,689.0,,368.0,17.0
392,E006461,2012MM10,1247.0,,,2646.0,2646.0,1910.0,,,511.0,,1247.0,897.0,232.0,,111.0,7.0
393,E006461,2012MM11,1136.0,,,3003.0,3003.0,1691.0,,,-176.0,,1136.0,788.0,226.0,,116.0,6.0
394,E006461,2012MM12,1066.0,,,2872.0,2872.0,1955.0,,,149.0,,1066.0,690.0,234.0,,134.0,8.0
395,E006461,2012KW04,3449.0,,,8521.0,8521.0,5556.0,,,484.0,,3449.0,2375.0,692.0,,361.0,21.0
396,E006461,2013MM01,1070.0,,,2868.0,2868.0,1446.0,,,-352.0,,1070.0,713.0,231.0,,123.0,3.0
397,E006461,2013MM02,975.0,,,2673.0,2673.0,1822.0,,,124.0,,975.0,676.0,208.0,,89.0,2.0
398,E006461,2013MM03,1072.0,,,2500.0,2500.0,1595.0,,,168.0,,1072.0,758.0,230.0,,82.0,2.0
399,E006461,2013KW01,3117.0,,,8041.0,8041.0,4863.0,,,-61.0,,3117.0,2147.0,669.0,,294.0,7.0
400,E006461,2013MM04,1147.0,,,2660.0,2660.0,1356.0,,,-157.0,,1147.0,808.0,228.0,,105.0,6.0
401,E006461,2013MM05,1026.0,,,2775.0,2775.0,1314.0,,,-435.0,,1026.0,666.0,245.0,,109.0,6.0
402,E006461,2013MM06,697.0,,,2591.0,2591.0,1311.0,,,-583.0,,697.0,352.0,229.0,,111.0,5.0
403,E006461,2013KW02,2870.0,,,8026.0,8026.0,3981.0,,,-1175.0,,2870.0,1826.0,702.0,,325.0,17.0
404,E006461,2013MM07,1058.0,,,4028.0,4028.0,2663.0,,,-307.0,,1058.0,701.0,243.0,,106.0,8.0
405,E006461,2013MM08,1127.0,,,3677.0,3677.0,2586.0,,,37.0,,1127.0,769.0,249.0,,102.0,7.0
406,E006461,2013MM09,1105.0,,,3739.0,3739.0,2420.0,,,-214.0,,1105.0,745.0,238.0,,115.0,7.0
407,E006461,2013KW03,3290.0,,,11444.0,11444.0,7669.0,,,-485.0,,3290.0,2215.0,730.0,,323.0,22.0
408,E006461,2013MM10,1179.0,,,4160.0,4160.0,3222.0,,,241.0,,1179.0,823.0,231.0,,122.0,3.0
409,E006461,2013MM11,1316.0,,,5276.0,5276.0,3542.0,,,-418.0,,1316.0,961.0,238.0,,114.0,3.0
410,E006461,2013MM12,1223.0,,,4862.0,4862.0,3731.0,,,92.0,,1223.0,864.0,235.0,,120.0,4.0
411,E006461,2013KW04,3718.0,,,14298.0,14298.0,10495.0,,,-85.0,,3718.0,2648.0,704.0,,356.0,10.0
412,E006461,2014MM01,1292.0,,,5323.0,5323.0,3600.0,,,-431.0,,1292.0,915.0,234.0,,139.0,4.0
413,E006461,2014MM02,1100.0,,,4923.0,4923.0,3758.0,,,-65.0,,1100.0,767.0,222.0,,109.0,2.0
414,E006461,2014MM03,1282.0,,,4971.0,4971.0,2769.0,,,-920.0,,1282.0,895.0,255.0,,130.0,2.0
415,E006461,2014KW01,3674.0,,,15217.0,15217.0,10127.0,,,-1416.0,,3674.0,2577.0,711.0,,378.0,8.0
416,E006461,2014MM04,1237.0,,,4687.0,4687.0,2845.0,,,-605.0,,1237.0,875.0,237.0,,119.0,6.0
417,E006461,2014MM05,1079.0,,,4542.0,4542.0,3097.0,,,-366.0,,1079.0,720.0,247.0,,107.0,5.0
418,E006461,2014MM06,1110.0,,,4620.0,4620.0,3169.0,,,-341.0,,1110.0,754.0,242.0,,109.0,5.0
419,E006461,2014KW02,3426.0,,,13849.0,13849.0,9111.0,,,-1312.0,,3426.0,2349.0,726.0,,335.0,16.0
420,E006461,2014MM07,1103.0,,,3870.0,3870.0,2891.0,,,124.0,,1103.0,748.0,247.0,,99.0,9.0
421,E006461,2014MM08,1039.0,,,2605.0,2605.0,2682.0,,,1116.0,,1039.0,650.0,251.0,,130.0,8.0
422,E006461,2014MM09,1061.0,,,4815.0,4815.0,3271.0,,,-483.0,,1061.0,721.0,237.0,,95.0,8.0
423,E006461,2014KW03,3203.0,,,11290.0,11290.0,8844.0,,,757.0,,3203.0,2119.0,735.0,,324.0,25.0
424,E006461,2014MM10,1302.0,,,4916.0,4916.0,3722.0,,,108.0,,1302.0,924.0,248.0,,122.0,8.0
425,E006461,2014MM11,1461.0,,,5591.0,5591.0,3580.0,,,-550.0,,1461.0,1100.0,236.0,,118.0,7.0
