ID,Periode,Totaal_1,Vetgehalte_2,Eiwitgehalte_3,Room_4,Totaal_5,Vol_6,Halfvol_7,MagerInclKarnemelk_8,Boter_9,Totaal_10,Volvet_11,k_303540_12,k_20EnMinder_13,Kwark_14,Totaal_15,NietMager_16,Mager_17,Totaal_18,MetSuiker_19,ZonderSuiker_20,Koffiemelk_21,Totaal_22,SuikerarmEnOfOntzout_23,NietVerderVerwerkt_24
26,1997MM01,890999,4.65,3.54,1715.0,138915.0,43677.0,61418.0,33820.0,12666.0,58913.0,46139.0,12579.0,195.0,935.0,12933.0,10619.0,2314.0,28684.0,5667.0,16714.0,6303.0,23237.0,11417.0,11820.0
27,1997MM02,815189,4.54,3.47,1825.0,126472.0,38813.0,55123.0,32536.0,10525.0,53519.0,41661.0,11639.0,219.0,908.0,10137.0,8637.0,1500.0,28076.0,7521.0,14482.0,6073.0,20499.0,10145.0,10354.0
28,1997MM03,897491,4.46,3.41,2561.0,139442.0,42712.0,60766.0,35964.0,10860.0,59663.0,45537.0,13833.0,293.0,1142.0,11848.0,10040.0,1808.0,25988.0,8255.0,11769.0,5965.0,24604.0,12186.0,12418.0
29,1997MM04,912574,4.47,3.41,1949.0,131060.0,39363.0,56871.0,34826.0,12063.0,58710.0,44945.0,13478.0,287.0,1050.0,13651.0,11019.0,2631.0,26362.0,8997.0,11482.0,5883.0,23794.0,12076.0,11718.0
30,1997MM05,952356,4.38,3.43,2236.0,135430.0,39796.0,58867.0,36767.0,12522.0,60040.0,46957.0,12813.0,270.0,1195.0,17197.0,12638.0,4559.0,29576.0,8852.0,15134.0,5590.0,24029.0,11718.0,12311.0
31,1997MM06,910927,4.22,3.4,1978.0,134912.0,38375.0,57470.0,39067.0,11339.0,54801.0,42781.0,11822.0,198.0,1078.0,15759.0,10023.0,5736.0,28335.0,8629.0,14015.0,5690.0,20652.0,10323.0,10329.0
32,1997MM07,899791,4.17,3.4,1752.0,126661.0,36529.0,53133.0,36999.0,11742.0,55988.0,43236.0,12562.0,190.0,1032.0,15216.0,8794.0,6422.0,27211.0,8138.0,13618.0,5455.0,21990.0,11513.0,10477.0
33,1997MM08,852513,4.14,3.36,1763.0,142518.0,39089.0,58134.0,45295.0,9998.0,57102.0,44169.0,12715.0,218.0,975.0,10298.0,7212.0,3087.0,24406.0,6510.0,12829.0,5066.0,23669.0,11299.0,12370.0
34,1997MM09,824014,4.24,3.44,1898.0,137069.0,39670.0,58660.0,38739.0,7925.0,58018.0,44774.0,13006.0,238.0,892.0,8871.0,6614.0,2257.0,26607.0,8047.0,12621.0,5939.0,21530.0,10111.0,11419.0
35,1997MM10,849899,4.43,3.56,1991.0,139030.0,41427.0,59974.0,37629.0,8724.0,62188.0,47673.0,14237.0,278.0,953.0,10198.0,8096.0,2101.0,26471.0,8662.0,11803.0,6007.0,23639.0,11596.0,12043.0
36,1997MM11,824822,4.6,3.61,1994.0,134229.0,40467.0,58892.0,34870.0,9676.0,57996.0,44966.0,12702.0,328.0,1008.0,10521.0,8199.0,2322.0,27297.0,7181.0,13136.0,6980.0,21650.0,10633.0,11017.0
37,1997MM12,898655,4.62,3.56,2902.0,125059.0,37592.0,56198.0,31269.0,12312.0,56159.0,44326.0,11629.0,204.0,875.0,15105.0,10198.0,4907.0,26609.0,6664.0,13548.0,6398.0,21029.0,10745.0,10284.0
38,1997JJ00,10530800,4.41,3.46,24500.0,1612800.0,477700.0,695500.0,439600.0,134000.0,693100.0,537200.0,153000.0,2900.0,12000.0,152000.0,112400.0,39600.0,325700.0,93200.0,161200.0,71300.0,270400.0,133800.0,136600.0
