ID,Perioden,OutputBasisprijzen_1,IntermediairVerbruik_2,Totaal_3,ALandbouwBosbouwEnVisserij_4,BENijverheidGeenBouwEnEnergie_5,BDelfstoffenwinning_6,CIndustrie_7,DEnergievoorziening_8,EWaterbedrijvenEnAfvalbeheer_9,FBouwnijverheid_10,GIHandelVervoerEnHoreca_11,JInformatieEnCommunicatie_12,KFinancieleDienstverlening_13,LVerhuurEnHandelVanOnroerendGoed_14,MNZakelijkeDienstverlening_15,OQOverheidEnZorg_16,RUCultuurRecreatieOverigeDiensten_17,Saldo_18,ProductgebondenBelastingen_19,ProductgebondenSubsidies_20,VerschilToegerekendeEnAfgedragenBtw_21,BrutoBinnenlandsProduct_22,OutputBasisprijzen_23,IntermediairVerbruik_24,Totaal_25,ALandbouwBosbouwEnVisserij_26,BENijverheidGeenBouwEnEnergie_27,BDelfstoffenwinning_28,CIndustrie_29,DEnergievoorziening_30,EWaterbedrijvenEnAfvalbeheer_31,FBouwnijverheid_32,GIHandelVervoerEnHoreca_33,JInformatieEnCommunicatie_34,KFinancieleDienstverlening_35,LVerhuurEnHandelVanOnroerendGoed_36,MNZakelijkeDienstverlening_37,OQOverheidEnZorg_38,RUCultuurRecreatieOverigeDiensten_39,Saldo_40,ProductgebondenBelastingen_41,ProductgebondenSubsidies_42,VerschilToegerekendeEnAfgedragenBtw_43,BrutoBinnenlandsProduct_44,OutputBasisprijzen_45,IntermediairVerbruik_46,TotaalBrutoToegevoegdeWaarde_47,ALandbouwBosbouwEnVisserij_48,BENijverheidGeenBouwEnEnergie_49,BDelfstoffenwinning_50,CIndustrie_51,DEnergievoorziening_52,EWaterbedrijvenEnAfvalbeheer_53,FBouwnijverheid_54,GIHandelVervoerEnHoreca_55,JInformatieEnCommunicatie_56,KFinancieleDienstverlening_57,LVerhuurEnHandelVanOnroerendGoed_58,MNZakelijkeDienstverlening_59,OQOverheidEnZorg_60,RUCultuurRecreatieOverigeDiensten_61,Saldo_62,ProductgebondenBelastingen_63,ProductgebondenSubsidies_64,VerschilToegerekendeEnAfgedragenBtw_65,BrutoBinnenlandsProduct_66,OutputBasisprijzen_67,IntermediairVerbruik_68,TotaalBrutoToegevoegdeWaarde_69,ALandbouwBosbouwEnVisserij_70,BENijverheidGeenBouwEnEnergie_71,BDelfstoffenwinning_72,CIndustrie_73,DEnergievoorziening_74,EWaterbedrijvenEnAfvalbeheer_75,FBouwnijverheid_76,GIHandelVervoerEnHoreca_77,JInformatieEnCommunicatie_78,KFinancieleDienstverlening_79,LVerhuurEnHandelVanOnroerendGoed_80,MNZakelijkeDienstverlening_81,OQOverheidEnZorg_82,RUCultuurRecreatieOverigeDiensten_83,Saldo_84,ProductgebondenBelastingen_85,ProductgebondenSubsidies_86,VerschilToegerekendeEnAfgedragenBtw_87,BrutoBinnenlandsProduct_88,Totaal_89,Lonen_90,SocialePremiesTLVWerkgevers_91,Saldo_92,BelastingenOpProductieEnInvoer_93,Subsidies_94,Bruto_95,VerbruikVanVasteActiva_96,Netto_97,BrutoBinnenlandsProduct_98,Totaal_99,Lonen_100,SocialePremiesTLVWerkgevers_101,Saldo_102,BelastingenOpProductieEnInvoer_103,Subsidies_104,Bruto_105,VerbruikVanVasteActiva_106,Netto_107,BrutoBinnenlandsProduct_108,Totaal_109,Lonen_110,SocialePremiesTLVWerkgevers_111,Saldo_112,BelastingenOpProductieEnInvoer_113,Subsidies_114,Bruto_115,VerbruikVanVasteActiva_116,Netto_117,BrutoBinnenlandsProduct_118,Totaal_119,Lonen_120,SocialePremiesTLVWerkgevers_121,Saldo_122,BelastingenOpProductieEnInvoer_123,Subsidies_124,Bruto_125,VerbruikVanVasteActiva_126,Netto_127,BrutoBinnenlandsProduct_128,Totaal_129,Totaal_130,Huishoudens_131,Overheid_132,Totaal_133,BedrijvenEnHuishoudens_134,Overheid_135,VeranderingInVoorraden_136,Totaal_137,Goederen_138,Diensten_139,Totaal_140,Goederen_141,Diensten_142,BrutoBinnenlandsProduct_143,Totaal_144,Totaal_145,Huishoudens_146,Overheid_147,Totaal_148,BedrijvenEnHuishoudens_149,Overheid_150,VeranderingInVoorraden_151,Totaal_152,Goederen_153,Diensten_154,Totaal_155,Goederen_156,Diensten_157,BrutoBinnenlandsProduct_158,Totaal_159,Totaal_160,Huishoudens_161,Overheid_162,Totaal_163,BedrijvenEnHuishoudens_164,Overheid_165,VeranderingInVoorraden_166,Totaal_167,Goederen_168,Diensten_169,Totaal_170,Goederen_171,Diensten_172,BrutoBinnenlandsProduct_173,Totaal_174,Totaal_175,Huishoudens_176,Overheid_177,Totaal_178,BedrijvenEnHuishoudens_179,Overheid_180,VeranderingInVoorraden_181,Totaal_182,Goederen_183,Diensten_184,Totaal_185,Goederen_186,Diensten_187,BrutoBinnenlandsProduct_188
10,1979JJ00,293383.0,147997.0,145386.0,5371.0,37193.0,5968.0,27617.0,2878.0,730.0,9706.0,26553.0,3565.0,8083.0,6306.0,11024.0,34516.0,3069.0,12109.0,16146.0,4037.0,949.0,158444.0,552181.0,269701.0,282684.0,4320.0,60515.0,24688.0,36653.0,5249.0,1777.0,27707.0,46700.0,5115.0,17415.0,14162.0,26983.0,77552.0,8767.0,35371.0,38330.0,2644.0,578.0,318050.0,3.9,5.6,2.2,13.7,2.4,2.6,2.2,4.3,2.8,-8.9,2.0,3.5,6.2,3.2,2.2,2.3,4.9,1.0,1.7,3.9,,2.1,53.1,54.9,51.4,124.3,61.5,24.2,75.3,54.8,41.1,35.0,56.9,69.7,46.4,44.5,40.9,44.5,35.0,34.2,42.1,152.7,,49.8,92614.0,69328.0,23286.0,12758.0,17577.0,4819.0,53072.0,23209.0,29863.0,158444.0,,,,36278.0,41027.0,5194.0,,42069.0,,318050.0,,,,1.3,2.0,4.1,,3.5,,2.1,,,,35.2,42.8,92.8,,55.2,,49.8,157352.0,120037.0,83087.0,36950.0,36887.0,29096.0,7791.0,428.0,75113.0,61900.0,13213.0,74021.0,61005.0,13016.0,158444.0,308927.0,243927.0,167691.0,75909.0,65934.0,52682.0,13143.0,-47.0,101617.0,77355.0,24343.0,92377.0,67318.0,24830.0,318050.0,1.5,2.6,2.2,3.4,-2.2,-2.5,-1.1,,8.2,9.5,2.9,6.8,6.7,7.4,2.1,50.9,49.2,49.5,48.7,55.9,55.2,59.3,,73.9,80.0,54.3,80.1,90.6,52.4,49.8
11,1980JJ00,320421.0,163379.0,157042.0,5632.0,40671.0,7859.0,28991.0,3054.0,767.0,10855.0,28514.0,3796.0,8597.0,6869.0,11883.0,36924.0,3301.0,12467.0,16583.0,4116.0,1327.0,170836.0,561044.0,274922.0,286269.0,4496.0,59472.0,23439.0,36254.0,5133.0,1840.0,28032.0,47715.0,5230.0,17327.0,14973.0,27426.0,79496.0,9136.0,35753.0,38859.0,2705.0,586.0,322043.0,1.6,1.9,1.3,4.1,-1.7,-5.1,-1.1,-2.2,3.6,1.2,2.2,2.2,-0.5,5.7,1.6,2.5,4.2,1.1,1.4,2.3,,1.3,57.1,59.4,54.9,125.3,68.4,33.5,80.0,59.5,41.7,38.7,59.8,72.6,49.6,45.9,43.3,46.4,36.1,34.9,42.7,152.2,,53.0,98486.0,73433.0,25053.0,13160.0,18123.0,4963.0,59190.0,25626.0,33564.0,170836.0,,,,36716.0,41654.0,5318.0,,43425.0,,322043.0,,,,1.2,1.5,2.4,,3.2,,1.3,,,,35.8,43.5,93.3,,59.0,,53.0,170859.0,129292.0,89544.0,39748.0,40479.0,32057.0,8422.0,1088.0,84854.0,69989.0,14865.0,84877.0,69663.0,15214.0,170836.0,315064.0,247438.0,169247.0,77875.0,67511.0,54165.0,13250.0,823.0,102552.0,77462.0,25459.0,94658.0,68188.0,26812.0,322043.0,2.0,1.4,0.9,2.6,2.4,2.8,0.8,,0.9,0.1,4.6,2.5,1.3,8.0,1.3,54.2,52.3,52.9,51.0,60.0,59.2,63.6,,82.7,90.4,58.4,89.7,102.2,56.7,53.0
12,1981JJ00,341604.0,175393.0,166211.0,6799.0,44468.0,10503.0,29975.0,3194.0,796.0,10171.0,29819.0,3908.0,9007.0,7534.0,12322.0,38757.0,3426.0,12611.0,16587.0,3976.0,1449.0,180271.0,555823.0,271486.0,284556.0,4991.0,57610.0,21566.0,35691.0,4800.0,1847.0,24523.0,47885.0,5147.0,17129.0,15758.0,27137.0,81431.0,9119.0,34070.0,37646.0,2750.0,561.0,319055.0,-0.9,-1.2,-0.6,11.0,-3.1,-8.0,-1.6,-6.5,0.4,-12.5,0.4,-1.6,-1.1,5.2,-1.1,2.4,-0.2,-4.7,-3.1,1.7,,-0.9,61.5,64.6,58.4,136.2,77.2,48.7,84.0,66.5,43.1,41.5,62.3,75.9,52.6,47.8,45.4,47.6,37.6,37.0,44.1,144.6,,56.5,100550.0,75243.0,25307.0,13420.0,18278.0,4858.0,66301.0,28039.0,38262.0,180271.0,,,,35229.0,40560.0,5379.0,,44528.0,,319055.0,,,,-4.1,-2.6,1.1,,2.5,,-0.9,,,,38.1,45.1,90.3,,63.0,,56.5,172743.0,134501.0,92381.0,42120.0,39361.0,30816.0,8545.0,-1119.0,97799.0,80483.0,17316.0,90271.0,74132.0,16139.0,180271.0,303471.0,245993.0,165792.0,79978.0,61632.0,48770.0,12727.0,-2337.0,105439.0,78811.0,27463.0,92078.0,66156.0,26395.0,319055.0,-3.7,-0.6,-2.0,2.7,-8.7,-10.0,-3.9,,2.8,1.7,7.9,-2.7,-3.0,-1.6,-0.9,56.9,54.7,55.7,52.7,63.9,63.2,67.1,,92.8,102.1,63.1,98.0,112.1,61.1,56.5
13,1982JJ00,353595.0,181518.0,172077.0,7220.0,44758.0,10708.0,30162.0,3036.0,852.0,9681.0,30838.0,4100.0,10127.0,8581.0,12483.0,40679.0,3610.0,12929.0,17412.0,4483.0,1298.0,186304.0,550657.0,269923.0,280849.0,5164.0,54549.0,18404.0,35062.0,4339.0,1875.0,23348.0,46740.0,5108.0,18154.0,16561.0,26655.0,82402.0,9188.0,33505.0,37321.0,2796.0,553.0,314818.0,-0.9,-0.6,-1.3,3.5,-5.3,-14.7,-1.8,-9.6,1.5,-4.8,-2.4,-0.8,6.0,5.1,-1.8,1.2,0.8,-1.7,-0.9,1.7,,-1.3,64.2,67.2,61.3,139.8,82.1,58.2,86.0,70.0,45.4,41.5,66.0,80.3,55.8,51.8,46.8,49.4,39.3,38.6,46.7,160.4,,59.2,103520.0,77971.0,25549.0,13714.0,19225.0,5511.0,69070.0,29703.0,39367.0,186304.0,,,,34570.0,40343.0,5549.0,,45409.0,,314818.0,,,,-1.9,-0.5,3.1,,2.0,,-1.3,,,,39.7,47.7,99.3,,65.4,,59.2,178858.0,140335.0,95969.0,44366.0,39809.0,31189.0,8620.0,-1286.0,100277.0,82654.0,17623.0,92831.0,76049.0,16782.0,186304.0,301357.0,245593.0,164349.0,81088.0,60293.0,47713.0,12449.0,-2519.0,103519.0,77535.0,26705.0,91477.0,65641.0,26373.0,314818.0,-0.7,-0.2,-0.9,1.4,-2.2,-2.2,-2.2,,-1.8,-1.6,-2.8,-0.7,-0.8,-0.1,-1.3,59.4,57.1,58.4,54.7,66.0,65.4,69.2,,96.9,106.6,66.0,101.5,115.9,63.6,59.2
14,1983JJ00,366091.0,187858.0,178233.0,7241.0,45950.0,11261.0,30638.0,3105.0,946.0,9400.0,31979.0,4326.0,11337.0,9743.0,13068.0,41417.0,3772.0,13235.0,18212.0,4977.0,1250.0,192718.0,561709.0,274909.0,286960.0,5076.0,56494.0,19770.0,35963.0,4337.0,1935.0,22919.0,47397.0,5202.0,19325.0,17296.0,26935.0,84045.0,9097.0,33485.0,37473.0,2845.0,554.0,321136.0,2.0,1.8,2.2,-1.7,3.6,7.4,2.6,0.0,3.2,-1.8,1.4,1.9,6.4,4.4,1.0,2.0,-1.0,-0.1,0.4,1.8,,2.0,65.2,68.3,62.1,142.6,81.3,57.0,85.2,71.6,48.9,41.0,67.5,83.2,58.7,56.3,48.5,49.3,41.5,39.5,48.6,174.9,,60.0,105243.0,78236.0,27007.0,14015.0,20131.0,6116.0,73460.0,30817.0,42643.0,192718.0,,,,34451.0,40597.0,5718.0,,46311.0,,321136.0,,,,-0.3,0.6,3.0,,2.0,,2.0,,,,40.7,49.6,107.0,,66.5,,60.0,186064.0,145156.0,99710.0,45446.0,41291.0,32721.0,8570.0,-383.0,104142.0,86337.0,17805.0,97488.0,80219.0,17269.0,192718.0,308171.0,249242.0,166243.0,82878.0,61891.0,49493.0,12291.0,-1263.0,106943.0,80774.0,26497.0,95045.0,68646.0,26593.0,321136.0,2.3,1.5,1.2,2.2,2.7,3.7,-1.3,,3.3,4.2,-0.8,3.9,4.6,0.8,2.0,60.4,58.2,60.0,54.8,66.7,66.1,69.7,,97.4,106.9,67.2,102.6,116.9,64.9,60.0
15,1984JJ00,390916.0,203259.0,187657.0,7531.0,50954.0,12676.0,34078.0,3230.0,970.0,9517.0,34034.0,4485.0,11479.0,10849.0,13742.0,41186.0,3880.0,14097.0,19713.0,5616.0,1430.0,203184.0,582343.0,286317.0,296059.0,5575.0,59054.0,19925.0,38251.0,4389.0,1951.0,23724.0,49589.0,5359.0,18929.0,17600.0,27940.0,84923.0,9241.0,33652.0,38018.0,2959.0,570.0,330723.0,3.7,4.1,3.2,9.8,4.5,0.8,6.4,1.2,0.8,3.5,4.6,3.0,-2.0,1.8,3.7,1.0,1.6,0.5,1.5,4.0,,3.0,67.1,71.0,63.4,135.1,86.3,63.6,89.1,73.6,49.7,40.1,68.6,83.7,60.6,61.6,49.2,48.5,42.0,41.9,51.9,189.8,,61.4,105601.0,79024.0,26577.0,14881.0,21685.0,6804.0,82702.0,31992.0,50710.0,203184.0,,,,34653.0,41220.0,5930.0,,47479.0,,330723.0,,,,0.6,1.5,3.7,,2.5,,3.0,,,,42.9,52.6,114.7,,67.4,,61.4,193324.0,148424.0,103186.0,45238.0,44380.0,35210.0,9170.0,520.0,117486.0,97689.0,19797.0,107626.0,88584.0,19042.0,203184.0,314985.0,250238.0,167143.0,82951.0,65936.0,52817.0,13011.0,-131.0,115352.0,87245.0,28390.0,101431.0,73137.0,28598.0,330723.0,2.2,0.4,0.5,0.1,6.5,6.7,5.9,,7.9,8.0,7.1,6.7,6.5,7.5,3.0,61.4,59.3,61.7,54.5,67.3,66.7,70.5,,101.9,112.0,69.7,106.1,121.1,66.6,61.4
16,1985JJ00,406697.0,212335.0,194362.0,7875.0,52958.0,14552.0,34112.0,3305.0,989.0,9585.0,35529.0,4689.0,11773.0,11338.0,14710.0,41871.0,4034.0,14584.0,20718.0,6134.0,1094.0,210040.0,596893.0,292855.0,304147.0,5835.0,61291.0,20987.0,39489.0,4579.0,1973.0,24110.0,51296.0,5475.0,19007.0,17734.0,29410.0,86018.0,9329.0,34265.0,38811.0,3040.0,575.0,339506.0,2.5,2.3,2.7,4.7,3.8,5.3,3.2,4.3,1.1,1.6,3.4,2.2,0.4,0.8,5.3,1.3,1.0,1.8,2.1,2.7,,2.7,68.1,72.5,63.9,135.0,86.4,69.3,86.4,72.2,50.1,39.8,69.3,85.7,61.9,63.9,50.0,48.7,43.2,42.6,53.4,201.8,,61.9,109292.0,82572.0,26720.0,15423.0,22749.0,7326.0,85325.0,33115.0,52210.0,210040.0,,,,35345.0,42043.0,6048.0,,48991.0,,339506.0,,,,2.0,2.0,2.0,,3.2,,2.7,,,,43.6,54.1,121.1,,67.6,,61.9,202592.0,154608.0,107148.0,47460.0,47256.0,38240.0,9016.0,728.0,124684.0,103890.0,20794.0,117236.0,96748.0,20488.0,210040.0,325479.0,255752.0,169476.0,86308.0,70281.0,57420.0,12806.0,172.0,119902.0,90901.0,29166.0,106783.0,77079.0,29956.0,339506.0,3.3,2.2,1.4,4.0,6.6,8.7,-1.6,,3.9,4.2,2.7,5.3,5.4,4.7,2.7,62.2,60.5,63.2,55.0,67.2,66.6,70.4,,104.0,114.3,71.3,109.8,125.5,68.4,61.9
17,1986JJ00,400973.0,200470.0,200503.0,8288.0,50026.0,9086.0,36377.0,3522.0,1041.0,10309.0,38646.0,5146.0,12204.0,12461.0,16212.0,42939.0,4272.0,15777.0,22166.0,6389.0,788.0,217068.0,617797.0,304850.0,312825.0,6327.0,61677.0,19725.0,40693.0,4790.0,2007.0,25521.0,52804.0,5872.0,19914.0,18800.0,31490.0,86782.0,9209.0,34789.0,39744.0,3176.0,589.0,348874.0,3.5,4.1,2.9,8.4,0.6,-6.0,3.0,4.6,1.7,5.9,2.9,7.3,4.8,6.0,7.1,0.9,-1.3,1.5,2.4,4.5,,2.8,64.9,65.8,64.1,131.0,81.1,46.1,89.4,73.5,51.9,40.4,73.2,87.6,61.3,66.3,51.5,49.5,46.4,45.4,55.8,201.2,,62.2,114360.0,86747.0,27613.0,16610.0,24251.0,7641.0,86098.0,34284.0,51814.0,217068.0,,,,35844.0,43063.0,6324.0,,50906.0,,348874.0,,,,1.4,2.4,4.6,,3.9,,2.8,,,,46.3,56.3,120.8,,67.3,,62.2,210430.0,158438.0,109607.0,48831.0,50030.0,41478.0,8552.0,1962.0,109009.0,89647.0,19362.0,102371.0,82920.0,19451.0,217068.0,338741.0,261588.0,173955.0,87574.0,74823.0,62635.0,12211.0,2376.0,121855.0,92914.0,28787.0,110872.0,80981.0,29361.0,348874.0,4.1,2.3,2.6,1.5,6.5,9.1,-4.6,,1.6,2.2,-1.3,3.8,5.1,-2.0,2.8,62.1,60.6,63.0,55.8,66.9,66.2,70.0,,89.5,96.5,67.3,92.3,102.4,66.2,62.2
18,1987JJ00,404490.0,201263.0,203227.0,8133.0,47527.0,5787.0,37371.0,3389.0,980.0,10864.0,39984.0,5472.0,12133.0,13133.0,17009.0,44433.0,4539.0,15743.0,23441.0,7698.0,967.0,219937.0,632317.0,311887.0,320308.0,6263.0,62602.0,19230.0,41517.0,5222.0,1858.0,26432.0,55398.0,6144.0,20061.0,19749.0,32239.0,87619.0,9433.0,33834.0,41108.0,3770.0,612.0,355935.0,2.4,2.3,2.4,-1.0,1.5,-2.5,2.0,9.0,-7.4,3.6,4.9,4.6,0.7,5.0,2.4,1.0,2.4,-2.7,3.4,18.7,,2.0,64.0,64.5,63.4,129.8,75.9,30.1,90.0,64.9,52.7,41.1,72.2,89.1,60.5,66.5,52.8,50.7,48.1,46.5,57.0,204.2,,61.8,118184.0,89808.0,28376.0,16630.0,25669.0,9039.0,85123.0,36078.0,49045.0,219937.0,,,,34856.0,44505.0,7375.0,,53014.0,,355935.0,,,,-2.8,3.3,16.6,,4.1,,2.0,,,,47.7,57.7,122.6,,68.1,,61.8,214237.0,163448.0,112057.0,51391.0,51406.0,42565.0,8841.0,-617.0,108641.0,88648.0,19993.0,102941.0,82959.0,19982.0,219937.0,342442.0,268214.0,177796.0,90431.0,76233.0,63707.0,12543.0,-1371.0,127770.0,97248.0,30438.0,114336.0,83522.0,30261.0,355935.0,1.1,2.5,2.2,3.3,1.9,1.7,2.7,,4.9,4.7,5.7,3.1,3.1,3.1,2.0,62.6,60.9,63.0,56.8,67.4,66.8,70.5,,85.0,91.2,65.7,90.0,99.3,66.0,61.8
19,1988JJ00,424969.0,212531.0,212438.0,8343.0,49352.0,5303.0,39500.0,3403.0,1146.0,12409.0,41572.0,5882.0,13225.0,13782.0,18280.0,44793.0,4800.0,16710.0,24248.0,7538.0,1015.0,230163.0,656724.0,326164.0,330395.0,6748.0,63608.0,17213.0,42860.0,5208.0,2183.0,29549.0,57623.0,6540.0,20461.0,20150.0,34144.0,87712.0,9864.0,35796.0,42694.0,3765.0,638.0,367836.0,3.9,4.6,3.1,7.7,1.6,-10.5,3.2,-0.3,17.4,11.8,4.0,6.4,2.0,2.0,5.9,0.1,4.6,5.8,3.9,-0.1,,3.3,64.7,65.2,64.3,123.6,77.6,30.8,92.2,65.3,52.5,42.0,72.1,89.9,64.6,68.4,53.5,51.1,48.7,46.7,56.8,200.2,,62.6,121482.0,93086.0,28396.0,17638.0,26536.0,8898.0,91043.0,38017.0,53026.0,230163.0,,,,36824.0,46163.0,7389.0,,55079.0,,367836.0,,,,5.6,3.7,0.2,,3.9,,3.3,,,,47.9,57.5,120.4,,69.0,,62.6,221574.0,167027.0,114865.0,52162.0,54967.0,45609.0,9358.0,-420.0,118007.0,96261.0,21746.0,109418.0,87728.0,21690.0,230163.0,351053.0,272152.0,180736.0,91393.0,80400.0,67244.0,13177.0,-1140.0,138379.0,105607.0,32571.0,122170.0,89207.0,32390.0,367836.0,2.5,1.5,1.7,1.1,5.5,5.6,5.1,,8.3,8.6,7.0,6.9,6.8,7.0,3.3,63.1,61.4,63.6,57.1,68.4,67.8,71.0,,85.3,91.2,66.8,89.6,98.3,67.0,62.6
20,1989JJ00,456649.0,231627.0,225022.0,9438.0,52016.0,5643.0,41636.0,3591.0,1146.0,13088.0,44711.0,6379.0,13775.0,14842.0,20043.0,45659.0,5071.0,17560.0,24081.0,6521.0,1088.0,243670.0,688972.0,343930.0,344846.0,7082.0,66585.0,18473.0,44855.0,5363.0,2150.0,30592.0,60731.0,6923.0,21892.0,21064.0,36978.0,88393.0,10129.0,38669.0,44229.0,3531.0,657.0,384879.0,4.9,5.4,4.4,5.0,4.7,7.3,4.7,3.0,-1.5,3.5,5.4,5.9,7.0,4.5,8.3,0.8,2.7,8.0,3.6,-6.2,,4.6,66.3,67.3,65.3,133.3,78.1,30.5,92.8,67.0,53.3,42.8,73.6,92.1,62.9,70.5,54.2,51.7,50.1,45.4,54.4,184.7,,63.3,125121.0,97575.0,27546.0,18456.0,26437.0,7981.0,100093.0,39998.0,60095.0,243670.0,,,,39569.0,47793.0,7075.0,,57284.0,,384879.0,,,,7.5,3.5,-4.2,,4.0,,4.6,,,,46.6,55.3,112.8,,69.8,,63.3,235024.0,174117.0,120773.0,53344.0,58937.0,49474.0,9463.0,1970.0,133036.0,108644.0,24392.0,124390.0,99478.0,24912.0,243670.0,367375.0,279785.0,186908.0,92727.0,85281.0,72154.0,13187.0,2056.0,150407.0,114152.0,36269.0,133219.0,96652.0,36235.0,384879.0,4.6,2.8,3.4,1.5,6.1,7.3,0.1,,8.7,8.1,11.4,9.0,8.3,11.9,4.6,64.0,62.2,64.6,57.5,69.1,68.6,71.8,,88.5,95.2,67.3,93.4,102.9,68.8,63.3
21,1990JJ00,478960.0,241836.0,237124.0,9756.0,54954.0,6871.0,43440.0,3525.0,1118.0,13437.0,47826.0,7052.0,12584.0,15870.0,22453.0,47821.0,5371.0,19424.0,25510.0,6086.0,1395.0,257943.0,716458.0,358358.0,357874.0,7741.0,68452.0,18142.0,46710.0,5148.0,2115.0,30068.0,64086.0,7606.0,22835.0,21782.0,39943.0,89262.0,10396.0,41010.0,45612.0,3363.0,685.0,400059.0,4.0,4.2,3.8,9.3,2.8,-1.8,4.1,-4.0,-1.7,-1.7,5.5,9.9,4.3,3.4,8.0,1.0,2.6,6.1,3.1,-4.8,,3.9,66.9,67.5,66.3,126.0,80.3,37.9,93.0,68.5,52.9,44.7,74.6,92.7,55.1,72.9,56.2,53.6,51.7,47.4,55.9,181.0,,64.5,133293.0,112465.0,20828.0,20366.0,27976.0,7610.0,104284.0,42319.0,61965.0,257943.0,,,,41936.0,49322.0,6847.0,,59676.0,,400059.0,,,,6.0,3.2,-3.2,,4.2,,3.9,,,,48.6,56.7,111.2,,70.9,,64.5,246192.0,182925.0,127134.0,55791.0,61621.0,51298.0,10323.0,1646.0,139782.0,113987.0,25795.0,128031.0,102598.0,25433.0,257943.0,378195.0,288516.0,193809.0,94421.0,87849.0,73722.0,14163.0,1631.0,159237.0,121198.0,37910.0,138703.0,101481.0,36453.0,400059.0,2.9,3.1,3.7,1.8,3.0,2.2,7.4,,5.9,6.2,4.5,4.1,5.0,0.6,3.9,65.1,63.4,65.6,59.1,70.1,69.6,72.9,,87.8,94.1,68.0,92.3,101.1,69.8,64.5
22,1991JJ00,507079.0,255726.0,251353.0,10149.0,57453.0,8318.0,44167.0,3814.0,1154.0,13866.0,50944.0,7450.0,13989.0,17093.0,24643.0,50089.0,5677.0,20500.0,27424.0,6924.0,943.0,272796.0,739936.0,372724.0,366930.0,8018.0,70080.0,19977.0,47169.0,5408.0,2128.0,29914.0,66501.0,7913.0,23113.0,22494.0,42216.0,89733.0,10636.0,41852.0,46966.0,3561.0,703.0,410038.0,3.3,4.0,2.5,3.6,2.4,10.1,1.0,5.0,0.6,-0.5,3.8,4.0,1.2,3.3,5.7,0.5,2.3,2.1,3.0,5.9,,2.5,68.5,68.6,68.5,126.6,82.0,41.6,93.6,70.5,54.2,46.4,76.6,94.1,60.5,76.0,58.4,55.8,53.4,49.0,58.4,194.4,,66.5,141859.0,119644.0,22215.0,21811.0,30002.0,8191.0,109126.0,44828.0,64298.0,272796.0,,,,43478.0,50803.0,6928.0,,62039.0,,410038.0,,,,3.7,3.0,1.2,,4.0,,2.5,,,,50.2,59.1,118.2,,72.3,,66.5,259583.0,194878.0,135461.0,59417.0,63407.0,52657.0,10750.0,1298.0,149954.0,119987.0,29967.0,136741.0,107355.0,29386.0,272796.0,387019.0,296710.0,199706.0,96667.0,88836.0,74413.0,14452.0,1410.0,170315.0,128382.0,42271.0,148490.0,107401.0,40823.0,410038.0,2.3,2.8,3.0,2.4,1.1,0.9,2.0,,7.0,5.9,11.5,7.1,5.8,12.0,2.5,67.1,65.7,67.8,61.5,71.4,70.8,74.4,,88.0,93.5,70.9,92.1,100.0,72.0,66.5
23,1992JJ00,524022.0,262097.0,261925.0,9968.0,57446.0,7150.0,45079.0,3935.0,1282.0,14592.0,53118.0,7933.0,14805.0,18831.0,26325.0,52811.0,6096.0,21070.0,28160.0,7090.0,2064.0,285059.0,753248.0,379637.0,373324.0,8375.0,70826.0,19854.0,47845.0,5365.0,2239.0,29638.0,67515.0,8204.0,24307.0,23309.0,43268.0,90265.0,10900.0,43218.0,48038.0,3539.0,717.0,417658.0,1.8,1.9,1.7,4.4,1.1,-0.6,1.4,-0.8,5.2,-0.9,1.5,3.7,5.2,3.6,2.5,0.6,2.5,3.3,2.3,-0.6,,1.9,69.6,69.0,70.2,119.0,81.1,36.0,94.2,73.3,57.3,49.2,78.7,96.7,60.9,80.8,60.8,58.5,55.9,48.8,58.6,200.3,,68.3,150581.0,126520.0,24061.0,22684.0,31030.0,8346.0,111794.0,47269.0,64525.0,285059.0,,,,45019.0,52000.0,6873.0,,64259.0,,417658.0,,,,3.5,2.4,-0.8,,3.6,,1.9,,,,50.4,59.7,121.4,,73.6,,68.3,271307.0,204281.0,140964.0,63317.0,65218.0,53676.0,11542.0,1808.0,152252.0,120442.0,31810.0,138500.0,106929.0,31571.0,285059.0,392428.0,300591.0,201404.0,98940.0,89786.0,74464.0,15315.0,1942.0,176464.0,132716.0,44195.0,152805.0,109976.0,42767.0,417658.0,1.4,1.3,0.9,2.4,1.1,0.1,6.0,,3.6,3.4,4.6,2.9,2.4,4.8,1.9,69.1,68.0,70.0,64.0,72.6,72.1,75.4,,86.3,90.8,72.0,90.6,97.2,73.8,68.3
