ID,Sources,Periods,Total_1,UrbanRoads_2,RuralRoads_3,Motorways_4,Total_5,UrbanRoads_6,RuralRoads_7,Motorways_8,Total_9,UrbanRoads_10,RuralRoads_11,Motorways_12,Total_13,UrbanRoads_14,RuralRoads_15,Motorways_16,Total_17,UrbanRoads_18,RuralRoads_19,Motorways_20,Total_21,UrbanRoads_22,RuralRoads_23,Motorways_24,Total_25,UrbanRoads_26,RuralRoads_27,Motorways_28,Total_29,UrbanRoads_30,RuralRoads_31,Motorways_32,Total_33,UrbanRoads_34,RuralRoads_35,Motorways_36,Total_37,UrbanRoads_38,RuralRoads_39,Motorways_40,Total_41,UrbanRoads_42,RuralRoads_43,Motorways_44,Total_45,UrbanRoads_46,RuralRoads_47,Motorways_48,Total_49,UrbanRoads_50,RuralRoads_51,Motorways_52,Total_53,UrbanRoads_54,RuralRoads_55,Motorways_56,Total_57,UrbanRoads_58,RuralRoads_59,Motorways_60,Total_61,UrbanRoads_62,RuralRoads_63,Motorways_64,Total_65,UrbanRoads_66,RuralRoads_67,Motorways_68
10,Totot,1998JJ00,425.8,198.0,119.8,108.0,90.33,53.17,23.09,14.07,75.5,42.01,20.88,12.6,164.28,38.84,42.99,82.46,8.84,2.97,2.35,3.52,4.37,1.09,1.17,2.11,26950,7640,7590,11719.0,0.82,0.32,0.26,0.24,4.18,2.35,1.18,0.64,3.8,7.9,3.1,2.2,0.67,1.67,0.53,0.26,1.5,1.5,1.1,1.7,0.079,0.118,0.06,0.073,0.039,0.043,0.03,0.044,239,303,194,242.0,0.007,0.013,0.007,0.005,0.037,0.093,0.03,0.013
11,Totot,1999JJ00,415.0,186.9,119.1,109.0,82.5,47.76,21.48,13.27,69.54,38.01,19.55,11.99,163.74,37.14,42.16,84.45,8.73,2.73,2.25,3.76,4.72,1.09,1.24,2.39,28254,7540,7868,12846.0,0.84,0.32,0.26,0.26,3.94,2.18,1.14,0.62,3.5,7.5,3.0,2.1,0.59,1.53,0.48,0.23,1.4,1.5,1.0,1.6,0.074,0.11,0.056,0.071,0.04,0.044,0.031,0.045,240,304,195,244.0,0.007,0.013,0.006,0.005,0.033,0.088,0.028,0.012
12,Totot,2000JJ00,398.1,173.1,119.3,105.8,69.86,39.6,18.87,11.39,59.62,31.89,17.34,10.38,155.03,33.68,39.48,81.87,8.18,2.27,2.07,3.83,2.99,0.66,0.79,1.54,28257,7088,7803,13366.0,0.87,0.33,0.27,0.27,3.58,1.94,1.08,0.56,3.3,7.3,2.9,1.9,0.5,1.35,0.43,0.19,1.3,1.4,1.0,1.5,0.068,0.096,0.051,0.069,0.025,0.028,0.019,0.028,236,299,192,240.0,0.007,0.014,0.007,0.005,0.03,0.082,0.027,0.01
13,Totot,2001JJ00,395.9,171.4,120.7,103.7,62.31,35.11,17.27,9.93,54.06,28.9,16.04,9.12,147.78,32.17,37.69,77.92,7.67,2.07,1.92,3.67,0.75,0.19,0.2,0.36,28558,6892,7652,14015.0,0.86,0.33,0.26,0.27,3.43,1.85,1.06,0.52,3.2,7.1,2.9,1.8,0.44,1.2,0.39,0.16,1.2,1.3,0.9,1.4,0.063,0.086,0.047,0.065,0.006,0.008,0.005,0.006,234,287,185,248.0,0.007,0.014,0.006,0.005,0.028,0.077,0.026,0.009
14,Totot,2002JJ00,399.8,172.6,123.7,103.5,56.7,31.8,16.17,8.74,50.14,26.85,15.2,8.1,141.8,31.43,36.12,74.25,7.1,1.91,1.76,3.43,0.77,0.2,0.21,0.36,28983,6983,7769,14231.0,0.84,0.33,0.26,0.26,3.36,1.81,1.07,0.48,3.2,7.1,2.9,1.8,0.4,1.1,0.36,0.14,1.1,1.3,0.9,1.3,0.057,0.078,0.042,0.059,0.006,0.008,0.005,0.006,233,286,185,247.0,0.007,0.014,0.006,0.004,0.027,0.074,0.025,0.008
15,Totot,2003JJ00,400.6,173.0,125.1,102.5,51.72,28.84,15.13,7.75,46.53,24.92,14.36,7.25,136.74,30.51,34.75,71.48,6.61,1.73,1.62,3.25,0.48,0.11,0.13,0.24,29253,7021,7844,14389.0,0.82,0.33,0.25,0.25,3.28,1.76,1.07,0.45,3.2,7.0,2.9,1.8,0.37,1.01,0.34,0.12,1.1,1.2,0.8,1.2,0.053,0.07,0.038,0.056,0.004,0.005,0.003,0.004,233,284,184,246.0,0.007,0.013,0.006,0.004,0.026,0.071,0.025,0.008
16,Totot,2004JJ00,399.6,171.7,125.5,102.4,47.06,25.86,14.09,7.1,42.83,22.67,13.47,6.7,134.19,29.79,33.99,70.41,6.28,1.58,1.53,3.17,0.55,0.13,0.15,0.27,29900,7143,8023,14735.0,0.81,0.32,0.24,0.24,3.16,1.68,1.05,0.43,3.1,6.8,2.9,1.7,0.33,0.9,0.31,0.11,1.0,1.2,0.8,1.2,0.049,0.063,0.035,0.053,0.004,0.005,0.003,0.005,232,283,183,245.0,0.006,0.013,0.006,0.004,0.025,0.067,0.024,0.007
17,Totot,2005JJ00,389.5,167.2,122.5,99.8,43.75,23.96,13.32,6.47,40.37,21.39,12.82,6.16,130.77,28.83,32.91,69.03,5.97,1.47,1.45,3.05,0.23,0.06,0.06,0.1,29923,7134,8058,14730.0,0.77,0.31,0.23,0.23,3.05,1.62,1.03,0.4,3.0,6.6,2.8,1.7,0.31,0.85,0.29,0.1,1.0,1.1,0.8,1.1,0.046,0.058,0.033,0.051,0.002,0.002,0.001,0.002,232,283,184,245.0,0.006,0.012,0.005,0.004,0.024,0.064,0.023,0.007
18,Totot,2006JJ00,384.6,165.3,121.0,98.2,41.31,22.6,12.76,5.95,38.5,20.46,12.35,5.69,127.12,27.77,31.81,67.54,5.58,1.36,1.35,2.86,0.28,0.07,0.08,0.13,29950,7121,8064,14765.0,0.74,0.3,0.21,0.23,2.97,1.59,1.01,0.38,3.0,6.5,2.8,1.6,0.3,0.81,0.28,0.09,1.0,1.1,0.7,1.1,0.043,0.054,0.031,0.047,0.002,0.003,0.002,0.002,231,280,184,245.0,0.006,0.012,0.005,0.004,0.023,0.062,0.023,0.006
19,Totot,2007JJ00,388.9,168.7,122.0,98.3,41.52,23.13,12.83,5.56,39.05,21.24,12.47,5.34,125.25,27.32,31.24,66.7,5.34,1.33,1.29,2.72,0.28,0.07,0.07,0.14,30153,6921,7836,15396.0,0.75,0.29,0.21,0.25,3.02,1.64,1.03,0.36,2.9,6.5,2.7,1.6,0.3,0.81,0.28,0.09,0.9,1.0,0.7,1.1,0.04,0.051,0.029,0.044,0.002,0.003,0.002,0.002,228,265,175,251.0,0.006,0.011,0.005,0.004,0.023,0.063,0.023,0.006
20,Totot,2008JJ00,383.6,167.9,126.0,89.7,40.4,22.57,12.9,4.94,38.12,20.81,12.57,4.74,121.34,26.85,29.71,64.78,4.93,1.26,1.17,2.49,0.18,0.04,0.05,0.09,30111,6961,7957,15193.0,0.76,0.29,0.2,0.26,2.98,1.61,1.06,0.32,2.9,6.4,2.8,1.5,0.29,0.79,0.28,0.08,0.9,1.0,0.7,1.1,0.037,0.048,0.026,0.041,0.001,0.002,0.001,0.001,228,264,176,251.0,0.006,0.011,0.004,0.004,0.023,0.061,0.023,0.005
21,Totot,2009JJ00,375.9,164.7,122.9,88.3,38.52,21.61,12.4,4.52,36.4,19.97,12.09,4.33,113.54,25.21,27.84,60.49,4.42,1.14,1.06,2.22,0.18,0.04,0.05,0.09,29858,6915,7884,15058.0,0.76,0.28,0.2,0.28,2.87,1.55,1.03,0.29,2.8,6.2,2.7,1.5,0.28,0.75,0.27,0.07,0.9,1.0,0.6,1.0,0.033,0.043,0.023,0.037,0.001,0.002,0.001,0.001,226,261,175,249.0,0.006,0.011,0.004,0.005,0.022,0.059,0.023,0.005
22,Totot,2010JJ00,369.1,161.4,119.9,87.8,37.21,20.99,12.01,4.21,35.16,19.41,11.72,4.04,107.56,23.79,26.55,57.22,4.07,1.04,0.97,2.06,0.18,0.04,0.05,0.09,30027,6947,7920,15160.0,0.76,0.27,0.19,0.3,2.8,1.52,1.0,0.28,2.8,6.0,2.6,1.4,0.26,0.73,0.26,0.07,0.8,0.9,0.6,0.9,0.031,0.039,0.021,0.034,0.001,0.002,0.001,0.001,226,260,174,250.0,0.006,0.01,0.004,0.005,0.021,0.057,0.022,0.005
23,Totot,2011JJ00,359.8,157.0,116.9,85.9,35.93,20.29,11.63,4.0,33.84,18.68,11.34,3.83,102.81,22.62,25.48,54.71,3.67,0.96,0.89,1.81,0.18,0.04,0.05,0.09,29806,6913,7873,15019.0,0.76,0.26,0.19,0.31,2.71,1.47,0.98,0.26,2.7,5.8,2.6,1.4,0.25,0.7,0.25,0.06,0.8,0.8,0.6,0.9,0.028,0.036,0.02,0.03,0.001,0.002,0.001,0.001,224,258,173,247.0,0.006,0.01,0.004,0.005,0.02,0.055,0.021,0.004
24,Totot,2012JJ00,345.8,150.1,113.6,82.1,34.61,19.61,11.33,3.67,32.62,18.07,11.05,3.51,97.03,21.17,24.14,51.71,3.21,0.86,0.8,1.55,0.18,0.04,0.05,0.09,29381,6828,7788,14765.0,0.75,0.24,0.18,0.32,2.62,1.43,0.96,0.24,2.6,5.6,2.5,1.4,0.25,0.67,0.24,0.06,0.7,0.8,0.5,0.9,0.024,0.032,0.018,0.026,0.001,0.002,0.001,0.001,221,255,171,244.0,0.006,0.009,0.004,0.005,0.02,0.053,0.021,0.004
25,Totot,2013JJ00,338.1,147.2,111.6,79.4,33.65,19.18,11.07,3.39,31.69,17.67,10.79,3.23,90.07,19.81,22.64,47.62,2.83,0.78,0.72,1.33,0.18,0.04,0.05,0.09,28803,6733,7652,14418.0,0.75,0.24,0.18,0.33,2.58,1.4,0.94,0.23,2.6,5.5,2.5,1.3,0.24,0.66,0.24,0.05,0.7,0.7,0.5,0.8,0.021,0.029,0.016,0.022,0.001,0.002,0.001,0.001,218,252,169,240.0,0.006,0.009,0.004,0.005,0.02,0.053,0.021,0.004
26,Totot,2014JJ00,326.2,141.4,107.7,77.1,32.01,18.34,10.58,3.09,30.19,16.92,10.33,2.94,85.14,18.51,21.96,44.67,2.5,0.68,0.62,1.21,0.17,0.04,0.05,0.09,28695,6704,7616,14375.0,0.74,0.22,0.18,0.34,2.49,1.36,0.92,0.21,2.5,5.3,2.4,1.3,0.23,0.63,0.23,0.05,0.6,0.7,0.5,0.7,0.019,0.025,0.014,0.02,0.001,0.002,0.001,0.001,216,250,168,239.0,0.006,0.008,0.004,0.006,0.019,0.051,0.02,0.004
27,Totot,2015JJ00,325.4,141.9,106.9,76.6,31.58,18.11,10.42,3.04,29.77,16.7,10.17,2.9,84.16,18.41,22.46,43.3,2.34,0.64,0.59,1.11,0.18,0.04,0.05,0.09,29146,6781,7722,14643.0,0.76,0.22,0.18,0.35,2.48,1.36,0.91,0.21,2.4,5.2,2.3,1.3,0.22,0.61,0.22,0.05,0.6,0.7,0.5,0.7,0.017,0.024,0.013,0.018,0.001,0.002,0.001,0.001,217,249,168,239.0,0.006,0.008,0.004,0.006,0.018,0.05,0.02,0.003
28,Totot,2016JJ00,317.1,137.8,105.4,73.9,30.77,17.69,10.23,2.84,28.86,16.2,9.97,2.69,80.46,17.6,21.97,40.9,2.03,0.56,0.5,0.97,0.18,0.04,0.05,0.09,29860,6943,7917,15000.0,0.77,0.21,0.19,0.37,2.44,1.34,0.91,0.2,2.3,4.9,2.2,1.2,0.21,0.58,0.21,0.04,0.6,0.6,0.5,0.7,0.015,0.02,0.011,0.015,0.001,0.002,0.001,0.001,216,249,167,239.0,0.006,0.008,0.004,0.006,0.018,0.048,0.019,0.003
29,Totot,2017JJ00,316.7,140.4,104.3,72.1,30.88,18.0,10.18,2.7,29.0,16.53,9.91,2.55,77.13,17.39,21.66,38.09,1.86,0.53,0.46,0.87,0.18,0.04,0.05,0.09,29978,7018,7968,14993.0,0.77,0.22,0.19,0.36,2.46,1.36,0.91,0.19,2.3,4.9,2.2,1.1,0.21,0.58,0.21,0.04,0.6,0.6,0.5,0.6,0.013,0.019,0.01,0.014,0.001,0.002,0.001,0.001,215,247,166,238.0,0.006,0.008,0.004,0.006,0.018,0.048,0.019,0.003
30,Totot,2018JJ00,312.5,138.1,102.4,71.9,27.45,15.91,8.88,2.65,25.57,14.45,8.62,2.5,72.69,16.16,20.87,35.66,1.59,0.41,0.38,0.79,0.19,0.04,0.05,0.09,30671,7125,8080,15466.0,0.75,0.2,0.18,0.37,2.27,1.25,0.84,0.19,2.2,4.8,2.1,1.1,0.18,0.5,0.18,0.04,0.5,0.6,0.4,0.5,0.011,0.014,0.008,0.012,0.001,0.002,0.001,0.001,215,247,165,237.0,0.005,0.007,0.004,0.006,0.016,0.043,0.017,0.003
31,Patot,1980JJ00,959.2,483.4,224.8,251.0,190.05,116.8,42.72,30.53,148.79,79.66,40.65,28.47,160.78,37.12,52.75,70.91,5.28,2.13,1.98,1.16,3.42,1.25,1.24,0.94,13134,4877,4718,3540.0,0.31,0.09,0.13,0.09,7.21,3.9,1.95,1.36,15.6,28.0,8.4,14.4,2.43,4.61,1.53,1.63,2.6,2.1,2.0,4.1,0.086,0.124,0.074,0.067,0.056,0.072,0.047,0.054,214,282,177,203.0,0.005,0.005,0.005,0.005,0.118,0.226,0.073,0.078
32,Patot,1985JJ00,822.3,438.6,165.9,217.8,179.79,114.69,34.99,30.12,138.75,77.75,32.93,28.07,159.47,40.38,45.8,73.3,6.21,2.78,2.04,1.4,3.81,1.5,1.21,1.1,13996,5639,4395,3962.0,0.34,0.11,0.13,0.1,6.59,3.75,1.54,1.3,12.0,20.5,6.3,10.4,2.02,3.63,1.24,1.35,2.3,1.9,1.7,3.5,0.09,0.13,0.077,0.067,0.055,0.07,0.046,0.053,204,263,166,190.0,0.005,0.005,0.005,0.005,0.096,0.175,0.058,0.062
33,Patot,1990JJ00,592.8,336.2,119.2,137.4,140.26,86.2,29.41,24.64,105.64,60.24,24.22,21.18,142.67,34.56,39.17,68.93,5.5,1.98,1.86,1.65,4.62,1.46,1.47,1.69,15516,5760,4745,5011.0,0.24,0.12,0.08,0.05,5.26,3.1,1.17,0.98,7.2,14.5,3.9,4.9,1.29,2.59,0.79,0.75,1.7,1.5,1.3,2.4,0.067,0.085,0.061,0.059,0.056,0.063,0.048,0.06,190,248,156,178.0,0.003,0.005,0.003,0.002,0.064,0.134,0.038,0.035
34,Patot,1991JJ00,502.6,256.9,112.0,133.7,118.08,68.54,26.36,23.17,86.98,45.22,21.69,20.06,130.44,26.6,36.0,67.84,4.88,1.5,1.7,1.69,4.46,1.18,1.45,1.83,15405,4913,4844,5648.0,0.32,0.14,0.11,0.08,4.4,2.37,1.07,0.95,6.2,13.2,3.7,4.3,1.07,2.33,0.71,0.64,1.6,1.4,1.2,2.2,0.06,0.077,0.055,0.054,0.055,0.061,0.047,0.059,190,253,158,181.0,0.004,0.007,0.004,0.003,0.054,0.122,0.035,0.03
35,Patot,1992JJ00,475.4,244.5,109.4,121.5,109.02,63.9,24.49,20.63,79.98,42.13,20.13,17.72,121.93,25.48,34.26,62.2,4.63,1.42,1.61,1.61,4.45,1.16,1.46,1.84,16091,5131,5060,5900.0,0.43,0.18,0.14,0.1,4.12,2.25,1.02,0.85,5.6,12.1,3.4,3.7,0.95,2.08,0.63,0.55,1.4,1.3,1.1,1.9,0.055,0.07,0.05,0.049,0.053,0.057,0.046,0.056,190,253,159,182.0,0.005,0.009,0.004,0.003,0.049,0.111,0.032,0.026
36,Patot,1993JJ00,427.0,214.3,107.0,105.6,95.93,55.72,22.66,17.55,69.91,36.2,18.75,14.95,109.3,22.48,32.55,54.28,4.15,1.23,1.51,1.41,4.17,1.03,1.43,1.71,15915,4891,5247,5777.0,0.49,0.2,0.17,0.12,3.67,1.96,0.97,0.73,5.1,11.2,3.3,3.3,0.84,1.89,0.57,0.47,1.3,1.2,1.0,1.7,0.05,0.064,0.046,0.045,0.05,0.053,0.044,0.054,191,255,160,183.0,0.006,0.011,0.005,0.004,0.044,0.102,0.03,0.023
37,Patot,1994JJ00,398.2,200.9,102.7,94.6,86.97,50.92,20.67,15.38,63.31,33.17,17.12,13.01,100.63,21.28,30.35,49.01,3.91,1.18,1.43,1.3,3.99,0.96,1.38,1.65,16260,4996,5361,5903.0,0.57,0.23,0.2,0.14,3.4,1.83,0.91,0.65,4.7,10.3,3.1,2.9,0.74,1.7,0.51,0.4,1.2,1.1,0.9,1.5,0.046,0.06,0.043,0.04,0.047,0.049,0.041,0.051,191,255,160,183.0,0.007,0.012,0.006,0.004,0.04,0.094,0.027,0.02
38,Patot,1995JJ00,379.5,204.0,90.6,84.9,78.35,47.93,17.15,13.27,57.52,32.31,14.03,11.18,91.19,21.73,25.44,44.02,3.62,1.2,1.21,1.21,3.55,0.92,1.12,1.51,16068,5341,4820,5907.0,0.63,0.28,0.2,0.15,3.21,1.85,0.79,0.58,4.5,9.6,3.0,2.6,0.68,1.53,0.46,0.34,1.1,1.0,0.8,1.4,0.043,0.057,0.04,0.037,0.042,0.043,0.037,0.046,191,252,159,181.0,0.007,0.013,0.007,0.005,0.038,0.087,0.026,0.018
39,Patot,1996JJ00,364.5,191.5,92.7,80.3,71.15,42.93,16.26,11.96,52.84,29.2,13.51,10.13,86.17,20.4,24.79,40.98,3.41,1.09,1.15,1.17,2.7,0.67,0.87,1.16,16321,5236,5022,6063.0,0.65,0.28,0.21,0.15,3.04,1.71,0.79,0.53,4.3,9.3,2.9,2.4,0.62,1.41,0.43,0.3,1.0,1.0,0.8,1.2,0.04,0.053,0.037,0.035,0.032,0.032,0.028,0.035,191,253,159,182.0,0.008,0.014,0.007,0.005,0.036,0.083,0.025,0.016
40,Patot,1997JJ00,342.4,175.8,90.1,76.6,62.84,37.52,14.65,10.68,46.76,25.46,12.23,9.07,79.47,18.66,22.77,38.04,3.19,0.97,1.04,1.19,1.49,0.38,0.47,0.64,16659,5132,5077,6450.0,0.66,0.29,0.21,0.16,2.79,1.55,0.75,0.49,3.9,8.7,2.8,2.2,0.54,1.26,0.38,0.26,0.9,0.9,0.7,1.1,0.037,0.048,0.033,0.034,0.017,0.019,0.015,0.018,191,254,160,183.0,0.008,0.014,0.007,0.005,0.032,0.077,0.024,0.014
41,Patot,1998JJ00,323.8,162.4,87.3,74.2,55.71,32.87,13.25,9.59,41.67,22.34,11.15,8.19,73.76,17.12,21.06,35.58,3.07,0.87,0.95,1.25,1.59,0.39,0.49,0.71,17026,5025,5140,6862.0,0.66,0.28,0.21,0.16,2.57,1.41,0.71,0.45,3.6,8.2,2.7,2.0,0.47,1.13,0.35,0.22,0.8,0.9,0.7,1.0,0.034,0.044,0.03,0.033,0.018,0.02,0.015,0.019,191,255,160,183.0,0.007,0.014,0.007,0.004,0.029,0.071,0.022,0.012
42,Patot,1999JJ00,316.1,154.3,87.1,74.7,49.87,28.94,12.19,8.74,37.72,19.83,10.37,7.53,70.11,15.99,19.91,34.21,3.05,0.8,0.88,1.37,1.74,0.4,0.52,0.82,17659,4981,5279,7399.0,0.66,0.28,0.21,0.17,2.43,1.3,0.7,0.43,3.4,7.9,2.7,1.9,0.41,1.02,0.32,0.19,0.8,0.8,0.6,0.9,0.033,0.041,0.027,0.034,0.019,0.02,0.016,0.02,191,255,161,184.0,0.007,0.015,0.006,0.004,0.026,0.067,0.021,0.011
43,Patot,2000JJ00,303.4,143.7,88.1,71.6,40.47,22.88,10.53,7.06,31.04,15.81,9.12,6.11,62.96,14.19,18.0,30.77,2.87,0.7,0.8,1.38,1.26,0.29,0.37,0.59,17777,4783,5263,7731.0,0.69,0.29,0.22,0.18,2.21,1.15,0.68,0.38,3.3,7.7,2.7,1.7,0.33,0.85,0.28,0.15,0.7,0.8,0.6,0.7,0.031,0.037,0.024,0.033,0.014,0.016,0.011,0.014,191,256,161,185.0,0.007,0.016,0.007,0.004,0.024,0.062,0.021,0.009
44,Patot,2001JJ00,304.6,143.8,90.6,70.2,35.34,19.87,9.63,5.84,27.88,14.27,8.51,5.09,57.53,13.44,16.62,27.46,2.66,0.63,0.72,1.31,0.48,0.13,0.14,0.22,17979,4615,5082,8282.0,0.68,0.3,0.21,0.17,2.17,1.14,0.7,0.34,3.2,7.6,2.7,1.7,0.3,0.76,0.26,0.12,0.6,0.7,0.5,0.6,0.028,0.033,0.022,0.031,0.005,0.007,0.004,0.005,191,244,154,196.0,0.007,0.016,0.006,0.004,0.023,0.06,0.021,0.008
45,Patot,2002JJ00,309.7,145.9,94.0,69.8,31.24,17.45,8.95,4.84,25.44,13.1,8.08,4.26,53.15,12.9,15.52,24.72,2.49,0.58,0.67,1.24,0.54,0.15,0.15,0.24,18356,4709,5189,8457.0,0.67,0.3,0.21,0.17,2.16,1.13,0.72,0.3,3.2,7.6,2.8,1.6,0.26,0.68,0.24,0.1,0.6,0.7,0.5,0.6,0.026,0.03,0.02,0.029,0.006,0.008,0.005,0.006,191,244,154,196.0,0.007,0.015,0.006,0.004,0.022,0.059,0.021,0.007
