ID,RegioS,ContactMetHuisarts_1,ContactMetSpecialist_2,ContactMetTandarts_3,ContactMetFysiotherapeut_4,ContactMetAlternatieveGenezer_5,ContactMetRIAGG_6,MedicijngebruikVoorgeschreven_7,MedicijngebruikNietVoorgeschreven_8,TotaalMannenVrouwen20JaarEnOuder_9,Mannen20JaarEnOuder_10,Vrouwen20JaarEnOuder_11,TotaalMannenVrouwen20JaarEnOuder_12,Mannen20JaarEnOuder_13,Vrouwen20JaarEnOuder_14,TotaalMannenVrouwen20JaarEnOuder_15,Mannen20JaarEnOuder_16,Vrouwen20JaarEnOuder_17,TotaalMannenVrouwen20JaarEnOuder_18,Mannen20JaarEnOuder_19,Vrouwen20JaarEnOuder_20,ZeerGoedeGezondheid_21,GoedeGezondheid_22,MinderGoedeGezondheid_23,Rokers12JaarEnOuder_24,RokersMannen12JaarEnOuder_25,RokersVrouwen12JaarEnOuder_26,ZwareRokers12JaarEnOuder_27,ZwareRokersMannen12JaarEnOuder_28,ZwareRokersVrouwen12JaarEnOuder_29,ContactMetHuisarts_30,ContactMetSpecialist_31,ContactMetTandarts_32,ContactMetFysiotherapeut_33,ContactMetAlternatieveGenezer_34,ContactMetRIAGG_35,MedicijngebruikVoorgeschreven_36,MedicijngebruikNietVoorgeschreven_37,TotaalMannenVrouwen20JaarEnOuder_38,Mannen20JaarEnOuder_39,Vrouwen20JaarEnOuder_40,TotaalMannenVrouwen20JaarEnOuder_41,Mannen20JaarEnOuder_42,Vrouwen20JaarEnOuder_43,TotaalMannenVrouwen20JaarEnOuder_44,Mannen20JaarEnOuder_45,Vrouwen20JaarEnOuder_46,TotaalMannenVrouwen20JaarEnOuder_47,Mannen20JaarEnOuder_48,Vrouwen20JaarEnOuder_49,ZeerGoedeGezondheid_50,GoedeGezondheid_51,MinderGoedeGezondheid_52,Rokers12JaarEnOuder_53,RokersMannen12JaarEnOuder_54,RokersVrouwen12JaarEnOuder_55,ZwareRokers12JaarEnOuder_56,ZwareRokersMannen12JaarEnOuder_57,ZwareRokersVrouwen12JaarEnOuder_58
36,390 ,79,44,77,18,5,3,41,42,2,1,3,55,54,56,43,45,41,10,9,11,23,56,22,33,36,30,11,11,12,78,43,78,17,5,3,38,41,2,1,3,56,54,57,42,45,40,10,8,11,23,56,21,34,36,31,12,11,12
37,410 ,75,39,79,18,7,1,37,41,2,1,3,52,49,56,45,50,41,10,8,12,27,56,18,29,31,26,8,8,7,75,39,80,18,7,1,36,41,2,1,3,54,50,57,44,49,40,10,8,11,27,56,17,29,31,27,8,8,7
38,450 ,72,34,81,16,6,2,32,35,2,1,2,56,47,65,42,52,33,9,10,8,36,51,13,30,36,25,8,9,8,74,35,80,17,6,1,33,35,2,1,2,56,47,65,42,52,33,9,9,9,35,51,14,29,35,24,8,9,7
39,460 ,77,37,75,15,5,2,35,36,1,1,2,51,50,52,48,50,46,11,11,12,24,54,22,35,39,30,9,10,7,77,37,75,16,6,2,36,36,1,1,2,50,48,53,48,52,45,12,11,12,23,54,23,35,39,30,9,10,8
40,470 ,80,36,79,20,4,2,36,28,2,4,1,50,47,53,47,48,46,12,9,16,17,62,21,32,36,28,12,14,11,80,37,79,20,4,2,36,28,2,4,1,50,47,52,48,49,47,13,9,17,17,62,21,33,37,29,12,13,11
41,480 ,76,39,77,18,4,1,38,39,2,2,2,53,49,58,45,49,41,11,10,13,28,52,20,31,38,24,10,12,8,76,39,77,18,4,1,39,39,2,2,2,53,50,57,45,48,42,11,9,13,27,52,20,31,37,24,10,12,8
42,490 ,75,37,83,13,5,1,32,40,3,1,6,49,43,55,48,56,39,12,10,15,18,67,15,32,35,29,9,10,8,76,38,81,13,5,1,34,40,3,1,6,49,44,54,48,55,41,13,10,16,17,66,16,32,35,28,9,10,8
43,500 ,76,37,78,17,8,1,36,33,1,1,1,52,45,59,47,54,41,10,8,11,22,58,20,30,34,25,6,7,6,76,36,78,17,8,1,35,33,1,1,1,53,46,59,47,53,40,10,8,11,22,58,19,30,35,26,6,7,6
44,570 ,75,37,77,18,7,2,38,41,1,0,2,54,49,60,44,51,38,8,8,8,24,53,23,34,38,29,12,16,9,74,37,78,17,7,2,36,41,1,0,2,54,48,61,44,52,37,8,9,8,24,53,22,34,39,30,13,16,10
45,600 ,75,38,79,17,7,1,35,31,2,2,3,53,44,62,45,54,36,10,10,11,23,56,21,30,33,28,8,10,7,75,38,78,17,7,1,35,31,2,2,3,53,45,61,45,53,37,10,10,11,23,56,21,30,33,27,8,10,7
46,610 ,79,43,77,15,9,2,39,35,2,2,3,50,43,55,48,54,42,12,12,12,22,49,29,36,41,32,12,12,11,79,42,78,15,9,2,36,36,3,2,3,50,43,57,47,55,39,12,13,11,24,49,27,37,41,32,12,13,11
47,620 ,82,45,81,18,9,1,44,39,4,2,5,52,50,55,44,48,40,10,7,12,23,54,23,32,33,31,9,10,8,82,44,82,17,8,1,42,39,4,2,5,53,50,55,44,47,40,9,7,12,24,54,22,33,33,33,10,10,9
48,630 ,77,35,77,16,5,2,41,30,2,0,3,48,41,54,51,59,43,8,9,7,23,51,26,32,33,31,9,10,8,77,34,78,15,5,2,38,30,2,0,3,49,43,54,50,57,43,7,8,7,24,51,24,32,33,31,8,10,7
49,1010,75,39,74,15,6,1,38,35,1,1,2,53,53,54,45,46,44,11,9,13,28,53,19,37,40,34,9,12,6,74,39,74,15,6,1,37,35,1,1,2,53,52,54,46,47,45,11,9,13,29,53,18,37,40,34,9,12,6
50,1040,70,35,74,16,6,1,34,33,2,1,3,50,47,53,48,51,44,10,8,12,25,57,18,34,38,30,8,9,7,70,35,74,16,6,1,35,33,2,1,3,50,47,53,48,51,44,10,8,12,25,58,17,34,38,30,8,9,7
51,1250,75,37,81,18,7,1,35,40,3,1,5,53,49,58,44,51,36,8,8,8,29,55,16,30,35,25,6,6,6,75,38,81,19,7,1,36,40,3,1,5,53,48,58,44,51,37,8,8,9,29,55,16,30,34,25,6,6,6
52,1320,75,41,83,17,8,1,34,41,0,1,0,57,50,63,43,49,36,11,10,11,26,57,17,32,38,26,8,12,4,76,41,82,18,9,1,36,40,0,0,0,56,49,63,43,50,36,11,10,11,25,57,18,32,37,26,8,12,3
53,1370,74,38,80,15,6,1,33,37,2,1,2,55,50,60,43,49,37,9,7,11,26,59,15,30,34,27,9,10,7,74,38,80,15,6,1,33,37,2,1,2,55,50,60,43,49,38,9,6,12,26,58,16,30,34,26,9,10,7
54,1510,78,40,76,16,6,1,37,35,2,1,3,52,46,57,46,53,39,11,10,12,25,54,21,32,35,28,9,11,8,78,40,76,16,6,1,37,35,2,1,4,52,47,58,45,52,39,10,9,12,26,54,20,32,35,28,9,11,8
55,1530,75,39,79,18,7,1,33,32,1,0,2,54,49,58,45,51,40,8,8,9,28,54,19,32,35,29,10,12,9,75,39,79,18,7,1,33,32,1,0,2,53,49,58,45,51,40,8,8,9,28,54,19,32,35,29,10,12,9
56,1560,75,37,79,18,7,1,34,35,1,1,2,54,51,57,45,48,40,9,8,10,24,57,19,31,35,27,10,9,11,76,37,79,18,7,1,34,35,1,1,2,54,50,58,45,49,40,9,8,10,24,57,19,31,35,28,10,9,11
