ID,SITCEnergy,Countries,Periods,ImportValue_1,ExportValue_2
42,T001082,T001047,1959JJ00,6792.0,6218.0
43,T001082,T001047,1960JJ00,7813.0,6945.0
44,T001082,T001047,1961JJ00,8464.0,7130.0
45,T001082,T001047,1962JJ00,8784.0,7531.0
46,T001082,T001047,1963JJ00,9802.0,8151.0
47,T001082,T001047,1964JJ00,11593.0,9541.0
48,T001082,T001047,1965JJ00,12257.0,10502.0
49,T001082,T001047,1966JJ00,13171.0,11092.0
50,T001082,T001047,1967JJ00,13696.0,11971.0
51,T001082,T001047,1968JJ00,15264.0,13703.0
52,T001082,T001047,1969JJ00,18131.0,16429.0
53,T001082,T001047,1970JJ00,22055.0,19341.0
54,T001082,T001047,1971JJ00,23730.0,22133.0
55,T001082,T001047,1972JJ00,24831.0,24458.0
56,T001082,T001047,1973JJ00,30204.0,30348.0
57,T001082,T001047,1974JJ00,39851.0,39929.0
58,T001082,T001047,1975JJ00,39937.0,40230.0
59,T001082,T001047,1976JJ00,47307.0,48108.0
60,T001082,T001047,1977JJ00,50812.0,48643.0
61,T001082,T001047,1978JJ00,51900.0,49094.0
62,T001082,T001047,1979JJ00,61208.0,57943.0
63,T001082,T001047,1980JJ00,69101.0,66691.0
64,T001082,T001047,1981JJ00,74420.0,77493.0
65,T001082,T001047,1982JJ00,75938.0,80211.0
66,T001082,T001047,1983JJ00,78751.0,83655.0
67,T001082,T001047,1984JJ00,90217.0,95595.0
68,T001082,T001047,1985JJ00,98020.0,102562.0
69,T001082,T001047,1986JJ00,83973.0,89524.0
70,T001082,T001047,1987JJ00,83879.0,85318.0
71,T001082,T001047,1988JJ00,88851.0,92470.0
72,T001082,T001047,1989JJ00,100472.0,104101.0
73,T001082,T001047,1990JJ00,104236.0,108536.0
74,T001082,T001047,1991JJ00,107599.0,113014.0
75,T001082,T001047,1992JJ00,107363.0,111875.0
76,T001082,T001047,1993JJ00,105113.0,117230.0
77,T001082,T001047,1994JJ00,116367.0,130440.0
78,T001082,T001047,1995JJ00,129391.0,143468.0
79,T001082,T001047,1996JJ00,139929.0,153752.0
80,T001082,T001047,1997JJ00,157437.0,171421.0
81,T001082,T001047,1998JJ00,168445.0,180725.0
82,T001082,T001047,1999JJ00,178719.0,188599.0
83,T001082,T001047,2000JJ00,216057.0,231854.0
84,T001082,T001047,2001JJ00,218330.0,241339.0
85,T001082,T001047,2002JJ00,205575.0,232704.0
86,T001082,T001047,2003JJ00,206867.0,234166.0
87,T001082,T001047,2004JJ00,228245.0,255697.0
88,T001082,T001047,2005JJ00,249849.0,281307.0
89,T001082,T001047,2006JJ00,285373.0,318961.0
90,T001082,T001047,2007JJ00,307279.0,347510.0
91,T001082,T001047,2008JJ00,335927.0,370489.0
92,T001082,T001047,2009JJ00,274025.0,309369.0
93,T001082,T001047,2010JJ00,331914.0,371549.0
94,T001082,T001047,2011JJ00,364922.0,409358.0
95,T001082,T001047,2012JJ00,389449.0,429717.0
96,T001082,T001047,2013JJ00,386355.0,433106.0
97,T001082,T001047,2014JJ00,382416.0,433405.0
98,T001082,T001047,2015JJ00,372195.0,418982.0
99,T001082,T001047,2016JJ00,368861.0,423228.0
100,T001082,T001047,2017JJ00,411445.0,468517.0
101,T001082,L007935,1917JJ00,261.0,323.0
102,T001082,L007935,1918JJ00,261.0,156.0
103,T001082,L007935,1919JJ00,892.0,676.0
104,T001082,L007935,1920JJ00,933.0,560.0
105,T001082,L007935,1921JJ00,647.0,480.0
106,T001082,L007935,1922JJ00,622.0,428.0
107,T001082,L007935,1923JJ00,586.0,460.0
108,T001082,L007935,1924JJ00,687.0,631.0
109,T001082,L007935,1925JJ00,742.0,652.0
110,T001082,L007935,1926JJ00,707.0,609.0
111,T001082,L007935,1927JJ00,717.0,671.0
112,T001082,L007935,1928JJ00,766.0,680.0
113,T001082,L007935,1929JJ00,825.0,663.0
114,T001082,L007935,1930JJ00,783.0,593.0
115,T001082,L007935,1931JJ00,610.0,472.0
116,T001082,L007935,1932JJ00,409.0,307.0
117,T001082,L007935,1933JJ00,412.0,270.0
118,T001082,L007935,1934JJ00,338.0,272.0
119,T001082,L007935,1935JJ00,293.0,250.0
120,T001082,L007935,1936JJ00,309.0,268.0
121,T001082,L007935,1937JJ00,451.0,396.0
122,T001082,L007935,1938JJ00,415.0,351.0
123,T001082,L007935,1939JJ00,472.0,319.0
124,T001082,L007935,1940JJ00,313.0,249.0
125,T001082,L007935,1941JJ00,333.0,287.0
126,T001082,L007935,1942JJ00,217.0,280.0
127,T001082,L007935,1943JJ00,191.0,290.0
128,T001082,L007935,1944JJ00,,
129,T001082,L007935,1945JJ00,,
130,T001082,L007935,1946JJ00,539.0,280.0
131,T001082,L007935,1947JJ00,908.0,620.0
132,T001082,L007935,1948JJ00,1217.0,897.0
133,T001082,L007935,1949JJ00,1413.0,1259.0
134,T001082,L007935,1950JJ00,2115.0,1777.0
135,T001082,L007935,1951JJ00,2546.0,2305.0
136,T001082,L007935,1952JJ00,2203.0,2416.0
137,T001082,L007935,1953JJ00,2479.0,2448.0
138,T001082,L007935,1954JJ00,2892.0,2841.0
139,T001082,L007935,1955JJ00,3375.0,3192.0
140,T001082,L007935,1956JJ00,3933.0,3418.0
141,T001082,L007935,1957JJ00,4256.0,3798.0
142,T001082,L007935,1958JJ00,3756.0,3974.0
143,T001082,L007935,1959JJ00,4334.0,4511.0
144,T001082,L007935,1960JJ00,5020.0,5165.0
145,T001082,L007935,1961JJ00,5754.0,5381.0
146,T001082,L007935,1962JJ00,6032.0,5822.0
147,T001082,L007935,1963JJ00,6834.0,6457.0
148,T001082,L007935,1964JJ00,8100.0,7622.0
149,T001082,L007935,1965JJ00,8707.0,8431.0
150,T001082,L007935,1966JJ00,9325.0,8780.0
151,T001082,L007935,1967JJ00,9623.0,9494.0
152,T001082,L007935,1968JJ00,10786.0,10954.0
153,T001082,L007935,1969JJ00,13099.0,13407.0
154,T001082,L007935,1970JJ00,15624.0,15879.0
155,T001082,L007935,1971JJ00,16322.0,18427.0
156,T001082,L007935,1972JJ00,17417.0,20710.0
157,T001082,L007935,1973JJ00,20939.0,25683.0
158,T001082,L007935,1974JJ00,26218.0,32910.0
159,T001082,L007935,1975JJ00,26103.0,32971.0
160,T001082,L007935,1976JJ00,30147.0,39905.0
161,T001082,L007935,1977JJ00,32586.0,39654.0
162,T001082,L007935,1978JJ00,34760.0,40003.0
163,T001082,L007935,1979JJ00,40787.0,48277.0
164,T001082,L007935,1980JJ00,44378.0,55067.0
165,T001082,L007935,1981JJ00,47410.0,62832.0
166,T001082,L007935,1982JJ00,51072.0,65808.0
167,T001082,L007935,1983JJ00,53606.0,67916.0
168,T001082,L007935,1984JJ00,60416.0,77295.0
169,T001082,L007935,1985JJ00,68380.0,83841.0
170,T001082,L007935,1986JJ00,61838.0,74398.0
171,T001082,L007935,1987JJ00,62034.0,71349.0
172,T001082,L007935,1988JJ00,65318.0,77256.0
173,T001082,L007935,1989JJ00,73020.0,87678.0
174,T001082,L007935,1990JJ00,76413.0,92739.0
175,T001082,L007935,1991JJ00,78109.0,96689.0
176,T001082,L007935,1992JJ00,78958.0,94956.0
177,T001082,L007935,1993JJ00,74617.0,97688.0
178,T001082,L007935,1994JJ00,83071.0,110219.0
179,T001082,L007935,1995JJ00,93499.0,122752.0
180,T001082,L007935,1996JJ00,99252.0,131593.0
181,T001082,L007935,1997JJ00,108892.0,145458.0
182,T001082,L007935,1998JJ00,112668.0,154732.0
183,T001082,L007935,1999JJ00,117505.0,160926.0
184,T001082,L007935,2000JJ00,135570.0,195973.0
185,T001082,L007935,2001JJ00,136601.0,205072.0
186,T001082,L007935,2002JJ00,133772.0,195417.0
187,T001082,L007935,2003JJ00,135577.0,196874.0
188,T001082,L007935,2004JJ00,145882.0,214127.0
189,T001082,L007935,2005JJ00,156178.0,234274.0
190,T001082,L007935,2006JJ00,179226.0,263577.0
191,T001082,L007935,2007JJ00,194625.0,284511.0
192,T001082,L007935,2008JJ00,213402.0,305361.0
193,T001082,L007935,2009JJ00,172907.0,250890.0
194,T001082,L007935,2010JJ00,205241.0,298490.0
195,T001082,L007935,2011JJ00,228709.0,328329.0
196,T001082,L007935,2012JJ00,241943.0,338616.0
197,T001082,L007935,2013JJ00,244247.0,342811.0
198,T001082,L007935,2014JJ00,238602.0,341422.0
199,T001082,L007935,2015JJ00,233660.0,324754.0
200,T001082,L007935,2016JJ00,229916.0,328412.0
201,T001082,L007935,2017JJ00,258160.0,359424.0
202,T001082,L008519,1917JJ00,5.0,5.0
203,T001082,L008519,1918JJ00,1.0,3.0
204,T001082,L008519,1919JJ00,13.0,4.0
205,T001082,L008519,1920JJ00,40.0,25.0
206,T001082,L008519,1921JJ00,10.0,9.0
207,T001082,L008519,1922JJ00,11.0,10.0
208,T001082,L008519,1923JJ00,18.0,14.0
209,T001082,L008519,1924JJ00,22.0,18.0
210,T001082,L008519,1925JJ00,23.0,21.0
211,T001082,L008519,1926JJ00,25.0,21.0
212,T001082,L008519,1927JJ00,29.0,25.0
213,T001082,L008519,1928JJ00,34.0,29.0
214,T001082,L008519,1929JJ00,30.0,27.0
215,T001082,L008519,1930JJ00,28.0,22.0
216,T001082,L008519,1931JJ00,19.0,15.0
217,T001082,L008519,1932JJ00,11.0,12.0
218,T001082,L008519,1933JJ00,12.0,10.0
219,T001082,L008519,1934JJ00,10.0,10.0
220,T001082,L008519,1935JJ00,13.0,11.0
221,T001082,L008519,1936JJ00,16.0,13.0
222,T001082,L008519,1937JJ00,25.0,19.0
223,T001082,L008519,1938JJ00,21.0,19.0
224,T001082,L008519,1939JJ00,19.0,17.0
225,T001082,L008519,1940JJ00,8.0,5.0
226,T001082,L008519,1941JJ00,,
227,T001082,L008519,1942JJ00,,
228,T001082,L008519,1943JJ00,,
229,T001082,L008519,1944JJ00,,
230,T001082,L008519,1945JJ00,,
231,T001082,L008519,1946JJ00,25.0,15.0
232,T001082,L008519,1947JJ00,37.0,42.0
233,T001082,L008519,1948JJ00,62.0,60.0
234,T001082,L008519,1949JJ00,76.0,66.0
235,T001082,L008519,1950JJ00,162.0,102.0
236,T001082,L008519,1951JJ00,181.0,154.0
237,T001082,L008519,1952JJ00,141.0,213.0
238,T001082,L008519,1953JJ00,186.0,208.0
239,T001082,L008519,1954JJ00,239.0,242.0
240,T001082,L008519,1955JJ00,261.0,268.0
241,T001082,L008519,1956JJ00,265.0,291.0
242,T001082,L008519,1957JJ00,261.0,303.0
243,T001082,L008519,1958JJ00,307.0,324.0
244,T001082,L008519,1959JJ00,351.0,330.0
245,T001082,L008519,1960JJ00,341.0,367.0
246,T001082,L008519,1961JJ00,372.0,351.0
247,T001082,L008519,1962JJ00,403.0,365.0
248,T001082,L008519,1963JJ00,450.0,343.0
249,T001082,L008519,1964JJ00,532.0,378.0
250,T001082,L008519,1965JJ00,541.0,428.0
251,T001082,L008519,1966JJ00,561.0,466.0
252,T001082,L008519,1967JJ00,611.0,466.0
253,T001082,L008519,1968JJ00,744.0,482.0
254,T001082,L008519,1969JJ00,930.0,604.0
255,T001082,L008519,1970JJ00,1178.0,639.0
256,T001082,L008519,1971JJ00,1102.0,693.0
257,T001082,L008519,1972JJ00,1116.0,776.0
258,T001082,L008519,1973JJ00,1259.0,916.0
259,T001082,L008519,1974JJ00,2376.0,1406.0
260,T001082,L008519,1975JJ00,1746.0,1690.0
261,T001082,L008519,1976JJ00,2322.0,1811.0
262,T001082,L008519,1977JJ00,2780.0,1997.0
263,T001082,L008519,1978JJ00,2734.0,1874.0
264,T001082,L008519,1979JJ00,3548.0,2132.0
265,T001082,L008519,1980JJ00,4659.0,2714.0
266,T001082,L008519,1981JJ00,4044.0,3286.0
267,T001082,L008519,1982JJ00,4197.0,3202.0
268,T001082,L008519,1983JJ00,5019.0,3193.0
269,T001082,L008519,1984JJ00,5310.0,3089.0
270,T001082,L008519,1985JJ00,5256.0,3193.0
271,T001082,L008519,1986JJ00,2823.0,2711.0
272,T001082,L008519,1987JJ00,2687.0,2435.0
273,T001082,L008519,1988JJ00,2467.0,2578.0
274,T001082,L008519,1989JJ00,2641.0,2713.0
275,T001082,L008519,1990JJ00,2884.0,2503.0
276,T001082,L008519,1991JJ00,3032.0,2416.0
277,T001082,L008519,1992JJ00,2540.0,2195.0
278,T001082,L008519,1993JJ00,2317.0,2401.0
279,T001082,L008519,1994JJ00,2455.0,2163.0
280,T001082,L008519,1995JJ00,2545.0,2437.0
281,T001082,L008519,1996JJ00,2950.0,2590.0
282,T001082,L008519,1997JJ00,3042.0,2846.0
283,T001082,L008519,1998JJ00,3131.0,3282.0
284,T001082,L008519,1999JJ00,3434.0,3112.0
285,T001082,L008519,2000JJ00,4336.0,3605.0
286,T001082,L008519,2001JJ00,5530.0,3909.0
287,T001082,L008519,2002JJ00,4412.0,3995.0
288,T001082,L008519,2003JJ00,4477.0,4375.0
289,T001082,L008519,2004JJ00,4344.0,4646.0
290,T001082,L008519,2005JJ00,6514.0,5575.0
291,T001082,L008519,2006JJ00,7200.0,6550.0
292,T001082,L008519,2007JJ00,9087.0,8670.0
293,T001082,L008519,2008JJ00,10844.0,9654.0
294,T001082,L008519,2009JJ00,8386.0,9165.0
295,T001082,L008519,2010JJ00,11096.0,11338.0
296,T001082,L008519,2011JJ00,12619.0,12964.0
297,T001082,L008519,2012JJ00,16355.0,14656.0
298,T001082,L008519,2013JJ00,15332.0,14507.0
299,T001082,L008519,2014JJ00,14184.0,14249.0
300,T001082,L008519,2015JJ00,11611.0,14013.0
301,T001082,L008519,2016JJ00,8767.0,11821.0
302,T001082,L008519,2017JJ00,10029.0,12974.0
303,T001082,L008520,1917JJ00,123.0,22.0
304,T001082,L008520,1918JJ00,14.0,10.0
305,T001082,L008520,1919JJ00,381.0,33.0
306,T001082,L008520,1920JJ00,394.0,60.0
307,T001082,L008520,1921JJ00,275.0,34.0
308,T001082,L008520,1922JJ00,209.0,43.0
309,T001082,L008520,1923JJ00,216.0,52.0
310,T001082,L008520,1924JJ00,255.0,47.0
311,T001082,L008520,1925JJ00,244.0,60.0
312,T001082,L008520,1926JJ00,255.0,67.0
313,T001082,L008520,1927JJ00,299.0,64.0
314,T001082,L008520,1928JJ00,302.0,71.0
315,T001082,L008520,1929JJ00,275.0,81.0
316,T001082,L008520,1930JJ00,191.0,60.0
317,T001082,L008520,1931JJ00,156.0,37.0
318,T001082,L008520,1932JJ00,116.0,29.0
319,T001082,L008520,1933JJ00,93.0,33.0
320,T001082,L008520,1934JJ00,88.0,26.0
321,T001082,L008520,1935JJ00,88.0,34.0
322,T001082,L008520,1936JJ00,97.0,45.0
323,T001082,L008520,1937JJ00,151.0,63.0
324,T001082,L008520,1938JJ00,143.0,50.0
325,T001082,L008520,1939JJ00,142.0,52.0
326,T001082,L008520,1940JJ00,109.0,14.0
327,T001082,L008520,1941JJ00,2.0,
328,T001082,L008520,1942JJ00,,
329,T001082,L008520,1943JJ00,,
330,T001082,L008520,1944JJ00,,
331,T001082,L008520,1945JJ00,,
332,T001082,L008520,1946JJ00,406.0,46.0
333,T001082,L008520,1947JJ00,843.0,73.0
334,T001082,L008520,1948JJ00,724.0,101.0
335,T001082,L008520,1949JJ00,618.0,135.0
336,T001082,L008520,1950JJ00,675.0,260.0
337,T001082,L008520,1951JJ00,844.0,437.0
338,T001082,L008520,1952JJ00,805.0,487.0
339,T001082,L008520,1953JJ00,743.0,565.0
340,T001082,L008520,1954JJ00,1026.0,575.0
341,T001082,L008520,1955JJ00,1180.0,625.0
342,T001082,L008520,1956JJ00,1463.0,624.0
343,T001082,L008520,1957JJ00,1670.0,632.0
344,T001082,L008520,1958JJ00,1265.0,711.0
345,T001082,L008520,1959JJ00,1269.0,763.0
346,T001082,L008520,1960JJ00,1542.0,739.0
347,T001082,L008520,1961JJ00,1454.0,720.0
348,T001082,L008520,1962JJ00,1525.0,724.0
349,T001082,L008520,1963JJ00,1640.0,691.0
350,T001082,L008520,1964JJ00,1864.0,767.0
351,T001082,L008520,1965JJ00,1874.0,808.0
352,T001082,L008520,1966JJ00,2103.0,984.0
353,T001082,L008520,1967JJ00,2175.0,1036.0
354,T001082,L008520,1968JJ00,2352.0,1252.0
355,T001082,L008520,1969JJ00,2523.0,1332.0
356,T001082,L008520,1970JJ00,3205.0,1557.0
357,T001082,L008520,1971JJ00,3381.0,1625.0
358,T001082,L008520,1972JJ00,2996.0,1680.0
359,T001082,L008520,1973JJ00,3879.0,1971.0
360,T001082,L008520,1974JJ00,5001.0,2813.0
361,T001082,L008520,1975JJ00,5561.0,2227.0
362,T001082,L008520,1976JJ00,6081.0,2508.0
363,T001082,L008520,1977JJ00,6298.0,2832.0
364,T001082,L008520,1978JJ00,6324.0,2753.0
365,T001082,L008520,1979JJ00,7629.0,2899.0
366,T001082,L008520,1980JJ00,9045.0,3036.0
367,T001082,L008520,1981JJ00,10316.0,4112.0
368,T001082,L008520,1982JJ00,10258.0,4188.0
369,T001082,L008520,1983JJ00,10380.0,4936.0
370,T001082,L008520,1984JJ00,12531.0,6529.0
371,T001082,L008520,1985JJ00,12734.0,7190.0
372,T001082,L008520,1986JJ00,9338.0,5989.0
373,T001082,L008520,1987JJ00,8567.0,5361.0
374,T001082,L008520,1988JJ00,10032.0,5571.0
375,T001082,L008520,1989JJ00,12002.0,6616.0
376,T001082,L008520,1990JJ00,11718.0,5976.0
377,T001082,L008520,1991JJ00,12053.0,6131.0
378,T001082,L008520,1992JJ00,11307.0,6490.0
379,T001082,L008520,1993JJ00,11802.0,7211.0
380,T001082,L008520,1994JJ00,13363.0,7529.0
381,T001082,L008520,1995JJ00,14563.0,7270.0
382,T001082,L008520,1996JJ00,15660.0,7861.0
383,T001082,L008520,1997JJ00,19068.0,9606.0
384,T001082,L008520,1998JJ00,20881.0,10453.0
385,T001082,L008520,1999JJ00,22469.0,11245.0
386,T001082,L008520,2000JJ00,28641.0,14773.0
387,T001082,L008520,2001JJ00,28839.0,14683.0
388,T001082,L008520,2002JJ00,25468.0,15452.0
389,T001082,L008520,2003JJ00,23287.0,15276.0
390,T001082,L008520,2004JJ00,26442.0,16120.0
391,T001082,L008520,2005JJ00,29909.0,18539.0
392,T001082,L008520,2006JJ00,35051.0,22350.0
393,T001082,L008520,2007JJ00,37007.0,24513.0
394,T001082,L008520,2008JJ00,42974.0,24551.0
395,T001082,L008520,2009JJ00,35208.0,20585.0
396,T001082,L008520,2010JJ00,39843.0,25888.0
397,T001082,L008520,2011JJ00,41618.0,29930.0
398,T001082,L008520,2012JJ00,45409.0,32797.0
399,T001082,L008520,2013JJ00,44592.0,29218.0
400,T001082,L008520,2014JJ00,43364.0,31404.0
401,T001082,L008520,2015JJ00,43505.0,30796.0
402,T001082,L008520,2016JJ00,44326.0,31337.0
403,T001082,L008520,2017JJ00,44974.0,33885.0
404,T001082,L008524,1917JJ00,,
405,T001082,L008524,1918JJ00,,
406,T001082,L008524,1919JJ00,,
407,T001082,L008524,1920JJ00,150.0,134.0
408,T001082,L008524,1921JJ00,96.0,103.0
409,T001082,L008524,1922JJ00,77.0,74.0
410,T001082,L008524,1923JJ00,92.0,66.0
411,T001082,L008524,1924JJ00,105.0,67.0
412,T001082,L008524,1925JJ00,100.0,84.0
413,T001082,L008524,1926JJ00,118.0,93.0
414,T001082,L008524,1927JJ00,106.0,98.0
415,T001082,L008524,1928JJ00,113.0,118.0
416,T001082,L008524,1929JJ00,123.0,133.0
417,T001082,L008524,1930JJ00,97.0,105.0
418,T001082,L008524,1931JJ00,72.0,72.0
419,T001082,L008524,1932JJ00,54.0,35.0
420,T001082,L008524,1933JJ00,50.0,27.0
421,T001082,L008524,1934JJ00,52.0,25.0
422,T001082,L008524,1935JJ00,49.0,26.0
423,T001082,L008524,1936JJ00,63.0,32.0
424,T001082,L008524,1937JJ00,99.0,66.0
425,T001082,L008524,1938JJ00,82.0,67.0
426,T001082,L008524,1939JJ00,74.0,66.0
427,T001082,L008524,1940JJ00,33.0,24.0
428,T001082,L008524,1941JJ00,3.0,1.0
429,T001082,L008524,1942JJ00,,
430,T001082,L008524,1943JJ00,,
431,T001082,L008524,1944JJ00,,
432,T001082,L008524,1945JJ00,,
433,T001082,L008524,1946JJ00,25.0,29.0
434,T001082,L008524,1947JJ00,140.0,117.0
435,T001082,L008524,1948JJ00,229.0,160.0
436,T001082,L008524,1949JJ00,295.0,275.0
437,T001082,L008524,1950JJ00,538.0,258.0
438,T001082,L008524,1951JJ00,783.0,379.0
439,T001082,L008524,1952JJ00,630.0,443.0
440,T001082,L008524,1953JJ00,646.0,415.0
441,T001082,L008524,1954JJ00,728.0,399.0
442,T001082,L008524,1955JJ00,677.0,423.0
443,T001082,L008524,1956JJ00,721.0,478.0
444,T001082,L008524,1957JJ00,849.0,474.0
445,T001082,L008524,1958JJ00,882.0,410.0
446,T001082,L008524,1959JJ00,796.0,474.0
447,T001082,L008524,1960JJ00,872.0,520.0
448,T001082,L008524,1961JJ00,846.0,513.0
449,T001082,L008524,1962JJ00,794.0,464.0
450,T001082,L008524,1963JJ00,846.0,489.0
451,T001082,L008524,1964JJ00,1055.0,569.0
452,T001082,L008524,1965JJ00,1092.0,610.0
453,T001082,L008524,1966JJ00,1144.0,648.0
454,T001082,L008524,1967JJ00,1239.0,707.0
455,T001082,L008524,1968JJ00,1333.0,720.0
456,T001082,L008524,1969JJ00,1496.0,765.0
457,T001082,L008524,1970JJ00,1966.0,861.0
458,T001082,L008524,1971JJ00,2854.0,952.0
459,T001082,L008524,1972JJ00,3235.0,882.0
460,T001082,L008524,1973JJ00,4030.0,1264.0
461,T001082,L008524,1974JJ00,6139.0,1754.0
462,T001082,L008524,1975JJ00,6385.0,2214.0
463,T001082,L008524,1976JJ00,8578.0,2569.0
464,T001082,L008524,1977JJ00,8973.0,2783.0
465,T001082,L008524,1978JJ00,7893.0,3320.0
466,T001082,L008524,1979JJ00,9052.0,3400.0
467,T001082,L008524,1980JJ00,10797.0,4204.0
468,T001082,L008524,1981JJ00,12397.0,5179.0
469,T001082,L008524,1982JJ00,10114.0,5126.0
470,T001082,L008524,1983JJ00,9447.0,5544.0
471,T001082,L008524,1984JJ00,11526.0,6539.0
472,T001082,L008524,1985JJ00,11175.0,6102.0
473,T001082,L008524,1986JJ00,9537.0,5126.0
474,T001082,L008524,1987JJ00,10141.0,4986.0
475,T001082,L008524,1988JJ00,10620.0,5778.0
476,T001082,L008524,1989JJ00,12425.0,5801.0
477,T001082,L008524,1990JJ00,12775.0,5973.0
478,T001082,L008524,1991JJ00,13991.0,6464.0
479,T001082,L008524,1992JJ00,14123.0,6939.0
480,T001082,L008524,1993JJ00,16003.0,8439.0
481,T001082,L008524,1994JJ00,17050.0,8949.0
482,T001082,L008524,1995JJ00,18439.0,9577.0
483,T001082,L008524,1996JJ00,21711.0,10176.0
484,T001082,L008524,1997JJ00,26052.0,11773.0
485,T001082,L008524,1998JJ00,31226.0,10595.0
486,T001082,L008524,1999JJ00,34711.0,11882.0
487,T001082,L008524,2000JJ00,46549.0,15596.0
488,T001082,L008524,2001JJ00,46257.0,15528.0
489,T001082,L008524,2002JJ00,41104.0,15726.0
490,T001082,L008524,2003JJ00,42749.0,15291.0
491,T001082,L008524,2004JJ00,50818.0,18211.0
492,T001082,L008524,2005JJ00,56417.0,19933.0
493,T001082,L008524,2006JJ00,62951.0,22966.0
494,T001082,L008524,2007JJ00,65512.0,25850.0
495,T001082,L008524,2008JJ00,67493.0,25853.0
496,T001082,L008524,2009JJ00,56402.0,25056.0
497,T001082,L008524,2010JJ00,74531.0,31287.0
498,T001082,L008524,2011JJ00,80301.0,33844.0
499,T001082,L008524,2012JJ00,83874.0,38396.0
500,T001082,L008524,2013JJ00,80334.0,38118.0
501,T001082,L008524,2014JJ00,83835.0,38970.0
502,T001082,L008524,2015JJ00,80291.0,41969.0
503,T001082,L008524,2016JJ00,82313.0,44877.0
504,T001082,L008524,2017JJ00,93733.0,52707.0
505,T001082,L008531,1917JJ00,,
506,T001082,L008531,1918JJ00,,
507,T001082,L008531,1919JJ00,,
508,T001082,L008531,1920JJ00,2.0,3.0
509,T001082,L008531,1921JJ00,1.0,2.0
510,T001082,L008531,1922JJ00,3.0,3.0
511,T001082,L008531,1923JJ00,3.0,3.0
512,T001082,L008531,1924JJ00,5.0,3.0
513,T001082,L008531,1925JJ00,4.0,4.0
514,T001082,L008531,1926JJ00,4.0,5.0
515,T001082,L008531,1927JJ00,6.0,5.0
516,T001082,L008531,1928JJ00,5.0,5.0
517,T001082,L008531,1929JJ00,3.0,6.0
518,T001082,L008531,1930JJ00,4.0,5.0
519,T001082,L008531,1931JJ00,3.0,2.0
520,T001082,L008531,1932JJ00,2.0,2.0
521,T001082,L008531,1933JJ00,1.0,1.0
522,T001082,L008531,1934JJ00,1.0,1.0
523,T001082,L008531,1935JJ00,1.0,2.0
524,T001082,L008531,1936JJ00,1.0,2.0
525,T001082,L008531,1937JJ00,2.0,3.0
526,T001082,L008531,1938JJ00,2.0,3.0
527,T001082,L008531,1939JJ00,2.0,3.0
528,T001082,L008531,1940JJ00,,
529,T001082,L008531,1941JJ00,,
530,T001082,L008531,1942JJ00,,
531,T001082,L008531,1943JJ00,,
532,T001082,L008531,1944JJ00,,
533,T001082,L008531,1945JJ00,,
534,T001082,L008531,1946JJ00,7.0,1.0
535,T001082,L008531,1947JJ00,13.0,8.0
536,T001082,L008531,1948JJ00,20.0,15.0
537,T001082,L008531,1949JJ00,18.0,12.0
538,T001082,L008531,1950JJ00,54.0,39.0
539,T001082,L008531,1951JJ00,48.0,87.0
