ID,BronTechniek,Energietoepassingen,Perioden,BrutoEindverbruik_1,BrutoEindverbruikRelatief_2,VermedenVerbruik_3,VermedenVerbruikRelatief_4,VermedenEmissie_5,VermedenEmissieRelatief_6
21,T001028 ,E007022 ,2011JJ00,99256.0,4.53,140106.0,4.33,9733.0,5.75
22,T001028 ,E007022 ,2012JJ00,102676.0,4.66,148316.0,4.57,10543.0,6.35
23,T001028 ,E007022 ,2013JJ00,103463.0,4.69,144697.0,4.55,10207.0,6.15
24,T001028 ,E007022 ,2014JJ00,108835.0,5.42,150280.0,4.94,10357.0,6.52
25,T001028 ,E007022 ,2015JJ00,117192.0,5.66,166920.0,5.36,11802.0,7.07
26,T001028 ,E007022 ,2016JJ00,122177.0,5.83,180367.0,5.72,12513.0,7.49
27,T001028 ,E007022 ,2017JJ00,136815.0,6.46,197281.0,6.22,13534.0,8.21
28,T001028 ,E007022 ,2018JJ00,156100.0,7.38,218670.0,7.03,14745.0,9.18
29,T001028 ,E007022 ,2019JJ00,181538.0,8.67,255883.0,8.34,17603.0,11.34
30,T001028 ,E006607 ,1990JJ00,2914.0,0.16,6946.0,0.24,497.0,0.3
31,T001028 ,E006607 ,1991JJ00,3349.0,0.17,8075.0,0.27,562.0,0.33
32,T001028 ,E006607 ,1992JJ00,3534.0,0.18,8441.0,0.29,577.0,0.34
33,T001028 ,E006607 ,1993JJ00,4061.0,0.2,9414.0,0.31,643.0,0.37
34,T001028 ,E006607 ,1994JJ00,4508.0,0.23,10450.0,0.35,730.0,0.42
35,T001028 ,E006607 ,1995JJ00,5123.0,0.25,11808.0,0.38,840.0,0.48
36,T001028 ,E006607 ,1996JJ00,6628.0,0.3,14988.0,0.46,1060.0,0.58
37,T001028 ,E006607 ,1997JJ00,7362.0,0.35,15750.0,0.5,1145.0,0.65
38,T001028 ,E006607 ,1998JJ00,8131.0,0.38,17441.0,0.55,1261.0,0.71
39,T001028 ,E006607 ,1999JJ00,9108.0,0.44,19784.0,0.64,1408.0,0.82
40,T001028 ,E006607 ,2000JJ00,10334.0,0.48,22919.0,0.73,1675.0,0.97
41,T001028 ,E006607 ,2001JJ00,11907.0,0.55,27489.0,0.86,2074.0,1.17
42,T001028 ,E006607 ,2002JJ00,14623.0,0.68,33741.0,1.05,2588.0,1.47
43,T001028 ,E006607 ,2003JJ00,14573.0,0.66,34135.0,1.02,2571.0,1.43
44,T001028 ,E006607 ,2004JJ00,18822.0,0.81,43743.0,1.29,3258.0,1.79
45,T001028 ,E006607 ,2005JJ00,26814.0,1.17,62926.0,1.88,4620.0,2.6
46,T001028 ,E006607 ,2006JJ00,28325.0,1.24,66523.0,2.02,4816.0,2.78
47,T001028 ,E006607 ,2007JJ00,26359.0,1.17,59825.0,1.81,4485.0,2.59
48,T001028 ,E006607 ,2008JJ00,33170.0,1.45,76498.0,2.34,5639.0,3.21
49,T001028 ,E006607 ,2009JJ00,38719.0,1.76,87862.0,2.72,6575.0,3.86
50,T001028 ,E006607 ,2010JJ00,42185.0,1.79,94376.0,2.72,7100.0,3.89
51,T001028 ,E006607 ,2011JJ00,43147.0,1.97,95063.0,2.94,7137.0,4.21
52,T001028 ,E006607 ,2012JJ00,44841.0,2.04,101516.0,3.13,7820.0,4.71
53,T001028 ,E006607 ,2013JJ00,42771.0,1.94,94988.0,2.99,7312.0,4.4
54,T001028 ,E006607 ,2014JJ00,42197.0,2.1,95167.0,3.13,7163.0,4.51
55,T001028 ,E006607 ,2015JJ00,47347.0,2.29,108126.0,3.47,8501.0,5.09
56,T001028 ,E006607 ,2016JJ00,54263.0,2.59,123788.0,3.92,9315.0,5.58
57,T001028 ,E006607 ,2017JJ00,60011.0,2.83,133164.0,4.2,9829.0,5.96
58,T001028 ,E006607 ,2018JJ00,66640.0,3.15,144056.0,4.63,10306.0,6.42
59,T001028 ,E006607 ,2019JJ00,78697.0,3.76,168445.0,5.49,12256.0,7.89
60,T001028 ,E006608 ,1990JJ00,18858.0,1.04,9762.0,0.34,555.0,0.34
61,T001028 ,E006608 ,1991JJ00,19179.0,0.98,10216.0,0.35,580.0,0.34
62,T001028 ,E006608 ,1992JJ00,19654.0,1.02,10619.0,0.36,603.0,0.35
63,T001028 ,E006608 ,1993JJ00,19868.0,1.0,10768.0,0.36,612.0,0.36
64,T001028 ,E006608 ,1994JJ00,19795.0,1.01,10425.0,0.35,592.0,0.34
65,T001028 ,E006608 ,1995JJ00,20335.0,1.0,10771.0,0.35,612.0,0.35
66,T001028 ,E006608 ,1996JJ00,21365.0,0.97,11641.0,0.36,662.0,0.36
67,T001028 ,E006608 ,1997JJ00,23508.0,1.11,13854.0,0.44,787.0,0.45
68,T001028 ,E006608 ,1998JJ00,23801.0,1.12,14244.0,0.45,810.0,0.46
69,T001028 ,E006608 ,1999JJ00,24193.0,1.16,14696.0,0.47,835.0,0.49
70,T001028 ,E006608 ,2000JJ00,24355.0,1.14,14892.0,0.48,846.0,0.49
71,T001028 ,E006608 ,2001JJ00,24655.0,1.13,14853.0,0.46,846.0,0.48
72,T001028 ,E006608 ,2002JJ00,25453.0,1.18,16049.0,0.5,920.0,0.52
73,T001028 ,E006608 ,2003JJ00,25893.0,1.17,16742.0,0.5,,
74,T001028 ,E006608 ,2004JJ00,28466.0,1.22,19105.0,0.56,,
75,T001028 ,E006608 ,2005JJ00,30228.0,1.31,20734.0,0.62,,
76,T001028 ,E006608 ,2006JJ00,33387.0,1.46,23271.0,0.71,,
77,T001028 ,E006608 ,2007JJ00,34734.0,1.55,24451.0,0.74,,
78,T001028 ,E006608 ,2008JJ00,36863.0,1.62,25783.0,0.79,,
79,T001028 ,E006608 ,2009JJ00,39335.0,1.79,28286.0,0.87,1625.0,0.95
80,T001028 ,E006608 ,2010JJ00,40649.0,1.72,29237.0,0.84,1692.0,0.93
81,T001028 ,E006608 ,2011JJ00,42324.0,1.93,31253.0,0.97,1784.0,1.05
82,T001028 ,E006608 ,2012JJ00,44961.0,2.04,33923.0,1.04,1916.0,1.15
83,T001028 ,E006608 ,2013JJ00,48264.0,2.19,37276.0,1.17,2080.0,1.25
84,T001028 ,E006608 ,2014JJ00,52266.0,2.6,40733.0,1.34,2248.0,1.42
85,T001028 ,E006608 ,2015JJ00,57274.0,2.77,46218.0,1.48,2508.0,1.5
86,T001028 ,E006608 ,2016JJ00,58012.0,2.77,46672.0,1.48,2545.0,1.52
87,T001028 ,E006608 ,2017JJ00,64113.0,3.03,51414.0,1.62,2832.0,1.72
88,T001028 ,E006608 ,2018JJ00,68218.0,3.23,53351.0,1.71,2956.0,1.84
89,T001028 ,E006608 ,2019JJ00,76117.0,3.64,60680.0,1.98,3396.0,2.19
90,T001028 ,E007028 ,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0
91,T001028 ,E007028 ,1991JJ00,0.0,0.0,0.0,0.0,0.0,0.0
92,T001028 ,E007028 ,1992JJ00,0.0,0.0,0.0,0.0,0.0,0.0
93,T001028 ,E007028 ,1993JJ00,0.0,0.0,0.0,0.0,0.0,0.0
94,T001028 ,E007028 ,1994JJ00,0.0,0.0,0.0,0.0,0.0,0.0
95,T001028 ,E007028 ,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0
96,T001028 ,E007028 ,1996JJ00,0.0,0.0,0.0,0.0,0.0,0.0
97,T001028 ,E007028 ,1997JJ00,0.0,0.0,0.0,0.0,0.0,0.0
98,T001028 ,E007028 ,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0
99,T001028 ,E007028 ,1999JJ00,0.0,0.0,0.0,0.0,0.0,0.0
100,T001028 ,E007028 ,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0
101,T001028 ,E007028 ,2001JJ00,0.0,0.0,0.0,0.0,0.0,0.0
102,T001028 ,E007028 ,2002JJ00,0.0,0.0,0.0,0.0,0.0,0.0
103,T001028 ,E007028 ,2003JJ00,134.0,0.01,134.0,0.0,,
104,T001028 ,E007028 ,2004JJ00,134.0,0.01,134.0,0.0,,
105,T001028 ,E007028 ,2005JJ00,101.0,0.0,101.0,0.0,,
106,T001028 ,E007028 ,2006JJ00,1766.0,0.08,1766.0,0.05,,
107,T001028 ,E007028 ,2007JJ00,13031.0,0.58,13031.0,0.4,,
108,T001028 ,E007028 ,2008JJ00,12048.0,0.53,12048.0,0.37,,
109,T001028 ,E007028 ,2009JJ00,15606.0,0.71,15606.0,0.48,730.0,0.43
110,T001028 ,E007028 ,2010JJ00,9577.0,0.41,9577.0,0.28,518.0,0.28
111,T001028 ,E007028 ,2011JJ00,13785.0,0.63,13790.0,0.43,812.0,0.48
112,T001028 ,E007028 ,2012JJ00,12873.0,0.58,12877.0,0.4,807.0,0.49
113,T001028 ,E007028 ,2013JJ00,12428.0,0.56,12433.0,0.39,815.0,0.49
114,T001028 ,E007028 ,2014JJ00,14373.0,0.72,14380.0,0.47,947.0,0.6
115,T001028 ,E007028 ,2015JJ00,12571.0,0.61,12576.0,0.4,793.0,0.48
116,T001028 ,E007028 ,2016JJ00,9902.0,0.47,9907.0,0.31,652.0,0.39
117,T001028 ,E007028 ,2017JJ00,12691.0,0.6,12703.0,0.4,874.0,0.53
118,T001028 ,E007028 ,2018JJ00,21242.0,1.0,21262.0,0.68,1482.0,0.92
119,T001028 ,E007028 ,2019JJ00,26723.0,1.28,26758.0,0.87,1951.0,1.26
120,E006587 ,E007022 ,1990JJ00,306.0,0.02,818.0,0.03,59.0,0.04
121,E006587 ,E007022 ,1991JJ00,340.0,0.02,910.0,0.03,63.0,0.04
122,E006587 ,E007022 ,1992JJ00,371.0,0.02,994.0,0.03,68.0,0.04
123,E006587 ,E007022 ,1993JJ00,361.0,0.02,975.0,0.03,67.0,0.04
124,E006587 ,E007022 ,1994JJ00,361.0,0.02,972.0,0.03,68.0,0.04
125,E006587 ,E007022 ,1995JJ00,353.0,0.02,945.0,0.03,67.0,0.04
126,E006587 ,E007022 ,1996JJ00,344.0,0.02,898.0,0.03,63.0,0.03
127,E006587 ,E007022 ,1997JJ00,342.0,0.02,856.0,0.03,62.0,0.04
128,E006587 ,E007022 ,1998JJ00,349.0,0.02,871.0,0.03,62.0,0.03
129,E006587 ,E007022 ,1999JJ00,347.0,0.02,867.0,0.03,60.0,0.04
130,E006587 ,E007022 ,2000JJ00,362.0,0.02,911.0,0.03,65.0,0.04
131,E006587 ,E007022 ,2001JJ00,367.0,0.02,938.0,0.03,66.0,0.04
132,E006587 ,E007022 ,2002JJ00,369.0,0.02,946.0,0.03,67.0,0.04
133,E006587 ,E007022 ,2003JJ00,361.0,0.02,921.0,0.03,65.0,0.04
134,E006587 ,E007022 ,2004JJ00,360.0,0.02,904.0,0.03,63.0,0.03
135,E006587 ,E007022 ,2005JJ00,361.0,0.02,904.0,0.03,62.0,0.04
136,E006587 ,E007022 ,2006JJ00,361.0,0.02,885.0,0.03,62.0,0.04
137,E006587 ,E007022 ,2007JJ00,358.0,0.02,871.0,0.03,60.0,0.03
138,E006587 ,E007022 ,2008JJ00,360.0,0.02,890.0,0.03,61.0,0.03
139,E006587 ,E007022 ,2009JJ00,360.0,0.02,872.0,0.03,60.0,0.03
140,E006587 ,E007022 ,2010JJ00,364.0,0.02,861.0,0.02,58.0,0.03
141,E006587 ,E007022 ,2011JJ00,358.0,0.02,826.0,0.03,56.0,0.03
142,E006587 ,E007022 ,2012JJ00,361.0,0.02,863.0,0.03,61.0,0.04
143,E006587 ,E007022 ,2013JJ00,362.0,0.02,854.0,0.03,63.0,0.04
144,E006587 ,E007022 ,2014JJ00,367.0,0.02,885.0,0.03,65.0,0.04
145,E006587 ,E007022 ,2015JJ00,355.0,0.02,858.0,0.03,67.0,0.04
146,E006587 ,E007022 ,2016JJ00,351.0,0.02,821.0,0.03,61.0,0.04
147,E006587 ,E007022 ,2017JJ00,339.0,0.02,761.0,0.02,56.0,0.03
148,E006587 ,E007022 ,2018JJ00,340.0,0.02,748.0,0.02,53.0,0.03
149,E006587 ,E007022 ,2019JJ00,335.0,0.02,737.0,0.02,52.0,0.03
150,E006587 ,E006607 ,1990JJ00,306.0,0.02,818.0,0.03,59.0,0.04
151,E006587 ,E006607 ,1991JJ00,340.0,0.02,910.0,0.03,63.0,0.04
152,E006587 ,E006607 ,1992JJ00,371.0,0.02,994.0,0.03,68.0,0.04
153,E006587 ,E006607 ,1993JJ00,361.0,0.02,975.0,0.03,67.0,0.04
154,E006587 ,E006607 ,1994JJ00,361.0,0.02,972.0,0.03,68.0,0.04
155,E006587 ,E006607 ,1995JJ00,353.0,0.02,945.0,0.03,67.0,0.04
156,E006587 ,E006607 ,1996JJ00,344.0,0.02,898.0,0.03,63.0,0.03
157,E006587 ,E006607 ,1997JJ00,342.0,0.02,856.0,0.03,62.0,0.04
158,E006587 ,E006607 ,1998JJ00,349.0,0.02,871.0,0.03,62.0,0.03
159,E006587 ,E006607 ,1999JJ00,347.0,0.02,867.0,0.03,60.0,0.04
160,E006587 ,E006607 ,2000JJ00,362.0,0.02,911.0,0.03,65.0,0.04
161,E006587 ,E006607 ,2001JJ00,367.0,0.02,938.0,0.03,66.0,0.04
162,E006587 ,E006607 ,2002JJ00,369.0,0.02,946.0,0.03,67.0,0.04
163,E006587 ,E006607 ,2003JJ00,361.0,0.02,921.0,0.03,65.0,0.04
164,E006587 ,E006607 ,2004JJ00,360.0,0.02,904.0,0.03,63.0,0.03
165,E006587 ,E006607 ,2005JJ00,361.0,0.02,904.0,0.03,62.0,0.04
166,E006587 ,E006607 ,2006JJ00,361.0,0.02,885.0,0.03,62.0,0.04
167,E006587 ,E006607 ,2007JJ00,358.0,0.02,871.0,0.03,60.0,0.03
168,E006587 ,E006607 ,2008JJ00,360.0,0.02,890.0,0.03,61.0,0.03
169,E006587 ,E006607 ,2009JJ00,360.0,0.02,872.0,0.03,60.0,0.03
170,E006587 ,E006607 ,2010JJ00,364.0,0.02,861.0,0.02,58.0,0.03
171,E006587 ,E006607 ,2011JJ00,358.0,0.02,826.0,0.03,56.0,0.03
172,E006587 ,E006607 ,2012JJ00,361.0,0.02,863.0,0.03,61.0,0.04
173,E006587 ,E006607 ,2013JJ00,362.0,0.02,854.0,0.03,63.0,0.04
174,E006587 ,E006607 ,2014JJ00,367.0,0.02,885.0,0.03,65.0,0.04
175,E006587 ,E006607 ,2015JJ00,355.0,0.02,858.0,0.03,67.0,0.04
176,E006587 ,E006607 ,2016JJ00,351.0,0.02,821.0,0.03,61.0,0.04
177,E006587 ,E006607 ,2017JJ00,339.0,0.02,761.0,0.02,56.0,0.03
178,E006587 ,E006607 ,2018JJ00,340.0,0.02,748.0,0.02,53.0,0.03
179,E006587 ,E006607 ,2019JJ00,335.0,0.02,737.0,0.02,52.0,0.03
180,E006587 ,E006608 ,1990JJ00,,,,,,
181,E006587 ,E006608 ,1991JJ00,,,,,,
182,E006587 ,E006608 ,1992JJ00,,,,,,
183,E006587 ,E006608 ,1993JJ00,,,,,,
184,E006587 ,E006608 ,1994JJ00,,,,,,
185,E006587 ,E006608 ,1995JJ00,,,,,,
186,E006587 ,E006608 ,1996JJ00,,,,,,
187,E006587 ,E006608 ,1997JJ00,,,,,,
188,E006587 ,E006608 ,1998JJ00,,,,,,
189,E006587 ,E006608 ,1999JJ00,,,,,,
190,E006587 ,E006608 ,2000JJ00,,,,,,
191,E006587 ,E006608 ,2001JJ00,,,,,,
192,E006587 ,E006608 ,2002JJ00,,,,,,
193,E006587 ,E006608 ,2003JJ00,,,,,,
194,E006587 ,E006608 ,2004JJ00,,,,,,
195,E006587 ,E006608 ,2005JJ00,,,,,,
196,E006587 ,E006608 ,2006JJ00,,,,,,
197,E006587 ,E006608 ,2007JJ00,,,,,,
198,E006587 ,E006608 ,2008JJ00,,,,,,
199,E006587 ,E006608 ,2009JJ00,,,,,,
200,E006587 ,E006608 ,2010JJ00,,,,,,
201,E006587 ,E006608 ,2011JJ00,,,,,,
202,E006587 ,E006608 ,2012JJ00,,,,,,
203,E006587 ,E006608 ,2013JJ00,,,,,,
204,E006587 ,E006608 ,2014JJ00,,,,,,
205,E006587 ,E006608 ,2015JJ00,,,,,,
206,E006587 ,E006608 ,2016JJ00,,,,,,
207,E006587 ,E006608 ,2017JJ00,,,,,,
208,E006587 ,E006608 ,2018JJ00,,,,,,
209,E006587 ,E006608 ,2019JJ00,,,,,,
210,E006587 ,E007028 ,1990JJ00,,,,,,
211,E006587 ,E007028 ,1991JJ00,,,,,,
212,E006587 ,E007028 ,1992JJ00,,,,,,
213,E006587 ,E007028 ,1993JJ00,,,,,,
214,E006587 ,E007028 ,1994JJ00,,,,,,
215,E006587 ,E007028 ,1995JJ00,,,,,,
216,E006587 ,E007028 ,1996JJ00,,,,,,
217,E006587 ,E007028 ,1997JJ00,,,,,,
218,E006587 ,E007028 ,1998JJ00,,,,,,
219,E006587 ,E007028 ,1999JJ00,,,,,,
220,E006587 ,E007028 ,2000JJ00,,,,,,
221,E006587 ,E007028 ,2001JJ00,,,,,,
222,E006587 ,E007028 ,2002JJ00,,,,,,
223,E006587 ,E007028 ,2003JJ00,,,,,,
224,E006587 ,E007028 ,2004JJ00,,,,,,
225,E006587 ,E007028 ,2005JJ00,,,,,,
226,E006587 ,E007028 ,2006JJ00,,,,,,
227,E006587 ,E007028 ,2007JJ00,,,,,,
228,E006587 ,E007028 ,2008JJ00,,,,,,
229,E006587 ,E007028 ,2009JJ00,,,,,,
230,E006587 ,E007028 ,2010JJ00,,,,,,
231,E006587 ,E007028 ,2011JJ00,,,,,,
232,E006587 ,E007028 ,2012JJ00,,,,,,
233,E006587 ,E007028 ,2013JJ00,,,,,,
234,E006587 ,E007028 ,2014JJ00,,,,,,
235,E006587 ,E007028 ,2015JJ00,,,,,,
236,E006587 ,E007028 ,2016JJ00,,,,,,
237,E006587 ,E007028 ,2017JJ00,,,,,,
238,E006587 ,E007028 ,2018JJ00,,,,,,
239,E006587 ,E007028 ,2019JJ00,,,,,,
240,E006588 ,E007022 ,1990JJ00,202.0,0.01,539.0,0.02,39.0,0.02
241,E006588 ,E007022 ,1991JJ00,317.0,0.02,847.0,0.03,59.0,0.03
242,E006588 ,E007022 ,1992JJ00,492.0,0.03,1319.0,0.05,90.0,0.05
243,E006588 ,E007022 ,1993JJ00,624.0,0.03,1686.0,0.06,115.0,0.07
244,E006588 ,E007022 ,1994JJ00,794.0,0.04,2140.0,0.07,150.0,0.09
245,E006588 ,E007022 ,1995JJ00,1132.0,0.06,3025.0,0.1,215.0,0.12
246,E006588 ,E007022 ,1996JJ00,1568.0,0.07,4093.0,0.13,287.0,0.16
247,E006588 ,E007022 ,1997JJ00,1761.0,0.08,4403.0,0.14,318.0,0.18
248,E006588 ,E007022 ,1998JJ00,2056.0,0.1,5128.0,0.16,365.0,0.21
249,E006588 ,E007022 ,1999JJ00,2312.0,0.11,5780.0,0.19,401.0,0.23
250,E006588 ,E007022 ,2000JJ00,2678.0,0.13,6745.0,0.22,481.0,0.28
251,E006588 ,E007022 ,2001JJ00,2958.0,0.14,7565.0,0.24,536.0,0.3
252,E006588 ,E007022 ,2002JJ00,3672.0,0.17,9416.0,0.29,666.0,0.38
253,E006588 ,E007022 ,2003JJ00,4892.0,0.22,12479.0,0.37,877.0,0.49
254,E006588 ,E007022 ,2004JJ00,6347.0,0.27,15946.0,0.47,1110.0,0.61
255,E006588 ,E007022 ,2005JJ00,7321.0,0.32,18348.0,0.55,1264.0,0.71
256,E006588 ,E007022 ,2006JJ00,9145.0,0.4,22414.0,0.68,1567.0,0.91
257,E006588 ,E007022 ,2007JJ00,11396.0,0.51,27728.0,0.84,1913.0,1.11
258,E006588 ,E007022 ,2008JJ00,14131.0,0.62,34890.0,1.07,2404.0,1.37
259,E006588 ,E007022 ,2009JJ00,16131.0,0.73,39058.0,1.21,2668.0,1.57
260,E006588 ,E007022 ,2010JJ00,16210.0,0.69,38320.0,1.1,2583.0,1.42
261,E006588 ,E007022 ,2011JJ00,17010.0,0.78,39367.0,1.22,2653.0,1.57
262,E006588 ,E007022 ,2012JJ00,17780.0,0.81,42378.0,1.3,3013.0,1.81
263,E006588 ,E007022 ,2013JJ00,19324.0,0.88,45298.0,1.43,3334.0,2.01
264,E006588 ,E007022 ,2014JJ00,20914.0,1.04,50020.0,1.65,3676.0,2.31
265,E006588 ,E007022 ,2015JJ00,24900.0,1.2,60218.0,1.93,4691.0,2.81
266,E006588 ,E007022 ,2016JJ00,30110.0,1.44,73216.0,2.32,5462.0,3.27
267,E006588 ,E007022 ,2017JJ00,34710.0,1.64,82374.0,2.6,6022.0,3.65
268,E006588 ,E007022 ,2018JJ00,36106.0,1.71,82553.0,2.65,5836.0,3.63
269,E006588 ,E007022 ,2019JJ00,38785.0,1.85,86793.0,2.83,6136.0,3.95
270,E006588 ,E006607 ,1990JJ00,202.0,0.01,539.0,0.02,39.0,0.02
271,E006588 ,E006607 ,1991JJ00,317.0,0.02,847.0,0.03,59.0,0.03
272,E006588 ,E006607 ,1992JJ00,492.0,0.03,1319.0,0.05,90.0,0.05
273,E006588 ,E006607 ,1993JJ00,624.0,0.03,1686.0,0.06,115.0,0.07
274,E006588 ,E006607 ,1994JJ00,794.0,0.04,2140.0,0.07,150.0,0.09
275,E006588 ,E006607 ,1995JJ00,1132.0,0.06,3025.0,0.1,215.0,0.12
276,E006588 ,E006607 ,1996JJ00,1568.0,0.07,4093.0,0.13,287.0,0.16
277,E006588 ,E006607 ,1997JJ00,1761.0,0.08,4403.0,0.14,318.0,0.18
278,E006588 ,E006607 ,1998JJ00,2056.0,0.1,5128.0,0.16,365.0,0.21
279,E006588 ,E006607 ,1999JJ00,2312.0,0.11,5780.0,0.19,401.0,0.23
280,E006588 ,E006607 ,2000JJ00,2678.0,0.13,6745.0,0.22,481.0,0.28
281,E006588 ,E006607 ,2001JJ00,2958.0,0.14,7565.0,0.24,536.0,0.3
282,E006588 ,E006607 ,2002JJ00,3672.0,0.17,9416.0,0.29,666.0,0.38
283,E006588 ,E006607 ,2003JJ00,4892.0,0.22,12479.0,0.37,877.0,0.49
284,E006588 ,E006607 ,2004JJ00,6347.0,0.27,15946.0,0.47,1110.0,0.61
285,E006588 ,E006607 ,2005JJ00,7321.0,0.32,18348.0,0.55,1264.0,0.71
286,E006588 ,E006607 ,2006JJ00,9145.0,0.4,22414.0,0.68,1567.0,0.91
287,E006588 ,E006607 ,2007JJ00,11396.0,0.51,27728.0,0.84,1913.0,1.11
288,E006588 ,E006607 ,2008JJ00,14131.0,0.62,34890.0,1.07,2404.0,1.37
289,E006588 ,E006607 ,2009JJ00,16131.0,0.73,39058.0,1.21,2668.0,1.57
290,E006588 ,E006607 ,2010JJ00,16210.0,0.69,38320.0,1.1,2583.0,1.42
291,E006588 ,E006607 ,2011JJ00,17010.0,0.78,39367.0,1.22,2653.0,1.57
292,E006588 ,E006607 ,2012JJ00,17780.0,0.81,42378.0,1.3,3013.0,1.81
293,E006588 ,E006607 ,2013JJ00,19324.0,0.88,45298.0,1.43,3334.0,2.01
294,E006588 ,E006607 ,2014JJ00,20914.0,1.04,50020.0,1.65,3676.0,2.31
295,E006588 ,E006607 ,2015JJ00,24900.0,1.2,60218.0,1.93,4691.0,2.81
296,E006588 ,E006607 ,2016JJ00,30110.0,1.44,73216.0,2.32,5462.0,3.27
297,E006588 ,E006607 ,2017JJ00,34710.0,1.64,82374.0,2.6,6022.0,3.65
298,E006588 ,E006607 ,2018JJ00,36106.0,1.71,82553.0,2.65,5836.0,3.63
299,E006588 ,E006607 ,2019JJ00,38785.0,1.85,86793.0,2.83,6136.0,3.95
300,E006588 ,E006608 ,1990JJ00,,,,,,
301,E006588 ,E006608 ,1991JJ00,,,,,,
302,E006588 ,E006608 ,1992JJ00,,,,,,
303,E006588 ,E006608 ,1993JJ00,,,,,,
304,E006588 ,E006608 ,1994JJ00,,,,,,
305,E006588 ,E006608 ,1995JJ00,,,,,,
306,E006588 ,E006608 ,1996JJ00,,,,,,
307,E006588 ,E006608 ,1997JJ00,,,,,,
308,E006588 ,E006608 ,1998JJ00,,,,,,
309,E006588 ,E006608 ,1999JJ00,,,,,,
310,E006588 ,E006608 ,2000JJ00,,,,,,
311,E006588 ,E006608 ,2001JJ00,,,,,,
312,E006588 ,E006608 ,2002JJ00,,,,,,
313,E006588 ,E006608 ,2003JJ00,,,,,,
314,E006588 ,E006608 ,2004JJ00,,,,,,
315,E006588 ,E006608 ,2005JJ00,,,,,,
316,E006588 ,E006608 ,2006JJ00,,,,,,
317,E006588 ,E006608 ,2007JJ00,,,,,,
318,E006588 ,E006608 ,2008JJ00,,,,,,
319,E006588 ,E006608 ,2009JJ00,,,,,,
320,E006588 ,E006608 ,2010JJ00,,,,,,
321,E006588 ,E006608 ,2011JJ00,,,,,,
322,E006588 ,E006608 ,2012JJ00,,,,,,
323,E006588 ,E006608 ,2013JJ00,,,,,,
324,E006588 ,E006608 ,2014JJ00,,,,,,
325,E006588 ,E006608 ,2015JJ00,,,,,,
326,E006588 ,E006608 ,2016JJ00,,,,,,
327,E006588 ,E006608 ,2017JJ00,,,,,,
328,E006588 ,E006608 ,2018JJ00,,,,,,
329,E006588 ,E006608 ,2019JJ00,,,,,,
330,E006588 ,E007028 ,1990JJ00,,,,,,
331,E006588 ,E007028 ,1991JJ00,,,,,,
332,E006588 ,E007028 ,1992JJ00,,,,,,
333,E006588 ,E007028 ,1993JJ00,,,,,,
334,E006588 ,E007028 ,1994JJ00,,,,,,
335,E006588 ,E007028 ,1995JJ00,,,,,,
336,E006588 ,E007028 ,1996JJ00,,,,,,
337,E006588 ,E007028 ,1997JJ00,,,,,,
338,E006588 ,E007028 ,1998JJ00,,,,,,
