ID,Energiedragers,Perioden,EnergieverbruikInDeSectorHuishoudens_1
100,3 ,1991JJ00,9.77
101,3 ,1992JJ00,9.07
102,3 ,1993JJ00,9.65
103,3 ,1994JJ00,8.35
104,3 ,1995JJ00,5.75
105,3 ,1996JJ00,5.16
106,3 ,1997JJ00,3.91
107,3 ,1998JJ00,3.73
108,3 ,1999JJ00,3.49
109,3 ,2000JJ00,3.13
110,3 ,2001JJ00,2.91
111,3 ,2002JJ00,2.6
112,3 ,2003JJ00,2.36
113,3 ,2004JJ00,2.13
114,3 ,2005JJ00,1.85
115,3 ,2006JJ00,1.75
116,3 ,2007JJ00,1.69
117,3 ,2008JJ00,1.77
118,3 ,2009JJ00,1.77
119,3 ,2010JJ00,1.95
120,3 ,2011JJ00,1.67
121,3 ,2012JJ00,1.77
122,3 ,2013JJ00,1.85
123,3 ,2014JJ00,1.54
124,3 ,2015JJ00,1.54
125,3 ,2016JJ00,1.54
126,4 ,1975JJ00,15.84
127,4 ,1976JJ00,18.94
128,4 ,1977JJ00,18.96
129,4 ,1978JJ00,18.02
130,4 ,1979JJ00,13.93
131,4 ,1980JJ00,8.85
132,4 ,1981JJ00,9.1
133,4 ,1982JJ00,8.85
134,4 ,1983JJ00,8.1
135,4 ,1984JJ00,5.0
136,4 ,1985JJ00,2.5
137,4 ,1986JJ00,2.3
138,4 ,1987JJ00,2.28
139,4 ,1988JJ00,2.06
140,4 ,1989JJ00,2.17
141,4 ,1990JJ00,2.09
142,4 ,1991JJ00,1.99
143,4 ,1992JJ00,1.85
144,4 ,1993JJ00,1.99
145,4 ,1994JJ00,1.49
146,4 ,1995JJ00,1.0
147,4 ,1996JJ00,1.37
148,4 ,1997JJ00,1.02
149,4 ,1998JJ00,1.09
150,4 ,1999JJ00,1.11
151,4 ,2000JJ00,1.0
152,4 ,2001JJ00,1.03
153,4 ,2002JJ00,0.97
154,4 ,2003JJ00,0.99
155,4 ,2004JJ00,1.02
156,4 ,2005JJ00,0.99
157,4 ,2006JJ00,1.14
158,4 ,2007JJ00,1.08
159,4 ,2008JJ00,1.17
160,4 ,2009JJ00,1.18
161,4 ,2010JJ00,1.36
162,4 ,2011JJ00,1.09
163,4 ,2012JJ00,1.19
164,4 ,2013JJ00,1.28
165,4 ,2014JJ00,0.97
166,4 ,2015JJ00,0.97
167,4 ,2016JJ00,0.97
168,5 ,1975JJ00,8.92
169,5 ,1976JJ00,9.9
170,5 ,1977JJ00,10.86
171,5 ,1978JJ00,9.98
172,5 ,1979JJ00,9.03
173,5 ,1980JJ00,6.1
174,5 ,1981JJ00,5.1
175,5 ,1982JJ00,4.05
176,5 ,1983JJ00,4.0
177,5 ,1984JJ00,1.27
178,5 ,1985JJ00,1.4
179,5 ,1986JJ00,1.4
180,5 ,1987JJ00,1.29
181,5 ,1988JJ00,1.16
182,5 ,1989JJ00,1.14
183,5 ,1990JJ00,1.03
184,5 ,1991JJ00,0.95
185,5 ,1992JJ00,0.88
186,5 ,1993JJ00,0.91
187,5 ,1994JJ00,0.69
188,5 ,1995JJ00,0.69
189,5 ,1996JJ00,0.8
190,5 ,1997JJ00,0.6
191,5 ,1998JJ00,0.57
192,5 ,1999JJ00,0.54
193,5 ,2000JJ00,0.5
194,5 ,2001JJ00,0.47
195,5 ,2002JJ00,0.44
196,5 ,2003JJ00,0.41
197,5 ,2004JJ00,0.37
198,5 ,2005JJ00,0.34
199,5 ,2006JJ00,0.31
200,5 ,2007JJ00,0.3
201,5 ,2008JJ00,0.3
202,5 ,2009JJ00,0.29
203,5 ,2010JJ00,0.29
204,5 ,2011JJ00,0.28
205,5 ,2012JJ00,0.27
206,5 ,2013JJ00,0.27
207,5 ,2014JJ00,0.26
208,5 ,2015JJ00,0.26
209,5 ,2016JJ00,0.26
210,6 ,1975JJ00,38.85
211,6 ,1976JJ00,40.97
212,6 ,1977JJ00,42.78
213,6 ,1978JJ00,36.95
214,6 ,1979JJ00,35.93
215,6 ,1980JJ00,28.9
216,6 ,1981JJ00,31.08
217,6 ,1982JJ00,25.65
218,6 ,1983JJ00,23.14
219,6 ,1984JJ00,14.73
220,6 ,1985JJ00,11.6
221,6 ,1986JJ00,11.2
222,6 ,1987JJ00,9.82
223,6 ,1988JJ00,7.69
224,6 ,1989JJ00,7.26
225,6 ,1990JJ00,7.05
226,6 ,1991JJ00,6.83
227,6 ,1992JJ00,6.34
228,6 ,1993JJ00,6.75
229,6 ,1994JJ00,6.17
230,6 ,1995JJ00,4.06
231,6 ,1996JJ00,2.99
232,6 ,1997JJ00,2.29
233,6 ,1998JJ00,2.07
234,6 ,1999JJ00,1.85
235,6 ,2000JJ00,1.63
236,6 ,2001JJ00,1.41
237,6 ,2002JJ00,1.19
238,6 ,2003JJ00,0.97
239,6 ,2004JJ00,0.74
240,6 ,2005JJ00,0.52
241,6 ,2006JJ00,0.3
242,6 ,2007JJ00,0.3
243,6 ,2008JJ00,0.3
244,6 ,2009JJ00,0.3
245,6 ,2010JJ00,0.3
246,6 ,2011JJ00,0.3
247,6 ,2012JJ00,0.3
248,6 ,2013JJ00,0.3
249,6 ,2014JJ00,0.3
250,6 ,2015JJ00,0.3
251,6 ,2016JJ00,0.3
252,7 ,1975JJ00,339.32
253,7 ,1976JJ00,331.5
254,7 ,1977JJ00,378.8
255,7 ,1978JJ00,415.16
256,7 ,1979JJ00,457.74
257,7 ,1980JJ00,412.98
