ID,Toepassingsgroepen,SectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikGeheleJaar_3,GebruikPerHectare_4,GebruikInJanuari_5,GebruikInFebruari_6,GebruikInMaart_7,GebruikInApril_8,GebruikInMei_9,GebruikInJuni_10,GebruikInJuli_11,GebruikInAugustus_12,GebruikInSeptember_13,GebruikInOktober_14,GebruikInNovember_15,GebruikInDecember_16,MinimaalGebruik_17,GemiddeldLaagGebruik_18,GemiddeldGebruik_19,GemiddeldHoogGebruik_20,MaximaalGebruik_21
66,TOTAAL,KOO,2000JJ00,108,854,1022,1.2,20.4,0.0,0.0,14.0,5.0,2.7,0.0,2.1,45.9,9.8,0.0,0.0,0.0,0.2,1.2,3.2,6.0
67,TOTAAL,KOO,2004JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,TOTAAL,VLA,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,TOTAAL,VLA,1998JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,TOTAAL,VLA,2000JJ00,684,4379,7357,1.7,6.3,0.0,0.0,26.3,65.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.7,3.7,6.5
71,TOTAAL,VLA,2004JJ00,595,4461,7916,1.8,18.6,0.0,0.0,14.9,62.8,3.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,TOTAAL,GRA,1995JJ00,2930,21893,40142,1.8,14.1,0.0,0.0,36.5,21.1,7.6,1.0,3.2,7.8,8.6,0.0,0.0,0.1,0.3,1.8,4.5,9.6
73,TOTAAL,GRA,1998JJ00,3589,28418,40075,1.4,16.3,0.0,0.0,39.8,22.6,10.4,4.9,1.5,4.2,0.4,0.0,0.0,0.1,0.3,1.4,2.7,7.1
74,TOTAAL,GRA,2000JJ00,2773,21960,35676,1.6,11.0,0.0,0.0,45.8,21.1,6.4,1.9,6.7,3.9,3.3,0.0,0.0,0.0,0.5,1.6,3.2,5.0
75,TOTAAL,GRA,2004JJ00,2748,25325,39133,1.5,14.3,0.0,0.0,29.5,19.0,15.8,3.2,3.2,9.2,5.7,0.0,0.0,0.0,0.4,1.545248,3.1,5.9
76,TOTAAL,POO,1995JJ00,3346,37799,784478,20.8,0.2,0.0,0.0,7.4,10.3,29.0,34.1,17.6,1.4,0.1,0.0,0.0,2.6,5.6,20.8,71.0,138.3
77,TOTAAL,POO,1998JJ00,3276,39948,666723,16.7,0.1,0.0,0.0,1.9,13.9,37.2,33.5,11.8,1.2,0.4,0.0,0.0,3.2,6.6,16.7,33.6,100.6
78,TOTAAL,POO,2000JJ00,3319,41802,598534,14.3,0.1,0.0,0.0,6.4,19.1,38.0,29.1,6.2,0.9,0.2,0.0,0.0,2.6,5.1,14.3,29.2,68.1
79,TOTAAL,POO,2004JJ00,2451,39739,567685,14.3,0.7,0.0,0.0,13.5,18.8,36.3,23.9,5.2,1.5,0.3,0.0,0.0,1.7,4.5,14.28533,34.3,74.1
80,TOTAAL,CON,1995JJ00,12977,80157,926635,11.6,0.1,0.0,0.0,4.5,13.2,28.1,25.3,18.5,10.2,0.1,0.0,0.0,0.4,3.5,11.6,20.8,32.5
81,TOTAAL,CON,1998JJ00,11696,84391,1197182,14.2,0.2,0.0,0.0,0.8,11.9,32.7,29.6,15.0,9.3,0.5,0.0,0.0,0.8,4.7,14.2,22.6,32.1
82,TOTAAL,CON,2000JJ00,11136,87441,1066063,12.2,0.4,0.0,0.0,2.0,19.3,29.6,26.7,14.6,6.6,0.9,0.0,0.0,0.8,3.5,12.2,20.2,40.4
83,TOTAAL,CON,2004JJ00,8013,72669,820217,11.3,0.9,0.0,0.0,4.8,18.4,30.0,23.4,15.6,5.9,1.0,0.0,0.0,1.2,4.1,11.28702,20.1,26.3
84,TOTAAL,ZET,1995JJ00,3735,61345,652277,10.6,0.5,0.0,0.0,8.3,12.8,13.2,32.4,19.8,11.6,1.4,0.0,0.0,1.1,3.7,10.6,17.0,25.1
85,TOTAAL,ZET,1998JJ00,3516,56962,627750,11.0,0.6,0.0,0.0,6.6,9.2,21.1,32.4,20.6,9.2,0.3,0.0,0.0,2.0,2.6,11.0,19.8,24.0
86,TOTAAL,ZET,2000JJ00,2918,50958,616715,12.1,0.0,0.0,0.0,5.0,10.4,29.8,30.1,19.9,4.8,0.0,0.0,0.0,1.4,2.4,12.1,22.4,26.3
87,TOTAAL,ZET,2004JJ00,2163,51496,653439,12.7,0.4,0.0,0.0,6.3,5.4,37.5,34.1,12.3,3.7,0.2,0.0,0.0,1.2,2.5,12.68912,18.6,26.0
88,TOTAAL,SUI,1995JJ00,19189,116081,414059,3.6,0.7,0.0,0.0,30.1,50.8,14.0,3.8,0.2,0.3,0.1,0.0,0.0,0.7,1.4,3.6,7.1,9.4
89,TOTAAL,SUI,1998JJ00,18256,113032,394651,3.5,1.6,0.0,0.0,14.7,56.5,23.1,1.9,1.3,0.9,0.0,0.0,0.0,0.5,1.5,3.5,6.2,15.8
90,TOTAAL,SUI,2000JJ00,17098,110981,394753,3.6,1.1,0.0,0.0,23.9,58.8,15.0,0.5,0.4,0.3,0.0,0.0,0.0,0.1,1.7,3.6,6.0,10.3
91,TOTAAL,SUI,2004JJ00,14001,97736,332614,3.4,4.3,0.0,0.0,32.2,51.0,11.6,0.4,0.2,0.2,0.0,0.0,0.0,0.5,1.7,3.403188,5.5,8.2
92,TOTAAL,SNY,1995JJ00,39085,219217,680642,3.1,0.0,0.0,0.0,3.2,42.2,51.2,3.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,3.2,6.2,9.7
93,TOTAAL,SNY,1998JJ00,35922,219940,431965,2.0,0.1,0.0,0.0,7.3,43.6,40.1,8.4,0.3,0.0,0.1,0.0,0.0,0.0,0.7,2.0,4.1,10.6
94,TOTAAL,SNY,2000JJ00,31236,205321,162769,0.8,1.2,0.0,0.0,1.1,34.5,61.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.6,4.2
95,TOTAAL,SNY,2004JJ00,27976,224468,192624,0.9,3.2,0.0,0.0,1.8,21.1,69.8,2.3,0.0,0.0,1.7,0.0,0.0,0.1,0.5,0.858134,1.3,2.8
96,TOTAAL,PUI,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,TOTAAL,PUI,1998JJ00,1046,4505,98771,21.9,8.2,0.0,0.0,10.0,17.9,35.3,25.8,2.7,0.0,0.0,0.0,0.0,4.9,10.2,21.9,31.3,41.3
98,TOTAAL,PUI,2000JJ00,1116,5282,108661,20.6,3.7,0.0,0.0,11.8,21.6,38.2,22.5,2.2,0.0,0.0,0.0,0.0,3.7,7.1,20.6,32.4,41.0
99,TOTAAL,PUI,2004JJ00,891,5603,108325,19.3,1.7,0.0,0.0,10.9,16.6,46.4,23.7,0.7,0.0,0.0,0.0,0.0,10.0,11.4,19.33336,30.7,36.2
100,TOTAAL,ZUI,1995JJ00,3030,11659,201357,17.3,1.5,0.0,0.0,15.8,11.2,17.0,34.0,19.6,0.8,0.0,0.0,0.0,5.0,10.3,17.5,25.1,33.4
101,TOTAAL,ZUI,1998JJ00,2985,13225,306386,23.2,0.8,0.0,0.0,6.8,9.9,19.8,32.0,27.5,3.1,0.0,0.0,0.0,2.6,13.7,23.2,33.7,43.0
102,TOTAAL,ZUI,2000JJ00,2968,13988,297914,21.3,1.2,0.0,0.0,12.6,8.1,18.6,34.5,24.6,0.5,0.0,0.0,0.0,2.8,9.0,21.3,31.1,42.5
103,TOTAAL,ZUI,2004JJ00,3172,19888,412293,20.7,0.9,0.0,0.0,7.2,4.0,23.8,39.0,25.1,0.0,0.0,0.0,0.0,5.8,9.8,20.73077,29.6,34.1
104,TOTAAL,CIC,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,TOTAAL,CIC,1998JJ00,918,4196,13716,3.3,6.6,0.0,0.0,35.2,45.9,10.1,1.6,0.6,0.0,0.0,0.0,0.0,0.9,1.5,3.3,4.9,6.8
106,TOTAAL,CIC,2000JJ00,913,4756,14199,3.0,6.1,0.0,0.0,62.5,26.6,2.2,0.6,0.0,2.0,0.0,0.0,0.0,0.6,1.6,3.0,4.8,6.9
107,TOTAAL,CIC,2004JJ00,932,4917,17009,3.5,7.1,0.0,0.0,42.9,36.4,9.4,2.5,1.0,0.7,0.0,0.0,0.0,0.8,1.3,3.45921,6.5,8.3
108,TOTAAL,AAR,1995JJ00,1491,1763,17237,9.8,0.9,0.0,0.0,6.5,17.7,16.5,14.7,17.3,16.4,9.9,0.0,0.0,0.8,2.9,9.8,26.1,50.4
109,TOTAAL,AAR,1998JJ00,1310,1968,16701,8.5,5.1,0.0,0.0,7.4,19.6,15.7,17.4,16.5,9.2,9.1,0.0,0.0,0.9,1.7,8.5,18.5,21.8
110,TOTAAL,AAR,2000JJ00,1005,1746,15687,9.0,2.1,0.0,0.0,11.3,25.0,22.2,14.2,12.7,9.0,3.4,0.0,0.0,1.3,2.8,9.0,17.4,55.0
111,TOTAAL,AAR,2004JJ00,750,2128,22673,10.7,2.9,0.0,0.0,6.6,17.8,18.7,18.2,13.9,9.7,12.1,0.0,0.0,1.3,2.6,10.65468,18.1,50.0
112,TOTAAL,ASP,1995JJ00,1789,2324,14099,6.1,1.7,0.0,0.0,3.4,4.4,17.9,17.2,33.0,20.3,2.1,0.0,0.0,0.0,1.0,6.2,13.6,26.7
113,TOTAAL,ASP,1998JJ00,1591,2304,15230,6.6,1.6,0.0,0.0,1.5,5.3,16.5,17.5,38.6,18.4,0.6,0.0,0.0,0.2,1.1,6.6,17.3,26.9
114,TOTAAL,ASP,2000JJ00,1370,2084,17347,8.3,1.1,0.0,0.0,1.2,6.8,20.1,17.2,39.1,14.4,0.0,0.0,0.0,0.1,1.0,8.3,16.2,26.4
115,TOTAAL,ASP,2004JJ00,1032,2361,10118,4.3,2.2,0.0,0.0,4.9,4.3,22.6,18.5,30.4,17.0,0.0,0.0,0.0,0.0,1.2,4.285311,10.9,15.9
116,TOTAAL,PRE,1995JJ00,1663,3854,27099,7.0,1.2,0.0,0.0,2.2,4.3,6.2,21.3,21.2,22.7,20.9,0.0,0.0,0.2,1.7,7.0,18.3,95.1
117,TOTAAL,PRE,1998JJ00,1360,3641,30114,8.3,3.5,0.0,0.0,6.3,3.5,9.5,14.4,17.8,28.3,16.7,0.0,0.0,0.0,1.2,8.3,13.0,16.0
118,TOTAAL,PRE,2000JJ00,1035,3184,24133,7.6,2.4,0.0,0.0,1.8,2.2,6.8,13.7,26.3,27.2,19.6,0.0,0.0,0.0,2.4,7.6,12.4,22.0
119,TOTAAL,PRE,2004JJ00,735,3038,22972,7.6,0.5,0.0,0.0,1.8,1.4,3.9,15.1,22.0,30.4,24.7,0.0,0.0,0.0,3.3,7.561414,11.2,20.8
120,TOTAAL,SCH,1995JJ00,458,1480,20052,13.5,0.0,0.0,0.0,8.1,10.4,5.4,30.9,31.2,12.7,1.2,0.0,0.0,1.6,3.3,13.5,26.2,31.4
121,TOTAAL,SCH,1998JJ00,477,1839,24441,13.3,0.0,0.0,0.0,4.5,8.8,14.9,40.8,25.5,5.5,0.0,0.0,0.0,4.2,5.8,13.3,27.0,38.3
122,TOTAAL,SCH,2000JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,TOTAAL,SCH,2004JJ00,233,1020,9706,9.5,0.0,0.0,0.0,9.9,7.9,8.9,40.2,26.8,6.3,0.0,0.0,0.0,0.9,2.5,9.515276,20.7,25.6
124,TOTAAL,SCZ,1995JJ00,0,0,8255,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,TOTAAL,SCZ,1998JJ00,0,0,12062,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,TOTAAL,SCZ,2000JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,TOTAAL,SCZ,2004JJ00,0,0,2706,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,TOTAAL,BLK,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,TOTAAL,BLK,1998JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,TOTAAL,BLK,2000JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,TOTAAL,BLK,2004JJ00,444,2320,2794,1.2,2.6,0.0,0.0,2.4,3.3,19.0,27.7,25.5,16.1,3.5,0.0,0.0,0.0,0.2,1.204155,2.1,3.8
132,TOTAAL,SLA,1995JJ00,586,1042,5159,5.0,3.6,0.0,0.0,4.4,11.2,21.0,22.5,22.6,14.2,0.4,0.0,0.0,0.9,1.3,5.0,16.7,26.7
