ID,Energiedragers,BedrijfstakkenBranchesSBI2008,Perioden,TotaalEnergieverbruik_1,FinaalEnergieverbruik_2,NietEnergetischGebruik_3,SaldoInzetProductieEnergie_4,InzetEnergieVoorOmzetting_5,ProductieEnergieUitOmzetting_6,TotaalEnergieverbruik_7,Winning_8,EnergieAanvoer_9,EnergieAflevering_10,Voorraadmutatie_11
34,E006458   ,300002,2015JJ00,1814.8,728.1,552.7,534.0,3870.3,3336.3,1814.8,2114.8,10925.1,,
35,E006458   ,300002,2016JJ00,1820.8,743.6,557.0,520.2,3908.4,3388.2,1820.8,1979.6,10849.0,,
36,E006458   ,305700,2011JJ00,38.2,37.9,,0.3,2.9,2.6,38.2,2480.4,702.9,3142.8,-2.2
37,E006458   ,305700,2012JJ00,40.6,40.3,,0.3,3.4,3.1,40.6,2467.5,797.1,3219.7,-4.3
38,E006458   ,305700,2013JJ00,46.4,45.9,,0.5,9.6,9.1,46.4,2651.3,827.7,3434.1,1.6
39,E006458   ,305700,2014JJ00,40.2,39.8,,0.4,8.4,8.0,40.2,2263.8,887.0,3027.0,-83.6
40,E006458   ,305700,2015JJ00,39.8,39.5,,0.3,1.8,1.5,39.8,1857.2,17.3,1840.8,6.0
41,E006458   ,305700,2016JJ00,39.1,39.0,,0.1,0.5,0.4,39.1,1725.0,15.1,1699.3,-1.8
42,E006458   ,305800,2011JJ00,32.1,32.0,,0.1,1.0,0.9,32.1,2480.4,696.6,3142.6,-2.2
43,E006458   ,305800,2012JJ00,34.1,34.0,,0.1,1.5,1.4,34.1,2467.5,789.5,3218.6,-4.3
44,E006458   ,305800,2013JJ00,40.2,39.9,,0.3,7.7,7.4,40.2,2651.3,819.9,3432.6,1.6
45,E006458   ,305800,2014JJ00,36.2,35.9,,0.3,7.4,7.1,36.2,2263.8,882.8,3026.8,-83.6
46,E006458   ,305800,2015JJ00,34.6,34.3,,,,,34.6,1857.2,12.1,1840.8,6.0
47,E006458   ,305800,2016JJ00,34.0,33.9,,,,,34.0,1725.0,10.1,1699.3,-1.8
48,E006458   ,306300,2011JJ00,6.0,5.8,,0.2,1.9,1.7,6.0,,6.2,0.2,0.0
49,E006458   ,306300,2012JJ00,6.4,6.2,,0.2,1.9,1.7,6.4,,6.6,0.2,0.0
50,E006458   ,306300,2013JJ00,6.1,5.9,,0.2,1.9,1.7,6.1,,6.3,0.2,0.0
51,E006458   ,306300,2014JJ00,3.9,3.8,,0.1,1.0,0.9,3.9,,4.2,0.2,0.0
52,E006458   ,306300,2015JJ00,5.1,5.1,,,,,5.1,,5.1,,0.0
53,E006458   ,306300,2016JJ00,4.9,4.9,,,,,4.9,,4.9,,0.0
54,E006458   ,307000,2011JJ00,0.0,0.0,,,,,0.0,,0.0,,
55,E006458   ,307000,2012JJ00,0.1,0.1,,,,,0.1,,0.9,0.8,
56,E006458   ,307000,2013JJ00,0.1,0.1,,,,,0.1,,1.4,1.4,
57,E006458   ,307000,2014JJ00,0.1,0.1,,,,,0.1,,0.1,,
58,E006458   ,307000,2015JJ00,0.1,0.1,,,,,0.1,,0.1,,
59,E006458   ,307000,2016JJ00,0.1,0.1,,,,,0.1,,0.1,,
60,E006458   ,307500,2011JJ00,1394.0,690.5,562.6,140.9,2944.1,2803.2,1394.0,24.2,6073.6,4775.6,71.9
61,E006458   ,307500,2012JJ00,1388.6,661.4,581.7,145.5,2943.1,2797.6,1388.6,24.5,6017.0,4613.1,-39.7
62,E006458   ,307500,2013JJ00,1355.3,645.5,572.0,137.7,2858.1,2720.4,1355.3,26.2,5724.3,4413.8,18.5
63,E006458   ,307500,2014JJ00,1357.4,635.6,576.0,145.8,2922.0,2776.2,1357.4,33.5,5901.6,4565.8,-11.8
64,E006458   ,307500,2015JJ00,1338.3,642.2,552.7,143.4,3026.7,2883.3,1338.3,90.9,6153.9,4874.8,-31.7
65,E006458   ,307500,2016JJ00,1348.9,659.6,557.0,132.3,3058.9,2926.6,1348.9,84.2,5976.0,4744.7,33.4
66,E006458   ,307610,2011JJ00,85.2,79.4,0.3,5.5,25.6,20.1,85.2,1.0,85.9,1.8,0.0
67,E006458   ,307610,2012JJ00,81.1,77.4,0.2,3.5,22.9,19.5,81.1,1.1,82.2,2.3,0.0
68,E006458   ,307610,2013JJ00,80.2,76.4,0.3,3.5,22.7,19.2,80.2,2.1,80.4,2.2,-0.1
69,E006458   ,307610,2014JJ00,85.0,81.4,0.3,3.3,22.2,18.8,85.0,2.2,85.1,2.4,0.0
70,E006458   ,307610,2015JJ00,88.5,84.7,0.3,3.5,21.1,17.6,88.5,6.2,89.0,6.7,0.0
71,E006458   ,307610,2016JJ00,90.2,87.2,0.2,2.8,19.0,16.2,90.2,6.5,91.0,7.1,-0.2
72,E006458   ,307600,2011JJ00,79.7,74.1,0.3,5.2,23.6,18.4,79.7,0.8,80.6,1.8,0.0
73,E006458   ,307600,2012JJ00,75.7,72.2,0.2,3.2,21.0,17.7,75.7,1.0,77.0,2.2,0.0
74,E006458   ,307600,2013JJ00,74.8,71.3,0.3,3.3,20.8,17.5,74.8,1.9,75.2,2.2,-0.1
75,E006458   ,307600,2014JJ00,80.3,77.0,0.3,3.1,20.2,17.1,80.3,2.0,80.6,2.3,0.0
76,E006458   ,307600,2015JJ00,83.8,80.5,0.3,3.1,19.1,16.1,83.8,6.0,84.4,6.7,0.0
77,E006458   ,307600,2016JJ00,85.7,82.8,0.2,2.6,17.4,14.8,85.7,6.4,86.6,7.1,-0.2
78,E006458   ,307700,2011JJ00,5.5,5.5,,0.0,0.0,0.0,5.5,,5.5,0.0,
79,E006458   ,307700,2012JJ00,4.7,4.6,,0.0,0.1,0.0,4.7,,4.8,0.1,
80,E006458   ,307700,2013JJ00,5.2,5.2,,,,,5.2,,5.2,,
81,E006458   ,307700,2014JJ00,5.0,5.0,,,,,5.0,,5.0,,
82,E006458   ,307700,2015JJ00,5.4,5.4,,,,,5.4,,5.4,0.0,
83,E006458   ,307700,2016JJ00,6.3,6.3,,,,,6.3,,6.3,0.0,
84,E006458   ,308100,2011JJ00,,,,,,,,,,,
85,E006458   ,308100,2012JJ00,,,,,,,,,,,
86,E006458   ,308100,2013JJ00,,,,,,,,,,,
87,E006458   ,308100,2014JJ00,,,,,,,,,,,
88,E006458   ,308100,2015JJ00,,,,,,,,,,,
89,E006458   ,308100,2016JJ00,,,,,,,,,,,
90,E006458   ,308300,2011JJ00,11.2,11.0,,0.2,1.3,1.1,11.2,0.2,12.0,1.0,
91,E006458   ,308300,2012JJ00,10.5,10.3,,0.2,1.3,1.2,10.5,0.2,11.3,1.0,
92,E006458   ,308300,2013JJ00,10.2,9.9,,0.2,1.4,1.2,10.2,0.2,10.7,0.8,
93,E006458   ,308300,2014JJ00,9.6,9.5,,0.1,1.1,1.0,9.6,0.2,9.9,0.5,
94,E006458   ,308300,2015JJ00,9.6,9.4,,0.1,1.3,1.1,9.6,0.2,10.4,1.0,
95,E006458   ,308300,2016JJ00,9.9,9.7,,0.3,1.6,1.3,9.9,0.2,10.7,0.9,
96,E006458   ,308700,2011JJ00,8.6,8.1,,0.5,4.9,4.4,8.6,,8.7,0.1,
97,E006458   ,308700,2012JJ00,8.2,7.7,,0.5,4.7,4.2,8.2,,8.3,0.1,
98,E006458   ,308700,2013JJ00,8.1,7.4,,0.7,5.0,4.3,8.1,,8.2,0.1,
99,E006458   ,308700,2014JJ00,8.0,7.6,,0.5,4.0,3.6,8.0,,8.1,0.1,
100,E006458   ,308700,2015JJ00,8.6,8.1,,0.5,4.6,4.1,8.6,,8.8,3.5,0.0
101,E006458   ,308700,2016JJ00,7.9,7.5,,0.4,4.7,4.3,7.9,,8.2,4.1,-0.1
102,E006458   ,309000,2011JJ00,15.1,14.3,,0.8,5.3,4.5,15.1,,15.3,0.2,
103,E006458   ,309000,2012JJ00,14.1,13.3,,0.7,4.6,3.9,14.1,,14.3,0.2,
104,E006458   ,309000,2013JJ00,14.3,13.5,,0.8,4.4,3.6,14.3,,14.4,0.1,
105,E006458   ,309000,2014JJ00,21.1,20.4,,0.7,3.7,3.0,21.1,,21.2,0.1,
106,E006458   ,309000,2015JJ00,21.2,20.9,,0.3,3.0,2.6,21.2,0.0,21.2,0.0,
107,E006458   ,309000,2016JJ00,22.2,21.8,,0.3,2.4,2.1,22.2,0.2,22.1,0.1,
108,E006458   ,309300,2011JJ00,10.4,8.8,,1.6,5.6,4.0,10.4,0.2,10.4,0.2,
109,E006458   ,309300,2012JJ00,10.5,9.3,,1.2,5.8,4.6,10.5,0.2,10.6,0.3,
110,E006458   ,309300,2013JJ00,10.9,10.2,,0.7,4.8,4.1,10.9,0.2,11.0,0.3,
111,E006458   ,309300,2014JJ00,10.9,10.2,,0.8,4.9,4.2,10.9,0.2,11.3,0.6,
112,E006458   ,309300,2015JJ00,11.4,10.7,,0.7,4.7,4.0,11.4,0.2,12.1,1.0,
113,E006458   ,309300,2016JJ00,11.4,10.5,,0.8,4.7,3.9,11.4,0.1,12.2,0.9,
114,E006458   ,309600,2011JJ00,,,,,,,,,,,
115,E006458   ,309600,2012JJ00,,,,,,,,,,,
116,E006458   ,309600,2013JJ00,,,,,,,,,,,
117,E006458   ,309600,2014JJ00,,,,,,,,,,,
118,E006458   ,309600,2015JJ00,,,,,,,,,,,
119,E006458   ,309600,2016JJ00,,,,,,,,,,,
120,E006458   ,310000,2011JJ00,,,,,,,,,,,
121,E006458   ,310000,2012JJ00,,,,,,,,,,,
122,E006458   ,310000,2013JJ00,,,,,,,,,,,
123,E006458   ,310000,2014JJ00,,,,,,,,,,,
124,E006458   ,310000,2015JJ00,,,,,,,,,,,
125,E006458   ,310000,2016JJ00,,,,,,,,,,,
126,E006458   ,311000,2011JJ00,6.9,6.8,,0.1,0.6,0.5,6.9,0.1,6.8,0.0,0.0
127,E006458   ,311000,2012JJ00,7.2,7.2,,0.1,0.5,0.4,7.2,0.1,7.2,0.0,0.0
128,E006458   ,311000,2013JJ00,7.2,6.9,0.0,0.3,0.7,0.4,7.2,0.5,6.9,0.2,-0.1
129,E006458   ,311000,2014JJ00,6.5,6.3,,0.3,0.9,0.6,6.5,0.6,6.2,0.3,0.0
130,E006458   ,311000,2015JJ00,7.3,7.0,,0.3,0.8,0.5,7.3,1.3,6.2,0.3,0.0
131,E006458   ,311000,2016JJ00,7.3,7.0,,0.3,0.7,0.4,7.3,1.0,6.6,0.3,0.0
132,E006458   ,311300,2011JJ00,4.2,4.0,,0.2,2.0,1.8,4.2,0.2,4.1,0.0,
133,E006458   ,311300,2012JJ00,4.2,4.0,,0.2,2.0,1.8,4.2,0.2,4.1,0.0,
134,E006458   ,311300,2013JJ00,4.2,3.9,,0.2,1.9,1.7,4.2,0.2,4.0,0.0,
135,E006458   ,311300,2014JJ00,4.1,3.9,,0.2,1.9,1.7,4.1,0.2,4.0,0.0,
136,E006458   ,311300,2015JJ00,4.2,3.8,,0.5,2.0,1.5,4.2,0.1,4.1,0.0,
137,E006458   ,311300,2016JJ00,4.2,4.0,,0.2,1.5,1.4,4.2,0.1,4.0,0.0,
138,E006458   ,312200,2011JJ00,1.2,1.2,,,,,1.2,,1.2,,
139,E006458   ,312200,2012JJ00,1.1,1.1,,,,,1.1,,1.1,,
140,E006458   ,312200,2013JJ00,1.2,1.2,,,,,1.2,,1.2,,
141,E006458   ,312200,2014JJ00,0.5,0.5,,,,,0.5,,0.5,,
142,E006458   ,312200,2015JJ00,0.4,0.4,,,,,0.4,,0.4,,
143,E006458   ,312200,2016JJ00,0.4,0.4,,,,,0.4,,0.4,,
144,E006458   ,312505,2011JJ00,4.3,4.2,,0.1,0.6,0.5,4.3,,4.3,0.0,
145,E006458   ,312505,2012JJ00,4.4,4.2,,0.1,0.7,0.6,4.4,,4.4,0.0,
146,E006458   ,312505,2013JJ00,4.4,4.3,,0.1,0.5,0.4,4.4,,4.4,0.0,
147,E006458   ,312505,2014JJ00,3.7,3.7,,0.0,0.2,0.2,3.7,,3.7,0.0,
148,E006458   ,312505,2015JJ00,3.7,3.7,,,,,3.7,,3.7,0.0,
149,E006458   ,312505,2016JJ00,4.1,4.1,,,,,4.1,,4.1,0.1,
150,E006458   ,312500,2011JJ00,3.9,3.8,,0.1,0.6,0.5,3.9,,3.9,0.0,
151,E006458   ,312500,2012JJ00,3.9,3.8,,0.1,0.7,0.6,3.9,,3.9,0.0,
152,E006458   ,312500,2013JJ00,3.9,3.9,,0.1,0.5,0.4,3.9,,4.0,0.0,
153,E006458   ,312500,2014JJ00,3.3,3.3,,0.0,0.2,0.2,3.3,,3.3,0.0,
154,E006458   ,312500,2015JJ00,3.3,3.3,,,,,3.3,,3.3,0.0,
155,E006458   ,312500,2016JJ00,3.4,3.4,,,,,3.4,,3.4,0.0,
156,E006458   ,314000,2011JJ00,0.2,0.2,,,,,0.2,,0.2,,
157,E006458   ,314000,2012JJ00,0.2,0.2,,,,,0.2,,0.2,,
158,E006458   ,314000,2013JJ00,0.2,0.2,,,,,0.2,,0.2,,
159,E006458   ,314000,2014JJ00,0.1,0.1,,,,,0.1,,0.1,,
160,E006458   ,314000,2015JJ00,0.2,0.2,,,,,0.2,,0.2,,
161,E006458   ,314000,2016JJ00,0.2,0.2,,,,,0.2,,0.2,,
162,E006458   ,315200,2011JJ00,0.3,0.3,,,,,0.3,,0.3,0.0,
163,E006458   ,315200,2012JJ00,0.3,0.3,,,,,0.3,,0.3,0.0,
164,E006458   ,315200,2013JJ00,0.3,0.3,,,,,0.3,,0.3,0.0,
165,E006458   ,315200,2014JJ00,0.2,0.2,,,,,0.2,,0.2,,
166,E006458   ,315200,2015JJ00,0.2,0.2,,,,,0.2,,0.2,0.0,
167,E006458   ,315200,2016JJ00,0.5,0.5,,,,,0.5,,0.6,0.0,
168,E006458   ,315805,2011JJ00,30.5,30.3,0.0,0.2,0.6,0.4,30.5,2.0,28.6,0.1,0.0
169,E006458   ,315805,2012JJ00,28.4,28.2,0.0,0.2,0.6,0.4,28.4,1.9,26.5,0.1,0.0
170,E006458   ,315805,2013JJ00,26.3,26.1,,0.2,0.6,0.4,26.3,1.9,24.4,0.0,0.0
171,E006458   ,315805,2014JJ00,26.8,26.6,,0.2,0.6,0.4,26.8,2.0,24.9,0.0,0.0
172,E006458   ,315805,2015JJ00,27.6,27.3,,0.2,0.8,0.5,27.6,2.0,25.7,0.1,0.0
173,E006458   ,315805,2016JJ00,28.9,28.7,,0.2,0.8,0.6,28.9,2.1,27.5,0.7,0.0
174,E006458   ,315800,2011JJ00,2.9,2.7,,0.2,0.2,0.0,2.9,1.0,1.9,0.1,
175,E006458   ,315800,2012JJ00,2.8,2.7,,0.1,0.2,0.0,2.8,1.0,1.9,0.0,
176,E006458   ,315800,2013JJ00,2.5,2.4,,0.1,0.2,0.1,2.5,1.1,1.5,0.0,
177,E006458   ,315800,2014JJ00,3.0,2.8,,0.1,0.2,0.1,3.0,1.2,1.8,0.0,
178,E006458   ,315800,2015JJ00,3.1,2.9,,0.2,0.4,0.3,3.1,1.3,1.8,0.1,
179,E006458   ,315800,2016JJ00,3.2,3.0,,0.2,0.5,0.3,3.2,1.5,1.7,0.1,
180,E006458   ,317105,2011JJ00,31.4,27.4,1.9,2.1,14.1,12.0,31.4,1.1,36.1,5.7,0.0
181,E006458   ,317105,2012JJ00,31.0,27.5,1.3,2.2,14.0,11.8,31.0,1.3,35.1,5.4,0.0
182,E006458   ,317105,2013JJ00,31.0,27.4,1.4,2.2,13.0,10.8,31.0,1.4,32.4,2.8,0.0
183,E006458   ,317105,2014JJ00,28.4,24.3,1.5,2.6,13.1,10.5,28.4,1.4,28.7,1.7,
184,E006458   ,317105,2015JJ00,27.2,23.7,1.7,1.8,9.9,8.1,27.2,1.5,26.1,0.5,
185,E006458   ,317105,2016JJ00,26.6,24.3,0.7,1.5,9.0,7.4,26.6,1.5,25.5,0.4,
186,E006458   ,317100,2011JJ00,27.6,23.6,1.9,2.1,14.1,12.0,27.6,1.1,32.3,5.7,0.0
187,E006458   ,317100,2012JJ00,27.2,23.7,1.3,2.2,14.0,11.8,27.2,1.3,31.4,5.4,0.0
188,E006458   ,317100,2013JJ00,27.8,24.2,1.4,2.1,13.0,10.8,27.8,1.4,29.2,2.8,0.0
189,E006458   ,317100,2014JJ00,25.7,21.6,1.5,2.6,13.1,10.5,25.7,1.4,26.0,1.7,
190,E006458   ,317100,2015JJ00,24.2,20.7,1.7,1.8,9.9,8.1,24.2,1.5,23.2,0.5,
191,E006458   ,317100,2016JJ00,23.3,21.0,0.7,1.5,9.0,7.4,23.3,1.5,22.2,0.4,
192,E006458   ,318600,2011JJ00,3.8,3.8,,0.0,0.0,0.0,3.8,,3.8,0.0,
193,E006458   ,318600,2012JJ00,3.7,3.7,,0.0,0.0,0.0,3.7,,3.7,0.0,
194,E006458   ,318600,2013JJ00,3.2,3.2,,0.0,0.0,0.0,3.2,,3.2,0.0,
195,E006458   ,318600,2014JJ00,2.7,2.7,,0.0,0.0,0.0,2.7,,2.7,0.0,
196,E006458   ,318600,2015JJ00,2.9,2.9,,,,,2.9,,2.9,0.0,
197,E006458   ,318600,2016JJ00,3.3,3.3,,,,,3.3,,3.3,0.0,
198,E006458   ,320005,2011JJ00,1072.8,450.3,547.0,75.5,2804.2,2728.6,1072.8,17.4,5716.7,4735.6,74.3
199,E006458   ,320005,2012JJ00,1085.2,437.5,569.3,78.3,2802.0,2723.7,1085.2,17.4,5678.3,4572.8,-37.8
200,E006458   ,320005,2013JJ00,1059.4,426.3,559.7,73.4,2722.8,2649.4,1059.4,18.1,5402.1,4375.1,14.3
201,E006458   ,320005,2014JJ00,1054.7,421.2,553.9,79.6,2785.8,2706.2,1054.7,25.2,5562.8,4527.8,-5.5
202,E006458   ,320005,2015JJ00,1047.5,422.1,548.8,76.6,2892.4,2815.9,1047.5,78.5,5839.4,4830.1,-40.3
203,E006458   ,320005,2016JJ00,1052.4,432.5,553.9,66.0,2928.6,2862.6,1052.4,71.4,5643.5,4697.7,35.2
204,E006458   ,320000,2011JJ00,209.9,147.5,,62.5,2595.3,2532.8,209.9,0.2,4675.9,4539.8,73.7
205,E006458   ,320000,2012JJ00,203.8,137.3,,66.5,2582.5,2516.0,203.8,0.2,4595.3,4354.5,-37.2
206,E006458   ,320000,2013JJ00,189.3,131.6,,57.7,2513.7,2455.9,189.3,0.0,4332.2,4158.2,15.3
207,E006458   ,320000,2014JJ00,195.7,130.1,,65.7,2578.8,2513.2,195.7,0.0,4518.7,4315.9,-7.1
208,E006458   ,320000,2015JJ00,201.1,140.5,,60.5,2700.6,2640.0,201.1,13.3,4770.4,4553.3,-29.3
209,E006458   ,320000,2016JJ00,191.1,137.3,,53.8,2716.1,2662.3,191.1,17.0,4554.3,4411.8,31.6
210,E006458   ,320100,2011JJ00,14.9,7.4,,7.5,85.0,77.6,14.9,,92.1,75.4,-1.8
211,E006458   ,320100,2012JJ00,12.7,7.2,,5.5,78.8,73.3,12.7,,78.2,68.0,2.5
212,E006458   ,320100,2013JJ00,12.3,7.4,,4.9,80.6,75.8,12.3,,82.2,69.8,-0.1
213,E006458   ,320100,2014JJ00,14.0,7.7,,6.3,83.6,77.2,14.0,,84.5,71.9,1.4
214,E006458   ,320100,2015JJ00,15.5,8.2,,7.3,85.0,77.7,15.5,,84.3,71.8,3.0
215,E006458   ,320100,2016JJ00,14.5,8.1,,6.3,82.9,76.6,14.5,,83.8,70.5,1.2
216,E006458   ,320300,2011JJ00,195.1,140.1,,55.0,2510.3,2455.2,195.1,0.2,4583.8,4464.4,75.4
217,E006458   ,320300,2012JJ00,191.1,130.1,,61.0,2503.8,2442.8,191.1,0.2,4517.1,4286.5,-39.6
218,E006458   ,320300,2013JJ00,177.0,124.1,,52.9,2433.0,2380.2,177.0,0.0,4250.0,4088.4,15.3
219,E006458   ,320300,2014JJ00,181.7,122.4,,59.3,2495.3,2435.9,181.7,0.0,4434.2,4244.0,-8.4
220,E006458   ,320300,2015JJ00,185.5,132.3,,53.2,2615.6,2562.3,185.5,13.3,4686.1,4481.5,-32.3
221,E006458   ,320300,2016JJ00,176.7,129.1,,47.5,2633.2,2585.7,176.7,17.0,4470.5,4341.3,30.5
222,E006458   ,320705,2011JJ00,853.4,293.4,547.0,13.0,208.9,195.8,853.4,17.2,1031.1,195.6,0.6
223,E006458   ,320705,2012JJ00,871.9,290.8,569.3,11.8,219.5,207.7,871.9,17.3,1073.3,218.1,-0.6
224,E006458   ,320705,2013JJ00,860.6,285.2,559.7,15.7,209.1,193.4,860.6,18.1,1060.1,216.7,-1.0
225,E006458   ,320705,2014JJ00,849.6,281.8,553.9,14.0,207.0,193.0,849.6,25.2,1034.6,211.7,1.6
226,E006458   ,320705,2015JJ00,836.4,271.5,548.8,16.1,191.9,175.8,836.4,65.2,1058.8,276.7,-11.0
227,E006458   ,320705,2016JJ00,851.4,285.4,553.9,12.2,212.5,200.3,851.4,54.5,1079.2,285.8,3.6
228,E006458   ,320700,2011JJ00,850.1,290.2,547.0,13.0,208.5,195.5,850.1,17.2,1027.8,195.5,0.6
229,E006458   ,320700,2012JJ00,867.7,286.6,569.3,11.7,219.1,207.3,867.7,17.2,1069.1,218.0,-0.6
230,E006458   ,320700,2013JJ00,856.3,281.0,559.7,15.6,208.7,193.1,856.3,18.1,1055.6,216.4,-1.0
231,E006458   ,320700,2014JJ00,845.1,277.3,553.9,13.9,206.6,192.7,845.1,25.2,1029.6,211.3,1.6
232,E006458   ,320700,2015JJ00,832.2,267.3,548.8,16.0,191.6,175.6,832.2,65.2,1054.2,276.3,-11.0
233,E006458   ,320700,2016JJ00,847.3,281.6,553.9,11.9,211.4,199.5,847.3,54.5,1074.8,285.5,3.6
234,E006458   ,320800,2011JJ00,833.8,278.1,543.0,12.6,207.2,194.5,833.8,16.8,1007.3,190.9,0.5
235,E006458   ,320800,2012JJ00,852.0,274.7,566.6,10.7,214.1,203.4,852.0,16.7,1046.8,211.0,-0.5
236,E006458   ,320800,2013JJ00,841.1,269.6,556.8,14.8,204.3,189.6,841.1,17.7,1033.3,208.9,-1.0
237,E006458   ,320800,2014JJ00,829.7,266.2,550.9,12.6,203.0,190.4,829.7,24.4,1008.0,204.2,1.6
238,E006458   ,320800,2015JJ00,815.7,254.5,546.1,15.2,188.1,172.9,815.7,64.3,1030.7,268.5,-10.7
239,E006458   ,320800,2016JJ00,832.0,268.2,552.0,11.8,208.8,197.0,832.0,53.6,1054.2,279.3,3.5
240,E006458   ,320900,2011JJ00,28.1,15.0,10.4,2.7,8.9,6.2,28.1,,32.3,4.2,
241,E006458   ,320900,2012JJ00,19.5,9.7,8.0,1.8,3.8,2.0,19.5,,24.0,4.5,
242,E006458   ,320900,2013JJ00,18.5,9.4,7.0,2.1,4.0,1.9,18.5,,23.0,4.6,
243,E006458   ,320900,2014JJ00,19.1,9.8,7.1,2.1,4.2,2.1,19.1,,23.6,4.6,
244,E006458   ,320900,2015JJ00,17.9,9.4,5.7,2.9,4.9,2.1,17.9,,22.3,4.4,
245,E006458   ,320900,2016JJ00,20.1,10.6,5.0,4.5,13.1,8.5,20.1,,28.9,8.8,
246,E006458   ,321000,2011JJ00,3.3,2.4,0.9,,,,3.3,2.5,3.9,3.0,
247,E006458   ,321000,2012JJ00,2.7,2.0,0.7,,,,2.7,1.5,3.3,2.1,
248,E006458   ,321000,2013JJ00,2.2,2.2,,,,,2.2,2.5,2.8,3.1,
249,E006458   ,321000,2014JJ00,2.0,2.0,,,,,2.0,13.3,2.5,13.7,
250,E006458   ,321000,2015JJ00,1.9,1.9,,,,,1.9,12.5,2.4,12.9,
251,E006458   ,321000,2016JJ00,2.0,2.0,,,,,2.0,9.4,2.5,9.8,
252,E006458   ,321100,2011JJ00,47.0,37.3,6.4,3.3,15.8,12.4,47.0,,53.3,6.5,0.1
