ID,Mineralen,Perioden,TotaalExcretie_1,TotaalVervluchtiging_2,StalMestopslagEnBeweiding_3,Aanwending_4,OverigeStikstofvervluchtiging_5,NettoExportDierlijkeMest_6,AanvoerDierlijkeMestNaarBodem_7,TotaalKunstmest_8,Ammoniakvervluchtiging_9,AanvoerKunstmestNaarBodem_10,TotaalOverigeAanvoer_11,TotaalRetourstroom_12,Schuimaarde_13,CompostExclGFTCompost_14,Champost_15,ZaaiEnPootgoed_16,Conserveringsverlies_17,TotaalOverigeBronnen_18,Zuiveringsslib_19,Bestrijdingsmiddelen_20,BiologischeStikstofbinding_21,GFTCompost_22,SubtotaalAanvoerNaarBodem_23,TotaalAfvoerGewassen_24,TotaalAkkerbouwgewassen_25,Snijmais_26,Tarwe_27,Aardappelen_28,Suikerbieten_29,OverigeAkkerbouwgewassen_30,TotaalGraslandgewassen_31,Hooi_32,Kuilgras_33,Weidegras_34,TotaalTuinbouwgewassen_35,GroenteEnFruit_36,OverigeTuinbouwgewassen_37,EmissieNaarBodemEnWater_38,TotaalDepositie_39,BijdrageVanDeLandbouw_40,BijdrageVanNietLandbouw_41,BrutoBelasting_42,TotaalNettoBelasting_43,EmissieNaarWater_44,UitEnAfspoeling_45,TotaalAccumulatieEnAfvoerDenitrif_46,AfvoerVanN2ODoorDenitrificatie_47,AfvoerVanOverigeNDoorDenitrificatie_48,AccumulatieInDeBodem_49,NettoNVerliesDoorVervluchtiging_50,OverschotLandbouwgrond_51
35,P,2008JJ00,77,,,,,15,62,11,,11,3,2,0.9,0.5,,0.4,,1,0.3,0.0,,0.7,76,58,19.7,7.4,4.2,3.4,2.1,2.6,35.1,0.5,20.4,14.2,2.8,2.1,0.7,18,0,0,0,76,18,0.0,4.0,14.0,,,15.0,,18
36,P,2009JJ00,76,,,,,17,59,4,,4,3,2,1.0,0.5,,0.5,,1,0.3,0.0,,0.7,66,54,20.0,7.0,4.3,3.6,2.3,2.8,31.4,0.7,19.9,10.8,2.8,2.1,0.7,12,0,0,0,66,12,1.0,3.0,8.0,,,8.0,,12
37,P,2010JJ00,78,,,,,16,62,12,,12,3,2,0.9,0.5,,0.6,,1,0.3,0.0,,0.6,78,54,18.9,6.9,4.2,3.4,2.1,2.3,32.2,0.5,20.0,11.7,2.7,2.0,0.7,24,0,0,0,78,24,1.0,4.0,19.0,,,20.0,,24
38,P,2011JJ00,74,,,,,16,58,7,,7,4,2,1.2,0.5,,0.5,,1,0.9,0.0,,0.6,69,54,18.5,6.7,3.5,3.7,2.3,2.3,32.2,0.5,20.8,10.9,3.1,2.3,0.8,15,0,0,0,69,15,1.0,4.0,10.0,,,10.0,,15
39,P,2012JJ00,70,,,,,17,53,5,,5,4,2,1.2,0.5,,0.6,,1,0.3,0.0,,0.9,62,54,18.5,6.7,3.9,3.4,2.3,2.2,33.0,0.6,23.1,9.3,2.8,2.1,0.7,7,0,0,0,62,7,1.0,5.0,2.0,,,3.0,,7
40,P,2013JJ00,72,,,,,17,55,4,,4,4,2,1.2,0.5,,0.4,,1,0.3,0.0,,0.9,64,53,18.4,6.7,4.0,3.3,2.3,2.2,32.0,0.6,21.4,10.1,2.9,2.2,0.7,11,0,0,0,64,11,1.0,4.0,6.0,,,6.0,,11
41,P,2014JJ00,75,,,,,17,58,4,,4,4,2,1.2,0.5,,0.4,,1,0.3,0.0,,0.9,67,64,19.5,7.2,3.9,3.6,2.7,2.1,41.7,0.5,28.1,13.1,3.0,2.3,0.7,3,0,0,0,67,3,1.0,4.0,-2.0,,,-2.0,,3
42,K,1990JJ00,533,,,,,3,530,79,,79,5,4,0.3,1.0,2.0,1.0,,1,1.0,0.0,,0.0,614,468,110.0,32.4,4.8,31.7,25.9,15.2,345.4,11.1,141.8,192.5,12.9,12.9,,145,10,0,10,624,155,,,,,,,,155
43,K,1995JJ00,548,,,,,13,535,55,,55,10,8,0.3,1.0,4.3,2.3,,1,,0.0,,1.2,599,443,105.5,33.0,4.9,30.8,19.3,17.5,320.5,10.0,125.3,185.2,16.9,13.9,3.0,156,10,0,10,609,166,,,,,,,,166
44,K,1996JJ00,539,,,,,9,530,58,,58,10,6,0.3,1.0,2.3,2.3,,2,,0.0,,1.6,598,448,109.5,32.2,5.3,37.8,13.5,20.7,321.1,6.3,127.5,187.3,17.2,14.1,3.1,150,10,0,10,608,160,,,,,,,,160
45,K,1997JJ00,523,,,,,8,515,51,,51,8,6,0.3,1.0,2.4,2.3,,2,,0.0,,2.0,573,478,118.7,40.7,4.5,37.5,13.9,22.1,342.4,8.8,151.3,182.3,17.3,14.1,3.2,95,10,0,10,583,105,,,,,,,,105
46,K,1998JJ00,501,,,,,9,482,53,,53,8,6,0.3,1.0,2.4,2.3,,2,,0.0,,1.5,552,405,83.8,32.3,4.5,24.6,11.6,10.8,303.3,6.3,161.5,135.5,17.5,14.1,3.4,148,10,0,10,562,158,,,,,,,,158
47,K,1999JJ00,502,,,,,11,501,44,,44,8,6,0.3,1.0,2.9,2.3,,2,,0.0,,1.7,543,427,106.3,38.1,3.6,38.6,15.4,10.6,302.8,7.9,131.5,163.4,17.7,14.1,3.6,117,10,0,10,553,127,,,,,,,,127
48,K,2000JJ00,465,,,,,11,454,41,,41,9,7,0.3,1.0,3.4,2.3,,2,,0.0,,1.8,504,414,97.0,29.4,4.8,38.2,14.1,10.5,298.8,7.5,151.4,139.9,17.7,14.1,3.6,91,10,0,10,514,101,,,,,,,,101
49,K,2001JJ00,476,,,,,14,462,39,,39,9,7,0.3,1.0,3.3,2.3,,2,,0.0,,1.7,510,398,93.1,32.6,4.2,33.0,12.5,10.8,286.9,7.6,131.7,147.6,17.7,14.1,3.6,112,10,0,10,520,122,,,,,,,,122
50,K,2002JJ00,448,,,,,14,434,41,,41,8,7,0.3,1.0,3.3,2.3,,1,,0.0,,1.2,483,433,97.3,34.9,4.4,34.6,13.1,10.3,318.4,9.4,162.9,146.1,17.7,14.1,3.6,50,10,0,10,493,60,,,,,,,,60
51,K,2003JJ00,445,,,,,8,437,41,,41,9,7,0.3,1.0,3.5,2.3,,2,,0.0,,1.9,488,354,92.8,34.0,4.7,30.4,13.0,10.7,247.5,10.3,123.9,113.3,13.9,10.1,3.8,133,10,0,10,498,143,,,,,,,,143
52,K,2004JJ00,426,,,,,11,415,41,,41,10,8,0.3,1.0,4.9,2.3,,2,,0.0,,2.1,466,401,98.6,34.3,5.1,35.2,13.2,10.8,287.6,13.3,158.2,116.1,14.5,10.8,3.7,65,10,0,10,476,75,,,,,,,,75
53,K,2005JJ00,434,,,,,9,425,37,,37,10,8,0.3,1.0,4.6,2.3,,2,,0.0,,2.1,472,397,96.4,37.2,4.9,31.9,12.5,9.9,286.1,9.3,147.3,129.5,14.1,10.4,3.7,75,10,0,10,482,85,,,,,,,,85
54,K,2006JJ00,429,,,,,19,410,33,,33,6,4,0.3,1.0,,2.3,,2,,0.0,,1.7,449,383,87.5,35.8,5.0,27.4,11.4,7.9,280.2,9.1,132.0,139.1,14.9,11.2,3.7,67,10,0,10,459,77,,,,,,,,77
55,K,2007JJ00,429,,,,,24,405,35,,35,6,3,0.1,1.0,,2.3,,2,,0.0,,2.5,447,394,88.9,34.8,4.3,30.2,11.6,8.0,289.7,10.9,150.3,128.5,15.3,11.5,3.8,53,10,0,10,457,63,,,,,,,,63
56,K,2008JJ00,433,,,,,28,405,22,,22,6,3,0.2,1.0,,2.3,,2,,0.0,,2.3,433,395,94.8,40.7,5.7,30.7,11.0,6.7,284.7,3.7,161.0,120.0,15.4,11.5,3.9,38,10,0,10,443,48,,,,,,,,48
57,K,2009JJ00,430,,,,,32,398,14,,14,6,3,0.2,1.0,,1.8,,2,,0.0,,2.5,418,388,99.5,40.7,5.9,31.6,12.0,9.3,272.7,5.1,168.8,98.8,15.7,11.9,3.8,30,10,0,10,428,40,,,,,,,,40
58,K,2010JJ00,434,,,,,34,400,43,,43,5,3,0.2,1.0,,2.0,,2,,0.0,,2.3,448,385,93.5,38.0,5.8,30.1,11.1,8.5,276.1,4.6,169.6,101.9,15.1,11.3,3.8,64,10,0,10,458,74,,,,,,,,74
59,K,2011JJ00,425,,,,,34,391,18,,18,5,3,0.2,1.0,,1.7,,2,,0.0,,2.1,414,380,94.9,37.1,4.3,32.3,12.3,8.9,268.9,4.2,171.0,93.7,16.7,12.8,3.9,33,10,0,10,424,43,,,,,,,,43
60,K,2012JJ00,419,,,,,35,384,16,,16,6,4,0.2,1.0,,2.4,,3,,0.0,,2.8,406,376,91.9,36.8,4.8,29.8,12.0,8.5,269.0,5.5,186.4,77.1,15.3,11.5,3.8,30,10,0,10,416,40,,,,,,,,40
61,K,2013JJ00,429,,,,,34,395,15,,15,6,3,0.2,1.0,,2.0,,3,,0.0,,2.8,416,381,91.2,36.9,4.9,28.9,12.0,8.4,275.3,5.4,178.6,91.3,14.8,12.1,2.7,35,10,0,10,426,45,,,,,,,,45
62,K,2014JJ00,449,,,,,34,415,15,,15,6,3,0.2,1.0,,2.0,,3,,0.0,,2.8,436,447,94.6,35.9,4.8,31.2,14.3,8.3,335.8,4.2,219.0,112.5,16.4,12.8,3.6,-10,10,0,10,446,0,,,,,,,,0
