ID,EigendomWoning,Bouwjaar,RegioS,Perioden,TotaalWoningenMetEnergielabel_1,WoningenMetEnergielabelAEnB_2,WoningenMetEnergielabelCEnD_3,WoningenMetEnergielabelEFG_4
224,4, 2,CR06,2011JJ00,511,50,158,303
225,4, 2,CR07,2011JJ00,310,35,153,122
226,4, 2,CR08,2011JJ00,76,5,19,52
227,4, 2,CR09,2011JJ00,372,14,275,83
228,4, 2,CR10,2011JJ00,1380,164,560,656
229,4, 2,CR11,2011JJ00,1259,10,559,690
230,4, 2,CR12,2011JJ00,5471,428,2790,2253
231,4, 2,CR13,2011JJ00,1877,82,710,1085
232,4, 2,CR14,2011JJ00,1362,31,465,866
233,4, 2,CR15,2011JJ00,4961,81,1960,2920
234,4, 2,CR16,2011JJ00,283,15,100,168
235,4, 2,CR17,2011JJ00,5969,184,1538,4247
236,4, 2,CR18,2011JJ00,836,31,654,151
237,4, 2,CR19,2011JJ00,521,41,91,389
238,4, 2,CR20,2011JJ00,567,22,325,220
239,4, 2,CR21,2011JJ00,3495,46,1168,2281
240,4, 2,CR22,2011JJ00,924,7,84,833
241,4, 2,CR23,2011JJ00,17684,1887,6081,9716
242,4, 2,CR24,2011JJ00,1416,20,367,1029
243,4, 2,CR25,2011JJ00,1893,179,466,1248
244,4, 2,CR26,2011JJ00,6490,99,2293,4098
245,4, 2,CR27,2011JJ00,1557,105,284,1168
246,4, 2,CR28,2011JJ00,451,11,160,280
247,4, 2,CR29,2011JJ00,10120,558,7010,2552
248,4, 2,CR30,2011JJ00,1568,308,339,921
249,4, 2,CR31,2011JJ00,216,51,52,113
250,4, 2,CR32,2011JJ00,1134,94,626,414
251,4, 2,CR33,2011JJ00,967,73,290,604
252,4, 2,CR34,2011JJ00,1730,27,785,918
253,4, 2,CR35,2011JJ00,1319,57,544,718
254,4, 2,CR36,2011JJ00,4695,101,1787,2807
255,4, 2,CR37,2011JJ00,453,64,136,253
256,4, 2,CR38,2011JJ00,227,17,122,88
257,4, 2,CR39,2011JJ00,3298,64,1006,2228
258,4, 2,CR40,2011JJ00,10,0,9,1
259,4, 2,GA01,2011JJ00,4441,675,2821,945
260,4, 2,GA02,2011JJ00,1444,189,597,658
261,4, 2,GA03,2011JJ00,687,132,122,433
262,4, 2,GA04,2011JJ00,2879,233,1353,1293
263,4, 2,GA05,2011JJ00,917,58,316,543
264,4, 2,GA06,2011JJ00,1649,66,678,905
265,4, 2,GA07,2011JJ00,1957,6,600,1351
266,4, 2,GA08,2011JJ00,1123,32,350,741
267,4, 2,GA09,2011JJ00,3072,49,583,2440
268,4, 2,GA10,2011JJ00,18432,1888,6103,10441
269,4, 2,GA11,2011JJ00,3331,45,1149,2137
270,4, 2,GA12,2011JJ00,1567,177,408,982
271,4, 2,GA13,2011JJ00,6464,92,2283,4089
272,4, 2,GA14,2011JJ00,9613,542,6873,2198
273,4, 2,GA15,2011JJ00,963,237,274,452
274,4, 2,GA16,2011JJ00,448,47,91,310
275,4, 2,GA17,2011JJ00,1509,13,760,736
276,4, 2,GA18,2011JJ00,906,35,358,513
277,4, 2,GA19,2011JJ00,3967,81,1469,2417
278,4, 2,GA20,2011JJ00,438,0,49,389
279,4, 2,GA21,2011JJ00,1203,15,341,847
280,4, 2,GA22,2011JJ00,1326,10,505,811
281,4, 2,SG01,2011JJ00,4691,686,2932,1073
282,4, 2,SG02,2011JJ00,1628,196,631,801
283,4, 2,SG03,2011JJ00,732,137,147,448
284,4, 2,SG04,2011JJ00,4218,236,2238,1744
285,4, 2,SG05,2011JJ00,957,62,330,565
286,4, 2,SG06,2011JJ00,2879,72,1327,1480
287,4, 2,SG07,2011JJ00,1975,7,604,1364
288,4, 2,SG08,2011JJ00,1303,41,473,789
289,4, 2,SG09,2011JJ00,4017,94,823,3100
290,4, 2,SG10,2011JJ00,18518,1892,6122,10504
291,4, 2,SG11,2011JJ00,4062,68,1493,2501
292,4, 2,SG12,2011JJ00,1668,178,439,1051
293,4, 2,SG13,2011JJ00,8047,204,2577,5266
294,4, 2,SG14,2011JJ00,9844,548,6917,2379
295,4, 2,SG15,2011JJ00,991,238,284,469
296,4, 2,SG16,2011JJ00,507,51,104,352
297,4, 2,SG17,2011JJ00,1578,19,775,784
298,4, 2,SG18,2011JJ00,934,35,372,527
299,4, 2,SG19,2011JJ00,3994,82,1477,2435
300,4, 2,SG20,2011JJ00,465,0,49,416
301,4, 2,SG21,2011JJ00,1368,45,399,924
302,4, 2,SG22,2011JJ00,1386,16,530,840
303,4, 3,NL01,2011JJ00,37088,1426,14546,21116
304,4, 3,LD01,2011JJ00,4162,214,2023,1925
305,4, 3,LD02,2011JJ00,6616,314,3319,2983
306,4, 3,LD03,2011JJ00,20916,573,7356,12987
307,4, 3,LD04,2011JJ00,5394,325,1848,3221
308,4, 3,PV20,2011JJ00,2746,164,1589,993
309,4, 3,PV21,2011JJ00,797,22,201,574
310,4, 3,PV22,2011JJ00,619,28,233,358
311,4, 3,PV23,2011JJ00,3526,105,1810,1611
312,4, 3,PV24,2011JJ00,86,0,0,86
313,4, 3,PV25,2011JJ00,3004,209,1509,1286
314,4, 3,PV26,2011JJ00,2392,108,933,1351
315,4, 3,PV27,2011JJ00,9970,261,3452,6257
316,4, 3,PV28,2011JJ00,7566,168,2637,4761
317,4, 3,PV29,2011JJ00,988,36,334,618
318,4, 3,PV30,2011JJ00,3378,224,1264,1890
319,4, 3,PV31,2011JJ00,2016,101,584,1331
320,4, 3,CR01,2011JJ00,357,24,117,216
321,4, 3,CR02,2011JJ00,57,6,20,31
322,4, 3,CR03,2011JJ00,2332,134,1452,746
323,4, 3,CR04,2011JJ00,453,13,117,323
324,4, 3,CR05,2011JJ00,168,3,32,133
325,4, 3,CR06,2011JJ00,176,6,52,118
326,4, 3,CR07,2011JJ00,171,18,74,79
327,4, 3,CR08,2011JJ00,213,5,34,174
328,4, 3,CR09,2011JJ00,235,5,125,105
329,4, 3,CR10,2011JJ00,797,33,481,283
330,4, 3,CR11,2011JJ00,815,3,153,659
331,4, 3,CR12,2011JJ00,1914,69,1176,669
