ID,GoodsAndServices,Periods,ValueChangesConsHouseholds_1,VolumeChangesConsOfHouseholds_2,ShoppingDayAdjustedVolumeCh_3,ValueIndicesConsHouseholds_4,VolumeIndicesConsOfHouseholds_5,ShareInDomesticConsOfHouseholds_6,ValuesConsumptionOfHouseholds_7,ValueChangesActIndConsHouseh_8,VolumeChangesActIndConsHouseh_9,ValueIndicesActIndConsHouseh_10,VolumeIndicesActIndConsHouseh_11,ShareInDomesticConsActIndConsH_12,ValuesActIndConsOfHouseholds_13
72,      8000,1999MM04,6.8,5.1,4.8,126.6,117.5,,,6.8,4.4,126.8,117.5,,
73,      8000,1999MM05,4.8,2.9,3.9,127.2,118.2,,,5.1,2.7,127.3,118.1,,
74,      8000,1999MM06,8.2,6.2,5.6,128.5,119.9,,,7.9,5.4,128.6,119.7,,
75,      8000,1999KW02,6.6,4.7,4.8,127.4,118.5,,,6.6,4.2,127.6,118.4,,
76,      8000,1999MM07,7.0,5.1,4.7,129.5,120.8,,,6.9,4.4,126.9,117.9,,
77,      8000,1999MM08,6.0,3.4,4.2,122.5,113.3,,,6.0,3.0,121.2,111.8,,
78,      8000,1999MM09,6.5,4.5,3.8,126.2,116.3,,,6.5,4.0,124.5,114.4,,
79,      8000,1999KW03,6.5,4.3,4.3,126.1,116.8,,,6.5,3.8,124.2,114.7,,
80,      8000,1999MM10,4.6,2.6,4.0,132.1,122.1,,,5.0,2.5,129.3,119.0,,
81,      8000,1999MM11,7.3,5.1,4.4,129.6,119.7,,,7.3,4.5,127.4,117.2,,
82,      8000,1999MM12,7.4,5.3,4.2,134.0,124.1,,,7.3,4.7,130.9,120.7,,
83,      8000,1999KW04,6.4,4.3,4.2,131.9,122.0,,,6.5,3.9,129.2,119.0,,
84,      8000,1999JJ00,6.6,4.7,4.7,126.8,117.8,100.0,185089.0,6.6,4.2,125.2,116.0,100.0,230004.0
85,      8000,2000MM01,6.4,3.4,4.4,131.4,120.1,,,6.5,3.2,129.1,117.3,,
86,      8000,2000MM02,9.0,5.8,5.1,126.7,114.9,,,8.5,5.0,125.4,113.0,,
87,      8000,2000MM03,8.6,5.4,4.0,136.6,123.2,,,8.4,4.9,133.6,119.9,,
88,      8000,2000KW01,8.0,4.9,4.5,131.6,119.4,,,7.8,4.4,129.4,116.7,,
89,      8000,2000MM04,6.2,3.2,4.5,134.5,121.3,,,6.5,3.3,135.1,121.4,,
90,      8000,2000MM05,7.7,4.3,4.0,137.1,123.3,,,7.7,4.0,137.1,122.7,,
91,      8000,2000MM06,5.8,2.2,1.1,135.9,122.5,,,6.2,2.3,136.6,122.5,,
92,      8000,2000KW02,6.6,3.2,3.1,135.8,122.4,,,6.8,3.2,136.3,122.2,,
93,      8000,2000MM07,2.7,-0.3,2.0,133.0,120.5,,,3.9,0.6,131.8,118.6,,
94,      8000,2000MM08,8.6,5.5,3.7,133.0,119.6,,,8.6,4.8,131.6,117.2,,
95,      8000,2000MM09,7.7,4.1,3.5,135.9,121.2,,,7.8,3.8,134.3,118.8,,
96,      8000,2000KW03,6.3,3.1,3.1,134.0,120.4,,,6.7,3.1,132.6,118.2,,
97,      8000,2000MM10,4.4,0.6,2.4,137.9,122.9,,,5.0,1.1,135.8,120.3,,
98,      8000,2000MM11,8.0,4.1,3.0,140.0,124.6,,,8.0,3.9,137.6,121.8,,
99,      8000,2000MM12,7.5,3.8,4.8,144.0,128.8,,,7.6,3.6,140.8,125.1,,
100,      8000,2000KW04,6.6,2.9,3.4,140.6,125.5,,,6.9,2.9,138.1,122.4,,
101,      8000,2000JJ00,6.8,3.5,3.5,135.5,121.9,100.0,197752.0,7.0,3.4,134.1,119.9,100.0,246201.0
102,      8000,2001MM01,6.0,1.3,1.0,139.2,121.6,,,6.7,1.7,137.7,119.3,,
103,      8000,2001MM02,4.3,-0.5,0.2,132.2,114.3,,,5.3,0.3,132.1,113.3,,
104,      8000,2001MM03,6.7,1.7,1.4,145.8,125.3,,,7.3,2.1,143.3,122.4,,
105,      8000,2001KW01,5.7,0.9,0.9,139.1,120.4,,,6.4,1.4,137.7,118.3,,
106,      8000,2001MM04,4.7,-0.5,0.3,140.8,120.7,,,5.9,0.5,143.0,121.9,,
107,      8000,2001MM05,7.0,1.9,1.3,146.7,125.7,,,7.7,2.3,147.7,125.6,,
108,      8000,2001MM06,7.4,2.6,2.4,146.0,125.7,,,8.0,2.9,147.5,126.0,,
109,      8000,2001KW02,6.4,1.3,1.3,144.5,124.0,,,7.2,1.9,146.1,124.5,,
110,      8000,2001MM07,5.8,1.0,1.7,140.7,121.7,,,6.6,1.3,140.5,120.2,,
111,      8000,2001MM08,7.0,2.2,1.3,142.3,122.3,,,7.5,2.3,141.5,119.9,,
112,      8000,2001MM09,5.1,0.5,2.1,142.9,121.8,,,6.0,1.0,142.4,119.9,,
113,      8000,2001KW03,6.0,1.3,1.7,141.9,121.9,,,6.7,1.5,141.4,120.0,,
114,      8000,2001MM10,7.0,2.6,1.6,147.5,126.1,,,7.6,2.7,146.1,123.5,,
115,      8000,2001MM11,6.7,2.4,1.9,149.3,127.6,,,7.2,2.4,147.5,124.7,,
116,      8000,2001MM12,4.0,-0.7,0.3,149.8,128.0,,,5.1,0.0,147.9,125.0,,
117,      8000,2001KW04,5.9,1.4,1.2,148.9,127.2,,,6.6,1.7,147.2,124.4,,
118,      8000,2001JJ00,6.0,1.2,1.3,143.6,123.4,100.0,209574.0,6.7,1.6,143.1,121.8,100.0,262818.0
119,      8000,2002MM01,5.8,2.5,1.8,147.3,124.7,,,6.5,2.8,146.6,122.6,,
120,      8000,2002MM02,4.7,1.6,1.6,138.4,116.2,,,5.6,2.1,139.4,115.7,,
121,      8000,2002MM03,3.8,0.9,1.8,151.3,126.4,,,4.8,1.4,150.2,124.2,,
122,      8000,2002KW01,4.7,1.7,1.8,145.7,122.4,,,5.6,2.1,145.4,120.8,,
123,      8000,2002MM04,4.7,2.0,1.8,147.4,123.1,,,6.4,3.0,152.1,125.5,,
124,      8000,2002MM05,3.9,1.5,0.6,152.4,127.6,,,5.7,2.5,156.1,128.7,,
125,      8000,2002MM06,3.0,0.4,2.0,150.3,126.3,,,5.0,1.7,154.9,128.2,,
126,      8000,2002KW02,3.8,1.3,1.5,150.0,125.7,,,5.7,2.4,154.4,127.5,,
127,      8000,2002MM07,4.8,1.8,0.8,147.5,123.9,,,6.0,2.5,149.0,123.2,,
128,      8000,2002MM08,4.2,1.2,0.8,148.3,123.7,,,5.5,1.9,149.3,122.2,,
129,      8000,2002MM09,2.9,0.0,0.8,146.9,121.8,,,4.4,0.9,148.7,121.0,,
130,      8000,2002KW03,4.0,1.0,0.8,147.6,123.1,,,5.3,1.7,149.0,122.1,,
131,      8000,2002MM10,5.2,2.5,1.8,155.2,129.2,,,6.3,2.9,155.3,127.2,,
132,      8000,2002MM11,3.0,0.4,0.3,153.7,128.1,,,4.5,1.3,154.1,126.3,,
133,      8000,2002MM12,3.5,0.9,1.8,155.0,129.2,,,4.9,1.7,155.1,127.1,,
134,      8000,2002KW04,3.9,1.3,1.3,154.7,128.8,,,5.2,2.0,154.9,126.9,,
135,      8000,2002JJ00,4.1,1.3,1.3,149.5,125.0,100.0,218169.0,5.5,2.0,150.9,124.3,100.0,277153.0
136,      8000,2003MM01,4.4,1.7,0.8,153.8,126.8,,,5.0,2.1,154.0,125.1,,
137,      8000,2003MM02,4.2,1.3,1.3,144.2,117.8,,,4.9,1.8,146.3,117.9,,
138,      8000,2003MM03,0.9,-1.8,-0.5,152.7,124.1,,,2.2,-0.7,153.5,123.3,,
139,      8000,2003KW01,3.1,0.4,0.5,150.2,122.9,,,4.0,1.0,151.3,122.1,,
140,      8000,2003MM04,2.1,-0.3,-1.1,150.4,122.8,,,3.4,-0.1,157.3,125.4,,
141,      8000,2003MM05,1.9,-0.3,-0.7,155.2,127.2,,,3.2,-0.2,161.1,128.5,,
142,      8000,2003MM06,-0.2,-2.3,-1.5,150.0,123.4,,,1.6,-1.7,157.4,126.0,,
143,      8000,2003KW02,1.2,-0.9,-1.1,151.9,124.5,,,2.7,-0.7,158.6,126.6,,
144,      8000,2003MM07,1.0,-1.3,-1.9,149.0,122.3,,,2.4,-0.4,152.6,122.7,,
145,      8000,2003MM08,-0.2,-2.6,-1.4,147.9,120.5,,,1.4,-1.4,151.4,120.4,,
146,      8000,2003MM09,1.2,-0.9,-1.5,148.7,120.7,,,2.5,0.0,152.5,121.0,,
147,      8000,2003KW03,0.7,-1.6,-1.6,148.5,121.2,,,2.1,-0.6,152.2,121.4,,
148,      8000,2003MM10,2.0,-0.2,-1.1,158.4,128.9,,,3.1,0.8,160.1,128.2,,
149,      8000,2003MM11,-0.4,-2.7,-1.3,153.1,124.6,,,1.1,-1.1,155.9,124.8,,
150,      8000,2003MM12,0.4,-1.7,-2.7,155.6,127.0,,,1.7,-0.3,157.8,126.7,,
151,      8000,2003KW04,0.7,-1.5,-1.7,155.7,126.9,,,2.0,-0.2,157.9,126.6,,
152,      8000,2003JJ00,1.4,-0.9,-1.0,151.6,123.8,100.0,221235.0,2.7,-0.1,155.0,124.2,100.0,284634.0
153,      8000,2004MM01,1.8,0.5,0.2,156.6,127.4,,,2.1,0.2,157.3,125.4,,
154,      8000,2004MM02,0.9,-0.4,-0.5,145.6,117.3,,,1.4,-0.6,148.4,117.1,,
155,      8000,2004MM03,1.8,0.7,0.4,155.5,125.0,,,2.2,0.3,156.8,123.7,,
156,      8000,2004KW01,1.5,0.3,0.1,152.5,123.2,,,1.9,0.0,154.2,122.1,,
157,      8000,2004MM04,2.4,1.1,0.0,154.1,124.2,,,2.1,0.9,160.6,126.5,,
158,      8000,2004MM05,-0.8,-2.2,-0.1,154.0,124.4,,,-0.3,-1.7,160.5,126.4,,
159,      8000,2004MM06,3.7,2.5,1.4,155.5,126.5,,,3.1,1.9,162.2,128.5,,
160,      8000,2004KW02,1.8,0.4,0.5,154.6,125.0,,,1.6,0.4,161.1,127.1,,
161,      8000,2004MM07,3.2,2.4,1.2,153.8,125.3,,,3.2,2.2,157.4,125.5,,
162,      8000,2004MM08,-0.2,-1.1,0.5,147.6,119.1,,,0.5,-0.5,152.2,119.8,,
163,      8000,2004MM09,2.0,1.1,0.0,151.6,122.0,,,2.2,1.1,155.9,122.3,,
164,      8000,2004KW03,1.7,0.8,0.6,151.0,122.1,,,2.0,0.9,155.2,122.5,,
165,      8000,2004MM10,0.0,-1.3,-0.4,158.3,127.3,,,0.6,-0.8,161.0,127.3,,
166,      8000,2004MM11,1.3,0.1,0.2,155.1,124.7,,,1.7,0.3,158.5,125.2,,
167,      8000,2004MM12,3.4,2.6,1.0,160.9,130.3,,,3.3,2.2,163.0,129.6,,
168,      8000,2004KW04,1.6,0.5,0.3,158.1,127.4,,,1.8,0.6,160.9,127.3,,
169,      8000,2004JJ00,1.6,0.5,0.3,154.0,124.5,100.0,224842.0,1.8,0.5,157.8,124.8,100.0,289842.0
170,      8000,2005MM01,-1.5,-3.0,-0.9,154.2,123.7,,,,,,,,
171,      8000,2005MM02,0.7,-1.0,-0.9,146.5,116.1,,,,,,,,
172,      8000,2005MM03,2.2,0.6,-0.4,158.9,125.7,,,,,,,,
173,      8000,2005KW01,0.5,-1.1,-0.7,153.2,121.8,,,,,,,,
174,      8000,2005MM04,0.8,-0.6,-0.3,155.3,123.5,,,,,,,,
175,      8000,2005MM05,-0.1,-1.2,-0.4,153.9,122.9,,,,,,,,
176,      8000,2005MM06,2.2,0.9,0.3,159.0,127.6,,,,,,,,
177,      8000,2005KW02,1.0,-0.3,-0.1,156.0,124.7,,,,,,,,
178,      8000,2005MM07,0.3,-0.8,0.5,154.3,124.4,,,,,,,,
179,      8000,2005MM08,3.1,1.8,0.9,152.2,121.3,,,,,,,,
180,      8000,2005MM09,2.9,1.6,1.1,156.0,123.9,,,,,,,,
181,      8000,2005KW03,2.1,0.9,0.8,154.2,123.2,,,,,,,,
182,      9000,1995MM01,,,,96.6,97.5,,,,,96.5,97.3,,
183,      9000,1995MM02,,,,90.7,91.2,,,,,91.7,92.2,,
184,      9000,1995MM03,,,,101.4,101.3,,,,,100.5,100.6,,
185,      9000,1995KW01,,,,96.2,96.7,,,,,96.2,96.7,,
186,      9000,1995MM04,,,,98.8,98.8,,,,,100.4,100.5,,
187,      9000,1995MM05,,,,101.1,101.1,,,,,102.3,102.5,,
188,      9000,1995MM06,,,,103.6,103.9,,,,,104.7,105.1,,
189,      9000,1995KW02,,,,101.2,101.3,,,,,102.4,102.7,,
190,      9000,1995MM07,,,,98.4,98.8,,,,,98.3,98.7,,
191,      9000,1995MM08,,,,96.8,97.0,,,,,96.9,97.0,,
192,      9000,1995MM09,,,,101.5,100.7,,,,,100.8,100.1,,
193,      9000,1995KW03,,,,98.9,98.9,,,,,98.7,98.6,,
194,      9000,1995MM10,,,,103.3,102.7,,,,,102.4,101.6,,
195,      9000,1995MM11,,,,103.4,102.8,,,,,102.5,101.8,,
196,      9000,1995MM12,,,,104.4,104.1,,,,,103.2,102.7,,
197,      9000,1995KW04,,,,103.7,103.2,,,,,102.7,102.0,,
198,      9000,1995JJ00,4.4,2.9,,100.0,100.0,,148238.0,,,100.0,100.0,,185932.0
199,      9000,1996MM01,6.6,4.8,,102.9,102.2,,,5.0,3.3,101.3,100.6,,
200,      9000,1996MM02,8.9,7.0,,98.8,97.6,,,6.8,5.0,97.9,96.8,,
201,      9000,1996MM03,3.7,1.8,,105.1,103.1,,,2.7,0.9,103.2,101.5,,
202,      9000,1996KW01,6.3,4.4,,102.3,101.0,,,4.7,3.0,100.8,99.6,,
203,      9000,1996MM04,5.9,3.7,,104.7,102.4,,,4.6,2.5,105.0,103.0,,
204,      9000,1996MM05,7.8,5.7,,109.0,106.9,,,6.1,4.0,108.5,106.7,,
205,      9000,1996MM06,3.7,1.9,,107.5,105.9,,,2.7,1.0,107.5,106.1,,
206,      9000,1996KW02,5.8,3.8,,107.0,105.1,,,4.4,2.5,107.0,105.3,,
207,      9000,1996MM07,6.6,4.7,,104.9,103.5,,,5.1,3.4,103.4,102.1,,
208,      9000,1996MM08,7.3,5.7,,103.9,102.5,,,5.7,4.3,102.5,101.2,,
209,      9000,1996MM09,2.6,0.9,,104.1,101.7,,,1.9,0.5,102.8,100.6,,
210,      9000,1996KW03,5.5,3.7,,104.3,102.5,,,4.2,2.7,102.9,101.3,,
211,      9000,1996MM10,8.3,6.2,,111.9,109.0,,,6.6,4.8,109.1,106.5,,
212,      9000,1996MM11,5.9,3.9,,109.5,106.8,,,4.6,3.0,107.2,104.8,,
213,      9000,1996MM12,4.6,2.2,,109.2,106.5,,,3.5,1.6,106.8,104.4,,
214,      9000,1996KW04,6.3,4.1,,110.2,107.4,,,4.9,3.2,107.7,105.3,,
215,      9000,1996JJ00,6.0,4.0,,106.0,104.0,,157064.0,4.6,2.8,104.6,102.8,,194445.0
216,      9000,1997MM01,6.7,4.7,,109.8,107.0,,,6.5,4.8,107.8,105.4,,
217,      9000,1997MM02,2.6,0.8,,101.3,98.3,,,3.2,1.6,101.0,98.4,,
218,      9000,1997MM03,3.8,2.1,,109.1,105.3,,,4.1,2.7,107.4,104.2,,
219,      9000,1997KW01,4.3,2.6,,106.7,103.6,,,4.6,3.0,105.4,102.6,,
220,      9000,1997MM04,5.2,3.8,,110.1,106.3,,,5.4,4.1,110.6,107.2,,
221,      9000,1997MM05,5.7,3.9,,115.1,111.1,,,5.8,4.1,114.8,111.1,,
222,      9000,1997MM06,4.0,2.3,,111.8,108.4,,,4.6,2.9,112.4,109.2,,
223,      9000,1997KW02,4.9,3.3,,112.3,108.6,,,5.2,3.7,112.6,109.1,,
224,      9000,1997MM07,6.6,4.6,,111.8,108.2,,,6.6,4.6,110.2,106.8,,
225,      9000,1997MM08,3.5,0.9,,107.5,103.5,,,4.1,1.6,106.6,102.8,,
226,      9000,1997MM09,5.9,3.4,,110.3,105.2,,,6.1,3.7,109.1,104.3,,
227,      9000,1997KW03,5.3,3.0,,109.9,105.6,,,5.6,3.3,108.6,104.6,,
228,      9000,1997MM10,6.9,4.6,,119.7,114.0,,,7.0,4.6,116.6,111.4,,
229,      9000,1997MM11,3.7,1.2,,113.6,108.0,,,4.3,1.8,111.8,106.7,,
230,      9000,1997MM12,5.9,3.5,,115.6,110.1,,,6.1,3.7,113.3,108.3,,
231,      9000,1997KW04,5.5,3.1,,116.3,110.7,,,5.8,3.4,113.9,108.8,,
232,      9000,1997JJ00,5.1,3.0,,111.3,107.1,,164996.0,5.3,3.4,110.1,106.3,,204792.0
233,      9000,1998MM01,6.8,4.5,,117.3,111.8,,,6.7,4.2,115.0,109.8,,
234,      9000,1998MM02,6.3,3.7,,107.7,102.0,,,6.2,3.6,107.2,101.9,,
235,      9000,1998MM03,5.5,2.9,,115.0,108.4,,,5.4,2.8,113.2,107.1,,
236,      9000,1998KW01,6.2,3.7,,113.3,107.4,,,6.1,3.5,111.8,106.3,,
237,      9000,1998MM04,8.5,6.0,,119.4,112.6,,,8.0,5.5,119.5,113.1,,
238,      9000,1998MM05,6.0,4.0,,122.1,115.5,,,5.9,3.9,121.6,115.4,,
239,      9000,1998MM06,6.2,4.3,,118.8,113.0,,,6.1,4.1,119.3,113.7,,
240,      9000,1998KW02,6.9,4.7,,120.1,113.7,,,6.7,4.5,120.1,114.1,,
241,      9000,1998MM07,7.5,5.6,,120.2,114.3,,,7.2,5.3,118.2,112.5,,
242,      9000,1998MM08,6.2,4.6,,114.2,108.3,,,6.2,4.5,113.2,107.5,,
243,      9000,1998MM09,7.3,5.7,,118.3,111.2,,,7.1,5.3,116.8,109.8,,
244,      9000,1998KW03,7.0,5.3,,117.6,111.2,,,6.8,5.1,116.1,109.9,,
245,      9000,1998MM10,6.1,5.0,,127.0,119.7,,,6.0,4.8,123.7,116.7,,
246,      9000,1998MM11,6.2,5.4,,120.7,113.9,,,6.1,5.1,118.7,112.2,,
247,      9000,1998MM12,7.1,6.2,,123.8,117.0,,,6.9,5.9,121.2,114.6,,
248,      9000,1998KW04,6.5,5.5,,123.8,116.9,,,6.4,5.2,121.2,114.5,,
249,      9000,1998JJ00,6.7,4.8,,118.7,112.3,,175977.0,6.5,4.6,117.3,111.2,,218088.0
250,      9000,1999MM01,5.0,3.7,,123.2,115.9,,,5.2,3.4,121.0,113.5,,
251,      9000,1999MM02,7.2,5.9,,115.4,107.9,,,7.1,5.1,114.9,107.1,,
252,      9000,1999MM03,8.2,6.8,,124.5,115.7,,,8.0,5.9,122.3,113.5,,
253,      9000,1999KW01,6.8,5.4,,121.0,113.2,,,6.8,4.8,119.4,111.4,,
254,      9000,1999MM04,6.9,5.2,,127.6,118.5,,,6.8,4.6,127.6,118.3,,
255,      9000,1999MM05,5.4,3.6,,128.6,119.6,,,5.6,3.3,128.4,119.2,,
256,      9000,1999MM06,8.6,6.6,,129.0,120.4,,,8.2,5.7,129.0,120.1,,
257,      9000,1999KW02,6.9,5.1,,128.4,119.5,,,6.9,4.5,128.4,119.2,,
258,      9000,1999MM07,7.1,5.2,,128.7,120.2,,,6.9,4.5,126.4,117.5,,
259,      9000,1999MM08,6.5,4.0,,121.6,112.6,,,6.4,3.5,120.5,111.3,,
260,      9000,1999MM09,5.9,3.9,,125.4,115.5,,,6.0,3.6,123.8,113.7,,
261,      9000,1999KW03,6.5,4.4,,125.2,116.1,,,6.5,3.9,123.6,114.2,,
262,      9000,1999MM10,4.9,2.8,,133.2,123.1,,,5.3,2.6,130.2,119.8,,
263,      9000,1999MM11,7.0,4.8,,129.1,119.4,,,7.0,4.3,127.0,117.0,,
264,      9000,1999MM12,6.8,4.8,,132.2,122.6,,,6.8,4.2,129.4,119.5,,
265,      9000,1999KW04,6.2,4.1,,131.5,121.7,,,6.4,3.7,128.9,118.8,,
266,      9000,1999JJ00,6.6,4.7,,126.5,117.6,,187593.0,6.6,4.2,125.1,115.9,,232508.0
267,      9000,2000MM01,6.4,3.4,,131.1,119.9,,,6.6,3.2,129.0,117.2,,
268,      9000,2000MM02,8.8,5.6,,125.6,113.9,,,8.4,4.8,124.5,112.2,,
269,      9000,2000MM03,9.1,6.0,,135.9,122.6,,,8.9,5.3,133.1,119.5,,
