ID,SoortCijfers,Perioden,BUEnGWWWerken_1,InvesteringenUitProductieBouw_2,ProductieBinnenland_3,ProductieTotaal_4,TotaalBU_5,TotaalWoningen_6,Nieuwbouw_7,GrootOnderhoud_8,TotaalBedrijfsgebouwen_9,Nieuwbouw_10,GrootOnderhoud_11,GrondWegEnWaterbouwkundigeWerken_12,MachinesEnOverigeInvesteringen_13,TotaalKleinOnderhoudEnOverigeActiv_14,Woningen_15,Bedrijfsgebouwen_16,GWWWerken_17,OverigeProductenEnDiensten_18,ExterneOnderaanneming_19,InterneLeveringen_20,HandelsEnVervoersmarges_21,UitvoerVanDiensten_22,TotaalBedrijfsgebouwen_23,OverheidSocialeVerzDefensie_24,GesubsidieerdOnderwijs_25,OverigeBestemmingen_26,TotaalGWWWerken_27,OverheidSocialeVerzDefensie_28,HetRijk_29,OverigOverheidsbestuur_30,OverigeBestemmingen_31
24,2,1988JJ00,"  10,7","  10,8","  10,5","  10,6","  11,2","  11,8","  11,6","  12,2","  10,5","  10,0","  11,5","   8,4","  32,6","  10,0","   8,7","  13,3","   8,9","   5,6","  11,9","   9,7","  14,5","  22,2","  10,5","  26,1"," -12,3","  11,2","   8,4","   4,9",     .,     .,"  13,3"
25,2,1989JJ00,"   2,9","   3,1","   3,5","   3,7","   3,7","   0,3","   0,2","   0,4","   8,1","   6,8","  11,0","  -0,5","  19,3","   3,5","   3,5","   0,8","   6,3","   2,9","   2,9","   4,6","   4,1","  43,9","   8,1","  13,6","  -8,3","   8,8","  -0,5","  -8,9",     .,     .,"  10,5"
26,2,1990JJ00,"   0,1","  -0,2","   1,0","   1,5","  -0,2","  -2,7","  -2,7","  -2,5","   2,8","   3,1","   2,1","   1,1"," -26,0","   3,4","   1,1","  -0,8","   9,4","  10,2","   0,7","   2,1","   6,1","  77,7","   2,8","   0,4","  19,5","   1,7","   1,1","   8,0",     .,     .,"  -6,4"
27,2,1991JJ00,"  -0,7","  -0,3","   1,0","   1,2","  -0,4","  -2,7","  -1,1","  -5,7","   2,2","   0,3","   6,5","  -2,1","  53,9","   2,3","   5,5","   2,7","  -1,3","   0,0","  -1,3","   3,5","   4,9","  16,4","   2,2","  -1,9","  -3,2","   3,4","  -2,1","  -6,2",     .,     .,"   3,0"
28,2,1992JJ00,"   2,1","   2,0","  -0,4","  -0,2","   0,1","   4,9","   3,6","   7,5","  -5,1","  -4,4","  -6,6","  11,0","  -8,6","  -1,1","  -0,8","   0,2","  -2,9","   0,8","  -1,7","  -5,6","   8,0","  11,2","  -5,1","   9,1","   2,0","  -7,9","  11,0","  -0,9",     .,     .,"  24,5"
29,2,1993JJ00,"  -3,7","  -3,6","  -3,3","  -3,1","  -4,9","  -1,3","  -2,3","   0,5","  -9,2","  -9,0","  -9,8","   1,3","   5,5","   0,9","   0,1","  -1,1","   3,9","  -0,4","  -4,3","  -5,7","  -4,8","  15,3","  -9,2","  -7,0","  -5,6"," -10,0","   1,3","  -1,8",     .,     .,"   4,1"
30,2,1994JJ00,"   1,7","   1,8","   2,2","   2,4","   2,8","   7,3","   8,2","   5,5","  -2,9","  -4,2","   0,1","  -2,4","   3,7","   4,7","  10,7","  -1,3","   3,2","   2,5","   1,7","   1,5","  -0,9","  17,8","  -2,9","   5,9","  10,8","  -6,0","  -2,4","   4,2",     .,     .,"  -8,1"
31,2,1995JJ00,"   1,7","   1,4","   1,3","   1,5","   0,6","   0,8","   0,7","   1,0","   0,3","  -0,1","   1,3","   5,8"," -21,6","  -0,3","   0,1","   0,3","  -0,2","  -9,9","   3,7","   1,9","   3,5","  13,7","   0,3"," -12,2","  17,8","   0,7","   5,8"," -11,8",     .,     .,"  23,3"
32,2,1996JJ00,"   1,0","   1,2","   3,6","   3,6","   0,1","   1,5","   1,0","   2,5","  -2,0","  -2,9","  -0,2","   4,6","  22,9","   6,6","   1,2","   2,1","  16,1","  17,6","   8,3","   6,3","  13,4","   3,3","  -2,0","  -1,7","  -0,7","  -2,3","   4,6","  20,7","  15,1","  22,6","  -6,9"
33,2,1997JJ00,"   1,9","   2,1","   1,8","   2,5","   4,3","   5,3","   7,4","   1,5","   2,7","   2,9","   2,2","  -6,5","  16,4","   4,3","   2,1","   0,6","   6,5","  33,5","  -0,2","   0,0","  -7,4","  30,7","   2,7","   0,1"," -52,6","  11,4","  -6,5","  -9,7","  -1,5"," -12,3","  -3,5"
34,2,1998JJ00,"   2,9","   3,3","   3,8","   3,9","   3,7","   1,3","  -1,3","   6,4","   7,4","   6,8","   8,8","  -0,6","  38,4","   3,9","   0,9","   2,8","   8,7","  -1,9","   6,2","   4,1","  19,8","   6,8","   7,4","  11,4"," -13,8","   8,1","  -0,6","   2,4","   2,0","   2,6","  -3,2"
35,2,1999JJ00,"   6,4","   7,0","   6,4","   6,4","   5,5","   2,2","   2,2","   2,3","  10,3","  10,4","  10,1","  10,2","  39,3","   5,7","   3,3","   8,4","   7,1","  -2,1","   6,0","   7,0"," -27,2","   7,8","  10,3","  -3,0","  16,9","  12,2","  10,2","   8,6","   9,7","   8,2","  11,8"
36,2,2000JJ00,"   4,6","   4,3","   4,8","   4,6","   3,5","   3,4","   3,8","   2,8","   3,7","   3,9","   3,2","   9,1","  -9,2","   3,6","   1,9","   5,9","   3,2","   8,9","   7,8","   6,7","   2,4","  -3,4","   3,7","  23,1","  10,0","   0,5","   9,1","  13,6","   8,5","  15,5","   5,0"
37,2,2001JJ00,"   0,6","   0,3","   2,1","   2,3","   0,6","   0,3","  -2,2","   5,1","   1,0","   1,0","   0,9","   0,6"," -15,5","   4,5","   2,2","   5,7","   5,8","   4,7","   5,0","   4,5","  -4,8","   9,9","   1,0","  -6,8","  11,1","   1,8","   0,6","   4,7","  26,8","  -2,7","  -3,5"
38,2,2002JJ00,"  -6,7","  -6,7","  -4,0","  -4,3","  -6,9","  -7,5","  -7,3","  -7,7","  -6,2","  -9,0","  -0,3","  -5,7","  -8,0","   2,6","   1,7","   1,0","   5,1","  -1,4","   0,1","  -3,4","   2,0"," -15,3","  -6,2","  11,9","  13,5"," -10,4","  -5,7","   4,2","   3,0","   4,7"," -16,3"
39,2,2003JJ00,"  -5,5","  -5,8","  -4,5","  -4,6","  -5,4","  -5,0","  -5,6","  -4,0","  -6,0","  -8,4","  -1,2","  -5,6"," -29,3","   0,8","   0,7","   0,5","   1,5","  -2,7","  -5,2","  -5,6","   0,0","  -8,4","  -6,0","  12,4"," -14,2","  -9,2","  -5,6","  -2,0","  24,3"," -13,3"," -10,5"
40,2,2004JJ00,"  -3,0","  -2,9","  -2,0","  -1,8","  -1,1","   4,2","   5,8","   1,1","  -8,3","  -8,8","  -7,4"," -10,6","   5,8","   0,4","   0,7","  -1,6","   1,5","   0,7","  -2,6","  -2,2","   8,2","   4,7","  -8,3"," -17,2"," -26,2","  -4,6"," -10,6"," -13,7"," -20,1","  -9,7","  -6,2"
41,2,2005JJ00,"   3,3","   3,3","   2,6","   2,9","   2,1","   5,4","   5,5","   5,1","  -3,0","  -3,7","  -1,8","   8,9","   0,0","   1,3","   2,0","   2,0","   0,6","  -3,8","   0,1","   2,5","  -2,1","  16,9","  -3,0","   1,8","   6,1","  -4,7","   8,9","   4,5"," -25,0","  20,6","  14,8"
42,2,2006JJ00,"   4,9","   5,0","   4,5","   4,1","   4,9","   6,7","   7,6","   5,0","   1,6","   1,7","   1,5","   5,3","   6,8","   2,1","  -0,5","   3,7","   3,4","   3,4","   3,4","   5,5","  11,6"," -10,9","   1,6","   5,2","  17,5","  -0,3","   5,3","   4,3","   2,9","   4,7","   6,6"
43,2,2007JJ00,"   7,3","   7,2","   6,8","   6,6","   9,0","   6,0","   4,9","   8,2","  14,5","  16,2","  11,4","   0,0","  -5,7","   3,7","   2,7","   4,8","   3,8","   4,8","   6,6","   8,4","   9,5","  -0,2","  14,5","   7,4","   9,1","  16,7","   0,0","   3,3","   5,4","   2,7","  -4,1"
44,2,2008JJ00,"   6,6","   6,5","   5,5","   5,7","   7,5","   3,7","   3,6","   3,8","  13,9","  14,4","  13,0","   2,3","  -7,6","   2,8","   3,7","   2,7","   1,9","   3,2","   2,0","   6,1","   4,7","  11,4","  13,9","  -0,4","  11,9","  17,5","   2,3","   9,8","  30,6","   2,7","  -7,5"
45,2,2009JJ00,"  -7,7","  -7,6","  -5,5","  -5,4"," -10,0"," -11,5"," -13,0","  -8,6","  -7,7","  -7,4","  -8,3","   3,5","  -3,4","   0,7","  -0,2","   0,3","   2,0","  -0,6","  -7,7","  -5,0","  -6,9","  -3,8","  -7,7","   4,3","  -2,9"," -10,5","   3,5","  12,7","   1,2","  17,8"," -10,8"
46,3,1987JJ00,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .
47,3,1988JJ00,"   2,1","   2,1","   2,3","   2,3","   2,4","   2,2","   2,2","   2,0","   2,8","   3,0","   2,4","   0,8","   1,1","   2,1","   3,2","   2,2","   1,0","   0,0","   2,5","   2,9","   0,0","  -0,6","   2,8","   2,8","   3,2","   2,8","   0,8","   0,9",     .,     .,"   0,8"
48,3,1989JJ00,"   2,4","   2,4","   2,7","   2,7","   2,1","   1,7","   1,7","   1,8","   2,5","   2,9","   1,5","   3,7","   1,4","   2,5","   4,4","   1,4","   1,6","   1,4","   4,8","   3,6","   0,0","   4,7","   2,5","   2,5","   2,7","   2,5","   3,7","   3,9",     .,     .,"   3,5"
49,3,1990JJ00,"   2,7","   2,7","   2,9","   2,8","   2,6","   2,7","   2,8","   2,6","   2,4","   2,4","   2,4","   3,5","   1,9","   2,5","   2,8","   1,5","   3,1","   0,8","   2,9","   3,5","   3,7","  -3,9","   2,4","   2,5","   2,6","   2,3","   3,5","   3,5",     .,     .,"   3,5"
50,3,1991JJ00,"   2,8","   2,8","   2,7","   2,7","   2,6","   2,8","   2,5","   3,2","   2,5","   2,7","   1,9","   3,8","   1,2","   1,8","   2,0","   1,9","   1,7","   0,8","   2,7","   3,0","   0,0","   3,9","   2,5","   2,6","   2,6","   2,4","   3,8","   3,9",     .,     .,"   3,6"
51,3,1992JJ00,"   3,3","   3,3","   3,3","   3,3","   3,5","   3,5","   3,9","   2,8","   3,5","   3,9","   2,6","   2,7","   0,4","   3,1","   3,6","   2,9","   3,1","   0,4","   3,9","   3,5","   1,4","   2,6","   3,5","   3,5","   3,6","   3,4","   2,7","   3,7",     .,     .,"   1,8"
52,3,1993JJ00,"   2,8","   2,8","   2,8","   2,8","   2,8","   2,8","   3,3","   1,8","   2,9","   3,3","   1,8","   2,9","  -1,2","   2,9","   3,0","   2,3","   3,6","   0,4","   2,6","   3,1","   1,5","   3,1","   2,9","   3,2","   3,2","   2,8","   2,9","   3,2",     .,     .,"   2,5"
53,3,1994JJ00,"   1,9","   1,9","   1,8","   1,8","   1,9","   2,0","   1,9","   2,1","   1,9","   1,9","   1,8","   1,8","   0,0","   1,9","   1,8","   2,7","   1,5","   1,2","   1,7","   1,6","   0,3","   2,7","   1,9","   2,0","   1,9","   1,8","   1,8","   2,0",     .,     .,"   1,5"
54,3,1995JJ00,"   2,5","   2,5","   2,3","   2,3","   2,6","   2,6","   2,8","   2,4","   2,5","   2,5","   2,3","   2,0","   9,0","   1,7","   2,2","   1,4","   1,3","   2,2","   2,7","   2,4","   0,0","   1,4","   2,5","   2,7","   2,5","   2,4","   2,0","   2,2","   2,2","   2,2","   1,9"
55,3,1996JJ00,"   2,8","   2,8","   2,5","   2,5","   3,1","   3,2","   3,5","   2,4","   3,1","   3,4","   2,6","   1,5","   0,0","   1,8","   2,3","   2,2","   1,0","   0,4","   2,0","   2,5","  -1,5","   1,8","   3,1","   3,3","   3,4","   3,1","   1,5","   2,1","   2,0","   2,1","   1,0"
56,3,1997JJ00,"   2,0","   2,0","   1,9","   1,9","   2,0","   2,0","   2,0","   1,9","   2,1","   2,1","   2,1","   1,9","   1,0","   1,7","   2,2","   1,4","   1,5","   1,4","   2,1","   2,0","   0,0","   1,1","   2,1","   2,4","   2,2","   2,1","   1,9","   2,2","   2,2","   2,2","   1,6"
57,3,1998JJ00,"   2,5","   2,5","   2,4","   2,4","   2,6","   2,7","   3,0","   2,0","   2,6","   2,8","   2,1","   2,1","   2,1","   1,9","   2,2","   1,6","   1,9","   2,7","   2,0","   2,5","   3,0","   2,2","   2,6","   2,8","   2,5","   2,5","   2,1","   2,3","   2,3","   2,3","   1,9"
58,3,1999JJ00,"   3,2","   3,2","   3,0","   3,0","   3,4","   3,7","   4,0","   3,1","   2,9","   2,9","   2,7","   2,5","   1,3","   2,4","   3,1","   2,4","   1,8","   0,8","   3,9","   3,1","   2,8","   3,4","   2,9","   3,3","   2,6","   2,8","   2,5","   2,8","   2,9","   2,8","   2,3"
59,3,2000JJ00,"   5,0","   5,0","   4,8","   4,8","   5,3","   5,5","   5,4","   5,6","   5,0","   5,2","   4,5","   4,2","   1,9","   4,2","   4,3","   3,9","   4,7","   0,7","   4,5","   4,8","   2,0","   4,2","   5,0","   4,9","   4,8","   5,0","   4,2","   4,2","   4,2","   4,3","   4,2"
60,3,2001JJ00,"   4,9","   4,9","   4,8","   4,8","   5,1","   4,9","   4,8","   5,1","   5,3","   5,3","   5,3","   4,3","   1,4","   4,7","   5,5","   4,5","   4,2","   3,5","   5,4","   4,7","   3,0","   4,4","   5,3","   5,2","   5,5","   5,3","   4,3","   4,2","   4,2","   4,2","   4,5"
61,3,2002JJ00,"   5,8","   5,7","   4,9","   4,9","   6,2","   6,2","   6,2","   6,0","   6,3","   7,2","   4,6","   4,0","   3,7","   4,4","   6,1","   3,2","   3,8","   2,3","   4,3","   3,6","   2,8","   3,8","   6,3","   6,7","   6,4","   6,2","   4,0","   4,3","   4,3","   4,3","   3,6"
62,3,2003JJ00,"   3,1","   3,1","   2,8","   2,8","   3,5","   4,5","   6,1","   1,8","   2,1","   2,3","   1,8","   1,6","   2,1","   1,8","   2,4","   1,1","   1,7","   1,2","   2,8","   3,1","  -1,9","   1,9","   2,1","   2,5","   2,4","   2,0","   1,6","   1,6","   1,7","   1,6","   1,6"
63,3,2004JJ00,"   2,2","   2,2","   1,9","   1,9","   2,5","   3,0","   4,0","   1,2","   1,7","   2,0","   1,2","   0,8","   0,6","   1,2","   1,5","   1,4","   0,8","   0,5","   1,9","   2,1","  -0,8","   1,2","   1,7","   2,1","   1,7","   1,6","   0,8","   0,8","   0,8","   0,7","   0,8"
64,3,2005JJ00,"   1,9","   1,9","   1,7","   1,7","   2,2","   2,3","   2,7","   1,5","   2,1","   2,3","   1,6","   0,7","   0,3","   1,2","   1,8","   1,1","   0,6","   2,8","   2,0","   1,7","   0,0","   0,7","   2,1","   2,7","   1,8","   2,0","   0,7","   0,9","   0,9","   0,9","   0,5"
65,3,2006JJ00,"   3,3","   3,3","   3,2","   3,2","   3,4","   3,5","   3,6","   3,4","   3,2","   3,2","   3,2","   2,9","   2,8","   2,9","   3,2","   2,8","   2,7","   2,4","   3,5","   3,4","  -6,3","   3,0","   3,2","   3,3","   3,2","   3,2","   2,9","   3,1","   3,1","   3,1","   2,7"
66,3,2007JJ00,"   2,1","   2,1","   2,5","   2,5","   1,7","   1,4","   1,1","   2,1","   2,2","   2,1","   2,4","   3,8","   4,2","   3,7","   3,7","   3,7","   3,7","   2,9","   3,3","   2,4","   0,9","   3,5","   2,2","   2,3","   2,2","   2,2","   3,8","   3,9","   3,9","   3,9","   3,7"
67,3,2008JJ00,"   3,6","   3,6","   3,6","   3,7","   3,2","   2,9","   2,9","   3,0","   3,7","   3,7","   3,8","   5,3","   4,1","   3,8","   3,0","   3,2","   4,8","   3,7","   4,0","   3,6","   2,7","   4,5","   3,7","   4,0","   3,6","   3,7","   5,3","   4,8","   4,8","   4,8","   6,0"
68,3,2009JJ00,"   3,0","   3,0","   2,2","   2,2","   4,2","   4,1","   4,8","   2,8","   4,3","   4,7","   3,4","  -2,1","   1,4","   0,5","  -0,2","   1,0","   1,0","  -1,5","   2,0","   2,1","   0,5","  -0,5","   4,3","   4,1","   4,1","   4,3","  -2,1","  -2,1","  -2,0","  -2,1","  -2,0"
