ID,Regio,SoortCijfer,ErvarenGezondheidZeerGoed_1,ContactMetDeHuisartsIn1Jaar_2,ContactMetEenSpecialistIn1Jaar_3,ZiekenhuisopnamenIn1Jaar_4,ContactMetDeFysiotherapeutIn1Jaar_5,Mannen_6,Vrouwen_7,BuitengewoonZeerTevredenMetLeven_8,ErgGelukkigMens_9,WekelijksContactVrienden_10,WekelijksContactFamilie_11,WekelijksCafebezoek_12,BeslistGeenVerhuiswens_13,MaandelijksActiefBinnenVereniging_14,Koopwoning_15,Huurwoning_16
15,PV22  ,2,1.1,0.3,0.2,1.0,0.3,1.0,1.3,1.0,0.6,0.9,0.7,0.6,0.9,1.0,1.0,1.0
16,PV23  ,1,82.3,3.9,1.4,5.6,2.8,18.1,58.8,43.5,90.5,77.1,86.3,12.2,72.3,49.0,64.8,35.2
17,PV23  ,2,0.7,0.2,0.1,0.5,0.2,0.6,0.9,0.7,0.4,0.6,0.5,0.4,0.6,0.7,0.7,0.7
18,PV24  ,1,81.8,3.9,2.1,5.8,2.5,18.7,61.9,46.9,89.2,78.7,82.2,5.9,72.3,39.3,68.2,31.8
19,PV24  ,2,1.2,0.4,0.3,1.1,0.3,1.1,1.6,1.3,0.8,1.0,1.0,0.6,1.1,1.2,1.2,1.2
20,PV25  ,1,80.8,3.7,1.6,6.6,2.8,19.2,57.4,42.3,89.3,78.0,84.6,11.1,71.8,47.4,62.6,37.4
21,PV25  ,2,0.5,0.2,0.1,0.5,0.2,0.5,0.7,0.5,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5
22,PV26  ,1,82.1,3.6,1.7,6.0,3.1,17.6,54.6,44.7,89.0,78.1,81.5,11.0,67.5,43.6,59.9,40.1
23,PV26  ,2,0.7,0.2,0.1,0.6,0.2,0.6,0.8,0.7,0.4,0.6,0.5,0.4,0.6,0.7,0.7,0.7
24,PV27  ,1,80.9,4.3,2.1,6.8,3.1,20.9,56.1,41.9,88.4,80.3,82.2,13.5,70.0,42.9,51.0,49.0
25,PV27  ,2,0.5,0.1,0.1,0.4,0.1,0.4,0.6,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.5
26,PV28  ,1,80.8,4.0,1.8,7.0,2.8,19.7,56.8,42.3,87.9,77.9,82.2,10.8,68.8,40.9,51.2,48.8
27,PV28  ,2,0.4,0.1,0.1,0.3,0.1,0.4,0.5,0.4,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.4
28,PV29  ,1,79.7,3.5,1.4,8.5,3.2,18.4,65.5,36.8,89.0,78.1,85.6,14.9,76.9,44.1,70.5,29.5
29,PV29  ,2,1.2,0.3,0.2,1.3,0.4,1.0,1.4,1.1,0.7,1.0,0.8,0.8,1.0,1.2,1.1,1.1
30,PV30  ,1,80.0,4.0,1.7,7.1,2.7,18.5,59.8,45.4,90.1,82.1,85.7,14.8,75.1,48.9,63.5,36.5
31,PV30  ,2,0.5,0.1,0.1,0.4,0.1,0.4,0.6,0.5,0.3,0.4,0.3,0.3,0.4,0.5,0.5,0.5
32,PV31  ,1,76.6,4.6,1.9,8.8,2.7,19.5,61.6,40.7,88.3,80.4,85.5,17.2,75.5,48.4,64.4,35.6
33,PV31  ,2,0.7,0.2,0.2,0.7,0.2,0.6,0.9,0.7,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7
34,CR01  ,1,79.3,4.1,2.3,6.1,2.4,23.3,66.6,36.0,89.0,70.7,86.1,7.6,79.5,39.8,68.2,31.8
35,CR01  ,2,1.9,0.6,0.4,1.3,0.5,1.9,2.3,1.7,1.1,1.6,1.2,1.0,1.5,1.8,1.7,1.7
36,CR02  ,1,80.4,4.3,1.2,12.2,2.3,17.6,67.9,38.1,88.7,82.1,82.9,7.5,77.5,43.7,65.7,34.3
37,CR02  ,2,3.1,1.0,0.5,5.9,0.7,2.8,3.7,2.9,1.9,2.3,2.3,1.6,2.6,3.0,3.0,3.0
38,CR03  ,1,83.3,4.0,1.6,8.3,2.1,21.4,53.0,41.9,88.5,80.2,82.9,16.2,63.9,47.0,56.5,43.5
39,CR03  ,2,1.2,0.4,0.2,1.2,0.3,1.1,1.5,1.2,0.7,0.9,0.9,0.9,1.1,1.2,1.2,1.2
40,CR04  ,1,81.9,3.4,1.3,6.0,2.9,19.9,62.6,41.4,91.9,78.0,86.4,13.4,77.5,48.0,66.3,33.7
41,CR04  ,2,1.2,0.4,0.2,0.9,0.4,1.1,1.5,1.2,0.7,1.0,0.8,0.8,1.0,1.2,1.2,1.2
42,CR05  ,1,83.3,3.9,2.2,4.7,2.1,22.2,63.3,38.1,92.1,76.3,85.5,14.3,74.6,51.8,66.6,33.4
43,CR05  ,2,2.2,0.7,0.6,1.5,0.5,2.1,2.8,2.2,1.2,1.9,1.6,1.6,1.9,2.2,2.2,2.2
44,CR06  ,1,81.6,4.1,1.9,6.5,2.5,21.6,65.5,44.3,91.9,76.8,86.4,8.5,72.1,45.7,66.8,33.2
45,CR06  ,2,1.6,0.5,0.5,1.3,0.5,1.6,2.1,1.6,0.9,1.4,1.1,0.9,1.5,1.6,1.5,1.5
46,CR07  ,1,82.7,3.2,1.7,6.5,2.0,20.9,60.7,42.0,90.1,76.5,85.5,7.8,74.6,53.8,70.8,29.2
47,CR07  ,2,1.7,0.5,0.4,1.4,0.4,1.7,2.2,1.7,1.0,1.5,1.2,0.9,1.5,1.7,1.6,1.6
48,CR08  ,1,79.9,4.2,1.9,7.2,1.7,17.7,63.1,41.0,88.6,71.7,85.6,8.4,76.2,44.5,65.7,34.3
49,CR08  ,2,1.8,0.6,0.4,1.4,0.5,1.5,2.2,1.7,1.1,1.6,1.2,1.0,1.5,1.7,1.7,1.7
50,CR09  ,1,81.3,4.8,1.5,7.6,2.2,21.7,63.5,42.1,90.1,73.8,83.9,10.0,76.0,47.2,69.7,30.3
51,CR09  ,2,1.9,0.7,0.3,2.3,0.5,1.8,2.4,1.9,1.1,1.7,1.4,1.1,1.6,1.9,1.9,1.9
52,CR10  ,1,83.1,3.1,1.2,5.4,2.1,14.6,55.3,43.9,91.3,75.6,84.1,12.3,72.2,47.8,65.5,34.5
53,CR10  ,2,1.2,0.3,0.2,1.0,0.3,1.0,1.6,1.2,0.7,1.1,0.9,0.8,1.1,1.2,1.2,1.2
54,CR11  ,1,82.7,4.1,1.5,5.8,2.7,18.7,57.8,42.2,90.6,76.2,83.8,11.7,68.1,49.9,60.3,39.7
55,CR11  ,2,1.8,0.6,0.3,1.3,0.7,1.6,2.3,1.8,1.1,1.5,1.3,1.2,1.7,1.8,1.9,1.9
56,CR12  ,1,81.8,4.3,1.6,5.7,3.2,20.0,61.1,43.6,90.1,78.2,88.3,12.3,73.5,49.4,65.5,34.5
57,CR12  ,2,0.9,0.3,0.2,0.7,0.4,0.9,1.2,0.9,0.6,0.8,0.6,0.6,0.8,0.9,0.9,0.9
58,CR13  ,1,81.1,3.4,1.6,7.3,2.5,17.8,56.5,42.9,90.7,76.7,84.3,9.4,72.5,46.7,65.1,34.9
59,CR13  ,2,0.9,0.3,0.2,0.9,0.2,0.8,1.2,0.9,0.5,0.8,0.7,0.5,0.8,0.9,0.9,0.9
60,CR14  ,1,80.0,4.4,1.9,7.4,3.2,19.5,62.7,39.5,90.0,75.6,86.2,13.0,75.8,53.7,68.1,31.9
61,CR14  ,2,1.2,0.4,0.2,1.0,0.4,1.0,1.5,1.1,0.7,1.0,0.8,0.7,1.0,1.1,1.1,1.1
62,CR15  ,1,81.3,3.4,1.4,6.0,2.6,21.5,54.8,43.0,87.6,80.9,83.3,12.6,67.7,45.1,55.6,44.4
63,CR15  ,2,0.9,0.2,0.2,0.7,0.2,0.9,1.1,0.9,0.6,0.7,0.6,0.6,0.8,0.9,0.9,0.9
64,CR16  ,1,80.2,3.5,1.6,4.6,3.4,15.9,59.6,43.7,89.3,77.3,86.5,8.0,74.7,44.4,68.8,31.2
65,CR16  ,2,1.5,0.5,0.3,1.0,0.6,1.3,2.0,1.5,0.9,1.3,1.0,0.8,1.3,1.5,1.4,1.4
66,CR17  ,1,82.1,3.6,1.7,6.0,3.1,17.6,54.6,44.7,89.0,78.1,81.5,11.0,67.5,43.6,59.9,40.1
67,CR17  ,2,0.7,0.2,0.1,0.6,0.2,0.6,0.8,0.7,0.4,0.6,0.5,0.4,0.6,0.7,0.7,0.7
68,CR18  ,1,83.9,4.4,1.5,5.8,2.5,17.0,59.2,43.7,89.3,79.0,81.2,11.8,73.6,49.7,69.9,30.1
69,CR18  ,2,1.2,0.4,0.2,0.9,0.2,1.0,1.4,1.2,0.7,1.0,0.9,0.8,1.0,1.2,1.1,1.1
70,CR19  ,1,82.4,3.7,1.1,6.4,2.2,16.0,59.4,42.9,89.4,78.6,81.9,10.9,74.9,44.9,67.4,32.6
71,CR19  ,2,1.5,0.4,0.2,1.1,0.3,1.2,1.8,1.5,0.9,1.2,1.1,0.9,1.3,1.5,1.5,1.5
72,CR20  ,1,77.1,5.1,2.5,8.9,5.0,21.0,62.1,42.9,90.4,78.8,86.0,10.9,75.5,48.5,62.1,37.9
73,CR20  ,2,1.8,0.6,0.5,1.7,0.7,1.7,2.3,1.7,1.0,1.4,1.2,1.1,1.5,1.7,1.7,1.7
74,CR21  ,1,81.6,4.0,2.2,3.8,3.7,25.5,60.3,39.2,87.6,82.2,79.8,12.7,71.4,47.6,58.4,41.6
75,CR21  ,2,1.6,0.5,0.4,0.9,0.5,1.6,1.8,1.5,1.0,1.2,1.3,1.0,1.4,1.6,1.5,1.5
76,CR22  ,1,81.1,5.2,2.4,5.5,2.4,19.1,53.8,46.7,89.7,76.5,85.9,8.2,72.5,46.6,58.3,41.7
77,CR22  ,2,1.9,0.8,0.5,1.3,0.5,1.8,2.4,1.9,1.1,1.6,1.3,1.0,1.7,1.9,1.8,1.8
78,CR23  ,1,80.5,4.2,2.2,7.7,3.0,23.4,53.7,39.7,86.8,81.5,81.2,16.6,65.4,37.8,36.5,63.5
79,CR23  ,2,0.7,0.2,0.2,0.6,0.2,0.7,0.8,0.6,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6
80,CR24  ,1,79.5,4.6,3.0,6.5,4.0,16.8,54.1,48.5,92.2,80.5,86.2,9.6,75.2,45.2,61.2,38.8
81,CR24  ,2,1.5,0.5,0.5,1.5,0.5,1.4,1.9,1.5,0.8,1.2,1.0,0.9,1.3,1.5,1.4,1.4
82,CR25  ,1,85.9,3.4,1.7,5.5,2.4,16.8,49.3,39.3,92.1,82.8,82.3,14.8,70.8,44.3,59.2,40.8
83,CR25  ,2,1.0,0.3,0.3,0.8,0.3,1.0,1.4,1.1,0.6,0.8,0.8,0.8,1.0,1.1,1.2,1.2
84,CR26  ,1,78.9,4.3,1.8,7.8,3.4,23.8,54.6,42.4,85.9,77.8,81.2,10.2,64.0,38.6,48.9,51.1
85,CR26  ,2,0.9,0.3,0.2,0.9,0.3,0.9,1.0,0.8,0.6,0.7,0.7,0.5,0.8,0.8,0.8,0.8
86,CR27  ,1,81.5,3.2,1.7,4.1,3.0,15.0,59.4,44.6,89.8,78.0,83.8,10.0,67.9,48.5,55.9,44.1
87,CR27  ,2,1.5,0.4,0.3,0.9,0.5,1.3,1.9,1.5,0.9,1.3,1.1,0.9,1.4,1.5,1.6,1.6
88,CR28  ,1,84.6,3.7,1.2,7.3,2.2,14.6,58.4,47.9,90.6,77.0,80.7,9.3,73.4,44.5,61.9,38.1
89,CR28  ,2,1.2,0.4,0.2,1.1,0.3,1.1,1.7,1.3,0.8,1.1,1.0,0.8,1.2,1.3,1.3,1.3
90,CR29  ,1,79.4,4.2,1.9,7.6,2.7,21.6,59.4,41.3,86.4,76.7,82.0,10.7,69.1,38.0,45.1,54.9
91,CR29  ,2,0.6,0.2,0.1,0.6,0.2,0.6,0.8,0.6,0.4,0.5,0.5,0.4,0.6,0.6,0.6,0.6
92,CR30  ,1,79.6,4.3,2.1,6.4,2.5,16.2,57.7,42.9,88.6,77.2,85.0,9.4,71.3,43.7,57.8,42.2
93,CR30  ,2,1.1,0.4,0.2,0.8,0.3,0.9,1.4,1.1,0.7,0.9,0.8,0.6,1.0,1.1,1.2,1.2
94,CR31  ,1,76.1,5.4,1.8,12.5,3.8,19.4,66.4,37.9,88.3,78.1,86.3,15.5,80.7,42.5,77.4,22.6
95,CR31  ,2,2.5,0.8,0.5,2.5,1.0,2.0,2.7,2.1,1.4,1.8,1.5,1.6,1.7,2.2,1.9,1.9
96,CR32  ,1,81.1,2.8,1.3,7.1,3.0,18.0,65.1,36.4,89.3,78.0,85.4,14.7,75.5,44.7,67.6,32.4
97,CR32  ,2,1.4,0.4,0.2,1.5,0.5,1.2,1.7,1.3,0.9,1.1,1.0,1.0,1.2,1.4,1.3,1.3
98,CR33  ,1,78.9,3.9,1.7,8.3,2.7,20.0,61.6,45.4,90.4,80.3,86.0,13.5,76.6,46.4,62.5,37.5
99,CR33  ,2,1.0,0.3,0.2,0.9,0.3,0.9,1.3,0.9,0.6,0.8,0.7,0.6,0.8,0.9,0.9,0.9
100,CR34  ,1,80.9,3.9,1.5,7.8,2.5,16.8,56.9,46.2,89.0,83.0,84.5,16.5,73.6,47.8,60.6,39.4
101,CR34  ,2,1.1,0.4,0.2,1.3,0.3,1.0,1.5,1.1,0.7,0.8,0.8,0.8,1.0,1.1,1.1,1.1
102,CR35  ,1,80.4,3.9,1.8,7.5,2.9,18.1,59.7,45.2,91.1,83.0,85.3,15.3,76.7,51.3,67.0,33.0
103,CR35  ,2,0.9,0.3,0.2,0.8,0.3,0.8,1.1,0.9,0.5,0.7,0.6,0.6,0.8,0.9,0.9,0.9
104,CR36  ,1,80.2,4.2,1.6,5.3,2.5,18.6,60.1,45.3,89.6,82.2,86.3,14.5,73.5,49.3,63.2,36.8
105,CR36  ,2,0.9,0.3,0.2,0.6,0.2,0.7,1.1,0.8,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8
106,CR37  ,1,81.7,3.1,1.7,6.8,1.9,16.2,59.5,43.1,91.0,81.8,85.3,17.9,76.9,54.1,67.9,32.1
107,CR37  ,2,1.3,0.4,0.3,1.1,0.3,1.1,1.8,1.3,0.8,1.0,1.0,1.0,1.1,1.3,1.3,1.3
108,CR38  ,1,78.2,4.7,1.9,8.1,3.6,17.2,63.9,40.3,90.0,78.8,86.5,17.2,75.5,50.7,71.1,28.9
109,CR38  ,2,1.6,0.5,0.3,1.7,0.5,1.3,1.9,1.4,0.9,1.2,1.0,1.1,1.3,1.5,1.4,1.4
110,CR39  ,1,73.5,5.3,2.1,9.9,2.7,21.8,61.8,39.9,86.4,80.3,85.3,16.9,74.9,45.0,60.7,39.3
111,CR39  ,2,1.1,0.3,0.2,1.0,0.3,0.9,1.2,0.9,0.6,0.7,0.6,0.7,0.8,0.9,0.9,0.9
112,CR40  ,1,81.8,3.9,2.1,5.8,2.5,18.7,61.9,46.9,89.2,78.7,82.2,5.9,72.3,39.3,68.2,31.8
113,CR40  ,2,1.2,0.4,0.3,1.1,0.3,1.1,1.6,1.3,0.8,1.0,1.0,0.6,1.1,1.2,1.2,1.2
