ID,RegioS,BronEnTechniek,Perioden,OpgesteldElektrischVermogen_1,NietGenormaliseerdeProductie_2,GenormaliseerdeProductie_3
51,PV20  ,E006637 ,2020JJ00,620.0,1154.0,1056.0
52,PV20  ,E006637 ,2021JJ00,731.0,1563.0,1624.0
53,PV20  ,E006637 ,2022JJ00,839.0,2043.0,1970.0
54,PV20  ,E006637 ,2023JJ00,868.0,2315.0,2039.0
55,PV20  ,E006637 ,2024JJ00,916.0,2303.0,2198.0
56,PV21  ,E006590 ,2018JJ00,325.0,247.0,247.0
57,PV21  ,E006590 ,2019JJ00,441.0,345.0,345.0
58,PV21  ,E006590 ,2020JJ00,702.0,513.0,513.0
59,PV21  ,E006590 ,2021JJ00,865.0,690.0,690.0
60,PV21  ,E006590 ,2022JJ00,1040.0,917.0,917.0
61,PV21  ,E006590 ,2023JJ00,1292.0,1061.0,1061.0
62,PV21  ,E006590 ,2024JJ00,1410.0,1155.0,1155.0
63,PV21  ,A050176 ,2018JJ00,140.0,117.0,117.0
64,PV21  ,A050176 ,2019JJ00,193.0,153.0,153.0
65,PV21  ,A050176 ,2020JJ00,257.0,217.0,217.0
66,PV21  ,A050176 ,2021JJ00,323.0,257.0,257.0
67,PV21  ,A050176 ,2022JJ00,427.0,360.0,360.0
68,PV21  ,A050176 ,2023JJ00,537.0,434.0,434.0
69,PV21  ,A050176 ,2024JJ00,595.0,496.0,496.0
70,PV21  ,A050177 ,2018JJ00,185.0,130.0,130.0
71,PV21  ,A050177 ,2019JJ00,248.0,192.0,192.0
72,PV21  ,A050177 ,2020JJ00,444.0,296.0,296.0
73,PV21  ,A050177 ,2021JJ00,542.0,433.0,433.0
74,PV21  ,A050177 ,2022JJ00,613.0,557.0,557.0
75,PV21  ,A050177 ,2023JJ00,755.0,627.0,627.0
76,PV21  ,A050177 ,2024JJ00,814.0,658.0,658.0
77,PV21  ,E006637 ,2018JJ00,196.0,408.0,388.0
78,PV21  ,E006637 ,2019JJ00,197.0,444.0,415.0
79,PV21  ,E006637 ,2020JJ00,198.0,495.0,453.0
80,PV21  ,E006637 ,2021JJ00,576.0,946.0,983.0
81,PV21  ,E006637 ,2022JJ00,619.0,1679.0,1619.0
82,PV21  ,E006637 ,2023JJ00,616.0,1915.0,1687.0
83,PV21  ,E006637 ,2024JJ00,617.0,1891.0,1804.0
84,PV22  ,E006590 ,2018JJ00,249.0,192.0,192.0
85,PV22  ,E006590 ,2019JJ00,372.0,281.0,281.0
86,PV22  ,E006590 ,2020JJ00,603.0,450.0,450.0
87,PV22  ,E006590 ,2021JJ00,897.0,692.0,692.0
88,PV22  ,E006590 ,2022JJ00,1374.0,1072.0,1072.0
89,PV22  ,E006590 ,2023JJ00,1632.0,1342.0,1342.0
90,PV22  ,E006590 ,2024JJ00,1782.0,1356.0,1356.0
91,PV22  ,A050176 ,2018JJ00,139.0,121.0,121.0
92,PV22  ,A050176 ,2019JJ00,184.0,150.0,150.0
93,PV22  ,A050176 ,2020JJ00,232.0,193.0,193.0
94,PV22  ,A050176 ,2021JJ00,284.0,224.0,224.0
95,PV22  ,A050176 ,2022JJ00,364.0,293.0,293.0
96,PV22  ,A050176 ,2023JJ00,481.0,379.0,379.0
97,PV22  ,A050176 ,2024JJ00,529.0,436.0,436.0
98,PV22  ,A050177 ,2018JJ00,111.0,70.0,70.0
99,PV22  ,A050177 ,2019JJ00,189.0,132.0,132.0
100,PV22  ,A050177 ,2020JJ00,371.0,257.0,257.0
101,PV22  ,A050177 ,2021JJ00,614.0,468.0,468.0
102,PV22  ,A050177 ,2022JJ00,1010.0,780.0,780.0
103,PV22  ,A050177 ,2023JJ00,1152.0,963.0,963.0
104,PV22  ,A050177 ,2024JJ00,1253.0,919.0,919.0
105,PV22  ,E006637 ,2018JJ00,22.0,,
106,PV22  ,E006637 ,2019JJ00,22.0,,
107,PV22  ,E006637 ,2020JJ00,50.0,,
108,PV22  ,E006637 ,2021JJ00,221.0,207.0,216.0
109,PV22  ,E006637 ,2022JJ00,246.0,643.0,620.0
110,PV22  ,E006637 ,2023JJ00,271.0,786.0,692.0
111,PV22  ,E006637 ,2024JJ00,271.0,767.0,732.0
112,PV23  ,E006590 ,2018JJ00,399.0,331.0,331.0
113,PV23  ,E006590 ,2019JJ00,606.0,435.0,435.0
114,PV23  ,E006590 ,2020JJ00,945.0,711.0,711.0
115,PV23  ,E006590 ,2021JJ00,1269.0,931.0,931.0
116,PV23  ,E006590 ,2022JJ00,1611.0,1385.0,1385.0
117,PV23  ,E006590 ,2023JJ00,2010.0,1586.0,1586.0
118,PV23  ,E006590 ,2024JJ00,2298.0,1777.0,1777.0
119,PV23  ,A050176 ,2018JJ00,209.0,187.0,187.0
120,PV23  ,A050176 ,2019JJ00,277.0,229.0,229.0
121,PV23  ,A050176 ,2020JJ00,371.0,303.0,303.0
122,PV23  ,A050176 ,2021JJ00,482.0,374.0,374.0
123,PV23  ,A050176 ,2022JJ00,660.0,541.0,541.0
124,PV23  ,A050176 ,2023JJ00,901.0,708.0,708.0
125,PV23  ,A050176 ,2024JJ00,1011.0,828.0,828.0
126,PV23  ,A050177 ,2018JJ00,190.0,145.0,145.0
127,PV23  ,A050177 ,2019JJ00,328.0,207.0,207.0
128,PV23  ,A050177 ,2020JJ00,575.0,408.0,408.0
129,PV23  ,A050177 ,2021JJ00,787.0,557.0,557.0
130,PV23  ,A050177 ,2022JJ00,951.0,843.0,843.0
131,PV23  ,A050177 ,2023JJ00,1110.0,878.0,878.0
132,PV23  ,A050177 ,2024JJ00,1286.0,949.0,949.0
133,PV23  ,E006637 ,2018JJ00,43.0,71.0,67.0
134,PV23  ,E006637 ,2019JJ00,61.0,92.0,86.0
135,PV23  ,E006637 ,2020JJ00,66.0,153.0,140.0
136,PV23  ,E006637 ,2021JJ00,74.0,135.0,141.0
137,PV23  ,E006637 ,2022JJ00,74.0,155.0,149.0
138,PV23  ,E006637 ,2023JJ00,87.0,188.0,165.0
139,PV23  ,E006637 ,2024JJ00,87.0,190.0,181.0
140,PV24  ,E006590 ,2018JJ00,189.0,158.0,158.0
141,PV24  ,E006590 ,2019JJ00,329.0,233.0,233.0
142,PV24  ,E006590 ,2020JJ00,484.0,376.0,376.0
143,PV24  ,E006590 ,2021JJ00,586.0,436.0,436.0
144,PV24  ,E006590 ,2022JJ00,893.0,654.0,654.0
145,PV24  ,E006590 ,2023JJ00,1166.0,919.0,919.0
146,PV24  ,E006590 ,2024JJ00,1297.0,1001.0,1001.0
147,PV24  ,A050176 ,2018JJ00,71.0,62.0,62.0
148,PV24  ,A050176 ,2019JJ00,97.0,78.0,78.0
149,PV24  ,A050176 ,2020JJ00,127.0,110.0,110.0
150,PV24  ,A050176 ,2021JJ00,162.0,130.0,130.0
151,PV24  ,A050176 ,2022JJ00,221.0,190.0,190.0
152,PV24  ,A050176 ,2023JJ00,282.0,226.0,226.0
153,PV24  ,A050176 ,2024JJ00,318.0,267.0,267.0
154,PV24  ,A050177 ,2018JJ00,118.0,96.0,96.0
155,PV24  ,A050177 ,2019JJ00,232.0,155.0,155.0
156,PV24  ,A050177 ,2020JJ00,356.0,266.0,266.0
157,PV24  ,A050177 ,2021JJ00,424.0,306.0,306.0
158,PV24  ,A050177 ,2022JJ00,672.0,464.0,464.0
159,PV24  ,A050177 ,2023JJ00,884.0,693.0,693.0
160,PV24  ,A050177 ,2024JJ00,980.0,735.0,735.0
161,PV24  ,E006637 ,2018JJ00,1198.0,2483.0,2361.0
162,PV24  ,E006637 ,2019JJ00,1175.0,2589.0,2424.0
163,PV24  ,E006637 ,2020JJ00,1169.0,2780.0,2544.0
164,PV24  ,E006637 ,2021JJ00,1285.0,2285.0,2375.0
165,PV24  ,E006637 ,2022JJ00,1584.0,3043.0,2933.0
166,PV24  ,E006637 ,2023JJ00,1933.0,4572.0,4027.0
167,PV24  ,E006637 ,2024JJ00,2161.0,5471.0,5221.0
168,PV25  ,E006590 ,2018JJ00,565.0,473.0,473.0
169,PV25  ,E006590 ,2019JJ00,888.0,640.0,640.0
170,PV25  ,E006590 ,2020JJ00,1361.0,1039.0,1039.0
171,PV25  ,E006590 ,2021JJ00,1886.0,1411.0,1411.0
172,PV25  ,E006590 ,2022JJ00,2493.0,2157.0,2157.0
173,PV25  ,E006590 ,2023JJ00,3249.0,2486.0,2486.0
174,PV25  ,E006590 ,2024JJ00,3768.0,2991.0,2991.0
175,PV25  ,A050176 ,2018JJ00,351.0,300.0,300.0
176,PV25  ,A050176 ,2019JJ00,494.0,389.0,389.0
177,PV25  ,A050176 ,2020JJ00,665.0,551.0,551.0
178,PV25  ,A050176 ,2021JJ00,849.0,674.0,674.0
179,PV25  ,A050176 ,2022JJ00,1143.0,966.0,966.0
180,PV25  ,A050176 ,2023JJ00,1488.0,1180.0,1180.0
181,PV25  ,A050176 ,2024JJ00,1661.0,1366.0,1366.0
182,PV25  ,A050177 ,2018JJ00,214.0,173.0,173.0
183,PV25  ,A050177 ,2019JJ00,394.0,250.0,250.0
184,PV25  ,A050177 ,2020JJ00,696.0,488.0,488.0
185,PV25  ,A050177 ,2021JJ00,1037.0,738.0,738.0
186,PV25  ,A050177 ,2022JJ00,1350.0,1191.0,1191.0
187,PV25  ,A050177 ,2023JJ00,1760.0,1306.0,1306.0
188,PV25  ,A050177 ,2024JJ00,2107.0,1625.0,1625.0
189,PV25  ,E006637 ,2018JJ00,82.0,153.0,146.0
190,PV25  ,E006637 ,2019JJ00,82.0,163.0,152.0
191,PV25  ,E006637 ,2020JJ00,143.0,334.0,305.0
192,PV25  ,E006637 ,2021JJ00,171.0,361.0,375.0
193,PV25  ,E006637 ,2022JJ00,234.0,455.0,439.0
194,PV25  ,E006637 ,2023JJ00,247.0,624.0,550.0
195,PV25  ,E006637 ,2024JJ00,247.0,594.0,566.0
196,PV26  ,E006590 ,2018JJ00,258.0,204.0,204.0
197,PV26  ,E006590 ,2019JJ00,405.0,307.0,307.0
198,PV26  ,E006590 ,2020JJ00,594.0,466.0,466.0
199,PV26  ,E006590 ,2021JJ00,782.0,597.0,597.0
200,PV26  ,E006590 ,2022JJ00,1047.0,909.0,909.0
201,PV26  ,E006590 ,2023JJ00,1309.0,1013.0,1013.0
202,PV26  ,E006590 ,2024JJ00,1510.0,1214.0,1214.0
203,PV26  ,A050176 ,2018JJ00,154.0,131.0,131.0
204,PV26  ,A050176 ,2019JJ00,230.0,184.0,184.0
205,PV26  ,A050176 ,2020JJ00,312.0,259.0,259.0
206,PV26  ,A050176 ,2021JJ00,423.0,329.0,329.0
207,PV26  ,A050176 ,2022JJ00,602.0,509.0,509.0
208,PV26  ,A050176 ,2023JJ00,758.0,606.0,606.0
209,PV26  ,A050176 ,2024JJ00,861.0,714.0,714.0
210,PV26  ,A050177 ,2018JJ00,104.0,73.0,73.0
211,PV26  ,A050177 ,2019JJ00,175.0,123.0,123.0
212,PV26  ,A050177 ,2020JJ00,282.0,208.0,208.0
213,PV26  ,A050177 ,2021JJ00,359.0,268.0,268.0
214,PV26  ,A050177 ,2022JJ00,445.0,400.0,400.0
215,PV26  ,A050177 ,2023JJ00,551.0,407.0,407.0
216,PV26  ,A050177 ,2024JJ00,650.0,500.0,500.0
217,PV26  ,E006637 ,2018JJ00,34.0,78.0,74.0
218,PV26  ,E006637 ,2019JJ00,34.0,83.0,78.0
219,PV26  ,E006637 ,2020JJ00,34.0,96.0,88.0
220,PV26  ,E006637 ,2021JJ00,34.0,73.0,76.0
221,PV26  ,E006637 ,2022JJ00,34.0,78.0,76.0
222,PV26  ,E006637 ,2023JJ00,34.0,94.0,82.0
223,PV26  ,E006637 ,2024JJ00,34.0,84.0,80.0
224,PV27  ,E006590 ,2018JJ00,500.0,400.0,400.0
225,PV27  ,E006590 ,2019JJ00,786.0,599.0,599.0
226,PV27  ,E006590 ,2020JJ00,1107.0,903.0,903.0
227,PV27  ,E006590 ,2021JJ00,1441.0,1114.0,1114.0
228,PV27  ,E006590 ,2022JJ00,1872.0,1619.0,1619.0
229,PV27  ,E006590 ,2023JJ00,2269.0,1841.0,1841.0
230,PV27  ,E006590 ,2024JJ00,2551.0,2103.0,2103.0
231,PV27  ,A050176 ,2018JJ00,271.0,231.0,231.0
232,PV27  ,A050176 ,2019JJ00,384.0,308.0,308.0
233,PV27  ,A050176 ,2020JJ00,522.0,446.0,446.0
234,PV27  ,A050176 ,2021JJ00,673.0,543.0,543.0
235,PV27  ,A050176 ,2022JJ00,917.0,792.0,792.0
236,PV27  ,A050176 ,2023JJ00,1177.0,958.0,958.0
237,PV27  ,A050176 ,2024JJ00,1334.0,1134.0,1134.0
238,PV27  ,A050177 ,2018JJ00,229.0,169.0,169.0
239,PV27  ,A050177 ,2019JJ00,402.0,291.0,291.0
240,PV27  ,A050177 ,2020JJ00,585.0,457.0,457.0
241,PV27  ,A050177 ,2021JJ00,768.0,571.0,571.0
242,PV27  ,A050177 ,2022JJ00,955.0,827.0,827.0
243,PV27  ,A050177 ,2023JJ00,1092.0,883.0,883.0
244,PV27  ,A050177 ,2024JJ00,1217.0,970.0,970.0
245,PV27  ,E006637 ,2018JJ00,310.0,577.0,549.0
246,PV27  ,E006637 ,2019JJ00,313.0,678.0,635.0
247,PV27  ,E006637 ,2020JJ00,641.0,1385.0,1267.0
248,PV27  ,E006637 ,2021JJ00,652.0,1631.0,1695.0
249,PV27  ,E006637 ,2022JJ00,700.0,1855.0,1788.0
250,PV27  ,E006637 ,2023JJ00,711.0,2095.0,1846.0
251,PV27  ,E006637 ,2024JJ00,713.0,1930.0,1842.0
252,PV28  ,E006590 ,2018JJ00,514.0,419.0,419.0
253,PV28  ,E006590 ,2019JJ00,794.0,611.0,611.0
254,PV28  ,E006590 ,2020JJ00,1168.0,933.0,933.0
255,PV28  ,E006590 ,2021JJ00,1629.0,1217.0,1217.0
256,PV28  ,E006590 ,2022JJ00,2261.0,1916.0,1916.0
257,PV28  ,E006590 ,2023JJ00,2877.0,2281.0,2281.0
258,PV28  ,E006590 ,2024JJ00,3311.0,2608.0,2608.0
259,PV28  ,A050176 ,2018JJ00,292.0,254.0,254.0
260,PV28  ,A050176 ,2019JJ00,414.0,334.0,334.0
261,PV28  ,A050176 ,2020JJ00,580.0,487.0,487.0
262,PV28  ,A050176 ,2021JJ00,795.0,629.0,629.0
263,PV28  ,A050176 ,2022JJ00,1194.0,1014.0,1014.0
264,PV28  ,A050176 ,2023JJ00,1531.0,1243.0,1243.0
265,PV28  ,A050176 ,2024JJ00,1742.0,1465.0,1465.0
266,PV28  ,A050177 ,2018JJ00,222.0,164.0,164.0
267,PV28  ,A050177 ,2019JJ00,379.0,277.0,277.0
268,PV28  ,A050177 ,2020JJ00,588.0,446.0,446.0
269,PV28  ,A050177 ,2021JJ00,834.0,588.0,588.0
270,PV28  ,A050177 ,2022JJ00,1067.0,902.0,902.0
271,PV28  ,A050177 ,2023JJ00,1346.0,1038.0,1038.0
272,PV28  ,A050177 ,2024JJ00,1569.0,1143.0,1143.0
273,PV28  ,E006637 ,2018JJ00,375.0,671.0,638.0
274,PV28  ,E006637 ,2019JJ00,437.0,1021.0,956.0
275,PV28  ,E006637 ,2020JJ00,460.0,1220.0,1117.0
276,PV28  ,E006637 ,2021JJ00,520.0,1061.0,1103.0
277,PV28  ,E006637 ,2022JJ00,767.0,1363.0,1314.0
278,PV28  ,E006637 ,2023JJ00,762.0,2213.0,1949.0
279,PV28  ,E006637 ,2024JJ00,750.0,1995.0,1903.0
280,PV29  ,E006590 ,2018JJ00,227.0,149.0,149.0
281,PV29  ,E006590 ,2019JJ00,325.0,280.0,280.0
282,PV29  ,E006590 ,2020JJ00,443.0,410.0,410.0
283,PV29  ,E006590 ,2021JJ00,543.0,434.0,434.0
284,PV29  ,E006590 ,2022JJ00,776.0,691.0,691.0
285,PV29  ,E006590 ,2023JJ00,890.0,715.0,715.0
286,PV29  ,E006590 ,2024JJ00,1053.0,795.0,795.0
287,PV29  ,A050176 ,2018JJ00,95.0,86.0,86.0
288,PV29  ,A050176 ,2019JJ00,119.0,108.0,108.0
289,PV29  ,A050176 ,2020JJ00,142.0,133.0,133.0
290,PV29  ,A050176 ,2021JJ00,173.0,148.0,148.0
291,PV29  ,A050176 ,2022JJ00,277.0,255.0,255.0
292,PV29  ,A050176 ,2023JJ00,280.0,239.0,239.0
293,PV29  ,A050176 ,2024JJ00,345.0,297.0,297.0
294,PV29  ,A050177 ,2018JJ00,132.0,62.0,62.0
295,PV29  ,A050177 ,2019JJ00,205.0,173.0,173.0
296,PV29  ,A050177 ,2020JJ00,300.0,277.0,277.0
297,PV29  ,A050177 ,2021JJ00,370.0,287.0,287.0
298,PV29  ,A050177 ,2022JJ00,499.0,436.0,436.0
299,PV29  ,A050177 ,2023JJ00,610.0,476.0,476.0
300,PV29  ,A050177 ,2024JJ00,708.0,498.0,498.0
301,PV29  ,E006637 ,2018JJ00,505.0,999.0,951.0
302,PV29  ,E006637 ,2019JJ00,519.0,1270.0,1189.0
303,PV29  ,E006637 ,2020JJ00,527.0,1463.0,1339.0
304,PV29  ,E006637 ,2021JJ00,549.0,1174.0,1220.0
305,PV29  ,E006637 ,2022JJ00,566.0,1295.0,1248.0
306,PV29  ,E006637 ,2023JJ00,610.0,1654.0,1457.0
307,PV29  ,E006637 ,2024JJ00,610.0,1517.0,1447.0
308,PV30  ,E006590 ,2018JJ00,729.0,563.0,563.0
309,PV30  ,E006590 ,2019JJ00,1215.0,918.0,918.0
310,PV30  ,E006590 ,2020JJ00,1860.0,1476.0,1476.0
311,PV30  ,E006590 ,2021JJ00,2578.0,1959.0,1959.0
312,PV30  ,E006590 ,2022JJ00,3332.0,2853.0,2853.0
313,PV30  ,E006590 ,2023JJ00,4344.0,3465.0,3465.0
314,PV30  ,E006590 ,2024JJ00,4753.0,3654.0,3654.0
315,PV30  ,A050176 ,2018JJ00,374.0,323.0,323.0
316,PV30  ,A050176 ,2019JJ00,568.0,450.0,450.0
317,PV30  ,A050176 ,2020JJ00,800.0,667.0,667.0
318,PV30  ,A050176 ,2021JJ00,1065.0,849.0,849.0
319,PV30  ,A050176 ,2022JJ00,1440.0,1200.0,1200.0
320,PV30  ,A050176 ,2023JJ00,1953.0,1577.0,1577.0
321,PV30  ,A050176 ,2024JJ00,2156.0,1767.0,1767.0
322,PV30  ,A050177 ,2018JJ00,356.0,240.0,240.0
323,PV30  ,A050177 ,2019JJ00,647.0,468.0,468.0
324,PV30  ,A050177 ,2020JJ00,1060.0,809.0,809.0
325,PV30  ,A050177 ,2021JJ00,1513.0,1110.0,1110.0
326,PV30  ,A050177 ,2022JJ00,1892.0,1652.0,1652.0
327,PV30  ,A050177 ,2023JJ00,2390.0,1888.0,1888.0
328,PV30  ,A050177 ,2024JJ00,2597.0,1887.0,1887.0
329,PV30  ,E006637 ,2018JJ00,212.0,439.0,418.0
330,PV30  ,E006637 ,2019JJ00,225.0,472.0,442.0
331,PV30  ,E006637 ,2020JJ00,259.0,591.0,541.0
332,PV30  ,E006637 ,2021JJ00,301.0,541.0,563.0
333,PV30  ,E006637 ,2022JJ00,353.0,616.0,594.0
334,PV30  ,E006637 ,2023JJ00,427.0,1055.0,929.0
335,PV30  ,E006637 ,2024JJ00,424.0,982.0,937.0
336,PV31  ,E006590 ,2018JJ00,380.0,324.0,324.0
337,PV31  ,E006590 ,2019JJ00,573.0,444.0,444.0
338,PV31  ,E006590 ,2020JJ00,898.0,695.0,695.0
339,PV31  ,E006590 ,2021JJ00,1176.0,912.0,912.0
340,PV31  ,E006590 ,2022JJ00,1485.0,1289.0,1289.0
341,PV31  ,E006590 ,2023JJ00,1946.0,1528.0,1528.0
342,PV31  ,E006590 ,2024JJ00,2157.0,1622.0,1622.0
343,PV31  ,A050176 ,2018JJ00,258.0,230.0,230.0
344,PV31  ,A050176 ,2019JJ00,351.0,295.0,295.0
345,PV31  ,A050176 ,2020JJ00,454.0,394.0,394.0
346,PV31  ,A050176 ,2021JJ00,566.0,466.0,466.0
347,PV31  ,A050176 ,2022JJ00,732.0,623.0,623.0
348,PV31  ,A050176 ,2023JJ00,955.0,783.0,783.0
349,PV31  ,A050176 ,2024JJ00,1038.0,849.0,849.0
350,PV31  ,A050177 ,2018JJ00,122.0,94.0,94.0
351,PV31  ,A050177 ,2019JJ00,222.0,150.0,150.0
352,PV31  ,A050177 ,2020JJ00,444.0,301.0,301.0
353,PV31  ,A050177 ,2021JJ00,611.0,446.0,446.0
354,PV31  ,A050177 ,2022JJ00,753.0,666.0,666.0
355,PV31  ,A050177 ,2023JJ00,991.0,745.0,745.0
356,PV31  ,A050177 ,2024JJ00,1119.0,773.0,773.0
357,PV31  ,E006637 ,2018JJ00,13.0,,
358,PV31  ,E006637 ,2019JJ00,13.0,,
359,PV31  ,E006637 ,2020JJ00,21.0,,
360,PV31  ,E006637 ,2021JJ00,72.0,80.0,83.0
361,PV31  ,E006637 ,2022JJ00,114.0,215.0,207.0
362,PV31  ,E006637 ,2023JJ00,125.0,331.0,291.0
363,PV31  ,E006637 ,2024JJ00,125.0,299.0,285.0
364,PV99  ,E006590 ,2018JJ00,1.0,1.0,1.0
365,PV99  ,E006590 ,2019JJ00,1.0,1.0,1.0
366,PV99  ,E006590 ,2020JJ00,2.0,1.0,1.0
367,PV99  ,E006590 ,2021JJ00,14.0,12.0,12.0
368,PV99  ,E006590 ,2022JJ00,17.0,16.0,16.0
369,PV99  ,E006590 ,2023JJ00,59.0,29.0,29.0
370,PV99  ,E006590 ,2024JJ00,213.0,78.0,78.0
371,PV99  ,A050176 ,2018JJ00,1.0,1.0,1.0
372,PV99  ,A050176 ,2019JJ00,1.0,1.0,1.0
373,PV99  ,A050176 ,2020JJ00,1.0,1.0,1.0
374,PV99  ,A050176 ,2021JJ00,1.0,1.0,1.0
375,PV99  ,A050176 ,2022JJ00,1.0,1.0,1.0
376,PV99  ,A050176 ,2023JJ00,1.0,1.0,1.0
377,PV99  ,A050176 ,2024JJ00,1.0,1.0,1.0
378,PV99  ,A050177 ,2018JJ00,,,
379,PV99  ,A050177 ,2019JJ00,1.0,0.0,0.0
380,PV99  ,A050177 ,2020JJ00,1.0,1.0,1.0
381,PV99  ,A050177 ,2021JJ00,14.0,11.0,11.0
382,PV99  ,A050177 ,2022JJ00,16.0,15.0,15.0
383,PV99  ,A050177 ,2023JJ00,59.0,28.0,28.0
384,PV99  ,A050177 ,2024JJ00,212.0,78.0,78.0
385,PV99  ,E006637 ,2018JJ00,,,
386,PV99  ,E006637 ,2019JJ00,,,
387,PV99  ,E006637 ,2020JJ00,,,
388,PV99  ,E006637 ,2021JJ00,,,
389,PV99  ,E006637 ,2022JJ00,,,
390,PV99  ,E006637 ,2023JJ00,,,
391,PV99  ,E006637 ,2024JJ00,,,
392,ES01  ,E006590 ,2018JJ00,272.0,233.0,233.0
393,ES01  ,E006590 ,2019JJ00,492.0,304.0,304.0
394,ES01  ,E006590 ,2020JJ00,943.0,594.0,594.0
395,ES01  ,E006590 ,2021JJ00,1156.0,901.0,901.0
396,ES01  ,E006590 ,2022JJ00,1335.0,1182.0,1182.0
397,ES01  ,E006590 ,2023JJ00,1668.0,1342.0,1342.0
398,ES01  ,E006590 ,2024JJ00,1877.0,1469.0,1469.0
399,ES01  ,A050176 ,2018JJ00,127.0,111.0,111.0
400,ES01  ,A050176 ,2019JJ00,161.0,130.0,130.0
401,ES01  ,A050176 ,2020JJ00,213.0,171.0,171.0
402,ES01  ,A050176 ,2021JJ00,276.0,211.0,211.0
403,ES01  ,A050176 ,2022JJ00,359.0,288.0,288.0
404,ES01  ,A050176 ,2023JJ00,463.0,369.0,369.0
405,ES01  ,A050176 ,2024JJ00,519.0,425.0,425.0
406,ES01  ,A050177 ,2018JJ00,146.0,122.0,122.0
407,ES01  ,A050177 ,2019JJ00,330.0,175.0,175.0
408,ES01  ,A050177 ,2020JJ00,730.0,423.0,423.0
409,ES01  ,A050177 ,2021JJ00,881.0,689.0,689.0
410,ES01  ,A050177 ,2022JJ00,976.0,894.0,894.0
411,ES01  ,A050177 ,2023JJ00,1205.0,973.0,973.0
