ID,VehicleCategory,YearOfConstructionOfVehicle,RoadType,CO_1,VOC_2,NOx_3,PM10_4
135,Baben,2004 ,1,1.47,0.21,0.07,0.004
136,Baben,2004 ,2,0.42,0.01,0.04,0.001
137,Baben,2004 ,3,0.5,0.01,0.03,0.001
138,Baben,2005 ,1,1.37,0.2,0.07,0.004
139,Baben,2005 ,2,0.25,0.01,0.04,0.002
140,Baben,2005 ,3,0.46,0.01,0.02,0.002
141,Baben,2006 ,1,1.37,0.2,0.07,0.004
142,Baben,2006 ,2,0.25,0.01,0.04,0.002
143,Baben,2006 ,3,0.46,0.01,0.02,0.002
144,Baben,2007 ,1,1.37,0.2,0.07,0.004
145,Baben,2007 ,2,0.25,0.01,0.04,0.002
146,Baben,2007 ,3,0.46,0.01,0.02,0.002
147,Baben,2008 ,1,1.37,0.2,0.07,0.004
148,Baben,2008 ,2,0.25,0.01,0.04,0.002
149,Baben,2008 ,3,0.46,0.01,0.02,0.002
150,Badie,-1999,1,1.77,0.3,1.53,0.352
151,Badie,-1999,2,0.4,0.19,1.01,0.185
152,Badie,-1999,3,0.37,0.18,1.41,0.208
153,Badie,2000 ,1,0.72,0.12,1.37,0.125
154,Badie,2000 ,2,0.08,0.04,0.76,0.063
155,Badie,2000 ,3,0.08,0.03,0.89,0.109
156,Badie,2001 ,1,0.51,0.05,1.27,0.099
157,Badie,2001 ,2,0.02,0.01,0.79,0.042
158,Badie,2001 ,3,0.05,0.02,0.78,0.096
159,Badie,2002 ,1,0.51,0.05,1.27,0.099
160,Badie,2002 ,2,0.02,0.01,0.79,0.042
161,Badie,2002 ,3,0.05,0.02,0.78,0.096
162,Badie,2003 ,1,0.51,0.05,1.27,0.099
163,Badie,2003 ,2,0.02,0.01,0.79,0.042
164,Badie,2003 ,3,0.05,0.02,0.78,0.096
165,Badie,2004 ,1,0.51,0.05,1.27,0.099
166,Badie,2004 ,2,0.02,0.01,0.79,0.042
167,Badie,2004 ,3,0.05,0.02,0.78,0.096
168,Badie,2005 ,1,0.15,0.02,0.73,0.062
169,Badie,2005 ,2,0.02,0.0,0.54,0.035
170,Badie,2005 ,3,0.07,0.01,0.57,0.087
171,Badie,2006 ,1,0.15,0.02,0.73,0.062
172,Badie,2006 ,2,0.02,0.0,0.54,0.035
173,Badie,2006 ,3,0.07,0.01,0.57,0.087
174,Badie,2007 ,1,0.15,0.02,0.73,0.062
175,Badie,2007 ,2,0.02,0.0,0.54,0.035
176,Badie,2007 ,3,0.07,0.01,0.57,0.087
177,Badie,2008 ,1,0.15,0.02,0.73,0.062
178,Badie,2008 ,2,0.02,0.0,0.54,0.035
179,Badie,2008 ,3,0.07,0.01,0.57,0.087
180,BaLPG,-1999,1,10.54,1.22,1.44,0.01
181,BaLPG,-1999,2,9.82,0.59,1.39,0.006
182,BaLPG,-1999,3,3.44,0.48,2.12,0.007
183,BaLPG,2000 ,1,6.05,0.4,0.46,0.005
184,BaLPG,2000 ,2,6.01,0.06,0.4,0.003
185,BaLPG,2000 ,3,2.73,0.06,0.46,0.003
186,BaLPG,2001 ,1,1.69,0.28,0.35,0.003
187,BaLPG,2001 ,2,1.17,0.06,0.29,0.002
188,BaLPG,2001 ,3,2.0,0.03,0.19,0.002
189,BaLPG,2002 ,1,1.69,0.28,0.35,0.003
190,BaLPG,2002 ,2,1.17,0.06,0.29,0.002
191,BaLPG,2002 ,3,2.0,0.03,0.19,0.002
192,BaLPG,2003 ,1,1.33,0.24,0.26,0.003
193,BaLPG,2003 ,2,0.8,0.05,0.21,0.002
194,BaLPG,2003 ,3,1.36,0.02,0.14,0.002
195,BaLPG,2004 ,1,1.15,0.22,0.21,0.003
196,BaLPG,2004 ,2,0.61,0.04,0.17,0.002
197,BaLPG,2004 ,3,1.03,0.02,0.11,0.002
198,BaLPG,2005 ,1,0.97,0.21,0.16,0.003
199,BaLPG,2005 ,2,0.42,0.03,0.14,0.002
200,BaLPG,2005 ,3,0.71,0.01,0.09,0.002
201,BaLPG,2006 ,1,0.97,0.21,0.16,0.003
202,BaLPG,2006 ,2,0.42,0.03,0.14,0.002
203,BaLPG,2006 ,3,0.71,0.01,0.09,0.002
204,BaLPG,2007 ,1,0.97,0.21,0.16,0.003
205,BaLPG,2007 ,2,0.42,0.03,0.14,0.002
206,BaLPG,2007 ,3,0.71,0.01,0.09,0.002
207,BaLPG,2008 ,1,0.97,0.21,0.16,0.003
208,BaLPG,2008 ,2,0.42,0.03,0.14,0.002
209,BaLPG,2008 ,3,0.71,0.01,0.09,0.002
210,Vadie,-1999,1,3.02,1.61,9.58,0.548
211,Vadie,-1999,2,1.8,0.62,7.89,0.321
212,Vadie,-1999,3,1.36,0.48,7.55,0.259
213,Vadie,2000 ,1,1.98,0.57,9.69,0.184
214,Vadie,2000 ,2,1.32,0.32,7.33,0.126
215,Vadie,2000 ,3,0.93,0.25,6.52,0.104
216,Vadie,2001 ,1,2.22,0.55,10.02,0.159
217,Vadie,2001 ,2,1.49,0.31,7.18,0.103
218,Vadie,2001 ,3,1.05,0.24,6.5,0.08
219,Vadie,2002 ,1,2.48,0.56,10.67,0.146
220,Vadie,2002 ,2,1.65,0.32,7.25,0.087
221,Vadie,2002 ,3,1.16,0.24,6.59,0.063
222,Vadie,2003 ,1,2.5,0.56,10.82,0.146
223,Vadie,2003 ,2,1.63,0.32,7.12,0.087
224,Vadie,2003 ,3,1.2,0.24,6.75,0.064
225,Vadie,2004 ,1,2.51,0.57,10.82,0.146
226,Vadie,2004 ,2,1.62,0.32,7.1,0.087
227,Vadie,2004 ,3,1.19,0.24,6.73,0.064
228,Vadie,2005 ,1,3.1,0.44,10.78,0.12
229,Vadie,2005 ,2,1.75,0.25,6.81,0.071
230,Vadie,2005 ,3,1.16,0.19,5.86,0.052
231,Vadie,2006 ,1,4.56,0.21,11.4,0.071
232,Vadie,2006 ,2,2.13,0.12,6.49,0.041
233,Vadie,2006 ,3,1.15,0.08,4.29,0.029
234,Vadie,2007 ,1,5.37,0.09,11.57,0.046
235,Vadie,2007 ,2,2.37,0.05,6.3,0.025
236,Vadie,2007 ,3,1.18,0.03,3.54,0.018
237,Vadie,2008 ,1,5.21,0.09,11.37,0.045
238,Vadie,2008 ,2,2.3,0.05,6.2,0.025
239,Vadie,2008 ,3,1.14,0.03,3.48,0.018
240,Trdie,-1999,1,5.02,2.47,17.16,0.984
241,Trdie,-1999,2,2.61,0.77,11.93,0.496
242,Trdie,-1999,3,1.88,0.54,9.73,0.36
243,Trdie,2000 ,1,3.16,0.77,14.96,0.316
244,Trdie,2000 ,2,1.86,0.41,9.85,0.189
245,Trdie,2000 ,3,1.38,0.29,7.78,0.147
246,Trdie,2001 ,1,3.45,0.75,15.76,0.235
247,Trdie,2001 ,2,2.03,0.4,9.66,0.136
248,Trdie,2001 ,3,1.49,0.27,7.6,0.102
249,Trdie,2002 ,1,3.66,0.73,16.36,0.175
250,Trdie,2002 ,2,2.15,0.39,9.52,0.097
251,Trdie,2002 ,3,1.56,0.26,7.46,0.068
252,Trdie,2003 ,1,3.66,0.73,16.36,0.175
253,Trdie,2003 ,2,2.15,0.39,9.52,0.097
254,Trdie,2003 ,3,1.56,0.26,7.46,0.068
255,Trdie,2004 ,1,3.66,0.73,16.36,0.175
256,Trdie,2004 ,2,2.15,0.39,9.52,0.097
257,Trdie,2004 ,3,1.56,0.26,7.46,0.068
258,Trdie,2005 ,1,5.11,0.59,15.88,0.146
259,Trdie,2005 ,2,2.53,0.31,9.04,0.08
260,Trdie,2005 ,3,1.59,0.21,6.62,0.056
261,Trdie,2006 ,1,7.99,0.3,14.94,0.088
262,Trdie,2006 ,2,3.27,0.16,8.07,0.046
263,Trdie,2006 ,3,1.64,0.1,4.92,0.032
264,Trdie,2007 ,1,9.43,0.16,14.47,0.059
265,Trdie,2007 ,2,3.64,0.08,7.59,0.03
266,Trdie,2007 ,3,1.67,0.04,4.07,0.02
267,Trdie,2008 ,1,9.43,0.16,14.47,0.059
268,Trdie,2008 ,2,3.64,0.08,7.59,0.03
269,Trdie,2008 ,3,1.67,0.04,4.07,0.02
270,Abdie,-1999,1,4.04,2.08,14.01,0.862
271,Abdie,-1999,2,2.03,0.75,10.15,0.466
272,Abdie,-1999,3,1.31,0.58,7.91,0.293
273,Abdie,2000 ,1,2.39,0.57,12.07,0.304
274,Abdie,2000 ,2,1.12,0.31,7.85,0.244
275,Abdie,2000 ,3,0.67,0.25,6.25,0.111
276,Abdie,2001 ,1,2.31,0.55,11.33,0.248
277,Abdie,2001 ,2,1.09,0.29,6.98,0.188
278,Abdie,2001 ,3,0.67,0.24,5.17,0.11
279,Abdie,2002 ,1,2.24,0.53,10.77,0.206
280,Abdie,2002 ,2,1.06,0.28,6.33,0.146
281,Abdie,2002 ,3,0.67,0.23,4.36,0.109
282,Abdie,2003 ,1,2.24,0.53,10.77,0.206
283,Abdie,2003 ,2,1.06,0.28,6.33,0.146
284,Abdie,2003 ,3,0.67,0.23,4.36,0.109
285,Abdie,2004 ,1,2.24,0.53,10.77,0.206
286,Abdie,2004 ,2,1.06,0.28,6.33,0.146
287,Abdie,2004 ,3,0.67,0.23,4.36,0.109
288,Abdie,2005 ,1,1.74,0.4,10.15,0.179
289,Abdie,2005 ,2,0.82,0.22,5.8,0.12
290,Abdie,2005 ,3,0.52,0.17,3.98,0.086
291,Abdie,2006 ,1,0.74,0.15,8.91,0.125
292,Abdie,2006 ,2,0.35,0.08,4.74,0.068
293,Abdie,2006 ,3,0.22,0.06,3.22,0.039
294,Abdie,2007 ,1,0.24,0.03,8.29,0.098
295,Abdie,2007 ,2,0.11,0.01,4.21,0.043
296,Abdie,2007 ,3,0.07,0.01,2.84,0.016
297,Abdie,2008 ,1,0.24,0.03,7.36,0.096
298,Abdie,2008 ,2,0.11,0.01,3.77,0.04
299,Abdie,2008 ,3,0.07,0.01,2.52,0.016
300,Mtben,-1999,1,27.07,3.75,0.1,0.017
301,Mtben,-1999,2,16.13,1.57,0.17,0.017
302,Mtben,-1999,3,27.13,1.34,0.42,0.017
303,Mtben,2000 ,1,11.87,1.44,0.14,0.015
304,Mtben,2000 ,2,6.07,0.66,0.22,0.015
305,Mtben,2000 ,3,18.65,0.42,0.49,0.015
306,Mtben,2001 ,1,11.87,1.44,0.14,0.015
307,Mtben,2001 ,2,6.07,0.66,0.22,0.015
308,Mtben,2001 ,3,18.65,0.42,0.49,0.015
309,Mtben,2002 ,1,11.87,1.44,0.14,0.015
310,Mtben,2002 ,2,6.07,0.66,0.22,0.015
311,Mtben,2002 ,3,18.65,0.42,0.49,0.015
312,Mtben,2003 ,1,11.87,1.44,0.14,0.015
313,Mtben,2003 ,2,6.07,0.66,0.22,0.015
314,Mtben,2003 ,3,18.65,0.42,0.49,0.015
315,Mtben,2004 ,1,11.87,1.44,0.14,0.015
316,Mtben,2004 ,2,6.07,0.66,0.22,0.015
317,Mtben,2004 ,3,18.65,0.42,0.49,0.015
318,Mtben,2005 ,1,11.87,1.44,0.14,0.015
319,Mtben,2005 ,2,6.07,0.66,0.22,0.015
320,Mtben,2005 ,3,18.65,0.42,0.49,0.015
321,Mtben,2006 ,1,11.87,1.44,0.14,0.015
322,Mtben,2006 ,2,6.07,0.66,0.22,0.015
323,Mtben,2006 ,3,18.65,0.42,0.49,0.015
324,Mtben,2007 ,1,11.87,1.44,0.14,0.015
325,Mtben,2007 ,2,6.07,0.66,0.22,0.015
326,Mtben,2007 ,3,18.65,0.42,0.49,0.015
327,Mtben,2008 ,1,11.87,1.44,0.14,0.015
328,Mtben,2008 ,2,6.07,0.66,0.22,0.015
329,Mtben,2008 ,3,18.65,0.42,0.49,0.015
330,Bfben,-1999,1,10.0,6.0,0.05,0.04
331,Bfben,-1999,2,10.0,6.0,0.05,0.04
332,Bfben,-1999,3,,,,
333,Bfben,2000 ,1,10.0,6.0,0.05,0.04
334,Bfben,2000 ,2,10.0,6.0,0.05,0.04
335,Bfben,2000 ,3,,,,
336,Bfben,2001 ,1,10.0,6.0,0.05,0.04
337,Bfben,2001 ,2,10.0,6.0,0.05,0.04
338,Bfben,2001 ,3,,,,
339,Bfben,2002 ,1,10.0,6.0,0.05,0.04
340,Bfben,2002 ,2,10.0,6.0,0.05,0.04
341,Bfben,2002 ,3,,,,
342,Bfben,2003 ,1,10.0,6.0,0.05,0.04
343,Bfben,2003 ,2,10.0,6.0,0.05,0.04
344,Bfben,2003 ,3,,,,
345,Bfben,2004 ,1,10.0,6.0,0.05,0.04
346,Bfben,2004 ,2,10.0,6.0,0.05,0.04
347,Bfben,2004 ,3,,,,
348,Bfben,2005 ,1,10.0,6.0,0.05,0.04
349,Bfben,2005 ,2,10.0,6.0,0.05,0.04
350,Bfben,2005 ,3,,,,
351,Bfben,2006 ,1,10.0,6.0,0.05,0.04
352,Bfben,2006 ,2,10.0,6.0,0.05,0.04
353,Bfben,2006 ,3,,,,
354,Bfben,2007 ,1,10.0,6.0,0.05,0.04
355,Bfben,2007 ,2,10.0,6.0,0.05,0.04
356,Bfben,2007 ,3,,,,
357,Bfben,2008 ,1,10.0,6.0,0.05,0.04
358,Bfben,2008 ,2,10.0,6.0,0.05,0.04
359,Bfben,2008 ,3,,,,
