ID,GWW,Periods,InputPriceIndices_1,ChangesComparedTo1YearEarlier_2
172,A048124,2022MM09,150.0,31.3
173,A048124,2022MM10,142.2,20.2
174,A048124,2022MM11,137.8,11.0
175,A048124,2022MM12,137.0,13.3
176,A048124,2023MM01,134.7,10.6
177,A048124,2023MM02,133.8,2.7
178,A048124,2023MM03,133.6,-3.9
179,A048124,2023MM04,133.5,-16.3
180,A048124,2023MM05,140.2,-10.7
181,A048124,2023MM06,135.3,-16.6
182,A048124,2023MM07,139.5,-11.0
183,A048124,2023MM08,141.5,-6.6
184,A048124,2023MM09,153.0,2.0
185,A048124,2023MM10,156.2,9.8
186,A048124,2023MM11,146.7,6.5
187,A048124,2023MM12,142.0,3.7
188,A048124,2024MM01,142.2,5.6
189,A048124,2024MM02,142.6,6.6
190,A048124,2024MM03,143.9,7.7
191,A048124,2024MM04,144.5,8.3
192,A048124,2024MM05,146.6,4.6
193,A048124,2024MM06,144.9,7.1
194,A048124,2024MM07,148.0,6.1
195,A048124,2024MM08,148.2,4.8
196,A048124,2024MM09,142.4,-6.9
197,A048124,2024MM10,138.7,-11.2
198,A048124,2024MM11,145.8,-0.6
199,A048124,2024MM12,141.9,-0.1
200,A048124,2025MM01,143.2,0.7
201,A048124,2025MM02,144.8,1.6
202,A048124,2025MM03,145.3,1.0
203,A048124,2025MM04,141.1,-2.3
204,A048124,2025MM05,137.0,-6.5
205,A048124,2025MM06,137.2,-5.3
206,A048124,2025MM07,139.4,-5.8
207,A048124,2025MM08,137.4,-7.3
208,A048124,2025MM09,134.2,-5.8
209,A048124,2025MM10,133.0,-4.1
210,A023217,2020MM01,100.5,
211,A023217,2020MM02,100.3,
212,A023217,2020MM03,99.9,
213,A023217,2020MM04,99.5,
214,A023217,2020MM05,99.2,
215,A023217,2020MM06,99.2,
216,A023217,2020MM07,99.7,
217,A023217,2020MM08,100.2,
218,A023217,2020MM09,100.2,
219,A023217,2020MM10,100.0,
220,A023217,2020MM11,100.4,
221,A023217,2020MM12,101.0,
222,A023217,2021MM01,102.8,2.3
223,A023217,2021MM02,103.4,3.1
224,A023217,2021MM03,104.1,4.2
225,A023217,2021MM04,105.6,6.1
226,A023217,2021MM05,106.7,7.6
227,A023217,2021MM06,107.7,8.6
228,A023217,2021MM07,110.3,10.6
229,A023217,2021MM08,110.6,10.4
230,A023217,2021MM09,111.0,10.9
231,A023217,2021MM10,113.0,13.0
232,A023217,2021MM11,113.5,13.1
233,A023217,2021MM12,113.6,12.5
234,A023217,2022MM01,116.7,13.6
235,A023217,2022MM02,118.1,14.2
236,A023217,2022MM03,120.7,16.0
237,A023217,2022MM04,124.0,17.4
238,A023217,2022MM05,124.8,17.0
239,A023217,2022MM06,124.3,15.4
240,A023217,2022MM07,124.9,13.2
241,A023217,2022MM08,125.2,13.2
242,A023217,2022MM09,125.3,12.8
243,A023217,2022MM10,124.6,10.3
244,A023217,2022MM11,123.8,9.0
245,A023217,2022MM12,123.8,9.0
246,A023217,2023MM01,124.5,6.7
247,A023217,2023MM02,124.9,5.7
248,A023217,2023MM03,124.5,3.1
249,A023217,2023MM04,125.0,0.8
250,A023217,2023MM05,124.9,0.0
251,A023217,2023MM06,124.3,0.0
252,A023217,2023MM07,123.2,-1.4
253,A023217,2023MM08,122.7,-2.0
254,A023217,2023MM09,122.9,-1.9
255,A023217,2023MM10,122.9,-1.4
256,A023217,2023MM11,122.7,-0.9
257,A023217,2023MM12,122.5,-1.1
258,A023217,2024MM01,123.8,-0.6
259,A023217,2024MM02,123.9,-0.8
260,A023217,2024MM03,124.1,-0.3
261,A023217,2024MM04,124.9,-0.1
262,A023217,2024MM05,124.6,-0.2
263,A023217,2024MM06,125.6,1.0
264,A023217,2024MM07,127.3,3.4
265,A023217,2024MM08,126.6,3.2
266,A023217,2024MM09,126.6,3.0
267,A023217,2024MM10,126.0,2.6
268,A023217,2024MM11,126.8,3.4
269,A023217,2024MM12,127.0,3.7
270,A023217,2025MM01,128.6,3.8
271,A023217,2025MM02,129.1,4.2
272,A023217,2025MM03,129.4,4.3
273,A023217,2025MM04,129.1,3.4
274,A023217,2025MM05,129.3,3.7
275,A023217,2025MM06,129.8,3.4
276,A023217,2025MM07,129.8,1.9
277,A023217,2025MM08,129.5,2.3
278,A023217,2025MM09,129.8,2.6
279,A023217,2025MM10,130.9,3.9
280,A048130,2020MM01,99.9,
281,A048130,2020MM02,99.9,
282,A048130,2020MM03,99.8,
283,A048130,2020MM04,99.7,
284,A048130,2020MM05,99.4,
285,A048130,2020MM06,99.4,
286,A048130,2020MM07,100.2,
287,A048130,2020MM08,100.2,
288,A048130,2020MM09,100.1,
289,A048130,2020MM10,100.1,
290,A048130,2020MM11,100.3,
291,A048130,2020MM12,101.0,
292,A048130,2021MM01,102.9,3.0
293,A048130,2021MM02,103.4,3.5
294,A048130,2021MM03,103.8,4.0
295,A048130,2021MM04,104.5,4.8
296,A048130,2021MM05,105.4,6.0
297,A048130,2021MM06,106.4,7.0
298,A048130,2021MM07,108.1,8.0
299,A048130,2021MM08,108.4,8.2
300,A048130,2021MM09,108.4,8.4
301,A048130,2021MM10,109.5,9.3
302,A048130,2021MM11,109.5,9.2
303,A048130,2021MM12,109.9,8.8
304,A048130,2022MM01,112.6,9.5
305,A048130,2022MM02,113.2,9.5
306,A048130,2022MM03,115.5,11.3
307,A048130,2022MM04,118.8,13.7
308,A048130,2022MM05,119.9,13.7
309,A048130,2022MM06,118.8,11.6
310,A048130,2022MM07,119.2,10.2
311,A048130,2022MM08,118.8,9.6
312,A048130,2022MM09,119.1,9.9
313,A048130,2022MM10,118.5,8.2
314,A048130,2022MM11,117.5,7.3
315,A048130,2022MM12,116.5,6.0
316,A048130,2023MM01,118.0,4.8
317,A048130,2023MM02,117.9,4.1
318,A048130,2023MM03,118.6,2.6
319,A048130,2023MM04,119.0,0.1
320,A048130,2023MM05,118.8,-1.0
321,A048130,2023MM06,118.1,-0.5
322,A048130,2023MM07,118.3,-0.7
323,A048130,2023MM08,118.2,-0.5
324,A048130,2023MM09,118.4,-0.6
325,A048130,2023MM10,118.5,0.0
326,A048130,2023MM11,118.5,0.8
327,A048130,2023MM12,118.7,1.9
328,A048130,2024MM01,120.7,2.3
329,A048130,2024MM02,120.9,2.6
330,A048130,2024MM03,121.0,2.1
331,A048130,2024MM04,121.3,1.9
332,A048130,2024MM05,120.9,1.8
333,A048130,2024MM06,121.2,2.7
334,A048130,2024MM07,123.6,4.5
335,A048130,2024MM08,123.7,4.6
336,A048130,2024MM09,123.8,4.5
337,A048130,2024MM10,123.5,4.2
338,A048130,2024MM11,123.8,4.5
339,A048130,2024MM12,123.8,4.3
340,A048130,2025MM01,124.9,3.4
341,A048130,2025MM02,125.1,3.4
342,A048130,2025MM03,125.8,3.9
343,A048130,2025MM04,126.0,3.9
344,A048130,2025MM05,126.9,4.9
345,A048130,2025MM06,127.0,4.7
346,A048130,2025MM07,127.4,3.0
347,A048130,2025MM08,127.3,2.9
348,A048130,2025MM09,127.1,2.7
349,A048130,2025MM10,127.7,3.4
350,0000026,2020MM01,100.1,
351,0000026,2020MM02,100.1,
352,0000026,2020MM03,99.9,
353,0000026,2020MM04,99.8,
354,0000026,2020MM05,99.4,
355,0000026,2020MM06,99.3,
356,0000026,2020MM07,100.1,
357,0000026,2020MM08,100.1,
358,0000026,2020MM09,99.9,
359,0000026,2020MM10,100.0,
360,0000026,2020MM11,100.2,
361,0000026,2020MM12,101.1,
362,0000026,2021MM01,103.1,3.0
363,0000026,2021MM02,103.7,3.6
364,0000026,2021MM03,104.3,4.4
365,0000026,2021MM04,105.2,5.4
366,0000026,2021MM05,106.5,7.1
367,0000026,2021MM06,107.7,8.4
368,0000026,2021MM07,109.8,9.7
369,0000026,2021MM08,110.5,10.4
370,0000026,2021MM09,110.5,10.6
371,0000026,2021MM10,111.9,11.9
372,0000026,2021MM11,111.9,11.7
373,0000026,2021MM12,112.4,11.2
374,0000026,2022MM01,115.3,11.8
375,0000026,2022MM02,116.0,11.8
376,0000026,2022MM03,119.0,14.1
377,0000026,2022MM04,123.2,17.1
378,0000026,2022MM05,124.7,17.1
379,0000026,2022MM06,123.1,14.4
380,0000026,2022MM07,123.3,12.3
381,0000026,2022MM08,122.7,11.1
382,0000026,2022MM09,123.2,11.5
383,0000026,2022MM10,122.3,9.3
384,0000026,2022MM11,121.0,8.1
385,0000026,2022MM12,119.7,6.5
386,0000026,2023MM01,120.7,4.7
387,0000026,2023MM02,120.4,3.8
388,0000026,2023MM03,121.2,1.9
389,0000026,2023MM04,121.7,-1.2
390,0000026,2023MM05,121.4,-2.6
391,0000026,2023MM06,120.4,-2.2
392,0000026,2023MM07,120.4,-2.4
393,0000026,2023MM08,120.1,-2.2
394,0000026,2023MM09,120.0,-2.6
395,0000026,2023MM10,120.0,-1.8
396,0000026,2023MM11,120.0,-0.8
397,0000026,2023MM12,120.1,0.4
398,0000026,2024MM01,121.9,1.0
399,0000026,2024MM02,122.2,1.5
400,0000026,2024MM03,122.2,0.8
401,0000026,2024MM04,122.5,0.6
402,0000026,2024MM05,122.0,0.5
403,0000026,2024MM06,122.3,1.5
404,0000026,2024MM07,124.9,3.8
405,0000026,2024MM08,124.9,4.1
406,0000026,2024MM09,125.0,4.1
407,0000026,2024MM10,124.4,3.6
408,0000026,2024MM11,124.7,3.9
409,0000026,2024MM12,124.7,3.8
410,0000026,2025MM01,125.5,2.9
411,0000026,2025MM02,125.7,2.9
412,0000026,2025MM03,126.6,3.7
413,0000026,2025MM04,126.7,3.5
414,0000026,2025MM05,127.8,4.7
415,0000026,2025MM06,127.9,4.6
416,0000026,2025MM07,127.9,2.4
417,0000026,2025MM08,127.7,2.2
418,0000026,2025MM09,127.5,2.0
419,0000026,2025MM10,128.3,3.1
420,A048132,2020MM01,100.1,
421,A048132,2020MM02,100.4,
422,A048132,2020MM03,99.4,
423,A048132,2020MM04,99.9,
424,A048132,2020MM05,99.6,
425,A048132,2020MM06,99.9,
426,A048132,2020MM07,100.6,
427,A048132,2020MM08,100.8,
428,A048132,2020MM09,99.4,
429,A048132,2020MM10,99.8,
430,A048132,2020MM11,100.0,
431,A048132,2020MM12,100.3,
432,A048132,2021MM01,102.7,2.5
433,A048132,2021MM02,103.1,2.7
434,A048132,2021MM03,103.3,4.0
435,A048132,2021MM04,101.4,1.5
436,A048132,2021MM05,103.7,4.1
437,A048132,2021MM06,104.0,4.1
438,A048132,2021MM07,104.2,3.6
439,A048132,2021MM08,104.7,3.8
440,A048132,2021MM09,104.8,5.4
441,A048132,2021MM10,105.8,6.1
442,A048132,2021MM11,106.6,6.7
443,A048132,2021MM12,107.1,6.8
444,A048132,2022MM01,109.0,6.2
445,A048132,2022MM02,110.1,6.8
446,A048132,2022MM03,113.0,9.4
447,A048132,2022MM04,114.3,12.8
448,A048132,2022MM05,114.8,10.6
449,A048132,2022MM06,116.0,11.5
450,A048132,2022MM07,116.4,11.7
451,A048132,2022MM08,118.1,12.8
452,A048132,2022MM09,117.8,12.4
453,A048132,2022MM10,119.2,12.7
454,A048132,2022MM11,118.0,10.6
455,A048132,2022MM12,116.8,9.0
456,A048132,2023MM01,118.4,8.6
457,A048132,2023MM02,118.0,7.2
458,A048132,2023MM03,118.7,5.1
459,A048132,2023MM04,120.9,5.7
460,A048132,2023MM05,120.9,5.3
461,A048132,2023MM06,121.0,4.3
462,A048132,2023MM07,124.9,7.4
463,A048132,2023MM08,125.8,6.6
464,A048132,2023MM09,126.5,7.4
465,A048132,2023MM10,127.0,6.5
466,A048132,2023MM11,126.3,7.1
467,A048132,2023MM12,126.0,7.9
468,A048132,2024MM01,130.0,9.8
469,A048132,2024MM02,130.4,10.5
470,A048132,2024MM03,130.5,10.0
471,A048132,2024MM04,131.0,8.4
472,A048132,2024MM05,130.4,7.9
473,A048132,2024MM06,130.2,7.6
474,A048132,2024MM07,132.7,6.2
475,A048132,2024MM08,132.0,4.9
476,A048132,2024MM09,132.1,4.4
477,A048132,2024MM10,133.6,5.2
478,A048132,2024MM11,134.2,6.2
479,A048132,2024MM12,133.3,5.8
480,A048132,2025MM01,134.7,3.7
481,A048132,2025MM02,134.9,3.5
482,A048132,2025MM03,135.7,4.0
483,A048132,2025MM04,134.9,3.0
484,A048132,2025MM05,136.2,4.4
485,A048132,2025MM06,136.4,4.8
486,A048132,2025MM07,137.6,3.7
487,A048132,2025MM08,137.9,4.5
488,A048132,2025MM09,137.2,3.9
489,A048132,2025MM10,138.0,3.3
490,A048133,2020MM01,99.9,
491,A048133,2020MM02,99.9,
492,A048133,2020MM03,99.9,
493,A048133,2020MM04,99.7,
494,A048133,2020MM05,99.4,
495,A048133,2020MM06,99.4,
496,A048133,2020MM07,100.1,
497,A048133,2020MM08,100.2,
498,A048133,2020MM09,100.2,
499,A048133,2020MM10,100.0,
500,A048133,2020MM11,100.2,
501,A048133,2020MM12,100.9,
502,A048133,2021MM01,102.2,2.3
503,A048133,2021MM02,102.7,2.8
504,A048133,2021MM03,102.9,2.9
505,A048133,2021MM04,103.7,4.1
506,A048133,2021MM05,104.8,5.4
507,A048133,2021MM06,106.1,6.7
508,A048133,2021MM07,108.4,8.3
509,A048133,2021MM08,108.8,8.5
510,A048133,2021MM09,108.8,8.5
511,A048133,2021MM10,110.1,10.1
512,A048133,2021MM11,110.1,9.9
513,A048133,2021MM12,110.4,9.4
514,A048133,2022MM01,113.0,10.6
515,A048133,2022MM02,113.6,10.6
516,A048133,2022MM03,115.9,12.6
517,A048133,2022MM04,120.0,15.7
518,A048133,2022MM05,121.3,15.8
519,A048133,2022MM06,119.4,12.5
520,A048133,2022MM07,120.9,11.5
