ID,ConsumptionByHouseholds,Periods,Indices_1,VolumeChanges_2,VolumeChangesShoppingdayAdjusted_3,Indices_4,ValueChanges_5,PriceChanges_6
5287,A048213,2018MM09,99.4,-4.0,,102.8,-2.1,2.0
5288,A048213,2018KW03,103.5,-1.6,,107.5,0.5,2.2
5289,A048213,2018MM10,92.3,2.1,,96.4,4.7,2.6
5290,A048213,2018MM11,100.4,1.3,,104.7,3.7,2.4
5291,A048213,2018MM12,114.2,-2.2,,119.7,0.4,2.7
5292,A048213,2018KW04,102.3,0.2,,106.9,2.8,2.6
5293,A048213,2019MM01,93.8,0.4,,99.6,3.1,2.6
5294,A048213,2019MM02,86.5,3.4,,91.7,5.0,1.5
5295,A048213,2019MM03,96.5,-1.4,,103.4,0.9,2.3
5296,A048213,2019KW01,92.3,0.7,,98.3,2.9,2.2
5297,A048213,2019MM04,109.1,1.4,,116.9,4.3,2.8
5298,A048213,2019MM05,117.3,1.0,,126.1,3.7,2.7
5299,A048213,2019MM06,114.0,-3.8,,122.7,-0.5,3.4
5300,A048213,2019KW02,113.5,-0.5,,121.9,2.4,3.0
5301,A048213,2019MM07,107.9,1.2,,116.1,5.0,3.7
5302,A048213,2019MM08,105.4,0.7,,113.8,4.2,3.4
5303,A048213,2019MM09,100.1,0.7,,106.0,3.1,2.4
5304,A048213,2019KW03,104.5,0.9,,112.0,4.1,3.2
5305,A048213,2019MM10,94.3,2.2,,101.4,5.2,2.9
5306,A048213,2019MM11,102.8,2.4,,109.9,4.9,2.5
5307,A048213,2019MM12,116.6,2.1,,125.4,4.8,2.7
5308,A048213,2019KW04,104.6,2.2,,112.2,5.0,2.7
5309,A048213,2020MM01,95.0,1.3,,103.2,3.5,2.2
5310,A048213,2020MM02,90.0,4.1,,98.2,7.1,2.8
5311,A048213,2020MM03,95.7,-0.8,,104.9,1.5,2.3
5312,A048213,2020KW01,93.6,1.4,,102.1,3.9,2.4
5313,A048213,2020MM04,102.9,-5.7,,113.4,-3.0,2.9
5314,A048213,2020MM05,113.4,-3.3,,126.0,-0.1,3.4
5315,A048213,2020MM06,111.0,-2.7,,123.3,0.5,3.2
5316,A048213,2020KW02,109.1,-3.9,,120.9,-0.8,3.2
5317,A048213,2020MM07,112.3,4.1,,123.7,6.5,2.3
5318,A048213,2020MM08,106.2,0.7,,117.0,2.8,2.0
5319,A048213,2020MM09,103.6,3.5,,113.5,7.1,3.5
5320,A048213,2020KW03,107.4,2.8,,118.1,5.4,2.6
5321,A048213,2020MM10,99.4,5.4,,110.2,8.7,3.1
5322,A048213,2020MM11,104.4,1.6,,114.5,4.2,2.6
5323,A048213,2020MM12,109.8,-5.9,,121.4,-3.2,2.9
5324,A048213,2020KW04,104.5,-0.1,,115.4,2.8,2.9
5325,A048213,2021MM01,86.7,-8.8,,97.7,-5.3,3.9
5326,A048213,2021MM02,79.0,-12.2,,90.8,-7.6,5.3
5327,A048213,2021MM03,97.5,1.8,,110.4,5.2,3.3
5328,A048213,2021KW01,87.7,-6.3,,99.7,-2.4,4.1
5329,A048213,2021MM04,109.9,6.8,,125.3,10.5,3.4
5330,A048213,2021MM05,119.4,5.3,,136.9,8.6,3.1
5331,A048213,2021MM06,116.9,5.3,,134.3,8.9,3.4
5332,A048213,2021KW02,115.4,5.8,,132.2,9.3,3.3
5333,A048213,2021MM07,117.0,4.2,,132.9,7.4,3.1
5334,A048213,2021MM08,108.3,2.0,,123.4,5.5,3.5
5335,A048213,2021MM09,111.2,7.3,,123.6,8.8,1.4
5336,A048213,2021KW03,112.1,4.5,,126.6,7.2,2.7
5337,A048213,2021MM10,102.9,3.5,,117.4,6.5,3.0
5338,A048213,2021MM11,111.8,7.0,,128.3,12.0,4.7
5339,A048213,2021MM12,117.3,6.8,,134.2,10.5,3.4
5340,A048213,2021KW04,110.6,5.8,,126.6,9.7,3.7
5341,A048213,2021JJ00,106.5,2.7,,121.3,6.3,3.4
5342,A048213,2022MM01,99.8,15.2,,113.4,16.0,0.7
5343,A048213,2022MM02,91.1,15.3,,105.4,16.1,0.7
5344,A048213,2022MM03,109.5,12.3,,124.8,13.0,0.6
5345,A048213,2022KW01,100.2,14.2,,114.5,14.9,0.7
5346,A048213,2022MM04,119.3,8.6,,139.1,11.0,2.3
5347,A048213,2022MM05,125.8,5.3,,145.7,6.5,1.1
5348,A048213,2022MM06,122.8,5.0,,144.3,7.4,2.3
5349,A048213,2022KW02,122.6,6.2,,143.0,8.2,1.9
5350,A048213,2022MM07,117.7,0.6,,137.6,3.5,3.0
5351,A048213,2022MM08,111.1,2.6,,130.4,5.7,3.0
5352,A048213,2022MM09,111.6,0.4,,129.1,4.5,4.1
5353,A048213,2022KW03,113.4,1.2,,132.4,4.5,3.3
5354,A048213,2022MM10,100.8,-2.0,,120.3,2.5,4.6
5355,A048213,2022MM11,110.5,-1.1,,133.5,4.0,5.2
5356,A048213,2022MM12,120.5,2.8,,144.9,8.0,5.1
5357,A048213,2022KW04,110.6,0.0,,132.9,5.0,5.0
5358,A048213,2022JJ00,111.7,4.9,,130.7,7.8,2.7
5359,A048213,2023MM01,101.8,2.0,,125.7,10.9,8.7
5360,A048213,2023MM02,88.3,-3.1,,112.1,6.3,9.7
5361,A048213,2023MM03,101.6,-7.2,,127.5,2.2,10.2
5362,A048213,2023KW01,97.2,-2.9,,121.8,6.3,9.5
5363,A048213,2023MM04,112.6,-5.6,,143.6,3.2,9.4
5364,A048213,2023MM05,123.4,-1.9,,156.2,7.2,9.2
5365,A048213,2023MM06,121.7,-0.9,,155.3,7.7,8.6
5366,A048213,2023KW02,119.2,-2.8,,151.7,6.1,9.1
5367,A048213,2023MM07,113.1,-3.9,,142.3,3.4,7.6
5368,A048213,2023MM08,109.9,-1.1,,137.7,5.6,6.7
5369,A048213,2023MM09,108.5,-2.7,,134.7,4.4,7.3
5370,A048213,2023KW03,110.5,-2.6,,138.2,4.4,7.2
5371,A048213,2023MM10,99.0,-1.7,,124.8,3.8,5.6
