ID,Perioden,TotaalConsumptie_1,Totaal_2,VoedingEnNietAlcoholischeDranken_3,AlcoholischeDrankenTabak_4,KledingEnSchoeisel_5,HuisvestingWaterEnEnergie_6,WoninginrichtingEnHuishouding_7,Gezondheid_8,Vervoer_9,Communicatie_10,RecreatieEnCultuur_11,Onderwijs_12,Horeca_13,SocialeBescherming_14,OverigeVerbruiksfuncties_15,ConsumptieBuitenlandersInNederland_16,ConsumptieHuishoudensInBuitenland_17,Totaal_18,VoedingEnNietAlcoholischeDranken_19,AlcoholischeDrankenTabak_20,KledingEnSchoeisel_21,HuisvestingWaterEnEnergie_22,WoninginrichtingEnHuishouding_23,Gezondheid_24,Vervoer_25,Communicatie_26,RecreatieEnCultuur_27,Onderwijs_28,Horeca_29,SocialeBescherming_30,OverigeVerbruiksfuncties_31,ConsumptieBuitenlandersInNederland_32,ConsumptieHuishoudensInBuitenland_33,Totaal_34,Huisvesting_35,Gezondheid_36,RecreatieEnCultuur_37,Onderwijs_38,SocialeBescherming_39,CollectieveConsumptieDoorDeOverheid_40,TotaalConsumptie_41,Totaal_42,VoedingEnNietAlcoholischeDranken_43,AlcoholischeDrankenTabak_44,KledingEnSchoeisel_45,HuisvestingWaterEnEnergie_46,WoninginrichtingEnHuishouding_47,Gezondheid_48,Vervoer_49,Communicatie_50,RecreatieEnCultuur_51,Onderwijs_52,Horeca_53,SocialeBescherming_54,OverigeVerbruiksfuncties_55,ConsumptieBuitenlandersInNederland_56,ConsumptieHuishoudensInBuitenland_57,Totaal_58,VoedingEnNietAlcoholischeDranken_59,AlcoholischeDrankenTabak_60,KledingEnSchoeisel_61,HuisvestingWaterEnEnergie_62,WoninginrichtingEnHuishouding_63,Gezondheid_64,Vervoer_65,Communicatie_66,RecreatieEnCultuur_67,Onderwijs_68,Horeca_69,SocialeBescherming_70,OverigeVerbruiksfuncties_71,ConsumptieBuitenlandersInNederland_72,ConsumptieHuishoudensInBuitenland_73,Totaal_74,Huisvesting_75,Gezondheid_76,RecreatieEnCultuur_77,Onderwijs_78,SocialeBescherming_79,CollectieveConsumptieDoorDeOverheid_80,TotaalConsumptie_81,Totaal_82,VoedingEnNietAlcoholischeDranken_83,AlcoholischeDrankenTabak_84,KledingEnSchoeisel_85,HuisvestingWaterEnEnergie_86,WoninginrichtingEnHuishouding_87,Gezondheid_88,Vervoer_89,Communicatie_90,RecreatieEnCultuur_91,Onderwijs_92,Horeca_93,SocialeBescherming_94,OverigeVerbruiksfuncties_95,ConsumptieBuitenlandersInNederland_96,ConsumptieHuishoudensInBuitenland_97,Totaal_98,VoedingEnNietAlcoholischeDranken_99,AlcoholischeDrankenTabak_100,KledingEnSchoeisel_101,HuisvestingWaterEnEnergie_102,WoninginrichtingEnHuishouding_103,Gezondheid_104,Vervoer_105,Communicatie_106,RecreatieEnCultuur_107,Onderwijs_108,Horeca_109,SocialeBescherming_110,OverigeVerbruiksfuncties_111,ConsumptieBuitenlandersInNederland_112,ConsumptieHuishoudensInBuitenland_113,Totaal_114,Huisvesting_115,Gezondheid_116,RecreatieEnCultuur_117,Onderwijs_118,SocialeBescherming_119,CollectieveConsumptieDoorDeOverheid_120,TotaalConsumptie_121,Totaal_122,VoedingEnNietAlcoholischeDranken_123,AlcoholischeDrankenTabak_124,KledingEnSchoeisel_125,HuisvestingWaterEnEnergie_126,WoninginrichtingEnHuishouding_127,Gezondheid_128,Vervoer_129,Communicatie_130,RecreatieEnCultuur_131,Onderwijs_132,Horeca_133,SocialeBescherming_134,OverigeVerbruiksfuncties_135,ConsumptieBuitenlandersInNederland_136,ConsumptieHuishoudensInBuitenland_137,Totaal_138,VoedingEnNietAlcoholischeDranken_139,AlcoholischeDrankenTabak_140,KledingEnSchoeisel_141,HuisvestingWaterEnEnergie_142,WoninginrichtingEnHuishouding_143,Gezondheid_144,Vervoer_145,Communicatie_146,RecreatieEnCultuur_147,Onderwijs_148,Horeca_149,SocialeBescherming_150,OverigeVerbruiksfuncties_151,ConsumptieBuitenlandersInNederland_152,ConsumptieHuishoudensInBuitenland_153,Totaal_154,Huisvesting_155,Gezondheid_156,RecreatieEnCultuur_157,Onderwijs_158,SocialeBescherming_159,CollectieveConsumptieDoorDeOverheid_160
10,1979JJ00,117980,99128,,,,,,,,,,,,,,2196,4146,80619,11869,3437,6577,11988,5885,4775,9379,1134,9053,475,4152,986,8959,2196,4146,18509,,,,,,18852,227026,,,,,,,,,,,,,,,4936,11739,156389,,,,,,,,,,,,,,4936,11739,,,,,,,,2.6,,,,,,,,,,,,,,,-5.4,-2.1,2.2,,,,,,,,,,,,,,-5.4,-2.1,,,,,,,,52.0,,,,,,,,,,,,,,,44.5,35.3,51.6,,,,,,,,,,,,,,44.5,35.3,,,,,,,
11,1980JJ00,126014,106056,,,,,,,,,,,,,,2820,4328,86098,12403,3701,6897,13193,6104,5145,10420,1266,9691,519,4572,1083,9596,2820,4328,19958,,,,,,19958,228412,,,,,,,,,,,,,,,6001,11043,156316,,,,,,,,,,,,,,6001,11043,,,,,,,,0.6,,,,,,,,,,,,,,,21.6,-5.9,0.0,,,,,,,,,,,,,,21.6,-5.9,,,,,,,,55.2,,,,,,,,,,,,,,,47.0,39.2,55.1,,,,,,,,,,,,,,47.0,39.2,,,,,,,
12,1981JJ00,130928,109932,,,,,,,,,,,,,,2905,3997,88736,12961,3771,6703,14790,6013,5467,10704,1307,9591,576,4719,1174,9868,2905,3997,21196,,,,,,20996,226492,,,,,,,,,,,,,,,5793,9351,152587,,,,,,,,,,,,,,5793,9351,,,,,,,,-0.8,,,,,,,,,,,,,,,-3.5,-15.3,-2.4,,,,,,,,,,,,,,-3.5,-15.3,,,,,,,,57.8,,,,,,,,,,,,,,,50.2,42.7,58.2,,,,,,,,,,,,,,50.2,42.7,,,,,,,
13,1982JJ00,136297,114242,,,,,,,,,,,,,,2788,3765,91812,13347,4078,6804,15715,6088,5687,10739,1365,9809,608,4981,1238,10376,2788,3765,22430,,,,,,22055,225579,,,,,,,,,,,,,,,5268,8305,150380,,,,,,,,,,,,,,5268,8305,,,,,,,,-0.4,,,,,,,,,,,,,,,-9.1,-11.2,-1.4,,,,,,,,,,,,,,-9.1,-11.2,,,,,,,,60.4,,,,,,,,,,,,,,,52.9,45.3,61.1,,,,,,,,,,,,,,52.9,45.3,,,,,,,
14,1983JJ00,141331,118388,,,,,,,,,,,,,,2544,3900,95533,13786,4146,7085,16790,6232,5866,10541,1463,10276,674,5116,1279,10923,2544,3900,22855,,,,,,22943,229721,,,,,,,,,,,,,,,4673,8360,152274,,,,,,,,,,,,,,4673,8360,,,,,,,,1.8,,,,,,,,,,,,,,,-11.3,0.7,1.3,,,,,,,,,,,,,,-11.3,0.7,,,,,,,,61.5,,,,,,,,,,,,,,,54.4,46.6,62.7,,,,,,,,,,,,,,54.4,46.6,,,,,,,
15,1984JJ00,144195,121618,,,,,,,,,,,,,,2983,4019,98738,14017,4231,7217,18218,6374,5816,11274,1550,10405,687,5443,1274,11196,2983,4019,22880,,,,,,22577,230191,,,,,,,,,,,,,,,5094,8412,153195,,,,,,,,,,,,,,5094,8412,,,,,,,,0.2,,,,,,,,,,,,,,,9.0,0.6,0.6,,,,,,,,,,,,,,9.0,0.6,,,,,,,,62.6,,,,,,,,,,,,,,,58.6,47.8,64.5,,,,,,,,,,,,,,58.6,47.8,,,,,,,
16,1985JJ00,150595,126982,,,,,,,,,,,,,,3015,4304,102920,14649,4318,7558,19303,6760,5111,12429,1648,10893,733,5541,1078,11610,3015,4304,24062,,,,,,23613,235220,,,,,,,,,,,,,,,5041,8575,155324,,,,,,,,,,,,,,5041,8575,,,,,,,,2.2,,,,,,,,,,,,,,,-1.0,1.9,1.4,,,,,,,,,,,,,,-1.0,1.9,,,,,,,,64.0,,,,,,,,,,,,,,,59.8,50.2,66.3,,,,,,,,,,,,,,59.8,50.2,,,,,,,
17,1986JJ00,154123,130146,,,,,,,,,,,,,,3001,4410,105189,14867,3747,8092,19699,7155,4751,12614,1719,11457,792,5683,969,12235,3001,4410,24957,,,,,,23977,240030,,,,,,,,,,,,,,,4990,8776,159002,,,,,,,,,,,,,,4990,8776,,,,,,,,2.0,,,,,,,,,,,,,,,-1.0,2.3,2.4,,,,,,,,,,,,,,-1.0,2.3,,,,,,,,64.2,,,,,,,,,,,,,,,60.1,50.2,66.2,,,,,,,,,,,,,,60.1,50.2,,,,,,,
18,1987JJ00,158255,133121,14868.0,3765.0,8377.0,19460.0,7686.0,12338.0,12588.0,1766.0,12917.0,10978.0,5789.0,8199.0,12602.0,2901,4689,106878,14868,3765,8377,18714,7686,5001,12588,1766,12054,828,5789,1052,12602,2901,4689,26243,746.0,7337.0,863.0,10150.0,7147.0,25134,246422,208917.0,18798.0,7009.0,9330.0,37128.0,10223.0,18640.0,20032.0,2042.0,15198.0,23329.0,9420.0,14527.0,21984.0,4596,9337,162303,18798.0,7009.0,9330.0,35702.0,10223.0,7351.0,20032.0,2042.0,13878.0,1528.0,9420.0,2081.0,21984.0,4596,9337,47137.0,1428.0,11242.0,1419.0,21788.0,12425.0,37493.0,2.7,,,,,,,,,,,,,,,-7.9,6.4,2.1,,,,,,,,,,,,,,-7.9,6.4,,,,,,,,64.2,63.7,79.1,53.7,89.8,52.4,75.2,66.2,62.8,86.5,85.0,47.1,61.5,56.4,57.3,63.1,50.2,65.9,79.1,53.7,89.8,52.4,75.2,68.0,62.8,86.5,86.9,54.2,61.5,50.6,57.3,63.1,50.2,55.7,52.2,65.3,60.8,46.6,57.5,67.0
19,1988JJ00,161674,135973,15145.0,3713.0,8143.0,20291.0,7981.0,12698.0,12228.0,1866.0,13423.0,11056.0,5833.0,8373.0,13411.0,3030,4842,109436,15145,3713,8143,19499,7981,5175,12228,1866,12506,892,5833,1232,13411,3030,4842,26537,792.0,7523.0,917.0,10164.0,7141.0,25701,249971,211379.0,19330.0,6878.0,9226.0,37973.0,10557.0,19134.0,19280.0,2122.0,15808.0,22923.0,9325.0,14700.0,22849.0,4764,9210,164821,19330.0,6878.0,9226.0,36505.0,10557.0,7595.0,19280.0,2122.0,14436.0,1613.0,9325.0,2409.0,22849.0,4764,9210,46978.0,1470.0,11488.0,1473.0,21279.0,12307.0,38552.0,1.4,1.2,2.8,-1.9,-1.1,2.3,3.3,2.7,-3.7,3.9,4.0,-1.7,-1.0,1.2,3.9,3.7,-1.4,1.6,2.8,-1.9,-1.1,2.2,3.3,3.3,-3.7,3.9,4.0,5.6,-1.0,15.8,3.9,3.7,-1.4,-0.3,2.9,2.2,3.8,-2.3,-1.0,2.8,64.7,64.3,78.4,54.0,88.3,53.4,75.6,66.4,63.4,87.9,84.9,48.2,62.5,57.0,58.7,63.6,52.6,66.4,78.4,54.0,88.3,53.4,75.6,68.1,63.4,87.9,86.6,55.3,62.5,51.1,58.7,63.6,52.6,56.5,53.9,65.5,62.3,47.8,58.0,66.7
20,1989JJ00,168261,142031,15914.0,3841.0,8384.0,21318.0,8474.0,13193.0,12728.0,2003.0,14081.0,11014.0,6075.0,8660.0,14687.0,3545,5204,114809,15914,3841,8384,20509,8474,5185,12728,2003,13120,867,6075,1363,14687,3545,5204,27222,809.0,8008.0,961.0,10147.0,7297.0,26230,256515,217120.0,19659.0,7088.0,9470.0,39249.0,11063.0,19670.0,19698.0,2127.0,16538.0,22419.0,9786.0,14944.0,24545.0,5417,9275,170021,19659.0,7088.0,9470.0,37769.0,11063.0,7542.0,19698.0,2127.0,15124.0,1564.0,9786.0,2616.0,24545.0,5417,9275,47402.0,1483.0,12087.0,1512.0,20827.0,12364.0,39362.0,2.6,2.7,1.7,3.0,2.6,3.4,4.8,2.8,2.2,0.2,4.6,-2.2,4.9,1.7,7.4,13.7,0.7,3.2,1.7,3.0,2.6,3.5,4.8,-0.7,2.2,0.2,4.8,-3.0,4.9,8.6,7.4,13.7,0.7,0.9,0.9,5.2,2.6,-2.1,0.5,2.1,65.6,65.4,80.9,54.2,88.5,54.3,76.6,67.1,64.6,94.2,85.1,49.1,62.1,57.9,59.8,65.4,56.1,67.5,80.9,54.2,88.5,54.3,76.6,68.7,64.6,94.2,86.7,55.4,62.1,52.1,59.8,65.4,56.1,57.4,54.5,66.3,63.6,48.7,59.0,66.6
21,1990JJ00,177223,149605,16442.0,4105.0,9078.0,22755.0,9071.0,14184.0,13783.0,2188.0,14985.0,11302.0,6369.0,9325.0,14506.0,3560,5072,121102,16442,4105,9078,22002,9071,5618,13783,2188,13978,896,6369,1554,14506,3560,5072,28503,753.0,8566.0,1007.0,10406.0,7771.0,27618,265405,224545.0,20183.0,7352.0,10281.0,40490.0,11651.0,20489.0,20741.0,2324.0,17446.0,21911.0,10052.0,15517.0,24817.0,5071,8614,176890,20183.0,7352.0,10281.0,39141.0,11651.0,7887.0,20741.0,2324.0,15978.0,1568.0,10052.0,2873.0,24817.0,5071,8614,47784.0,1353.0,12558.0,1562.0,20310.0,12700.0,40824.0,3.5,3.4,2.7,3.7,8.6,3.2,5.3,4.2,5.3,9.3,5.5,-2.3,2.7,3.8,1.1,-6.4,-7.1,4.0,2.7,3.7,8.6,3.6,5.3,4.6,5.3,9.3,5.6,0.2,2.7,9.8,1.1,-6.4,-7.1,0.8,-8.8,3.9,3.3,-2.5,2.7,3.7,66.8,66.6,81.5,55.8,88.3,56.2,77.9,69.2,66.5,94.1,85.9,51.6,63.4,60.1,58.5,70.2,58.9,68.5,81.5,55.8,88.3,56.2,77.9,71.2,66.5,94.1,87.5,57.1,63.4,54.1,58.5,70.2,58.9,59.6,55.6,68.2,64.5,51.2,61.2,67.7
22,1991JJ00,188658,159570,16978.0,4238.0,9719.0,24785.0,9618.0,15512.0,14623.0,2389.0,15654.0,11881.0,6796.0,9934.0,16208.0,4628,5863,128838,16978,4238,9719,23948,9618,5942,14623,2389,14594,935,6796,1615,16208,4628,5863,30732,837.0,9570.0,1060.0,10946.0,8319.0,29088,272490,231002.0,20266.0,7395.0,10984.0,42252.0,12019.0,21480.0,21099.0,2531.0,17878.0,22166.0,10482.0,15863.0,26218.0,6315,9062,181679,20266.0,7395.0,10984.0,40824.0,12019.0,8022.0,21099.0,2531.0,16341.0,1579.0,10482.0,2872.0,26218.0,6315,9062,49499.0,1432.0,13423.0,1646.0,20556.0,13041.0,41458.0,2.7,2.9,0.4,0.6,6.8,4.4,3.2,4.8,1.7,8.9,2.5,1.2,4.3,2.2,5.6,24.5,5.2,2.7,0.4,0.6,6.8,4.3,3.2,1.7,1.7,8.9,2.3,0.7,4.3,-0.1,5.6,24.5,5.2,3.6,5.8,6.9,5.4,1.2,2.7,1.6,69.2,69.1,83.8,57.3,88.5,58.7,80.0,72.2,69.3,94.4,87.6,53.6,64.8,62.6,61.8,73.3,64.7,70.9,83.8,57.3,88.5,58.7,80.0,74.1,69.3,94.4,89.3,59.2,64.8,56.2,61.8,73.3,64.7,62.1,58.4,71.3,64.4,53.3,63.8,70.2
23,1992JJ00,197593,167463,17642.0,4470.0,9715.0,26281.0,9773.0,16518.0,15606.0,2548.0,16096.0,12683.0,7242.0,10641.0,17126.0,5290,6412,133777,17642,4470,9715,25425,9773,5509,15606,2548,15002,946,7242,1651,17126,5290,6412,33686,856.0,11009.0,1094.0,11737.0,8990.0,30130,276021,234501.0,20629.0,7293.0,10829.0,43080.0,11948.0,22305.0,21935.0,2605.0,18150.0,22131.0,10813.0,16373.0,26589.0,7053,9362,182979,20629.0,7293.0,10829.0,41707.0,11948.0,7268.0,21935.0,2605.0,16592.0,1530.0,10813.0,2818.0,26589.0,7053,9362,51907.0,1378.0,15041.0,1667.0,20574.0,13588.0,41498.0,1.3,1.5,1.8,-1.4,-1.4,2.0,-0.6,3.8,4.0,2.9,1.5,-0.2,3.1,3.2,1.4,11.7,3.3,0.7,1.8,-1.4,-1.4,2.2,-0.6,-9.4,4.0,2.9,1.5,-3.1,3.1,-1.9,1.4,11.7,3.3,4.9,-3.8,12.1,1.3,0.1,4.2,0.1,71.6,71.4,85.5,61.3,89.7,61.0,81.8,74.1,71.1,97.8,88.7,57.3,67.0,65.0,64.4,75.0,68.5,73.1,85.5,61.3,89.7,61.0,81.8,75.8,71.1,97.8,90.4,61.8,67.0,58.6,64.4,75.0,68.5,64.9,62.1,73.2,65.6,57.0,66.2,72.6
24,1993JJ00,204231,172966,17887.0,4617.0,9631.0,27815.0,9726.0,17174.0,15940.0,2782.0,16498.0,13066.0,7767.0,11139.0,17522.0,4997,6399,137805,17887,4617,9631,26960,9726,5530,15940,2782,15334,1047,7767,1660,17522,4997,6399,35161,855.0,11644.0,1164.0,12019.0,9479.0,31265,279476,237037.0,20986.0,7081.0,10407.0,44116.0,11694.0,22995.0,21887.0,2738.0,18356.0,22344.0,11269.0,16645.0,26752.0,6541,8932,184463,20986.0,7081.0,10407.0,42817.0,11694.0,7353.0,21887.0,2738.0,16730.0,1612.0,11269.0,2788.0,26752.0,6541,8932,53025.0,1305.0,15652.0,1756.0,20699.0,13883.0,42409.0,1.3,1.1,1.7,-2.9,-3.9,2.4,-2.1,3.1,-0.2,5.1,1.1,1.0,4.2,1.7,0.6,-7.3,-4.6,0.8,1.7,-2.9,-3.9,2.7,-2.1,1.2,-0.2,5.1,0.8,5.4,4.2,-1.1,0.6,-7.3,-4.6,2.2,-5.3,4.1,5.3,0.6,2.2,2.2,73.1,73.0,85.2,65.2,92.5,63.0,83.2,74.7,72.8,101.6,89.9,58.5,68.9,66.9,65.5,76.4,71.6,74.7,85.2,65.2,92.5,63.0,83.2,75.2,72.8,101.6,91.7,64.9,68.9,59.6,65.5,76.4,71.6,66.3,65.5,74.4,66.3,58.1,68.3,73.7
