ID,Bedrijfstype,RegioS,Perioden,TotaalMestproductie_1,DunneMestInDeStal_2,DunneMestInDeWei_3,VasteMestInDeStal_4,Stikstofuitscheiding_5,TotaalGasvormigeStikstofverliezen_6,TotaalVerliezenInStalEnOpslag_7,AmmoniakUitgedruktInN_8,OverigeStikstofverliezen_9,AmmoniakverliesTijdensBeweidingN_10,StikstofInGeproduceerdeMestN_11,FosfaatuitscheidingP205_12,PlaatsingsruimteStikstofN_13,PlaatsingsruimteFosfaatP205_14,AandeelBedrijvenZonderOverproductie_15,ResterendePlaatsingsruimteStikstof_16,ResterendePlaatsingsruimteFosfaat_17,AandeelBedrijvenMetOverproductie_18,Stikstofoverschot_19,Fosfaatoverschot_20,SaldoPlaatsingsruimteStikstof_21,SaldoPlaatsingsruimteStikstofPerHa_22,SaldoPlaatsingsruimteFosfaat_23,SaldoPlaatsingsruimteFosfaatPerHa_24
2178,T20,PV22  ,1996JJ00,361.0,291.0,21.0,48.0,4990.0,1130.0,1110.0,1040.0,80.0,20.0,3880.0,1940.0,,280.0,3.0,,0.0,97.0,3160.0,1660.0,,,-1660.0,-722.0
2179,T20,PV22  ,1997JJ00,375.0,305.0,20.0,50.0,5190.0,1160.0,1140.0,1060.0,80.0,10.0,4040.0,2070.0,,300.0,4.0,,10.0,96.0,3290.0,1780.0,,,-1770.0,-722.0
2180,T20,PV22  ,1998JJ00,367.0,290.0,18.0,59.0,4960.0,1130.0,1120.0,1050.0,80.0,10.0,3840.0,2030.0,,280.0,3.0,,0.0,97.0,3180.0,1760.0,,,-1750.0,-722.0
2181,T20,PV22  ,1999JJ00,367.0,288.0,15.0,64.0,5210.0,1200.0,1200.0,1120.0,80.0,10.0,4010.0,2180.0,,280.0,2.0,,0.0,98.0,3400.0,1910.0,,,-1900.0,-763.0
2182,T20,PV22  ,2000JJ00,360.0,283.0,14.0,62.0,4850.0,1100.0,1090.0,1020.0,70.0,0.0,3760.0,2140.0,,260.0,2.0,,0.0,98.0,3190.0,1880.0,,,-1880.0,-773.0
2183,T20,PV22  ,2001JJ00,344.0,273.0,13.0,58.0,4350.0,960.0,960.0,890.0,70.0,0.0,3390.0,1780.0,,240.0,3.0,,0.0,97.0,2850.0,1540.0,,,-1540.0,-658.0
2184,T20,PV22  ,2002JJ00,342.0,267.0,12.0,63.0,4590.0,1010.0,1010.0,940.0,70.0,0.0,3590.0,1850.0,,260.0,3.0,,10.0,97.0,3010.0,1600.0,,,-1590.0,-610.0
2185,T20,PV22  ,2003JJ00,291.0,239.0,8.0,44.0,3810.0,870.0,870.0,810.0,60.0,0.0,2940.0,1610.0,,160.0,1.0,,0.0,99.0,2590.0,1450.0,,,-1450.0,-829.0
2186,T20,PV22  ,2004JJ00,297.0,246.0,8.0,43.0,3670.0,850.0,850.0,790.0,60.0,0.0,2820.0,1540.0,,170.0,2.0,,0.0,98.0,2470.0,1370.0,,,-1370.0,-757.0
2187,T20,PV22  ,2005JJ00,326.0,260.0,10.0,56.0,4590.0,920.0,920.0,850.0,70.0,0.0,3680.0,1920.0,,190.0,2.0,,0.0,98.0,3270.0,1730.0,,,-1730.0,-815.0
2188,T20,PV22  ,2006JJ00,341.0,282.0,9.0,49.0,4390.0,900.0,900.0,830.0,70.0,0.0,3490.0,1890.0,370.0,190.0,0.0,0.0,0.0,100.0,3140.0,1720.0,-3140.0,-1567.0,-1720.0,-859.0
2189,T20,PV22  ,2007JJ00,340.0,279.0,8.0,54.0,4580.0,900.0,900.0,820.0,70.0,0.0,3690.0,1940.0,390.0,200.0,0.0,0.0,0.0,100.0,3310.0,1760.0,-3310.0,-1560.0,-1760.0,-832.0
2190,T20,PV22  ,2008JJ00,335.0,273.0,7.0,56.0,4690.0,920.0,920.0,850.0,70.0,0.0,3770.0,1980.0,400.0,200.0,2.0,0.0,0.0,98.0,3390.0,1800.0,-3390.0,-1519.0,-1800.0,-805.0
2191,T20,PV22  ,2009JJ00,342.0,282.0,4.0,57.0,4770.0,940.0,940.0,870.0,70.0,0.0,3820.0,2050.0,350.0,170.0,1.0,0.0,0.0,99.0,3500.0,1890.0,-3490.0,-1802.0,-1890.0,-972.0
2192,T20,PV22  ,2010JJ00,374.0,282.0,5.0,86.0,6020.0,1030.0,1030.0,940.0,80.0,0.0,4990.0,2540.0,870.0,390.0,1.0,0.0,0.0,99.0,4190.0,2180.0,-4190.0,-841.0,-2170.0,-437.0
2193,T20,PV22  ,2011JJ00,347.0,260.0,4.0,83.0,5630.0,860.0,860.0,790.0,80.0,0.0,4770.0,2320.0,740.0,320.0,1.0,0.0,0.0,99.0,4100.0,2020.0,-4100.0,-963.0,-2020.0,-474.0
2194,T20,PV22  ,2012JJ00,330.0,247.0,4.0,80.0,5330.0,800.0,800.0,730.0,70.0,0.0,4530.0,2110.0,670.0,270.0,0.0,0.0,0.0,100.0,3930.0,1850.0,-3930.0,-1012.0,-1850.0,-477.0
