ID,BankenSBI2008,Perioden,Ondernemingen_1,LokaleBedrijfseenheid_2,TotaalWerkzamePersonen_3,WerkzameVrouwen_4,WerkzameMannen_5,NoordNederland_6,OostNederland_7,WestNederland_8,ZuidNederland_9,WerknemersInVTE_10,AantalGelduitgifteautomaten_11,TotaalBaten_12,TotaalRenteEnSoortgelijkeBaten_13,RenteBatenVastRentendeWaardepapieren_14,OverigeRenteEnSoortgelijkeBaten_15,TotaalOpbrengstenUitWaardepapieren_16,OpbrengstenUitAandelen_17,OverigeOpbrengstenUitWaardepapieren_18,Provisiebaten_19,ResultaatUitFinancieleTransacties_20,OverigeBaten_21,TotaalLasten_22,TotaalRenteEnSoortgelijkeLasten_23,RenteEnSoortgelLastenUitgegevenObl_24,OverigeRenteEnSoortgelijkeLasten_25,Provisielasten_26,TotaalAlgemeneAdministratieveUitgaven_27,OverigeAdministratieveUitgaven_28,TotaalPersoneelskosten_29,LonenEnSalarissen_30,SocialeLasten_31,OverigeBedrijfslasten_32,WaardeverVanVordEnToevOnttr_33,OverigeWaardeveranderingen_34,ResultaatUitGewoneActiviteiten_35,ResultaatBuitengewoneBatenEnLasten_36,Belastingen_37,WinstVerliesBoekjaar_38,Productiewaarde_39,ToegevoegdeWaardeTegenBasisprijzen_40,BrutoInvesteringenInMaterieleActiva_41,TotaleAankoopVanGoederenEnDiensten_42
35,6411  ,2013JJ00,1.0,,1808.0,,,,,,,1659.0,,,,,,,,,,,,,,,,,,,194.0,141.0,53.0,,,,,,,,1443.0,1312.0,32.0,131.0
36,6411  ,2014JJ00,1.0,,1812.0,,,,,,,1692.0,,,,,,,,,,,,,,,,,,,191.0,135.0,56.0,,,,,,,,1286.0,1132.0,38.0,154.0
37,6411  ,2015JJ00,1.0,,1853.0,,,,,,,1707.0,,,,,,,,,,,,,,,,,,,186.0,138.0,48.0,,,,,,,,986.0,866.0,45.0,120.0
38,6419  ,1997JJ00,90.0,7161.0,113200.0,,,9000.0,16800.0,67000.0,20400.0,109900.0,6397.0,45251.0,38462.0,,,1739.0,310.0,1429.0,3273.0,1006.0,771.0,45250.0,27747.0,,,0.0,10056.0,5339.0,4717.0,4136.0,581.0,18.0,913.0,906.0,5611.0,12.0,1117.0,4505.0,17504.0,12147.0,1208.0,5357.0
39,6419  ,1998JJ00,85.0,6854.0,121000.0,,,9600.0,18000.0,71600.0,21800.0,117500.0,6568.0,50496.0,43568.0,,,1170.0,318.0,852.0,3787.0,1016.0,955.0,50495.0,32050.0,,,0.0,10862.0,5720.0,5142.0,4203.0,938.0,10.0,862.0,1081.0,5631.0,-1.0,1132.0,4497.0,18446.0,12715.0,1458.0,5730.0
40,6419  ,1999JJ00,85.0,6449.0,126000.0,,,10000.0,18800.0,74500.0,22700.0,122700.0,6673.0,55775.0,45976.0,,,2831.0,546.0,2285.0,4130.0,1468.0,1370.0,55775.0,33618.0,,,0.0,11765.0,5884.0,5881.0,4904.0,977.0,53.0,997.0,1096.0,8246.0,20.0,1408.0,6858.0,19871.0,13934.0,1211.0,5937.0
41,6419  ,2000JJ00,87.0,6152.0,140400.0,67392.0,73008.0,11137.0,21316.0,83923.0,24023.0,127636.0,6921.0,67241.0,54689.0,,,3767.0,834.0,2933.0,5200.0,1839.0,1746.0,67242.0,41975.0,,,0.0,13737.0,7041.0,6696.0,5639.0,1057.0,14.0,591.0,1184.0,9741.0,-714.0,1153.0,7874.0,22334.0,15279.0,2402.0,7055.0
42,6419  ,2001JJ00,86.0,5760.0,142502.0,68401.0,74101.0,11087.0,20652.0,86418.0,24345.0,129547.0,7142.0,69929.0,57868.0,5715.0,52153.0,4293.0,524.0,3769.0,5374.0,1193.0,1201.0,69927.0,44205.0,7819.0,36386.0,660.0,13837.0,6735.0,7102.0,5960.0,1141.0,7.0,1256.0,1190.0,8773.0,-86.0,1135.0,7551.0,21954.0,14551.0,2073.0,7403.0
43,6419  ,2002JJ00,88.0,4821.0,136618.0,65577.0,71041.0,11050.0,19870.0,82526.0,23172.0,124198.0,7442.0,64055.0,54076.0,6574.0,47502.0,3270.0,327.0,2943.0,5280.0,662.0,767.0,64055.0,38901.0,8329.0,30572.0,700.0,14395.0,6495.0,7900.0,6070.0,1829.0,83.0,2017.0,1628.0,6331.0,-20.0,896.0,5415.0,22212.0,14934.0,1043.0,7278.0
44,6419  ,2003JJ00,86.0,4499.0,131942.0,63332.0,68610.0,10824.0,19400.0,78443.0,23275.0,118867.0,7556.0,62581.0,51302.0,6646.0,44656.0,3523.0,412.0,3111.0,5201.0,948.0,1607.0,62580.0,34735.0,8129.0,26606.0,676.0,14818.0,6792.0,8026.0,6163.0,1864.0,99.0,1729.0,1148.0,9375.0,-1.0,1553.0,7821.0,24736.0,17169.0,1155.0,7567.0
