ID,Standaardisatie,RegionaleIndeling,ContactMetHuisarts_1,GemHuisartscontactInBevolking_2,GemHuisartscontactBijContact_3,ContactMetSpecialist_4,GemSpecialistcontactInBevolking_5,GemSpecialistcontactBijContact_6,ContactMetTandarts_7,GemTandartscontactInBevolking_8,GemTandartscontactBijContact_9,ContactMetFysiotherapeut_10,GemFysiotherapeutcontactInBevolking_11,GemFysiotherapeutcontactBijContact_12,ContactMetRiagg_13,ContactMetAlternatieveGenezers_14,Ziekenhuisopname_15,AantalZiekenhuisopnamenInBevolking_16,AantalZiekenhuisopnamenVanPatienten_17,MedicijngebruikVoorgeschreven_18,MedicijngebruikNietVoorgeschreven_19,ContactConsultatiebureau_20,GemiddeldeLengteVanMannen_21,GemiddeldeLengteVanVrouwen_22,GemiddeldGewichtVanMannen_23,GemiddeldGewichtVanVrouwen_24,OndergewichtMannen_25,NormaalgewichtMannen_26,OvergewichtMannen_27,ErnstigOvergewichtMannen_28,OndergewichtVrouwen_29,NormaalgewichtVrouwen_30,OvergewichtVrouwen_31,ErnstigOvergewichtVrouwen_32,MinderGoedeGezondheid_33,Astma_34,Neusholteontsteking_35,HartkwaalOfHartinfarct_36,HogeBloeddruk_37,GevolgenVanEenBeroerte_38,Maagzweer_39,ErnstigeDarmstoornissen_40,GalstenenGalblaasontsteking_41,LeverziekteOfLevercirrhose_42,Nierstenen_43,Nierziekte_44,ChronischeBlaasontsteking_45,Verzakking_46,Suikerziekte_47,Schildklierafwijking_48,Rugaandoening_49,GewrichtsslijtageArthrose_50,GewrichtsontstekingArthritis_51,ChronischeReuma_52,Epilepsie_53,DuizeligheidMetVallen_54,Migraine_55,ErnstigeHuidziekte_56,KwaadaardigeAandoeningOfKanker_57,PersonenMet1OfMeerOESOScores_58,PersonenMetBeperkingenInHoren_59,PersonenMetBeperkingenInZien_60,PersonenMetBeperkingInBewegelijkheid_61,ZonderKunstgebit_62,MetAlleenKunstgebitBovenOfOnder_63,MetKunstgebitBovenEnOnder_64,MetAlleenEenAndereGebitsprothese_65,GemiddeldeGeboortelengte_66,GemiddeldGeboortegewicht_67,Geboortegewicht2500Gr_68,Pilgebruik_69,BorstvoedingBijGeboorte_70,BorstvoedingOpLeeftijdVan6Weken_71,BorstvoedingOpLeeftijdVan3Maanden_72,BorstvoedingOpLeeftijdVan6Maanden_73,Rokers_74,ZwareRokers_75,GeenAlcoholDrinkers_76,ZwareDrinkers_77
64,1,PV28,76,4.0,5.3,38,1.8,4.8,77,2.2,2.9,14,2.4,16.8,2,5,6,0.1,1.2,33,32,92.0,179.9,165.7,80.5,67.3,1,55,37,7,3,60,27,10,20,8,9,2,7,1,1,2,1,0,0,0,1,2,2,2,7,7,2,1,1,2,6,2,1,13,2,5,9,65,5,16,14,50.6,3433.0,93.0,44,71.0,56.0,44.0,24.0,35,11,18,11
65,1,PV29,73,3.2,4.4,41,1.8,4.4,72,1.8,2.5,16,3.2,20.5,2,7,8,0.1,1.2,34,26,88.0,179.5,164.7,80.2,66.2,2,53,39,6,5,63,25,8,21,7,8,3,8,1,1,2,1,0,1,0,1,3,2,2,7,9,3,2,1,2,6,2,1,15,4,5,11,58,8,23,11,50.4,3398.0,91.0,41,67.0,60.0,44.0,19.0,33,11,19,11
66,1,PV30,75,3.7,4.9,38,1.7,4.6,76,2.2,2.9,15,2.6,17.2,1,6,6,0.1,1.2,33,26,89.0,178.9,165.1,79.9,66.6,1,54,39,6,4,60,27,9,19,8,8,2,7,0,1,2,1,0,1,0,1,2,2,1,8,7,2,1,0,2,6,1,1,13,3,5,8,61,8,19,12,50.4,3334.0,93.0,46,60.0,48.0,40.0,21.0,37,13,16,16
67,1,PV31,76,4.3,5.6,40,1.9,4.8,76,2.2,2.9,14,2.4,17.1,2,7,6,0.1,1.2,34,26,86.0,178.5,165.1,79.9,66.3,1,52,40,7,3,59,28,10,22,8,9,3,8,1,1,2,1,0,1,0,1,3,2,2,9,10,3,1,1,2,7,2,1,15,3,5,10,62,7,19,12,50.2,3389.0,93.0,44,61.0,48.0,35.0,19.0,35,14,20,15
68,2,PV00,75,3.9,5.2,38,1.8,4.6,76,2.2,2.9,15,2.5,17.5,2,6,6,0.1,1.2,33,31,90.0,179.9,165.9,80.4,67.3,1,56,37,6,3,61,27,9,19,8,8,2,8,1,1,2,1,0,1,0,1,2,2,1,8,7,2,1,1,2,6,2,1,13,3,5,9,63,6,18,13,50.5,3444.0,94.0,43,69.0,57.0,45.0,25.0,35,12,17,13
69,2,0011,74,3.5,4.6,36,1.3,3.6,70,1.9,2.8,12,1.8,14.6,1,5,7,0.1,1.2,34,36,,181.2,165.7,81.2,68.3,1,58,35,7,2,57,30,11,20,10,8,3,8,1,1,1,1,0,1,0,1,1,2,2,7,7,2,1,1,1,7,1,1,13,4,4,9,59,6,26,9,,,,38,,,,,39,12,19,13
70,2,0012,75,4.1,5.3,38,1.7,4.3,73,2.1,3.0,13,2.4,15.8,1,6,7,0.1,1.3,33,28,,180.9,165.1,80.9,68.9,1,57,36,5,2,61,28,9,18,10,8,3,10,0,1,3,0,0,0,0,2,1,3,1,8,8,3,1,1,2,7,2,1,13,2,5,10,60,8,22,10,,,,41,,,,,35,9,18,12
71,2,0013,73,3.8,5.1,38,1.8,5.1,73,1.6,2.2,13,2.4,20.4,1,5,8,0.1,1.2,31,29,,180.6,166.0,79.9,68.4,2,62,32,3,3,61,26,11,19,12,8,3,9,0,2,1,0,0,2,0,2,2,1,2,10,8,4,2,0,1,6,2,1,15,2,5,10,57,7,25,11,,,,39,,,,,38,9,16,17
72,2,0014,69,3.7,5.1,34,1.7,4.8,74,1.7,2.1,10,1.6,16.5,1,6,6,0.1,1.1,31,28,,180.8,166.8,81.8,68.0,1,56,36,8,3,58,28,11,19,9,7,2,5,0,1,2,2,0,1,0,0,1,1,2,8,8,3,1,0,1,7,2,2,11,2,4,8,60,6,25,9,,,,37,,,,,35,8,20,12
73,2,0015,75,3.2,4.2,37,2.3,6.9,75,2.4,3.4,11,1.4,12.4,1,6,6,0.1,1.1,31,28,,182.0,167.5,84.2,68.6,1,49,42,8,4,55,30,10,17,10,9,1,9,0,1,1,0,0,1,0,1,1,3,2,8,5,3,2,1,1,6,2,1,11,2,3,7,63,7,19,12,,,,45,,,,,30,10,16,11
