ID,Zorgtype,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
187,A052903,A019163,2024JJ00,1719.0
188,A052903,A019164,2021JJ00,902.0
189,A052903,A019164,2022JJ00,1185.0
190,A052903,A019164,2023JJ00,1479.0
191,A052903,A019164,2024JJ00,1630.0
192,A052903,A019165,2021JJ00,87.0
193,A052903,A019165,2022JJ00,90.0
194,A052903,A019165,2023JJ00,87.0
195,A052903,A019165,2024JJ00,89.0
196,A052903,A044427,2021JJ00,55.0
197,A052903,A044427,2022JJ00,76.0
198,A052903,A044427,2023JJ00,77.0
199,A052903,A044427,2024JJ00,74.0
200,A052904,T001103,2021JJ00,6986.0
201,A052904,T001103,2022JJ00,7575.0
202,A052904,T001103,2023JJ00,8381.0
203,A052904,T001103,2024JJ00,9225.0
204,A052904,A019151,2021JJ00,1273.0
205,A052904,A019151,2022JJ00,1309.0
206,A052904,A019151,2023JJ00,1403.0
207,A052904,A019151,2024JJ00,1556.0
208,A052904,A019154,2021JJ00,363.0
209,A052904,A019154,2022JJ00,587.0
210,A052904,A019154,2023JJ00,629.0
211,A052904,A019154,2024JJ00,699.0
212,A052904,A019155,2021JJ00,
213,A052904,A019155,2022JJ00,
214,A052904,A019155,2023JJ00,
215,A052904,A019155,2024JJ00,
216,A052904,A019156,2021JJ00,4286.0
217,A052904,A019156,2022JJ00,4510.0
218,A052904,A019156,2023JJ00,5078.0
219,A052904,A019156,2024JJ00,5640.0
220,A052904,A019158,2021JJ00,0.0
221,A052904,A019158,2022JJ00,0.0
222,A052904,A019158,2023JJ00,0.0
223,A052904,A019158,2024JJ00,0.0
224,A052904,A019163,2021JJ00,1063.0
225,A052904,A019163,2022JJ00,1170.0
226,A052904,A019163,2023JJ00,1271.0
227,A052904,A019163,2024JJ00,1329.0
228,A052904,A019164,2021JJ00,860.0
229,A052904,A019164,2022JJ00,917.0
230,A052904,A019164,2023JJ00,1009.0
231,A052904,A019164,2024JJ00,1060.0
232,A052904,A019165,2021JJ00,203.0
233,A052904,A019165,2022JJ00,253.0
234,A052904,A019165,2023JJ00,263.0
235,A052904,A019165,2024JJ00,269.0
236,A052904,A044427,2021JJ00,0.0
237,A052904,A044427,2022JJ00,0.0
238,A052904,A044427,2023JJ00,0.0
239,A052904,A044427,2024JJ00,0.0
240,A052905,T001103,2021JJ00,3290.0
241,A052905,T001103,2022JJ00,3601.0
242,A052905,T001103,2023JJ00,3783.0
243,A052905,T001103,2024JJ00,4199.0
244,A052905,A019151,2021JJ00,32.0
245,A052905,A019151,2022JJ00,13.0
246,A052905,A019151,2023JJ00,13.0
247,A052905,A019151,2024JJ00,16.0
248,A052905,A019154,2021JJ00,0.0
249,A052905,A019154,2022JJ00,0.0
250,A052905,A019154,2023JJ00,0.0
251,A052905,A019154,2024JJ00,0.0
252,A052905,A019155,2021JJ00,
253,A052905,A019155,2022JJ00,
254,A052905,A019155,2023JJ00,
255,A052905,A019155,2024JJ00,
256,A052905,A019156,2021JJ00,3221.0
257,A052905,A019156,2022JJ00,3537.0
258,A052905,A019156,2023JJ00,3718.0
259,A052905,A019156,2024JJ00,4128.0
260,A052905,A019158,2021JJ00,4.0
261,A052905,A019158,2022JJ00,7.0
262,A052905,A019158,2023JJ00,10.0
263,A052905,A019158,2024JJ00,11.0
264,A052905,A019163,2021JJ00,20.0
265,A052905,A019163,2022JJ00,29.0
266,A052905,A019163,2023JJ00,27.0
267,A052905,A019163,2024JJ00,29.0
268,A052905,A019164,2021JJ00,14.0
269,A052905,A019164,2022JJ00,23.0
270,A052905,A019164,2023JJ00,23.0
271,A052905,A019164,2024JJ00,25.0
272,A052905,A019165,2021JJ00,6.0
273,A052905,A019165,2022JJ00,6.0
274,A052905,A019165,2023JJ00,4.0
275,A052905,A019165,2024JJ00,4.0
276,A052905,A044427,2021JJ00,12.0
277,A052905,A044427,2022JJ00,14.0
278,A052905,A044427,2023JJ00,14.0
279,A052905,A044427,2024JJ00,15.0
280,A052906,T001103,2021JJ00,2503.0
281,A052906,T001103,2022JJ00,2537.0
282,A052906,T001103,2023JJ00,2663.0
283,A052906,T001103,2024JJ00,2763.0
284,A052906,A019151,2021JJ00,20.0
285,A052906,A019151,2022JJ00,10.0
286,A052906,A019151,2023JJ00,9.0
287,A052906,A019151,2024JJ00,11.0
288,A052906,A019154,2021JJ00,95.0
289,A052906,A019154,2022JJ00,103.0
290,A052906,A019154,2023JJ00,121.0
291,A052906,A019154,2024JJ00,129.0
292,A052906,A019155,2021JJ00,
293,A052906,A019155,2022JJ00,
294,A052906,A019155,2023JJ00,
295,A052906,A019155,2024JJ00,
296,A052906,A019156,2021JJ00,702.0
297,A052906,A019156,2022JJ00,742.0
298,A052906,A019156,2023JJ00,823.0
299,A052906,A019156,2024JJ00,880.0
300,A052906,A019158,2021JJ00,1151.0
301,A052906,A019158,2022JJ00,1126.0
302,A052906,A019158,2023JJ00,1128.0
303,A052906,A019158,2024JJ00,1129.0
304,A052906,A019163,2021JJ00,527.0
305,A052906,A019163,2022JJ00,546.0
306,A052906,A019163,2023JJ00,572.0
307,A052906,A019163,2024JJ00,605.0
308,A052906,A019164,2021JJ00,426.0
309,A052906,A019164,2022JJ00,444.0
310,A052906,A019164,2023JJ00,465.0
311,A052906,A019164,2024JJ00,494.0
312,A052906,A019165,2021JJ00,102.0
313,A052906,A019165,2022JJ00,102.0
314,A052906,A019165,2023JJ00,107.0
315,A052906,A019165,2024JJ00,111.0
316,A052906,A044427,2021JJ00,8.0
317,A052906,A044427,2022JJ00,10.0
318,A052906,A044427,2023JJ00,10.0
319,A052906,A044427,2024JJ00,9.0
320,A052907,T001103,2021JJ00,3729.0
321,A052907,T001103,2022JJ00,4016.0
322,A052907,T001103,2023JJ00,4480.0
323,A052907,T001103,2024JJ00,4708.0
324,A052907,A019151,2021JJ00,26.0
325,A052907,A019151,2022JJ00,9.0
326,A052907,A019151,2023JJ00,8.0
327,A052907,A019151,2024JJ00,11.0
328,A052907,A019154,2021JJ00,0.0
329,A052907,A019154,2022JJ00,0.0
330,A052907,A019154,2023JJ00,0.0
331,A052907,A019154,2024JJ00,0.0
332,A052907,A019155,2021JJ00,
333,A052907,A019155,2022JJ00,
334,A052907,A019155,2023JJ00,
335,A052907,A019155,2024JJ00,
336,A052907,A019156,2021JJ00,908.0
337,A052907,A019156,2022JJ00,971.0
338,A052907,A019156,2023JJ00,1072.0
339,A052907,A019156,2024JJ00,1155.0
340,A052907,A019158,2021JJ00,1300.0
341,A052907,A019158,2022JJ00,1317.0
342,A052907,A019158,2023JJ00,1425.0
343,A052907,A019158,2024JJ00,1468.0
344,A052907,A019163,2021JJ00,1492.0
345,A052907,A019163,2022JJ00,1715.0
346,A052907,A019163,2023JJ00,1972.0
347,A052907,A019163,2024JJ00,2071.0
348,A052907,A019164,2021JJ00,1420.0
349,A052907,A019164,2022JJ00,1642.0
350,A052907,A019164,2023JJ00,1901.0
351,A052907,A019164,2024JJ00,1998.0
352,A052907,A019165,2021JJ00,72.0
353,A052907,A019165,2022JJ00,74.0
354,A052907,A019165,2023JJ00,71.0
355,A052907,A019165,2024JJ00,73.0
356,A052907,A044427,2021JJ00,3.0
357,A052907,A044427,2022JJ00,4.0
358,A052907,A044427,2023JJ00,4.0
359,A052907,A044427,2024JJ00,4.0
360,A052908,T001103,2021JJ00,1518.0
361,A052908,T001103,2022JJ00,1502.0
362,A052908,T001103,2023JJ00,1646.0
363,A052908,T001103,2024JJ00,1779.0
364,A052908,A019151,2021JJ00,0.0
365,A052908,A019151,2022JJ00,0.0
366,A052908,A019151,2023JJ00,0.0
367,A052908,A019151,2024JJ00,0.0
368,A052908,A019154,2021JJ00,0.0
369,A052908,A019154,2022JJ00,0.0
370,A052908,A019154,2023JJ00,0.0
371,A052908,A019154,2024JJ00,0.0
372,A052908,A019155,2021JJ00,
373,A052908,A019155,2022JJ00,
374,A052908,A019155,2023JJ00,
375,A052908,A019155,2024JJ00,
376,A052908,A019156,2021JJ00,1459.0
377,A052908,A019156,2022JJ00,1442.0
378,A052908,A019156,2023JJ00,1581.0
379,A052908,A019156,2024JJ00,1713.0
380,A052908,A019158,2021JJ00,0.0
381,A052908,A019158,2022JJ00,0.0
382,A052908,A019158,2023JJ00,0.0
383,A052908,A019158,2024JJ00,0.0
384,A052908,A019163,2021JJ00,60.0
385,A052908,A019163,2022JJ00,60.0
386,A052908,A019163,2023JJ00,64.0
387,A052908,A019163,2024JJ00,66.0
388,A052908,A019164,2021JJ00,0.0
389,A052908,A019164,2022JJ00,0.0
390,A052908,A019164,2023JJ00,0.0
391,A052908,A019164,2024JJ00,0.0
392,A052908,A019165,2021JJ00,60.0
393,A052908,A019165,2022JJ00,60.0
394,A052908,A019165,2023JJ00,64.0
395,A052908,A019165,2024JJ00,66.0
396,A052908,A044427,2021JJ00,0.0
397,A052908,A044427,2022JJ00,0.0
398,A052908,A044427,2023JJ00,0.0
399,A052908,A044427,2024JJ00,0.0
400,A052909,T001103,2021JJ00,1342.0
401,A052909,T001103,2022JJ00,1290.0
402,A052909,T001103,2023JJ00,1387.0
403,A052909,T001103,2024JJ00,1456.0
404,A052909,A019151,2021JJ00,1.0
405,A052909,A019151,2022JJ00,0.0
406,A052909,A019151,2023JJ00,0.0
407,A052909,A019151,2024JJ00,0.0
408,A052909,A019154,2021JJ00,0.0
409,A052909,A019154,2022JJ00,0.0
410,A052909,A019154,2023JJ00,0.0
411,A052909,A019154,2024JJ00,0.0
412,A052909,A019155,2021JJ00,
413,A052909,A019155,2022JJ00,
414,A052909,A019155,2023JJ00,
415,A052909,A019155,2024JJ00,
416,A052909,A019156,2021JJ00,1296.0
417,A052909,A019156,2022JJ00,1243.0
418,A052909,A019156,2023JJ00,1337.0
419,A052909,A019156,2024JJ00,1403.0
420,A052909,A019158,2021JJ00,15.0
421,A052909,A019158,2022JJ00,17.0
422,A052909,A019158,2023JJ00,16.0
423,A052909,A019158,2024JJ00,17.0
424,A052909,A019163,2021JJ00,30.0
425,A052909,A019163,2022JJ00,30.0
426,A052909,A019163,2023JJ00,34.0
427,A052909,A019163,2024JJ00,36.0
428,A052909,A019164,2021JJ00,10.0
429,A052909,A019164,2022JJ00,10.0
430,A052909,A019164,2023JJ00,11.0
431,A052909,A019164,2024JJ00,11.0
432,A052909,A019165,2021JJ00,20.0
433,A052909,A019165,2022JJ00,20.0
434,A052909,A019165,2023JJ00,23.0
435,A052909,A019165,2024JJ00,24.0
436,A052909,A044427,2021JJ00,0.0
437,A052909,A044427,2022JJ00,0.0
438,A052909,A044427,2023JJ00,0.0
439,A052909,A044427,2024JJ00,0.0
440,A052910,T001103,2021JJ00,667.0
441,A052910,T001103,2022JJ00,663.0
442,A052910,T001103,2023JJ00,760.0
443,A052910,T001103,2024JJ00,846.0
444,A052910,A019151,2021JJ00,0.0
445,A052910,A019151,2022JJ00,0.0
446,A052910,A019151,2023JJ00,0.0
447,A052910,A019151,2024JJ00,0.0
448,A052910,A019154,2021JJ00,0.0
449,A052910,A019154,2022JJ00,0.0
450,A052910,A019154,2023JJ00,0.0
451,A052910,A019154,2024JJ00,0.0
452,A052910,A019155,2021JJ00,
453,A052910,A019155,2022JJ00,
454,A052910,A019155,2023JJ00,
455,A052910,A019155,2024JJ00,
456,A052910,A019156,2021JJ00,667.0
457,A052910,A019156,2022JJ00,663.0
458,A052910,A019156,2023JJ00,760.0
459,A052910,A019156,2024JJ00,846.0
460,A052910,A019158,2021JJ00,0.0
461,A052910,A019158,2022JJ00,0.0
462,A052910,A019158,2023JJ00,0.0
463,A052910,A019158,2024JJ00,0.0
464,A052910,A019163,2021JJ00,0.0
465,A052910,A019163,2022JJ00,0.0
466,A052910,A019163,2023JJ00,0.0
467,A052910,A019163,2024JJ00,0.0
468,A052910,A019164,2021JJ00,0.0
469,A052910,A019164,2022JJ00,0.0
470,A052910,A019164,2023JJ00,0.0
471,A052910,A019164,2024JJ00,0.0
472,A052910,A019165,2021JJ00,0.0
473,A052910,A019165,2022JJ00,0.0
474,A052910,A019165,2023JJ00,0.0
475,A052910,A019165,2024JJ00,0.0
476,A052910,A044427,2021JJ00,0.0
477,A052910,A044427,2022JJ00,0.0
478,A052910,A044427,2023JJ00,0.0
479,A052910,A044427,2024JJ00,0.0
480,A052911,T001103,2021JJ00,10222.0
481,A052911,T001103,2022JJ00,7432.0
482,A052911,T001103,2023JJ00,6108.0
483,A052911,T001103,2024JJ00,6165.0
484,A052911,A019151,2021JJ00,7163.0
485,A052911,A019151,2022JJ00,4316.0
486,A052911,A019151,2023JJ00,2676.0
487,A052911,A019151,2024JJ00,2503.0
488,A052911,A019154,2021JJ00,0.0
489,A052911,A019154,2022JJ00,0.0
490,A052911,A019154,2023JJ00,0.0
491,A052911,A019154,2024JJ00,0.0
492,A052911,A019155,2021JJ00,
493,A052911,A019155,2022JJ00,
494,A052911,A019155,2023JJ00,
495,A052911,A019155,2024JJ00,
496,A052911,A019156,2021JJ00,379.0
497,A052911,A019156,2022JJ00,389.0
498,A052911,A019156,2023JJ00,441.0
499,A052911,A019156,2024JJ00,471.0
500,A052911,A019158,2021JJ00,717.0
501,A052911,A019158,2022JJ00,719.0
502,A052911,A019158,2023JJ00,787.0
503,A052911,A019158,2024JJ00,788.0
504,A052911,A019163,2021JJ00,603.0
505,A052911,A019163,2022JJ00,603.0
506,A052911,A019163,2023JJ00,624.0
507,A052911,A019163,2024JJ00,663.0
508,A052911,A019164,2021JJ00,561.0
509,A052911,A019164,2022JJ00,562.0
510,A052911,A019164,2023JJ00,596.0
511,A052911,A019164,2024JJ00,636.0
512,A052911,A019165,2021JJ00,42.0
513,A052911,A019165,2022JJ00,42.0
514,A052911,A019165,2023JJ00,27.0
515,A052911,A019165,2024JJ00,28.0
516,A052911,A044427,2021JJ00,1360.0
517,A052911,A044427,2022JJ00,1404.0
518,A052911,A044427,2023JJ00,1580.0
519,A052911,A044427,2024JJ00,1740.0
520,A052913,T001103,2021JJ00,8654.0
521,A052913,T001103,2022JJ00,9015.0
522,A052913,T001103,2023JJ00,9279.0
523,A052913,T001103,2024JJ00,9905.0
524,A052913,A019151,2021JJ00,22.0
525,A052913,A019151,2022JJ00,15.0
526,A052913,A019151,2023JJ00,14.0
527,A052913,A019151,2024JJ00,17.0
528,A052913,A019154,2021JJ00,0.0
529,A052913,A019154,2022JJ00,0.0
530,A052913,A019154,2023JJ00,0.0
531,A052913,A019154,2024JJ00,0.0
532,A052913,A019155,2021JJ00,
533,A052913,A019155,2022JJ00,
534,A052913,A019155,2023JJ00,
535,A052913,A019155,2024JJ00,
536,A052913,A019156,2021JJ00,6529.0
537,A052913,A019156,2022JJ00,6806.0
538,A052913,A019156,2023JJ00,6959.0
539,A052913,A019156,2024JJ00,7436.0
540,A052913,A019158,2021JJ00,46.0
541,A052913,A019158,2022JJ00,41.0
542,A052913,A019158,2023JJ00,42.0
543,A052913,A019158,2024JJ00,43.0
544,A052913,A019163,2021JJ00,2045.0
545,A052913,A019163,2022JJ00,2136.0
546,A052913,A019163,2023JJ00,2248.0
547,A052913,A019163,2024JJ00,2393.0
548,A052913,A019164,2021JJ00,1006.0
549,A052913,A019164,2022JJ00,1091.0
550,A052913,A019164,2023JJ00,1197.0
551,A052913,A019164,2024JJ00,1309.0
552,A052913,A019165,2021JJ00,1039.0
553,A052913,A019165,2022JJ00,1045.0
554,A052913,A019165,2023JJ00,1051.0
555,A052913,A019165,2024JJ00,1084.0
556,A052913,A044427,2021JJ00,12.0
557,A052913,A044427,2022JJ00,16.0
558,A052913,A044427,2023JJ00,16.0
559,A052913,A044427,2024JJ00,15.0
560,A052914,T001103,2021JJ00,4377.0
561,A052914,T001103,2022JJ00,4254.0
562,A052914,T001103,2023JJ00,4272.0
563,A052914,T001103,2024JJ00,4496.0
564,A052914,A019151,2021JJ00,975.0
565,A052914,A019151,2022JJ00,799.0
566,A052914,A019151,2023JJ00,752.0
567,A052914,A019151,2024JJ00,790.0
568,A052914,A019154,2021JJ00,193.0
569,A052914,A019154,2022JJ00,198.0
570,A052914,A019154,2023JJ00,244.0
571,A052914,A019154,2024JJ00,239.0
572,A052914,A019155,2021JJ00,
573,A052914,A019155,2022JJ00,
574,A052914,A019155,2023JJ00,
575,A052914,A019155,2024JJ00,
576,A052914,A019156,2021JJ00,1545.0
577,A052914,A019156,2022JJ00,1607.0
578,A052914,A019156,2023JJ00,1627.0
579,A052914,A019156,2024JJ00,1743.0
580,A052914,A019158,2021JJ00,201.0
581,A052914,A019158,2022JJ00,196.0
582,A052914,A019158,2023JJ00,177.0
583,A052914,A019158,2024JJ00,184.0
584,A052914,A019163,2021JJ00,1409.0
585,A052914,A019163,2022JJ00,1454.0
586,A052914,A019163,2023JJ00,1472.0
587,A052914,A019163,2024JJ00,1539.0
588,A052914,A019164,2021JJ00,1124.0
589,A052914,A019164,2022JJ00,1161.0
590,A052914,A019164,2023JJ00,1167.0
591,A052914,A019164,2024JJ00,1220.0
592,A052914,A019165,2021JJ00,285.0
593,A052914,A019165,2022JJ00,292.0
594,A052914,A019165,2023JJ00,305.0
595,A052914,A019165,2024JJ00,319.0
596,A052914,A044427,2021JJ00,54.0
597,A052914,A044427,2022JJ00,0.0
598,A052914,A044427,2023JJ00,0.0
599,A052914,A044427,2024JJ00,0.0
600,A052912,T001103,2021JJ00,2973.0
601,A052912,T001103,2022JJ00,3133.0
602,A052912,T001103,2023JJ00,3402.0
603,A052912,T001103,2024JJ00,3742.0
604,A052912,A019151,2021JJ00,541.0
605,A052912,A019151,2022JJ00,543.0
606,A052912,A019151,2023JJ00,557.0
607,A052912,A019151,2024JJ00,613.0
608,A052912,A019154,2021JJ00,0.0
609,A052912,A019154,2022JJ00,0.0
610,A052912,A019154,2023JJ00,0.0
611,A052912,A019154,2024JJ00,0.0
612,A052912,A019155,2021JJ00,
613,A052912,A019155,2022JJ00,
614,A052912,A019155,2023JJ00,
615,A052912,A019155,2024JJ00,
616,A052912,A019156,2021JJ00,1665.0
617,A052912,A019156,2022JJ00,1713.0
618,A052912,A019156,2023JJ00,1883.0
619,A052912,A019156,2024JJ00,2087.0
620,A052912,A019158,2021JJ00,206.0
621,A052912,A019158,2022JJ00,192.0
622,A052912,A019158,2023JJ00,186.0
623,A052912,A019158,2024JJ00,191.0
624,A052912,A019163,2021JJ00,431.0
625,A052912,A019163,2022JJ00,565.0
626,A052912,A019163,2023JJ00,603.0
627,A052912,A019163,2024JJ00,639.0
628,A052912,A019164,2021JJ00,320.0
629,A052912,A019164,2022JJ00,452.0
630,A052912,A019164,2023JJ00,486.0
631,A052912,A019164,2024JJ00,519.0
632,A052912,A019165,2021JJ00,111.0
633,A052912,A019165,2022JJ00,114.0
634,A052912,A019165,2023JJ00,117.0
635,A052912,A019165,2024JJ00,120.0
636,A052912,A044427,2021JJ00,129.0
637,A052912,A044427,2022JJ00,120.0
638,A052912,A044427,2023JJ00,174.0
639,A052912,A044427,2024JJ00,213.0
640,A052915,T001103,2021JJ00,13828.0
641,A052915,T001103,2022JJ00,14027.0
642,A052915,T001103,2023JJ00,15082.0
643,A052915,T001103,2024JJ00,16480.0
644,A052915,A019151,2021JJ00,389.0
645,A052915,A019151,2022JJ00,249.0
646,A052915,A019151,2023JJ00,230.0
647,A052915,A019151,2024JJ00,249.0
648,A052915,A019154,2021JJ00,11871.0
649,A052915,A019154,2022JJ00,12217.0
650,A052915,A019154,2023JJ00,13247.0
651,A052915,A019154,2024JJ00,14551.0
652,A052915,A019155,2021JJ00,
653,A052915,A019155,2022JJ00,
654,A052915,A019155,2023JJ00,
655,A052915,A019155,2024JJ00,
656,A052915,A019156,2021JJ00,302.0
657,A052915,A019156,2022JJ00,234.0
658,A052915,A019156,2023JJ00,232.0
659,A052915,A019156,2024JJ00,238.0
660,A052915,A019158,2021JJ00,0.0
