ID,ClimateSector,Emission,Periods,EmissionsOfGreenhouseGases_1
53,T001616,A044109,2023KW01,35.6
54,T001616,A044109,2023KW02,27.7
55,T001616,A044109,2023KW03,25.2
56,T001616,A044109,2023KW04,32.1
57,T001616,A044109,2023JJ00,120.6
58,T001616,A044109,2024KW01,33.9
59,T001616,A044109,2024KW02,26.3
60,T001616,A044109,2024KW03,25.2
61,T001616,A044109,2024KW04,33.9
62,T001616,A044109,2024JJ00,119.4
63,T001616,A044109,2025KW01,36.9
64,T001616,A044109,2025KW02,25.3
65,T001616,A044109,2025KW03,25.4
66,T001616,A050122,2019KW01,7.5
67,T001616,A050122,2019KW02,7.1
68,T001616,A050122,2019KW03,7.0
69,T001616,A050122,2019KW04,7.4
70,T001616,A050122,2019JJ00,29.1
71,T001616,A050122,2020KW01,7.3
72,T001616,A050122,2020KW02,6.9
73,T001616,A050122,2020KW03,6.8
74,T001616,A050122,2020KW04,7.2
75,T001616,A050122,2020JJ00,28.3
76,T001616,A050122,2021KW01,7.2
77,T001616,A050122,2021KW02,6.8
78,T001616,A050122,2021KW03,6.6
79,T001616,A050122,2021KW04,6.9
80,T001616,A050122,2021JJ00,27.5
81,T001616,A050122,2022KW01,6.8
82,T001616,A050122,2022KW02,6.5
83,T001616,A050122,2022KW03,6.4
84,T001616,A050122,2022KW04,6.6
85,T001616,A050122,2022JJ00,26.3
86,T001616,A050122,2023KW01,6.7
87,T001616,A050122,2023KW02,6.4
88,T001616,A050122,2023KW03,6.3
89,T001616,A050122,2023KW04,6.5
90,T001616,A050122,2023JJ00,25.9
91,T001616,A050122,2024KW01,6.5
92,T001616,A050122,2024KW02,6.2
93,T001616,A050122,2024KW03,6.2
94,T001616,A050122,2024KW04,6.4
95,T001616,A050122,2024JJ00,25.4
96,T001616,A050122,2025KW01,6.5
97,T001616,A050122,2025KW02,6.2
98,T001616,A050122,2025KW03,6.2
99,A050123,T001372,2019KW01,14.0
100,A050123,T001372,2019KW02,13.6
101,A050123,T001372,2019KW03,13.4
102,A050123,T001372,2019KW04,13.9
103,A050123,T001372,2019JJ00,54.9
104,A050123,T001372,2020KW01,13.9
105,A050123,T001372,2020KW02,12.7
106,A050123,T001372,2020KW03,13.2
107,A050123,T001372,2020KW04,13.8
108,A050123,T001372,2020JJ00,53.6
109,A050123,T001372,2021KW01,13.5
110,A050123,T001372,2021KW02,13.9
111,A050123,T001372,2021KW03,13.3
112,A050123,T001372,2021KW04,12.7
113,A050123,T001372,2021JJ00,53.4
114,A050123,T001372,2022KW01,13.0
115,A050123,T001372,2022KW02,12.4
116,A050123,T001372,2022KW03,11.8
117,A050123,T001372,2022KW04,12.0
118,A050123,T001372,2022JJ00,49.2
119,A050123,T001372,2023KW01,11.7
120,A050123,T001372,2023KW02,11.1
121,A050123,T001372,2023KW03,11.3
122,A050123,T001372,2023KW04,11.9
123,A050123,T001372,2023JJ00,46.1
124,A050123,T001372,2024KW01,12.0
125,A050123,T001372,2024KW02,11.8
126,A050123,T001372,2024KW03,11.6
127,A050123,T001372,2024KW04,12.0
128,A050123,T001372,2024JJ00,47.4
129,A050123,T001372,2025KW01,11.9
130,A050123,T001372,2025KW02,10.9
131,A050123,T001372,2025KW03,10.9
132,A050123,A044109,2019KW01,12.2
133,A050123,A044109,2019KW02,11.8
134,A050123,A044109,2019KW03,11.6
135,A050123,A044109,2019KW04,12.1
136,A050123,A044109,2019JJ00,47.7
137,A050123,A044109,2020KW01,12.2
138,A050123,A044109,2020KW02,11.1
139,A050123,A044109,2020KW03,11.6
140,A050123,A044109,2020KW04,12.1
141,A050123,A044109,2020JJ00,47.0
142,A050123,A044109,2021KW01,11.9
143,A050123,A044109,2021KW02,12.4
144,A050123,A044109,2021KW03,11.8
145,A050123,A044109,2021KW04,11.3
146,A050123,A044109,2021JJ00,47.4
147,A050123,A044109,2022KW01,11.6
148,A050123,A044109,2022KW02,11.1
149,A050123,A044109,2022KW03,10.5
150,A050123,A044109,2022KW04,10.7
151,A050123,A044109,2022JJ00,43.9
152,A050123,A044109,2023KW01,10.5
153,A050123,A044109,2023KW02,9.9
154,A050123,A044109,2023KW03,10.1
155,A050123,A044109,2023KW04,10.7
156,A050123,A044109,2023JJ00,41.2
157,A050123,A044109,2024KW01,10.7
158,A050123,A044109,2024KW02,10.7
159,A050123,A044109,2024KW03,10.4
160,A050123,A044109,2024KW04,10.8
161,A050123,A044109,2024JJ00,42.6
162,A050123,A044109,2025KW01,10.7
163,A050123,A044109,2025KW02,9.7
164,A050123,A044109,2025KW03,9.7
165,A050123,A050122,2019KW01,1.8
166,A050123,A050122,2019KW02,1.8
167,A050123,A050122,2019KW03,1.8
168,A050123,A050122,2019KW04,1.8
169,A050123,A050122,2019JJ00,7.2
170,A050123,A050122,2020KW01,1.7
171,A050123,A050122,2020KW02,1.6
172,A050123,A050122,2020KW03,1.6
173,A050123,A050122,2020KW04,1.6
174,A050123,A050122,2020JJ00,6.5
175,A050123,A050122,2021KW01,1.5
176,A050123,A050122,2021KW02,1.5
177,A050123,A050122,2021KW03,1.5
178,A050123,A050122,2021KW04,1.5
179,A050123,A050122,2021JJ00,6.0
180,A050123,A050122,2022KW01,1.4
181,A050123,A050122,2022KW02,1.3
182,A050123,A050122,2022KW03,1.3
183,A050123,A050122,2022KW04,1.3
184,A050123,A050122,2022JJ00,5.3
185,A050123,A050122,2023KW01,1.3
186,A050123,A050122,2023KW02,1.2
187,A050123,A050122,2023KW03,1.2
188,A050123,A050122,2023KW04,1.2
189,A050123,A050122,2023JJ00,4.9
190,A050123,A050122,2024KW01,1.2
191,A050123,A050122,2024KW02,1.2
192,A050123,A050122,2024KW03,1.2
193,A050123,A050122,2024KW04,1.2
194,A050123,A050122,2024JJ00,4.8
195,A050123,A050122,2025KW01,1.2
196,A050123,A050122,2025KW02,1.2
197,A050123,A050122,2025KW03,1.2
198,A050124,T001372,2019KW01,12.4
199,A050124,T001372,2019KW02,9.1
200,A050124,T001372,2019KW03,8.7
201,A050124,T001372,2019KW04,11.3
202,A050124,T001372,2019JJ00,41.6
203,A050124,T001372,2020KW01,8.5
204,A050124,T001372,2020KW02,6.5
205,A050124,T001372,2020KW03,8.8
206,A050124,T001372,2020KW04,8.7
207,A050124,T001372,2020JJ00,32.5
208,A050124,T001372,2021KW01,9.0
209,A050124,T001372,2021KW02,6.5
210,A050124,T001372,2021KW03,7.3
211,A050124,T001372,2021KW04,9.6
212,A050124,T001372,2021JJ00,32.4
213,A050124,T001372,2022KW01,7.8
214,A050124,T001372,2022KW02,6.6
215,A050124,T001372,2022KW03,8.3
216,A050124,T001372,2022KW04,7.9
217,A050124,T001372,2022JJ00,30.5
218,A050124,T001372,2023KW01,7.5
219,A050124,T001372,2023KW02,5.0
220,A050124,T001372,2023KW03,5.2
221,A050124,T001372,2023KW04,5.9
222,A050124,T001372,2023JJ00,23.6
223,A050124,T001372,2024KW01,6.2
224,A050124,T001372,2024KW02,4.3
225,A050124,T001372,2024KW03,4.9
226,A050124,T001372,2024KW04,7.7
227,A050124,T001372,2024JJ00,23.1
228,A050124,T001372,2025KW01,8.7
229,A050124,T001372,2025KW02,4.7
230,A050124,T001372,2025KW03,5.9
231,A050124,A044109,2019KW01,12.3
232,A050124,A044109,2019KW02,9.1
233,A050124,A044109,2019KW03,8.7
234,A050124,A044109,2019KW04,11.2
235,A050124,A044109,2019JJ00,41.3
236,A050124,A044109,2020KW01,8.4
237,A050124,A044109,2020KW02,6.5
238,A050124,A044109,2020KW03,8.7
239,A050124,A044109,2020KW04,8.7
240,A050124,A044109,2020JJ00,32.3
241,A050124,A044109,2021KW01,8.9
242,A050124,A044109,2021KW02,6.4
243,A050124,A044109,2021KW03,7.3
244,A050124,A044109,2021KW04,9.6
245,A050124,A044109,2021JJ00,32.2
246,A050124,A044109,2022KW01,7.7
247,A050124,A044109,2022KW02,6.5
248,A050124,A044109,2022KW03,8.2
249,A050124,A044109,2022KW04,7.9
250,A050124,A044109,2022JJ00,30.3
251,A050124,A044109,2023KW01,7.5
252,A050124,A044109,2023KW02,5.0
253,A050124,A044109,2023KW03,5.1
254,A050124,A044109,2023KW04,5.9
255,A050124,A044109,2023JJ00,23.4
256,A050124,A044109,2024KW01,6.2
257,A050124,A044109,2024KW02,4.2
258,A050124,A044109,2024KW03,4.9
259,A050124,A044109,2024KW04,7.7
260,A050124,A044109,2024JJ00,22.9
261,A050124,A044109,2025KW01,8.7
262,A050124,A044109,2025KW02,4.6
263,A050124,A044109,2025KW03,5.9
264,A050124,A050122,2019KW01,0.1
265,A050124,A050122,2019KW02,0.0
266,A050124,A050122,2019KW03,0.0
267,A050124,A050122,2019KW04,0.1
268,A050124,A050122,2019JJ00,0.2
269,A050124,A050122,2020KW01,0.1
270,A050124,A050122,2020KW02,0.1
271,A050124,A050122,2020KW03,0.1
272,A050124,A050122,2020KW04,0.1
273,A050124,A050122,2020JJ00,0.2
274,A050124,A050122,2021KW01,0.1
275,A050124,A050122,2021KW02,0.1
276,A050124,A050122,2021KW03,0.1
277,A050124,A050122,2021KW04,0.1
278,A050124,A050122,2021JJ00,0.3
279,A050124,A050122,2022KW01,0.1
280,A050124,A050122,2022KW02,0.1
281,A050124,A050122,2022KW03,0.1
282,A050124,A050122,2022KW04,0.1
283,A050124,A050122,2022JJ00,0.2
284,A050124,A050122,2023KW01,0.0
285,A050124,A050122,2023KW02,0.0
286,A050124,A050122,2023KW03,0.0
287,A050124,A050122,2023KW04,0.0
288,A050124,A050122,2023JJ00,0.2
289,A050124,A050122,2024KW01,0.0
290,A050124,A050122,2024KW02,0.0
291,A050124,A050122,2024KW03,0.0
292,A050124,A050122,2024KW04,0.0
293,A050124,A050122,2024JJ00,0.1
294,A050124,A050122,2025KW01,0.0
295,A050124,A050122,2025KW02,0.0
296,A050124,A050122,2025KW03,0.0
297,A050125,T001372,2019KW01,8.4
298,A050125,T001372,2019KW02,8.8
299,A050125,T001372,2019KW03,8.4
300,A050125,T001372,2019KW04,8.7
301,A050125,T001372,2019JJ00,34.4
302,A050125,T001372,2020KW01,7.8
303,A050125,T001372,2020KW02,7.0
304,A050125,T001372,2020KW03,7.7
305,A050125,T001372,2020KW04,7.5
306,A050125,T001372,2020JJ00,30.0
307,A050125,T001372,2021KW01,6.8
308,A050125,T001372,2021KW02,7.6
309,A050125,T001372,2021KW03,7.6
310,A050125,T001372,2021KW04,7.9
311,A050125,T001372,2021JJ00,29.9
312,A050125,T001372,2022KW01,6.9
313,A050125,T001372,2022KW02,7.7
314,A050125,T001372,2022KW03,7.3
315,A050125,T001372,2022KW04,7.8
316,A050125,T001372,2022JJ00,29.7
317,A050125,T001372,2023KW01,7.7
318,A050125,T001372,2023KW02,8.3
319,A050125,T001372,2023KW03,7.0
320,A050125,T001372,2023KW04,7.8
321,A050125,T001372,2023JJ00,30.8
322,A050125,T001372,2024KW01,7.3
323,A050125,T001372,2024KW02,7.3
324,A050125,T001372,2024KW03,7.1
325,A050125,T001372,2024KW04,7.5
326,A050125,T001372,2024JJ00,29.2
327,A050125,T001372,2025KW01,6.9
328,A050125,T001372,2025KW02,7.2
329,A050125,T001372,2025KW03,6.8
330,A050125,A044109,2019KW01,8.2
331,A050125,A044109,2019KW02,8.6
332,A050125,A044109,2019KW03,8.2
333,A050125,A044109,2019KW04,8.5
334,A050125,A044109,2019JJ00,33.6
335,A050125,A044109,2020KW01,7.6
336,A050125,A044109,2020KW02,6.9
337,A050125,A044109,2020KW03,7.6
338,A050125,A044109,2020KW04,7.3
339,A050125,A044109,2020JJ00,29.3
340,A050125,A044109,2021KW01,6.6
341,A050125,A044109,2021KW02,7.4
342,A050125,A044109,2021KW03,7.4
343,A050125,A044109,2021KW04,7.7
344,A050125,A044109,2021JJ00,29.2
345,A050125,A044109,2022KW01,6.7
346,A050125,A044109,2022KW02,7.5
347,A050125,A044109,2022KW03,7.1
348,A050125,A044109,2022KW04,7.6
349,A050125,A044109,2022JJ00,29.0
350,A050125,A044109,2023KW01,7.5
351,A050125,A044109,2023KW02,8.1
352,A050125,A044109,2023KW03,6.8
353,A050125,A044109,2023KW04,7.6
354,A050125,A044109,2023JJ00,30.1
355,A050125,A044109,2024KW01,7.2
356,A050125,A044109,2024KW02,7.2
357,A050125,A044109,2024KW03,6.9
358,A050125,A044109,2024KW04,7.3
359,A050125,A044109,2024JJ00,28.5
360,A050125,A044109,2025KW01,6.7
361,A050125,A044109,2025KW02,7.0
362,A050125,A044109,2025KW03,6.6
363,A050125,A050122,2019KW01,0.2
364,A050125,A050122,2019KW02,0.2
365,A050125,A050122,2019KW03,0.2
366,A050125,A050122,2019KW04,0.2
367,A050125,A050122,2019JJ00,0.8
368,A050125,A050122,2020KW01,0.2
369,A050125,A050122,2020KW02,0.2
370,A050125,A050122,2020KW03,0.2
371,A050125,A050122,2020KW04,0.2
372,A050125,A050122,2020JJ00,0.7
373,A050125,A050122,2021KW01,0.2
374,A050125,A050122,2021KW02,0.2
375,A050125,A050122,2021KW03,0.2
376,A050125,A050122,2021KW04,0.2
377,A050125,A050122,2021JJ00,0.7
378,A050125,A050122,2022KW01,0.2
379,A050125,A050122,2022KW02,0.2
380,A050125,A050122,2022KW03,0.2
381,A050125,A050122,2022KW04,0.2
382,A050125,A050122,2022JJ00,0.7
383,A050125,A050122,2023KW01,0.2
384,A050125,A050122,2023KW02,0.2
385,A050125,A050122,2023KW03,0.2
386,A050125,A050122,2023KW04,0.2
387,A050125,A050122,2023JJ00,0.7
388,A050125,A050122,2024KW01,0.2
389,A050125,A050122,2024KW02,0.2
390,A050125,A050122,2024KW03,0.2
391,A050125,A050122,2024KW04,0.2
392,A050125,A050122,2024JJ00,0.7
393,A050125,A050122,2025KW01,0.2
394,A050125,A050122,2025KW02,0.2
395,A050125,A050122,2025KW03,0.2
396,A050126,T001372,2019KW01,7.9
397,A050126,T001372,2019KW02,6.4
398,A050126,T001372,2019KW03,6.0
399,A050126,T001372,2019KW04,7.3
400,A050126,T001372,2019JJ00,27.5
401,A050126,T001372,2020KW01,7.7
402,A050126,T001372,2020KW02,6.2
403,A050126,T001372,2020KW03,6.0
404,A050126,T001372,2020KW04,7.2
405,A050126,T001372,2020JJ00,27.1
406,A050126,T001372,2021KW01,7.8
407,A050126,T001372,2021KW02,6.5
408,A050126,T001372,2021KW03,6.0
409,A050126,T001372,2021KW04,6.8
410,A050126,T001372,2021JJ00,27.0
411,A050126,T001372,2022KW01,7.0
412,A050126,T001372,2022KW02,5.9
413,A050126,T001372,2022KW03,5.4
414,A050126,T001372,2022KW04,6.1
415,A050126,T001372,2022JJ00,24.4
416,A050126,T001372,2023KW01,6.8
417,A050126,T001372,2023KW02,6.0
418,A050126,T001372,2023KW03,5.8
419,A050126,T001372,2023KW04,6.3
420,A050126,T001372,2023JJ00,24.9
421,A050126,T001372,2024KW01,6.9
422,A050126,T001372,2024KW02,5.9
423,A050126,T001372,2024KW03,5.6
424,A050126,T001372,2024KW04,6.4
425,A050126,T001372,2024JJ00,24.8
426,A050126,T001372,2025KW01,7.0
427,A050126,T001372,2025KW02,5.8
428,A050126,T001372,2025KW03,5.6
429,A050126,A044109,2019KW01,2.8
430,A050126,A044109,2019KW02,1.5
431,A050126,A044109,2019KW03,1.2
432,A050126,A044109,2019KW04,2.3
433,A050126,A044109,2019JJ00,7.8
434,A050126,A044109,2020KW01,2.6
435,A050126,A044109,2020KW02,1.4
436,A050126,A044109,2020KW03,1.2
437,A050126,A044109,2020KW04,2.3
438,A050126,A044109,2020JJ00,7.5
439,A050126,A044109,2021KW01,2.8
440,A050126,A044109,2021KW02,1.7
441,A050126,A044109,2021KW03,1.3
442,A050126,A044109,2021KW04,1.9
443,A050126,A044109,2021JJ00,7.7
444,A050126,A044109,2022KW01,2.1
445,A050126,A044109,2022KW02,1.2
446,A050126,A044109,2022KW03,0.8
447,A050126,A044109,2022KW04,1.4
448,A050126,A044109,2022JJ00,5.5
449,A050126,A044109,2023KW01,2.0
450,A050126,A044109,2023KW02,1.3
451,A050126,A044109,2023KW03,1.1
452,A050126,A044109,2023KW04,1.6
453,A050126,A044109,2023JJ00,6.0
454,A050126,A044109,2024KW01,2.1
455,A050126,A044109,2024KW02,1.3
456,A050126,A044109,2024KW03,1.0
457,A050126,A044109,2024KW04,1.7
458,A050126,A044109,2024JJ00,6.2
459,A050126,A044109,2025KW01,2.3
460,A050126,A044109,2025KW02,1.2
461,A050126,A044109,2025KW03,1.1
462,A050126,A050122,2019KW01,5.1
463,A050126,A050122,2019KW02,4.9
464,A050126,A050122,2019KW03,4.8
465,A050126,A050122,2019KW04,5.0
466,A050126,A050122,2019JJ00,19.7
467,A050126,A050122,2020KW01,5.0
468,A050126,A050122,2020KW02,4.8
469,A050126,A050122,2020KW03,4.8
470,A050126,A050122,2020KW04,5.0
471,A050126,A050122,2020JJ00,19.6
472,A050126,A050122,2021KW01,5.0
473,A050126,A050122,2021KW02,4.8
474,A050126,A050122,2021KW03,4.7
475,A050126,A050122,2021KW04,4.8
476,A050126,A050122,2021JJ00,19.3
477,A050126,A050122,2022KW01,4.9
478,A050126,A050122,2022KW02,4.7
479,A050126,A050122,2022KW03,4.6
480,A050126,A050122,2022KW04,4.7
481,A050126,A050122,2022JJ00,18.9
482,A050126,A050122,2023KW01,4.8
483,A050126,A050122,2023KW02,4.7
484,A050126,A050122,2023KW03,4.7
485,A050126,A050122,2023KW04,4.8
486,A050126,A050122,2023JJ00,18.9
487,A050126,A050122,2024KW01,4.7
488,A050126,A050122,2024KW02,4.6
489,A050126,A050122,2024KW03,4.6
490,A050126,A050122,2024KW04,4.7
491,A050126,A050122,2024JJ00,18.6
492,A050126,A050122,2025KW01,4.8
493,A050126,A050122,2025KW02,4.6
494,A050126,A050122,2025KW03,4.5
495,A050127,T001372,2019KW01,10.5
496,A050127,T001372,2019KW02,2.9
497,A050127,T001372,2019KW03,1.3
498,A050127,T001372,2019KW04,8.5
499,A050127,T001372,2019JJ00,23.3
500,A050127,T001372,2020KW01,9.8
501,A050127,T001372,2020KW02,2.6
502,A050127,T001372,2020KW03,1.4
503,A050127,T001372,2020KW04,8.0
504,A050127,T001372,2020JJ00,21.8
505,A050127,T001372,2021KW01,11.4
506,A050127,T001372,2021KW02,4.1
507,A050127,T001372,2021KW03,1.1
508,A050127,T001372,2021KW04,7.9
509,A050127,T001372,2021JJ00,24.4
510,A050127,T001372,2022KW01,8.9
511,A050127,T001372,2022KW02,3.0
512,A050127,T001372,2022KW03,1.6
513,A050127,T001372,2022KW04,6.3
514,A050127,T001372,2022JJ00,19.8
515,A050127,T001372,2023KW01,7.5
516,A050127,T001372,2023KW02,2.6
517,A050127,T001372,2023KW03,1.3
518,A050127,T001372,2023KW04,5.8
519,A050127,T001372,2023JJ00,17.2
520,A050127,T001372,2024KW01,7.3
521,A050127,T001372,2024KW02,2.4
522,A050127,T001372,2024KW03,1.5
523,A050127,T001372,2024KW04,6.0
524,A050127,T001372,2024JJ00,17.2
525,A050127,T001372,2025KW01,7.9
526,A050127,T001372,2025KW02,2.0
527,A050127,T001372,2025KW03,1.4
528,A050127,A044109,2019KW01,10.3
529,A050127,A044109,2019KW02,2.9
530,A050127,A044109,2019KW03,1.2
531,A050127,A044109,2019KW04,8.3
532,A050127,A044109,2019JJ00,22.7
533,A050127,A044109,2020KW01,9.6
534,A050127,A044109,2020KW02,2.6
535,A050127,A044109,2020KW03,1.3
536,A050127,A044109,2020KW04,7.8
537,A050127,A044109,2020JJ00,21.2
538,A050127,A044109,2021KW01,11.1
539,A050127,A044109,2021KW02,4.0
540,A050127,A044109,2021KW03,1.1
541,A050127,A044109,2021KW04,7.7
542,A050127,A044109,2021JJ00,23.9
543,A050127,A044109,2022KW01,8.7
544,A050127,A044109,2022KW02,2.9
545,A050127,A044109,2022KW03,1.5
546,A050127,A044109,2022KW04,6.1
547,A050127,A044109,2022JJ00,19.3
548,A050127,A044109,2023KW01,7.3
549,A050127,A044109,2023KW02,2.6
550,A050127,A044109,2023KW03,1.2
551,A050127,A044109,2023KW04,5.6
552,A050127,A044109,2023JJ00,16.8
553,A050127,A044109,2024KW01,7.1
554,A050127,A044109,2024KW02,2.3
555,A050127,A044109,2024KW03,1.4
556,A050127,A044109,2024KW04,5.8
557,A050127,A044109,2024JJ00,16.7
558,A050127,A044109,2025KW01,7.7
559,A050127,A044109,2025KW02,2.0
560,A050127,A044109,2025KW03,1.3
561,A050127,A050122,2019KW01,0.2
562,A050127,A050122,2019KW02,0.1
563,A050127,A050122,2019KW03,0.0
564,A050127,A050122,2019KW04,0.2
565,A050127,A050122,2019JJ00,0.6
566,A050127,A050122,2020KW01,0.2
567,A050127,A050122,2020KW02,0.1
568,A050127,A050122,2020KW03,0.0
569,A050127,A050122,2020KW04,0.2
570,A050127,A050122,2020JJ00,0.5
571,A050127,A050122,2021KW01,0.2
572,A050127,A050122,2021KW02,0.1
573,A050127,A050122,2021KW03,0.0
574,A050127,A050122,2021KW04,0.2
575,A050127,A050122,2021JJ00,0.6
576,A050127,A050122,2022KW01,0.2
577,A050127,A050122,2022KW02,0.1
578,A050127,A050122,2022KW03,0.1
579,A050127,A050122,2022KW04,0.2
580,A050127,A050122,2022JJ00,0.5
581,A050127,A050122,2023KW01,0.2
582,A050127,A050122,2023KW02,0.1
583,A050127,A050122,2023KW03,0.0
584,A050127,A050122,2023KW04,0.1
585,A050127,A050122,2023JJ00,0.5
586,A050127,A050122,2024KW01,0.2
587,A050127,A050122,2024KW02,0.1
588,A050127,A050122,2024KW03,0.1
589,A050127,A050122,2024KW04,0.2
590,A050127,A050122,2024JJ00,0.5
591,A050127,A050122,2025KW01,0.2
592,A050127,A050122,2025KW02,0.1
593,A050127,A050122,2025KW03,0.0
594,A052138,T001372,2019KW01,0.9
595,A052138,T001372,2019KW02,0.9
596,A052138,T001372,2019KW03,0.9
597,A052138,T001372,2019KW04,0.9
598,A052138,T001372,2019JJ00,3.7
599,A052138,T001372,2020KW01,0.8
600,A052138,T001372,2020KW02,0.8
601,A052138,T001372,2020KW03,0.8
602,A052138,T001372,2020KW04,0.8
603,A052138,T001372,2020JJ00,3.3
604,A052138,T001372,2021KW01,0.8
605,A052138,T001372,2021KW02,0.8
606,A052138,T001372,2021KW03,0.8
607,A052138,T001372,2021KW04,0.8
608,A052138,T001372,2021JJ00,3.4
609,A052138,T001372,2022KW01,0.9
610,A052138,T001372,2022KW02,0.9
611,A052138,T001372,2022KW03,0.9
612,A052138,T001372,2022KW04,0.9
613,A052138,T001372,2022JJ00,3.5
614,A052138,T001372,2023KW01,1.0
615,A052138,T001372,2023KW02,1.0
616,A052138,T001372,2023KW03,1.0
617,A052138,T001372,2023KW04,1.0
618,A052138,T001372,2023JJ00,3.8
619,A052138,T001372,2024KW01,0.8
620,A052138,T001372,2024KW02,0.8
621,A052138,T001372,2024KW03,0.8
622,A052138,T001372,2024KW04,0.8
623,A052138,T001372,2024JJ00,3.1
624,A052138,T001372,2025KW01,1.0
625,A052138,T001372,2025KW02,1.0
626,A052138,T001372,2025KW03,1.0
627,A052138,A044109,2019KW01,0.8
628,A052138,A044109,2019KW02,0.8
629,A052138,A044109,2019KW03,0.8
630,A052138,A044109,2019KW04,0.8
631,A052138,A044109,2019JJ00,3.0
632,A052138,A044109,2020KW01,0.7
633,A052138,A044109,2020KW02,0.7
634,A052138,A044109,2020KW03,0.7
635,A052138,A044109,2020KW04,0.7
636,A052138,A044109,2020JJ00,2.6
637,A052138,A044109,2021KW01,0.7
638,A052138,A044109,2021KW02,0.7
639,A052138,A044109,2021KW03,0.7
640,A052138,A044109,2021KW04,0.7
641,A052138,A044109,2021JJ00,2.7
642,A052138,A044109,2022KW01,0.7
643,A052138,A044109,2022KW02,0.7
644,A052138,A044109,2022KW03,0.7
645,A052138,A044109,2022KW04,0.7
646,A052138,A044109,2022JJ00,2.8
647,A052138,A044109,2023KW01,0.8
648,A052138,A044109,2023KW02,0.8
649,A052138,A044109,2023KW03,0.8
650,A052138,A044109,2023KW04,0.8
651,A052138,A044109,2023JJ00,3.1
652,A052138,A044109,2024KW01,0.6
653,A052138,A044109,2024KW02,0.6
654,A052138,A044109,2024KW03,0.6
655,A052138,A044109,2024KW04,0.6
656,A052138,A044109,2024JJ00,2.4
657,A052138,A044109,2025KW01,0.8
658,A052138,A044109,2025KW02,0.8
659,A052138,A044109,2025KW03,0.8
660,A052138,A050122,2019KW01,0.2
661,A052138,A050122,2019KW02,0.2
662,A052138,A050122,2019KW03,0.2
663,A052138,A050122,2019KW04,0.2
664,A052138,A050122,2019JJ00,0.7
665,A052138,A050122,2020KW01,0.2
666,A052138,A050122,2020KW02,0.2
667,A052138,A050122,2020KW03,0.2
668,A052138,A050122,2020KW04,0.2
669,A052138,A050122,2020JJ00,0.7
670,A052138,A050122,2021KW01,0.2
671,A052138,A050122,2021KW02,0.2
672,A052138,A050122,2021KW03,0.2
673,A052138,A050122,2021KW04,0.2
674,A052138,A050122,2021JJ00,0.7
675,A052138,A050122,2022KW01,0.2
676,A052138,A050122,2022KW02,0.2
677,A052138,A050122,2022KW03,0.2
678,A052138,A050122,2022KW04,0.2
679,A052138,A050122,2022JJ00,0.7
680,A052138,A050122,2023KW01,0.2
681,A052138,A050122,2023KW02,0.2
682,A052138,A050122,2023KW03,0.2
683,A052138,A050122,2023KW04,0.2
684,A052138,A050122,2023JJ00,0.7
685,A052138,A050122,2024KW01,0.2
686,A052138,A050122,2024KW02,0.2
687,A052138,A050122,2024KW03,0.2
688,A052138,A050122,2024KW04,0.2
689,A052138,A050122,2024JJ00,0.7
