ID,Perioden,TotaalRijksbelastingen_1,TotaalBelastingOpInkomenEnVermogen_2,Inkomstenbelasting_3,Loonbelasting_4,Dividendbelasting_5,KansspelbelastingLoterijwinsten_6,Vermogensbelasting_7,Vennootschapsbelasting_8,MotorrijtuigenbelastingPrive_9,OverigeBelastingontvangsten_10,TotaalBelastingOpProductieEnInvoer_11,MotorrijtuigenbelastingZakelijk_12,KansspelbelastingOpbrengstCasinoS_13,Omzetbelasting_14,PersonenautoSEnMotorrijwielen_15,ZwareMotorrijtuigen_16,AccijnsVanLichteOlie_17,AccijnsVanMineraleOlien_18,Wijnaccijns_19,AccijnsOpTussenproducten_20,Alcoholaccijns_21,Bieraccijns_22,VerbruiksbelastingAlcoholvrijeDranken_23,Tabaksaccijns_24,BelastingenVanRechtsverkeer_25,BelastingenOpMilieugrondslag_26,Bestemmingsheffingen_27,Loonkostenheffingen_28,Successierechten_29
13,2001KW04,29670.0,14843.0,427.0,7553.0,847.0,19.0,12.0,5566.0,421.0,2.0,     14244,101.0,21.0,9090.0,684.0,34.0,839.0,567.0,40.0,9.0,106.0,76.0,56.0,478.0,1174.0,770.0,54.0,148.0,579.0
14,2001JJ00,100801.0,48333.0,-2565.0,27172.0,4308.0,71.0,91.0,17580.0,1631.0,45.0,     51161,390.0,80.0,30900.0,2939.0,107.0,3148.0,2076.0,140.0,32.0,413.0,287.0,228.0,1817.0,4576.0,3352.0,159.0,518.0,1307.0
15,2002KW01,23124.0,10329.0,213.0,6288.0,452.0,25.0,3.0,2902.0,429.0,18.0,     12481,103.0,28.0,7243.0,856.0,38.0,830.0,523.0,37.0,9.0,119.0,65.0,60.0,299.0,1182.0,941.0,30.0,118.0,315.0
16,2002KW02,27695.0,14026.0,-583.0,8518.0,1634.0,13.0,12.0,4019.0,373.0,40.0,     13179,89.0,15.0,7868.0,766.0,19.0,889.0,614.0,37.0,8.0,97.0,67.0,40.0,509.0,1148.0,825.0,32.0,155.0,490.0
17,2002KW03,23859.0,11065.0,62.0,6538.0,722.0,21.0,14.0,3359.0,337.0,11.0,     12364,81.0,25.0,7669.0,676.0,14.0,841.0,557.0,43.0,8.0,79.0,97.0,31.0,450.0,1079.0,556.0,46.0,114.0,431.0
18,2002KW04,29756.0,14765.0,233.0,8234.0,681.0,16.0,20.0,5114.0,461.0,5.0,     14532,110.0,19.0,9553.0,443.0,36.0,860.0,623.0,58.0,11.0,178.0,77.0,30.0,460.0,1232.0,631.0,55.0,155.0,459.0
19,2002JJ00,104434.0,50185.0,-75.0,29577.0,3490.0,76.0,49.0,15394.0,1600.0,74.0,     52556,383.0,86.0,32333.0,2741.0,107.0,3420.0,2317.0,175.0,37.0,472.0,306.0,161.0,1719.0,4641.0,2953.0,163.0,541.0,1695.0
20,2003KW01,23336.0,10205.0,104.0,6262.0,396.0,17.0,10.0,3031.0,393.0,-9.0,     12821,94.0,26.0,7740.0,893.0,33.0,864.0,573.0,38.0,9.0,70.0,50.0,26.0,408.0,1120.0,760.0,30.0,89.0,310.0
21,2003KW02,25830.0,12597.0,-876.0,8323.0,1496.0,18.0,8.0,3174.0,447.0,7.0,     12851,107.0,27.0,7937.0,757.0,19.0,797.0,571.0,50.0,11.0,81.0,109.0,44.0,468.0,1073.0,682.0,31.0,90.0,382.0
22,2003KW03,23367.0,10065.0,-313.0,6252.0,517.0,18.0,8.0,3166.0,403.0,14.0,     12937,96.0,28.0,7789.0,757.0,15.0,892.0,621.0,40.0,8.0,87.0,97.0,38.0,469.0,1078.0,799.0,44.0,78.0,365.0
23,2003KW04,30418.0,14642.0,1462.0,7952.0,720.0,19.0,12.0,4021.0,440.0,16.0,     15372,105.0,29.0,10173.0,468.0,37.0,952.0,682.0,60.0,13.0,120.0,44.0,37.0,406.0,1186.0,839.0,53.0,168.0,404.0
24,2003JJ00,102951.0,47510.0,378.0,28790.0,3128.0,73.0,38.0,13392.0,1683.0,28.0,     53981,403.0,109.0,33639.0,2874.0,104.0,3506.0,2446.0,188.0,40.0,357.0,300.0,146.0,1750.0,4456.0,3081.0,158.0,425.0,1460.0
25,2004KW01,23328.0,9854.0,58.0,6380.0,233.0,15.0,14.0,2598.0,558.0,-2.0,     13189,133.0,24.0,7480.0,985.0,36.0,941.0,606.0,37.0,9.0,83.0,91.0,33.0,551.0,1233.0,836.0,28.0,83.0,285.0
26,2004KW02,27897.0,13317.0,-521.0,8224.0,1594.0,10.0,7.0,3647.0,369.0,-13.0,     14197,88.0,17.0,8935.0,760.0,19.0,986.0,654.0,48.0,10.0,98.0,74.0,38.0,377.0,1151.0,824.0,29.0,89.0,383.0
27,2004KW03,24573.0,10899.0,48.0,6109.0,785.0,17.0,5.0,3544.0,393.0,-2.0,     13333,94.0,28.0,8102.0,740.0,18.0,953.0,627.0,48.0,9.0,88.0,100.0,41.0,479.0,1113.0,779.0,41.0,74.0,341.0
28,2004KW04,30198.0,13568.0,524.0,6534.0,776.0,19.0,17.0,5206.0,495.0,-2.0,     16127,118.0,32.0,10582.0,518.0,36.0,1021.0,671.0,60.0,12.0,109.0,82.0,36.0,536.0,1266.0,839.0,51.0,159.0,503.0
29,2004JJ00,105994.0,47638.0,109.0,27246.0,3388.0,61.0,44.0,14994.0,1815.0,-19.0,     56845,434.0,101.0,35098.0,3003.0,110.0,3901.0,2557.0,193.0,40.0,378.0,346.0,148.0,1943.0,4762.0,3278.0,149.0,405.0,1512.0
30,2005KW01,25407.0,11712.0,46.0,6355.0,597.0,19.0,6.0,4222.0,453.0,14.0,     13354,108.0,22.0,7431.0,1051.0,36.0,964.0,628.0,43.0,9.0,102.0,66.0,32.0,488.0,1252.0,975.0,29.0,116.0,342.0
31,2005KW02,29101.0,14025.0,-51.0,8484.0,1811.0,16.0,5.0,3187.0,573.0,-1.0,     14626,137.0,19.0,8719.0,871.0,20.0,992.0,696.0,49.0,9.0,88.0,87.0,42.0,383.0,1257.0,1080.0,47.0,131.0,450.0
32,2005KW03,27209.0,12122.0,-58.0,6266.0,1280.0,21.0,7.0,4192.0,406.0,7.0,     14606,97.0,24.0,8825.0,794.0,18.0,960.0,645.0,48.0,8.0,86.0,84.0,40.0,547.0,1294.0,979.0,41.0,116.0,481.0
33,2005KW04,34267.0,16835.0,3714.0,6469.0,574.0,29.0,42.0,5467.0,515.0,26.0,     16996,123.0,34.0,11242.0,432.0,36.0,919.0,617.0,60.0,11.0,97.0,60.0,36.0,582.0,1405.0,1094.0,42.0,207.0,436.0
34,2005JJ00,115984.0,54693.0,3651.0,27573.0,4262.0,85.0,60.0,17069.0,1946.0,47.0,     59582,466.0,99.0,36216.0,3148.0,111.0,3835.0,2585.0,200.0,37.0,373.0,297.0,149.0,2000.0,5209.0,4128.0,159.0,570.0,1709.0
35,2006KW01,28412.0,12653.0,52.0,7183.0,648.0,20.0,-25.0,4095.0,693.0,-13.0,     15391,126.0,21.0,8583.0,1196.0,19.0,1050.0,743.0,43.0,9.0,79.0,88.0,31.0,677.0,1353.0,1163.0,57.0,153.0,368.0
36,2006KW02,31971.0,14403.0,-420.0,9473.0,1513.0,27.0,5.0,3414.0,377.0,14.0,     17141,110.0,30.0,10998.0,934.0,21.0,946.0,682.0,54.0,9.0,87.0,88.0,44.0,415.0,1364.0,1188.0,38.0,133.0,427.0
37,2006KW03,27764.0,13179.0,-89.0,7122.0,1306.0,27.0,6.0,4262.0,543.0,2.0,     14267,155.0,30.0,8473.0,703.0,27.0,992.0,698.0,52.0,8.0,69.0,82.0,43.0,499.0,1297.0,1004.0,17.0,118.0,318.0
38,2006KW04,36952.0,19253.0,3974.0,7868.0,759.0,19.0,8.0,6136.0,530.0,-41.0,     17002,122.0,22.0,10911.0,619.0,27.0,994.0,713.0,58.0,9.0,86.0,77.0,34.0,553.0,1418.0,1190.0,62.0,107.0,697.0
39,2006JJ00,125099.0,59488.0,3517.0,31646.0,4226.0,93.0,-6.0,17907.0,2143.0,-38.0,     63801,513.0,103.0,38965.0,3452.0,94.0,3982.0,2836.0,207.0,35.0,321.0,335.0,152.0,2144.0,5432.0,4545.0,174.0,511.0,1810.0
40,2007KW01,29871.0,13304.0,-135.0,8360.0,482.0,34.0,6.0,4058.0,521.0,-22.0,     16197,125.0,27.0,9639.0,1087.0,31.0,995.0,727.0,49.0,10.0,82.0,70.0,36.0,527.0,1528.0,1123.0,44.0,97.0,373.0
41,2007KW02,33488.0,17054.0,-19.0,10761.0,1381.0,33.0,7.0,4296.0,587.0,8.0,     15979,140.0,26.0,9957.0,980.0,45.0,1034.0,739.0,53.0,7.0,74.0,88.0,42.0,555.0,1296.0,794.0,39.0,110.0,457.0
42,2007KW03,29541.0,13924.0,342.0,8077.0,1148.0,31.0,5.0,3667.0,560.0,94.0,     15235,134.0,24.0,9429.0,870.0,22.0,902.0,689.0,53.0,8.0,78.0,77.0,39.0,530.0,1484.0,765.0,44.0,87.0,385.0
43,2007KW04,40556.0,20598.0,2106.0,10531.0,739.0,41.0,12.0,6530.0,570.0,69.0,     19296,130.0,31.0,12873.0,710.0,33.0,1079.0,810.0,67.0,10.0,101.0,75.0,38.0,524.0,1467.0,1107.0,38.0,203.0,662.0
44,2007JJ00,133466.0,64880.0,2294.0,37729.0,3750.0,138.0,30.0,18552.0,2238.0,149.0,     66709,529.0,109.0,41898.0,3647.0,131.0,4010.0,2965.0,222.0,35.0,335.0,310.0,155.0,2136.0,5775.0,3789.0,166.0,497.0,1877.0
45,2008KW01,30830.0,14940.0,-265.0,9296.0,1206.0,24.0,4.0,3931.0,683.0,61.0,     15669,161.0,28.0,8891.0,1087.0,41.0,1034.0,812.0,54.0,8.0,82.0,77.0,36.0,562.0,1398.0,1253.0,42.0,103.0,221.0
46,2008KW02,34892.0,17191.0,-1542.0,11948.0,1593.0,23.0,2.0,4521.0,589.0,57.0,     17220,140.0,25.0,11024.0,829.0,27.0,994.0,769.0,62.0,8.0,71.0,87.0,43.0,591.0,1341.0,1066.0,33.0,110.0,481.0
47,2008KW03,31771.0,14968.0,300.0,9055.0,799.0,49.0,4.0,4160.0,603.0,-2.0,     16311,143.0,53.0,10111.0,772.0,21.0,1006.0,796.0,62.0,8.0,82.0,79.0,42.0,608.0,1310.0,1077.0,41.0,100.0,492.0
48,2008KW04,38088.0,18915.0,1364.0,10337.0,354.0,63.0,11.0,6202.0,605.0,-21.0,     18572,143.0,68.0,12292.0,547.0,27.0,1016.0,799.0,73.0,10.0,94.0,74.0,37.0,600.0,1141.0,1389.0,48.0,214.0,601.0
49,2008JJ00,135578.0,66013.0,-142.0,40636.0,3951.0,159.0,20.0,18814.0,2480.0,95.0,     67770,587.0,174.0,42318.0,3236.0,115.0,4049.0,3176.0,251.0,34.0,328.0,318.0,158.0,2360.0,5190.0,4785.0,164.0,527.0,1795.0
50,2009KW01,30608.0,15426.0,-42.0,10474.0,408.0,54.0,2.0,3827.0,682.0,21.0,     14833,163.0,49.0,8468.0,696.0,40.0,1050.0,830.0,60.0,9.0,83.0,84.0,33.0,568.0,983.0,1578.0,42.0,96.0,349.0
51,2009KW02,33882.0,17554.0,488.0,12844.0,858.0,60.0,2.0,2592.0,704.0,5.0,     15884,168.0,54.0,10323.0,555.0,25.0,994.0,867.0,64.0,9.0,73.0,86.0,42.0,618.0,847.0,1017.0,41.0,102.0,444.0
52,2009KW03,28643.0,13258.0,91.0,9928.0,512.0,51.0,3.0,2000.0,660.0,13.0,     14876,158.0,46.0,9657.0,543.0,20.0,934.0,786.0,60.0,7.0,70.0,105.0,44.0,569.0,851.0,898.0,38.0,91.0,509.0
53,2009KW04,35925.0,18058.0,-2.0,13809.0,306.0,70.0,17.0,3186.0,664.0,8.0,     17356,158.0,62.0,11409.0,351.0,32.0,1050.0,887.0,70.0,7.0,79.0,114.0,40.0,564.0,919.0,1378.0,41.0,195.0,511.0
54,2009JJ00,129055.0,64294.0,535.0,47056.0,2084.0,233.0,25.0,11604.0,2710.0,47.0,     62948,648.0,211.0,39857.0,2145.0,116.0,4028.0,3369.0,253.0,32.0,306.0,390.0,158.0,2318.0,3600.0,4872.0,162.0,483.0,1813.0
55,2010KW01,31465.0,15320.0,-104.0,10121.0,638.0,51.0,7.0,3860.0,739.0,8.0,     15788,177.0,51.0,9566.0,627.0,43.0,980.0,830.0,65.0,9.0,96.0,86.0,35.0,572.0,985.0,1525.0,41.0,100.0,357.0
56,2010KW02,35326.0,18543.0,607.0,12986.0,995.0,55.0,7.0,3196.0,735.0,-38.0,     16385,176.0,55.0,10581.0,546.0,44.0,1078.0,913.0,72.0,7.0,77.0,108.0,45.0,644.0,879.0,983.0,35.0,142.0,398.0
57,2010KW03,29006.0,13384.0,177.0,9895.0,460.0,51.0,5.0,2016.0,734.0,46.0,     15190,175.0,51.0,9774.0,528.0,24.0,1004.0,894.0,58.0,6.0,69.0,103.0,39.0,605.0,845.0,900.0,35.0,80.0,432.0
58,2010KW04,38687.0,19296.0,1397.0,13095.0,307.0,64.0,5.0,3710.0,721.0,-3.0,     18857,172.0,64.0,12537.0,394.0,44.0,1025.0,937.0,79.0,9.0,88.0,92.0,38.0,617.0,937.0,1500.0,54.0,270.0,534.0
59,2010JJ00,134484.0,66543.0,2077.0,46097.0,2400.0,221.0,24.0,12782.0,2929.0,13.0,     66220,700.0,221.0,42458.0,2095.0,155.0,4087.0,3574.0,274.0,31.0,330.0,389.0,157.0,2438.0,3646.0,4908.0,165.0,592.0,1721.0
60,2011KW01,32242.0,16186.0,179.0,10487.0,436.0,67.0,-4.0,4256.0,730.0,36.0,     15709,175.0,67.0,9349.0,730.0,35.0,1002.0,914.0,62.0,7.0,80.0,85.0,35.0,574.0,1029.0,1419.0,36.0,110.0,347.0
61,2011KW02,35237.0,19292.0,1293.0,13557.0,975.0,52.0,-2.0,2684.0,732.0,1.0,     15517,175.0,52.0,9790.0,645.0,29.0,1014.0,945.0,69.0,6.0,75.0,106.0,48.0,644.0,876.0,913.0,33.0,97.0,428.0
