ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
178,A028972,2003MM10,178.0,35595.0
179,A028972,2003MM11,160.3,32090.0
180,A028972,2003MM12,178.9,34473.0
181,A028972,2003JJ00,1851.5,365190.0
182,A028972,2004MM01,158.6,32234.0
183,A028972,2004MM02,145.9,29375.0
184,A028972,2004MM03,174.0,33888.0
185,A028972,2004MM04,153.5,28451.0
186,A028972,2004MM05,146.0,27891.0
187,A028972,2004MM06,159.8,30890.0
188,A028972,2004MM07,145.5,27908.0
189,A028972,2004MM08,158.8,30933.0
190,A028972,2004MM09,178.3,34599.0
191,A028972,2004MM10,171.0,33645.0
192,A028972,2004MM11,185.8,36433.0
193,A028972,2004MM12,183.9,35218.0
194,A028972,2004JJ00,1961.1,381465.0
195,A028972,2005MM01,160.7,33600.0
196,A028972,2005MM02,142.1,28817.0
197,A028972,2005MM03,161.3,32486.0
198,A028972,2005MM04,147.9,30252.0
199,A028972,2005MM05,161.7,31726.0
200,A028972,2005MM06,155.3,31038.0
201,A028972,2005MM07,136.2,26979.0
202,A028972,2005MM08,164.3,33029.0
203,A028972,2005MM09,181.4,36762.0
204,A028972,2005MM10,170.7,34639.0
205,A028972,2005MM11,192.3,38755.0
206,A028972,2005MM12,193.1,37788.0
207,A028972,2005JJ00,1967.0,395871.0
208,A028972,2006MM01,149.9,30873.0
209,A028972,2006MM02,141.6,28601.0
210,A028972,2006MM03,171.7,34607.0
211,A028972,2006MM04,139.4,27448.0
212,A028972,2006MM05,165.3,31949.0
213,A028972,2006MM06,152.4,30011.0
214,A028972,2006MM07,133.7,25953.0
215,A028972,2006MM08,161.4,31289.0
216,A028972,2006MM09,165.1,33512.0
217,A028972,2006MM10,179.7,36733.0
218,A028972,2006MM11,185.1,38400.0
219,A028972,2006MM12,169.8,34271.0
220,A028972,2006JJ00,1915.1,383647.0
221,A028972,2007MM01,163.9,34022.0
222,A028972,2007MM02,143.3,28885.0
223,A028972,2007MM03,174.9,36161.0
224,A028972,2007MM04,141.2,29362.0
225,A028972,2007MM05,166.4,33498.0
226,A028972,2007MM06,150.4,30526.0
227,A028972,2007MM07,143.3,27686.0
228,A028972,2007MM08,161.1,32321.0
229,A028972,2007MM09,152.1,30483.0
230,A028972,2007MM10,176.4,36613.0
231,A028972,2007MM11,172.1,34784.0
232,A028972,2007MM12,159.9,31230.0
233,A028972,2007JJ00,1905.0,385571.0
234,A028972,2008MM01,157.3,31242.0
235,A028972,2008MM02,143.9,28700.0
236,A028972,2008MM03,153.1,29670.0
237,A028972,2008MM04,147.6,28600.0
238,A028972,2008MM05,150.7,28312.0
239,A028972,2008MM06,160.3,30904.0
240,A028972,2008MM07,156.2,30077.0
241,A028972,2008MM08,150.0,29909.0
242,A028972,2008MM09,180.8,36150.0
243,A028972,2008MM10,177.3,35779.0
244,A028972,2008MM11,159.5,32692.0
245,A028972,2008MM12,188.7,36842.0
246,A028972,2008JJ00,1925.4,378877.0
247,A028972,2009MM01,164.7,33087.0
248,A028972,2009MM02,153.3,30037.0
249,A028972,2009MM03,175.1,33985.0
250,A028972,2009MM04,154.0,29084.0
251,A028972,2009MM05,172.3,33360.0
252,A028972,2009MM06,173.5,33314.0
253,A028972,2009MM07,170.3,32407.0
254,A028972,2009MM08,165.7,31998.0
255,A028972,2009MM09,184.8,35836.0
256,A028972,2009MM10,180.0,35286.0
257,A028972,2009MM11,180.3,35861.0
258,A028972,2009MM12,194.3,37497.0
259,A028972,2009JJ00,2068.3,401752.0
260,A028972,2010MM01,142.5,27480.0
261,A028972,2010MM02,141.7,27079.0
262,A028972,2010MM03,194.3,36842.0
263,A028972,2010MM04,160.5,30524.0
264,A028972,2010MM05,157.6,29880.0
265,A028972,2010MM06,169.3,32313.0
266,A028972,2010MM07,153.8,28894.0
267,A028972,2010MM08,166.1,31815.0
268,A028972,2010MM09,184.5,35460.0
269,A028972,2010MM10,176.0,34884.0
270,A028972,2010MM11,186.9,37015.0
271,A028972,2010MM12,195.0,36424.0
272,A028972,2010JJ00,2028.2,388610.0
