ID,RegioS,Perioden,JongerenMetJeugdhulpInNatura_1,JongerenMetJeugdhMetVerblInNat_2,JongerenMetJeugdbescherming_3,JeugdbeschEnJeugdhMetVerblInNat_4,JongerenMetJeugdreclassering_5
107,PV20   ,2018JJ00,13.6,13.2,1.4,54.3,0.5
108,PV20   ,2019HJ01,11.9,12.9,1.3,52.7,0.4
109,PV20   ,2019HJ02,11.9,13.4,1.4,51.9,0.4
110,PV20   ,2019JJ00,13.7,12.7,1.5,52.3,0.5
111,PV20   ,2020HJ01,11.4,12.1,1.4,48.6,0.4
112,PV20   ,2020HJ02,11.8,11.7,1.4,46.6,0.4
113,PV20   ,2020JJ00,13.4,11.7,1.5,49.1,0.5
114,PV21   ,2015KW01,,,,,
115,PV21   ,2015HJ01,,,,,
116,PV21   ,2015HJ02,,,,,
117,PV21   ,2015JJ00,,,,,
118,PV21   ,2016HJ01,8.5,14.7,1.3,52.6,0.3
119,PV21   ,2016HJ02,8.7,14.7,1.3,52.0,0.3
120,PV21   ,2016JJ00,10.0,14.0,1.4,52.4,0.4
121,PV21   ,2017HJ01,10.4,12.4,1.3,50.6,0.3
122,PV21   ,2017HJ02,10.5,12.6,1.3,50.0,0.3
123,PV21   ,2017JJ00,12.0,12.1,1.5,50.9,0.4
124,PV21   ,2018HJ01,9.3,13.7,1.4,48.3,0.3
125,PV21   ,2018HJ02,9.9,13.2,1.3,49.0,0.3
126,PV21   ,2018JJ00,11.0,13.1,1.5,48.5,0.3
127,PV21   ,2019HJ01,10.0,13.9,1.4,51.5,0.3
128,PV21   ,2019HJ02,10.0,13.9,1.4,51.3,0.3
129,PV21   ,2019JJ00,11.7,13.6,1.5,52.2,0.3
130,PV21   ,2020HJ01,9.8,13.6,1.5,48.8,0.3
131,PV21   ,2020HJ02,9.8,13.7,1.5,49.2,0.2
132,PV21   ,2020JJ00,11.6,13.2,1.6,50.8,0.3
133,PV22   ,2015KW01,,,,,
134,PV22   ,2015HJ01,,,,,
135,PV22   ,2015HJ02,,,,,
136,PV22   ,2015JJ00,,,,,
137,PV22   ,2016HJ01,10.0,9.6,1.0,49.1,0.4
138,PV22   ,2016HJ02,10.1,10.1,1.0,51.1,0.4
139,PV22   ,2016JJ00,11.4,9.9,1.1,50.7,0.5
140,PV22   ,2017HJ01,11.3,11.4,1.0,53.9,0.4
141,PV22   ,2017HJ02,12.1,11.1,0.9,53.4,0.4
142,PV22   ,2017JJ00,13.0,11.1,1.0,53.3,0.5
143,PV22   ,2018HJ01,11.7,12.0,1.0,55.1,0.4
144,PV22   ,2018HJ02,12.1,12.5,1.0,54.8,0.4
145,PV22   ,2018JJ00,13.7,11.9,1.1,54.9,0.5
146,PV22   ,2019HJ01,12.0,11.8,1.1,56.8,0.4
147,PV22   ,2019HJ02,11.9,11.9,1.1,55.6,0.3
148,PV22   ,2019JJ00,13.8,11.6,1.2,56.5,0.4
149,PV22   ,2020HJ01,11.3,10.5,1.1,50.8,0.3
150,PV22   ,2020HJ02,11.6,10.6,1.2,52.7,0.3
151,PV22   ,2020JJ00,13.1,10.6,1.3,53.2,0.4
152,PV23   ,2015KW01,,,,,
153,PV23   ,2015HJ01,,,,,
154,PV23   ,2015HJ02,,,,,
155,PV23   ,2015JJ00,,,,,
156,PV23   ,2016HJ01,8.1,15.0,1.2,51.5,0.4
157,PV23   ,2016HJ02,8.5,14.9,1.2,52.5,0.4
158,PV23   ,2016JJ00,9.3,14.9,1.3,52.3,0.4
159,PV23   ,2017HJ01,8.6,15.0,1.2,53.6,0.4
160,PV23   ,2017HJ02,9.0,14.9,1.2,53.8,0.3
161,PV23   ,2017JJ00,10.0,14.6,1.3,53.9,0.4
162,PV23   ,2018HJ01,8.5,15.5,1.2,52.8,0.4
163,PV23   ,2018HJ02,9.0,14.9,1.2,52.8,0.3
164,PV23   ,2018JJ00,10.0,14.7,1.4,52.6,0.4
165,PV23   ,2019HJ01,9.2,15.2,1.3,52.7,0.3
166,PV23   ,2019HJ02,9.4,14.9,1.3,52.0,0.3
167,PV23   ,2019JJ00,10.7,14.6,1.4,52.8,0.4
168,PV23   ,2020HJ01,9.2,14.6,1.3,51.2,0.3
169,PV23   ,2020HJ02,9.7,14.2,1.3,51.4,0.3
170,PV23   ,2020JJ00,11.2,13.6,1.4,51.8,0.3
171,PV24   ,2015KW01,,,,,
172,PV24   ,2015HJ01,,,,,
173,PV24   ,2015HJ02,,,,,
174,PV24   ,2015JJ00,,,,,
175,PV24   ,2016HJ01,8.2,19.3,1.1,59.1,0.4
176,PV24   ,2016HJ02,9.0,19.7,1.1,59.4,0.4
177,PV24   ,2016JJ00,10.2,19.3,1.3,57.9,0.4
178,PV24   ,2017HJ01,8.9,23.4,1.1,61.3,0.3
179,PV24   ,2017HJ02,9.3,22.8,1.1,61.7,0.3
180,PV24   ,2017JJ00,10.6,22.9,1.3,61.9,0.4
181,PV24   ,2018HJ01,9.1,13.2,1.1,53.4,0.3
182,PV24   ,2018HJ02,9.7,12.8,1.1,52.7,0.3
183,PV24   ,2018JJ00,11.1,12.4,1.3,52.6,0.4
184,PV24   ,2019HJ01,9.4,11.2,1.1,45.4,0.4
185,PV24   ,2019HJ02,9.6,10.3,1.2,42.0,0.4
186,PV24   ,2019JJ00,11.2,10.0,1.3,44.2,0.5
187,PV24   ,2020HJ01,9.1,9.6,1.2,38.3,0.4
188,PV24   ,2020HJ02,9.8,9.1,1.2,36.6,0.4
189,PV24   ,2020JJ00,11.3,8.7,1.3,37.3,0.5
190,PV25   ,2015KW01,,,,,
191,PV25   ,2015HJ01,,,,,
192,PV25   ,2015HJ02,,,,,
193,PV25   ,2015JJ00,,,,,
194,PV25   ,2016HJ01,8.6,12.5,1.0,52.5,0.3
195,PV25   ,2016HJ02,9.2,12.1,1.0,54.4,0.3
196,PV25   ,2016JJ00,10.4,11.7,1.1,52.7,0.4
197,PV25   ,2017HJ01,9.2,12.4,1.0,55.7,0.3
198,PV25   ,2017HJ02,9.6,12.2,1.0,53.5,0.3
199,PV25   ,2017JJ00,11.0,11.6,1.1,54.5,0.4
200,PV25   ,2018HJ01,9.7,11.2,1.0,50.1,0.3
201,PV25   ,2018HJ02,10.4,10.9,1.1,49.4,0.3
202,PV25   ,2018JJ00,11.6,10.7,1.2,49.6,0.4
203,PV25   ,2019HJ01,10.3,10.9,1.1,49.1,0.3
204,PV25   ,2019HJ02,10.6,10.8,1.1,47.1,0.3
205,PV25   ,2019JJ00,12.2,10.4,1.3,48.1,0.3
206,PV25   ,2020HJ01,9.9,11.6,1.2,45.7,0.3
207,PV25   ,2020HJ02,10.2,11.8,1.2,46.4,0.3
208,PV25   ,2020JJ00,11.9,11.2,1.3,47.4,0.3
209,PV26   ,2015KW01,,,,,
210,PV26   ,2015HJ01,,,,,
211,PV26   ,2015HJ02,,,,,
212,PV26   ,2015JJ00,,,,,
213,PV26   ,2016HJ01,8.7,10.0,0.8,50.8,0.3
214,PV26   ,2016HJ02,9.6,9.5,0.8,51.9,0.3
215,PV26   ,2016JJ00,10.7,9.3,0.9,50.2,0.4
216,PV26   ,2017HJ01,9.4,8.5,0.8,49.5,0.3
217,PV26   ,2017HJ02,9.8,8.5,0.8,50.0,0.3
218,PV26   ,2017JJ00,11.4,7.9,1.0,49.2,0.3
219,PV26   ,2018HJ01,9.9,7.8,0.9,47.8,0.3
220,PV26   ,2018HJ02,10.4,7.6,0.9,46.6,0.3
221,PV26   ,2018JJ00,11.9,7.3,1.0,46.3,0.3
222,PV26   ,2019HJ01,10.2,7.3,0.9,45.2,0.3
223,PV26   ,2019HJ02,10.4,7.2,0.9,43.3,0.3
224,PV26   ,2019JJ00,12.2,6.8,1.0,43.1,0.3
225,PV26   ,2020HJ01,10.0,7.3,0.9,45.8,0.3
226,PV26   ,2020HJ02,10.0,7.3,0.9,43.0,0.3
227,PV26   ,2020JJ00,12.1,6.8,1.0,44.6,0.3
228,PV27   ,2015KW01,,,,,
229,PV27   ,2015HJ01,,,,,
230,PV27   ,2015HJ02,,,,,
231,PV27   ,2015JJ00,,,,,
232,PV27   ,2016HJ01,8.5,11.4,0.9,50.5,0.5
233,PV27   ,2016HJ02,8.9,11.3,0.9,51.3,0.4
234,PV27   ,2016JJ00,10.2,10.8,1.0,50.6,0.5
235,PV27   ,2017HJ01,8.5,11.2,0.8,49.5,0.4
236,PV27   ,2017HJ02,8.7,11.3,0.8,49.7,0.4
237,PV27   ,2017JJ00,10.1,10.8,1.0,49.2,0.5
238,PV27   ,2018HJ01,8.8,10.3,0.9,48.7,0.4
239,PV27   ,2018HJ02,9.6,9.9,0.9,48.2,0.3
240,PV27   ,2018JJ00,10.7,9.7,1.0,48.3,0.4
241,PV27   ,2019HJ01,9.8,9.6,0.9,46.9,0.3
242,PV27   ,2019HJ02,10.2,9.4,0.9,45.7,0.3
243,PV27   ,2019JJ00,11.7,9.1,1.0,46.6,0.4
244,PV27   ,2020HJ01,9.7,8.8,0.9,44.3,0.3
245,PV27   ,2020HJ02,10.0,8.9,0.9,44.6,0.3
246,PV27   ,2020JJ00,11.7,8.5,1.0,44.9,0.4
247,PV28   ,2015KW01,,,,,
248,PV28   ,2015HJ01,,,,,
249,PV28   ,2015HJ02,,,,,
250,PV28   ,2015JJ00,,,,,
251,PV28   ,2016HJ01,9.5,10.8,1.1,49.8,0.5
252,PV28   ,2016HJ02,10.2,10.4,1.1,49.6,0.5
253,PV28   ,2016JJ00,11.6,10.1,1.2,49.3,0.6
254,PV28   ,2017HJ01,10.3,10.6,1.1,50.1,0.5
255,PV28   ,2017HJ02,10.7,10.6,1.1,50.5,0.5
256,PV28   ,2017JJ00,12.3,10.1,1.2,50.3,0.6
257,PV28   ,2018HJ01,10.2,9.7,1.1,48.3,0.4
258,PV28   ,2018HJ02,11.0,9.2,1.1,47.7,0.4
259,PV28   ,2018JJ00,12.5,9.0,1.3,48.1,0.5
260,PV28   ,2019HJ01,10.8,9.1,1.1,47.3,0.4
261,PV28   ,2019HJ02,10.9,9.0,1.1,46.9,0.4
262,PV28   ,2019JJ00,12.8,8.6,1.3,47.0,0.5
263,PV28   ,2020HJ01,9.9,9.2,1.1,45.5,0.4
264,PV28   ,2020HJ02,10.2,9.4,1.1,45.1,0.4
265,PV28   ,2020JJ00,12.0,8.8,1.2,45.8,0.5
266,PV29   ,2015KW01,,,,,
267,PV29   ,2015HJ01,,,,,
268,PV29   ,2015HJ02,,,,,
269,PV29   ,2015JJ00,,,,,
270,PV29   ,2016HJ01,8.9,15.2,1.1,56.3,0.3
271,PV29   ,2016HJ02,9.4,15.6,1.1,57.1,0.3
272,PV29   ,2016JJ00,10.8,14.5,1.2,55.1,0.4
273,PV29   ,2017HJ01,9.4,18.4,1.1,55.9,0.3
274,PV29   ,2017HJ02,9.8,17.6,1.2,55.7,0.3
275,PV29   ,2017JJ00,11.3,16.8,1.3,53.7,0.4
276,PV29   ,2018HJ01,10.0,15.1,1.2,54.7,0.3
277,PV29   ,2018HJ02,10.9,13.4,1.2,51.4,0.3
278,PV29   ,2018JJ00,12.0,13.6,1.4,52.0,0.4
279,PV29   ,2019HJ01,10.8,14.2,1.3,51.6,0.3
280,PV29   ,2019HJ02,11.1,13.4,1.3,48.1,0.3
281,PV29   ,2019JJ00,12.7,13.0,1.5,48.6,0.4
282,PV29   ,2020HJ01,10.7,12.7,1.3,46.4,0.3
283,PV29   ,2020HJ02,11.1,13.0,1.3,45.6,0.3
284,PV29   ,2020JJ00,13.1,12.3,1.5,46.4,0.4
285,PV30   ,2015KW01,,,,,
286,PV30   ,2015HJ01,,,,,
287,PV30   ,2015HJ02,,,,,
288,PV30   ,2015JJ00,,,,,
289,PV30   ,2016HJ01,8.4,12.2,0.9,51.8,0.3
290,PV30   ,2016HJ02,8.9,11.9,0.9,50.2,0.3
291,PV30   ,2016JJ00,10.3,11.3,1.0,50.1,0.4
292,PV30   ,2017HJ01,8.6,12.1,0.9,49.8,0.3
293,PV30   ,2017HJ02,9.3,11.6,0.9,48.7,0.3
294,PV30   ,2017JJ00,10.6,11.1,1.0,49.2,0.4
295,PV30   ,2018HJ01,9.4,9.7,0.9,46.2,0.3
296,PV30   ,2018HJ02,10.2,9.1,0.9,45.9,0.3
297,PV30   ,2018JJ00,11.5,8.9,1.0,45.4,0.3
298,PV30   ,2019HJ01,10.0,9.2,0.9,46.4,0.3
299,PV30   ,2019HJ02,9.9,8.3,0.9,37.1,0.3
300,PV30   ,2019JJ00,11.8,8.7,1.0,44.6,0.3
301,PV30   ,2020HJ01,9.5,8.2,1.0,35.5,0.3
302,PV30   ,2020HJ02,9.9,8.6,1.0,36.1,0.3
303,PV30   ,2020JJ00,11.6,8.2,1.1,36.9,0.3
304,PV31   ,2015KW01,,,,,
305,PV31   ,2015HJ01,,,,,
306,PV31   ,2015HJ02,,,,,
307,PV31   ,2015JJ00,,,,,
308,PV31   ,2016HJ01,10.7,11.1,1.4,46.2,0.5
309,PV31   ,2016HJ02,11.2,11.1,1.4,47.7,0.4
310,PV31   ,2016JJ00,12.7,10.7,1.6,46.5,0.5
311,PV31   ,2017HJ01,11.5,11.1,1.4,44.4,0.4
312,PV31   ,2017HJ02,11.9,10.9,1.4,44.1,0.4
313,PV31   ,2017JJ00,13.4,10.7,1.6,44.9,0.5
314,PV31   ,2018HJ01,11.6,11.1,1.4,43.9,0.4
315,PV31   ,2018HJ02,12.3,10.8,1.4,42.8,0.3
316,PV31   ,2018JJ00,13.7,10.8,1.6,44.5,0.4
317,PV31   ,2019HJ01,12.5,10.8,1.4,42.8,0.3
318,PV31   ,2019HJ02,12.9,10.9,1.4,43.9,0.3
319,PV31   ,2019JJ00,14.6,10.5,1.6,43.4,0.4
320,PV31   ,2020HJ01,12.4,11.5,1.5,45.2,0.3
321,PV31   ,2020HJ02,12.5,11.8,1.5,46.3,0.3
322,PV31   ,2020JJ00,14.6,11.2,1.7,46.8,0.4
323,CR01   ,2015KW01,,,,,
324,CR01   ,2015HJ01,,,,,
325,CR01   ,2015HJ02,,,,,
326,CR01   ,2015JJ00,,,,,
327,CR01   ,2016HJ01,,,,,
328,CR01   ,2016HJ02,,,,,
329,CR01   ,2016JJ00,,,,,
330,CR01   ,2017HJ01,,,,,
331,CR01   ,2017HJ02,,,,,
332,CR01   ,2017JJ00,,,,,
333,CR01   ,2018HJ01,,,,,
334,CR01   ,2018HJ02,,,,,
335,CR01   ,2018JJ00,,,,,
336,CR01   ,2019HJ01,,,,,
337,CR01   ,2019HJ02,,,,,
338,CR01   ,2019JJ00,,,,,
339,CR01   ,2020HJ01,,,,,
340,CR01   ,2020HJ02,,,,,
341,CR01   ,2020JJ00,,,,,
342,CR02   ,2015KW01,,,,,
343,CR02   ,2015HJ01,,,,,
344,CR02   ,2015HJ02,,,,,
345,CR02   ,2015JJ00,,,,,
346,CR02   ,2016HJ01,,,,,
347,CR02   ,2016HJ02,,,,,
348,CR02   ,2016JJ00,,,,,
349,CR02   ,2017HJ01,,,,,
350,CR02   ,2017HJ02,,,,,
351,CR02   ,2017JJ00,,,,,
352,CR02   ,2018HJ01,,,,,
353,CR02   ,2018HJ02,,,,,
354,CR02   ,2018JJ00,,,,,
355,CR02   ,2019HJ01,,,,,
356,CR02   ,2019HJ02,,,,,
357,CR02   ,2019JJ00,,,,,
358,CR02   ,2020HJ01,,,,,
359,CR02   ,2020HJ02,,,,,
360,CR02   ,2020JJ00,,,,,
361,CR03   ,2015KW01,,,,,
362,CR03   ,2015HJ01,,,,,
363,CR03   ,2015HJ02,,,,,
364,CR03   ,2015JJ00,,,,,
365,CR03   ,2016HJ01,,,,,
366,CR03   ,2016HJ02,,,,,
367,CR03   ,2016JJ00,,,,,
368,CR03   ,2017HJ01,,,,,
369,CR03   ,2017HJ02,,,,,
370,CR03   ,2017JJ00,,,,,
371,CR03   ,2018HJ01,,,,,
372,CR03   ,2018HJ02,,,,,
373,CR03   ,2018JJ00,,,,,
374,CR03   ,2019HJ01,,,,,
375,CR03   ,2019HJ02,,,,,
376,CR03   ,2019JJ00,,,,,
377,CR03   ,2020HJ01,,,,,
378,CR03   ,2020HJ02,,,,,
379,CR03   ,2020JJ00,,,,,
380,CR04   ,2015KW01,,,,,
381,CR04   ,2015HJ01,,,,,
382,CR04   ,2015HJ02,,,,,
383,CR04   ,2015JJ00,,,,,
384,CR04   ,2016HJ01,,,,,
385,CR04   ,2016HJ02,,,,,
386,CR04   ,2016JJ00,,,,,
387,CR04   ,2017HJ01,,,,,
388,CR04   ,2017HJ02,,,,,
389,CR04   ,2017JJ00,,,,,
390,CR04   ,2018HJ01,,,,,
391,CR04   ,2018HJ02,,,,,
392,CR04   ,2018JJ00,,,,,
393,CR04   ,2019HJ01,,,,,
394,CR04   ,2019HJ02,,,,,
395,CR04   ,2019JJ00,,,,,
396,CR04   ,2020HJ01,,,,,
397,CR04   ,2020HJ02,,,,,
398,CR04   ,2020JJ00,,,,,
399,CR05   ,2015KW01,,,,,
400,CR05   ,2015HJ01,,,,,
401,CR05   ,2015HJ02,,,,,
402,CR05   ,2015JJ00,,,,,
403,CR05   ,2016HJ01,,,,,
404,CR05   ,2016HJ02,,,,,
405,CR05   ,2016JJ00,,,,,
406,CR05   ,2017HJ01,,,,,
407,CR05   ,2017HJ02,,,,,
408,CR05   ,2017JJ00,,,,,
409,CR05   ,2018HJ01,,,,,
410,CR05   ,2018HJ02,,,,,
411,CR05   ,2018JJ00,,,,,
412,CR05   ,2019HJ01,,,,,
413,CR05   ,2019HJ02,,,,,
414,CR05   ,2019JJ00,,,,,
415,CR05   ,2020HJ01,,,,,
416,CR05   ,2020HJ02,,,,,
417,CR05   ,2020JJ00,,,,,
418,CR06   ,2015KW01,,,,,
419,CR06   ,2015HJ01,,,,,
420,CR06   ,2015HJ02,,,,,
421,CR06   ,2015JJ00,,,,,
422,CR06   ,2016HJ01,,,,,
423,CR06   ,2016HJ02,,,,,
424,CR06   ,2016JJ00,,,,,
425,CR06   ,2017HJ01,,,,,
426,CR06   ,2017HJ02,,,,,
427,CR06   ,2017JJ00,,,,,
428,CR06   ,2018HJ01,,,,,
429,CR06   ,2018HJ02,,,,,
430,CR06   ,2018JJ00,,,,,
431,CR06   ,2019HJ01,,,,,
432,CR06   ,2019HJ02,,,,,
433,CR06   ,2019JJ00,,,,,
434,CR06   ,2020HJ01,,,,,
435,CR06   ,2020HJ02,,,,,
436,CR06   ,2020JJ00,,,,,
437,CR07   ,2015KW01,,,,,
438,CR07   ,2015HJ01,,,,,
439,CR07   ,2015HJ02,,,,,
440,CR07   ,2015JJ00,,,,,
441,CR07   ,2016HJ01,,,,,
442,CR07   ,2016HJ02,,,,,
443,CR07   ,2016JJ00,,,,,
444,CR07   ,2017HJ01,,,,,
445,CR07   ,2017HJ02,,,,,
446,CR07   ,2017JJ00,,,,,
447,CR07   ,2018HJ01,,,,,
448,CR07   ,2018HJ02,,,,,
449,CR07   ,2018JJ00,,,,,
450,CR07   ,2019HJ01,,,,,
451,CR07   ,2019HJ02,,,,,
452,CR07   ,2019JJ00,,,,,
453,CR07   ,2020HJ01,,,,,
454,CR07   ,2020HJ02,,,,,
455,CR07   ,2020JJ00,,,,,
456,CR08   ,2015KW01,,,,,
457,CR08   ,2015HJ01,,,,,
458,CR08   ,2015HJ02,,,,,
459,CR08   ,2015JJ00,,,,,
460,CR08   ,2016HJ01,,,,,
461,CR08   ,2016HJ02,,,,,
462,CR08   ,2016JJ00,,,,,
463,CR08   ,2017HJ01,,,,,
464,CR08   ,2017HJ02,,,,,
465,CR08   ,2017JJ00,,,,,
466,CR08   ,2018HJ01,,,,,
467,CR08   ,2018HJ02,,,,,
468,CR08   ,2018JJ00,,,,,
469,CR08   ,2019HJ01,,,,,
470,CR08   ,2019HJ02,,,,,
471,CR08   ,2019JJ00,,,,,
472,CR08   ,2020HJ01,,,,,
473,CR08   ,2020HJ02,,,,,
474,CR08   ,2020JJ00,,,,,
475,CR09   ,2015KW01,,,,,
476,CR09   ,2015HJ01,,,,,
477,CR09   ,2015HJ02,,,,,
478,CR09   ,2015JJ00,,,,,
479,CR09   ,2016HJ01,,,,,
480,CR09   ,2016HJ02,,,,,
481,CR09   ,2016JJ00,,,,,
482,CR09   ,2017HJ01,,,,,
483,CR09   ,2017HJ02,,,,,
484,CR09   ,2017JJ00,,,,,
485,CR09   ,2018HJ01,,,,,
486,CR09   ,2018HJ02,,,,,
487,CR09   ,2018JJ00,,,,,
488,CR09   ,2019HJ01,,,,,
489,CR09   ,2019HJ02,,,,,
490,CR09   ,2019JJ00,,,,,
491,CR09   ,2020HJ01,,,,,
492,CR09   ,2020HJ02,,,,,
493,CR09   ,2020JJ00,,,,,
494,CR10   ,2015KW01,,,,,
