ID,Sectoren,Perioden,TotaalBelastingen_1,BTWBelastingOverToegevoegdeWaarde_2,LoonEnInkomstenbelasting_3,Vennootschapsbelasting_4,Accijnzen_5,VerbruiksbelOpMilieugrondslag_6,Milieuheffingen_7,MotorrijtuigenbelastingInclEurovignet_8,BPMBelPersonenautoSEnMotorrijw_9,Overdrachtsbelasting_10,Onroerendezaakbelasting_11,Dividendbelasting_12,Vermogensheffingen_13,Assurantiebelasting_14,Kansspelbelasting_15,Bankenbelasting_16,Verhuurdersheffing_17,Loonkostenheffing_18,OverigeBelastingen_19,TotaalBelastOpProductieEnInvoer_20,TotaalProductgebondenBelastingen_21,BTWBelastingOverToegevoegdeWaarde_22,TotaalAccijnzen_23,Benzineaccijns_24,AccijnsOpOverigeMineraleOlien_25,Tabakaccijns_26,Alcoholaccijns_27,Bieraccijns_28,WijnaccijnsEAMousserendeDranken_29,OverigeAccijnzen_30,VerbruiksbelOpAlcoholvrijeDranken_31,BelastingenOpMilieugrondslag_32,BPMBelOpPersonenautoSEnMotorrijw_33,Kansspelbelasting_34,Overdrachtsbelasting_35,Assurantiebelasting_36,Kapitaalbelasting_37,Beursbelasting_38,TotaalNietProductgebondenBelastingen_39,Onroerendezaakbelasting_40,MotorrijtuigenbelInclEurovignet_41,TotaalMilieuheffingen_42,Rioolrechten_43,HeffingenOpWaterverontreiniging_44,OmslagheffingWaterschappen_45,OverigeMilieuheffingen_46,Bankenbelasting_47,Verhuurderheffing_48,Loonkostenheffing_49,PBOHeffingen_50,InschrijfgeldenKamerVanKoophandel_51,Toeristenbelasting_52,NietProductgebondenOverig_53,TotaalBelastOpInkomenEnVermogen_54,TotaalBelastingenOpInkomen_55,Vennootschapsbelasting_56,Loonbelasting_57,Inkomstenbelasting_58,Dividendbelasting_59,Kansspelbelasting_60,EenmaligOntvangstIVMLiquidatie_61,TotaalBelastingenOpVermogen_62,Onroerendezaakbelasting_63,Vermogensbelasting_64,Motorrijtuigenbelasting_65,TotaalMilieuheffingen_66,Rioolrechten_67,HeffingenOpWaterverontreiniging_68,OmslagheffingWaterschappen_69,OverigeBelastingenInkomenEnVermogen_70,Vermogensheffingen_71
20,10,2006KW02,33741.0,10998.0,9053.0,3414.0,2281.0,1149.0,780.0,785.0,934.0,1140.0,637.0,1513.0,426.0,161.0,57.0,,,133.0,280.0,18190.0,16800.0,10998.0,2281.0,946.0,682.0,415.0,87.0,88.0,54.0,9.0,44.0,1149.0,934.0,30.0,1140.0,161.0,63.0,,1390.0,637.0,186.0,299.0,50.0,97.0,129.0,23.0,,,133.0,49.0,42.0,29.0,15.0,15125.0,14007.0,3414.0,9473.0,-420.0,1513.0,27.0,,1118.0,0.0,5.0,599.0,481.0,205.0,211.0,65.0,33.0,426.0
21,10,2006KW03,29581.0,8473.0,7033.0,4262.0,2400.0,1014.0,767.0,1002.0,703.0,1057.0,641.0,1306.0,318.0,226.0,57.0,,,118.0,204.0,15364.0,13960.0,8473.0,2400.0,992.0,698.0,499.0,69.0,82.0,52.0,8.0,43.0,1014.0,703.0,30.0,1057.0,226.0,14.0,,1404.0,641.0,237.0,288.0,49.0,94.0,129.0,16.0,,,118.0,50.0,41.0,28.0,1.0,13899.0,12628.0,4262.0,7122.0,-89.0,1306.0,27.0,,1271.0,0.0,6.0,765.0,479.0,203.0,210.0,66.0,21.0,318.0
22,10,2006KW04,38757.0,10911.0,11842.0,6135.0,2490.0,1180.0,776.0,957.0,619.0,1326.0,643.0,759.0,707.0,84.0,41.0,,,107.0,180.0,18081.0,16674.0,10911.0,2490.0,994.0,713.0,553.0,86.0,77.0,58.0,9.0,34.0,1180.0,619.0,22.0,1326.0,84.0,8.0,,1407.0,643.0,205.0,301.0,50.0,92.0,128.0,31.0,,,107.0,51.0,41.0,29.0,30.0,19969.0,18755.0,6135.0,7868.0,3974.0,759.0,19.0,,1214.0,0.0,8.0,752.0,475.0,200.0,210.0,65.0,-21.0,707.0
23,10,2006JJ00,132332.0,38965.0,35163.0,17907.0,9860.0,4545.0,3104.0,3860.0,3452.0,4566.0,2558.0,4226.0,1811.0,752.0,196.0,,,511.0,856.0,68151.0,62509.0,38965.0,9860.0,3982.0,2836.0,2144.0,321.0,335.0,207.0,35.0,152.0,4545.0,3452.0,103.0,4566.0,752.0,114.0,,5642.0,2558.0,829.0,1185.0,198.0,381.0,515.0,91.0,,,511.0,198.0,166.0,114.0,81.0,62370.0,57389.0,17907.0,31646.0,3517.0,4226.0,93.0,,4981.0,0.0,-6.0,3031.0,1919.0,816.0,841.0,262.0,37.0,1811.0
24,10,2007KW01,31792.0,9651.0,8240.0,4058.0,2460.0,1127.0,793.0,983.0,1087.0,1209.0,667.0,482.0,374.0,311.0,61.0,,,95.0,194.0,17342.0,15918.0,9651.0,2460.0,995.0,727.0,527.0,82.0,70.0,49.0,10.0,36.0,1127.0,1087.0,29.0,1209.0,311.0,8.0,,1424.0,667.0,221.0,294.0,52.0,92.0,130.0,20.0,,,95.0,46.0,42.0,31.0,28.0,14076.0,12812.0,4058.0,8375.0,-135.0,482.0,32.0,,1264.0,0.0,6.0,762.0,499.0,218.0,214.0,67.0,-3.0,374.0
25,10,2007KW02,35448.0,9958.0,10740.0,4296.0,2550.0,872.0,795.0,1077.0,980.0,1107.0,659.0,1381.0,459.0,176.0,59.0,,,110.0,229.0,17181.0,15726.0,9958.0,2550.0,1034.0,739.0,555.0,74.0,88.0,53.0,7.0,42.0,872.0,980.0,28.0,1107.0,176.0,13.0,,1455.0,659.0,250.0,294.0,53.0,93.0,127.0,21.0,,,110.0,47.0,41.0,31.0,23.0,17808.0,16448.0,4296.0,10759.0,-19.0,1381.0,31.0,,1360.0,0.0,7.0,827.0,501.0,220.0,214.0,67.0,25.0,459.0
26,10,2007KW03,31354.0,9429.0,8423.0,3667.0,2337.0,672.0,803.0,1023.0,870.0,1325.0,670.0,1148.0,386.0,141.0,55.0,,,86.0,319.0,16275.0,14857.0,9429.0,2337.0,902.0,689.0,530.0,78.0,77.0,53.0,8.0,39.0,672.0,870.0,26.0,1325.0,141.0,18.0,,1418.0,670.0,221.0,297.0,53.0,92.0,128.0,24.0,,,86.0,46.0,42.0,32.0,24.0,14693.0,13267.0,3667.0,8081.0,342.0,1148.0,29.0,,1426.0,0.0,5.0,802.0,506.0,222.0,217.0,67.0,113.0,386.0
27,10,2007KW04,42446.0,12860.0,12620.0,6531.0,2666.0,1118.0,810.0,1013.0,710.0,1284.0,688.0,739.0,663.0,179.0,72.0,,,206.0,287.0,20416.0,18885.0,12860.0,2666.0,1079.0,810.0,524.0,101.0,75.0,67.0,10.0,38.0,1118.0,710.0,26.0,1284.0,179.0,4.0,,1531.0,688.0,199.0,297.0,53.0,92.0,131.0,21.0,,,206.0,47.0,42.0,31.0,21.0,21367.0,19936.0,6531.0,10514.0,2106.0,739.0,46.0,,1431.0,0.0,12.0,814.0,513.0,223.0,224.0,66.0,92.0,663.0
28,10,2007JJ00,141040.0,41898.0,40023.0,18552.0,10013.0,3789.0,3201.0,4096.0,3647.0,4925.0,2684.0,3750.0,1882.0,807.0,247.0,,,497.0,1029.0,71214.0,65386.0,41898.0,10013.0,4010.0,2965.0,2136.0,335.0,310.0,222.0,35.0,155.0,3789.0,3647.0,109.0,4925.0,807.0,43.0,,5828.0,2684.0,891.0,1182.0,211.0,369.0,516.0,86.0,,,497.0,186.0,167.0,125.0,96.0,67944.0,62463.0,18552.0,37729.0,2294.0,3750.0,138.0,,5481.0,0.0,30.0,3205.0,2019.0,883.0,869.0,267.0,227.0,1882.0
29,10,2008KW01,32858.0,8911.0,9031.0,3931.0,2629.0,1218.0,873.0,1232.0,1087.0,1126.0,684.0,1206.0,222.0,273.0,53.0,,,103.0,279.0,16873.0,15307.0,8911.0,2629.0,1034.0,812.0,562.0,82.0,77.0,54.0,8.0,36.0,1218.0,1087.0,28.0,1126.0,273.0,-1.0,,1566.0,684.0,274.0,342.0,52.0,93.0,134.0,63.0,,,103.0,45.0,42.0,34.0,42.0,15763.0,14193.0,3931.0,9296.0,-265.0,1206.0,25.0,,1570.0,0.0,4.0,958.0,531.0,236.0,226.0,69.0,77.0,222.0
