ID,Jaren,Totaal_1,Woningen_2,OverigeWOVerbouw_3,Totaal_4,Woningen_5,OverigeWOVerbouw_6,Totaal_7,Woningen_8,OverigeWOVerbouw_9,Totaal_10,Woningbouw_11,OverigeWOVerbouw_12,Agrarisch_13,IndustrieEnBouwnijverheid_14,Totaal_15,HandelEnHoreca_16,VervoerEnCommunicatie_17,ZakelijkeDienstverlening_18,OpenbaarBestuur_19,Onderwijs_20,Totaal_21,GezondheidEnWelzijn_22,OverigeDienstverl_23,TotaalWoningen_24,RijkEnGemeenten_25,Woningcorporaties_26,InstitutioneleBeleggers_27,BouwersVoorDeMarkt_28,Particulieren_29,Huurwoningen_30,EigenWoningen_31,Huurwoningen_32,EigenWoningen_33,Huurwoningen_34,EigenWoningen_35,Huurwoningen_36,EigenWoningen_37,GebouwenTotaal_38,GebouwenExclWoningen_39,Woningen_40,HerstelEnVerbouw_41,Totaal_42,Met1Vertrek_43,Met2Vertrekken_44,Met3Vertrekken_45,Met4Vertrekken_46,Met5Vertrekken_47,Met6OfMeerVertrekken_48,VertrekkenPerWoning_49,BewonersPerWoning_50,PersonenPerVertrek_51,Totaal_52,Huur_53,Eengezins_54,Woningwetwoningen_55,Premiewoningen_56,Ongesubsidieerd_57,Overheid_58,Woningbouwverenigingen_59,Particulieren_60,Totaal_61,Rijk_62,LagerPubliekrechterlijkLichaam_63,Bedrijven_64,Totaal_65,Rijk_66,LagerPubliekrechterlijkLichaam_67,Bedrijven_68,Totaal_69,Rijk_70,LagerPubliekrechterlijkLichaam_71,Bedrijven_72,Totaal_73,Rijk_74,LagerPubliekrechterlijkLichaam_75,Bedrijven_76,Totaal_77,Rijk_78,LagerPubliekrechterlijkLichaam_79,Bedrijven_80,Totaal_81,Rijk_82,LagerPubliekrechterlijkLichaam_83,Bedrijven_84,OnttrokkenWoningen_85,SaldoVermeerderingWoningvoorraad_86,InclBTW1938100_87,InclBTW1990100_88,ExclBTW1990100_89,AanlegRioleringBuitenDeBebouwdeKom_90,AanlegRioleringBinnenDeBebouwdeKom_91,AanlegWegenMetOpenVerharding_92,AanlegWegenMetGeslotenVerharding_93,VerrichtingMachinaalGrondwerk_94,OnderhoudswerkWegen_95,MaterialenVoorDeWoningbouw1995100_96,MaterialenVoorDeWoningbouw1990100_97,BouwrijpMakenVanTerreinen_98,AfwerkenVanGebouwen_99,VerhuurBouwmachinesMetPersoneel_100,Bouwinstallatie_101,BurgerlijkeUtiliteitsbouwEnGWW_102,BurgerlijkeEnUtiliteitsbouw_103,GWWWerken_104,Totaal_105,BedrijvenMet10Tot100Werknemers_106,BedrijvenMetMeerDan100Werknemers_107,TheoretischBeschikbaar_108,Productief_109,Totaal_110,VerletWegensVorstOfNeerslag_111
33,1932JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,53.0,55.0,,,,,,,,,      ,      ,      ,"41,3  ",,,,,,2.0,4.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,
34,1933JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,43.0,60.0,,,,,,,,,      ,      ,      ,"44,4  ",,,,,,1.0,4.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,
35,1934JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,39.0,61.0,,,,,,,,,      ,      ,      ,"52,6  ",,,,,,1.0,4.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
36,1935JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,32.0,50.0,,,,,,,,,      ,      ,      ,"45,2  ",,,,,,1.0,3.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
37,1936JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,29.0,38.0,,,,,,,,,      ,      ,      ,"30,3  ",,,,,,0.0,2.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,85.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
38,1937JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,36.0,44.0,,,,,,,,,      ,      ,      ,"29,1  ",,,,,,1.0,2.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,100.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
39,1938JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,51.0,54.0,,,,,,,,,      ,      ,      ,"38,4  ",,,,,,1.0,2.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,95.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
40,1939JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,58.0,50.0,,,,,,,,,      ,      ,      ,"36,8  ",,,,,,1.0,2.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,105.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
41,1940JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"17,7  ",,,,,,1.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,-13.0,150.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
42,1941JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"16,4  ",,,,,,3.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,210.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
43,1942JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"8,4   ",,,,,,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,250.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
44,1943JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"3,2   ",,,,,,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,280.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
45,1944JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"0,7   ",,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0,300.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
46,1945JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"0,4   ",,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-28.0,320.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
47,1946JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"1,6   ",,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,320.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
48,1947JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117.0,2.2,8.2,11.4,17.8,24.0,36.4,"4,78  ","4,33  ","0,90  ","9,2   ",,,6.0,4.0,0.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,350.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
49,1948JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"36,4  ",,,28.0,9.0,0.0,19.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,355.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
50,1949JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"42,8  ",,,29.0,14.0,0.0,18.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,350.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
51,1950JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.0,192.0,254.0,39.0,,,,,,,,      ,      ,      ,"47,3  ",,,28.0,18.0,2.0,19.0,12.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,360.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
52,1951JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,273.0,263.0,38.0,,,,,,,,      ,      ,      ,"58,7  ",,,39.0,16.0,4.0,25.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,415.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
53,1952JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0,280.0,301.0,37.0,,,,,,,,      ,      ,      ,"54,6  ",,,30.0,28.0,3.0,20.0,15.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,420.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
54,1953JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,284.0,336.0,43.0,,,,,,,,      ,      ,      ,"59,6  ",,,37.0,21.0,2.0,22.0,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,415.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
55,1954JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,299.0,363.0,50.0,,,,,,,,      ,      ,      ,"68,5  ",,,38.0,29.0,2.0,21.0,21.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,445.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
56,1955JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.0,365.0,369.0,47.0,,,,,,,,      ,      ,      ,"60,8  ",,,29.0,30.0,3.0,17.0,15.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,500.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
57,1956JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,386.0,501.0,49.0,2546.0,0.9,4.5,10.4,17.9,28.4,37.9,"5,07  ","4,07  ","0,80  ","68,3  ",,,32.0,32.0,4.0,16.0,19.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,555.0,18.0,,,,,,,,,,,,,,,,,,,,,,,
58,1957JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086.0,398.0,636.0,52.0,,,,,,,,      ,      ,      ,"88,4  ",,,44.0,39.0,5.0,23.0,24.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,590.0,19.0,,,,,,,,,,,,,,,,,,,,,,,
59,1958JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.0,407.0,614.0,55.0,,,,,,,,      ,      ,      ,"89,0  ",,,49.0,37.0,3.0,27.0,24.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,565.0,18.0,,,,,,,,,,,,,,,,,,,,,,,
60,1959JJ00,1613,608.0,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.0,489.0,643.0,63.0,,,,,,,,      ,      ,      ,"83,6  ",,,46.0,36.0,2.0,25.0,23.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,555.0,18.0,,,,,,,,,,,,,,,,,,,,,,,
61,1960JJ00,2020,835.0,1185.0,1449.0,700.0,749.0,1041.0,473.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257.0,547.0,636.0,74.0,2869.0,,,,,,,      ,"3,90  ",      ,"83,8  ",55.0,0.0,39.0,37.0,8.0,20.0,22.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,73.0,570.0,18.0,,,,,,,,,,,,,,,,,,,,,,,
62,1961JJ00,2325,885.0,1440.0,1337.0,585.0,752.0,1033.0,535.0,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.0,548.0,653.0,69.0,2937.0,,,,,,,      ,"3,87  ",      ,"82,7  ",51.0,0.0,32.0,31.0,20.0,18.0,17.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,71.0,590.0,19.0,,,,,,,,,,,,,,,,,,,,,,,
63,1962JJ00,2855,1148.0,1707.0,1603.0,774.0,829.0,1073.0,511.0,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.0,602.0,648.0,69.0,3000.0,,,,,,,      ,"3,85  ",      ,"78,4  ",46.0,0.0,27.0,25.0,26.0,14.0,16.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,66.0,635.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
64,1963JJ00,3560,1492.0,2068.0,1925.0,969.0,956.0,1220.0,625.0,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.0,692.0,737.0,84.0,3064.0,,,,,,,      ,"3,83  ",      ,"79,5  ",50.0,0.0,30.0,22.0,28.0,16.0,19.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,67.0,675.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
65,1964JJ00,4147,1793.0,2354.0,2201.0,1138.0,1063.0,1615.0,837.0,778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090.0,941.0,1030.0,119.0,3149.0,,,,,,,      ,"3,78  ",      ,"101,0 ",65.0,0.0,38.0,28.0,35.0,21.0,25.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,88.0,735.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
66,1965JJ00,4771,2010.0,2761.0,2460.0,1176.0,1284.0,1835.0,958.0,877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2366.0,1021.0,1220.0,124.0,3246.0,,,,,,,      ,"3,73  ",      ,"115,0 ",77.0,0.0,50.0,28.0,37.0,26.0,30.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,101.0,770.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
67,1966JJ00,4952,2183.0,2769.0,2345.0,1288.0,1057.0,2165.0,1115.0,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.0,1226.0,1392.0,138.0,3347.0,,,,,,,      ,"3,66  ",      ,"121,7 ",84.0,0.0,60.0,27.0,35.0,30.0,33.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,105.0,815.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
68,1967JJ00,4594,1797.0,2797.0,2267.0,1045.0,1222.0,2625.0,1432.0,1193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3176.0,1404.0,1637.0,134.0,3454.0,,,,,,,      ,"3,59  ",      ,"127,4 ",89.0,0.0,69.0,27.0,32.0,33.0,39.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,111.0,815.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
