ID,TypeWoning,Perioden,PrijsindexVerkoopprijzen_1,OntwikkelingTOVVoorgaandePeriode_2,OntwikkelingTOVEenJaarEerder_3,VerkochteWoningen_4,OntwikkelingTOVVoorgaandePeriode_5,OntwikkelingTOVEenJaarEerder_6,GemiddeldeVerkoopprijs_7,TotaleWaardeVerkoopprijzen_8
130,T001100,2021KW01,151.7,3.6,10.3,66627,-0.3,29.2,379172,25263
131,T001100,2021KW02,158.4,4.4,13.0,52787,-20.8,-3.9,365702,19304
132,T001100,2021KW03,168.6,6.4,17.5,53875,2.1,-13.4,400935,21600
133,T001100,2021KW04,175.1,3.9,19.6,52798,-2.0,-21.0,402726,21263
134,T001100,2021JJ00,163.4,15.2,15.2,226087,-4.0,-4.0,386714,87431
135,T001100,2022KW01,182.4,4.2,20.3,43923,-16.8,-34.1,426787,18746
136,T001100,2022KW02,187.5,2.8,18.4,47382,7.9,-10.2,429010,20327
137,T001100,2022KW03,188.6,0.6,11.9,50453,6.5,-6.4,443042,22353
138,T001100,2022KW04,184.1,-2.4,5.1,51345,1.8,-2.8,415546,21336
139,T001100,2022JJ00,185.6,13.6,13.6,193103,-14.6,-14.6,428591,82762
140,T001100,2023KW01,181.2,-1.6,-0.7,40437,-21.2,-7.9,416786,16854
141,T001100,2023KW02,177.8,-1.9,-5.2,44500,10.0,-6.1,406547,18091
142,T001100,2023KW03,180.0,1.2,-4.6,46948,5.5,-6.9,417656,19608
143,T001100,2023KW04,183.0,1.7,-0.6,50518,7.6,-1.6,422712,21355
144,T001100,2023JJ00,180.5,-2.8,-2.8,182403,-5.5,-5.5,416153,75908
145,ZW10290,1995KW01,41.7,,,21766,,,97639,2125
146,ZW10290,1995KW02,42.1,1.0,,27014,24.1,,99301,2683
147,ZW10290,1995KW03,43.3,2.9,,29503,9.2,,103894,3065
148,ZW10290,1995KW04,43.9,1.3,,33596,13.9,,103375,3473
149,ZW10290,1995JJ00,42.7,,,111879,,,101412,11346
150,ZW10290,1996KW01,45.1,2.8,8.2,25008,-25.6,14.9,105271,2633
151,ZW10290,1996KW02,46.7,3.6,10.9,31633,26.5,17.1,108104,3420
152,ZW10290,1996KW03,48.3,3.5,11.6,33813,6.9,14.6,113458,3836
