ID,RegioS,TypeVerwarmingsinstallatie,Perioden,Woningen_1
172,NL99  ,A052175,2021JJ00,
173,NL99  ,A052175,2022JJ00,
174,NL99  ,A050120,2017JJ00,
175,NL99  ,A050120,2018JJ00,
176,NL99  ,A050120,2019JJ00,
177,NL99  ,A050120,2020JJ00,
178,NL99  ,A050120,2021JJ00,
179,NL99  ,A050120,2022JJ00,
180,LD01  ,A050112,2017JJ00,91.8
181,LD01  ,A050112,2018JJ00,91.5
182,LD01  ,A050112,2019JJ00,91.1
183,LD01  ,A050112,2020JJ00,90.5
184,LD01  ,A050112,2021JJ00,90.0
185,LD01  ,A050112,2022JJ00,88.7
186,LD01  ,A050113,2017JJ00,4.3
187,LD01  ,A050113,2018JJ00,4.4
188,LD01  ,A050113,2019JJ00,4.3
189,LD01  ,A050113,2020JJ00,4.6
190,LD01  ,A050113,2021JJ00,4.3
191,LD01  ,A050113,2022JJ00,4.1
192,LD01  ,A050114,2017JJ00,0.1
193,LD01  ,A050114,2018JJ00,0.1
194,LD01  ,A050114,2019JJ00,0.2
195,LD01  ,A050114,2020JJ00,0.2
196,LD01  ,A050114,2021JJ00,0.1
197,LD01  ,A050114,2022JJ00,0.1
198,LD01  ,A050115,2017JJ00,0.1
199,LD01  ,A050115,2018JJ00,0.0
200,LD01  ,A050115,2019JJ00,0.0
201,LD01  ,A050115,2020JJ00,0.1
202,LD01  ,A050115,2021JJ00,0.1
203,LD01  ,A050115,2022JJ00,0.0
204,LD01  ,A050116,2017JJ00,0.4
205,LD01  ,A050116,2018JJ00,0.5
206,LD01  ,A050116,2019JJ00,0.6
207,LD01  ,A050116,2020JJ00,0.6
208,LD01  ,A050116,2021JJ00,0.8
209,LD01  ,A050116,2022JJ00,0.8
210,LD01  ,A050117,2017JJ00,0.3
211,LD01  ,A050117,2018JJ00,0.4
212,LD01  ,A050117,2019JJ00,0.5
213,LD01  ,A050117,2020JJ00,0.8
214,LD01  ,A050117,2021JJ00,0.8
215,LD01  ,A050117,2022JJ00,1.1
216,LD01  ,A050118,2017JJ00,0.0
217,LD01  ,A050118,2018JJ00,0.0
218,LD01  ,A050118,2019JJ00,0.0
219,LD01  ,A050118,2020JJ00,0.1
220,LD01  ,A050118,2021JJ00,0.1
221,LD01  ,A050118,2022JJ00,0.1
222,LD01  ,A050119,2017JJ00,0.2
223,LD01  ,A050119,2018JJ00,0.6
224,LD01  ,A050119,2019JJ00,0.9
225,LD01  ,A050119,2020JJ00,1.4
226,LD01  ,A050119,2021JJ00,2.0
227,LD01  ,A050119,2022JJ00,2.8
228,LD01  ,A052175,2017JJ00,0.6
229,LD01  ,A052175,2018JJ00,1.1
230,LD01  ,A052175,2019JJ00,1.5
231,LD01  ,A052175,2020JJ00,2.0
232,LD01  ,A052175,2021JJ00,2.7
233,LD01  ,A052175,2022JJ00,3.6
234,LD01  ,A050120,2017JJ00,2.7
235,LD01  ,A050120,2018JJ00,2.4
236,LD01  ,A050120,2019JJ00,2.3
237,LD01  ,A050120,2020JJ00,1.9
238,LD01  ,A050120,2021JJ00,1.9
239,LD01  ,A050120,2022JJ00,2.2
240,LD02  ,A050112,2017JJ00,85.8
241,LD02  ,A050112,2018JJ00,85.8
242,LD02  ,A050112,2019JJ00,85.4
243,LD02  ,A050112,2020JJ00,85.1
244,LD02  ,A050112,2021JJ00,84.6
245,LD02  ,A050112,2022JJ00,83.4
246,LD02  ,A050113,2017JJ00,3.8
247,LD02  ,A050113,2018JJ00,3.8
248,LD02  ,A050113,2019JJ00,3.7
249,LD02  ,A050113,2020JJ00,3.9
250,LD02  ,A050113,2021JJ00,3.6
251,LD02  ,A050113,2022JJ00,3.4
252,LD02  ,A050114,2017JJ00,0.3
253,LD02  ,A050114,2018JJ00,0.4
254,LD02  ,A050114,2019JJ00,0.4
255,LD02  ,A050114,2020JJ00,0.4
256,LD02  ,A050114,2021JJ00,0.3
257,LD02  ,A050114,2022JJ00,0.3
258,LD02  ,A050115,2017JJ00,0.3
259,LD02  ,A050115,2018JJ00,0.2
260,LD02  ,A050115,2019JJ00,0.3
261,LD02  ,A050115,2020JJ00,0.3
262,LD02  ,A050115,2021JJ00,0.3
263,LD02  ,A050115,2022JJ00,0.3
264,LD02  ,A050116,2017JJ00,5.7
265,LD02  ,A050116,2018JJ00,6.0
266,LD02  ,A050116,2019JJ00,6.2
267,LD02  ,A050116,2020JJ00,6.3
268,LD02  ,A050116,2021JJ00,6.4
269,LD02  ,A050116,2022JJ00,6.5
270,LD02  ,A050117,2017JJ00,0.3
271,LD02  ,A050117,2018JJ00,0.5
272,LD02  ,A050117,2019JJ00,0.6
273,LD02  ,A050117,2020JJ00,0.8
274,LD02  ,A050117,2021JJ00,0.9
275,LD02  ,A050117,2022JJ00,1.1
276,LD02  ,A050118,2017JJ00,0.0
277,LD02  ,A050118,2018JJ00,0.0
278,LD02  ,A050118,2019JJ00,0.0
279,LD02  ,A050118,2020JJ00,0.1
280,LD02  ,A050118,2021JJ00,0.1
281,LD02  ,A050118,2022JJ00,0.1
282,LD02  ,A050119,2017JJ00,0.2
283,LD02  ,A050119,2018JJ00,0.4
284,LD02  ,A050119,2019JJ00,0.7
285,LD02  ,A050119,2020JJ00,1.0
286,LD02  ,A050119,2021JJ00,1.6
287,LD02  ,A050119,2022JJ00,2.4
288,LD02  ,A052175,2017JJ00,5.9
289,LD02  ,A052175,2018JJ00,6.4
290,LD02  ,A052175,2019JJ00,6.9
291,LD02  ,A052175,2020JJ00,7.4
292,LD02  ,A052175,2021JJ00,8.0
293,LD02  ,A052175,2022JJ00,8.9
294,LD02  ,A050120,2017JJ00,3.5
295,LD02  ,A050120,2018JJ00,2.9
296,LD02  ,A050120,2019JJ00,2.8
297,LD02  ,A050120,2020JJ00,2.2
298,LD02  ,A050120,2021JJ00,2.3
299,LD02  ,A050120,2022JJ00,2.5
300,LD03  ,A050112,2017JJ00,81.6
301,LD03  ,A050112,2018JJ00,81.5
302,LD03  ,A050112,2019JJ00,81.1
303,LD03  ,A050112,2020JJ00,80.5
304,LD03  ,A050112,2021JJ00,80.4
305,LD03  ,A050112,2022JJ00,79.4
306,LD03  ,A050113,2017JJ00,7.4
307,LD03  ,A050113,2018JJ00,7.5
308,LD03  ,A050113,2019JJ00,7.3
309,LD03  ,A050113,2020JJ00,7.4
310,LD03  ,A050113,2021JJ00,6.7
311,LD03  ,A050113,2022JJ00,6.2
312,LD03  ,A050114,2017JJ00,0.4
313,LD03  ,A050114,2018JJ00,0.5
314,LD03  ,A050114,2019JJ00,0.5
315,LD03  ,A050114,2020JJ00,0.5
316,LD03  ,A050114,2021JJ00,0.5
317,LD03  ,A050114,2022JJ00,0.4
318,LD03  ,A050115,2017JJ00,0.9
319,LD03  ,A050115,2018JJ00,0.9
320,LD03  ,A050115,2019JJ00,0.9
321,LD03  ,A050115,2020JJ00,1.0
322,LD03  ,A050115,2021JJ00,1.0
323,LD03  ,A050115,2022JJ00,0.9
324,LD03  ,A050116,2017JJ00,5.9
325,LD03  ,A050116,2018JJ00,6.3
326,LD03  ,A050116,2019JJ00,6.6
327,LD03  ,A050116,2020JJ00,6.9
