ID,Aardolieproducten,Perioden,TotaalAanbod_1,TotaleProductie_2,Raffinaderijen_3,PetrochemischeIndustrie_4,Groothandel_5,Invoer_6,Uitvoer_7,Bunkers_8,Voorraadmutatie_9,TotaalVerbruik_10,TotaalVoorOmzettingInOlieproducten_11,Raffinaderijen_12,PetrochemischeIndustrie_13,Groothandel_14,TotaalFinaalVerbruikAndereOmzetting_15,RaffinaderijenBrandstof_16,PetrochemischeIndustrieBrandstof_17,PetrochemischeIndustrieGrondstof_18,Visserij_19,VervoerEnOverig_20,Beginvoorraad_21,Eindvoorraad_22,Voorraadmutatie_23
196,E006497,2020MM07,4366.0,6532.0,3999.0,322.0,2211.0,5855.0,7384.0,1205.0,567.0,4366.0,2425.0,159.0,253.0,2012.0,1941.0,151.0,206.0,580.0,13.0,990.08,13235.0,12668.0,567.0
197,E006497,2020MM08,4187.0,6670.0,4450.0,327.0,1892.0,5067.0,6453.0,1208.0,112.0,4187.0,2307.0,322.0,285.0,1700.0,1880.0,171.0,197.0,607.0,13.0,891.4,12668.0,12556.0,112.0
198,E006497,2020MM09,3771.0,6321.0,4437.0,337.0,1547.0,4974.0,6751.0,1244.0,471.0,3771.0,1824.0,188.0,259.0,1376.0,1948.0,174.0,206.0,552.0,15.0,1000.75,12556.0,12085.0,471.0
199,E006497,2020KW03,12325.0,19523.0,12886.0,987.0,5650.0,15896.0,20589.0,3656.0,1150.0,12324.0,6556.0,670.0,798.0,5088.0,5769.0,496.0,610.0,1739.0,42.0,2882.22,13235.0,12085.0,1150.0
200,E006497,2020MM10,4319.0,7182.0,4735.0,302.0,2145.0,6018.0,8054.0,1197.0,369.0,4319.0,2304.0,187.0,252.0,1864.0,2015.0,180.0,208.0,658.0,15.0,953.83,12085.0,11716.0,369.0
201,E006497,2020MM11,3701.0,6711.0,4812.0,337.0,1562.0,6386.0,8317.0,1117.0,38.0,3701.0,1817.0,231.0,259.0,1328.0,1884.0,177.0,208.0,576.0,12.0,910.06,11716.0,11678.0,38.0
202,E006497,2020MM12,4194.0,6929.0,5063.0,268.0,1597.0,6977.0,8919.0,1132.0,340.0,4194.0,2127.0,524.0,218.0,1385.0,2067.0,184.0,165.0,794.0,16.0,909.54,11678.0,11338.0,340.0
203,E006497,2020KW04,12214.0,20821.0,14609.0,908.0,5304.0,19381.0,25290.0,3445.0,747.0,12214.0,6248.0,942.0,729.0,4577.0,5966.0,541.0,581.0,2028.0,43.0,2773.42,12085.0,11338.0,747.0
204,E006497,2021MM01,4086.0,6755.0,4853.0,341.0,1561.0,6691.0,7835.0,1132.0,-394.0,4086.0,2140.0,459.0,307.0,1374.0,1946.0,177.0,221.0,733.0,11.0,803.91,11340.0,11734.0,-394.0
205,E006497,2021MM02,4092.0,7274.0,4905.0,298.0,2070.0,5821.0,8161.0,995.0,154.0,4092.0,2298.0,449.0,263.0,1587.0,1794.0,164.0,193.0,622.0,11.0,805.02,11734.0,11579.0,154.0
