ID,EnergieverbruikersSBI2008,Perioden,TotaalNettoEnergieverbruik_1,Omzettingsverliezen_2,EnergetischFinaalVerbruik_3,NietEnergetischFinaalVerbruik_4,OverigeEnergieverliezen_5,TotaalBrutoEnergieverbruik_6,Winning_7,TotaalEnergieIngekocht_8,SteenkoolEnSteenkoolproducten_9,Aardoliegrondstoffen_10,MotorbrandstoffenVoorWegverkeer_11,OverigeAardolieproducten_12,OverigeEnergieproducten_13
49,301000,2006JJ00,153,5,148,0,0,164,4,160,0,0,2,26,132
50,301000,2007JJ00,156,15,141,0,0,172,5,167,0,0,2,27,138
51,301000,2008JJ00,157,20,137,0,0,184,7,177,0,0,2,25,149
52,301000,2009JJ00,162,22,140,0,0,186,8,178,0,0,2,24,151
53,301000,2010JJ00,171,24,147,0,0,202,9,193,0,0,3,24,167
54,301000,2011JJ00,156,22,134,0,0,187,9,178,0,0,3,22,153
55,301000,2012JJ00,154,17,137,0,0,183,9,173,0,0,3,21,149
56,301000,2013JJ00,154,15,139,0,0,182,9,173,0,0,3,21,149
57,300002,1995JJ00,1613,431,752,410,19,7996,2754,5243,512,2702,8,990,1030
58,300002,1996JJ00,1609,431,774,384,20,8400,3084,5316,500,2747,8,972,1088
59,300002,1997JJ00,1626,439,754,415,18,8102,2754,5347,491,2726,8,1025,1097
60,300002,1998JJ00,1651,462,762,410,18,8072,2627,5445,493,2789,8,1028,1126
61,300002,1999JJ00,1651,429,767,437,18,7835,2453,5382,434,2645,9,1151,1144
62,300002,2000JJ00,1702,456,754,473,19,7956,2365,5591,437,2672,9,1325,1147
63,300002,2001JJ00,1743,497,752,472,22,8215,2527,5688,463,2684,10,1374,1157
64,300002,2002JJ00,1757,503,768,469,17,8094,2489,5605,462,2502,10,1461,1171
65,300002,2003JJ00,1816,508,774,517,17,8263,2406,5857,477,2600,10,1605,1165
66,300002,2004JJ00,1872,522,788,544,17,8791,2804,5987,477,2699,10,1589,1211
67,300002,2005JJ00,1912,493,786,615,18,8612,2575,6037,461,2718,11,1658,1190
68,300002,2006JJ00,1812,476,764,555,17,8294,2529,5765,439,2658,11,1544,1112
69,300002,2007JJ00,1965,474,787,684,19,7953,2515,5438,474,2605,12,1221,1127
70,300002,2008JJ00,1884,468,761,635,20,7528,2746,4782,452,2567,13,630,1119
71,300002,2009JJ00,1834,478,715,623,18,7302,2590,4712,405,2515,13,677,1102
72,300002,2010JJ00,1962,486,761,697,18,7768,2868,4901,416,2624,15,655,1191
73,300002,2011JJ00,1859,446,748,646,19,7338,2614,4725,425,2535,16,605,1144
74,300002,2012JJ00,1855,427,754,656,18,7268,2610,4658,451,2526,16,643,1022
75,300002,2013JJ00,1815,423,727,648,18,7354,2794,4560,453,2421,15,677,993
76,305700,1995JJ00,31,0,25,0,6,2754,2706,48,0,16,0,2,29
77,305700,1996JJ00,37,0,30,0,7,3082,3028,53,0,16,0,2,35
78,305700,1997JJ00,38,0,34,0,4,2731,2689,42,0,4,0,2,36
79,305700,1998JJ00,47,0,42,0,4,2611,2558,52,0,6,0,3,44
80,305700,1999JJ00,43,0,39,0,4,2430,2381,49,0,6,0,3,40
81,305700,2000JJ00,51,0,46,1,4,2349,2290,59,0,8,0,2,48
82,305700,2001JJ00,53,0,46,1,6,2508,2450,58,0,4,0,1,52
83,305700,2002JJ00,55,1,52,1,2,2466,2404,62,0,7,0,2,52
84,305700,2003JJ00,56,1,54,1,2,2382,2320,62,0,5,0,3,53
85,305700,2004JJ00,58,1,56,1,1,2768,2704,65,0,6,0,3,55
86,305700,2005JJ00,56,1,53,1,1,2516,2455,62,0,6,0,3,53
87,305700,2006JJ00,51,0,50,0,1,2463,2407,56,0,4,0,2,49
88,305700,2007JJ00,48,0,46,0,2,2444,2392,52,0,4,0,3,45
89,305700,2008JJ00,47,0,43,0,3,2655,2604,51,0,4,0,3,43
90,305700,2009JJ00,44,0,43,0,1,2484,2436,47,0,3,0,3,41
91,305700,2010JJ00,48,0,47,0,1,2770,2718,52,0,4,0,2,46
92,305700,2011JJ00,48,0,46,0,2,2531,2482,49,0,1,0,1,47
93,305700,2012JJ00,42,0,40,0,2,2513,2469,44,0,3,0,1,40
94,305700,2013JJ00,43,1,41,0,1,2702,2653,50,0,7,0,1,41
95,307500,1995JJ00,1205,80,714,410,0,4536,10,4526,247,2686,6,956,630
96,307500,1996JJ00,1192,78,730,384,0,4582,11,4572,248,2731,6,940,646
97,307500,1997JJ00,1216,94,707,415,0,4633,11,4622,251,2722,6,989,653
98,307500,1998JJ00,1219,105,704,410,0,4686,11,4675,242,2783,6,993,650
99,307500,1999JJ00,1243,93,713,437,0,4653,10,4643,221,2639,7,1113,663
100,307500,2000JJ00,1273,108,692,472,0,4836,9,4827,205,2665,7,1289,661
101,307500,2001JJ00,1280,119,690,471,0,4886,9,4878,215,2680,7,1338,637
102,307500,2002JJ00,1278,112,697,468,0,4782,9,4773,212,2495,7,1420,639
103,307500,2003JJ00,1331,112,703,517,0,5029,10,5019,221,2595,7,1562,634
104,307500,2004JJ00,1372,114,714,544,0,5132,10,5122,229,2693,7,1548,645
105,307500,2005JJ00,1422,95,712,614,0,5227,11,5216,227,2711,8,1618,651
106,307500,2006JJ00,1351,105,692,554,0,5018,11,5007,214,2654,8,1530,602
107,307500,2007JJ00,1491,93,714,684,0,4663,18,4645,232,2601,8,1204,600
108,307500,2008JJ00,1398,76,686,635,0,4018,21,3998,223,2563,9,613,590
109,307500,2009JJ00,1336,78,634,623,0,3926,21,3905,179,2512,8,663,543
110,307500,2010JJ00,1451,83,670,697,0,4077,13,4065,195,2620,9,642,599
111,307500,2011JJ00,1386,80,659,646,0,3952,13,3939,216,2534,10,590,589
112,307500,2012JJ00,1395,77,662,656,0,3949,15,3934,213,2523,9,625,564
113,307500,2013JJ00,1368,88,632,648,0,3868,16,3852,207,2414,9,659,562
114,307610,1995JJ00,94,4,90,0,0,103,1,103,1,0,1,2,98
115,307610,1996JJ00,104,5,99,0,0,114,1,113,1,0,1,1,109
116,307610,1997JJ00,99,5,94,0,0,109,1,108,2,0,1,1,104
117,307610,1998JJ00,102,5,96,0,0,112,1,111,1,0,1,1,107
118,307610,1999JJ00,106,6,100,0,0,117,1,116,1,0,2,1,112
119,307610,2000JJ00,103,6,96,0,0,114,1,113,2,0,2,1,109
120,307610,2001JJ00,101,6,94,0,0,111,1,111,1,0,2,1,107
121,307610,2002JJ00,102,7,95,0,0,112,1,112,1,0,2,0,108
122,307610,2003JJ00,98,5,93,0,0,109,1,108,1,0,2,0,105
123,307610,2004JJ00,98,6,91,0,0,108,1,107,1,0,2,0,104
124,307610,2005JJ00,96,6,90,0,0,106,1,104,1,0,2,1,101
125,307610,2006JJ00,93,4,89,0,0,102,2,101,1,0,2,1,97
126,307610,2007JJ00,94,6,88,0,0,104,2,102,2,0,2,1,98
127,307610,2008JJ00,90,5,85,0,0,100,2,98,1,0,2,0,95
128,307610,2009JJ00,81,6,75,0,0,91,2,89,1,0,2,0,86
129,307610,2010JJ00,86,7,79,0,0,96,2,94,1,0,2,0,91
130,307610,2011JJ00,84,4,80,0,0,93,1,92,1,0,2,0,89
131,307610,2012JJ00,83,3,79,0,0,92,1,91,1,0,2,0,88
132,307610,2013JJ00,83,3,80,0,0,92,2,91,1,0,2,0,88
133,312505,1995JJ00,9,0,9,0,0,9,0,9,0,0,0,0,9
134,312505,1996JJ00,10,0,9,0,0,10,0,10,0,0,0,0,9
135,312505,1997JJ00,10,0,10,0,0,10,0,10,0,0,0,0,9
136,312505,1998JJ00,10,0,10,0,0,10,0,10,0,0,0,0,10
137,312505,1999JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
138,312505,2000JJ00,9,0,9,0,0,9,0,9,0,0,0,0,8
139,312505,2001JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
140,312505,2002JJ00,8,0,8,0,0,8,0,8,0,0,0,0,7
141,312505,2003JJ00,7,0,7,0,0,7,0,7,0,0,0,0,7
142,312505,2004JJ00,7,0,6,0,0,7,0,7,0,0,0,0,6
143,312505,2005JJ00,5,0,5,0,0,5,0,5,0,0,0,0,5
144,312505,2006JJ00,5,0,5,0,0,5,0,5,0,0,0,0,5
145,312505,2007JJ00,5,0,5,0,0,5,0,5,0,0,0,0,5
146,312505,2008JJ00,5,0,5,0,0,5,0,5,0,0,0,0,5
147,312505,2009JJ00,5,0,4,0,0,5,0,5,0,0,0,0,4
148,312505,2010JJ00,5,0,5,0,0,5,0,5,0,0,0,0,5
149,312505,2011JJ00,4,0,4,0,0,4,0,4,0,0,0,0,4
150,312505,2012JJ00,5,0,4,0,0,5,0,5,0,0,0,0,4
151,312505,2013JJ00,5,0,5,0,0,5,0,5,0,0,0,0,4
152,315810,1995JJ00,43,2,41,0,0,43,3,40,0,0,1,0,40
153,315810,1996JJ00,46,2,44,0,0,46,3,44,0,0,1,0,43
154,315810,1997JJ00,48,2,45,0,0,48,3,45,0,0,1,0,44
155,315810,1998JJ00,48,3,45,0,0,48,3,45,0,0,1,0,44
156,315810,1999JJ00,48,3,45,0,0,48,3,45,0,0,1,0,44
157,315810,2000JJ00,49,3,46,0,0,49,3,46,0,0,1,0,45
158,315810,2001JJ00,46,3,43,0,0,46,3,43,0,0,1,0,42
159,315810,2002JJ00,47,3,44,0,0,47,3,45,0,0,1,0,44
160,315810,2003JJ00,46,3,43,0,0,46,3,44,0,0,1,0,43
161,315810,2004JJ00,46,2,43,0,0,46,2,43,0,0,1,0,43
162,315810,2005JJ00,46,4,43,0,0,46,3,44,0,0,1,0,43
163,315810,2006JJ00,46,4,42,0,0,46,3,43,0,0,1,0,42
164,315810,2007JJ00,43,2,41,0,0,43,3,40,0,0,1,0,40
165,315810,2008JJ00,41,2,39,0,0,41,3,38,0,0,1,0,37
166,315810,2009JJ00,34,2,32,0,0,34,3,32,0,0,1,0,31
167,315810,2010JJ00,35,2,33,0,0,35,3,33,0,0,1,0,32
168,315810,2011JJ00,34,3,31,0,0,34,3,31,0,0,1,0,30
169,315810,2012JJ00,34,2,31,1,0,34,2,32,0,0,1,1,30
170,315810,2013JJ00,34,2,31,1,0,34,2,32,0,0,1,1,30
171,315800,1995JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
172,315800,1996JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
173,315800,1997JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
174,315800,1998JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
175,315800,1999JJ00,5,0,4,0,0,5,2,2,0,0,0,0,2
176,315800,2000JJ00,5,0,5,0,0,5,2,3,0,0,0,0,3
177,315800,2001JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
178,315800,2002JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
179,315800,2003JJ00,4,0,4,0,0,4,2,2,0,0,0,0,1
180,315800,2004JJ00,3,0,3,0,0,3,2,2,0,0,0,0,1
181,315800,2005JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
182,315800,2006JJ00,4,0,3,0,0,4,2,2,0,0,0,0,2
183,315800,2007JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
184,315800,2008JJ00,4,0,3,0,0,4,2,2,0,0,0,0,2
185,315800,2009JJ00,4,0,4,0,0,4,2,2,0,0,0,0,2
186,315800,2010JJ00,4,0,3,0,0,4,2,2,0,0,0,0,2
187,315800,2011JJ00,4,0,3,0,0,4,2,2,0,0,0,0,2
188,315800,2012JJ00,3,0,3,0,0,3,1,2,0,0,0,0,2
189,315800,2013JJ00,3,0,3,0,0,3,1,2,0,0,0,0,1
190,317100,1995JJ00,31,2,29,0,0,31,1,31,0,0,0,0,31
191,317100,1996JJ00,34,2,32,0,0,34,0,34,0,0,0,0,34
192,317100,1997JJ00,35,2,33,0,0,35,0,35,0,0,0,0,34
193,317100,1998JJ00,35,3,32,0,0,35,0,34,0,0,0,0,34
194,317100,1999JJ00,35,3,32,0,0,35,1,34,0,0,0,0,34
195,317100,2000JJ00,35,3,32,0,0,35,1,35,0,0,0,0,35
196,317100,2001JJ00,33,3,31,0,0,33,1,33,0,0,0,0,33
197,317100,2002JJ00,35,3,32,0,0,35,1,34,0,0,0,0,34
198,317100,2003JJ00,34,3,31,0,0,34,1,33,0,0,0,0,33
199,317100,2004JJ00,34,2,32,0,0,34,1,33,0,0,0,0,33
200,317100,2005JJ00,34,4,30,0,0,34,1,33,0,0,0,0,33
201,317100,2006JJ00,34,4,30,0,0,34,1,33,0,0,0,0,32
202,317100,2007JJ00,31,2,29,0,0,31,1,30,0,0,0,0,30
203,317100,2008JJ00,30,2,27,0,0,30,1,28,0,0,0,0,28
204,317100,2009JJ00,24,2,22,0,0,24,1,23,0,0,0,0,23
205,317100,2010JJ00,26,2,24,0,0,26,1,25,0,0,0,0,24
206,317100,2011JJ00,24,2,22,0,0,24,1,23,0,0,0,0,23
207,317100,2012JJ00,26,2,22,1,0,26,1,24,0,0,0,1,23
208,317100,2013JJ00,26,2,22,1,0,26,1,25,0,0,0,1,23
209,318600,1995JJ00,8,0,8,0,0,8,0,8,0,0,0,0,7
210,318600,1996JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
211,318600,1997JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
212,318600,1998JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
213,318600,1999JJ00,9,0,9,0,0,9,0,9,0,0,0,0,8
214,318600,2000JJ00,9,0,9,0,0,9,0,9,0,0,0,0,8
215,318600,2001JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
216,318600,2002JJ00,9,0,9,0,0,9,0,9,0,0,0,0,8
217,318600,2003JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
218,318600,2004JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
219,318600,2005JJ00,9,0,9,0,0,9,0,9,0,0,0,0,8
220,318600,2006JJ00,9,0,9,0,0,9,0,9,0,0,0,0,8
221,318600,2007JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
222,318600,2008JJ00,8,0,8,0,0,8,0,8,0,0,0,0,7
223,318600,2009JJ00,6,0,6,0,0,6,0,6,0,0,0,0,6
224,318600,2010JJ00,6,0,6,0,0,6,0,6,0,0,0,0,6
225,318600,2011JJ00,6,0,6,0,0,6,0,6,0,0,0,0,5
226,318600,2012JJ00,6,0,6,0,0,6,0,6,0,0,0,0,5
227,318600,2013JJ00,6,0,6,0,0,6,0,6,0,0,0,0,5
228,320000,1995JJ00,172,26,146,0,0,2795,0,2795,0,2501,0,272,22
229,320000,1996JJ00,174,29,145,0,0,2873,0,2873,0,2560,0,285,28
230,320000,1997JJ00,182,47,135,0,0,2874,0,2874,0,2551,0,288,35
231,320000,1998JJ00,191,60,131,0,0,2932,0,2932,0,2615,0,285,32
232,320000,1999JJ00,171,48,123,0,0,2873,0,2873,0,2453,0,386,33
233,320000,2000JJ00,180,59,121,0,0,2920,0,2920,0,2459,0,428,33
234,320000,2001JJ00,191,70,121,0,0,2935,0,2935,0,2465,0,438,32
235,320000,2002JJ00,173,59,114,0,0,2867,0,2867,0,2236,0,593,37
236,320000,2003JJ00,183,64,118,0,0,3019,0,3019,0,2372,0,609,38
237,320000,2004JJ00,188,64,124,0,0,3039,0,3039,0,2459,0,540,40
238,320000,2005JJ00,183,54,129,0,0,3010,0,3010,0,2469,0,497,44
239,320000,2006JJ00,187,62,125,0,0,2933,0,2933,0,2396,0,490,47
240,320000,2007JJ00,196,52,144,0,0,3121,9,3112,0,2369,0,696,47
241,320000,2008JJ00,171,39,133,0,0,2569,11,2558,0,2350,0,159,49
242,320000,2009JJ00,175,46,129,0,0,2561,11,2550,0,2309,0,187,54
243,320000,2010JJ00,177,47,130,0,0,2601,5,2595,0,2412,0,116,66
244,320000,2011JJ00,190,45,144,0,0,2563,5,2557,0,2330,0,153,75
245,320000,2012JJ00,180,46,134,0,0,2540,7,2533,0,2342,0,125,66
246,320000,2013JJ00,171,50,121,0,0,2471,8,2463,0,2225,0,173,66
247,320705,1995JJ00,640,30,293,317,0,1206,5,1201,4,186,0,667,345
248,320705,1996JJ00,607,23,293,290,0,1154,5,1149,5,171,0,637,336
249,320705,1997JJ00,628,23,284,322,0,1210,6,1204,5,172,0,689,337
250,320705,1998JJ00,616,19,286,311,0,1202,5,1197,5,168,0,689,334
251,320705,1999JJ00,661,21,299,341,0,1247,5,1243,10,185,0,709,338
252,320705,2000JJ00,686,26,284,377,0,1396,3,1393,9,206,0,842,336
253,320705,2001JJ00,689,25,286,378,0,1435,3,1431,8,215,0,889,319
254,320705,2002JJ00,707,29,302,376,0,1404,3,1401,8,258,0,818,317
255,320705,2003JJ00,754,25,310,419,0,1498,4,1495,8,222,0,944,320
256,320705,2004JJ00,783,26,315,442,0,1573,3,1570,8,234,0,998,328
257,320705,2005JJ00,837,17,310,511,0,1697,4,1693,8,243,0,1108,334
258,320705,2006JJ00,778,21,298,458,0,1586,3,1582,8,258,0,1025,292
259,320705,2007JJ00,901,18,304,580,0,1029,1,1028,8,232,1,495,292
260,320705,2008JJ00,839,15,291,534,0,946,2,944,9,213,1,439,283
261,320705,2009JJ00,824,10,273,541,0,936,2,934,7,203,0,460,263
262,320705,2010JJ00,914,12,294,608,0,1006,0,1005,7,207,0,499,292
263,320705,2011JJ00,835,13,277,545,0,916,1,915,7,204,0,422,281
264,320705,2012JJ00,875,10,294,571,0,962,2,960,7,181,0,493,279
265,320705,2013JJ00,869,14,281,574,0,960,1,960,5,189,0,486,280
266,323705,1995JJ00,43,0,41,2,0,44,0,44,2,0,1,5,36
267,323705,1996JJ00,45,0,44,1,0,46,0,46,2,0,1,4,38
268,323705,1997JJ00,45,0,44,1,0,46,0,46,2,0,1,3,40
269,323705,1998JJ00,43,0,42,1,0,44,0,44,2,0,1,3,38
270,323705,1999JJ00,45,0,44,1,0,45,0,45,2,0,1,2,39
271,323705,2000JJ00,45,0,44,1,0,46,0,46,2,0,1,2,40
272,323705,2001JJ00,45,0,45,1,0,46,0,46,2,0,1,2,41
273,323705,2002JJ00,41,0,40,1,0,42,1,41,2,0,1,1,37
274,323705,2003JJ00,40,0,40,0,0,41,1,40,2,0,1,1,36
275,323705,2004JJ00,41,0,40,1,0,42,1,40,2,0,1,1,37
276,323705,2005JJ00,41,0,41,0,0,42,1,40,1,0,1,1,37
277,323705,2006JJ00,41,0,41,0,0,41,1,40,1,0,1,1,37
278,323705,2007JJ00,42,0,42,0,0,42,1,41,2,0,1,1,37
279,323705,2008JJ00,42,0,42,0,0,42,1,41,2,0,1,1,37
280,323705,2009JJ00,37,0,37,0,0,37,1,36,1,0,1,1,33
281,323705,2010JJ00,38,0,38,0,0,38,1,37,2,0,1,1,34
282,323705,2011JJ00,35,0,35,0,0,35,1,34,1,0,1,1,31
283,323705,2012JJ00,35,0,34,0,0,35,1,34,1,0,1,1,31
284,323705,2013JJ00,33,0,33,0,0,33,1,32,1,0,1,0,30
285,323700,1995JJ00,7,0,7,0,0,7,0,7,0,0,0,0,7
286,323700,1996JJ00,7,0,7,0,0,7,0,7,0,0,0,0,7
287,323700,1997JJ00,7,0,7,0,0,7,0,7,0,0,0,0,7
288,323700,1998JJ00,7,0,7,0,0,7,0,7,0,0,0,0,7
289,323700,1999JJ00,8,0,8,0,0,8,0,8,0,0,0,0,7
290,323700,2000JJ00,8,0,8,0,0,8,0,8,0,0,0,0,7
291,323700,2001JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
292,323700,2002JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
293,323700,2003JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
294,323700,2004JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
295,323700,2005JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
296,323700,2006JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
297,323700,2007JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
298,323700,2008JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
299,323700,2009JJ00,6,0,6,0,0,6,0,6,0,0,0,0,6
300,323700,2010JJ00,6,0,6,0,0,6,0,6,0,0,0,0,6
301,323700,2011JJ00,7,0,7,0,0,7,0,7,0,0,0,0,7
302,323700,2012JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
303,323700,2013JJ00,8,0,8,0,0,8,0,8,0,0,0,0,8
304,324600,1995JJ00,36,0,34,2,0,37,0,37,2,0,0,5,29
305,324600,1996JJ00,38,0,37,1,0,38,0,38,2,0,0,4,32
306,324600,1997JJ00,38,0,37,1,0,39,0,39,2,0,1,3,33
307,324600,1998JJ00,36,0,35,1,0,37,0,37,2,0,1,3,31
308,324600,1999JJ00,37,0,36,1,0,37,0,37,2,0,1,2,32
309,324600,2000JJ00,38,0,37,1,0,38,0,38,2,0,1,2,33
310,324600,2001JJ00,37,0,36,1,0,37,0,37,2,0,1,2,32
311,324600,2002JJ00,33,0,32,1,0,33,1,33,2,0,1,1,29
312,324600,2003JJ00,32,0,32,0,0,33,1,32,2,0,1,1,29
313,324600,2004JJ00,33,0,32,1,0,33,1,32,2,0,0,1,29
314,324600,2005JJ00,33,0,32,0,0,33,1,32,1,0,0,1,29
315,324600,2006JJ00,33,0,33,0,0,33,1,32,1,0,1,1,29
316,324600,2007JJ00,34,0,34,0,0,35,1,33,2,0,1,1,30
317,324600,2008JJ00,34,0,34,0,0,34,1,33,2,0,1,1,30
318,324600,2009JJ00,31,0,31,0,0,31,1,30,1,0,0,1,27
319,324600,2010JJ00,32,0,32,0,0,32,1,31,2,0,0,1,28
320,324600,2011JJ00,28,0,28,0,0,28,1,27,1,0,0,1,24
321,324600,2012JJ00,26,0,26,0,0,27,1,26,1,0,0,1,23
322,324600,2013JJ00,24,0,24,0,0,25,1,24,1,0,0,0,22
323,328105,1995JJ00,158,17,67,74,0,290,2,288,240,0,1,-7,54
324,328105,1996JJ00,159,19,66,74,0,291,2,290,241,0,1,-7,56
325,328105,1997JJ00,162,18,67,78,0,295,2,293,242,0,1,-7,57
326,328105,1998JJ00,160,18,65,78,0,290,2,288,233,0,1,-5,59
327,328105,1999JJ00,155,15,63,77,0,266,2,264,207,0,1,-5,61
328,328105,2000JJ00,150,14,64,73,0,252,2,250,193,0,1,-5,62
329,328105,2001JJ00,154,14,63,77,0,260,2,259,203,0,1,-7,61
330,328105,2002JJ00,155,14,63,78,0,257,2,256,201,0,1,-7,60
331,328105,2003JJ00,158,14,63,81,0,264,2,262,210,0,1,-9,59
332,328105,2004JJ00,164,15,65,83,0,272,2,270,218,0,1,-10,61
333,328105,2005JJ00,163,15,65,83,0,273,2,271,217,0,1,-9,62
334,328105,2006JJ00,152,14,65,73,0,254,2,252,203,0,1,-10,58
335,328105,2007JJ00,163,15,65,84,0,272,2,270,220,0,1,-9,58
336,328105,2008JJ00,159,16,65,78,0,264,2,262,211,0,2,-10,60
337,328105,2009JJ00,129,14,57,58,0,210,2,209,169,0,1,-9,48
338,328105,2010JJ00,146,14,64,68,0,247,2,246,186,0,1,4,55
