ID,KnelpuntenVerkoop,SBI93Bedrijfsgrootte,BedrijvenZonderElektrVerkoopTotaal_1,BedrijvenZonderElekVerkoopfaciliteit_2,BedrijvenZonderElekVerkMetWebsite_3,BedrijvenMetElektrVerkoopTotaal_4,BedrijvenMetElektrVerkoop1_5
107,3, 32,10,10,10,14,15
108,3, 33,8,7,7,18,19
109,3, 34,8,7,10,14,12
110,3, 35,9,7,10,12,12
111,3, 36,7,8,7,6,9
112,3, 37,5,4,5,6,6
113,3, 38,3,5,2,14,17
114,4,  1,7,7,7,12,11
115,4,  2,8,8,7,13,13
116,4,  3,6,5,7,10,10
117,4,  4,5,4,5,5,6
118,4,  5,6,7,0,17,17
119,4,  6,5,8,0,0,0
120,4, 11,0,0,0,7,0
121,4,  7,13,14,12,11,12
122,4,  8,18,18,19,12,12
123,4,  9,6,6,6,13,15
124,4, 10,7,5,7,5,5
125,4, 12,8,9,6,27,31
126,4, 13,10,11,7,36,43
127,4, 14,5,4,5,18,9
128,4, 15,10,12,8,9,0
129,4, 16,6,4,7,13,11
130,4, 17,5,4,5,15,13
131,4, 18,6,3,10,8,7
132,4, 19,7,6,8,4,5
133,4, 20,10,12,5,10,9
134,4, 21,8,10,0,13,10
135,4, 22,18,20,16,6,8
136,4, 23,4,0,6,5,8
137,4, 24,6,5,7,10,8
138,4, 25,7,5,7,11,9
139,4, 26,6,6,6,8,7
140,4, 27,7,8,4,7,9
141,4, 28,3,3,4,6,6
142,4, 29,2,2,2,6,5
143,4, 30,5,4,7,9,12
144,4, 31,2,1,4,1,0
145,4, 32,8,9,7,14,13
146,4, 33,7,6,6,13,12
147,4, 34,5,4,6,11,11
148,4, 35,10,11,9,7,8
149,4, 36,5,5,5,5,7
150,4, 37,5,2,6,4,4
151,4, 38,5,5,3,5,4
152,5,  1,19,17,21,15,14
153,5,  2,19,18,19,14,12
154,5,  3,20,16,23,17,18
155,5,  4,19,15,22,16,17
156,5,  5,14,11,43,24,29
157,5,  6,33,36,24,34,41
158,5, 11,6,13,0,16,32
159,5,  7,27,28,25,18,18
160,5,  8,28,29,27,16,15
161,5,  9,26,26,20,23,23
162,5, 10,26,23,27,17,17
163,5, 12,20,19,23,17,18
164,5, 13,20,19,23,15,17
165,5, 14,18,18,18,18,17
166,5, 15,44,38,49,41,55
167,5, 16,23,22,24,16,13
168,5, 17,23,23,21,15,10
169,5, 18,24,17,31,20,22
170,5, 19,21,19,23,10,9
171,5, 20,18,17,19,8,9
172,5, 21,16,18,10,9,11
173,5, 22,23,15,36,4,4
174,5, 23,23,21,24,17,19
175,5, 24,15,11,18,12,12
176,5, 25,15,10,17,11,12
177,5, 26,16,11,21,11,10
178,5, 27,21,20,22,20,19
179,5, 28,8,6,11,11,12
180,5, 29,7,5,10,10,9
181,5, 30,10,7,14,13,16
182,5, 31,8,7,11,12,22
183,5, 32,20,19,20,14,14
184,5, 33,17,16,18,13,11
185,5, 34,20,16,24,18,19
186,5, 35,19,18,20,15,15
187,5, 36,20,16,24,17,19
188,5, 37,17,13,19,17,17
189,5, 38,21,20,22,11,11
190,6,  1,20,18,20,16,16
191,6,  2,20,20,18,14,14
192,6,  3,20,15,25,19,19
193,6,  4,19,15,22,19,18
194,6,  5,18,16,36,18,15
195,6,  6,41,40,37,29,34
196,6, 11,10,20,0,34,49
197,6,  7,22,24,21,18,20
198,6,  8,20,25,14,14,14
199,6,  9,25,23,27,25,30
200,6, 10,26,24,26,18,17
201,6, 12,24,21,31,9,7
202,6, 13,22,21,22,0,0
203,6, 14,27,17,39,17,16
204,6, 15,40,35,44,36,53
205,6, 16,25,24,23,16,14
206,6, 17,26,28,20,14,12
207,6, 18,21,12,29,22,16
208,6, 19,23,20,26,18,18
209,6, 20,16,18,13,12,14
210,6, 21,15,18,6,8,11
211,6, 22,20,18,26,15,18
212,6, 23,27,36,24,25,22
213,6, 24,18,12,21,16,18
214,6, 25,18,12,22,17,19
215,6, 26,15,11,17,13,13
216,6, 27,27,14,30,14,12
217,6, 28,8,8,8,13,15
218,6, 29,7,8,5,13,15
219,6, 30,10,7,13,12,13
220,6, 31,6,6,7,16,22
221,6, 32,20,21,16,13,13
222,6, 33,20,19,19,15,15
223,6, 34,18,13,24,21,22
224,6, 35,24,18,27,15,13
225,6, 36,22,17,26,20,21
226,6, 37,16,11,20,17,15
227,6, 38,16,14,16,17,16
228,7,  1,26,22,30,18,18
229,7,  2,25,21,29,18,18
230,7,  3,28,23,32,20,20
231,7,  4,29,26,31,15,14
232,7,  5,26,22,55,10,14
233,7,  6,46,46,42,26,30
234,7, 11,18,37,0,25,32
235,7,  7,30,31,28,20,20
236,7,  8,27,33,16,19,20
237,7,  9,34,24,43,22,23
238,7, 10,33,42,30,18,15
239,7, 12,28,24,36,28,30
240,7, 13,23,21,30,26,30
241,7, 14,35,33,39,29,30
242,7, 15,54,49,59,51,55
243,7, 16,25,20,31,21,19
244,7, 17,27,21,34,21,19
245,7, 18,22,15,28,22,20
246,7, 19,19,13,22,7,6
247,7, 20,22,21,22,14,16
248,7, 21,21,22,20,15,18
249,7, 22,23,18,28,13,14
250,7, 23,26,36,23,11,15
251,7, 24,28,19,33,16,16
252,7, 25,28,18,33,16,16
253,7, 26,28,23,31,13,14
254,7, 27,33,25,38,22,22
255,7, 28,19,18,22,11,10
256,7, 29,17,15,21,10,8
257,7, 30,23,22,23,15,17
258,7, 31,22,18,25,7,7
259,7, 32,24,20,32,17,19
260,7, 33,26,24,26,19,16
261,7, 34,25,21,29,21,21
262,7, 35,34,28,37,16,17
263,7, 36,30,29,31,16,17
264,7, 37,23,20,25,17,15
265,7, 38,35,28,38,11,7
