ID,Periode,Totaal_1,KredietMetVasteLooptijd_2,DoorlopendeKredietfaciliteiten_3,Totaal_4,KredietMetVasteLooptijd_5,DoorlopendeKredietfaciliteiten_6,Totaal_7,KredietMetVasteLooptijd_8,DoorlopendeKredietfaciliteiten_9,Totaal_10,KredietMetVasteLooptijd_11,DoorlopendeKredietfaciliteiten_12,Totaal_13,KredietMetVasteLooptijd_14,DoorlopendeKredietfaciliteiten_15,Totaal_16,KredietMetVasteLooptijd_17,DoorlopendeKredietfaciliteiten_18,Totaal_19,VasteGeldleningen_20,DoorlopendGeldkrediet_21,SomDerToegezegdeLimieten_22,Totaal_23,VasteGeldleningen_24,DoorlopendGeldkrediet_25,SomDerToegezegdeLimieten_26,Totaal_27,VasteGeldleningen_28,VastGoederenkrediet_29,DoorlopendGeldkrediet_30,SomDerToegezegdeLimieten_31,Totaal_32,SomDerToegezegdeLimieten_33,Totaal_34,SomDerToegezegdeLimieten_35,Totaal_36,KredietenMetVasteLooptijd_37,DoorlopendeKredietfaciliteiten_38,SomDerToegezegdeLimieten_39,Totaal_40,VasteGeldleningen_41,DoorlopendGeldkrediet_42,SomDerToegezegdeLimieten_43,Totaal_44,VasteGeldleningen_45,DoorlopendGeldkrediet_46,SomDerToegezegdeLimieten_47,Totaal_48,VasteGeldleningen_49,VastGoederenkrediet_50,DoorlopendGeldkrediet_51,SomDerToegezegdeLimieten_52,Totaal_53,SomDerToegezegdeLimieten_54,Totaal_55,SomDerToegezegdeLimieten_56,Totaal_57,KredietenMetVasteLooptijd_58,DoorlopendeKredietfaciliteiten_59,SomDerToegezegdeLimieten_60,Totaal_61,VasteGeldleningen_62,DoorlopendGeldkrediet_63,Totaal_64,VasteGeldleningen_65,DoorlopendGeldkrediet_66,Totaal_67,VasteGeldleningen_68,VastGoederenkrediet_69,DoorlopendGeldkrediet_70,Postorderbedrijven_71,CreditCardOrganisaties_72,Totaal_73,KredietenMetVasteLooptijd_74,DoorlopendeKredietfaciliteiten_75,Totaal_76,VasteGeldleningen_77,DoorlopendGeldkrediet_78,Totaal_79,VasteGeldleningen_80,DoorlopendGeldkrediet_81,Totaal_82,VasteGeldleningen_83,VastGoederenkrediet_84,DoorlopendGeldkrediet_85,Postorderbedrijven_86,CreditCardOrganisaties_87,Totaal_88,KredietenMetVasteLooptijd_89,DoorlopendeKredietfaciliteiten_90,TotaalGemeentelijkeKredietbanken_91,TotaalBanken_92,TotaalFinancieringsmaatschappijen_93,TotaalAlleMaatschappijen_94,TotaalGemeentelijkeKredietbanken_95,TotaalBanken_96,TotaalFinancieringsmaatschappijen_97,TotaalAlleMaatschappijen_98
33,1995MM10,10074,3472,6602,602,141,461,695,176,520,93,34,59,656,220,437,10112,3428,6685,388,326,61,82,4060,910,3150,5352,5134,1427,765,2942,4050,323,2425,208,2560,10112,3428,6685,14470,188,177,11,11,853,181,671,775,864,230,137,498,566,896,3342,687,2136,3488,725,2763,6831,21,17,4,224,39,185,253,46,39,168,33,71,602,141,461,25,20,4,259,49,211,300,59,47,193,38,74,695,176,520,17,39,46,102,7,7,7,21
34,1995MM11,10112,3428,6685,606,143,462,698,180,518,92,37,56,639,194,445,10171,3414,6758,388,326,62,83,4087,905,3182,5384,5161,1407,776,2979,4060,323,2361,212,2579,10171,3414,6758,14467,188,177,11,11,856,181,675,781,863,226,137,501,565,885,3235,682,2154,3474,720,2754,6747,22,18,4,230,40,190,260,48,37,174,25,70,606,143,462,25,21,5,264,49,214,306,63,46,197,30,74,698,180,518,18,40,48,106,8,7,7,22
35,1995MM12,10171,3414,6758,510,112,398,593,140,452,83,28,54,635,217,418,10129,3337,6792,386,323,63,84,4093,886,3207,5419,5113,1384,743,2985,4062,321,2366,216,2585,10129,3337,6792,14517,185,173,12,12,848,176,672,783,856,222,135,500,560,865,3186,676,2154,3431,707,2724,6694,16,13,3,216,38,178,187,37,24,125,23,69,510,112,398,20,15,4,249,46,202,226,48,29,148,27,71,593,140,452,13,38,37,88,5,6,6,17
36,1996MM01,10129,3337,6792,560,140,420,655,176,479,95,35,60,668,205,463,10116,3308,6809,385,321,64,87,4100,884,3216,5451,5093,1360,743,2991,4119,325,2345,213,2591,10116,3308,6809,14593,187,175,12,12,837,176,661,787,855,219,137,499,552,898,3158,677,2162,3453,707,2746,6671,19,15,4,215,42,174,229,44,39,146,32,65,560,140,420,22,18,4,252,54,198,274,57,47,170,36,71,655,176,479,15,42,44,102,6,8,7,21
37,1996MM02,10116,3308,6809,538,138,400,628,171,457,90,33,57,611,171,440,10133,3308,6825,385,320,64,88,4110,885,3225,5487,5100,1355,747,2997,4146,328,2337,211,2592,10133,3308,6825,14649,187,175,12,12,841,177,664,792,852,214,137,502,554,906,3132,667,2171,3453,702,2751,6661,19,15,4,205,40,165,226,44,39,143,28,61,538,138,400,23,19,4,238,49,189,269,57,46,165,32,66,628,171,457,15,40,44,99,6,8,7,20
38,1996MM03,10133,3308,6825,590,150,440,680,185,495,89,35,54,647,192,455,10166,3301,6865,386,321,65,87,4132,891,3241,5526,5105,1342,747,3016,4153,328,2329,215,2585,10166,3301,6865,14680,184,172,12,12,841,177,665,795,859,215,136,508,558,881,3098,662,2164,3428,700,2728,6628,21,17,4,239,48,190,233,53,32,149,27,70,590,150,440,25,20,5,272,59,213,276,67,39,170,31,75,680,185,495,17,48,53,118,7,9,8,23
39,1996MM04,10166,3301,6865,600,140,460,688,173,515,88,33,55,632,180,452,10223,3294,6929,388,321,67,90,4174,894,3281,5566,5119,1331,748,3039,4181,328,2319,214,2590,10223,3294,6929,14745,185,173,12,12,847,177,670,800,858,213,134,510,559,876,3058,667,2174,3433,697,2736,6603,20,15,5,236,42,195,242,49,34,159,28,74,600,140,460,23,18,5,269,51,218,284,62,42,181,33,79,688,173,515,15,42,49,105,6,7,7,21
40,1996MM05,10223,3294,6929,601,143,458,693,176,517,92,32,59,645,170,475,10271,3300,6971,385,318,68,91,4188,898,3291,5605,5148,1332,753,3063,4218,334,2305,216,2530,10271,3300,6971,14751,184,172,12,12,854,178,676,802,863,212,134,516,563,898,3012,659,2134,3458,696,2763,6523,19,15,4,241,45,196,236,46,37,152,27,79,601,143,458,22,17,5,274,55,219,280,59,44,177,32,85,693,176,517,15,45,46,106,6,8,7,21
41,1996MM06,10271,3300,6971,529,137,393,620,169,451,91,33,59,654,173,481,10238,3296,6942,386,318,68,93,4167,900,3267,5635,5142,1328,750,3064,4230,328,2288,215,2559,10238,3296,6942,14806,184,172,12,12,851,177,674,806,867,212,134,520,564,872,2960,661,2157,3435,696,2738,6499,18,15,4,202,39,163,213,46,37,130,22,74,529,137,393,21,17,5,233,48,186,259,61,44,155,27,80,620,169,451,15,39,46,100,6,7,7,20
42,1996MM07,10238,3296,6942,629,156,473,722,190,532,93,34,59,688,185,503,10271,3300,6971,387,318,69,95,4184,903,3281,5661,5161,1331,749,3081,4261,323,2265,217,2576,10271,3300,6971,14858,183,170,13,13,853,178,675,808,872,214,134,525,567,856,2915,644,2171,3408,695,2712,6474,22,17,5,241,46,195,242,54,39,150,24,99,629,156,473,26,20,5,275,56,218,288,67,46,175,29,105,722,190,532,18,46,54,117,7,8,8,24
