ID,Melkvee,GrootveeEenheid,RegioS,Perioden,AlleDieren_1,WeidendeDieren_2,AlleDieren_3,WeidendeDieren_4,BedrijvenZonderWeidegang_5,DierenZonderWeidegang_6,BedrijvenMetWeidegang_7,DierenMetWeidegang_8,UrenBijDagEnNachtWeiden_9,UrenBijBeperktWeiden_10,DagEnNachtWeiden_11,OverdagWeiden_12
96,A028973,T001355,PV25  ,2016JJ00,,,,,17.0,39.0,83.0,61.0,,,,
97,A028973,T001355,PV25  ,2017JJ00,,,,,17.0,38.0,83.0,62.0,,,,
98,A028973,T001355,PV25  ,2018JJ00,,,,,16.0,37.0,84.0,63.0,,,,
99,A028973,T001355,PV25  ,2019JJ00,,,,,15.0,36.0,85.0,64.0,,,,
100,A028973,T001355,PV25  ,2020JJ00,,,,,15.0,36.0,85.0,64.0,,,,
101,A028973,T001355,PV25  ,2021JJ00,,,,,15.0,35.0,85.0,65.0,,,,
102,A028973,T001355,PV25  ,2022JJ00,,,,,16.0,36.0,84.0,64.0,,,,
103,A028973,T001355,PV25  ,2023JJ00,,,,,16.0,36.0,84.0,64.0,,,,
104,A028973,T001355,PV25  ,2024JJ00,,,,,19.0,39.0,81.0,61.0,,,,
105,A028973,T001355,PV26  ,2010JJ00,,,,,,,,,,,,
106,A028973,T001355,PV26  ,2011JJ00,,,,,6.0,19.0,94.0,81.0,,,,
107,A028973,T001355,PV26  ,2012JJ00,,,,,6.0,20.0,94.0,80.0,,,,
108,A028973,T001355,PV26  ,2013JJ00,,,,,,,,,,,,
109,A028973,T001355,PV26  ,2014JJ00,,,,,,,,,,,,
110,A028973,T001355,PV26  ,2015JJ00,,,,,,,,,,,,
111,A028973,T001355,PV26  ,2016JJ00,,,,,9.0,23.0,91.0,77.0,,,,
112,A028973,T001355,PV26  ,2017JJ00,,,,,9.0,22.0,91.0,78.0,,,,
113,A028973,T001355,PV26  ,2018JJ00,,,,,7.0,20.0,93.0,80.0,,,,
114,A028973,T001355,PV26  ,2019JJ00,,,,,7.0,19.0,93.0,81.0,,,,
115,A028973,T001355,PV26  ,2020JJ00,,,,,7.0,19.0,93.0,81.0,,,,
116,A028973,T001355,PV26  ,2021JJ00,,,,,6.0,20.0,94.0,80.0,,,,
117,A028973,T001355,PV26  ,2022JJ00,,,,,7.0,19.0,93.0,81.0,,,,
118,A028973,T001355,PV26  ,2023JJ00,,,,,7.0,20.0,93.0,80.0,,,,
119,A028973,T001355,PV26  ,2024JJ00,,,,,8.0,21.0,92.0,79.0,,,,
120,A028973,T001355,PV27  ,2010JJ00,,,,,,,,,,,,
121,A028973,T001355,PV27  ,2011JJ00,,,,,4.0,15.0,96.0,85.0,,,,
122,A028973,T001355,PV27  ,2012JJ00,,,,,4.0,15.0,96.0,85.0,,,,
123,A028973,T001355,PV27  ,2013JJ00,,,,,,,,,,,,
124,A028973,T001355,PV27  ,2014JJ00,,,,,,,,,,,,
125,A028973,T001355,PV27  ,2015JJ00,,,,,,,,,,,,
126,A028973,T001355,PV27  ,2016JJ00,,,,,5.0,17.0,95.0,83.0,,,,
127,A028973,T001355,PV27  ,2017JJ00,,,,,5.0,15.0,95.0,85.0,,,,
128,A028973,T001355,PV27  ,2018JJ00,,,,,4.0,15.0,96.0,85.0,,,,
129,A028973,T001355,PV27  ,2019JJ00,,,,,4.0,14.0,96.0,86.0,,,,
130,A028973,T001355,PV27  ,2020JJ00,,,,,3.0,14.0,97.0,86.0,,,,
131,A028973,T001355,PV27  ,2021JJ00,,,,,4.0,14.0,96.0,86.0,,,,
132,A028973,T001355,PV27  ,2022JJ00,,,,,4.0,14.0,96.0,86.0,,,,
133,A028973,T001355,PV27  ,2023JJ00,,,,,5.0,14.0,95.0,86.0,,,,
134,A028973,T001355,PV27  ,2024JJ00,,,,,5.0,15.0,95.0,85.0,,,,
135,A028973,T001355,PV28  ,2010JJ00,,,,,,,,,,,,
136,A028973,T001355,PV28  ,2011JJ00,,,,,3.0,14.0,97.0,86.0,,,,
137,A028973,T001355,PV28  ,2012JJ00,,,,,4.0,15.0,96.0,85.0,,,,
138,A028973,T001355,PV28  ,2013JJ00,,,,,,,,,,,,
139,A028973,T001355,PV28  ,2014JJ00,,,,,,,,,,,,
140,A028973,T001355,PV28  ,2015JJ00,,,,,,,,,,,,
141,A028973,T001355,PV28  ,2016JJ00,,,,,5.0,19.0,95.0,81.0,,,,
142,A028973,T001355,PV28  ,2017JJ00,,,,,5.0,16.0,95.0,84.0,,,,
143,A028973,T001355,PV28  ,2018JJ00,,,,,4.0,16.0,96.0,84.0,,,,
144,A028973,T001355,PV28  ,2019JJ00,,,,,4.0,16.0,96.0,84.0,,,,
145,A028973,T001355,PV28  ,2020JJ00,,,,,4.0,16.0,96.0,84.0,,,,
146,A028973,T001355,PV28  ,2021JJ00,,,,,4.0,16.0,96.0,84.0,,,,
147,A028973,T001355,PV28  ,2022JJ00,,,,,4.0,16.0,96.0,84.0,,,,
148,A028973,T001355,PV28  ,2023JJ00,,,,,5.0,17.0,95.0,83.0,,,,
149,A028973,T001355,PV28  ,2024JJ00,,,,,6.0,20.0,94.0,80.0,,,,
150,A028973,T001355,PV29  ,2010JJ00,,,,,,,,,,,,
151,A028973,T001355,PV29  ,2011JJ00,,,,,19.0,42.0,81.0,58.0,,,,
152,A028973,T001355,PV29  ,2012JJ00,,,,,19.0,42.0,81.0,58.0,,,,
153,A028973,T001355,PV29  ,2013JJ00,,,,,,,,,,,,
154,A028973,T001355,PV29  ,2014JJ00,,,,,,,,,,,,
155,A028973,T001355,PV29  ,2015JJ00,,,,,,,,,,,,
156,A028973,T001355,PV29  ,2016JJ00,,,,,19.0,50.0,81.0,50.0,,,,
157,A028973,T001355,PV29  ,2017JJ00,,,,,20.0,49.0,80.0,51.0,,,,
158,A028973,T001355,PV29  ,2018JJ00,,,,,19.0,45.0,81.0,55.0,,,,
159,A028973,T001355,PV29  ,2019JJ00,,,,,18.0,45.0,82.0,55.0,,,,
160,A028973,T001355,PV29  ,2020JJ00,,,,,20.0,45.0,80.0,55.0,,,,
161,A028973,T001355,PV29  ,2021JJ00,,,,,18.0,44.0,82.0,56.0,,,,
162,A028973,T001355,PV29  ,2022JJ00,,,,,18.0,43.0,82.0,57.0,,,,
163,A028973,T001355,PV29  ,2023JJ00,,,,,20.0,45.0,80.0,55.0,,,,
164,A028973,T001355,PV29  ,2024JJ00,,,,,19.0,44.0,81.0,56.0,,,,
165,A028973,T001355,PV30  ,2010JJ00,,,,,,,,,,,,
166,A028973,T001355,PV30  ,2011JJ00,,,,,27.0,51.0,73.0,49.0,,,,
167,A028973,T001355,PV30  ,2012JJ00,,,,,29.0,53.0,71.0,47.0,,,,
168,A028973,T001355,PV30  ,2013JJ00,,,,,,,,,,,,
169,A028973,T001355,PV30  ,2014JJ00,,,,,,,,,,,,
170,A028973,T001355,PV30  ,2015JJ00,,,,,,,,,,,,
171,A028973,T001355,PV30  ,2016JJ00,,,,,34.0,60.0,66.0,40.0,,,,
172,A028973,T001355,PV30  ,2017JJ00,,,,,34.0,58.0,66.0,42.0,,,,
173,A028973,T001355,PV30  ,2018JJ00,,,,,31.0,55.0,69.0,45.0,,,,
174,A028973,T001355,PV30  ,2019JJ00,,,,,30.0,53.0,70.0,47.0,,,,
175,A028973,T001355,PV30  ,2020JJ00,,,,,29.0,53.0,71.0,47.0,,,,
176,A028973,T001355,PV30  ,2021JJ00,,,,,29.0,52.0,71.0,48.0,,,,
177,A028973,T001355,PV30  ,2022JJ00,,,,,29.0,53.0,71.0,47.0,,,,
178,A028973,T001355,PV30  ,2023JJ00,,,,,32.0,55.0,68.0,45.0,,,,
179,A028973,T001355,PV30  ,2024JJ00,,,,,36.0,59.0,64.0,41.0,,,,
180,A028973,T001355,PV31  ,2010JJ00,,,,,,,,,,,,
181,A028973,T001355,PV31  ,2011JJ00,,,,,15.0,39.0,85.0,61.0,,,,
182,A028973,T001355,PV31  ,2012JJ00,,,,,15.0,41.0,85.0,59.0,,,,
183,A028973,T001355,PV31  ,2013JJ00,,,,,,,,,,,,
184,A028973,T001355,PV31  ,2014JJ00,,,,,,,,,,,,
185,A028973,T001355,PV31  ,2015JJ00,,,,,,,,,,,,
186,A028973,T001355,PV31  ,2016JJ00,,,,,21.0,50.0,79.0,50.0,,,,
187,A028973,T001355,PV31  ,2017JJ00,,,,,21.0,51.0,79.0,49.0,,,,
188,A028973,T001355,PV31  ,2018JJ00,,,,,19.0,50.0,81.0,50.0,,,,
189,A028973,T001355,PV31  ,2019JJ00,,,,,19.0,50.0,81.0,50.0,,,,
190,A028973,T001355,PV31  ,2020JJ00,,,,,19.0,50.0,81.0,50.0,,,,
191,A028973,T001355,PV31  ,2021JJ00,,,,,19.0,51.0,81.0,49.0,,,,
192,A028973,T001355,PV31  ,2022JJ00,,,,,20.0,50.0,80.0,50.0,,,,
193,A028973,T001355,PV31  ,2023JJ00,,,,,20.0,49.0,80.0,51.0,,,,
194,A028973,T001355,PV31  ,2024JJ00,,,,,23.0,53.0,77.0,47.0,,,,
195,A028973,A043826,NL01  ,2010JJ00,,,,,,,,,,,,
196,A028973,A043826,NL01  ,2011JJ00,,,,,11.0,19.0,89.0,81.0,,,,
197,A028973,A043826,NL01  ,2012JJ00,,,,,12.0,20.0,88.0,80.0,,,,
198,A028973,A043826,NL01  ,2013JJ00,,,,,,,,,,,,
199,A028973,A043826,NL01  ,2014JJ00,,,,,,,,,,,,
200,A028973,A043826,NL01  ,2015JJ00,,,,,,,,,,,,
201,A028973,A043826,NL01  ,2016JJ00,,,,,15.0,25.0,85.0,75.0,,,,
202,A028973,A043826,NL01  ,2017JJ00,,,,,18.0,27.0,82.0,73.0,,,,
203,A028973,A043826,NL01  ,2018JJ00,,,,,16.0,24.0,84.0,76.0,,,,
204,A028973,A043826,NL01  ,2019JJ00,,,,,16.0,25.0,84.0,75.0,,,,
205,A028973,A043826,NL01  ,2020JJ00,,,,,17.0,26.0,83.0,74.0,,,,
206,A028973,A043826,NL01  ,2021JJ00,,,,,18.0,27.0,82.0,73.0,,,,
207,A028973,A043826,NL01  ,2022JJ00,,,,,19.0,28.0,81.0,72.0,,,,
208,A028973,A043826,NL01  ,2023JJ00,,,,,21.0,30.0,79.0,70.0,,,,
209,A028973,A043826,NL01  ,2024JJ00,,,,,22.0,31.0,78.0,69.0,,,,
210,A028973,A043826,PV20  ,2010JJ00,,,,,,,,,,,,
211,A028973,A043826,PV20  ,2011JJ00,,,,,8.0,12.0,92.0,88.0,,,,
212,A028973,A043826,PV20  ,2012JJ00,,,,,11.0,18.0,89.0,82.0,,,,
213,A028973,A043826,PV20  ,2013JJ00,,,,,,,,,,,,
214,A028973,A043826,PV20  ,2014JJ00,,,,,,,,,,,,
215,A028973,A043826,PV20  ,2015JJ00,,,,,,,,,,,,
216,A028973,A043826,PV20  ,2016JJ00,,,,,10.0,19.0,90.0,81.0,,,,
217,A028973,A043826,PV20  ,2017JJ00,,,,,14.0,21.0,86.0,79.0,,,,
218,A028973,A043826,PV20  ,2018JJ00,,,,,15.0,22.0,85.0,78.0,,,,
219,A028973,A043826,PV20  ,2019JJ00,,,,,13.0,18.0,87.0,82.0,,,,
220,A028973,A043826,PV20  ,2020JJ00,,,,,15.0,19.0,85.0,81.0,,,,
221,A028973,A043826,PV20  ,2021JJ00,,,,,20.0,30.0,80.0,70.0,,,,
222,A028973,A043826,PV20  ,2022JJ00,,,,,11.0,18.0,89.0,82.0,,,,
223,A028973,A043826,PV20  ,2023JJ00,,,,,16.0,26.0,84.0,74.0,,,,
224,A028973,A043826,PV20  ,2024JJ00,,,,,14.0,23.0,86.0,77.0,,,,
225,A028973,A043826,PV21  ,2010JJ00,,,,,,,,,,,,
226,A028973,A043826,PV21  ,2011JJ00,,,,,14.0,21.0,86.0,79.0,,,,
227,A028973,A043826,PV21  ,2012JJ00,,,,,16.0,25.0,84.0,75.0,,,,
228,A028973,A043826,PV21  ,2013JJ00,,,,,,,,,,,,
229,A028973,A043826,PV21  ,2014JJ00,,,,,,,,,,,,
230,A028973,A043826,PV21  ,2015JJ00,,,,,,,,,,,,
231,A028973,A043826,PV21  ,2016JJ00,,,,,20.0,33.0,80.0,67.0,,,,
232,A028973,A043826,PV21  ,2017JJ00,,,,,22.0,35.0,78.0,65.0,,,,
233,A028973,A043826,PV21  ,2018JJ00,,,,,20.0,30.0,80.0,70.0,,,,
234,A028973,A043826,PV21  ,2019JJ00,,,,,21.0,34.0,79.0,66.0,,,,
235,A028973,A043826,PV21  ,2020JJ00,,,,,22.0,31.0,78.0,69.0,,,,
236,A028973,A043826,PV21  ,2021JJ00,,,,,20.0,31.0,80.0,69.0,,,,
237,A028973,A043826,PV21  ,2022JJ00,,,,,28.0,37.0,72.0,63.0,,,,
238,A028973,A043826,PV21  ,2023JJ00,,,,,27.0,37.0,73.0,63.0,,,,
239,A028973,A043826,PV21  ,2024JJ00,,,,,28.0,36.0,72.0,64.0,,,,
240,A028973,A043826,PV22  ,2010JJ00,,,,,,,,,,,,
241,A028973,A043826,PV22  ,2011JJ00,,,,,12.0,20.0,88.0,80.0,,,,
242,A028973,A043826,PV22  ,2012JJ00,,,,,11.0,16.0,89.0,84.0,,,,
243,A028973,A043826,PV22  ,2013JJ00,,,,,,,,,,,,
244,A028973,A043826,PV22  ,2014JJ00,,,,,,,,,,,,
245,A028973,A043826,PV22  ,2015JJ00,,,,,,,,,,,,
246,A028973,A043826,PV22  ,2016JJ00,,,,,17.0,25.0,83.0,75.0,,,,
247,A028973,A043826,PV22  ,2017JJ00,,,,,20.0,31.0,80.0,69.0,,,,
248,A028973,A043826,PV22  ,2018JJ00,,,,,21.0,27.0,79.0,73.0,,,,
249,A028973,A043826,PV22  ,2019JJ00,,,,,18.0,25.0,82.0,75.0,,,,
250,A028973,A043826,PV22  ,2020JJ00,,,,,15.0,21.0,85.0,79.0,,,,
251,A028973,A043826,PV22  ,2021JJ00,,,,,19.0,27.0,81.0,73.0,,,,
252,A028973,A043826,PV22  ,2022JJ00,,,,,21.0,29.0,79.0,71.0,,,,
253,A028973,A043826,PV22  ,2023JJ00,,,,,26.0,37.0,74.0,63.0,,,,
254,A028973,A043826,PV22  ,2024JJ00,,,,,31.0,35.0,69.0,65.0,,,,
255,A028973,A043826,PV23  ,2010JJ00,,,,,,,,,,,,
256,A028973,A043826,PV23  ,2011JJ00,,,,,10.0,17.0,90.0,83.0,,,,
257,A028973,A043826,PV23  ,2012JJ00,,,,,12.0,19.0,88.0,81.0,,,,
258,A028973,A043826,PV23  ,2013JJ00,,,,,,,,,,,,
259,A028973,A043826,PV23  ,2014JJ00,,,,,,,,,,,,
260,A028973,A043826,PV23  ,2015JJ00,,,,,,,,,,,,
261,A028973,A043826,PV23  ,2016JJ00,,,,,15.0,21.0,85.0,79.0,,,,
262,A028973,A043826,PV23  ,2017JJ00,,,,,17.0,23.0,83.0,77.0,,,,
263,A028973,A043826,PV23  ,2018JJ00,,,,,14.0,21.0,86.0,79.0,,,,
264,A028973,A043826,PV23  ,2019JJ00,,,,,14.0,21.0,86.0,79.0,,,,
265,A028973,A043826,PV23  ,2020JJ00,,,,,15.0,23.0,85.0,77.0,,,,
266,A028973,A043826,PV23  ,2021JJ00,,,,,16.0,24.0,84.0,76.0,,,,
267,A028973,A043826,PV23  ,2022JJ00,,,,,19.0,28.0,81.0,72.0,,,,
268,A028973,A043826,PV23  ,2023JJ00,,,,,22.0,30.0,78.0,70.0,,,,
269,A028973,A043826,PV23  ,2024JJ00,,,,,23.0,31.0,77.0,69.0,,,,
270,A028973,A043826,PV24  ,2010JJ00,,,,,,,,,,,,
271,A028973,A043826,PV24  ,2011JJ00,,,,,50.0,60.0,50.0,40.0,,,,
272,A028973,A043826,PV24  ,2012JJ00,,,,,55.0,60.0,45.0,40.0,,,,
273,A028973,A043826,PV24  ,2013JJ00,,,,,,,,,,,,
274,A028973,A043826,PV24  ,2014JJ00,,,,,,,,,,,,
275,A028973,A043826,PV24  ,2015JJ00,,,,,,,,,,,,
276,A028973,A043826,PV24  ,2016JJ00,,,,,53.0,63.0,47.0,37.0,,,,
277,A028973,A043826,PV24  ,2017JJ00,,,,,64.0,66.0,36.0,34.0,,,,
278,A028973,A043826,PV24  ,2018JJ00,,,,,65.0,71.0,35.0,29.0,,,,
279,A028973,A043826,PV24  ,2019JJ00,,,,,71.0,80.0,29.0,20.0,,,,
280,A028973,A043826,PV24  ,2020JJ00,,,,,75.0,85.0,25.0,15.0,,,,
281,A028973,A043826,PV24  ,2021JJ00,,,,,64.0,74.0,36.0,26.0,,,,
282,A028973,A043826,PV24  ,2022JJ00,,,,,67.0,75.0,33.0,25.0,,,,
283,A028973,A043826,PV24  ,2023JJ00,,,,,75.0,81.0,25.0,19.0,,,,
284,A028973,A043826,PV24  ,2024JJ00,,,,,79.0,83.0,21.0,17.0,,,,
285,A028973,A043826,PV25  ,2010JJ00,,,,,,,,,,,,
286,A028973,A043826,PV25  ,2011JJ00,,,,,11.0,18.0,89.0,82.0,,,,
287,A028973,A043826,PV25  ,2012JJ00,,,,,10.0,18.0,90.0,82.0,,,,
288,A028973,A043826,PV25  ,2013JJ00,,,,,,,,,,,,
289,A028973,A043826,PV25  ,2014JJ00,,,,,,,,,,,,
290,A028973,A043826,PV25  ,2015JJ00,,,,,,,,,,,,
291,A028973,A043826,PV25  ,2016JJ00,,,,,13.0,22.0,87.0,78.0,,,,
292,A028973,A043826,PV25  ,2017JJ00,,,,,15.0,24.0,85.0,76.0,,,,
293,A028973,A043826,PV25  ,2018JJ00,,,,,14.0,24.0,86.0,76.0,,,,
294,A028973,A043826,PV25  ,2019JJ00,,,,,14.0,26.0,86.0,74.0,,,,
295,A028973,A043826,PV25  ,2020JJ00,,,,,15.0,26.0,85.0,74.0,,,,
296,A028973,A043826,PV25  ,2021JJ00,,,,,16.0,27.0,84.0,73.0,,,,
297,A028973,A043826,PV25  ,2022JJ00,,,,,17.0,27.0,83.0,73.0,,,,
298,A028973,A043826,PV25  ,2023JJ00,,,,,18.0,27.0,82.0,73.0,,,,
299,A028973,A043826,PV25  ,2024JJ00,,,,,21.0,31.0,79.0,69.0,,,,
300,A028973,A043826,PV26  ,2010JJ00,,,,,,,,,,,,
301,A028973,A043826,PV26  ,2011JJ00,,,,,4.0,8.0,96.0,92.0,,,,
302,A028973,A043826,PV26  ,2012JJ00,,,,,5.0,8.0,95.0,92.0,,,,
303,A028973,A043826,PV26  ,2013JJ00,,,,,,,,,,,,
304,A028973,A043826,PV26  ,2014JJ00,,,,,,,,,,,,
305,A028973,A043826,PV26  ,2015JJ00,,,,,,,,,,,,
306,A028973,A043826,PV26  ,2016JJ00,,,,,8.0,15.0,92.0,85.0,,,,
307,A028973,A043826,PV26  ,2017JJ00,,,,,11.0,16.0,89.0,84.0,,,,
308,A028973,A043826,PV26  ,2018JJ00,,,,,7.0,13.0,93.0,87.0,,,,
309,A028973,A043826,PV26  ,2019JJ00,,,,,8.0,15.0,92.0,85.0,,,,
310,A028973,A043826,PV26  ,2020JJ00,,,,,8.0,16.0,92.0,84.0,,,,
