ID,SectorBranchSIC2008,Periods,NaturalGasDelivered_1,ElectricityDelivered_2
165,410200,2010JJ00,109,794
166,410200,2011JJ00,81,758
167,410200,2012JJ00,89,721
168,410200,2013JJ00,98,730
169,410200,2014JJ00,76,696
170,410200,2015JJ00,80,678
171,410200,2016JJ00,86,714
172,410200,2017JJ00,86,736
173,410200,2018JJ00,80,686
174,410200,2019JJ00,72,636
175,410200,2020JJ00,59,589
176,410200,2021JJ00,69,581
177,410200,2022JJ00,56,562
178,410200,2023JJ00,49,532
179,410200,2024JJ00,44,527
180,300012,2010JJ00,1901,8729
181,300012,2011JJ00,1502,8944
182,300012,2012JJ00,1741,8926
183,300012,2013JJ00,1691,8761
184,300012,2014JJ00,1362,8534
185,300012,2015JJ00,1453,8750
186,300012,2016JJ00,1408,8482
187,300012,2017JJ00,1362,8366
188,300012,2018JJ00,1310,8166
189,300012,2019JJ00,1197,7806
190,300012,2020JJ00,1088,7452
191,300012,2021JJ00,1193,7466
192,300012,2022JJ00,1009,7405
193,300012,2023JJ00,940,7407
194,300012,2024JJ00,833,7336
195,417400,2010JJ00,559,4037
196,417400,2011JJ00,423,4003
197,417400,2012JJ00,470,3941
198,417400,2013JJ00,372,3592
199,417400,2014JJ00,302,3518
200,417400,2015JJ00,334,3694
201,417400,2016JJ00,305,3472
202,417400,2017JJ00,325,3473
203,417400,2018JJ00,263,3189
204,417400,2019JJ00,236,3018
205,417400,2020JJ00,198,2814
206,417400,2021JJ00,217,2787
207,417400,2022JJ00,184,2747
208,417400,2023JJ00,169,2850
209,417400,2024JJ00,148,2843
210,419000,2010JJ00,439,1620
211,419000,2011JJ00,334,1676
212,419000,2012JJ00,371,1621
213,419000,2013JJ00,381,1664
214,419000,2014JJ00,291,1611
215,419000,2015JJ00,301,1590
216,419000,2016JJ00,324,1649
217,419000,2017JJ00,288,1531
218,419000,2018JJ00,302,1491
219,419000,2019JJ00,284,1450
220,419000,2020JJ00,265,1420
221,419000,2021JJ00,307,1457
222,419000,2022JJ00,248,1487
223,419000,2023JJ00,229,1476
224,419000,2024JJ00,203,1412
225,422400,2010JJ00,904,3072
226,422400,2011JJ00,745,3265
227,422400,2012JJ00,900,3364
228,422400,2013JJ00,938,3504
229,422400,2014JJ00,769,3405
230,422400,2015JJ00,819,3466
231,422400,2016JJ00,779,3361
232,422400,2017JJ00,749,3362
233,422400,2018JJ00,745,3486
234,422400,2019JJ00,677,3338
235,422400,2020JJ00,625,3218
236,422400,2021JJ00,669,3223
237,422400,2022JJ00,577,3170
238,422400,2023JJ00,542,3081
239,422400,2024JJ00,482,3081
240,300014,2010JJ00,577,2210
241,300014,2011JJ00,466,2185
242,300014,2012JJ00,501,2171
243,300014,2013JJ00,537,2273
244,300014,2014JJ00,427,2194
245,300014,2015JJ00,473,2312
246,300014,2016JJ00,472,2282
247,300014,2017JJ00,441,2209
248,300014,2018JJ00,422,2131
249,300014,2019JJ00,388,2031
250,300014,2020JJ00,349,1817
251,300014,2021JJ00,370,1752
252,300014,2022JJ00,330,1862
253,300014,2023JJ00,303,1819
