ID,LandbouwgoederenEnDiensten,Perioden,OutputTegenAfProducentwaarde_1,OutputBasisprijzen_2,OutputTegenAfProducentwaarde_3,OutputBasisprijzen_4,OutputTegenAfProducentwaarde_5,OutputBasisprijzen_6,OutputTegenAfProducentwaarde_7,OutputBasisprijzen_8
1588,A045474,2017JJ00,145.0,145.0,149.0,149.0,-7.5,-7.5,97.4,97.4
1589,A045474,2018JJ00,142.0,142.0,152.0,152.0,2.1,2.1,93.5,93.5
1590,A045474,2019JJ00,131.0,131.0,148.0,148.0,-2.8,-2.8,88.7,88.7
1591,A045474,2020JJ00,107.0,107.0,124.0,124.0,-16.0,-16.0,86.3,86.3
1592,A045474,2021JJ00,129.0,129.0,133.0,133.0,7.5,7.5,96.8,96.8
1593,A045474,2022JJ00,59.0,59.0,76.0,76.0,-43.3,-43.3,78.6,78.6
1594,A045474,2023JJ00,42.0,42.0,51.0,51.0,-33.0,-33.0,82.1,82.1
1595,A045475,1995JJ00,1.0,1.0,1.0,1.0,,,167.8,167.8
1596,A045475,1996JJ00,2.0,2.0,1.0,1.0,-2.4,-2.4,181.6,181.6
1597,A045475,1997JJ00,2.0,2.0,1.0,1.0,15.7,15.7,182.3,182.3
1598,A045475,1998JJ00,1.0,1.0,1.0,1.0,-13.3,-13.3,161.7,161.7
1599,A045475,1999JJ00,1.0,1.0,1.0,1.0,-6.5,-6.5,149.5,149.5
1600,A045475,2000JJ00,2.0,2.0,2.0,2.0,152.9,152.9,116.8,116.8
1601,A045475,2001JJ00,2.0,2.0,2.0,2.0,-2.6,-2.6,110.9,110.9
1602,A045475,2002JJ00,4.0,4.0,3.0,3.0,55.8,55.8,119.7,119.7
1603,A045475,2003JJ00,3.0,3.0,3.0,3.0,9.0,9.0,99.9,99.9
1604,A045475,2004JJ00,3.0,3.0,3.0,3.0,-5.0,-5.0,99.1,99.1
1605,A045475,2005JJ00,6.0,6.0,5.0,5.0,67.7,67.7,103.7,103.7
1606,A045475,2006JJ00,5.0,5.0,4.0,4.0,-18.2,-18.2,103.7,103.7
1607,A045475,2007JJ00,4.0,4.0,4.0,4.0,-12.3,-12.3,102.9,102.9
1608,A045475,2008JJ00,4.0,4.0,4.0,4.0,2.5,2.5,111.0,111.0
1609,A045475,2009JJ00,4.0,4.0,4.0,4.0,11.7,11.7,101.1,101.1
1610,A045475,2010JJ00,3.0,3.0,4.0,4.0,-4.6,-4.6,83.8,83.8
1611,A045475,2011JJ00,6.0,6.0,6.0,6.0,48.9,48.9,96.2,96.2
1612,A045475,2012JJ00,7.0,7.0,7.0,7.0,10.9,10.9,95.2,95.2
1613,A045475,2013JJ00,6.0,6.0,6.0,6.0,-12.2,-12.2,99.4,99.4
1614,A045475,2014JJ00,5.0,5.0,5.0,5.0,-13.3,-13.3,94.3,94.3
1615,A045475,2015JJ00,5.0,5.0,5.0,5.0,-4.7,-4.7,100.0,100.0
1616,A045475,2016JJ00,6.0,6.0,6.0,6.0,24.6,24.6,94.6,94.6
1617,A045475,2017JJ00,5.0,5.0,5.0,5.0,-23.9,-23.9,95.1,95.1
1618,A045475,2018JJ00,4.0,4.0,4.0,4.0,-7.5,-7.5,89.9,89.9
1619,A045475,2019JJ00,5.0,5.0,6.0,6.0,36.3,36.3,79.7,79.7
1620,A045475,2020JJ00,4.0,4.0,5.0,5.0,-10.4,-10.4,65.5,65.5
1621,A045475,2021JJ00,4.0,4.0,6.0,6.0,12.5,12.5,60.3,60.3
1622,A045475,2022JJ00,5.0,5.0,5.0,5.0,-14.2,-14.2,88.2,88.2
1623,A045475,2023JJ00,,,,,,,,
1624,A045476,1995JJ00,41.0,41.0,34.0,34.0,,,120.0,120.0
1625,A045476,1996JJ00,35.0,35.0,27.0,27.0,-22.0,-22.0,132.1,132.1
1626,A045476,1997JJ00,39.0,39.0,29.0,29.0,9.4,9.4,133.7,133.7
1627,A045476,1998JJ00,37.0,37.0,31.0,31.0,4.9,4.9,121.9,121.9
1628,A045476,1999JJ00,34.0,34.0,31.0,31.0,2.0,2.0,108.6,108.6
1629,A045476,2000JJ00,50.0,50.0,52.0,52.0,65.5,65.5,96.1,96.1
1630,A045476,2001JJ00,46.0,46.0,50.0,50.0,-2.5,-2.5,91.5,91.5
1631,A045476,2002JJ00,72.0,72.0,71.0,71.0,41.5,41.5,100.9,100.9
1632,A045476,2003JJ00,63.0,63.0,74.0,74.0,4.3,4.3,84.4,84.4
1633,A045476,2004JJ00,61.0,61.0,73.0,73.0,-2.4,-2.4,84.3,84.3
1634,A045476,2005JJ00,111.0,111.0,127.0,127.0,75.2,75.2,87.2,87.2
1635,A045476,2006JJ00,107.0,107.0,122.0,122.0,-4.2,-4.2,87.4,87.4
1636,A045476,2007JJ00,97.0,97.0,113.0,113.0,-7.7,-7.7,85.9,85.9
1637,A045476,2008JJ00,123.0,123.0,138.0,138.0,22.9,22.9,88.9,88.9
1638,A045476,2009JJ00,108.0,108.0,131.0,131.0,-5.0,-5.0,82.0,82.0
1639,A045476,2010JJ00,111.0,111.0,135.0,135.0,2.6,2.6,82.0,82.0
1640,A045476,2011JJ00,150.0,150.0,160.0,160.0,18.3,18.3,93.7,93.7
1641,A045476,2012JJ00,165.0,165.0,182.0,182.0,14.1,14.1,90.5,90.5
1642,A045476,2013JJ00,159.0,159.0,171.0,171.0,-6.3,-6.3,93.5,93.5
1643,A045476,2014JJ00,176.0,176.0,205.0,205.0,20.0,20.0,86.1,86.1
1644,A045476,2015JJ00,172.0,172.0,172.0,172.0,-16.0,-16.0,100.0,100.0
1645,A045476,2016JJ00,140.0,140.0,155.0,155.0,-10.0,-10.0,90.5,90.5
1646,A045476,2017JJ00,140.0,140.0,144.0,144.0,-6.8,-6.8,97.4,97.4
1647,A045476,2018JJ00,138.0,138.0,148.0,148.0,2.4,2.4,93.5,93.5
1648,A045476,2019JJ00,126.0,126.0,142.0,142.0,-3.9,-3.9,89.0,89.0
1649,A045476,2020JJ00,103.0,103.0,119.0,119.0,-16.2,-16.2,87.1,87.1
1650,A045476,2021JJ00,125.0,125.0,127.0,127.0,7.3,7.3,98.4,98.4
1651,A045476,2022JJ00,55.0,55.0,71.0,71.0,-44.2,-44.2,77.1,77.1
1652,A045476,2023JJ00,,,,,,,,
1653,A045477,1995JJ00,1050.0,1085.0,1980.0,1564.0,,,53.0,69.4
1654,A045477,1996JJ00,1060.0,1095.0,1970.0,1557.0,-0.5,-0.5,53.8,70.3
1655,A045477,1997JJ00,1156.0,1189.0,2134.0,1679.0,8.3,7.9,54.2,70.8
1656,A045477,1998JJ00,1207.0,1211.0,2151.0,1693.0,0.8,0.8,56.1,71.5
1657,A045477,1999JJ00,1305.0,1308.0,2203.0,1775.0,2.4,4.8,59.3,73.7
1658,A045477,2000JJ00,1399.0,1401.0,2226.0,1833.0,1.0,3.3,62.9,76.4
1659,A045477,2001JJ00,1566.0,1567.0,2358.0,1979.0,5.9,7.9,66.4,79.2
1660,A045477,2002JJ00,1811.0,1812.0,2578.0,2192.0,9.3,10.7,70.3,82.7
1661,A045477,2003JJ00,1779.0,1779.0,2423.0,2096.0,-6.0,-4.4,73.4,84.8
1662,A045477,2004JJ00,1826.0,1826.0,2367.0,2079.0,-2.3,-0.8,77.1,87.8
1663,A045477,2005JJ00,1904.0,1904.0,2334.0,2078.0,-1.4,0.0,81.6,91.6
1664,A045477,2006JJ00,2102.0,2102.0,2482.0,2239.0,6.4,7.8,84.7,93.9
1665,A045477,2007JJ00,2169.0,2170.0,2534.0,2322.0,2.1,3.7,85.6,93.4
1666,A045477,2008JJ00,2375.0,2375.0,2634.0,2452.0,4.0,5.6,90.2,96.9
1667,A045477,2009JJ00,2414.0,2414.0,2626.0,2483.0,-0.3,1.3,91.9,97.2
1668,A045477,2010JJ00,2474.0,2474.0,2658.0,2543.0,1.2,2.4,93.1,97.3
1669,A045477,2011JJ00,2595.0,2595.0,2709.0,2621.0,1.9,3.1,95.8,99.0
1670,A045477,2012JJ00,2561.0,2561.0,2624.0,2567.0,-3.1,-2.1,97.6,99.8
1671,A045477,2013JJ00,2601.0,2601.0,2589.0,2561.0,-1.3,-0.2,100.5,101.6
1672,A045477,2014JJ00,2660.0,2660.0,2602.0,2602.0,0.5,1.6,102.2,102.2
1673,A045477,2015JJ00,2549.0,2549.0,2549.0,2549.0,-2.0,-2.0,100.0,100.0
1674,A045477,2016JJ00,2566.0,2566.0,2562.0,2562.0,0.5,0.5,100.2,100.2
1675,A045477,2017JJ00,2670.0,2670.0,2597.0,2597.0,1.4,1.4,102.8,102.8
1676,A045477,2018JJ00,2697.0,2697.0,2583.0,2583.0,-0.5,-0.5,104.4,104.4
1677,A045477,2019JJ00,2767.0,2767.0,2575.0,2575.0,-0.3,-0.3,107.5,107.5
1678,A045477,2020JJ00,2817.0,2817.0,2584.0,2584.0,0.4,0.4,109.0,109.0
1679,A045477,2021JJ00,2950.0,2950.0,2639.0,2639.0,2.1,2.1,111.8,111.8
1680,A045477,2022JJ00,3118.0,3118.0,2582.0,2582.0,-2.1,-2.1,120.7,120.7
1681,A045477,2023JJ00,3205.0,3205.0,2555.0,2555.0,-1.0,-1.0,125.4,125.4
1682,A045478,1995JJ00,930.0,965.0,1854.0,1437.0,,,50.2,67.2
1683,A045478,1996JJ00,957.0,992.0,1881.0,1458.0,1.5,1.4,50.9,68.0
1684,A045478,1997JJ00,1037.0,1070.0,2027.0,1564.0,7.7,7.3,51.2,68.4
1685,A045478,1998JJ00,1075.0,1079.0,2027.0,1565.0,0.0,0.1,53.0,68.9
1686,A045478,1999JJ00,1174.0,1177.0,2090.0,1656.0,3.1,5.8,56.2,71.1
1687,A045478,2000JJ00,1263.0,1265.0,2110.0,1714.0,1.0,3.5,59.9,73.8
1688,A045478,2001JJ00,1417.0,1418.0,2243.0,1859.0,6.3,8.5,63.2,76.3
1689,A045478,2002JJ00,1654.0,1655.0,2477.0,2082.0,10.5,12.0,66.8,79.5
1690,A045478,2003JJ00,1625.0,1625.0,2319.0,1987.0,-6.4,-4.6,70.1,81.8
1691,A045478,2004JJ00,1664.0,1664.0,2252.0,1963.0,-2.9,-1.2,73.9,84.8
1692,A045478,2005JJ00,1738.0,1738.0,2214.0,1958.0,-1.7,-0.2,78.5,88.8
1693,A045478,2006JJ00,1949.0,1949.0,2361.0,2118.0,6.6,8.1,82.5,92.0
1694,A045478,2007JJ00,2063.0,2064.0,2411.0,2200.0,2.1,3.9,85.6,93.8
1695,A045478,2008JJ00,2259.0,2259.0,2502.0,2321.0,3.8,5.5,90.3,97.3
1696,A045478,2009JJ00,2296.0,2296.0,2496.0,2354.0,-0.2,1.4,92.0,97.5
1697,A045478,2010JJ00,2361.0,2361.0,2524.0,2410.0,1.1,2.4,93.5,98.0
1698,A045478,2011JJ00,2475.0,2475.0,2576.0,2488.0,2.0,3.2,96.1,99.5
