ID,BronTechniek,Perioden,InGebruikGenomen_1,UitGebruikGenomen_2,OpgesteldAanHetEindeVanHetJaar_3,InGebruikGenomen_4,UitGebruikGenomen_5,OpgesteldAanHetEindeVanHetJaar_6,InGebruikGenomen_7,UitGebruikGenomen_8,OpgesteldAanHetEindeVanHetJaar_9,InGebruikGenomen_10,UitGebruikGenomen_11,OpgesteldAanHetEindeVanHetJaar_12,ElektriciteitInMlnKWh_13,AandeelInTotaalElektriciteitsverbruik_14,Warmte_15,BiogasVoorNuttigFinaalVerbruik_16,WinningVanBiogas_17,GefakkeldBiogas_18,NuttigEnergetischVerbruikVanBiomassa_19
99,windz,1993JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
100,windz,1994JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
101,windz,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
102,windz,1996JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
103,windz,1997JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
104,windz,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
105,windz,1999JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
106,windz,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
107,windz,2001JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
108,windz,2002JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
109,windz,2003JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
110,windz,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
111,windz,2005JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
112,windz,2006JJ00,36.0,0.0,36.0,108.0,0.0,108.0,,,,,,,68.0,0.06,,,,,
113,windz,2007JJ00,0.0,0.0,36.0,0.0,0.0,108.0,,,,,,,330.0,0.28,,,,,
114,windz,2008JJ00,60.0,0.0,96.0,120.0,0.0,228.0,,,,,,,596.0,0.5,,,,,
115,windz,2009JJ00,0.0,0.0,96.0,0.0,0.0,228.0,,,,,,,735.0,0.65,,,,,
116,windz,2010JJ00,0.0,0.0,96.0,0.0,0.0,228.0,,,,,,,679.0,0.58,,,,,
117,windz,2011JJ00,0.0,0.0,96.0,0.0,0.0,228.0,,,,,,,802.0,0.68,,,,,
118,windz,2012JJ00,0.0,0.0,96.0,0.0,0.0,228.0,,,,,,,789.0,0.68,,,,,
119,windz,2013JJ00,,,,,,,,,,,,,,,,,,,
120,zonto,1990JJ00,,,,,,1.0,,,,,,,0.0,0.0,,,,,
121,zonto,1991JJ00,,,,0.0,0.0,1.0,,,,,,,0.0,0.0,,,,,
122,zonto,1992JJ00,,,,0.0,0.0,1.0,,,,,,,1.0,0.0,,,,,
123,zonto,1993JJ00,,,,0.0,0.0,2.0,,,,,,,1.0,0.0,,,,,
124,zonto,1994JJ00,,,,0.0,0.0,2.0,,,,,,,1.0,0.0,,,,,
125,zonto,1995JJ00,,,,0.0,0.0,2.0,,,,,,,1.0,0.0,,,,,
126,zonto,1996JJ00,,,,1.0,0.0,3.0,,,,,,,2.0,0.0,,,,,
127,zonto,1997JJ00,,,,1.0,0.0,4.0,,,,,,,2.0,0.0,,,,,
128,zonto,1998JJ00,,,,2.0,0.0,6.0,,,,,,,4.0,0.0,,,,,
129,zonto,1999JJ00,,,,3.0,0.0,9.0,,,,,,,5.0,0.01,,,,,
130,zonto,2000JJ00,,,,4.0,0.0,13.0,,,,,,,8.0,0.01,,,,,
131,zonto,2001JJ00,,,,8.0,0.0,21.0,,,,,,,13.0,0.01,,,,,
132,zonto,2002JJ00,,,,6.0,0.0,26.0,,,,,,,17.0,0.02,,,,,
133,zonto,2003JJ00,,,,20.0,0.0,46.0,,,,,,,31.0,0.03,,,,,
134,zonto,2004JJ00,,,,4.0,0.0,49.0,,,,,,,33.0,0.03,,,,,
135,zonto,2005JJ00,,,,2.0,0.0,51.0,,,,,,,34.0,0.03,,,,,
136,zonto,2006JJ00,,,,2.0,0.0,52.0,,,,,,,35.0,0.03,,,,,
137,zonto,2007JJ00,,,,1.0,0.0,53.0,,,,,,,36.0,0.03,,,,,
138,zonto,2008JJ00,,,,4.0,0.0,57.0,,,,,,,38.0,0.03,,,,,
139,zonto,2009JJ00,,,,11.0,0.0,68.0,,,,,,,46.0,0.04,,,,,
140,zonto,2010JJ00,,,,21.0,0.0,88.0,,,,,,,60.0,0.05,,,,,
141,zonto,2011JJ00,,,,58.0,1.0,145.0,,,,,,,100.0,0.09,,,,,
142,zonto,2012JJ00,,,,220.0,1.0,365.0,,,,,,,254.0,0.22,,,,,
143,zonto,2013JJ00,,,,360.0,2.0,722.0,,,,,,,,,,,,,
144,zpvto,1990JJ00,,,,,,1.0,,,,,,,0.0,0.0,,,,,
145,zpvto,1991JJ00,,0.0,,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,,,,,
146,zpvto,1992JJ00,,0.0,,0.0,0.0,1.0,,,,,0.0,,1.0,0.0,,,,,
147,zpvto,1993JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,1.0,0.0,,,,,
148,zpvto,1994JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,1.0,0.0,,,,,
149,zpvto,1995JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,1.0,0.0,,,,,
150,zpvto,1996JJ00,,0.0,,1.0,0.0,3.0,,,,,0.0,,2.0,0.0,,,,,
151,zpvto,1997JJ00,,0.0,,1.0,0.0,4.0,,,,,0.0,,2.0,0.0,,,,,
152,zpvto,1998JJ00,,0.0,,2.0,0.0,6.0,,,,,0.0,,4.0,0.0,,,,,
153,zpvto,1999JJ00,,0.0,,3.0,0.0,9.0,,,,,0.0,,5.0,0.01,,,,,
154,zpvto,2000JJ00,,0.0,,4.0,0.0,13.0,,,,,0.0,,8.0,0.01,,,,,
155,zpvto,2001JJ00,,0.0,,8.0,0.0,21.0,,,,,0.0,,13.0,0.01,,,,,
156,zpvto,2002JJ00,,0.0,,6.0,0.0,26.0,,,,,0.0,,17.0,0.02,,,,,
157,zpvto,2003JJ00,,,,20.0,0.0,46.0,,,,,,,31.0,0.03,,,,,
158,zpvto,2004JJ00,,,,4.0,0.0,49.0,,,,,,,33.0,0.03,,,,,
159,zpvto,2005JJ00,,,,2.0,0.0,51.0,,,,,,,34.0,0.03,,,,,
160,zpvto,2006JJ00,,,,2.0,0.0,52.0,,,,,,,35.0,0.03,,,,,
161,zpvto,2007JJ00,,,,1.0,0.0,53.0,,,,,,,36.0,0.03,,,,,
162,zpvto,2008JJ00,,,,4.0,0.0,57.0,,,,,,,38.0,0.03,,,,,
163,zpvto,2009JJ00,,,,11.0,0.0,68.0,,,,,,,46.0,0.04,,,,,
164,zpvto,2010JJ00,,,,21.0,0.0,88.0,,,,,,,60.0,0.05,,,,,
165,zpvto,2011JJ00,,,,58.0,1.0,145.0,,,,,,,100.0,0.09,,,,,
166,zpvto,2012JJ00,,,,220.0,1.0,365.0,,,,,,,254.0,0.22,,,,,
167,zpvto,2013JJ00,,,,360.0,2.0,722.0,,,,,,,,,,,,,
168,zpvau,1990JJ00,,,,,,1.0,,,,,,,0.0,0.0,,,,,
169,zpvau,1991JJ00,,0.0,,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,,,,,
170,zpvau,1992JJ00,,0.0,,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,,,,,
171,zpvau,1993JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,1.0,0.0,,,,,
172,zpvau,1994JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,1.0,0.0,,,,,
173,zpvau,1995JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,1.0,0.0,,,,,
174,zpvau,1996JJ00,,0.0,,0.0,0.0,3.0,,,,,0.0,,1.0,0.0,,,,,
175,zpvau,1997JJ00,,0.0,,0.0,0.0,3.0,,,,,0.0,,1.0,0.0,,,,,
176,zpvau,1998JJ00,,0.0,,0.0,0.0,3.0,,,,,0.0,,1.0,0.0,,,,,
177,zpvau,1999JJ00,,0.0,,0.0,0.0,4.0,,,,,0.0,,2.0,0.0,,,,,
178,zpvau,2000JJ00,,0.0,,0.0,0.0,4.0,,,,,0.0,,2.0,0.0,,,,,
179,zpvau,2001JJ00,,0.0,,0.0,0.0,4.0,,,,,0.0,,2.0,0.0,,,,,
180,zpvau,2002JJ00,,0.0,,0.0,0.0,5.0,,,,,0.0,,2.0,0.0,,,,,
181,zpvau,2003JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
182,zpvau,2004JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
183,zpvau,2005JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
184,zpvau,2006JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
185,zpvau,2007JJ00,,,,1.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
186,zpvau,2008JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
187,zpvau,2009JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
188,zpvau,2010JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
189,zpvau,2011JJ00,,,,0.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
190,zpvau,2012JJ00,,,,1.0,0.0,5.0,,,,,,,2.0,0.0,,,,,
191,zpvau,2013JJ00,,,,,,,,,,,,,,,,,,,
192,zpvnc,1990JJ00,,,,,,0.0,,,,,,,0.0,0.0,,,,,
193,zpvnc,1991JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
194,zpvnc,1992JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
195,zpvnc,1993JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
196,zpvnc,1994JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
197,zpvnc,1995JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
198,zpvnc,1996JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
199,zpvnc,1997JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
200,zpvnc,1998JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
201,zpvnc,1999JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
202,zpvnc,2000JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
203,zpvnc,2001JJ00,,0.0,,2.0,0.0,2.0,,,,,0.0,,2.0,0.0,,,,,
204,zpvnc,2002JJ00,,0.0,,0.0,0.0,2.0,,,,,0.0,,2.0,0.0,,,,,
205,zpvnc,2003JJ00,,,,0.0,0.0,2.0,,,,,,,2.0,0.0,,,,,
206,zpvnc,2004JJ00,,,,1.0,0.0,3.0,,,,,,,2.0,0.0,,,,,
207,zpvnc,2005JJ00,,,,0.0,0.0,3.0,,,,,,,2.0,0.0,,,,,
208,zpvnc,2006JJ00,,,,0.0,0.0,3.0,,,,,,,2.0,0.0,,,,,
209,zpvnc,2007JJ00,,,,0.0,0.0,3.0,,,,,,,2.0,0.0,,,,,
210,zpvnc,2008JJ00,,,,0.0,0.0,4.0,,,,,,,2.0,0.0,,,,,
211,zpvnc,2009JJ00,,,,1.0,0.0,4.0,,,,,,,3.0,0.0,,,,,
212,zpvnc,2010JJ00,,,,1.0,0.0,5.0,,,,,,,4.0,0.0,,,,,
213,zpvnc,2011JJ00,,,,6.0,0.0,11.0,,,,,,,8.0,0.01,,,,,
214,zpvnc,2012JJ00,,,,4.0,0.0,15.0,,,,,,,11.0,0.01,,,,,
215,zpvnc,2013JJ00,,,,,,,,,,,,,,,,,,,
216,zpvnd,1990JJ00,,,,,,0.0,,,,,,,0.0,0.0,,,,,
217,zpvnd,1991JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
218,zpvnd,1992JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
219,zpvnd,1993JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
220,zpvnd,1994JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
221,zpvnd,1995JJ00,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
222,zpvnd,1996JJ00,,0.0,,0.0,0.0,1.0,,,,,0.0,,1.0,0.0,,,,,
223,zpvnd,1997JJ00,,0.0,,0.0,0.0,1.0,,,,,0.0,,1.0,0.0,,,,,
224,zpvnd,1998JJ00,,0.0,,2.0,0.0,3.0,,,,,0.0,,2.0,0.0,,,,,
225,zpvnd,1999JJ00,,0.0,,2.0,0.0,5.0,,,,,0.0,,4.0,0.0,,,,,
226,zpvnd,2000JJ00,,0.0,,3.0,0.0,8.0,,,,,0.0,,6.0,0.01,,,,,
227,zpvnd,2001JJ00,,0.0,,5.0,0.0,14.0,,,,,0.0,,10.0,0.01,,,,,
228,zpvnd,2002JJ00,,0.0,,6.0,0.0,19.0,,,,,0.0,,13.0,0.01,,,,,
229,zpvnd,2003JJ00,,,,20.0,0.0,39.0,,,,,,,27.0,0.02,,,,,
230,zpvnd,2004JJ00,,,,2.0,0.0,41.0,,,,,,,29.0,0.03,,,,,
231,zpvnd,2005JJ00,,,,1.0,0.0,43.0,,,,,,,30.0,0.03,,,,,
232,zpvnd,2006JJ00,,,,1.0,0.0,44.0,,,,,,,31.0,0.03,,,,,
233,zpvnd,2007JJ00,,,,1.0,0.0,44.0,,,,,,,31.0,0.03,,,,,
234,zpvnd,2008JJ00,,,,4.0,0.0,48.0,,,,,,,34.0,0.03,,,,,
235,zpvnd,2009JJ00,,,,10.0,0.0,58.0,,,,,,,41.0,0.04,,,,,
236,zpvnd,2010JJ00,,,,20.0,0.0,78.0,,,,,,,54.0,0.05,,,,,
237,zpvnd,2011JJ00,,,,53.0,0.0,130.0,,,,,,,91.0,0.08,,,,,
238,zpvnd,2012JJ00,,,,215.0,0.0,345.0,,,,,,,241.0,0.21,,,,,
239,zpvnd,2013JJ00,,,,,,,,,,,,,,,,,,,
240,zthto,1990JJ00,,,,,,,,,,12.0,1.0,76.0,,,,,,,
241,zthto,1991JJ00,,,,,,,,,,15.0,5.0,87.0,,,,,,,
242,zthto,1992JJ00,,,,,,,,,,21.0,3.0,105.0,,,,,,,
243,zthto,1993JJ00,,,,,,,,,,19.0,4.0,119.0,,,,,,,
244,zthto,1994JJ00,,,,,,,,,,22.0,2.0,139.0,,,,,,,
245,zthto,1995JJ00,,,,,,,,,,26.0,3.0,162.0,,,,,,,
246,zthto,1996JJ00,,,,,,,,,,29.0,4.0,187.0,,,,,,,
247,zthto,1997JJ00,,,,,,,,,,42.0,6.0,224.0,,,,,,,
248,zthto,1998JJ00,,,,,,,,,,46.0,5.0,264.0,,,,,,,
249,zthto,1999JJ00,,,,,,,,,,49.0,3.0,310.0,,,,,,,
250,zthto,2000JJ00,,,,,,,,,,55.0,6.0,360.0,,,,,,,
251,zthto,2001JJ00,,,,,,,,,,59.0,3.0,416.0,,,,,,,
252,zthto,2002JJ00,,,,,,,,,,63.0,4.0,475.0,,,,,,,
253,zthto,2003JJ00,,,,,,,,,,52.0,3.0,524.0,,,,,,,
254,zthto,2004JJ00,,,,,,,,,,62.0,5.0,582.0,,,,,,,
255,zthto,2005JJ00,,,,,,,,,,49.0,10.0,620.0,,,,,,,
256,zthto,2006JJ00,,,,,,,,,,39.0,13.0,646.0,,,,,,,
257,zthto,2007JJ00,,,,,,,,,,48.0,21.0,673.0,,,,,,,
258,zthto,2008JJ00,,,,,,,,,,52.0,21.0,704.0,,,,,,,
259,zthto,2009JJ00,,,,,,,,,,80.0,22.0,761.0,,,,,,,
260,zthto,2010JJ00,,,,,,,,,,76.0,26.0,811.0,,,,,,,
261,zthto,2011JJ00,,,,,,,,,,64.0,32.0,843.0,,,,,,,
