ID,Geslacht,Leeftijd,Herkomst,Perioden,TotaalUniekeGebruikersToevoegingen_1,Civiel_2,Ambtshalve_3,Straf_4,Erfrecht_5,PersonenEnFamilierecht_6,Verbintenissenrecht_7,Arbeidsrecht_8,Huurrecht_9,Faillissementsrecht_10,Goederenrecht_11,OverigCiviel_12,SocialeVoorzieningen_13,Vreemdelingenrecht_14,SocialeVerzekeringen_15,Bestuursrecht_16,Woonrecht_17,FiscaalRecht_18,Ambtenarenrecht_19,Milieurecht_20,StrafrechtVerdachten_21,StrafrechtOverig_22,Onbekend_23
113,1100,60300,1100,2010JJ00,24590,17500,3170,6460,40,5590,3500,2100,960,30,10,100,1400,3790,620,970,110,130,40,0,6610,2910,0
114,1100,60300,1100,2011JJ00,23350,15990,3300,6580,40,5400,3050,1730,940,10,10,120,1500,3160,620,870,90,90,30,0,6890,2800,0
115,1100,60300,1101,2007JJ00,20560,15060,2610,5020,20,3890,2390,1630,680,30,10,70,1380,4980,630,670,100,100,40,0,5320,2250,10
116,1100,60300,1101,2008JJ00,21300,14900,2990,5650,20,4160,2530,1780,690,40,10,80,1200,4470,570,620,80,90,50,0,6060,2510,20
117,1100,60300,1101,2009JJ00,21400,14930,2820,6230,20,4350,2680,2080,700,50,10,80,1250,3810,600,790,70,90,40,0,6240,2630,0
118,1100,60300,1101,2010JJ00,20200,14200,2750,5450,30,4330,2800,1580,680,20,0,80,1230,3430,530,840,90,120,30,0,5600,2500,0
119,1100,60300,1101,2011JJ00,19220,12980,2840,5540,30,4240,2400,1230,680,10,10,100,1310,2910,520,770,70,70,30,0,5820,2390,0
120,1100,60300,1251,2007JJ00,4970,3180,820,1680,0,1020,590,520,160,10,0,20,370,420,240,160,30,20,10,0,1720,760,0
121,1100,60300,1251,2008JJ00,5270,3130,950,1940,0,1060,590,580,170,10,0,20,330,320,220,180,30,20,20,0,2040,800,0
122,1100,60300,1251,2009JJ00,5310,3100,910,2130,0,1080,650,610,170,10,0,20,310,230,220,170,20,20,20,0,2110,880,0
123,1100,60300,1251,2010JJ00,4850,2870,870,1820,0,960,660,450,170,0,0,20,340,160,190,230,30,30,10,0,1890,780,0
124,1100,60300,1251,2011JJ00,4920,2720,1000,1970,0,910,610,370,150,0,0,30,370,130,180,250,20,20,10,0,2080,810,0
125,1100,60300,7011,2007JJ00,1460,780,340,550,0,280,200,100,90,0,0,10,80,0,30,30,10,0,0,0,620,240,0
126,1100,60300,7011,2008JJ00,1640,890,390,590,0,330,240,140,100,0,0,0,60,0,40,30,0,10,0,0,690,260,0
127,1100,60300,7011,2009JJ00,1660,910,340,680,0,370,230,160,80,10,0,0,60,0,30,40,10,10,0,0,730,270,0
128,1100,60300,7011,2010JJ00,1590,910,310,560,0,370,250,130,90,0,0,10,70,0,30,30,10,10,0,0,640,210,0
129,1100,60300,7011,2011JJ00,1630,940,340,580,0,430,240,90,90,0,0,10,80,0,30,40,10,10,0,0,640,230,0
130,1100,60300,5007,2007JJ00,3010,1930,500,960,10,700,490,310,120,0,0,20,170,170,60,100,10,10,10,0,1020,400,0
131,1100,60300,5007,2008JJ00,3230,1970,580,1070,10,760,520,290,130,0,0,20,160,140,60,90,10,20,10,0,1150,480,10
132,1100,60300,5007,2009JJ00,3450,2170,600,1170,10,840,540,410,120,10,0,20,140,100,80,110,10,10,10,0,1210,520,0
133,1100,60300,5007,2010JJ00,3250,2100,550,1020,10,870,550,300,130,0,0,20,160,80,70,120,20,10,10,0,1050,490,0
134,1100,60300,5007,2011JJ00,3040,1870,560,1000,10,830,480,190,120,0,0,10,180,50,70,80,10,10,10,0,1080,440,0
135,1100,60300,6043,2007JJ00,3240,2460,360,670,0,870,410,310,100,10,0,10,170,500,160,110,10,10,10,0,750,310,0
136,1100,60300,6043,2008JJ00,3250,2370,380,770,0,980,430,320,80,20,0,20,140,350,140,90,10,10,10,0,850,310,0
137,1100,60300,6043,2009JJ00,3280,2400,340,880,0,940,460,340,90,10,0,20,160,340,130,120,10,10,10,0,870,330,0
138,1100,60300,6043,2010JJ00,3120,2300,360,740,0,880,450,330,90,0,0,10,170,300,110,150,10,20,10,0,790,300,0
139,1100,60300,6043,2011JJ00,2840,2010,320,730,0,770,390,250,90,0,0,10,160,270,120,130,10,10,0,0,770,290,0
