ID,Producten,Perioden,Beginvoorraad_1,BrutoProductie_2,Ontvangsten_3,UitvoerEntrepotuitvoer_4,Bunkering_5,BinnenlandseAfleveringen_6,Eindvoorraad_7
123,e,2001KW04,4899,0,21084,9197,,13210,3576
124,e,2001HJ02,3638,0,40646,19420,,21288,3576
125,e,2001JJ00,4600,0,78070,38880,,40214,3576
126,e,2002KW01,3576,0,24863,7221,,17371,3847
127,e,2002KW02,3847,0,19688,5285,,14287,3963
128,e,2002HJ01,3576,0,44551,12506,,31658,3963
129,e,2002KW03,3963,0,24493,6243,,16690,5523
130,e,2002KW04,5523,0,22367,7139,,15189,5562
131,e,2002HJ02,3963,0,46860,13382,,31879,5562
132,e,2002JJ00,3576,0,91411,25888,,63537,5562
133,e,2003KW01,5562,0,34594,10335,,27066,2755
134,e,2003KW02,2755,0,13933,6429,,5198,5061
135,e,2003HJ01,5562,0,48527,16764,,32264,5061
136,e,2003KW03,5061,0,14496,6881,,8555,4121
137,e,2003KW04,4121,0,30636,17190,,14049,3518
138,e,2003HJ02,5061,0,45132,24071,,22604,3518
139,e,2003JJ00,5562,0,93659,40835,,54868,3518
140,f,2000KW01,33027,9017,55072,73052,30591.0,-39493,32966
141,f,2000KW02,32966,9184,60890,73283,40301.0,-44265,33721
142,f,2000HJ01,33027,18201,115962,146335,70892.0,-83758,33721
143,f,2000KW03,33721,11740,66913,75141,38549.0,-39415,38099
144,f,2000KW04,38099,23423,65206,75268,41555.0,-33673,43578
145,f,2000HJ02,33721,35163,132119,150409,80104.0,-73088,43578
146,f,2000JJ00,33027,53364,248081,296744,150996.0,-156846,43578
147,f,2001KW01,43578,17363,93194,102520,42985.0,-37358,45988
148,f,2001KW02,45988,11946,67335,60774,49688.0,-23654,38461
149,f,2001HJ01,43578,29309,160529,163294,92673.0,-61012,38461
150,f,2001KW03,38461,8045,97954,88210,41782.0,-26554,41022
151,f,2001KW04,41022,15707,107467,98529,37488.0,-14847,43026
152,f,2001HJ02,38461,23752,205421,186739,79270.0,-41401,43026
153,f,2001JJ00,43578,53061,365950,350033,171943.0,-102413,43026
154,f,2002KW01,43026,12471,74248,69025,33949.0,-23722,50493
155,f,2002KW02,50493,8070,69921,73782,27707.0,-18545,45540
156,f,2002HJ01,43026,20541,144169,142807,61656.0,-42267,45540
157,f,2002KW03,45540,15113,72413,79889,27718.0,-24908,50367
158,f,2002KW04,50367,11414,66222,80495,28511.0,-29272,48269
159,f,2002HJ02,45540,26527,138635,160384,56229.0,-54180,48269
160,f,2002JJ00,43026,47068,282804,303191,117885.0,-96447,48269
161,f,2003KW01,48269,10909,76548,92154,25165.0,-37729,56136
162,f,2003KW02,56136,21370,69165,81793,27318.0,-19721,57281
163,f,2003HJ01,48269,32279,145713,173947,52483.0,-57450,57281
164,f,2003KW03,57281,10696,64166,70646,33333.0,-39597,67761
165,f,2003KW04,67761,13716,78053,85207,27945.0,-24097,70475
166,f,2003HJ02,57281,24412,142219,155853,61278.0,-63694,70475
167,f,2003JJ00,48269,56691,287932,329800,113761.0,-121144,70475
168,g,2000KW01,30328,9017,50298,64470,30464.0,-35554,30263
169,g,2000KW02,30263,9184,57468,62822,39960.0,-37367,31500
170,g,2000HJ01,30328,18201,107766,127292,70424.0,-72921,31500
171,g,2000KW03,31500,11723,63015,64604,38161.0,-32458,35931
172,g,2000KW04,35931,23363,61993,64948,41187.0,-26483,41635
173,g,2000HJ02,31500,35086,125008,129552,79348.0,-58941,41635
174,g,2000JJ00,30328,53287,232774,256844,149772.0,-131862,41635
175,g,2001KW01,41635,17346,90050,94094,42591.0,-31698,44044
176,g,2001KW02,44044,11946,64171,52849,49284.0,-18307,36335
177,g,2001HJ01,41635,29292,154221,146943,91875.0,-50005,36335
178,g,2001KW03,36335,8045,95134,77929,41702.0,-18934,38817
179,g,2001KW04,38817,15707,102134,89883,36378.0,-10233,40630
180,g,2001HJ02,36335,23752,197268,167812,78080.0,-29167,40630
181,g,2001JJ00,41635,53044,351489,314755,169955.0,-79172,40630
182,g,2002KW01,40630,12471,70016,58975,33828.0,-17287,47601
183,g,2002KW02,47601,8070,65976,62301,27589.0,-10815,42572
184,g,2002HJ01,40630,20541,135992,121276,61417.0,-28102,42572
185,g,2002KW03,42572,15113,68714,69533,27625.0,-18302,47543
186,g,2002KW04,47543,11414,61892,70287,28427.0,-23202,45337
187,g,2002HJ02,42572,26527,130606,139820,56052.0,-41504,45337
188,g,2002JJ00,40630,47068,266598,261096,117469.0,-69606,45337
189,g,2003KW01,45337,10909,70178,81241,25084.0,-30918,51017
190,g,2003KW02,51017,21370,67878,70822,27245.0,-12694,54892
191,g,2003HJ01,45337,32279,138056,152063,52329.0,-43612,54892
192,g,2003KW03,54892,10696,59013,57378,33218.0,-29478,63483
193,g,2003KW04,63483,13716,72314,70227,27855.0,-14989,66420
194,g,2003HJ02,54892,24412,131327,127605,61073.0,-44467,66420
195,g,2003JJ00,45337,56691,269383,279668,113402.0,-88079,66420
196,h,2000KW01,2699,0,4774,8582,127.0,-3939,2703
197,h,2000KW02,2703,0,3422,10461,341.0,-6898,2221
198,h,2000HJ01,2699,0,8196,19043,468.0,-10837,2221
199,h,2000KW03,2221,17,3898,10537,388.0,-6957,2168
200,h,2000KW04,2168,60,3213,10320,368.0,-7190,1943
201,h,2000HJ02,2221,77,7111,20857,756.0,-14147,1943
202,h,2000JJ00,2699,77,15307,39900,1224.0,-24984,1943
203,h,2001KW01,1943,17,3144,8426,394.0,-5660,1944
204,h,2001KW02,1944,0,3164,7925,404.0,-5347,2126
205,h,2001HJ01,1943,17,6308,16351,798.0,-11007,2126
206,h,2001KW03,2126,0,2820,10281,80.0,-7620,2205
207,h,2001KW04,2205,0,5333,8646,1110.0,-4614,2396
208,h,2001HJ02,2126,0,8153,18927,1190.0,-12234,2396
209,h,2001JJ00,1943,17,14461,35278,1988.0,-23241,2396
210,h,2002KW01,2396,0,4232,10050,121.0,-6435,2892
211,h,2002KW02,2892,0,3945,11481,118.0,-7730,2968
212,h,2002HJ01,2396,0,8177,21531,239.0,-14165,2968
213,h,2002KW03,2968,0,3699,10356,93.0,-6606,2824
214,h,2002KW04,2824,0,4330,10208,84.0,-6070,2932
215,h,2002HJ02,2968,0,8029,20564,177.0,-12676,2932
216,h,2002JJ00,2396,0,16206,42095,416.0,-26841,2932
217,h,2003KW01,2932,0,6370,10913,81.0,-6811,5119
218,h,2003KW02,5119,0,1287,10971,73.0,-7027,2389
219,h,2003HJ01,2932,0,7657,21884,154.0,-13838,2389
220,h,2003KW03,2389,0,5153,13268,115.0,-10119,4278
221,h,2003KW04,4278,0,5739,14980,90.0,-9108,4055
222,h,2003HJ02,2389,0,10892,28248,205.0,-19227,4055
223,h,2003JJ00,2932,0,18549,50132,359.0,-33065,4055
224,i,2000KW01,26169,1538,1124,3703,61.0,2987,22080
225,i,2000KW02,22080,1040,860,2772,133.0,2169,18906
226,i,2000HJ01,26169,2578,1984,6475,194.0,5156,18906
227,i,2000KW03,18906,6308,852,2802,95.0,-2772,25941
228,i,2000KW04,25941,0,1124,2683,143.0,10813,13426
229,i,2000HJ02,18906,6308,1976,5485,238.0,8041,13426
230,i,2000JJ00,26169,8886,3960,11960,432.0,13197,13426
231,i,2001KW01,13426,-10570,1013,2484,122.0,-7301,8564
232,i,2001KW02,8564,-985,775,2691,118.0,-7449,12994
233,i,2001HJ01,13426,-11555,1788,5175,240.0,-14750,12994
234,i,2001KW03,12994,11555,1309,3067,200.0,11717,10874
235,i,2001KW04,10874,0,1218,2814,114.0,-213,9377
236,i,2001HJ02,12994,11555,2527,5881,314.0,11504,9377
237,i,2001JJ00,13426,0,4315,11056,554.0,-3246,9377
238,i,2002KW01,9377,64,1303,2773,305.0,1008,6658
239,i,2002KW02,6658,0,1203,3228,147.0,-371,4857
240,i,2002HJ01,9377,64,2506,6001,452.0,637,4857
241,i,2002KW03,4857,252,1180,3077,75.0,-1975,5112
242,i,2002KW04,5112,135,1013,3841,82.0,-2807,5144
243,i,2002HJ02,4857,387,2193,6918,157.0,-4782,5144
244,i,2002JJ00,9377,451,4699,12919,609.0,-4145,5144
245,i,2003KW01,5144,196,919,2491,57.0,1491,2220
246,i,2003KW02,2220,184,915,2631,69.0,-1562,2181
247,i,2003HJ01,5144,380,1834,5122,126.0,-71,2181
248,i,2003KW03,2181,99,801,3187,72.0,-2486,2308
249,i,2003KW04,2308,29,1306,3225,79.0,-2226,2565
250,i,2003HJ02,2181,128,2107,6412,151.0,-4712,2565
251,i,2003JJ00,5144,508,3941,11534,277.0,-4783,2565
252,j,2000KW01,19378,33106,22992,35972,,21551,17953
253,j,2000KW02,17953,35566,19108,41104,,14249,17274
254,j,2000HJ01,19378,68672,42100,77076,,35800,17274
255,j,2000KW03,17274,33218,19215,27768,,23512,18427
256,j,2000KW04,18427,24863,35209,20418,,40274,17807
257,j,2000HJ02,17274,58081,54424,48186,,63786,17807
258,j,2000JJ00,19378,126753,96524,125262,,99586,17807
259,j,2001KW01,17807,26464,30103,51766,,5554,17054
260,j,2001KW02,17054,33684,28902,34155,,23378,22107
261,j,2001HJ01,17807,60148,59005,85921,,28932,22107
262,j,2001KW03,22107,29274,17741,34317,,14296,20509
263,j,2001KW04,20509,23037,26187,37296,,8764,23673
264,j,2001HJ02,22107,52311,43928,71613,,23060,23673
265,j,2001JJ00,17807,112459,102933,157534,,51992,23673
266,j,2002KW01,23673,31732,17328,50904,,2342,19487
267,j,2002KW02,19487,32058,26329,48504,,10533,18837
268,j,2002HJ01,23673,63790,43657,99408,,12875,18837
269,j,2002KW03,18837,30682,20974,47867,,5304,17322
270,j,2002KW04,17322,30454,33162,33856,,23893,23189
271,j,2002HJ02,18837,61136,54136,81723,,29197,23189
272,j,2002JJ00,23673,124926,97793,181131,,42072,23189
273,j,2003KW01,23189,33178,34506,45627,,21265,23981
274,j,2003KW02,23981,34461,21821,46906,,7222,26135
275,j,2003HJ01,23189,67639,56327,92533,,28487,26135
276,j,2003KW03,26135,34200,27335,48928,,9215,29527
277,j,2003KW04,29527,24136,25965,48114,,5350,26164
278,j,2003HJ02,26135,58336,53300,97042,,14565,26164
279,j,2003JJ00,23189,125975,109627,189575,,43052,26164
280,k,2000KW01,57371,120181,26312,71055,,93519,39290
281,k,2000KW02,39290,235967,56771,138827,,161056,32145
282,k,2000HJ01,57371,356148,83083,209882,,254575,32145
283,k,2000KW03,32145,234290,35125,156100,,110342,35118
284,k,2000KW04,35118,149991,38466,97645,,100500,25430
285,k,2000HJ02,32145,384281,73591,253745,,210842,25430
286,k,2000JJ00,57371,740429,156674,463627,,465417,25430
287,k,2001KW01,25430,94932,53756,57817,,85521,30780
288,k,2001KW02,30780,214179,71206,123106,,152106,40953
289,k,2001HJ01,25430,309111,124962,180923,,237627,40953
290,k,2001KW03,40953,227375,81534,160399,,160752,28711
291,k,2001KW04,28711,177202,74472,142911,,113339,24135
292,k,2001HJ02,40953,404577,156006,303310,,274091,24135
293,k,2001JJ00,25430,713688,280968,484233,,511718,24135
294,k,2002KW01,24135,109481,45678,63763,,77066,38465
295,k,2002KW02,38465,234552,59608,143426,,170227,18972
296,k,2002HJ01,24135,344033,105286,207189,,247293,18972
297,k,2002KW03,18972,173488,60362,104276,,133375,15171
298,k,2002KW04,15171,88394,67516,67327,,84431,19323
299,k,2002HJ02,18972,261882,127878,171603,,217806,19323
300,k,2002JJ00,24135,605915,233164,378792,,465099,19323
301,k,2003KW01,19323,70139,23220,53133,,25608,33941
302,k,2003KW02,33941,136931,72163,80462,,110266,52307
303,k,2003HJ01,19323,207070,95383,133595,,135874,52307
304,k,2003KW03,52307,100304,72983,79540,,98449,47605
305,k,2003KW04,47605,242,67481,34146,,71040,10142
306,k,2003HJ02,52307,100546,140464,113686,,169489,10142
307,k,2003JJ00,19323,307616,235847,247281,,305363,10142
