ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplusAndMixedIncome_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,GrossSaving_9,NetWorth_10,Total_11,PensionEntitlementsAndClaims_12,OtherAssets_13,Total_14,HomeMortgagesClosingBalance_15,OtherLiabilities_16,NonFinancialAssets_17,GrossOperatingSurplusAndMixedIncome_18,GrossMixedIncome_19,CompensationOfEmployees_20,GrossDisposableIncome_21,SocialTransfersInKind_22,GrossAdjustedDisposableIncome_23,FinalConsumptionExpenditure_24,ActualIndividualConsumption_25,GrossSaving_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,NonFinancialAssets_34,GrossOperatingSurplusAndMixedIncome_35,GrossMixedIncome_36,CompensationOfEmployees_37,GrossDisposableIncome_38,SocialTransfersInKind_39,GrossAdjustedDisposableIncome_40,FinalConsumptionExpenditure_41,ActualIndividualConsumption_42,GrossSaving_43,NetWorth_44,Total_45,PensionEntitlementsAndClaims_46,OtherAssets_47,Total_48,HomeMortgagesClosingBalance_49,OtherLiabilities_50,NonFinancialAssets_51
125,A025345,2021JJ00,4716,30339,148433,126938,44008,170946,91218,135226,53737,855023,541150,292580,248570,323728,293123,30604,637601,2.4,15.5,75.7,64.8,22.4,87.2,46.5,69.0,27.4,438.8,277.7,150.1,127.6,166.1,150.4,15.7,327.2,1.4,8.9,43.4,37.1,12.9,50.0,26.7,39.6,15.7,249.9,158.2,85.5,72.7,94.6,85.7,8.9,186.4
126,A025352,2015JJ00,4123,22400,122678,113740,27734,141474,92744,120478,39212,1191733,935813,517273,418540,254942,213437,41504,510862,1.9,10.5,57.7,53.5,13.1,66.6,43.6,56.7,18.5,563.2,442.3,244.5,197.8,120.5,100.9,19.6,241.4,1.2,6.6,36.3,33.7,8.2,41.9,27.4,35.6,11.6,352.0,276.4,152.8,123.6,75.3,63.0,12.3,150.9
127,A025352,2016JJ00,4488,24133,128748,117903,28471,146374,94342,122813,42555,1265340,992335,549522,443175,263174,221301,41874,536179,2.1,11.2,59.7,54.7,13.2,67.9,43.8,57.0,19.7,589.3,462.1,255.9,206.2,122.6,103.1,19.5,249.7,1.3,7.0,37.5,34.3,8.3,42.6,27.4,35.7,12.4,367.8,288.4,159.7,128.7,76.5,64.3,12.2,155.8
128,A025352,2017JJ00,5497,26031,135247,121808,29476,151284,98438,127914,42495,1370901,1073787,686834,386952,270487,228999,41487,567601,2.5,11.9,61.9,55.8,13.5,69.3,45.1,58.6,19.5,630.3,493.7,315.8,177.9,124.4,105.3,19.1,260.9,1.6,7.5,38.7,34.9,8.4,43.3,28.2,36.6,12.2,392.3,307.3,196.6,110.7,77.4,65.5,11.9,162.4
129,A025352,2018JJ00,6753,27738,142809,129341,31066,160407,102958,134024,46710,1393548,1056720,658346,398373,278005,234869,43138,614833,3.1,12.6,64.8,58.7,14.1,72.7,46.7,60.8,21.2,634.5,481.1,299.7,181.4,126.6,106.9,19.6,279.9,1.9,7.9,40.4,36.6,8.8,45.4,29.2,37.9,13.2,394.2,298.9,186.2,112.7,78.6,66.4,12.2,173.9
130,A025352,2019JJ00,6978,29696,151060,137240,33116,170356,106867,139983,53688,1480641,1091757,679254,412504,286082,242256,43826,674966,3.1,13.3,67.7,61.5,14.8,76.4,47.9,62.7,24.1,667.0,491.9,306.0,185.9,128.9,109.1,19.7,304.1,1.9,8.3,42.2,38.3,9.2,47.6,29.8,39.1,15.0,413.2,304.7,189.5,115.1,79.8,67.6,12.2,188.4
131,A025352,2020JJ00,7394,30480,158504,143773,34269,178042,101985,136254,64424,1639905,1199266,768731,430534,289067,244622,44445,729706,3.3,13.5,70.0,63.5,15.1,78.6,45.0,60.2,28.4,726.1,531.0,340.4,190.6,128.0,108.3,19.7,323.1,2.0,8.4,43.5,39.5,9.4,48.9,28.0,37.4,17.7,449.1,328.4,210.5,117.9,79.2,67.0,12.2,199.8
132,A025352,2021JJ00,8414,34077,166110,153820,37748,191568,111322,149070,66183,1845183,1344581,878123,466460,296957,251610,45348,797559,3.7,14.8,72.4,67.0,16.4,83.5,48.5,65.0,28.8,808.9,589.4,384.9,204.5,130.2,110.3,19.9,349.6,2.3,9.2,45.0,41.7,10.2,51.9,30.2,40.4,17.9,500.0,364.3,237.9,126.4,80.5,68.2,12.3,216.1
133,A025359,2015JJ00,5995,4674,5196,65902,40396,106298,71739,112135,-22731,997266,761793,538861,222932,91262,68108,23154,326735,2.9,2.3,2.5,31.9,19.6,51.5,34.8,54.3,-11.0,485.2,370.6,262.2,108.5,44.4,33.1,11.3,159.0,2.3,1.8,2.0,25.3,15.5,40.9,27.6,43.1,-8.7,382.7,292.3,206.8,85.5,35.0,26.1,8.9,125.4
134,A025359,2016JJ00,6430,5236,5977,69186,40062,109248,73841,113903,-23588,1064356,811249,565288,245956,98348,73593,24755,351455,3.0,2.5,2.8,32.7,18.9,51.7,34.9,53.9,-11.2,505.3,385.2,268.4,116.8,46.7,34.9,11.8,166.9,2.4,2.0,2.2,25.9,15.0,40.9,27.6,42.6,-8.8,397.9,303.3,211.3,92.0,36.8,27.5,9.3,131.4
135,A025359,2017JJ00,7111,5744,7067,69805,42241,112046,77023,119264,-26936,1150916,873955,535651,338304,103025,77990,25036,379986,3.3,2.7,3.3,32.3,19.5,51.8,35.6,55.2,-12.5,534.6,406.0,248.8,157.1,47.9,36.2,11.6,176.5,2.6,2.1,2.6,25.6,15.5,41.0,28.2,43.7,-9.9,421.0,319.7,195.9,123.8,37.7,28.5,9.2,139.0
136,A025359,2018JJ00,7964,6254,8191,74487,45074,119561,81137,126211,-27823,1198193,883707,553549,330159,107209,81819,25389,421695,3.6,2.8,3.7,33.7,20.4,54.1,36.7,57.1,-12.6,544.6,401.7,251.6,150.1,48.7,37.2,11.5,191.7,2.9,2.2,2.9,26.7,16.1,42.8,29.1,45.2,-10.0,428.7,316.2,198.0,118.1,38.4,29.3,9.1,150.9
137,A025359,2019JJ00,8382,6803,9779,79209,49117,128326,84724,133841,-25610,1249695,893327,562072,331254,111629,86729,24900,467997,3.7,3.0,4.3,35.1,21.8,56.8,37.5,59.3,-11.3,556.4,397.8,250.3,147.5,49.7,38.6,11.1,208.4,2.9,2.4,3.4,27.7,17.2,44.9,29.7,46.9,-9.0,437.6,312.8,196.8,116.0,39.1,30.4,8.7,163.9
138,A025359,2020JJ00,8884,7415,10679,82950,50430,133380,83328,133758,-22425,1445940,1048279,677123,371156,117021,92907,24114,514682,3.8,3.2,4.6,35.9,21.8,57.7,36.1,57.9,-9.7,627.6,455.0,293.9,161.1,50.8,40.3,10.5,223.4,3.0,2.5,3.7,28.4,17.3,45.6,28.5,45.8,-7.7,493.8,358.0,231.2,126.7,40.0,31.7,8.2,175.8
139,A025359,2021JJ00,9659,8135,11565,88047,54666,142713,89085,143751,-26322,1537849,1087743,693396,394347,121570,98091,23479,571676,4.1,3.5,4.9,37.4,23.2,60.6,37.8,61.1,-11.2,657.1,464.8,296.3,168.5,51.9,41.9,10.0,244.3,3.2,2.7,3.9,29.6,18.4,48.0,30.0,48.4,-8.9,517.0,365.7,233.1,132.6,40.9,33.0,7.9,192.2
140,1014800,2015JJ00,10559,47635,252688,246317,66236,312553,202409,268645,65873,2396167,1756516,968796,787719,761885,673464,88420,1401536,2.5,11.4,60.6,59.0,15.9,74.9,48.5,64.4,15.8,576.8,422.8,233.2,189.6,183.4,162.1,21.3,337.4,1.5,6.8,36.1,35.2,9.5,44.7,28.9,38.4,9.4,342.1,250.8,138.3,112.5,108.8,96.2,12.6,200.1
141,1014800,2016JJ00,12582,50375,261579,255578,68471,324049,207247,275718,70193,2540713,1863177,1045665,817902,772438,683223,89215,1449974,2.9,11.8,61.2,59.8,16.0,75.8,48.5,64.5,16.4,596.4,437.3,245.4,191.9,181.3,160.4,20.9,340.3,1.8,7.1,36.7,35.8,9.6,45.4,29.0,38.6,9.8,355.7,260.9,146.4,114.5,108.2,95.7,12.5,203.0
142,1014800,2017JJ00,15639,52857,270154,261931,70901,332832,215667,286568,66484,2779444,2022642,1204659,817984,781906,694067,87839,1538708,3.6,12.2,62.5,60.6,16.4,77.0,49.9,66.3,15.4,645.9,470.0,279.9,190.1,181.7,161.3,20.4,357.6,2.2,7.3,37.5,36.4,9.8,46.2,30.0,39.8,9.2,385.7,280.7,167.2,113.5,108.5,96.3,12.2,213.5
143,1014800,2018JJ00,19614,56052,281394,277200,75000,352200,226734,301734,71416,2895367,2016310,1182978,833332,794130,703386,90744,1673187,4.5,12.8,64.5,63.5,17.2,80.7,52.0,69.2,16.4,666.4,464.1,272.3,191.8,182.8,161.9,20.9,385.1,2.7,7.7,38.8,38.2,10.3,48.5,31.2,41.6,9.8,398.4,277.5,162.8,114.7,109.3,96.8,12.5,230.3
144,1014800,2019JJ00,20564,59302,293076,291810,80521,372331,234354,314875,81844,3095441,2064635,1221204,843431,806964,716318,90646,1837770,4.7,13.5,66.5,66.2,18.3,84.5,53.2,71.5,18.6,706.4,471.2,278.7,192.5,184.1,163.5,20.7,419.4,2.8,8.1,40.0,39.9,11.0,50.9,32.0,43.0,11.2,422.8,282.0,166.8,115.2,110.2,97.8,12.4,251.0
145,1014800,2020JJ00,22071,60300,302770,302609,84462,387071,219412,303874,105159,3479189,2314197,1411845,902354,818078,726715,91363,1983070,5.0,13.6,68.2,68.1,19.0,87.1,49.4,68.4,23.7,785.4,522.4,318.7,203.7,184.7,164.1,20.6,447.7,3.0,8.2,41.1,41.1,11.5,52.5,29.8,41.2,14.3,471.0,313.3,191.1,122.2,110.7,98.4,12.4,268.5
146,1014800,2021JJ00,25061,65617,313000,318807,92350,411157,237197,329547,103605,3862369,2544774,1582627,962148,834267,742249,92019,2151862,5.6,14.7,70.0,71.3,20.7,92.0,53.1,73.7,23.2,869.1,572.6,356.1,216.5,187.7,167.0,20.7,484.2,3.4,8.9,42.3,43.1,12.5,55.6,32.1,44.6,14.0,521.9,343.9,213.9,130.0,112.7,100.3,12.4,290.8
147,1014900,2015JJ00,-34,2792,9104,25947,23725,49672,32490,56215,-7272,68140,73697,48292,25405,6201,2047,4154,644,0.0,2.1,6.9,19.5,17.9,37.4,24.5,42.3,-5.5,51.5,55.7,36.5,19.2,4.7,1.5,3.1,0.5,0.0,1.6,5.2,14.9,13.7,28.6,18.7,32.4,-4.2,39.2,42.4,27.8,14.6,3.6,1.2,2.4,0.4
148,1014900,2016JJ00,-41,2934,9446,26817,24035,50852,33509,57544,-7844,74801,76683,52278,24371,6061,1793,4267,4179,0.0,2.2,7.0,20.0,17.9,37.8,24.9,42.8,-5.8,55.9,57.3,39.1,18.2,4.5,1.3,3.2,3.1,0.0,1.7,5.4,15.3,13.7,29.0,19.1,32.8,-4.5,42.6,43.7,29.8,13.9,3.5,1.0,2.4,2.4
149,1014900,2017JJ00,-28,2889,9715,26806,24598,51404,34008,58606,-7973,77670,76593,39198,37395,5612,1612,4000,6689,0.0,2.1,7.2,19.9,18.2,38.1,25.2,43.5,-5.9,57.9,57.1,29.2,27.9,4.2,1.2,3.0,5.0,0.0,1.7,5.6,15.3,14.1,29.4,19.4,33.5,-4.6,44.3,43.7,22.4,21.3,3.2,0.9,2.3,3.8
150,1014900,2018JJ00,-25,2885,9791,26855,25342,52197,34165,59507,-8065,77345,76336,40488,35848,5391,1351,4040,6400,0.0,2.2,7.4,20.2,19.0,39.2,25.7,44.7,-6.1,58.4,57.6,30.6,27.1,4.1,1.0,3.0,4.8,0.0,1.7,5.7,15.6,14.7,30.4,19.9,34.6,-4.7,45.0,44.4,23.5,20.8,3.1,0.8,2.3,3.7
151,1014900,2019JJ00,-22,2893,9970,27242,26464,53706,34496,60960,-7572,76460,75295,39199,36096,5047,1161,3886,6212,0.0,2.2,7.6,20.8,20.2,41.0,26.3,46.5,-5.8,58.6,57.7,30.1,27.7,3.9,0.9,3.0,4.8,0.0,1.7,5.9,16.1,15.7,31.8,20.4,36.1,-4.5,45.3,44.6,23.2,21.4,3.0,0.7,2.3,3.7
152,1014900,2020JJ00,-24,3623,12589,31915,26904,58819,37242,64146,-5662,101926,101397,56091,45305,6420,1093,5327,6949,0.0,2.5,8.8,22.3,18.8,41.2,26.1,44.9,-4.0,71.5,71.1,39.4,31.8,4.5,0.8,3.7,4.9,0.0,2.0,6.9,17.4,14.6,32.0,20.3,34.9,-3.1,55.4,55.1,30.5,24.6,3.5,0.6,2.9,3.8
153,1014900,2021JJ00,-19,3795,13176,33361,29028,62389,39035,68063,-6252,110620,109719,61030,48689,6088,930,5158,6989,0.0,2.6,9.1,23.2,20.1,43.3,27.1,47.2,-4.3,77.2,76.6,42.6,34.0,4.3,0.6,3.6,4.9,0.0,2.1,7.1,18.1,15.7,33.8,21.2,36.9,-3.4,59.9,59.5,33.1,26.4,3.3,0.5,2.8,3.8
154,1014950,2015JJ00,134,11369,60200,65769,26599,92368,63796,90395,4496,364284,336734,213742,122994,29143,11157,17986,56693,0.1,5.4,28.6,31.2,12.6,43.9,30.3,42.9,2.1,173.7,160.6,101.9,58.7,13.9,5.3,8.6,27.0,0.0,4.1,21.7,23.7,9.6,33.3,23.0,32.5,1.6,130.9,121.0,76.8,44.2,10.5,4.0,6.5,20.4
155,1014950,2016JJ00,-421,11907,60677,65250,25132,90382,62694,87826,4638,363806,335132,215044,119812,26401,8052,18349,55075,-0.2,5.9,29.9,32.1,12.4,44.5,30.8,43.2,2.3,179.6,165.4,106.2,59.2,13.0,4.0,9.1,27.2,-0.2,4.4,22.6,24.3,9.4,33.7,23.4,32.8,1.7,135.4,124.7,80.1,44.6,9.8,3.0,6.8,20.5
156,1014950,2017JJ00,-309,12761,63370,67355,26076,93431,65084,91160,4151,368375,342558,203003,139554,25609,7728,17881,51426,-0.1,6.2,30.7,32.7,12.7,45.3,31.6,44.2,2.0,179.5,166.9,98.9,68.0,12.5,3.8,8.7,25.1,-0.1,4.7,23.3,24.8,9.6,34.4,24.0,33.6,1.5,135.5,126.0,74.7,51.3,9.4,2.8,6.6,18.9
157,1014950,2018JJ00,-312,13455,67873,69891,27414,97305,67783,95197,4692,372676,350026,210905,139120,26448,8129,18319,49098,-0.1,6.4,32.4,33.4,13.1,46.5,32.4,45.4,2.2,178.6,167.8,101.1,66.7,12.7,3.9,8.8,23.5,-0.1,4.9,24.5,25.3,9.9,35.2,24.5,34.4,1.7,134.7,126.5,76.2,50.3,9.6,2.9,6.6,17.7
158,1014950,2019JJ00,-308,14294,73031,74557,29382,103939,71471,100853,6752,376568,352152,210851,141301,26814,8097,18717,51230,-0.1,6.7,34.2,34.9,13.8,48.6,33.5,47.2,3.2,177.2,165.7,99.2,66.5,12.6,3.8,8.8,24.1,-0.1,5.1,25.9,26.4,10.4,36.9,25.3,35.8,2.4,133.5,124.9,74.8,50.1,9.5,2.9,6.6,18.2
159,1014950,2020JJ00,-306,14265,75027,75764,27872,103636,65906,93778,13692,404741,376767,232312,144455,26101,7535,18566,54075,-0.1,6.9,36.4,36.7,13.5,50.3,32.0,45.5,6.6,196.8,183.2,112.9,70.2,12.7,3.7,9.0,26.3,-0.1,5.2,27.6,27.9,10.3,38.1,24.2,34.5,5.0,148.5,138.3,85.3,53.0,9.6,2.8,6.8,19.8
160,1014950,2021JJ00,-244,16179,79793,81040,30306,111346,71023,101329,14181,444202,409881,252236,157645,26743,7762,18980,61064,-0.1,7.8,38.5,39.1,14.6,53.7,34.3,48.9,6.8,215.6,198.9,122.4,76.5,13.0,3.8,9.2,29.6,-0.1,5.9,29.1,29.6,11.1,40.6,25.9,37.0,5.2,162.0,149.5,92.0,57.5,9.8,2.8,6.9,22.3
161,A045210,2015JJ00,3,731,1587,4804,5419,10223,6677,12096,-2353,20118,20375,9796,10578,1075,561,515,818,0.0,2.2,4.7,14.3,16.1,30.3,19.8,35.9,-7.0,60.0,60.7,29.2,31.5,3.2,1.7,1.5,2.4,0.0,2.0,4.4,13.4,15.1,28.5,18.6,33.7,-6.6,56.0,56.7,27.3,29.4,3.0,1.6,1.4,2.3
162,A045210,2016JJ00,5,869,1839,5268,5191,10459,6980,12171,-2305,22660,22540,10952,11508,1466,815,652,1586,0.0,2.5,5.2,14.9,14.7,29.5,19.7,34.4,-6.5,64.0,63.7,31.1,32.6,4.2,2.3,1.8,4.5,0.0,2.3,4.8,13.9,13.7,27.6,18.4,32.1,-6.1,59.4,59.1,28.8,30.3,3.9,2.1,1.7,4.2
163,A045210,2017JJ00,52,887,2057,5311,5064,10375,6841,11905,-2046,23428,21619,7632,13987,1450,831,619,3259,0.2,2.6,6.0,15.5,14.8,30.3,20.0,34.8,-6.0,68.8,63.5,22.4,41.1,4.3,2.4,1.8,9.6,0.1,2.4,5.6,14.5,13.8,28.2,18.6,32.4,-5.6,63.7,58.8,20.8,38.0,3.9,2.3,1.7,8.9
164,A045210,2018JJ00,56,962,2419,5717,5445,11162,7091,12536,-1890,24808,22802,8767,14036,1564,940,624,3570,0.2,2.7,6.9,16.2,15.5,31.7,20.1,35.6,-5.4,70.8,65.0,25.0,40.0,4.5,2.7,1.8,10.2,0.1,2.6,6.4,15.2,14.5,29.6,18.8,33.3,-5.0,65.8,60.5,23.3,37.2,4.2,2.5,1.7,9.5
165,A045210,2019JJ00,49,1081,2730,6147,5990,12137,7301,13291,-1620,24887,22895,8658,14237,1421,816,605,3413,0.1,3.0,7.5,17.0,16.6,33.5,20.2,36.7,-4.5,69.1,63.6,24.1,39.6,3.9,2.3,1.7,9.5,0.1,2.8,7.0,15.8,15.4,31.2,18.8,34.2,-4.2,63.9,58.8,22.2,36.6,3.6,2.1,1.6,8.8
166,A045210,2020JJ00,54,838,2389,5659,6410,12069,7187,13597,-2037,28534,26186,10347,15838,1589,936,653,3937,0.2,2.4,6.9,16.3,18.5,34.9,20.8,39.3,-5.9,82.6,75.8,30.0,45.9,4.6,2.7,1.9,11.4,0.1,2.3,6.5,15.3,17.3,32.6,19.4,36.8,-5.5,77.0,70.6,27.9,42.7,4.3,2.5,1.8,10.6
167,A045210,2021JJ00,57,1057,2588,6234,6882,13116,7675,14557,-1992,29431,26988,10274,16713,1656,1008,648,4099,0.2,2.9,7.1,17.0,18.8,35.7,20.9,39.7,-5.4,80.7,74.0,28.2,45.8,4.5,2.8,1.8,11.2,0.1,2.7,6.6,15.8,17.4,33.2,19.4,36.9,-5.0,74.5,68.3,26.0,42.3,4.2,2.6,1.6,10.4
168,A048071,2015JJ00,-929,9529,31922,37939,20121,58060,41056,61177,-702,-20536,46566,22685,23881,92668,63295,29373,25566,-0.6,6.0,20.1,23.9,12.7,36.5,25.8,38.5,-0.4,-13.0,29.4,14.3,15.1,58.6,40.0,18.6,16.2,-0.5,4.7,15.9,18.9,10.0,28.9,20.4,30.4,-0.3,-10.2,23.1,11.3,11.9,46.0,31.4,14.6,12.7
169,A048071,2016JJ00,-793,6804,32957,36787,20226,57013,42053,62279,-3015,-16421,46546,25902,20286,84489,57601,26833,21482,-0.5,4.2,20.6,23.0,12.6,35.6,26.3,38.9,-1.9,-10.5,29.0,16.2,12.7,52.9,36.1,16.8,13.5,-0.4,3.4,16.4,18.3,10.1,28.4,20.9,31.0,-1.5,-8.3,22.9,12.9,10.1,41.9,28.6,13.3,10.7
170,A048071,2017JJ00,-531,5439,33232,37127,21126,58253,42488,63614,-2941,-7104,46273,14260,32013,71206,47201,24005,17829,-0.3,3.4,20.6,23.0,13.1,36.1,26.3,39.4,-1.8,-4.4,28.8,8.9,19.9,44.3,29.4,14.9,11.1,-0.3,2.7,16.6,18.6,10.6,29.1,21.2,31.8,-1.5,-3.5,23.1,7.1,16.0,35.5,23.6,12.0,8.9
171,A048071,2018JJ00,-573,5790,36884,39019,22071,61090,44228,66299,-2338,-14427,50309,16518,33791,78847,54203,24643,14111,-0.4,3.6,22.7,24.0,13.6,37.5,27.2,40.7,-1.4,-8.9,31.0,10.2,20.8,48.6,33.4,15.2,8.7,-0.3,2.9,18.2,19.3,10.9,30.2,21.9,32.8,-1.2,-7.1,24.9,8.2,16.7,39.0,26.8,12.2,7.0
172,A048071,2019JJ00,-386,6063,36899,40281,23538,63819,45501,69039,-2312,-7489,47207,13978,33229,68539,45008,23531,13843,-0.2,3.7,22.5,24.5,14.3,38.8,27.7,42.0,-1.4,-4.6,28.9,8.6,20.3,41.9,27.5,14.4,8.5,-0.2,3.0,18.2,19.9,11.6,31.5,22.4,34.1,-1.1,-3.7,23.3,6.9,16.4,33.8,22.2,11.6,6.8
173,A048071,2020JJ00,-350,4392,37178,39506,23957,63463,43363,67320,-724,2705,49993,13782,36212,59239,39150,20090,11951,-0.2,2.7,22.5,23.9,14.5,38.3,26.2,40.7,-0.4,1.6,30.3,8.3,21.9,35.9,23.7,12.2,7.2,-0.2,2.2,18.4,19.5,11.8,31.3,21.4,33.3,-0.4,1.3,24.6,6.8,17.8,29.2,19.3,9.9,5.9
174,A048071,2021JJ00,-227,4544,35164,40161,26346,66507,44821,71167,-1804,12209,52069,14217,37852,50883,32204,18679,11023,-0.1,2.7,21.1,24.0,15.8,39.8,26.8,42.6,-1.1,7.4,31.4,8.6,22.8,30.6,19.4,11.3,6.6,-0.1,2.2,17.4,19.8,13.0,32.9,22.1,35.2,-0.9,6.0,25.7,7.0,18.7,25.1,15.9,9.2,5.4
175,A048072,2015JJ00,-14,5971,47754,47018,24874,71892,48997,73871,1965,89740,98764,59229,39537,85990,78549,7441,76966,0.0,3.8,30.1,29.6,15.7,45.3,30.8,46.5,1.2,56.7,62.4,37.4,25.0,54.4,49.7,4.7,48.7,0.0,2.7,21.7,21.3,11.3,32.6,22.2,33.5,0.9,40.6,44.7,26.8,17.9,38.9,35.6,3.4,34.9
176,A048072,2016JJ00,223,5470,48417,47629,25096,72725,49756,74852,1438,101386,106035,68504,37504,83565,75870,7744,78951,0.1,3.4,30.2,29.7,15.7,45.4,31.1,46.7,0.9,63.5,66.5,42.9,23.5,52.4,47.6,4.9,49.5,0.1,2.5,22.0,21.6,11.4,33.0,22.6,34.0,0.7,46.0,48.1,31.1,17.0,37.9,34.4,3.5,35.8
177,A048072,2017JJ00,616,3630,50112,48003,25743,73746,50630,76373,877,118198,116528,54319,62207,81764,74086,7677,83434,0.4,2.2,31.0,29.7,15.9,45.7,31.4,47.3,0.5,73.5,72.5,33.8,38.7,50.9,46.1,4.8,51.9,0.3,1.7,22.8,21.8,11.7,33.5,23.0,34.7,0.4,53.7,52.9,24.7,28.3,37.1,33.7,3.5,37.9
178,A048072,2018JJ00,758,4092,48776,48551,27146,75697,51274,78420,558,125229,122159,59865,62293,65240,57204,8035,68310,0.5,2.5,30.0,29.8,16.7,46.5,31.5,48.2,0.3,77.2,75.3,36.9,38.4,40.2,35.3,5.0,42.1,0.3,1.9,22.3,22.2,12.4,34.6,23.4,35.8,0.3,57.2,55.8,27.3,28.4,29.8,26.1,3.7,31.2
179,A048072,2019JJ00,710,4466,49493,50719,29015,79734,52717,81732,1302,136545,128970,63919,65052,59249,51352,7897,66824,0.4,2.7,30.1,30.9,17.7,48.5,32.1,49.7,0.8,83.5,78.9,39.1,39.8,36.3,31.4,4.8,40.9,0.3,2.0,22.7,23.2,13.3,36.5,24.1,37.4,0.6,62.5,59.0,29.2,29.8,27.1,23.5,3.6,30.6
180,A048072,2020JJ00,814,4411,52629,53623,28215,81838,51305,79520,5926,159121,149093,74828,74265,64304,56049,8255,74332,0.5,2.7,31.8,32.4,17.0,49.4,31.0,48.0,3.6,96.4,90.3,45.3,45.0,38.9,33.9,5.0,45.0,0.4,2.0,23.9,24.3,12.8,37.2,23.3,36.1,2.7,72.1,67.5,33.9,33.6,29.1,25.4,3.7,33.7
181,A048072,2021JJ00,844,4952,53963,55933,30117,86050,54424,84541,4895,182343,169691,87981,81711,61587,53118,8469,74239,0.5,3.0,32.3,33.5,18.0,51.5,32.6,50.6,2.9,109.8,102.2,53.0,49.2,37.1,32.0,5.1,44.7,0.4,2.2,24.5,25.4,13.7,39.0,24.7,38.3,2.2,82.6,76.9,39.9,37.0,27.9,24.1,3.8,33.6
182,A048073,2015JJ00,835,7821,74478,64752,25835,90587,60241,86076,11371,258626,235590,154196,81393,176013,164947,11067,199049,0.5,4.9,46.9,40.8,16.3,57.0,37.9,54.2,7.2,163.5,148.9,97.5,51.4,111.3,104.3,7.0,125.8,0.3,3.2,30.3,26.3,10.5,36.9,24.5,35.0,4.6,105.1,95.7,62.6,33.1,71.5,67.0,4.5,80.9
183,A048073,2016JJ00,1259,9007,76715,67113,25961,93074,61597,87558,12287,284726,246990,168914,78067,180960,169404,11559,218701,0.8,5.6,47.9,41.9,16.2,58.1,38.5,54.7,7.7,178.5,154.8,105.9,48.9,113.4,106.2,7.2,137.1,0.5,3.6,30.8,27.0,10.4,37.4,24.8,35.2,4.9,114.3,99.2,67.8,31.4,72.7,68.0,4.6,87.8
184,A048073,2017JJ00,2105,8039,79005,69181,26416,95597,63310,89726,12176,324721,261309,162254,99055,178789,166902,11888,242201,1.3,5.0,48.9,42.8,16.4,59.2,39.2,55.6,7.5,202.0,162.5,100.9,61.6,111.2,103.8,7.4,150.6,0.8,3.2,31.6,27.6,10.6,38.2,25.3,35.8,4.9,129.6,104.3,64.7,39.5,71.3,66.6,4.7,96.6
185,A048073,2018JJ00,3201,8990,82443,72416,27475,99891,66829,94304,12608,357647,272159,172790,99370,182309,169731,12577,267797,2.0,5.5,50.6,44.5,16.9,61.4,41.1,57.9,7.7,220.6,167.9,106.6,61.3,112.4,104.7,7.8,165.2,1.3,3.6,32.7,28.7,10.9,39.6,26.5,37.4,5.0,141.6,107.8,68.4,39.3,72.2,67.2,5.0,106.0
186,A048073,2019JJ00,3515,9784,86108,76832,29190,106022,69672,98862,14681,392482,280004,177386,102618,187569,174856,12714,300047,2.1,6.0,52.4,46.8,17.8,64.5,42.4,60.2,8.9,240.1,171.3,108.5,62.8,114.8,107.0,7.8,183.6,1.4,3.9,33.9,30.3,11.5,41.8,27.5,39.0,5.8,154.6,110.3,69.9,40.4,73.9,68.9,5.0,118.2
187,A048073,2020JJ00,3966,9893,88549,80638,29308,109946,65554,94862,22425,455892,321541,204153,117388,193553,180544,13009,327904,2.4,6.0,53.5,48.7,17.7,66.4,39.6,57.3,13.5,276.1,194.7,123.6,71.1,117.2,109.3,7.9,198.6,1.6,3.9,34.6,31.5,11.5,43.0,25.6,37.1,8.8,177.9,125.5,79.7,45.8,75.5,70.5,5.1,128.0
188,A048073,2021JJ00,4859,11375,89278,83648,31696,115344,70648,102344,20320,524502,359906,231963,127943,195887,182490,13397,360483,2.9,6.8,53.4,50.1,19.0,69.1,42.3,61.3,12.2,315.9,216.8,139.7,77.1,118.0,109.9,8.1,217.1,1.9,4.4,34.9,32.7,12.4,45.1,27.6,40.0,7.9,204.8,140.6,90.6,50.0,76.5,71.3,5.2,140.8
189,A048074,2015JJ00,4181,10960,81267,77745,26587,104332,69734,96321,15299,599539,432548,294362,138187,195088,180064,15023,362079,2.6,6.9,51.2,48.9,16.7,65.7,43.9,60.6,9.6,379.0,273.4,186.1,87.3,123.3,113.8,9.5,228.9,1.6,4.3,31.5,30.2,10.3,40.5,27.1,37.4,5.9,232.2,167.6,114.0,53.5,75.6,69.8,5.8,140.3
190,A048074,2016JJ00,4528,13093,83620,80794,26819,107613,71030,97849,16710,638268,451622,313833,137784,202327,186491,15839,388974,2.8,8.2,52.2,50.4,16.7,67.2,44.4,61.1,10.4,400.1,283.1,196.7,86.4,126.8,116.9,9.9,243.8,1.7,5.0,32.1,31.0,10.3,41.3,27.3,37.6,6.4,244.9,173.3,120.4,52.9,77.6,71.6,6.1,149.2
