ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplusAndMixedIncome_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,GrossSaving_9,NetWorth_10,Total_11,PensionEntitlementsAndClaims_12,OtherAssets_13,Total_14,HomeMortgagesClosingBalance_15,OtherLiabilities_16,NonFinancialAssets_17,GrossOperatingSurplusAndMixedIncome_18,GrossMixedIncome_19,CompensationOfEmployees_20,GrossDisposableIncome_21,SocialTransfersInKind_22,GrossAdjustedDisposableIncome_23,FinalConsumptionExpenditure_24,ActualIndividualConsumption_25,GrossSaving_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,NonFinancialAssets_34,GrossOperatingSurplusAndMixedIncome_35,GrossMixedIncome_36,CompensationOfEmployees_37,GrossDisposableIncome_38,SocialTransfersInKind_39,GrossAdjustedDisposableIncome_40,FinalConsumptionExpenditure_41,ActualIndividualConsumption_42,GrossSaving_43,NetWorth_44,Total_45,PensionEntitlementsAndClaims_46,OtherAssets_47,Total_48,HomeMortgagesClosingBalance_49,OtherLiabilities_50,NonFinancialAssets_51
39,A045204,2019JJ00,6377,50856,167984,166310,23140,189450,105909,129049,76941,1512172,1073698,580475,493222,382576,312769,69809,821050,3.9,31.0,102.2,101.2,14.1,115.3,64.5,78.6,46.8,925.3,657.0,355.2,301.8,234.1,191.4,42.7,502.4,2.4,19.2,63.5,62.8,8.7,71.6,40.0,48.8,29.1,571.3,405.7,219.3,186.4,144.5,118.2,26.4,310.2
40,A045204,2020JJ00,6818,52024,174100,167032,25050,192082,100357,125407,82824,1679290,1151271,644740,506531,386689,316701,69988,914708,4.1,31.4,105.1,100.9,15.1,116.0,60.6,75.7,50.0,1016.9,697.1,390.4,306.7,234.2,191.8,42.4,553.9,2.5,19.4,65.0,62.4,9.4,71.8,37.5,46.9,30.9,626.0,429.2,240.4,188.8,144.2,118.1,26.1,341.0
41,A045204,2021JJ00,8078,58865,180326,180294,27670,207964,109914,137584,87229,1847397,1251232,718532,532701,393421,322131,71291,989586,4.8,35.2,108.0,107.9,16.6,124.5,65.8,82.4,52.2,1112.6,753.6,432.7,320.8,236.9,194.0,42.9,596.0,3.0,21.8,66.6,66.6,10.2,76.9,40.6,50.8,32.2,682.3,462.1,265.4,196.7,145.3,119.0,26.3,365.5
42,1050020,2015JJ00,1289,5807,31602,35085,9588,44673,42171,51759,-5432,264403,210931,115517,95415,74560,62172,12388,128032,0.9,4.3,23.3,25.8,7.1,32.9,31.0,38.1,-4.0,195.4,155.9,85.4,70.5,55.1,45.9,9.2,94.6,1.0,4.3,23.3,25.9,7.1,33.0,31.1,38.2,-4.0,195.4,155.9,85.4,70.5,55.1,45.9,9.2,94.6
43,1050020,2016JJ00,1487,6180,32804,36533,9746,46279,43609,53355,-5579,280918,224171,125337,98678,75540,62840,12700,132287,1.1,4.5,23.7,26.4,7.0,33.5,31.5,38.6,-4.0,203.7,162.6,91.0,71.6,54.8,45.6,9.2,96.0,1.1,4.5,23.8,26.5,7.1,33.5,31.6,38.6,-4.0,203.7,162.6,91.0,71.6,54.8,45.6,9.2,96.0
44,1050020,2017JJ00,1836,6459,34295,37857,10230,48087,45541,55771,-6278,312127,241719,130471,111249,75661,63345,12316,146069,1.3,4.6,24.2,26.7,7.2,33.9,32.1,39.4,-4.4,221.2,171.3,92.4,78.8,53.6,44.9,8.7,103.5,1.3,4.6,24.2,26.7,7.2,34.0,32.2,39.4,-4.4,221.2,171.3,92.4,78.8,53.6,44.9,8.7,103.5
45,1050020,2018JJ00,2256,6965,36181,39631,10792,50423,47542,58334,-6336,328201,244640,131675,112966,76320,63504,12816,159881,1.6,4.8,25.1,27.5,7.5,35.0,33.0,40.5,-4.4,229.0,170.7,91.9,78.8,53.3,44.3,8.9,111.6,1.6,4.8,25.2,27.6,7.5,35.1,33.1,40.6,-4.4,229.0,170.7,91.9,78.8,53.3,44.3,8.9,111.6
46,1050020,2019JJ00,2412,7486,38145,41856,11552,53408,49662,61214,-5740,349549,249646,135302,114344,77442,64547,12895,177345,1.7,5.1,26.1,28.6,7.9,36.5,34.0,41.9,-3.9,240.4,171.7,93.0,78.6,53.3,44.4,8.9,122.0,1.7,5.1,26.1,28.7,7.9,36.6,34.0,41.9,-3.9,240.4,171.7,93.0,78.6,53.3,44.4,8.9,122.0
47,1050020,2020JJ00,2601,8151,39420,44009,11466,55475,49592,61058,-3689,397722,284265,157899,126366,79674,65973,13702,193131,1.7,5.5,26.5,29.6,7.7,37.3,33.3,41.0,-2.5,267.9,191.5,106.4,85.1,53.7,44.4,9.2,130.1,1.8,5.5,26.6,29.6,7.7,37.4,33.4,41.1,-2.5,267.9,191.5,106.4,85.1,53.7,44.4,9.2,130.1
48,1050020,2021JJ00,2905,8938,40990,46694,12564,59258,52296,64860,-3815,438408,309053,174415,134638,80780,66886,13894,210135,1.9,6.0,27.3,31.1,8.4,39.5,34.9,43.2,-2.5,294.0,207.3,117.0,90.3,54.2,44.9,9.3,140.9,1.9,6.0,27.4,31.2,8.4,39.7,35.0,43.4,-2.6,294.0,207.3,117.0,90.3,54.2,44.9,9.3,140.9
49,1050035,2015JJ00,1741,2781,19465,32982,17857,50839,43144,61001,-11598,311410,251460,147982,103478,48169,39867,8302,108119,1.2,1.9,13.1,22.2,12.0,34.2,29.0,41.0,-7.8,210.3,169.8,99.9,69.9,32.5,26.9,5.6,73.0,1.2,1.9,13.2,22.3,12.1,34.4,29.2,41.3,-7.8,210.3,169.8,99.9,69.9,32.5,26.9,5.6,73.0
50,1050035,2016JJ00,1889,2895,20022,33891,17621,51512,43989,61610,-12011,327054,262258,154295,107838,48976,40463,8513,113772,1.3,1.9,13.4,22.6,11.8,34.4,29.4,41.1,-8.0,219.2,175.7,103.4,72.3,32.8,27.1,5.7,76.3,1.3,1.9,13.4,22.8,11.8,34.6,29.5,41.4,-8.1,219.2,175.7,103.4,72.3,32.8,27.1,5.7,76.3
51,1050035,2017JJ00,2142,3022,20744,34338,18536,52874,45376,63912,-13231,349344,272402,158650,113752,49466,41155,8312,126408,1.4,2.0,13.6,22.6,12.2,34.8,29.9,42.0,-8.7,230.8,180.0,104.8,75.2,32.7,27.2,5.5,83.5,1.4,2.0,13.7,22.7,12.3,35.0,30.0,42.3,-8.8,230.8,180.0,104.8,75.2,32.7,27.2,5.5,83.5
52,1050035,2018JJ00,2463,3280,21869,35541,19402,54943,46932,66334,-13482,364823,275692,165594,110098,50458,41758,8700,139589,1.6,2.1,14.3,23.2,12.7,35.9,30.6,43.3,-8.8,239.1,180.7,108.5,72.2,33.1,27.4,5.7,91.5,1.6,2.2,14.3,23.3,12.7,36.0,30.8,43.5,-8.8,239.1,180.7,108.5,72.2,33.1,27.4,5.7,91.5
53,1050035,2019JJ00,2546,3533,23148,37362,20936,58298,48488,69424,-12698,378272,276504,165218,111285,51535,42787,8748,153303,1.6,2.3,15.0,24.1,13.5,37.7,31.3,44.8,-8.2,245.6,179.5,107.3,72.3,33.5,27.8,5.7,99.5,1.7,2.3,15.0,24.3,13.6,37.9,31.5,45.1,-8.2,245.6,179.5,107.3,72.3,33.5,27.8,5.7,99.5
54,1050035,2020JJ00,2716,3877,24441,39479,20856,60335,48363,69219,-10776,432050,317258,191850,125408,53655,44537,9118,168447,1.7,2.5,15.6,25.2,13.3,38.5,30.9,44.2,-6.9,276.6,203.1,122.8,80.3,34.4,28.5,5.8,107.8,1.7,2.5,15.7,25.4,13.4,38.7,31.1,44.5,-6.9,276.6,203.1,122.8,80.3,34.4,28.5,5.8,107.8
55,1050035,2021JJ00,2966,4161,25390,41249,22406,63655,50420,72826,-11485,469321,339109,205477,133632,55016,45821,9197,185228,1.9,2.6,16.1,26.2,14.2,40.4,32.0,46.2,-7.3,299.8,216.7,131.3,85.4,35.2,29.3,5.9,118.3,1.9,2.7,16.2,26.4,14.3,40.7,32.3,46.6,-7.3,299.8,216.7,131.3,85.4,35.2,29.3,5.9,118.3
56,1050190,2015JJ00,318,2980,16369,19068,10049,29117,17570,27619,2928,100065,82729,39371,43358,38494,32985,5509,55830,0.6,5.7,31.1,36.3,19.1,55.4,33.4,52.5,5.6,191.1,158.0,75.2,82.8,73.5,63.0,10.5,106.6,0.4,3.5,19.3,22.5,11.9,34.3,20.7,32.6,3.5,117.8,97.4,46.3,51.0,45.3,38.8,6.5,65.7
57,1050190,2016JJ00,374,3185,17083,19783,10286,30069,17989,28275,3179,104720,85651,42569,43070,38799,33278,5522,57868,0.7,6.0,32.2,37.3,19.4,56.8,34.0,53.4,6.0,198.4,162.3,80.7,81.6,73.5,63.1,10.5,109.6,0.4,3.7,20.0,23.1,12.0,35.1,21.0,33.0,3.7,122.1,99.9,49.7,50.2,45.3,38.8,6.4,67.5
58,1050190,2017JJ00,551,3354,17979,20554,10563,31117,18738,29301,3258,115976,90981,50883,40098,38612,33308,5305,63607,1.0,6.3,33.7,38.5,19.8,58.4,35.1,54.9,6.1,218.4,171.3,95.8,75.5,72.7,62.7,10.0,119.8,0.6,3.9,20.8,23.8,12.2,36.1,21.7,33.9,3.8,134.2,105.2,58.9,46.4,44.7,38.5,6.1,73.6
